3361_130131_000000_000000	"But I thought there was a great deal of disturbance in the streets."	"But I thought there was a great deal of disturbance in the streets."	false	0	3.42	22.837854
3361_130131_000016_000003	Fix's manner had not changed; but Passepartout was very reserved, and ready to strangle his former friend on the slightest provocation.	Fix's manner had not changed; but Passepartout was very reserved, and ready to strangle his former friend on the slightest provocation.	true	304.94	313.69	23.98814
3361_130131_000017_000000	Snow began to fall an hour after they started, a fine snow, however, which happily could not obstruct the train; nothing could be seen from the windows but a vast, white sheet, against which the smoke of the locomotive had a greyish aspect.	Snow began to fall an hour after they started, a fine snow, however, which happily could not obstruct the train; nothing could be seen from the windows but a vast, white sheet, against which the smoke of the locomotive had a greyish aspect.	true	314.63	330.76	24.055378
3361_130131_000018_000000	At eight o'clock a steward entered the car and announced that the time for going to bed had arrived; and in a few minutes the car was transformed into a dormitory.	At eight o'clock a steward entered the car and announced that the time for going to bed had arrived; and in a few minutes the car was transformed into a dormitory.	true	332.06	342.13	23
3361_130131_000018_000001	The backs of the seats were thrown back, bedsteads carefully packed were rolled out by an ingenious system, berths were suddenly improvised, and each traveller had soon at his disposition a comfortable bed, protected from curious eyes by thick curtains.	The backs of the seats were thrown back, bedsteads carefully packed were rolled out by an ingenious system, berths were suddenly improvised, and each traveller had soon at his disposition a comfortable bed, protected from curious eyes by thick curtains.	true	342.5	359.92	22.659002
3361_130131_000018_000002	The sheets were clean and the pillows soft.	The sheets were clean and the pillows soft.	true	360.47	363.79	21.36938
3361_130131_000018_000003	It only remained to go to bed and sleep which everybody did--while the train sped on across the State of California.	It only remained to go to bed and sleep which everybody did-while the train sped on across the State of California.	true	363.98	371.86	22
3361_130131_000019_000000	The country between San Francisco and Sacramento is not very hilly. The Central Pacific, taking Sacramento for its starting-point, extends eastward to meet the road from Omaha.	The country between San Francisco and Sacramento is not very hilly. The Central Pacific, taking Sacramento for its starting point, extends eastward to meet the road from Omaha.	true	373.22	385.15	22.532673
3361_130131_000019_000001	The line from San Francisco to Sacramento runs in a north-easterly direction, along the American River, which empties into San Pablo Bay.	The line from San Francisco to Sacramento runs in a north easterly direction, along the American River, which empties into San Pablo Bay.	true	385.43	394.51	23.077785
3361_130131_000019_000002	The one hundred and twenty miles between these cities were accomplished in six hours, and towards midnight, while fast asleep, the travellers passed through Sacramento; so that they saw nothing of that important place, the seat of the State government, with its fine quays, its broad streets, its noble hotels, squares, and churches.	The one hundred and twenty miles between these cities were accomplished in six hours, and towards midnight, while fast asleep, the travellers passed through Sacramento; so that they saw nothing of that important place, the seat of the State government, with its fine quays, its broad streets, its noble hotels, squares, and churches.	false	395.21	417.91	23.446106
3361_130131_000020_000000	The train, on leaving Sacramento, and passing the junction, Roclin, Auburn, and Colfax, entered the range of the Sierra Nevada. 'Cisco was reached at seven in the morning; and an hour later the dormitory was transformed into an ordinary car, and the travellers could observe the picturesque beauties of the mountain region through which they were steaming.	The train, on leaving Sacramento, and passing the junction, Roclin, Auburn, and Colfax, entered the range of the Sierra Nevada. 'Cisco was reached at seven in the morning; and an hour later the dormitory was transformed into an ordinary car, and the travellers could observe the picturesque beauties of the mountain region through which they were steaming.	false	419.18	441.91	23.14768
3361_130131_000020_000001	The railway track wound in and out among the passes, now approaching the mountain-sides, now suspended over precipices, avoiding abrupt angles by bold curves, plunging into narrow defiles, which seemed to have no outlet.	The railway track wound in and out among the passes, now approaching the mountain sides, now suspended over precipices, avoiding abrupt angles by bold curves, plunging into narrow defiles, which seemed to have no outlet.	true	442.46	458.59	22.97354
3361_130131_000020_000002	The locomotive, its great funnel emitting a weird light, with its sharp bell, and its cow-catcher extended like a spur, mingled its shrieks and bellowings with the noise of torrents and cascades, and twined its smoke among the branches of the gigantic pines.	The locomotive, its great funnel emitting a weird light, with its sharp bell, and its cow catcher extended like a spur, mingled its shrieks and bellowings with the noise of torrents and cascades, and twined its smoke among the branches of the gigantic pines.	false	459.02	475.99	23.0463
3361_130131_000021_000000	There were few or no bridges or tunnels on the route.	There were few or no bridges or tunnels on the route.	true	477.14	480.49	15
3361_130131_000021_000001	The railway turned around the sides of the mountains, and did not attempt to violate nature by taking the shortest cut from one point to another.	The railway turned around the sides of the mountains, and did not attempt to violate nature by taking the shortest cut from one point to another.	false	480.68	490.27	24.23562
3361_130131_000022_000000	The train entered the State of Nevada through the Carson Valley about nine o'clock, going always northeasterly; and at midday reached Reno, where there was a delay of twenty minutes for breakfast.	The train entered the State of Nevada through the Carson Valley about nine o'clock, going always northeasterly; and at midday reached Reno, where there was a delay of twenty minutes for breakfast.	true	490.64	503.53	22.939865
3361_130131_000023_000000	From this point the road, running along Humboldt River, passed northward for several miles by its banks; then it turned eastward, and kept by the river until it reached the Humboldt Range, nearly at the extreme eastern limit of Nevada.	From this point the road, running along Humboldt River, passed northward for several miles by its banks; then it turned eastward, and kept by the river until it reached the Humboldt Range, nearly at the extreme eastern limit of Nevada.	true	504.47	521.17	21.516964
3361_130131_000024_000000	Having breakfasted, Mr. Fogg and his companions resumed their places in the car, and observed the varied landscape which unfolded itself as they passed along the vast prairies, the mountains lining the horizon, and the creeks, with their frothy, foaming streams.	Having breakfasted, mr Fogg and his companions resumed their places in the car, and observed the varied landscape which unfolded itself as they passed along the vast prairies, the mountains lining the horizon, and the creeks, with their frothy, foaming streams.	false	522.17	539.2	22.730818
3361_130131_000024_000001	Sometimes a great herd of buffaloes, massing together in the distance, seemed like a moveable dam.	Sometimes a great herd of buffaloes, massing together in the distance, seemed like a moveable dam.	true	539.6	545.83	24.885979
3361_130131_000024_000002	These innumerable multitudes of ruminating beasts often form an insurmountable obstacle to the passage of the trains; thousands of them have been seen passing over the track for hours together, in compact ranks.	These innumerable multitudes of ruminating beasts often form an insurmountable obstacle to the passage of the trains; thousands of them have been seen passing over the track for hours together, in compact ranks.	true	546.29	560.92	21.809072
3361_130131_000024_000003	The locomotive is then forced to stop and wait till the road is once more clear.	The locomotive is then forced to stop and wait till the road is once more clear.	false	561.23	566.14	27.780096
3361_130131_000025_000000	This happened, indeed, to the train in which Mr. Fogg was travelling. About twelve o'clock a troop of ten or twelve thousand head of buffalo encumbered the track.	This happened, indeed, to the train in which mr Fogg was travelling. About twelve o'clock a troop of ten or twelve thousand head of buffalo encumbered the track.	true	567.17	578.08	22
3361_130131_000025_000001	The locomotive, slackening its speed, tried to clear the way with its cow-catcher; but the mass of animals was too great.	The locomotive, slackening its speed, tried to clear the way with its cow catcher; but the mass of animals was too great.	true	578.36	586.33	21
3361_130131_000025_000002	The buffaloes marched along with a tranquil gait, uttering now and then deafening bellowings.	The buffaloes marched along with a tranquil gait, uttering now and then deafening bellowings.	true	586.64	592.78	17
3361_130131_000025_000003	There was no use of interrupting them, for, having taken a particular direction, nothing can moderate and change their course; it is a torrent of living flesh which no dam could contain.	There was no use of interrupting them, for, having taken a particular direction, nothing can moderate and change their course; it is a torrent of living flesh which no dam could contain.	true	593.18	605.41	21
3361_130131_000026_000000	The travellers gazed on this curious spectacle from the platforms; but Phileas Fogg, who had the most reason of all to be in a hurry, remained in his seat, and waited philosophically until it should please the buffaloes to get out of the way.	The travellers gazed on this curious spectacle from the platforms; but Phileas Fogg, who had the most reason of all to be in a hurry, remained in his seat, and waited philosophically until it should please the buffaloes to get out of the way.	true	606.23	621.16	23.546053
3361_130131_000027_000000	Passepartout was furious at the delay they occasioned, and longed to discharge his arsenal of revolvers upon them.	Passepartout was furious at the delay they occasioned, and longed to discharge his arsenal of revolvers upon them.	true	621.95	629.38	23.097874
3361_130131_000028_000000	"What a country!" cried he.	"What a country!" cried he.	true	630.23	632.5	22
3361_130131_000028_000001	"Mere cattle stop the trains, and go by in a procession, just as if they were not impeding travel!	"Mere cattle stop the trains, and go by in a procession, just as if they were not impeding travel!	true	632.63	638.92	23
3361_130131_000028_000002	Parbleu!	Parbleu!	true	639.08	640	12
3361_130131_000028_000003	I should like to know if Mr. Fogg foresaw this mishap in his programme! And here's an engineer who doesn't dare to run the locomotive into this herd of beasts!"	I should like to know if mr Fogg foresaw this mishap in his programme! And here's an engineer who doesn't dare to run the locomotive into this herd of beasts!"	true	640.4	649.78	22.782946
3361_130131_000029_000000	The engineer did not try to overcome the obstacle, and he was wise.	The engineer did not try to overcome the obstacle, and he was wise.	true	651.14	655.84	23
3361_130131_000029_000001	He would have crushed the first buffaloes, no doubt, with the cow-catcher; but the locomotive, however powerful, would soon have been checked, the train would inevitably have been thrown off the track, and would then have been helpless.	He would have crushed the first buffaloes, no doubt, with the cow catcher; but the locomotive, however powerful, would soon have been checked, the train would inevitably have been thrown off the track, and would then have been helpless.	true	656.27	670.24	22
3361_130131_000030_000000	The best course was to wait patiently, and regain the lost time by greater speed when the obstacle was removed.	The best course was to wait patiently, and regain the lost time by greater speed when the obstacle was removed.	true	671.21	677.92	24.51079
3361_130131_000030_000001	The procession of buffaloes lasted three full hours, and it was night before the track was clear.	The procession of buffaloes lasted three full hours, and it was night before the track was clear.	true	678.2	684.28	22.70009
3361_130131_000030_000002	The last ranks of the herd were now passing over the rails, while the first had already disappeared below the southern horizon.	The last ranks of the herd were now passing over the rails, while the first had already disappeared below the southern horizon.	true	684.59	692.41	23.347464
3361_130131_000031_000000	It was eight o'clock when the train passed through the defiles of the Humboldt Range, and half-past nine when it penetrated Utah, the region of the Great Salt Lake, the singular colony of the Mormons.	It was eight o'clock when the train passed through the defiles of the Humboldt Range, and half past nine when it penetrated Utah, the region of the Great Salt Lake, the singular colony of the Mormons.	false	693.38	717.36	21
