359_128761_000000_000000	CHAPTER XX	CHAPTER twenty	true	22.245	23.44	25.136953
359_128761_000033_000006	I have had him down for a week's shooting, and like him.	I have had him down for a week's shooting, and like him.	true	785.18	788.89	22.80507
359_128761_000033_000007	He is a cool young hand; he shot me in the leg, cut out the pellets, and then remarked upon the advantages of having a medical student with every shooting party!	He is a cool young hand; he shot me in the leg, cut out the pellets, and then remarked upon the advantages of having a medical student with every shooting party!	true	789.2	799.03	21.22259
359_128761_000034_000000	Good-bye, old boy; I can't say any more, but I know that you will come, if it is only to oblige	Good bye, old boy; I can't say any more, but I know that you will come, if it is only to oblige	true	800.12	807.43	23.04421
359_128761_000035_000000	Your sincere friend, Henry Curtis.	Your sincere friend, Henry Curtis.	false	807.47	810.46	21.65233
359_128761_000036_000000	P.S.--The tusks of the great bull that killed poor Khiva have now been put up in the hall here, over the pair of buffalo horns you gave me, and look magnificent; and the axe with which I chopped off Twala's head is fixed above my writing-table.	p s--The tusks of the great bull that killed poor Khiva have now been put up in the hall here, over the pair of buffalo horns you gave me, and look magnificent; and the axe with which I chopped off Twala's head is fixed above my writing table.	true	812.06	830.71	23.253513
359_128761_000036_000001	I wish that we could have managed to bring away the coats of chain armour.	I wish that we could have managed to bring away the coats of chain armour.	true	831.68	835.48	22.389997
359_128761_000036_000002	Don't lose poor Foulata's basket in which you brought away the diamonds.	Don't lose poor Foulata's basket in which you brought away the diamonds.	true	836.51	840.76	20.816696
359_128761_000037_000000	H.C.	h c	true	841.16	842.23	24.866947
359_128761_000038_000000	To-day is Tuesday.	To day is Tuesday.	true	844.19	845.74	22.559797
359_128761_000038_000001	There is a steamer going on Friday, and I really think that I must take Curtis at his word, and sail by her for England, if it is only to see you, Harry, my boy, and to look after the printing of this history, which is a task that I do not like to trust to anybody else.	There is a steamer going on Friday, and I really think that I must take Curtis at his word, and sail by her for England, if it is only to see you, Harry, my boy, and to look after the printing of this history, which is a task that I do not like to trust to anybody else.	false	847.01	865.96	21.380455
359_128761_000039_000000	ALLAN QUATERMAIN.	ALLAN QUATERMAIN.	true	866.96	868.32	20.651821
359_128761_000040_000000	[1] Vulture.	[one] Vulture.	false	868.32	873.72	17.781036
