6167_73973_000001_000000	CHAPTER XXI	CHAPTER twenty one
6167_73973_000006_000003	I also look at them as a little floral joke that is harmless and not displeasing, but they cannot for a moment compare in beauty with the free-growing Snapdragon of the older type.	I also look at them as a little floral joke that is harmless and not displeasing, but they cannot for a moment compare in beauty with the free growing Snapdragon of the older type.
6167_73973_000006_000004	This I always think one of the best and most interesting and admirable of garden-plants.	This I always think one of the best and most interesting and admirable of garden plants.
6167_73973_000006_000005	Its beauty is lost if it is crowded up among other things in a border; it should be grown in a dry wall or steep rocky bank, where its handsome bushy growth and finely-poised spikes of bloom can be well seen.	Its beauty is lost if it is crowded up among other things in a border; it should be grown in a dry wall or steep rocky bank, where its handsome bushy growth and finely poised spikes of bloom can be well seen.
6167_73973_000009_000002	I was fortunate enough to get some seed, and have never grown any other, nor have I ever seen elsewhere any that I think can compare with it.	I was fortunate enough to get some seed, and have never grown any other, nor have I ever seen elsewhere any that I think can compare with it.
6167_73973_000010_000000	The Zinnia is another fine annual that has been much spoilt by its would-be improvers.	The Zinnia is another fine annual that has been much spoilt by its would be improvers.
6167_73973_000010_000001	When a Zinnia has a hard, stiff, tall flower, with a great many rows of petals piled up one on top of another, and when its habit is dwarfed to a mean degree of squatness, it looks to me both ugly and absurd, whereas a reasonably double one, well branched, and two feet high, is a handsome plant.	When a Zinnia has a hard, stiff, tall flower, with a great many rows of petals piled up one on top of another, and when its habit is dwarfed to a mean degree of squatness, it looks to me both ugly and absurd, whereas a reasonably double one, well branched, and two feet high, is a handsome plant.
6167_73973_000011_000000	I also think that Stocks and Wallflowers are much handsomer when rather tall and branching.	I also think that Stocks and Wallflowers are much handsomer when rather tall and branching.
6167_73973_000011_000001	Dwarf Stocks, moreover, are invariably spattered with soil in heavy autumn rain.	Dwarf Stocks, moreover, are invariably spattered with soil in heavy autumn rain.
6167_73973_000012_000001	The improver has sought to increase the width of the red ring.	The improver has sought to increase the width of the red ring.
6167_73973_000012_000002	Up to a certain point it makes a livelier and brighter-looking flower; but he has gone too far, and extended the red till it has become a red flower with a narrow yellow edge.	Up to a certain point it makes a livelier and brighter looking flower; but he has gone too far, and extended the red till it has become a red flower with a narrow yellow edge.
6167_73973_000012_000003	The red also is of a rather dull and heavy nature, so that instead of a handsome yellow flower with a broad central ring, here is an ugly red one with a yellow border.	The red also is of a rather dull and heavy nature, so that instead of a handsome yellow flower with a broad central ring, here is an ugly red one with a yellow border.
6167_73973_000013_000000	No annual plant has of late years been so much improved as the Sweet Pea, and one reason why its charming beauty and scent are so enjoyable is, that they grow tall, and can be seen on a level with the eye.	No annual plant has of late years been so much improved as the Sweet Pea, and one reason why its charming beauty and scent are so enjoyable is, that they grow tall, and can be seen on a level with the eye.
6167_73973_000014_000000	And all this parade of distortion and deformity comes about from the grower losing sight of beauty as the first consideration, or from his not having the knowledge that would enable him to determine what are the points of character in various plants most deserving of development, and in not knowing when or where to stop.	And all this parade of distortion and deformity comes about from the grower losing sight of beauty as the first consideration, or from his not having the knowledge that would enable him to determine what are the points of character in various plants most deserving of development, and in not knowing when or where to stop.
6167_73973_000014_000001	Abnormal size, whether greatly above or much below the average, appeals to the vulgar and uneducated eye, and will always command its attention and wonderment.	Abnormal size, whether greatly above or much below the average, appeals to the vulgar and uneducated eye, and will always command its attention and wonderment.
6167_73973_000014_000002	But then the production of the immense size that provokes astonishment, and the misapplied ingenuity that produces unusual dwarfing, are neither of them very high aims.	But then the production of the immense size that provokes astonishment, and the misapplied ingenuity that produces unusual dwarfing, are neither of them very high aims.
