4226_12707_000006_000002	If the weather is hot, it will keep but a short time.	If the weather is hot, it will keep but a short time.
4226_12707_000018_000009	The leg is also good, cut into slices and broiled.	The leg is also good, cut into slices and broiled.
4226_12707_000018_000010	It is good corned a few days, and then boiled.	It is good corned a few days, and then boiled.
4226_12707_000018_000011	The rack is good for broiling--it should be divided, each bone by itself, broiled quick, and buttered, salted and peppered.	The rack is good for broiling-it should be divided, each bone by itself, broiled quick, and buttered, salted and peppered.
4226_12707_000018_000012	The breast of mutton is nice baked.	The breast of mutton is nice baked.
4226_12707_000018_000013	The joints of the brisket should be separated, the sharp ends of the ribs sawed off, the outside rubbed over with a little piece of butter--salt it, and put it in a bake pan, with a pint of water.	The joints of the brisket should be separated, the sharp ends of the ribs sawed off, the outside rubbed over with a little piece of butter-salt it, and put it in a bake pan, with a pint of water.
4226_12707_000018_000014	When done, take it up, and thicken the gravy with a little flour and water, and put in a small piece of butter.	When done, take it up, and thicken the gravy with a little flour and water, and put in a small piece of butter.
4226_12707_000018_000016	The neck of mutton makes a good soup.	The neck of mutton makes a good soup.
4226_12707_000018_000017	Parsely or celery-heads are a pretty garnish for mutton.	Parsely or celery heads are a pretty garnish for mutton.
4226_12707_000019_000000	8.	eight.
4226_12707_000020_000001	The breast and rack are good roasted.	The breast and rack are good roasted.
4226_12707_000020_000002	The breast also is good made into a pot pie, and the rack cut into small pieces and broiled.	The breast also is good made into a pot pie, and the rack cut into small pieces and broiled.
4226_12707_000020_000006	The fillet is good baked, the bone should be cut out, and the place filled with a dressing, made of bread soaked soft in cold water, a little salt, pepper, a couple of eggs, and a table spoonful of melted butter put in--then sew it up, put it in your bake pan, with about a pint of water, cover the top of the meat with some of the dressing.	The fillet is good baked, the bone should be cut out, and the place filled with a dressing, made of bread soaked soft in cold water, a little salt, pepper, a couple of eggs, and a table spoonful of melted butter put in-then sew it up, put it in your bake pan, with about a pint of water, cover the top of the meat with some of the dressing.
4226_12707_000021_000000	9.	nine.
4226_12707_000022_000003	When the veal is fried brown, dip it into the batter, then put it back into the fat, and fry it until brown again.	When the veal is fried brown, dip it into the batter, then put it back into the fat, and fry it until brown again.
4226_12707_000022_000005	Thicken the gravy and turn it over the whole.	Thicken the gravy and turn it over the whole.
4226_12707_000022_000006	It takes about an hour to cook this dish.	It takes about an hour to cook this dish.
4226_12707_000022_000007	If the meat is tough, it will be better to stew it half an hour before frying it.	If the meat is tough, it will be better to stew it half an hour before frying it.
4226_12707_000023_000000	10.	ten.
4226_12707_000024_000000	Boil the head two hours, together with the lights and feet.	Boil the head two hours, together with the lights and feet.
4226_12707_000024_000002	Before the head is done, tie the brains in a bag, and boil them with it; when the brains are done, take them up, season them with salt, pepper, butter, and sweet herbs, or spices if you like--use this as a dressing for the head.	Before the head is done, tie the brains in a bag, and boil them with it; when the brains are done, take them up, season them with salt, pepper, butter, and sweet herbs, or spices if you like-use this as a dressing for the head.
4226_12707_000024_000003	Some people prefer part of the liver and feet for dressing--they are prepared like the brains.	Some people prefer part of the liver and feet for dressing-they are prepared like the brains.
4226_12707_000024_000004	The liquor that the calf's head is boiled in, makes a good soup, seasoned in a plain way like any other veal soup, or seasoned turtle fashion.	The liquor that the calf's head is boiled in, makes a good soup, seasoned in a plain way like any other veal soup, or seasoned turtle fashion.
4226_12707_000024_000005	The liquor should stand until the next day after the head is boiled, in order to have the fat rise, and skimmed off.	The liquor should stand until the next day after the head is boiled, in order to have the fat rise, and skimmed off.
4226_12707_000024_000006	If you wish to have your calf's head look brown, take it up when tender, rub a little butter over it, sprinkle on salt, pepper, and allspice--sprinkle flour over it, and put before the fire, with a Dutch oven over it, or in a brick oven where it will brown quick.	If you wish to have your calf's head look brown, take it up when tender, rub a little butter over it, sprinkle on salt, pepper, and allspice-sprinkle flour over it, and put before the fire, with a Dutch oven over it, or in a brick oven where it will brown quick.
4226_12707_000024_000007	Warm up the brains with a little water, butter, salt, and pepper.	Warm up the brains with a little water, butter, salt, and pepper.
4226_12707_000024_000008	Add wine and spices if you like.	Add wine and spices if you like.
4226_12707_000024_000009	Serve it up as a dressing for the head.	Serve it up as a dressing for the head.
4226_12707_000024_000010	Calf's head is also good, baked.	Calf's head is also good, baked.
4226_12707_000024_000012	Bake it in a quick oven, and garnish it with slices of lemon, or force meat balls.	Bake it in a quick oven, and garnish it with slices of lemon, or force meat balls.
4226_12707_000025_000000	11.	eleven.
4226_12707_000026_000001	Do them up into balls about the size of half an egg, and fry them brown.	Do them up into balls about the size of half an egg, and fry them brown.
4226_12707_000027_000000	12.	twelve.
4226_12707_000028_000000	Boil them with the head, until tender, then split and lay them round the head, or dredge them with flour after they have been boiled tender, and fry them brown.	Boil them with the head, until tender, then split and lay them round the head, or dredge them with flour after they have been boiled tender, and fry them brown.
4226_12707_000028_000001	If you wish for gravy for them, when you have taken them up, stir a little flour into the fat they were fried in; season it with salt, pepper, and mace.	If you wish for gravy for them, when you have taken them up, stir a little flour into the fat they were fried in; season it with salt, pepper, and mace.
4226_12707_000029_000000	13.	thirteen.
4226_12707_000030_000000	Are good, broiled or fried.	Are good, broiled or fried.
4226_12707_000030_000001	Some people like the liver stuffed and baked.	Some people like the liver stuffed and baked.
4226_12707_000031_000000	14.	fourteen.
4226_12707_000032_000000	Cut part of a leg of veal into pieces, three or four inches broad--sprinkle flour on them, fry them in butter until brown, then turn in water enough to cover the veal.	Cut part of a leg of veal into pieces, three or four inches broad-sprinkle flour on them, fry them in butter until brown, then turn in water enough to cover the veal.
4226_12707_000032_000001	When it boils, take off the scum, put in two or three onions, a blade of mace, a little salt and pepper.	When it boils, take off the scum, put in two or three onions, a blade of mace, a little salt and pepper.
4226_12707_000032_000002	When stewed tender, take up the meat, thicken the gravy with flour and water, mixed smoothly together, squeeze in the juice of half a lemon, then turn it over the collops.	When stewed tender, take up the meat, thicken the gravy with flour and water, mixed smoothly together, squeeze in the juice of half a lemon, then turn it over the collops.
4226_12707_000032_000003	Garnish them with a lemon cut in thin slices.	Garnish them with a lemon cut in thin slices.
4226_12707_000033_000000	15.	fifteen.
4226_12707_000034_000000	Boil a piece of lean veal till tender.	Boil a piece of lean veal till tender.
4226_12707_000034_000001	Take it up, cut it into strips three or four inches long, put it back into the pot, with the liquor it was boiled in, with a tea cup of rice to three pounds of veal.	Take it up, cut it into strips three or four inches long, put it back into the pot, with the liquor it was boiled in, with a tea cup of rice to three pounds of veal.
4226_12707_000034_000002	Put in a piece of butter, of the size of a hen's egg; season it with salt, pepper, and sweet herbs if you like; stew it gently till the rice is tender, and the water nearly stewed away.	Put in a piece of butter, of the size of a hen's egg; season it with salt, pepper, and sweet herbs if you like; stew it gently till the rice is tender, and the water nearly stewed away.
4226_12707_000034_000003	A little curry powder in this, converts it into a curry dish.	A little curry powder in this, converts it into a curry dish.
4226_12707_000035_000000	16.	sixteen.
4226_12707_000036_000000	Cut off the shank of a leg of veal, and cut gashes in the remainder. Make a dressing of bread, soaked soft in cold water, and mashed; season it with salt, pepper, and sweet herbs; chop a little raw pork fine, put it in the dressing, and if you have not pork, use a little butter instead.	Cut off the shank of a leg of veal, and cut gashes in the remainder. Make a dressing of bread, soaked soft in cold water, and mashed; season it with salt, pepper, and sweet herbs; chop a little raw pork fine, put it in the dressing, and if you have not pork, use a little butter instead.
4226_12707_000036_000003	A leg of veal is nice prepared in this manner, and roasted.	A leg of veal is nice prepared in this manner, and roasted.
4226_12707_000037_000000	17.	seventeen.
4226_12707_000038_000001	Sprinkle salt and pepper on the lamb, turn the bony side towards the fire first; if not fat, rub a little butter on it, and put a little in the dripping pan; baste it frequently.	Sprinkle salt and pepper on the lamb, turn the bony side towards the fire first; if not fat, rub a little butter on it, and put a little in the dripping pan; baste it frequently.
4226_12707_000038_000002	These pieces are good stuffed like a fillet of veal, and roasted.	These pieces are good stuffed like a fillet of veal, and roasted.
4226_12707_000038_000003	The leg is also good, cooked in the same manner; but it is better boiled with a pound of salt pork.	The leg is also good, cooked in the same manner; but it is better boiled with a pound of salt pork.
4226_12707_000038_000004	Allow fifteen minutes boiling to each pound of meat.	Allow fifteen minutes boiling to each pound of meat.
4226_12707_000038_000006	The fore quarter, with the ribs divided, is good broiled.	The fore quarter, with the ribs divided, is good broiled.
4226_12707_000038_000008	A little salt, pepper, and butter, should be put on it when you take it up.	A little salt, pepper, and butter, should be put on it when you take it up.
4226_12707_000038_000009	Lamb is very apt to spoil in warm weather.	Lamb is very apt to spoil in warm weather.
4226_12707_000038_000010	If you wish to keep a leg several days, put it in brine.	If you wish to keep a leg several days, put it in brine.
4226_12707_000038_000011	It should not be put with pork, as fresh meat is apt to injure it.	It should not be put with pork, as fresh meat is apt to injure it.
