4226_12707_000000_000000	SOAPS.	SOAPS.	false	0	0.06	-20
4226_12707_000010_000012	When brown on both sides, take it up, take the pan off from the fire, to let the fat cool; when cool, turn in half a tea cup of water, mix a couple of tea spoonsful of flour with a little water, stir it into the fat, put the pan back on the fire, stir it till it boils up, then turn it over the beef.	When brown on both sides, take it up, take the pan off from the fire, to let the fat cool; when cool, turn in half a tea cup of water, mix a couple of tea spoonsful of flour with a little water, stir it into the fat, put the pan back on the fire, stir it till it boils up, then turn it over the beef.	false	275.69	296.025	22.671946
4226_12707_000011_000000	4.	four.	true	296.025	296.97	23.38396
4226_12707_000011_000001	_Alamode Beef._	underscore Alamode Beef.underscore	false	296.97	299.4	19.217405
4226_12707_000012_000000	The round of beef is the best piece to alamode--the shoulder clod is good, and comes lower; it is also good stewed, without any spices.	The round of beef is the best piece to alamode-the shoulder clod is good, and comes lower; it is also good stewed, without any spices.	true	299.4	307.87	19
4226_12707_000012_000001	For five pounds of beef, soak about a pound of bread in cold water till soft, then drain off the water, mash the bread fine, put in a piece of butter, of the size of a hen's egg, half a tea spoonful of salt, the same quantity of ground cloves, allspice, and pepper, half a nutmeg, a couple of eggs, and a table spoonful of flour--mix the whole well together; then cut gashes in the beef, and fill them with about half of the dressing, put the meat in a bake-pan, with lukewarm water enough to cover it; set it where it will stew gently for a couple of hours, cover it with a heated bake pan lid.	For five pounds of beef, soak about a pound of bread in cold water till soft, then drain off the water, mash the bread fine, put in a piece of butter, of the size of a hen's egg, half a tea spoonful of salt, the same quantity of ground cloves, allspice, and pepper, half a nutmeg, a couple of eggs, and a table spoonful of flour-mix the whole well together; then cut gashes in the beef, and fill them with about half of the dressing, put the meat in a bake pan, with lukewarm water enough to cover it; set it where it will stew gently for a couple of hours, cover it with a heated bake pan lid.	true	308.36	345.04	22.373348
4226_12707_000012_000002	When it has stewed a couple of hours, turn the reserved dressing on top of the meat, heat the bake pan lid hot enough to brown the dressing, stew it an hour and a half longer.	When it has stewed a couple of hours, turn the reserved dressing on top of the meat, heat the bake pan lid hot enough to brown the dressing, stew it an hour and a half longer.	true	345.29	355.54	21.420246
4226_12707_000012_000003	After the meat is taken up, if the gravy is not thick enough, mix a tea spoonful or two of flour with a little water, and stir it into the gravy; put in a little butter, a wine glass of wine, and turn it over the meat.	After the meat is taken up, if the gravy is not thick enough, mix a tea spoonful or two of flour with a little water, and stir it into the gravy; put in a little butter, a wine glass of wine, and turn it over the meat.	false	355.85	368.29	21.86239
4226_12707_000013_000000	5.	five.	true	369.53	370.5	20.658943
4226_12707_000013_000001	_Beef Liver._	underscore Beef Liver.underscore	false	370.5	372.36	18.834988
4226_12707_000014_000000	Liver is very good fried, but the best way to cook it, is to broil it ten minutes, with four or five slices of salt pork.	Liver is very good fried, but the best way to cook it, is to broil it ten minutes, with four or five slices of salt pork.	true	372.36	379.99	22.290443
4226_12707_000014_000001	Then take it, cut it into small strips together with the pork, put it in a stew pan, with a little water, butter, and pepper.	Then take it, cut it into small strips together with the pork, put it in a stew pan, with a little water, butter, and pepper.	true	380.09	386.865	22.818102
4226_12707_000014_000002	Stew it four or five minutes.	Stew it four or five minutes.	false	386.865	388.9	24.720995
4226_12707_000015_000000	6.	six.	true	389.51	390.6	25.725475
4226_12707_000015_000001	_To Corn Beef._	underscore To Corn Beef.underscore	false	390.6	392.52	19.63317
4226_12707_000016_000000	To every gallon of cold water, put a quart of rock salt, an ounce of salt-petre, quarter of a pound of brown sugar--(some people use molasses, but it is not as good)--no boiling is necessary.	To every gallon of cold water, put a quart of rock salt, an ounce of salt petre, quarter of a pound of brown sugar-(some people use molasses, but it is not as good)--no boiling is necessary.	true	392.52	403.36	22
4226_12707_000016_000001	Put the beef in the brine.	Put the beef in the brine.	true	403.58	405.28	23.296154
4226_12707_000016_000002	As long as any salt remains at the bottom of the cask it is strong enough.	As long as any salt remains at the bottom of the cask it is strong enough.	true	405.29	409.33	19.7283
4226_12707_000016_000003	Whenever any scum rises, the brine should be scalded, skimmed, and more sugar, salt and salt-petre added.	Whenever any scum rises, the brine should be scalded, skimmed, and more sugar, salt and salt petre added.	true	409.52	415.87	16
4226_12707_000016_000004	When a piece of beef is put in the brine, rub a little salt over it.	When a piece of beef is put in the brine, rub a little salt over it.	true	416.12	419.61	22.069822
4226_12707_000016_000005	If the weather is hot, cut a gash to the bone of the meat, and fill it with salt.	If the weather is hot, cut a gash to the bone of the meat, and fill it with salt.	true	419.61	424.12	20.235281
4226_12707_000016_000006	Put a heavy weight on the beef in order to keep it under the brine.	Put a heavy weight on the beef in order to keep it under the brine.	true	424.13	427.51	17
4226_12707_000016_000007	In very hot weather, it is difficult to corn beef in cold brine before it spoils.	In very hot weather, it is difficult to corn beef in cold brine before it spoils.	true	427.73	432.97	22
4226_12707_000016_000008	On this account it is good to corn it in the pot when boiled.	On this account it is good to corn it in the pot when boiled.	true	433.1	436.83	22
4226_12707_000016_000009	It is done in the following manner; to six or eight pounds of beef, put a tea cup of salt, sprinkle flour on the side that is to go up on the table, and put it down in the pot, turn the water into the pot after the beef is put in, boil it a couple of hours, then turn in more cold water, and boil it an hour and a half longer.	It is done in the following manner; to six or eight pounds of beef, put a tea cup of salt, sprinkle flour on the side that is to go up on the table, and put it down in the pot, turn the water into the pot after the beef is put in, boil it a couple of hours, then turn in more cold water, and boil it an hour and a half longer.	true	436.83	455.77	23.04692
4226_12707_000017_000000	7.	seven.	true	456.38	457.17	21.493137
4226_12707_000017_000001	_Mutton._	underscore Mutton.underscore	false	457.17	459	22.496582
4226_12707_000018_000000	The saddle is the best part to roast--the shoulder and leg are good roasted; but the best mode to cook the latter, is to boil it with a piece of salt pork.	The saddle is the best part to roast-the shoulder and leg are good roasted; but the best mode to cook the latter, is to boil it with a piece of salt pork.	true	459	467.26	20
4226_12707_000018_000001	A little rice boiled with it, improves the looks of it.	A little rice boiled with it, improves the looks of it.	true	467.45	470.53	22.183764
4226_12707_000018_000002	Mutton for roasting, should have a little butter rubbed on it, and a little salt and pepper sprinkled on it--some people like cloves and allspice.	Mutton for roasting, should have a little butter rubbed on it, and a little salt and pepper sprinkled on it-some people like cloves and allspice.	true	470.63	478.21	20.548157
4226_12707_000018_000003	Put a small piece of butter in the dripping pan, and baste it frequently.	Put a small piece of butter in the dripping pan, and baste it frequently.	true	478.4	482.11	19
4226_12707_000018_000004	The bony side should be turned towards the fire first, and roasted.	The bony side should be turned towards the fire first, and roasted.	true	482.3	486.43	21.68505
4226_12707_000018_000005	For boiling or roasting mutton, allow a quarter of an hour to each pound of meat.	For boiling or roasting mutton, allow a quarter of an hour to each pound of meat.	true	486.59	491.29	23
4226_12707_000018_000006	The leg is good cut in gashes, and filled with a dressing, and baked.	The leg is good cut in gashes, and filled with a dressing, and baked.	true	491.36	495.28	20.54864
4226_12707_000018_000007	The dressing is made of soaked bread, a little butter, salt, and pepper, and a couple of eggs.	The dressing is made of soaked bread, a little butter, salt, and pepper, and a couple of eggs.	true	495.41	500.5	23.300459
4226_12707_000018_000008	A pint of water with a little butter should be put in the pan.	A pint of water with a little butter should be put in the pan.	true	500.66	503.92	18
4226_12707_000018_000009	The leg is also good, cut into slices and broiled.	The leg is also good, cut into slices and broiled.	true	504.2	507.19	20.638086
4226_12707_000018_000010	It is good corned a few days, and then boiled.	It is good corned a few days, and then boiled.	true	507.23	510.19	20.9589
4226_12707_000018_000011	The rack is good for broiling--it should be divided, each bone by itself, broiled quick, and buttered, salted and peppered.	The rack is good for broiling-it should be divided, each bone by itself, broiled quick, and buttered, salted and peppered.	true	510.26	517.6	23.639719
4226_12707_000018_000012	The breast of mutton is nice baked.	The breast of mutton is nice baked.	true	517.82	520.09	24.601303
4226_12707_000018_000013	The joints of the brisket should be separated, the sharp ends of the ribs sawed off, the outside rubbed over with a little piece of butter--salt it, and put it in a bake pan, with a pint of water.	The joints of the brisket should be separated, the sharp ends of the ribs sawed off, the outside rubbed over with a little piece of butter-salt it, and put it in a bake pan, with a pint of water.	true	520.19	531.01	22.037218
4226_12707_000018_000014	When done, take it up, and thicken the gravy with a little flour and water, and put in a small piece of butter.	When done, take it up, and thicken the gravy with a little flour and water, and put in a small piece of butter.	true	531.2	537.61	23
4226_12707_000018_000015	A table spoonful of catsup, cloves and allspice, improve it, but are not essential.	A table spoonful of catsup, cloves and allspice, improve it, but are not essential.	false	537.8	542.92	23.11565
4226_12707_000018_000016	The neck of mutton makes a good soup.	The neck of mutton makes a good soup.	true	543.08	545.43	26
4226_12707_000018_000017	Parsely or celery-heads are a pretty garnish for mutton.	Parsely or celery heads are a pretty garnish for mutton.	true	545.43	548.74	20.681692
4226_12707_000019_000000	8.	eight.	true	549.89	550.77	25.487242
4226_12707_000019_000001	_Veal._	underscore Veal.underscore	false	550.77	551.97	20.74549
4226_12707_000020_000000	The loin of veal is the best piece for roasting.	The loin of veal is the best piece for roasting.	false	551.97	554.89	20.762276
4226_12707_000020_000001	The breast and rack are good roasted.	The breast and rack are good roasted.	true	555.14	557.46	22.728558
4226_12707_000020_000002	The breast also is good made into a pot pie, and the rack cut into small pieces and broiled.	The breast also is good made into a pot pie, and the rack cut into small pieces and broiled.	true	557.46	562.99	23
4226_12707_000020_000003	The leg is nice for frying, and when several slices have been cut off for cutlets, the remainder is nice boiled with a small piece of salt pork.	The leg is nice for frying, and when several slices have been cut off for cutlets, the remainder is nice boiled with a small piece of salt pork.	true	563.27	571.63	19.844002
4226_12707_000020_000004	Veal for roasting should be salted, peppered, and a little butter rubbed on it, and basted frequently.	Veal for roasting should be salted, peppered, and a little butter rubbed on it, and basted frequently.	true	571.91	577.63	16
4226_12707_000020_000005	Put a little water in the dripping pan, and unless the meat is quite fat, a little butter should be put in.	Put a little water in the dripping pan, and unless the meat is quite fat, a little butter should be put in.	true	578.03	583.21	16
4226_12707_000020_000006	The fillet is good baked, the bone should be cut out, and the place filled with a dressing, made of bread soaked soft in cold water, a little salt, pepper, a couple of eggs, and a table spoonful of melted butter put in--then sew it up, put it in your bake pan, with about a pint of water, cover the top of the meat with some of the dressing.	The fillet is good baked, the bone should be cut out, and the place filled with a dressing, made of bread soaked soft in cold water, a little salt, pepper, a couple of eggs, and a table spoonful of melted butter put in-then sew it up, put it in your bake pan, with about a pint of water, cover the top of the meat with some of the dressing.	true	583.61	602.2	21.808802
4226_12707_000020_000007	When baked sufficiently, take it up, thicken the gravy with a little flour and water well mixed, put in a small piece of butter, and a little wine and catsup, if you like the gravy rich.	When baked sufficiently, take it up, thicken the gravy with a little flour and water well mixed, put in a small piece of butter, and a little wine and catsup, if you like the gravy rich.	false	602.3	612.79	23.542606
4226_12707_000021_000000	9.	nine.	true	613.7	614.49	23.187983
4226_12707_000021_000001	_Veal Cutlets._	underscore Veal Cutlets.underscore	false	614.49	616.5	23.241405
4226_12707_000022_000000	Fry three or four slices of pork until brown--take them up, then put in slices of veal, about an inch thick, cut from the leg.	Fry three or four slices of pork until brown-take them up, then put in slices of veal, about an inch thick, cut from the leg.	false	616.5	624.61	23.618563
4226_12707_000022_000001	When brown on both sides, take them up--stir half a pint of water into the gravy, then mix two or three tea spoonsful of flour with a little water, and stir it in--soak a couple of slices of toasted bread in the gravy, lay them on the bottom of the platter, place the meat and pork over it, then turn on the gravy.	When brown on both sides, take them up-stir half a pint of water into the gravy, then mix two or three tea spoonsful of flour with a little water, and stir it in-soak a couple of slices of toasted bread in the gravy, lay them on the bottom of the platter, place the meat and pork over it, then turn on the gravy.	false	624.68	644.2	22.029182
4226_12707_000022_000002	A very nice way to cook the cutlets, is to make a batter with half a pint of milk, an egg beaten to a froth, and flour enough to render it thick.	A very nice way to cook the cutlets, is to make a batter with half a pint of milk, an egg beaten to a froth, and flour enough to render it thick.	false	644.3	653.08	21.924854
4226_12707_000022_000003	When the veal is fried brown, dip it into the batter, then put it back into the fat, and fry it until brown again.	When the veal is fried brown, dip it into the batter, then put it back into the fat, and fry it until brown again.	true	653.24	659.68	20
4226_12707_000022_000004	If you have any batter left, it is nice dropped by the large spoonful into the fat, and fried till brown, then laid over the veal.	If you have any batter left, it is nice dropped by the large spoonful into the fat, and fried till brown, then laid over the veal.	true	659.93	667.45	16
4226_12707_000022_000005	Thicken the gravy and turn it over the whole.	Thicken the gravy and turn it over the whole.	true	667.61	670.21	22
4226_12707_000022_000006	It takes about an hour to cook this dish.	It takes about an hour to cook this dish.	true	670.25	672.72	23.659204
4226_12707_000022_000007	If the meat is tough, it will be better to stew it half an hour before frying it.	If the meat is tough, it will be better to stew it half an hour before frying it.	true	672.72	677.2	21
4226_12707_000023_000000	10.	ten.	true	677.99	678.78	21.216482
4226_12707_000023_000001	_Calf's Head._	underscore Calf's Head.underscore	false	678.78	680.76	17.092218
4226_12707_000024_000000	Boil the head two hours, together with the lights and feet.	Boil the head two hours, together with the lights and feet.	true	680.76	684.22	20.642021
4226_12707_000024_000001	Put in the liver when it has boiled an hour and twenty minutes.	Put in the liver when it has boiled an hour and twenty minutes.	true	684.29	687.64	18
4226_12707_000024_000002	Before the head is done, tie the brains in a bag, and boil them with it; when the brains are done, take them up, season them with salt, pepper, butter, and sweet herbs, or spices if you like--use this as a dressing for the head.	Before the head is done, tie the brains in a bag, and boil them with it; when the brains are done, take them up, season them with salt, pepper, butter, and sweet herbs, or spices if you like-use this as a dressing for the head.	true	687.83	700.45	21.020144
4226_12707_000024_000003	Some people prefer part of the liver and feet for dressing--they are prepared like the brains.	Some people prefer part of the liver and feet for dressing-they are prepared like the brains.	true	700.64	706	22.618513
4226_12707_000024_000004	The liquor that the calf's head is boiled in, makes a good soup, seasoned in a plain way like any other veal soup, or seasoned turtle fashion.	The liquor that the calf's head is boiled in, makes a good soup, seasoned in a plain way like any other veal soup, or seasoned turtle fashion.	true	706.19	714.34	20
4226_12707_000024_000005	The liquor should stand until the next day after the head is boiled, in order to have the fat rise, and skimmed off.	The liquor should stand until the next day after the head is boiled, in order to have the fat rise, and skimmed off.	true	714.53	721.09	21.687664
4226_12707_000024_000006	If you wish to have your calf's head look brown, take it up when tender, rub a little butter over it, sprinkle on salt, pepper, and allspice--sprinkle flour over it, and put before the fire, with a Dutch oven over it, or in a brick oven where it will brown quick.	If you wish to have your calf's head look brown, take it up when tender, rub a little butter over it, sprinkle on salt, pepper, and allspice-sprinkle flour over it, and put before the fire, with a Dutch oven over it, or in a brick oven where it will brown quick.	true	721.16	736.42	23.262136
4226_12707_000024_000007	Warm up the brains with a little water, butter, salt, and pepper.	Warm up the brains with a little water, butter, salt, and pepper.	true	736.52	740.26	23.961334
4226_12707_000024_000008	Add wine and spices if you like.	Add wine and spices if you like.	true	740.39	742.54	22.528461
4226_12707_000024_000009	Serve it up as a dressing for the head.	Serve it up as a dressing for the head.	true	742.58	744.91	22.685215
4226_12707_000024_000010	Calf's head is also good, baked.	Calf's head is also good, baked.	true	745.07	747.16	20.64419
4226_12707_000024_000011	Halve it, rub butter over it, put it in a pan, with about a quart of water; then cover it with a dressing made of bread soaked soft, a little butter, an egg, and season it with salt, pepper, and powdered mace. Slice up the brains, and lay them in the pan with the head.	Halve it, rub butter over it, put it in a pan, with about a quart of water; then cover it with a dressing made of bread soaked soft, a little butter, an egg, and season it with salt, pepper, and powdered mace. Slice up the brains, and lay them in the pan with the head.	false	747.35	763.6	21.962795
4226_12707_000024_000012	Bake it in a quick oven, and garnish it with slices of lemon, or force meat balls.	Bake it in a quick oven, and garnish it with slices of lemon, or force meat balls.	true	763.76	768.73	22
4226_12707_000025_000000	11.	eleven.	true	770.57	771.42	21.163208
4226_12707_000025_000001	_Force Meat Balls._	underscore Force Meat Balls.underscore	false	771.42	773.61	21.470745
4226_12707_000026_000000	Chop a pound or two of veal fine--mix it with one or two eggs, a little butter, or raw pork chopped fine--season it with salt and pepper, or curry powder.	Chop a pound or two of veal fine-mix it with one or two eggs, a little butter, or raw pork chopped fine-season it with salt and pepper, or curry powder.	false	773.61	783.4	20.94704
4226_12707_000026_000001	Do them up into balls about the size of half an egg, and fry them brown.	Do them up into balls about the size of half an egg, and fry them brown.	true	783.62	788.17	20.083136
4226_12707_000027_000000	12.	twelve.	true	788.42	789.45	22.204735
4226_12707_000027_000001	_Calf's Feet._	underscore Calf's Feet.underscore	false	789.45	791.25	18.061733
4226_12707_000028_000000	Boil them with the head, until tender, then split and lay them round the head, or dredge them with flour after they have been boiled tender, and fry them brown.	Boil them with the head, until tender, then split and lay them round the head, or dredge them with flour after they have been boiled tender, and fry them brown.	true	791.25	800.38	20
4226_12707_000028_000001	If you wish for gravy for them, when you have taken them up, stir a little flour into the fat they were fried in; season it with salt, pepper, and mace.	If you wish for gravy for them, when you have taken them up, stir a little flour into the fat they were fried in; season it with salt, pepper, and mace.	true	800.63	808.62	21.918606
4226_12707_000028_000002	Add a little butter and wine if you like, then turn it over the feet.	Add a little butter and wine if you like, then turn it over the feet.	false	808.62	812.68	21.743347
4226_12707_000029_000000	13.	thirteen.	true	813.2	814.41	22.507208
4226_12707_000029_000001	_Calf's Liver and Heart._	underscore Calf's Liver and Heart.underscore	false	814.41	816.36	22.47585
4226_12707_000030_000000	Are good, broiled or fried.	Are good, broiled or fried.	true	816.36	817.965	23
4226_12707_000030_000001	Some people like the liver stuffed and baked.	Some people like the liver stuffed and baked.	true	817.965	820.48	26.33015
4226_12707_000031_000000	14.	fourteen.	true	821.63	822.9	24.961252
4226_12707_000031_000001	_Collops._	underscore Collops.underscore	false	822.9	824.49	26.992882
4226_12707_000032_000000	Cut part of a leg of veal into pieces, three or four inches broad--sprinkle flour on them, fry them in butter until brown, then turn in water enough to cover the veal.	Cut part of a leg of veal into pieces, three or four inches broad-sprinkle flour on them, fry them in butter until brown, then turn in water enough to cover the veal.	true	824.49	834.37	20.925013
