6189_64708_000000_000000	CHAPTER III	CHAPTER three	false	24.78	25.74	27.333075
6189_64708_000035_000000	"And I shall die of grief," he said, "if I remain here listening to the hunter's horn."	"And I shall die of grief," he said, "if I remain here listening to the hunter's horn."	true	530.69	536.38	19.59429
6189_64708_000036_000000	So at length his sister, with a heavy heart, set him free, and he bounded away joyfully into the forest.	So at length his sister, with a heavy heart, set him free, and he bounded away joyfully into the forest.	true	536.63	543.825	24.61305
6189_64708_000037_000000	As soon as the king caught sight of him, he said to the huntsmen, "Follow that stag about, but don't hurt him." So they hunted him all day, but at the approach of sunset the king said to the hunter who had followed the fawn the day before, "Come and show me the little cottage."	As soon as the king caught sight of him, he said to the huntsmen, "Follow that stag about, but don't hurt him." So they hunted him all day, but at the approach of sunset the king said to the hunter who had followed the fawn the day before, "Come and show me the little cottage."	true	543.825	560.98	23.659124
6189_64708_000038_000000	So they went together, and when the king saw it he sent his companion home, and went on alone so quickly that he arrived there before the fawn; and, going up to the little door, knocked and said softly, "Dear little sister, let me in."	So they went together, and when the king saw it he sent his companion home, and went on alone so quickly that he arrived there before the fawn; and, going up to the little door, knocked and said softly, "Dear little sister, let me in."	true	561.41	576.46	23.551546
6189_64708_000039_000000	As the door opened, the king stepped in, and in great astonishment saw a maiden more beautiful than he had ever seen in his life standing before him.	As the door opened, the king stepped in, and in great astonishment saw a maiden more beautiful than he had ever seen in his life standing before him.	true	576.89	586.51	23.1074
6189_64708_000039_000001	But how frightened she felt to see instead of her dear little fawn a noble gentleman walk in with a gold crown on his head.	But how frightened she felt to see instead of her dear little fawn a noble gentleman walk in with a gold crown on his head.	true	586.52	595.06	22.350403
6189_64708_000040_000000	However, he appeared very friendly, and after a little talk he held out his hand to her, and said, "Wilt thou go with me to my castle and be my dear wife?"	However, he appeared very friendly, and after a little talk he held out his hand to her, and said, "Wilt thou go with me to my castle and be my dear wife?"	true	595.13	605.53	24.005548
6189_64708_000041_000000	"Ah yes," replied the maiden, "I would willingly; but I cannot leave my dear fawn: he must go with me wherever I am."	"Ah yes," replied the maiden, "I would willingly; but I cannot leave my dear fawn: he must go with me wherever I am."	true	605.75	614.53	21.341627
6189_64708_000042_000000	"He shall remain with you as long as you live," replied the king, "and I will never ask you to forsake him."	"He shall remain with you as long as you live," replied the king, "and I will never ask you to forsake him."	true	614.72	621.7	21.429054
6189_64708_000043_000000	While they were talking, the fawn came bounding in, looking quite well and happy.	While they were talking, the fawn came bounding in, looking quite well and happy.	true	622.04	627.405	24.113258
6189_64708_000043_000001	Then his sister fastened the string of rushes to his collar, took it in her hand, and led him away from the cottage in the wood to where the king's beautiful horse waited for him.	Then his sister fastened the string of rushes to his collar, took it in her hand, and led him away from the cottage in the wood to where the king's beautiful horse waited for him.	true	627.405	637.84	22.458115
6189_64708_000044_000000	The king placed the maiden before him on his horse and rode away to his castle, the fawn following by their side.	The king placed the maiden before him on his horse and rode away to his castle, the fawn following by their side.	true	638	645.19	21.380657
6189_64708_000044_000001	Soon after, their marriage was celebrated with great splendour, and the fawn was taken the greatest care of, and played where he pleased, or roamed about the castle grounds in happiness and safety.	Soon after, their marriage was celebrated with great splendour, and the fawn was taken the greatest care of, and played where he pleased, or roamed about the castle grounds in happiness and safety.	true	645.44	657.55	24.624874
6189_64708_000045_000000	In the meantime the wicked stepmother, who had caused these two young people such misery, supposed that the sister had been devoured by wild beasts, and that the fawn had been hunted to death.	In the meantime the wicked stepmother, who had caused these two young people such misery, supposed that the sister had been devoured by wild beasts, and that the fawn had been hunted to death.	true	657.98	671.14	24.178324
6189_64708_000045_000001	Therefore when she heard of their happiness, such envy and malice arose in her heart that she could find no rest till she had tried to destroy it.	Therefore when she heard of their happiness, such envy and malice arose in her heart that she could find no rest till she had tried to destroy it.	true	671.66	681.34	23.441956
6189_64708_000046_000000	She and her ugly daughter came to the castle when the queen had a little baby, and one of them pretended to be a nurse, and at last got the mother and child into their power.	She and her ugly daughter came to the castle when the queen had a little baby, and one of them pretended to be a nurse, and at last got the mother and child into their power.	true	681.44	692.77	23.662643
6189_64708_000047_000000	They shut the queen up in the bath, and tried to suffocate her, and the old woman put her own ugly daughter in the queen's bed that the king might not know she was away.	They shut the queen up in the bath, and tried to suffocate her, and the old woman put her own ugly daughter in the queen's bed that the king might not know she was away.	true	692.84	703.33	23.989021
6189_64708_000048_000000	She would not, however, let him speak to her, but pretended that she must be kept quite quiet.	She would not, however, let him speak to her, but pretended that she must be kept quite quiet.	true	703.64	709.71	26.268295
6189_64708_000049_000000	The queen escaped from the bath-room, where the wicked old woman had locked her up, but she did not go far, as she wanted to watch over her child and the little fawn.	The queen escaped from the bath room, where the wicked old woman had locked her up, but she did not go far, as she wanted to watch over her child and the little fawn.	true	709.71	719.35	24.006733
6189_64708_000050_000000	For two nights the baby's nurse saw a figure of the queen come into the room and take up her baby and nurse it.	For two nights the baby's nurse saw a figure of the queen come into the room and take up her baby and nurse it.	true	720.38	727.81	22.911257
6189_64708_000050_000001	Then she told the king, and he determined to watch himself.	Then she told the king, and he determined to watch himself.	true	727.94	732.28	24.410286
6189_64708_000050_000002	The old stepmother, who acted as nurse to her ugly daughter, whom she tried to make the king believe was his wife, had said that the queen was too weak to see him, and never left her room.	The old stepmother, who acted as nurse to her ugly daughter, whom she tried to make the king believe was his wife, had said that the queen was too weak to see him, and never left her room.	true	732.62	744.13	24.79777
6189_64708_000050_000003	"There cannot be two queens," said the king to himself, "so to-night I will watch in the nursery." As soon as the figure came in and took up her baby, he saw it was his real wife, and caught her in his arms, saying, "You are my own beloved wife, as beautiful as ever."	"There cannot be two queens," said the king to himself, "so to night I will watch in the nursery." As soon as the figure came in and took up her baby, he saw it was his real wife, and caught her in his arms, saying, "You are my own beloved wife, as beautiful as ever."	true	744.68	763.69	22.92667
6189_64708_000051_000000	The wicked witch had thrown her into a trance, hoping she would die, and that the king would then marry her daughter; but on the king speaking to her, the spell was broken.	The wicked witch had thrown her into a trance, hoping she would die, and that the king would then marry her daughter; but on the king speaking to her, the spell was broken.	true	763.79	774.85	23.408546
6189_64708_000051_000001	The queen told the king how cruelly she had been treated by her stepmother, and on hearing this he became very angry, and had the witch and her daughter brought to justice.	The queen told the king how cruelly she had been treated by her stepmother, and on hearing this he became very angry, and had the witch and her daughter brought to justice.	true	775.07	785.53	23
6189_64708_000051_000002	They were both sentenced to die--the daughter to be devoured by wild beasts, and the mother to be burnt alive.	They were both sentenced to die-the daughter to be devoured by wild beasts, and the mother to be burnt alive.	true	785.78	793.24	22.045336
6189_64708_000052_000000	No sooner, however, was she reduced to ashes than the charm which held the queen's brother in the form of a stag was broken; he recovered his own natural shape, and appeared before them a tall, handsome young man.	No sooner, however, was she reduced to ashes than the charm which held the queen's brother in the form of a stag was broken; he recovered his own natural shape, and appeared before them a tall, handsome young man.	false	793.43	808.21	22.623556
6189_64708_000053_000000	After this, the brother and sister lived happily and peacefully for the rest of their lives.	After this, the brother and sister lived happily and peacefully for the rest of their lives.	true	808.58	814.77	24.281256
6189_64708_000054_000000	CHAPTER IV	CHAPTER four	false	814.77	815.82	-20
6189_64708_000055_000000	HANSEL AND GRETHEL	HANSEL AND GRETHEL	false	815.82	816.63	100
6189_64708_000056_000000	Near the borders of a large forest dwelt in olden times a poor wood-cutter, who had two children--a boy named Hansel, and his sister, Grethel.	Near the borders of a large forest dwelt in olden times a poor wood cutter, who had two children-a boy named Hansel, and his sister, Grethel.	false	816.63	816.9	16
6189_64708_000056_000001	They had very little to live upon, and once when there was a dreadful season of scarcity in the land, the poor wood-cutter could not earn sufficient to supply their daily food.	They had very little to live upon, and once when there was a dreadful season of scarcity in the land, the poor wood cutter could not earn sufficient to supply their daily food.	false	816.9	824.28	22.784039
