7383_95441_000002_000000	VIII	eight
7383_95441_000030_000000	The first officer, charging aft from the bridge, rounded the deck-house and pulled up with a grunt of surprise to find the deck completely deserted....	The first officer, charging aft from the bridge, rounded the deck house and pulled up with a grunt of surprise to find the deck completely deserted....
7383_95441_000031_000000	The shock of icy immersion reanimated Lanyard.	The shock of icy immersion reanimated Lanyard.
7383_95441_000032_000000	He felt himself plunging headlong down, down, and down to inky depths unguessable.	He felt himself plunging headlong down, down, and down to inky depths unguessable.
7383_95441_000032_000001	The sheer habit of an accustomed swimmer alone bade him hold his breath.	The sheer habit of an accustomed swimmer alone bade him hold his breath.
7383_95441_000033_000000	Then came a pause: he was no more descending; for a time of indeterminate duration, an age of anguish, he seemed to float without motion, suspended in frigid purgatory.	Then came a pause: he was no more descending; for a time of indeterminate duration, an age of anguish, he seemed to float without motion, suspended in frigid purgatory.
7383_95441_000033_000003	His head felt swollen and enormous, on the point of bursting wide.	His head felt swollen and enormous, on the point of bursting wide.
7383_95441_000035_000000	Instinctively he kept afloat with feeble strokes.	Instinctively he kept afloat with feeble strokes.
7383_95441_000036_000000	The cold was bitter, as sharp as the teeth of death; but his head was now clear, he was able to appreciate what had befallen him.	The cold was bitter, as sharp as the teeth of death; but his head was now clear, he was able to appreciate what had befallen him.
7383_95441_000038_000000	She seemed absurdly small.	She seemed absurdly small.
7383_95441_000038_000001	Incredulity infected Lanyard's mind.	Incredulity infected Lanyard's mind.
7383_95441_000040_000000	Then the cold began to bite into his marrow, and he struggled manfully to swim, taking long, slow strokes, at first comparatively powerful, by insensible degrees losing force.	Then the cold began to bite into his marrow, and he struggled manfully to swim, taking long, slow strokes, at first comparatively powerful, by insensible degrees losing force.
7383_95441_000041_000000	Just why he took this trouble he did not know: for some dim reason it seemed desirable to live as long as possible.	Just why he took this trouble he did not know: for some dim reason it seemed desirable to live as long as possible.
7383_95441_000041_000001	Withal he was aware he could not live.	Withal he was aware he could not live.
7383_95441_000041_000003	Even were an alarm to be given, were she to stop now and put out a boat, it would find him, if it found him at all, too late.	Even were an alarm to be given, were she to stop now and put out a boat, it would find him, if it found him at all, too late.
7383_95441_000042_000000	The cold was killing.	The cold was killing.
7383_95441_000043_000000	He felt very sleepy.	He felt very sleepy.
7383_95441_000043_000001	Drowsily he apprehended the beginning of the end. His senses, growing numb with cold, presently must cease to function altogether.	Drowsily he apprehended the beginning of the end. His senses, growing numb with cold, presently must cease to function altogether.
7383_95441_000043_000002	Then he would forget, and nothing would matter any more.	Then he would forget, and nothing would matter any more.
7383_95441_000044_000000	Yet the will to live persisted amazingly.	Yet the will to live persisted amazingly.
7383_95441_000044_000001	Had Lanyard wished it he could not have ceased to swim, at least to keep afloat.	Had Lanyard wished it he could not have ceased to swim, at least to keep afloat.
7383_95441_000044_000002	Vaguely he wondered how people ever managed to commit suicide by drowning; it seemed to pass human power to resist that buoyancy which sustained one, to let go, let one's self go down.	Vaguely he wondered how people ever managed to commit suicide by drowning; it seemed to pass human power to resist that buoyancy which sustained one, to let go, let one's self go down.
7383_95441_000044_000003	Impossible to conceive how that was ever done....	Impossible to conceive how that was ever done....
7383_95441_000046_000000	No reading that riddle!...	No reading that riddle!...
7383_95441_000047_000000	On obscure impulse he gave up swimming, turned upon his back, floated face to the sky, derelict, resigning himself to the cradling arms of the sea. The gradual, slow rocking of the swells soothed his passion like a kindly opiate.	On obscure impulse he gave up swimming, turned upon his back, floated face to the sky, derelict, resigning himself to the cradling arms of the sea. The gradual, slow rocking of the swells soothed his passion like a kindly opiate.
7383_95441_000047_000002	What must be, must....	What must be, must....
7383_95441_000048_000000	For all that, life clutched at him with jealous hands.	For all that, life clutched at him with jealous hands.
7383_95441_000049_000000	Athwart the drab texture of consciousness wild fancies played like heat lightning in a still midsummer night.	Athwart the drab texture of consciousness wild fancies played like heat lightning in a still midsummer night.
7383_95441_000050_000000	Death's countenance was kind.	Death's countenance was kind.
7383_95441_000051_000000	That wide field of stars, drooping low and lifting away with rhythmic motion, would sometime dip swiftly down to the very sea itself and, swinging back, take with it his soul to some remote bourne....	That wide field of stars, drooping low and lifting away with rhythmic motion, would sometime dip swiftly down to the very sea itself and, swinging back, take with it his soul to some remote bourne....
7383_95441_000054_000000	The heave of a swell enabled him to glance incuriously after the steamship. She seemed smaller, less genuine than ever, a shadow shape that boasted visibility solely through that unearthly light on her after deck.	The heave of a swell enabled him to glance incuriously after the steamship. She seemed smaller, less genuine than ever, a shadow shape that boasted visibility solely through that unearthly light on her after deck.
7383_95441_000054_000002	Even as he that had been named Michael Lanyard was a lost light, a tiny flame that guttered toward its swift extinction....	Even as he that had been named Michael Lanyard was a lost light, a tiny flame that guttered toward its swift extinction....
7383_95441_000055_000000	Why live, when one might die and, dying, find endless rest?	Why live, when one might die and, dying, find endless rest?
7383_95441_000058_000000	This the one cogent reason why he must not, could not, die....	This the one cogent reason why he must not, could not, die....
7383_95441_000059_000000	Unjust to require him to give up life while that one lived.	Unjust to require him to give up life while that one lived.
7383_95441_000059_000002	It must not be!...	It must not be!...
7383_95441_000060_000000	Across the sea rolled a dull, brutish detonation.	Across the sea rolled a dull, brutish detonation.
7383_95441_000061_000000	It vanished instantly.	It vanished instantly.
7383_95441_000062_000000	When his dazzled vision cleared, he could see no more of the ship.	When his dazzled vision cleared, he could see no more of the ship.
7383_95441_000062_000001	He imagined a faint, wild rumour of panic voices, conjured up scenes of horror indescribable as that great fabric sank almost instantaneously, as if some gigantic hand plucked her under.	He imagined a faint, wild rumour of panic voices, conjured up scenes of horror indescribable as that great fabric sank almost instantaneously, as if some gigantic hand plucked her under.
7383_95441_000063_000000	What had happened?	What had happened?
7383_95441_000063_000003	They had got what they sought, that accursed document, whatever it was, that page torn from the Book of Doom.	They had got what they sought, that accursed document, whatever it was, that page torn from the Book of Doom.
7383_95441_000065_000001	A target for what?...	A target for what?...
7383_95441_000066_000001	A wave of pure fear flooded him, body, mind, and soul.	A wave of pure fear flooded him, body, mind, and soul.
7383_95441_000067_000000	He heard a voice screaming thinly, and knew it was his own.	He heard a voice screaming thinly, and knew it was his own.
7383_95441_000068_000000	The impossible was happening to him, out there, alone and helpless on the face of the waters.	The impossible was happening to him, out there, alone and helpless on the face of the waters.
7383_95441_000068_000001	A shape of horror was rising out of the deep to engorge him.	A shape of horror was rising out of the deep to engorge him.
7383_95441_000068_000002	He could feel distinctly the slow, irresistible heave of its bulk beneath him.	He could feel distinctly the slow, irresistible heave of its bulk beneath him.
7383_95441_000068_000003	His feet touched and slipped upon its horrible sleek flanks.	His feet touched and slipped upon its horrible sleek flanks.
7383_95441_000069_000000	His most desperate efforts were all unavailing.	His most desperate efforts were all unavailing.
7383_95441_000069_000001	He could not escape.	He could not escape.
7383_95441_000069_000002	The thing came up too rapidly.	The thing came up too rapidly.
7383_95441_000069_000003	Following that first mad thrill of contact with it underfoot, he was lifted swiftly and irresistibly into the air.	Following that first mad thrill of contact with it underfoot, he was lifted swiftly and irresistibly into the air.
7383_95441_000069_000004	Almost instantly he was floundering in knee-deep waters that parted, cascading away on either hand.	Almost instantly he was floundering in knee deep waters that parted, cascading away on either hand.
7383_95441_000070_000000	His clawing hands clutched something solid and substantial, an upright bar of metal.	His clawing hands clutched something solid and substantial, an upright bar of metal.
7383_95441_000071_000000	Incredulously Lanyard pawed the body of the monster beneath him.	Incredulously Lanyard pawed the body of the monster beneath him.
7383_95441_000071_000001	His hands passed over a riveted joint of metal plates.	His hands passed over a riveted joint of metal plates.
7383_95441_000071_000002	Looking up, he made out the truncated cone of a conning tower with its antennae-like periscope tubes stencilled black upon the soft purple of the star-strewn sky.	Looking up, he made out the truncated cone of a conning tower with its antennae like periscope tubes stencilled black upon the soft purple of the star strewn sky.
7383_95441_000072_000000	Slowly the truth came home: a submarine had risen beneath him.	Slowly the truth came home: a submarine had risen beneath him.
7383_95441_000072_000001	He lay upon its after deck, grasping a stanchion that supported the small raised bridge round the conning tower.	He lay upon its after deck, grasping a stanchion that supported the small raised bridge round the conning tower.
7383_95441_000074_000000	But when he sought to drag himself up to the bridge, he could not, he was too weak and faint.	But when he sought to drag himself up to the bridge, he could not, he was too weak and faint.
7383_95441_000074_000001	Ceasing to struggle, he rested in half stupour, panting.	Ceasing to struggle, he rested in half stupour, panting.
7383_95441_000075_000000	With a harsh clang a hatch was thrown back.	With a harsh clang a hatch was thrown back.
7383_95441_000075_000001	Rousing, Lanyard saw several figures emerge from the conning tower.	Rousing, Lanyard saw several figures emerge from the conning tower.
7383_95441_000075_000002	Men uncouthly clothed in shapeless, shiny leather garments, straddled and stretched above him, filling their lungs with the sweet air.	Men uncouthly clothed in shapeless, shiny leather garments, straddled and stretched above him, filling their lungs with the sweet air.
7383_95441_000075_000003	He tried to call to them, but evoked a mere rattle from his throat.	He tried to call to them, but evoked a mere rattle from his throat.
7383_95441_000077_000000	A pang of despair shot through Lanyard when he heard them conferring together in the German tongue.	A pang of despair shot through Lanyard when he heard them conferring together in the German tongue.
7383_95441_000078_000000	Death, then, was but a little delayed.	Death, then, was but a little delayed.
7383_95441_000079_000000	Thereafter he lay in dumb apathy, save that he shivered and his teeth chattered uncontrollably.	Thereafter he lay in dumb apathy, save that he shivered and his teeth chattered uncontrollably.
7383_95441_000080_000000	Through the torpor that rested like a black cloud upon his senses he caught broken phrases, snatches of sentences:	Through the torpor that rested like a black cloud upon his senses he caught broken phrases, snatches of sentences:
7383_95441_000086_000001	The crew on deck leaped to attention.	The crew on deck leaped to attention.
7383_95441_000086_000002	One leaned over the conning-tower hatch and shouted to his mates below.	One leaned over the conning tower hatch and shouted to his mates below.
7383_95441_000086_000003	A hatch forward of the tower opened, and a quick-firing gun on a disappearing carriage swung smoothly and silently up from its lair.	A hatch forward of the tower opened, and a quick firing gun on a disappearing carriage swung smoothly and silently up from its lair.
7383_95441_000088_000001	What's this?"	What's this?"
7383_95441_000089_000000	The first rejoined him.	The first rejoined him.
7383_95441_000089_000001	"Impossible!"	"Impossible!"
7383_95441_000091_000000	"Have him up and see...."	"Have him up and see...."
7383_95441_000093_000000	"At the last gasp, but alive," one announced.	"At the last gasp, but alive," one announced.
7383_95441_000094_000000	"How the devil did he get out here?"	"How the devil did he get out here?"
7383_95441_000096_000000	"Impossible for any man to swim this far since our torpedo struck--"	"Impossible for any man to swim this far since our torpedo struck-"
7383_95441_000097_000000	"Then he must have gone overboard before it struck--or was thrown--"	"Then he must have gone overboard before it struck-or was thrown-"
7383_95441_000099_000000	"Hell's fury!	"Hell's fury!
7383_95441_000099_000001	what's that searchlight?"	what's that searchlight?"
7383_95441_000100_000000	"A Yankee destroyer--in all probability the one we dodged yesterday afternoon."	"A Yankee destroyer-in all probability the one we dodged yesterday afternoon."
7383_95441_000101_000001	Forward, there--house that gun! And get below--quickly!"	Forward, there-house that gun! And get below-quickly!"
7383_95441_000102_000000	During a moment of apparent confusion, one of the men sustaining Lanyard caught the attention of an officer.	During a moment of apparent confusion, one of the men sustaining Lanyard caught the attention of an officer.
7383_95441_000103_000000	"What shall we do with this fellow, sir?" he enquired.	"What shall we do with this fellow, sir?" he enquired.
7383_95441_000106_000001	"On the Emperor's service--"	"On the Emperor's service-"
7383_95441_000107_000000	"What's that?"	"What's that?"
7383_95441_000107_000001	The officer turned back sharply.	The officer turned back sharply.
7383_95441_000108_000000	"Imperial Secret Service," Lanyard faltered--"Personal Division--Wilhelmstrasse Number 27--"	"Imperial Secret Service," Lanyard faltered-"Personal Division-Wilhelmstrasse Number twenty seven--"
7383_95441_000109_000000	A brilliant glare settled suddenly upon the deck of the submarine, and was welcomed by a panicky gust of oaths.	A brilliant glare settled suddenly upon the deck of the submarine, and was welcomed by a panicky gust of oaths.
7383_95441_000109_000001	One officer had already popped through the conning-tower hatch, followed by several of the crew.	One officer had already popped through the conning tower hatch, followed by several of the crew.
7383_95441_000110_000000	"Take him below!" the latter ordered.	"Take him below!" the latter ordered.
7383_95441_000110_000001	"He may be telling the truth.	"He may be telling the truth.
7383_95441_000110_000002	If not...."	If not...."
7383_95441_000111_000000	In the distance a gun boomed.	In the distance a gun boomed.
7383_95441_000111_000001	A shell shrieked over the submarine and dropped into the sea not a hundred yards to starboard.	A shell shrieked over the submarine and dropped into the sea not a hundred yards to starboard.
7383_95441_000111_000002	The men rushed Lanyard toward the conning tower.	The men rushed Lanyard toward the conning tower.
7383_95441_000111_000003	He tried feebly to help them.	He tried feebly to help them.
