7383_95441_000000_000000	The hypodermic outfit was there, but minus the phial.	The hypodermic outfit was there, but minus the phial.	false	1.98	7.515	19.880924
7383_95441_000017_000001	And as Lanyard rose from his knees after ducking beneath the line, a stream of fatter sparks spat from the end of a fuse.	And as Lanyard rose from his knees after ducking beneath the line, a stream of fatter sparks spat from the end of a fuse.	true	251.63	259.09	18.969202
7383_95441_000018_000000	The man leaned over the rail and cast a small black object to which the sputtering fuse was attached, down to the main deck.	The man leaned over the rail and cast a small black object to which the sputtering fuse was attached, down to the main deck.	true	259.37	267.49	22.376549
7383_95441_000019_000000	As it struck midway between superstructure and stern it burst into brilliant flame, releasing upon the night an electric-blue glare that must have been visible from any point within the compass of the horizon.	As it struck midway between superstructure and stern it burst into brilliant flame, releasing upon the night an electric blue glare that must have been visible from any point within the compass of the horizon.	true	268.01	281.29	23
7383_95441_000020_000000	A yell of profane remonstrance saluted the light, and throughout the brief passage that followed Lanyard was conscious that pistols and rifles on the after deck below were making him and his antagonist their targets.	A yell of profane remonstrance saluted the light, and throughout the brief passage that followed Lanyard was conscious that pistols and rifles on the after deck below were making him and his antagonist their targets.	true	281.84	294.94	20
7383_95441_000021_000000	Before the German could face about, Lanyard, moving almost noiselessly in his bare feet, had covered more than half the intervening space.	Before the German could face about, Lanyard, moving almost noiselessly in his bare feet, had covered more than half the intervening space.	true	295.61	304.72	21.337141
7383_95441_000021_000001	In another breath he might have had the fellow at a disadvantage.	In another breath he might have had the fellow at a disadvantage.	true	305.03	308.86	18.216805
7383_95441_000021_000002	But the distance was too great.	But the distance was too great.	true	309.14	311.26	25.562199
7383_95441_000021_000003	Twice the automatic blazed in his face as he closed in, the bullets clearing narrowly--or else he fancied that their deadly cold breath fanned his cheek.	Twice the automatic blazed in his face as he closed in, the bullets clearing narrowly-or else he fancied that their deadly cold breath fanned his cheek.	true	311.75	321.13	20.504463
7383_95441_000022_000000	Then the spy's weapon in turn went out of action.	Then the spy's weapon in turn went out of action.	true	321.56	324.46	22.952517
7383_95441_000022_000001	Half blinded, Lanyard clipped the man round the body and hugged him tight, exerting all his skill and strength to effect a throw.	Half blinded, Lanyard clipped the man round the body and hugged him tight, exerting all his skill and strength to effect a throw.	true	324.86	333.04	21.751429
7383_95441_000023_000000	That effort failed; his onslaught was met with address and ability that all but matched his own.	That effort failed; his onslaught was met with address and ability that all but matched his own.	true	333.56	339.91	21.852808
7383_95441_000023_000001	The animal he embraced had muscles like tempered springs and the cunning and fury of a wild beast in a trap.	The animal he embraced had muscles like tempered springs and the cunning and fury of a wild beast in a trap.	true	340.25	347.77	19.748022
7383_95441_000023_000002	For a moment Lanyard was able to accomplish no more than to smother resistance in a rib-crushing embrace; no sooner did he relax it than all attempts to shift his hold were anticipated and met half way, forcing him back upon the defensive.	For a moment Lanyard was able to accomplish no more than to smother resistance in a rib crushing embrace; no sooner did he relax it than all attempts to shift his hold were anticipated and met half way, forcing him back upon the defensive.	true	348.17	363.58	21.65344
7383_95441_000024_000000	Yet he was given little chance to prove himself the master.	Yet he was given little chance to prove himself the master.	true	364.49	367.75	22.473564
7383_95441_000024_000001	The first phase of the struggle was still in contest when the rear door of the smoking room opened and a man stepped out, paused, summed up the situation in a glance, seized Lanyard from behind.	The first phase of the struggle was still in contest when the rear door of the smoking room opened and a man stepped out, paused, summed up the situation in a glance, seized Lanyard from behind.	true	368	379.81	21.995611
7383_95441_000025_000000	The adventurer felt his arms grasped by hands whose strength seemed little short of superhuman, and wrenched back so violently that his very bones cracked.	The adventurer felt his arms grasped by hands whose strength seemed little short of superhuman, and wrenched back so violently that his very bones cracked.	false	380.42	390.82	21.682049
7383_95441_000025_000001	Fairly lifted from his feet, he was held as helpless as an infant kicking in the arms of its nurse.	Fairly lifted from his feet, he was held as helpless as an infant kicking in the arms of its nurse.	true	391.13	397.06	18.588945
7383_95441_000026_000000	Released, the other spy stepped back and swung his left fist viciously to Lanyard's jaw.	Released, the other spy stepped back and swung his left fist viciously to Lanyard's jaw.	false	397.67	403.72	23.105492
7383_95441_000026_000001	Something in the brain of the adventurer seemed to let go; his head dropped weakly to one side.	Something in the brain of the adventurer seemed to let go; his head dropped weakly to one side.	true	404.18	410.62	21.6789
7383_95441_000026_000002	The man who had struck him said quietly, "Loose the fool, Ed," and followed as Lanyard reeled away, striking him repeatedly.	The man who had struck him said quietly, "Loose the fool, Ed," and followed as Lanyard reeled away, striking him repeatedly.	true	411.26	420.22	21.078382
7383_95441_000027_000000	For a giddy moment Lanyard was darkly conscious--as one dreams an evil dream--of blows raining mercilessly about his head and body, blows that drove him back athwartships toward a fate dark and terrible, a great void of blackness.	For a giddy moment Lanyard was darkly conscious-as one dreams an evil dream-of blows raining mercilessly about his head and body, blows that drove him back athwartships toward a fate dark and terrible, a great void of blackness.	false	420.77	437.2	21.657848
7383_95441_000027_000001	He felt unutterably weary, and was weakened by a sensation of nausea.	He felt unutterably weary, and was weakened by a sensation of nausea.	true	437.63	443.14	20.244057
7383_95441_000027_000002	Beneath him his knees buckled.	Beneath him his knees buckled.	true	443.54	445.72	22.180073
7383_95441_000027_000003	There fell one final blow, ruthless as the wrath of God.	There fell one final blow, ruthless as the wrath of God.	true	446	451.24	20.318533
7383_95441_000028_000000	He was falling backward into nothingness, into an everlasting gulf of night that yawned for him....	He was falling backward into nothingness, into an everlasting gulf of night that yawned for him....	true	452.12	459.37	23.480501
7383_95441_000029_000000	As he shot under the guard rope and into space between the edge of the deck and the keel of the lifeboat, the spy rounded smartly on a heel and darted to the smoking-room door.	As he shot under the guard rope and into space between the edge of the deck and the keel of the lifeboat, the spy rounded smartly on a heel and darted to the smoking room door.	true	460.07	470.08	20
7383_95441_000029_000001	His confederate was in the act of stepping across the raised threshold.	His confederate was in the act of stepping across the raised threshold.	true	470.48	474.34	22.67743
7383_95441_000029_000002	He followed, closed the door.	He followed, closed the door.	true	474.59	476.68	23.054731
7383_95441_000030_000000	The first officer, charging aft from the bridge, rounded the deck-house and pulled up with a grunt of surprise to find the deck completely deserted....	The first officer, charging aft from the bridge, rounded the deck house and pulled up with a grunt of surprise to find the deck completely deserted....	true	477.26	485.74	21.71197
7383_95441_000031_000000	The shock of icy immersion reanimated Lanyard.	The shock of icy immersion reanimated Lanyard.	true	487.52	491.47	21.104517
7383_95441_000032_000000	He felt himself plunging headlong down, down, and down to inky depths unguessable.	He felt himself plunging headlong down, down, and down to inky depths unguessable.	true	491.99	499.69	21.095684
7383_95441_000032_000001	The sheer habit of an accustomed swimmer alone bade him hold his breath.	The sheer habit of an accustomed swimmer alone bade him hold his breath.	true	500.18	504.94	21.293413
7383_95441_000033_000000	Then came a pause: he was no more descending; for a time of indeterminate duration, an age of anguish, he seemed to float without motion, suspended in frigid purgatory.	Then came a pause: he was no more descending; for a time of indeterminate duration, an age of anguish, he seemed to float without motion, suspended in frigid purgatory.	true	505.34	518.38	21.402132
7383_95441_000033_000001	Against his ribs something hammered like a racing engine.	Against his ribs something hammered like a racing engine.	true	519.17	522.49	19.962938
7383_95441_000033_000002	In his ears sounded a vast roaring, the deafening voices of a thousand waterfalls.	In his ears sounded a vast roaring, the deafening voices of a thousand waterfalls.	true	522.83	528.31	18.084488
7383_95441_000033_000003	His head felt swollen and enormous, on the point of bursting wide.	His head felt swollen and enormous, on the point of bursting wide.	true	528.68	533.8	20.62784
7383_95441_000034_000000	Without warning expelled from those depths, he shot full half-length out of water, and fell back into the milky welter of the _Assyrian's_ wake.	Without warning expelled from those depths, he shot full half length out of water, and fell back into the milky welter of the underscore Assyrian's underscore wake.	false	534.71	544.57	21.220276
7383_95441_000035_000000	Instinctively he kept afloat with feeble strokes.	Instinctively he kept afloat with feeble strokes.	true	544.91	548.2	22.498003
7383_95441_000036_000000	The cold was bitter, as sharp as the teeth of death; but his head was now clear, he was able to appreciate what had befallen him.	The cold was bitter, as sharp as the teeth of death; but his head was now clear, he was able to appreciate what had befallen him.	true	548.99	558.28	22.10906
7383_95441_000037_000000	Already the _Assyrian_, forging onward unchecked, had left him well astern, her progress distinctly disclosed by that infernal bluish glare spouting from her after deck.	Already the underscore Assyrian underscore, forging onward unchecked, had left him well astern, her progress distinctly disclosed by that infernal bluish glare spouting from her after deck.	false	558.95	569.65	21.153452
7383_95441_000038_000000	She seemed absurdly small.	She seemed absurdly small.	true	570.44	572.83	21.182999
7383_95441_000038_000001	Incredulity infected Lanyard's mind.	Incredulity infected Lanyard's mind.	true	573.47	576.28	21.557854
7383_95441_000038_000002	Nothing so tiny, so insignificant, so make-believe as that silhouette of a ship could conceivably be that great liner, the _Assyrian_....	Nothing so tiny, so insignificant, so make believe as that silhouette of a ship could conceivably be that great liner, the underscore Assyrian underscore....	false	576.59	586.86	20.625225
7383_95441_000039_000000	Temporarily a burning pain in his left shoulder drove all other considerations out of mind.	Temporarily a burning pain in his left shoulder drove all other considerations out of mind.	true	586.86	591.97	17
7383_95441_000039_000001	The salt water was beginning to smart in the raw, superficial wound made by that assassin's bullet ... back there in the stateroom ... long ago....	The salt water was beginning to smart in the raw, superficial wound made by that assassin's bullet ... back there in the stateroom ... long ago....	true	592.31	601.81	19.73655
7383_95441_000040_000000	Then the cold began to bite into his marrow, and he struggled manfully to swim, taking long, slow strokes, at first comparatively powerful, by insensible degrees losing force.	Then the cold began to bite into his marrow, and he struggled manfully to swim, taking long, slow strokes, at first comparatively powerful, by insensible degrees losing force.	true	602.75	615.7	21.48627
7383_95441_000041_000000	Just why he took this trouble he did not know: for some dim reason it seemed desirable to live as long as possible.	Just why he took this trouble he did not know: for some dim reason it seemed desirable to live as long as possible.	true	617.33	626.23	21.042574
7383_95441_000041_000001	Withal he was aware he could not live.	Withal he was aware he could not live.	true	627.02	629.8	20.355568
7383_95441_000041_000002	Whether careless or utterly ignorant of his fate, the _Assyrian_ was trudging on and on, leaving him ever farther astern, lost beyond rescue in that weird, bleak waste.	Whether careless or utterly ignorant of his fate, the underscore Assyrian underscore was trudging on and on, leaving him ever farther astern, lost beyond rescue in that weird, bleak waste.	false	630.32	642.46	23.49821
7383_95441_000041_000003	Even were an alarm to be given, were she to stop now and put out a boat, it would find him, if it found him at all, too late.	Even were an alarm to be given, were she to stop now and put out a boat, it would find him, if it found him at all, too late.	true	643.79	652.24	21.76694
7383_95441_000042_000000	The cold was killing.	The cold was killing.	true	652.91	654.94	22.866962
7383_95441_000043_000000	He felt very sleepy.	He felt very sleepy.	true	655.79	658.24	21.675795
7383_95441_000043_000001	Drowsily he apprehended the beginning of the end. His senses, growing numb with cold, presently must cease to function altogether.	Drowsily he apprehended the beginning of the end. His senses, growing numb with cold, presently must cease to function altogether.	true	658.61	667.72	20.902037
7383_95441_000043_000002	Then he would forget, and nothing would matter any more.	Then he would forget, and nothing would matter any more.	true	668.3	671.68	21.44182
7383_95441_000044_000000	Yet the will to live persisted amazingly.	Yet the will to live persisted amazingly.	true	672.56	676.21	21.45104
7383_95441_000044_000001	Had Lanyard wished it he could not have ceased to swim, at least to keep afloat.	Had Lanyard wished it he could not have ceased to swim, at least to keep afloat.	true	676.79	681.49	21.408812
7383_95441_000044_000002	Vaguely he wondered how people ever managed to commit suicide by drowning; it seemed to pass human power to resist that buoyancy which sustained one, to let go, let one's self go down.	Vaguely he wondered how people ever managed to commit suicide by drowning; it seemed to pass human power to resist that buoyancy which sustained one, to let go, let one's self go down.	true	682.07	694.96	21.803486
7383_95441_000044_000003	Impossible to conceive how that was ever done....	Impossible to conceive how that was ever done....	true	695.03	697.93	20.866617
7383_95441_000045_000000	Why should he care to go on living?	Why should he care to go on living?	true	698.69	700.99	19.508875
7383_95441_000046_000000	No reading that riddle!...	No reading that riddle!...	true	701.78	703.42	23.552898
7383_95441_000047_000000	On obscure impulse he gave up swimming, turned upon his back, floated face to the sky, derelict, resigning himself to the cradling arms of the sea. The gradual, slow rocking of the swells soothed his passion like a kindly opiate.	On obscure impulse he gave up swimming, turned upon his back, floated face to the sky, derelict, resigning himself to the cradling arms of the sea. The gradual, slow rocking of the swells soothed his passion like a kindly opiate.	true	704.27	722.98	23.00647
7383_95441_000047_000001	The cold no more irked him, but seemed somehow strangely anodynous. Imperturbably he envisaged death, without fear, without welcome.	The cold no more irked him, but seemed somehow strangely anodynous. Imperturbably he envisaged death, without fear, without welcome.	false	723.53	733.6	22.296654
7383_95441_000047_000002	What must be, must....	What must be, must....	true	733.82	735.52	22.673351
7383_95441_000048_000000	For all that, life clutched at him with jealous hands.	For all that, life clutched at him with jealous hands.	true	736.58	740.71	21.998701
7383_95441_000048_000001	More than ever sleepy, before he slept that last, long sleep he must somehow solve this enigma, learn the reason why life continued so to allure his failing senses.	More than ever sleepy, before he slept that last, long sleep he must somehow solve this enigma, learn the reason why life continued so to allure his failing senses.	false	742.28	753.97	20.655588
7383_95441_000049_000000	Athwart the drab texture of consciousness wild fancies played like heat lightning in a still midsummer night.	Athwart the drab texture of consciousness wild fancies played like heat lightning in a still midsummer night.	true	754.76	762.34	22.979479
7383_95441_000050_000000	Death's countenance was kind.	Death's countenance was kind.	true	763.22	765.88	23.75354
7383_95441_000051_000000	That wide field of stars, drooping low and lifting away with rhythmic motion, would sometime dip swiftly down to the very sea itself and, swinging back, take with it his soul to some remote bourne....	That wide field of stars, drooping low and lifting away with rhythmic motion, would sometime dip swiftly down to the very sea itself and, swinging back, take with it his soul to some remote bourne....	true	766.94	781.48	23.75968
7383_95441_000052_000000	The deeps were yielding up their mysteries.	The deeps were yielding up their mysteries.	false	782.66	785.23	24
7383_95441_000052_000001	Past him a huge pale monster swept at furious pace, hissing grimly as it passed, like some spectral Nemesis pursuing the _Assyrian_.	Past him a huge pale monster swept at furious pace, hissing grimly as it passed, like some spectral Nemesis pursuing the underscore Assyrian underscore.	false	785.81	796.47	23.468407
7383_95441_000053_000000	Indifferently he speculated concerning the reality of this phenomenon.	Indifferently he speculated concerning the reality of this phenomenon.	true	796.47	800.47	17
7383_95441_000054_000000	The heave of a swell enabled him to glance incuriously after the steamship. She seemed smaller, less genuine than ever, a shadow shape that boasted visibility solely through that unearthly light on her after deck.	The heave of a swell enabled him to glance incuriously after the steamship. She seemed smaller, less genuine than ever, a shadow shape that boasted visibility solely through that unearthly light on her after deck.	true	801.41	815.41	20.37082
7383_95441_000054_000001	Even that now had waned to a mere glimmer, the flicker of a candle lost in the immensities of that night-bound world of empty sky and empty ocean.	Even that now had waned to a mere glimmer, the flicker of a candle lost in the immensities of that night bound world of empty sky and empty ocean.	false	816.65	826.66	20.268684
7383_95441_000054_000002	Even as he that had been named Michael Lanyard was a lost light, a tiny flame that guttered toward its swift extinction....	Even as he that had been named Michael Lanyard was a lost light, a tiny flame that guttered toward its swift extinction....	true	827.87	836.02	22.525608
7383_95441_000055_000000	Why live, when one might die and, dying, find endless rest?	Why live, when one might die and, dying, find endless rest?	true	836.78	841.9	22.952349
7383_95441_000056_000000	Like a blazing thunderbolt one word rent the slumbrous web of sentience: _Ekstrom_!	Like a blazing thunderbolt one word rent the slumbrous web of sentience: underscore Ekstrom underscore!	false	842.75	850.05	21.920385
7383_95441_000057_000000	Galvanised by the flood of hatred unpent by the syllables of that name, Lanyard began again to swim, flailing the water with frantic arms as if to win somewhither by the very violence of his efforts.	Galvanised by the flood of hatred unpent by the syllables of that name, Lanyard began again to swim, flailing the water with frantic arms as if to win somewhither by the very violence of his efforts.	false	850.05	863.89	20
7383_95441_000058_000000	This the one cogent reason why he must not, could not, die....	This the one cogent reason why he must not, could not, die....	true	864.92	869.38	22
7383_95441_000059_000000	Unjust to require him to give up life while that one lived.	Unjust to require him to give up life while that one lived.	true	869.96	874.84	22.944843
7383_95441_000059_000001	Unfair....	Unfair....	true	874.88	876.1	21.792948
7383_95441_000059_000002	It must not be!...	It must not be!...	true	876.2	878.2	26.080235
7383_95441_000060_000000	Across the sea rolled a dull, brutish detonation.	Across the sea rolled a dull, brutish detonation.	true	878.93	882.73	21.214825
7383_95441_000060_000001	The swimmer, swung high on the bosom of a great swell, saw a vast sheet of fire raving heavenward from the _Assyrian_.	The swimmer, swung high on the bosom of a great swell, saw a vast sheet of fire raving heavenward from the underscore Assyrian underscore.	false	883.79	892.47	19.401796
7383_95441_000061_000000	It vanished instantly.	It vanished instantly.	true	892.47	894.28	23.482517
7383_95441_000062_000000	When his dazzled vision cleared, he could see no more of the ship.	When his dazzled vision cleared, he could see no more of the ship.	true	895.22	899.47	21.693686
7383_95441_000062_000001	He imagined a faint, wild rumour of panic voices, conjured up scenes of horror indescribable as that great fabric sank almost instantaneously, as if some gigantic hand plucked her under.	He imagined a faint, wild rumour of panic voices, conjured up scenes of horror indescribable as that great fabric sank almost instantaneously, as if some gigantic hand plucked her under.	true	900.02	912.97	22.520697
7383_95441_000063_000000	What had happened?	What had happened?	true	913.79	914.89	27.114693
7383_95441_000063_000001	Had the accomplices of the dead Baron von Harden set off an infernal machine aboard the vessel?	Had the accomplices of the dead Baron von Harden set off an infernal machine aboard the vessel?	true	915.2	920.77	19
7383_95441_000063_000002	In the name of reason, why?	In the name of reason, why?	true	921.14	923.53	18.157106
7383_95441_000063_000003	They had got what they sought, that accursed document, whatever it was, that page torn from the Book of Doom.	They had got what they sought, that accursed document, whatever it was, that page torn from the Book of Doom.	true	923.84	930.36	24.166672
7383_95441_000063_000004	Then why...?	Then why...?	false	930.36	931.77	24.640232
7383_95441_000064_000000	And to what end had they exploded that light bomb on the after deck?	And to what end had they exploded that light bomb on the after deck?	false	931.77	936.4	19.684637
7383_95441_000065_000000	To make the _Assyrian_ a glaring target in the night--what else?	To make the underscore Assyrian underscore a glaring target in the night-what else?	false	937.25	941.715	23
7383_95441_000065_000001	A target for what?...	A target for what?...	true	941.715	943.09	22.071611
7383_95441_000066_000000	Of a sudden all rational mental processes were erased from Lanyard's consciousness.	Of a sudden all rational mental processes were erased from Lanyard's consciousness.	true	943.88	949.36	19
7383_95441_000066_000001	A wave of pure fear flooded him, body, mind, and soul.	A wave of pure fear flooded him, body, mind, and soul.	true	949.58	953.62	21.515009
7383_95441_000066_000002	He began to struggle like a maniac, fighting the waters that hindered his flight from some hideous thing that was lifting up from the ocean's ooze to drag him down.	He began to struggle like a maniac, fighting the waters that hindered his flight from some hideous thing that was lifting up from the ocean's ooze to drag him down.	true	953.9	963.76	19
7383_95441_000067_000000	He heard a voice screaming thinly, and knew it was his own.	He heard a voice screaming thinly, and knew it was his own.	true	964.16	968.89	21.780447
7383_95441_000068_000000	The impossible was happening to him, out there, alone and helpless on the face of the waters.	The impossible was happening to him, out there, alone and helpless on the face of the waters.	true	969.56	975.13	22.092955
7383_95441_000068_000001	A shape of horror was rising out of the deep to engorge him.	A shape of horror was rising out of the deep to engorge him.	true	975.56	980.41	20.929697
7383_95441_000068_000002	He could feel distinctly the slow, irresistible heave of its bulk beneath him.	He could feel distinctly the slow, irresistible heave of its bulk beneath him.	true	980.75	986.29	20
7383_95441_000068_000003	His feet touched and slipped upon its horrible sleek flanks.	His feet touched and slipped upon its horrible sleek flanks.	true	986.66	990.85	24.882654
7383_95441_000069_000000	His most desperate efforts were all unavailing.	His most desperate efforts were all unavailing.	true	991.52	994.54	21.43629
7383_95441_000069_000001	He could not escape.	He could not escape.	true	994.61	996.435	28.784771
7383_95441_000069_000002	The thing came up too rapidly.	The thing came up too rapidly.	true	996.435	998.62	25.412304
7383_95441_000069_000003	Following that first mad thrill of contact with it underfoot, he was lifted swiftly and irresistibly into the air.	Following that first mad thrill of contact with it underfoot, he was lifted swiftly and irresistibly into the air.	true	999.02	1006.3	23.389524
7383_95441_000069_000004	Almost instantly he was floundering in knee-deep waters that parted, cascading away on either hand.	Almost instantly he was floundering in knee deep waters that parted, cascading away on either hand.	true	1006.7	1013.47	21.030138
7383_95441_000069_000005	Then, elevated well above the sea, he slid and fell prone upon a slimy wet surface.	Then, elevated well above the sea, he slid and fell prone upon a slimy wet surface.	true	1013.75	1020.37	19
7383_95441_000070_000000	His clawing hands clutched something solid and substantial, an upright bar of metal.	His clawing hands clutched something solid and substantial, an upright bar of metal.	true	1020.74	1026.85	22.532925
7383_95441_000071_000000	Incredulously Lanyard pawed the body of the monster beneath him.	Incredulously Lanyard pawed the body of the monster beneath him.	true	1027.58	1032.28	20.696068
7383_95441_000071_000001	His hands passed over a riveted joint of metal plates.	His hands passed over a riveted joint of metal plates.	true	1032.44	1035.97	21
7383_95441_000071_000002	Looking up, he made out the truncated cone of a conning tower with its antennae-like periscope tubes stencilled black upon the soft purple of the star-strewn sky.	Looking up, he made out the truncated cone of a conning tower with its antennae like periscope tubes stencilled black upon the soft purple of the star strewn sky.	true	1036.43	1047.58	24.186193
7383_95441_000072_000000	Slowly the truth came home: a submarine had risen beneath him.	Slowly the truth came home: a submarine had risen beneath him.	true	1048.22	1053.22	21.021166
7383_95441_000072_000001	He lay upon its after deck, grasping a stanchion that supported the small raised bridge round the conning tower.	He lay upon its after deck, grasping a stanchion that supported the small raised bridge round the conning tower.	true	1053.77	1060.87	22.83008
7383_95441_000073_000000	He sobbed a little in sheer hysteric gratitude, that this miracle had been vouchsafed unto him, that he had thus been spared to live on against his hour with Ekstrom.	He sobbed a little in sheer hysteric gratitude, that this miracle had been vouchsafed unto him, that he had thus been spared to live on against his hour with Ekstrom.	false	1061.87	1073.23	22.628273
7383_95441_000074_000000	But when he sought to drag himself up to the bridge, he could not, he was too weak and faint.	But when he sought to drag himself up to the bridge, he could not, he was too weak and faint.	true	1073.96	1079.89	22.43595
