274_121392_000001_000000	22.	twenty two.
274_121392_000051_000000	"By his manner, sir, and his age; he's the second to-day."	"By his manner, sir, and his age; he's the second to day."
274_121392_000053_000000	"Faith, yes, with a haughty presence, a fine equipage; such as the son of a noble house would have."	"Faith, yes, with a haughty presence, a fine equipage; such as the son of a noble house would have."
274_121392_000057_000000	The two gentlemen then went into the church.	The two gentlemen then went into the church.
274_121392_000057_000002	A love as tender as that of a lover for his mistress dwells, undoubtedly, in some paternal hearts toward a son.	A love as tender as that of a lover for his mistress dwells, undoubtedly, in some paternal hearts toward a son.
274_121392_000060_000001	The sepulchral depths of the descent were dimly lighted by a silver lamp on the lowest step; and just below this lamp there was laid, wrapped in a flowing mantle of violet velvet, worked with fleurs-de-lis of gold, a catafalque resting on trestles of oak.	The sepulchral depths of the descent were dimly lighted by a silver lamp on the lowest step; and just below this lamp there was laid, wrapped in a flowing mantle of violet velvet, worked with fleurs de lis of gold, a catafalque resting on trestles of oak.
274_121392_000061_000000	There was profound silence.	There was profound silence.
274_121392_000062_000000	Then Athos raised his hand and pointing to the coffin:	Then Athos raised his hand and pointing to the coffin:
274_121392_000063_000003	If Richelieu made the king, by comparison, seem small, he made royalty great.	If Richelieu made the king, by comparison, seem small, he made royalty great.
274_121392_000063_000004	The Palace of the Louvre contains two things--the king, who must die, and royalty, which never dies.	The Palace of the Louvre contains two things-the king, who must die, and royalty, which never dies.
274_121392_000063_000005	The minister, so feared, so hated by his master, has descended into the tomb, drawing after him the king, whom he would not leave alone on earth, lest his work should be destroyed.	The minister, so feared, so hated by his master, has descended into the tomb, drawing after him the king, whom he would not leave alone on earth, lest his work should be destroyed.
274_121392_000063_000006	So blind were his contemporaries that they regarded the cardinal's death as a deliverance; and I, even I, opposed the designs of the great man who held the destinies of France within the hollow of his hand.	So blind were his contemporaries that they regarded the cardinal's death as a deliverance; and I, even I, opposed the designs of the great man who held the destinies of France within the hollow of his hand.
274_121392_000063_000007	Raoul, learn how to distinguish the king from royalty; the king is but a man; royalty is the gift of God.	Raoul, learn how to distinguish the king from royalty; the king is but a man; royalty is the gift of God.
274_121392_000063_000008	Whenever you hesitate as to whom you ought to serve, abandon the exterior, the material appearance for the invisible principle, for the invisible principle is everything.	Whenever you hesitate as to whom you ought to serve, abandon the exterior, the material appearance for the invisible principle, for the invisible principle is everything.
274_121392_000063_000009	Raoul, I seem to read your future destiny as through a cloud.	Raoul, I seem to read your future destiny as through a cloud.
274_121392_000063_000011	Different in your fate from us, you will have a king without a minister, whom you may serve, love, respect.	Different in your fate from us, you will have a king without a minister, whom you may serve, love, respect.
274_121392_000063_000012	Should the king prove a tyrant, for power begets tyranny, serve, love, respect royalty, that Divine right, that celestial spark which makes this dust still powerful and holy, so that we--gentlemen, nevertheless, of rank and condition--are as nothing in comparison with the cold corpse there extended."	Should the king prove a tyrant, for power begets tyranny, serve, love, respect royalty, that Divine right, that celestial spark which makes this dust still powerful and holy, so that we-gentlemen, nevertheless, of rank and condition-are as nothing in comparison with the cold corpse there extended."
274_121392_000064_000000	"I shall adore God, sir," said Raoul, "respect royalty and ever serve the king.	"I shall adore God, sir," said Raoul, "respect royalty and ever serve the king.
274_121392_000064_000001	And if death be my lot, I hope to die for the king, for royalty and for God.	And if death be my lot, I hope to die for the king, for royalty and for God.
274_121392_000064_000002	Have I, sir, comprehended your instructions?"	Have I, sir, comprehended your instructions?"
274_121392_000065_000000	Athos smiled.	Athos smiled.
274_121392_000066_000000	"Yours is a noble nature." he said; "here is your sword."	"Yours is a noble nature." he said; "here is your sword."
274_121392_000067_000000	Raoul bent his knee to the ground.	Raoul bent his knee to the ground.
274_121392_000068_000000	"It was worn by my father, a loyal gentleman.	"It was worn by my father, a loyal gentleman.
274_121392_000068_000002	Should your hand still be too weak to use this sword, Raoul, so much the better.	Should your hand still be too weak to use this sword, Raoul, so much the better.
274_121392_000068_000003	You will have the more time to learn to draw it only when it ought to be used."	You will have the more time to learn to draw it only when it ought to be used."
274_121392_000069_000001	I will wear it, I swear to you, as a grateful man should do."	I will wear it, I swear to you, as a grateful man should do."
274_121392_000072_000000	"Adieu," faltered the count, who felt his heart die away within him; "adieu, and think of me."	"Adieu," faltered the count, who felt his heart die away within him; "adieu, and think of me."
274_121392_000073_000000	"Oh! for ever and ever!" cried the youth; "oh!	"Oh! for ever and ever!" cried the youth; "oh!
274_121392_000078_000000	Raoul obeyed.	Raoul obeyed.
274_121392_000079_000000	"Adieu, Raoul," said the count; "adieu, my dearest boy!"	"Adieu, Raoul," said the count; "adieu, my dearest boy!"
274_121392_000080_000000	"Adieu, sir, adieu, my beloved protector."	"Adieu, sir, adieu, my beloved protector."
274_121392_000081_000000	Athos waved his hand--he dared not trust himself to speak: and Raoul went away, his head uncovered.	Athos waved his hand-he dared not trust himself to speak: and Raoul went away, his head uncovered.
274_121392_000081_000001	Athos remained motionless, looking after him until he turned the corner of the street.	Athos remained motionless, looking after him until he turned the corner of the street.
274_121392_000082_000000	Then the count threw the bridle of his horse into the hands of a peasant, remounted the steps, went into the cathedral, there to kneel down in the darkest corner and pray.	Then the count threw the bridle of his horse into the hands of a peasant, remounted the steps, went into the cathedral, there to kneel down in the darkest corner and pray.
