7245_104886_000000_000000	Etext scanned by Jim Tinsley <jtinsley@pobox.com>	Etext scanned by Jim Tinsley <j tinsley at pobox dot com>	false	2.61	14.16	19.557133
7245_104886_000017_000000	As a rule, the verses were without titles; but "A Country Burial," "A Thunder-Storm," "The Humming-Bird," and a few others were named by their author, frequently at the end,--sometimes only in the accompanying note, if sent to a friend.	As a rule, the verses were without titles; but "A Country Burial," "A Thunder Storm," "The Humming Bird," and a few others were named by their author, frequently at the end,--sometimes only in the accompanying note, if sent to a friend.	true	226.25	238.6	22.941437
7245_104886_000018_000000	The variation of readings, with the fact that she often wrote in pencil and not always clearly, have at times thrown a good deal of responsibility upon her Editors.	The variation of readings, with the fact that she often wrote in pencil and not always clearly, have at times thrown a good deal of responsibility upon her Editors.	true	239.45	247.63	17
7245_104886_000018_000001	But all interference not absolutely inevitable has been avoided.	But all interference not absolutely inevitable has been avoided.	true	248.06	251.56	18.94981
7245_104886_000018_000002	The very roughness of her rendering is part of herself, and not lightly to be touched; for it seems in many cases that she intentionally avoided the smoother and more usual rhymes.	The very roughness of her rendering is part of herself, and not lightly to be touched; for it seems in many cases that she intentionally avoided the smoother and more usual rhymes.	true	251.72	261.04	19
7245_104886_000019_000000	Like impressionist pictures, or Wagner's rugged music, the very absence of conventional form challenges attention.	Like impressionist pictures, or Wagner's rugged music, the very absence of conventional form challenges attention.	false	261.92	268.54	20.506018
7245_104886_000019_000001	In Emily Dickinson's exacting hands, the especial, intrinsic fitness of a particular order of words might not be sacrificed to anything virtually extrinsic; and her verses all show a strange cadence of inner rhythmical music.	In Emily Dickinson's exacting hands, the especial, intrinsic fitness of a particular order of words might not be sacrificed to anything virtually extrinsic; and her verses all show a strange cadence of inner rhythmical music.	true	269.3	283.09	21.220411
7245_104886_000019_000002	Lines are always daringly constructed, and the "thought-rhyme" appears frequently,--appealing, indeed, to an unrecognized sense more elusive than hearing.	Lines are always daringly constructed, and the "thought rhyme" appears frequently,--appealing, indeed, to an unrecognized sense more elusive than hearing.	true	283.28	292.12	22.34816
7245_104886_000020_000000	Emily Dickinson scrutinized everything with clear-eyed frankness. Every subject was proper ground for legitimate study, even the sombre facts of death and burial, and the unknown life beyond.	Emily Dickinson scrutinized everything with clear eyed frankness. Every subject was proper ground for legitimate study, even the sombre facts of death and burial, and the unknown life beyond.	true	293.15	303.79	24.03434
7245_104886_000020_000001	She touches these themes sometimes lightly, sometimes almost humorously, more often with weird and peculiar power; but she is never by any chance frivolous or trivial.	She touches these themes sometimes lightly, sometimes almost humorously, more often with weird and peculiar power; but she is never by any chance frivolous or trivial.	true	303.89	313.78	21.681005
7245_104886_000020_000002	And while, as one critic has said, she may exhibit toward God "an Emersonian self-possession," it was because she looked upon all life with a candor as unprejudiced as it is rare.	And while, as one critic has said, she may exhibit toward God "an Emersonian self possession," it was because she looked upon all life with a candor as unprejudiced as it is rare.	true	314.18	324.28	21.605782
7245_104886_000021_000000	She had tried society and the world, and found them lacking.	She had tried society and the world, and found them lacking.	true	325.07	328.21	20.439112
7245_104886_000021_000001	She was not an invalid, and she lived in seclusion from no love-disappointment.	She was not an invalid, and she lived in seclusion from no love disappointment.	true	328.43	332.83	20.328756
7245_104886_000021_000002	Her life was the normal blossoming of a nature introspective to a high degree, whose best thought could not exist in pretence.	Her life was the normal blossoming of a nature introspective to a high degree, whose best thought could not exist in pretence.	true	333.32	340.09	23.648676
7245_104886_000022_000000	Storm, wind, the wild March sky, sunsets and dawns; the birds and bees, butterflies and flowers of her garden, with a few trusted human friends, were sufficient companionship.	Storm, wind, the wild March sky, sunsets and dawns; the birds and bees, butterflies and flowers of her garden, with a few trusted human friends, were sufficient companionship.	true	340.91	352.69	21.534372
7245_104886_000022_000001	The coming of the first robin was a jubilee beyond crowning of monarch or birthday of pope; the first red leaf hurrying through "the altered air," an epoch.	The coming of the first robin was a jubilee beyond crowning of monarch or birthday of pope; the first red leaf hurrying through "the altered air," an epoch.	true	353.69	362.11	21.74499
7245_104886_000022_000002	Immortality was close about her; and while never morbid or melancholy, she lived in its presence.	Immortality was close about her; and while never morbid or melancholy, she lived in its presence.	true	362.54	368.35	19.021496
7245_104886_000023_000000	MABEL LOOMIS TODD.	MABEL LOOMIS TODD.	true	369.35	370.84	26.789248
7245_104886_000024_000000	AMHERST, MASSACHUSETTS, August, 1891.	AMHERST, MASSACHUSETTS, August, eighteen ninety one.	true	371.27	374.77	24.534986
7245_104886_000025_000000	My nosegays are for captives; Dim, long-expectant eyes, Fingers denied the plucking, Patient till paradise,	My nosegays are for captives; Dim, long expectant eyes, Fingers denied the plucking, Patient till paradise,	true	376.37	383.92	24.339535
7245_104886_000026_000000	To such, if they should whisper Of morning and the moor, They bear no other errand, And I, no other prayer.	To such, if they should whisper Of morning and the moor, They bear no other errand, And I, no other prayer.	false	384.5	400.17	20.452114
