7294_92934_000002_000000	GRACE DARLING	GRACE DARLING
7294_92934_000009_000002	She was a fine new steamer, well and strongly built, but she had put to sea with her boilers in poor condition, and it had been intended to give them a thorough overhauling in Dundee.	She was a fine new steamer, well and strongly built, but she had put to sea with her boilers in poor condition, and it had been intended to give them a thorough overhauling in Dundee.
7294_92934_000010_000000	When the steamer was off Flamborough Head the boilers commenced to leak, and the ship's fires were extinguished.	When the steamer was off Flamborough Head the boilers commenced to leak, and the ship's fires were extinguished.
7294_92934_000010_000002	While pitching in the heavy seas the boilers leaked terribly, the fires were again put out and the ship became unmanageable.	While pitching in the heavy seas the boilers leaked terribly, the fires were again put out and the ship became unmanageable.
7294_92934_000010_000003	Sails were hoisted, but were torn to ribbons by the wind.	Sails were hoisted, but were torn to ribbons by the wind.
7294_92934_000010_000005	Fog and rain made it impossible for the sailors to see until they were in the teeth of the breakers, and then the beam of the lighthouse showed them the wild rocks only a short distance away.	Fog and rain made it impossible for the sailors to see until they were in the teeth of the breakers, and then the beam of the lighthouse showed them the wild rocks only a short distance away.
7294_92934_000011_000000	Nothing could save them from destruction.	Nothing could save them from destruction.
7294_92934_000011_000003	The rest clung to what supports they could find and held on expecting instant death.	The rest clung to what supports they could find and held on expecting instant death.
7294_92934_000012_000001	The after half of the vessel was swept away by the seas with many passengers and the captain and his wife.	The after half of the vessel was swept away by the seas with many passengers and the captain and his wife.
7294_92934_000012_000003	On the forward part of the ship about twelve wretched persons remained in most desperate plight, the seas breaking over them and threatening to engulf the remaining portion of the vessel.	On the forward part of the ship about twelve wretched persons remained in most desperate plight, the seas breaking over them and threatening to engulf the remaining portion of the vessel.
7294_92934_000013_000000	When day broke the wreck could be seen from the mainland, but the misery of the unfortunate persons who survived was even more plain to William Darling and his family.	When day broke the wreck could be seen from the mainland, but the misery of the unfortunate persons who survived was even more plain to William Darling and his family.
7294_92934_000013_000001	Grace begged her father to launch a boat and go to their assistance, but Darling, brave sailor as he was, knew that there was little or no chance of his ever reaching the doomed ship, and shook his head.	Grace begged her father to launch a boat and go to their assistance, but Darling, brave sailor as he was, knew that there was little or no chance of his ever reaching the doomed ship, and shook his head.
7294_92934_000013_000003	Darling was no coward, and the prayers and entreaties of his daughter won the day.	Darling was no coward, and the prayers and entreaties of his daughter won the day.
7294_92934_000013_000004	He decided to risk launching a boat from the lighthouse.	He decided to risk launching a boat from the lighthouse.
7294_92934_000014_000000	With Mrs. Darling to help them in launching their boat, Grace and her father put forth from the lighthouse, running their boat into the sea in the lee of the rocks, and pulling strongly for the wreck.	With mrs Darling to help them in launching their boat, Grace and her father put forth from the lighthouse, running their boat into the sea in the lee of the rocks, and pulling strongly for the wreck.
7294_92934_000014_000001	Father and daughter both labored at the oars, unable to speak on account of the roar of the sea and wind, and blinded by the spray that whirled over them.	Father and daughter both labored at the oars, unable to speak on account of the roar of the sea and wind, and blinded by the spray that whirled over them.
7294_92934_000014_000002	Their boat was tossed like a shuttlecock in the great waves, and they knew that unless the shipwrecked persons could aid them it would be impossible to return to the lighthouse.	Their boat was tossed like a shuttlecock in the great waves, and they knew that unless the shipwrecked persons could aid them it would be impossible to return to the lighthouse.
7294_92934_000014_000003	They must succeed or die, and their chance of success was small.	They must succeed or die, and their chance of success was small.
7294_92934_000015_000000	Little by little they drew near the wreck.	Little by little they drew near the wreck.
7294_92934_000015_000002	As the rescuers drew near the reef, Darling leaped ashore, and Grace kept the frail rowboat from dashing itself to pieces against the rocks.	As the rescuers drew near the reef, Darling leaped ashore, and Grace kept the frail rowboat from dashing itself to pieces against the rocks.
7294_92934_000016_000000	Then followed the difficult task of getting the survivors into the boat.	Then followed the difficult task of getting the survivors into the boat.
7294_92934_000016_000002	When the last person was aboard Darling clambered back, and with new hands at the oars the boat was rowed back to the lighthouse--a trip that required great strength and much time for the current was against them.	When the last person was aboard Darling clambered back, and with new hands at the oars the boat was rowed back to the lighthouse-a trip that required great strength and much time for the current was against them.
7294_92934_000016_000003	And when the light was reached, the shipwrecked people were soon made comfortable and cared for by Grace and Mrs. Darling, and nine lives were thus saved by the determination of a single girl.	And when the light was reached, the shipwrecked people were soon made comfortable and cared for by Grace and mrs Darling, and nine lives were thus saved by the determination of a single girl.
7294_92934_000017_000002	Among them was Grace's brother, Brooks Darling, and the heroism of his achievement and that of the other fishermen was only exceeded by the marvelous feat of the girl herself and of her father.	Among them was Grace's brother, Brooks Darling, and the heroism of his achievement and that of the other fishermen was only exceeded by the marvelous feat of the girl herself and of her father.
7294_92934_000017_000003	In the course of a few days the fishermen succeeded in returning to the shore, taking with them the news.	In the course of a few days the fishermen succeeded in returning to the shore, taking with them the news.
7294_92934_000018_000000	All England rang with the fame of Grace's exploit, and letters and gifts poured in from every side.	All England rang with the fame of Grace's exploit, and letters and gifts poured in from every side.
7294_92934_000018_000001	Scores of people visited the lighthouse.	Scores of people visited the lighthouse.
7294_92934_000018_000002	Grace was feted and admired, and a public subscription in her benefit resulted in a gift of seven hundred pounds, or about thirty-five hundred dollars of our money.	Grace was feted and admired, and a public subscription in her benefit resulted in a gift of seven hundred pounds, or about thirty five hundred dollars of our money.
7294_92934_000018_000003	She also received four medals, and a large sum of money in private gifts.	She also received four medals, and a large sum of money in private gifts.
7294_92934_000019_000000	Grace and her family took their new prominence with great good sense and modesty, and disliked the publicity which came to them.	Grace and her family took their new prominence with great good sense and modesty, and disliked the publicity which came to them.
7294_92934_000019_000001	They were astonished at the commotion their exploit had caused, for to them it appeared little more than a part of the day's work that duty required them to perform.	They were astonished at the commotion their exploit had caused, for to them it appeared little more than a part of the day's work that duty required them to perform.
7294_92934_000020_000000	But Grace did not live long after her exploit.	But Grace did not live long after her exploit.
7294_92934_000020_000001	Her confined life at the lighthouse and the exposure she underwent there resulted in the disease of consumption from which she rapidly wasted away.	Her confined life at the lighthouse and the exposure she underwent there resulted in the disease of consumption from which she rapidly wasted away.
7294_92934_000020_000002	In spite of the best medical aid she steadily drooped, and two years after she had done her brave deed she died in the town of Bamborough where she had been born.	In spite of the best medical aid she steadily drooped, and two years after she had done her brave deed she died in the town of Bamborough where she had been born.
7294_92934_000021_000000	Again a subscription was collected and a monument was erected in her honor.	Again a subscription was collected and a monument was erected in her honor.
7294_92934_000021_000001	Her father and mother lived to a ripe old age, reaping benefits from the money that Grace had left them.	Her father and mother lived to a ripe old age, reaping benefits from the money that Grace had left them.
