3851_9210_000000_000000	"Oh! he was a shoemaker, was he?" said the head clerk.	"Oh! he was a shoemaker, was he?" said the head clerk.	false	0	3.69	29.279392
3851_9210_000010_000004	Many a one during the days of the Revolution has doubtless passed through a crisis as difficult as hers at that moment, and the sympathies of more than one reader will fill in all the coloring of the picture.	Many a one during the days of the Revolution has doubtless passed through a crisis as difficult as hers at that moment, and the sympathies of more than one reader will fill in all the coloring of the picture.	true	128.385	139.35	24.488216
3851_9210_000011_000000	Mme. de Dey was the widow of a Lieutenant-General, a Knight of the Orders of Saint Michael and of the Holy Ghost.	Mme. de Dey was the widow of a Lieutenant General, a Knight of the Orders of Saint Michael and of the Holy Ghost.	false	139.35	146.08	23.422283
3851_9210_000011_000001	She had left the Court when the Emigration began, and taken refuge in the neighborhood of Carentan, where she had large estates, hoping that the influence of the Reign of Terror would be but little felt there.	She had left the Court when the Emigration began, and taken refuge in the neighborhood of Carentan, where she had large estates, hoping that the influence of the Reign of Terror would be but little felt there.	false	146.45	157.6	25.356297
3851_9210_000011_000002	Her calculations, based on a thorough knowledge of the district, proved correct.	Her calculations, based on a thorough knowledge of the district, proved correct.	true	157.97	163	24.303667
3851_9210_000011_000003	The Revolution made little disturbance in Lower Normandy.	The Revolution made little disturbance in Lower Normandy.	true	163.37	166.48	22.732624
3851_9210_000011_000004	Formerly, when Mme. de Dey had spent any time in the country, her circle of acquaintance had been confined to the noble families of the district; but now, from politic motives, she opened her house to the principal citizens and to the Revolutionary authorities of the town, endeavoring to touch and gratify their social pride without arousing either hatred or jealousy.	Formerly, when Mme. de Dey had spent any time in the country, her circle of acquaintance had been confined to the noble families of the district; but now, from politic motives, she opened her house to the principal citizens and to the Revolutionary authorities of the town, endeavoring to touch and gratify their social pride without arousing either hatred or jealousy.	false	166.85	188.74	24.485775
3851_9210_000011_000005	Gracious and kindly, possessed of the indescribable charm that wins good will without loss of dignity or effort to pay court to any, she had succeeded in gaining universal esteem; the discreet warnings of exquisite tact enabled her to steer a difficult course among the exacting claims of this mixed society, without wounding the overweening self-love of parvenus on the one hand, or the susceptibilities of her old friends on the other.	Gracious and kindly, possessed of the indescribable charm that wins good will without loss of dignity or effort to pay court to any, she had succeeded in gaining universal esteem; the discreet warnings of exquisite tact enabled her to steer a difficult course among the exacting claims of this mixed society, without wounding the overweening self love of parvenus on the one hand, or the susceptibilities of her old friends on the other.	false	188.99	217.18	23.563932
3851_9210_000012_000000	She was about thirty-eight years of age, and still preserved, not the fresh, high-colored beauty of the Basse-Normandes, but a fragile loveliness of what may be called an aristocratic type.	She was about thirty eight years of age, and still preserved, not the fresh, high colored beauty of the Basse Normandes, but a fragile loveliness of what may be called an aristocratic type.	true	218.18	229.51	26.361645
3851_9210_000012_000001	Her figure was lissome and slender, her features delicate and clearly cut; the pale face seemed to light up and live when she spoke; but there was a quiet and devout look in the great dark eyes, for all their graciousness of expression--a look that seemed to say that the springs of her life lay without her own existence.	Her figure was lissome and slender, her features delicate and clearly cut; the pale face seemed to light up and live when she spoke; but there was a quiet and devout look in the great dark eyes, for all their graciousness of expression-a look that seemed to say that the springs of her life lay without her own existence.	true	229.85	248.86	27.229784
3851_9210_000013_000000	In her early girlhood she had been married to an elderly and jealous soldier.	In her early girlhood she had been married to an elderly and jealous soldier.	true	249.68	254.11	25
3851_9210_000013_000001	Her false position in the midst of a gay Court had doubtless done something to bring a veil of sadness over a face that must once have been bright with the charms of quick-pulsed life and love.	Her false position in the midst of a gay Court had doubtless done something to bring a veil of sadness over a face that must once have been bright with the charms of quick pulsed life and love.	false	254.24	265.21	26
3851_9210_000013_000002	She had been compelled to set constant restraint upon her frank impulses and emotions at an age when a woman feels rather than thinks, and the depths of passion in her heart had never been stirred.	She had been compelled to set constant restraint upon her frank impulses and emotions at an age when a woman feels rather than thinks, and the depths of passion in her heart had never been stirred.	true	265.43	277.09	23.885508
3851_9210_000013_000003	In this lay the secret of her greatest charm, a youthfulness of the inmost soul, betrayed at times by her face, and a certain tinge of innocent wistfulness in her ideas.	In this lay the secret of her greatest charm, a youthfulness of the inmost soul, betrayed at times by her face, and a certain tinge of innocent wistfulness in her ideas.	true	277.52	288.67	25.172916
3851_9210_000013_000004	She was reserved in her demeanor, but in her bearing and in the tones of her voice there was still something that told of girlish longings directed toward a vague future.	She was reserved in her demeanor, but in her bearing and in the tones of her voice there was still something that told of girlish longings directed toward a vague future.	true	288.89	298.75	23.987137
3851_9210_000013_000005	Before very long the least susceptible fell in love with her, and yet stood somewhat in awe of her dignity and high-bred manner.	Before very long the least susceptible fell in love with her, and yet stood somewhat in awe of her dignity and high bred manner.	false	298.97	306.61	20.377111
3851_9210_000013_000006	Her great soul, strengthened by the cruel ordeals through which she had passed, seemed to set her too far above the ordinary level, and these men weighed themselves, and instinctively felt that they were found wanting.	Her great soul, strengthened by the cruel ordeals through which she had passed, seemed to set her too far above the ordinary level, and these men weighed themselves, and instinctively felt that they were found wanting.	true	306.8	319.96	24.291763
3851_9210_000013_000007	Such a nature demanded an exalted passion.	Such a nature demanded an exalted passion.	true	320.09	323.05	23.450773
3851_9210_000014_000000	Moreover, Mme. de Dey's affections were concentrated in one sentiment--a mother's love for her son.	Moreover, Mme. de Dey's affections were concentrated in one sentiment-a mother's love for her son.	false	323.69	330.97	23.36557
3851_9210_000014_000001	All the happiness and joy that she had not known as a wife, she had found later in her boundless love for him.	All the happiness and joy that she had not known as a wife, she had found later in her boundless love for him.	true	331.46	337.96	23.121265
3851_9210_000014_000002	The coquetry of a mistress, the jealousy of a wife mingled with the pure and deep affection of a mother.	The coquetry of a mistress, the jealousy of a wife mingled with the pure and deep affection of a mother.	false	338.42	344.53	23.848045
3851_9210_000014_000003	She was miserable when they were apart, and nervous about him while he was away; she could never see enough of him, and lived through and for him alone.	She was miserable when they were apart, and nervous about him while he was away; she could never see enough of him, and lived through and for him alone.	true	344.81	353.65	25.197067
3851_9210_000014_000004	Some idea of the strength of this tie may be conveyed to the masculine understanding by adding that this was not only Mme. de Dey's only son, but all she had of kith or kin in the world, the one human being on earth bound to her by all the fears and hopes and joys of her life.	Some idea of the strength of this tie may be conveyed to the masculine understanding by adding that this was not only Mme. de Dey's only son, but all she had of kith or kin in the world, the one human being on earth bound to her by all the fears and hopes and joys of her life.	false	354.02	371.89	22.807638
3851_9210_000015_000000	The late Comte de Dey was the last of his race, and she, his wife, was the sole heiress and descendant of her house.	The late Comte de Dey was the last of his race, and she, his wife, was the sole heiress and descendant of her house.	true	372.53	380.2	24.009785
3851_9210_000015_000001	So worldly ambitions and family considerations, as well as the noblest cravings of the soul, combined to heighten in the Countess a sentiment that is strong in every woman's heart.	So worldly ambitions and family considerations, as well as the noblest cravings of the soul, combined to heighten in the Countess a sentiment that is strong in every woman's heart.	true	380.72	391.785	25.905878
3851_9210_000015_000002	The child was all the dearer, because only with infinite care had she succeeded in rearing him to man's estate; medical science had predicted his death a score of times, but she had held fast to her presentiments and her hopes, and had known the inexpressible joy of watching him pass safely through the perils of infancy, of seeing his constitution strengthen in spite of the decrees of the Faculty.	The child was all the dearer, because only with infinite care had she succeeded in rearing him to man's estate; medical science had predicted his death a score of times, but she had held fast to her presentiments and her hopes, and had known the inexpressible joy of watching him pass safely through the perils of infancy, of seeing his constitution strengthen in spite of the decrees of the Faculty.	true	391.785	416.17	26.5068
3851_9210_000016_000000	Thanks to her constant care, the boy had grown up and developed so favorably, that at twenty years of age he was regarded as one of the most accomplished gentlemen at the Court of Versailles.	Thanks to her constant care, the boy had grown up and developed so favorably, that at twenty years of age he was regarded as one of the most accomplished gentlemen at the Court of Versailles.	true	417.02	428.14	23.377731
3851_9210_000016_000001	One final happiness that does not always crown a mother's efforts was hers--her son worshiped her; and between these two there was the deep sympathy of kindred souls.	One final happiness that does not always crown a mother's efforts was hers-her son worshiped her; and between these two there was the deep sympathy of kindred souls.	true	428.69	438.85	25.6699
3851_9210_000016_000002	If they had not been bound to each other already by a natural and sacred tie, they would instinctively have felt for each other a friendship that is rarely met with between two men.	If they had not been bound to each other already by a natural and sacred tie, they would instinctively have felt for each other a friendship that is rarely met with between two men.	true	439.16	449.23	23.126476
3851_9210_000017_000000	At the age of eighteen, the young Count had received an appointment as sub-lieutenant in a regiment of dragoons, and had made it a point of honor to follow the emigrant Princes into exile.	At the age of eighteen, the young Count had received an appointment as sub lieutenant in a regiment of dragoons, and had made it a point of honor to follow the emigrant Princes into exile.	false	449.87	460.51	26
3851_9210_000018_000000	Then Mme. de Dey faced the dangers of her cruel position.	Then Mme. de Dey faced the dangers of her cruel position.	false	460.97	464.59	25.85615
3851_9210_000018_000001	She was rich, noble, and the mother of an Emigrant.	She was rich, noble, and the mother of an Emigrant.	true	464.66	468.49	23.47403
3851_9210_000018_000002	With the one desire to look after her son's great fortune, she had denied herself the happiness of being with him; and when she read the rigorous laws in virtue of which the Republic was daily confiscating the property of Emigrants at Carentan, she congratulated herself on the courageous course that she had taken. Was she not keeping watch over the wealth of her son at the risk of her life?	With the one desire to look after her son's great fortune, she had denied herself the happiness of being with him; and when she read the rigorous laws in virtue of which the Republic was daily confiscating the property of Emigrants at Carentan, she congratulated herself on the courageous course that she had taken. Was she not keeping watch over the wealth of her son at the risk of her life?	true	468.86	492.7	24.965895
3851_9210_000018_000003	Later, when news came of the horrible executions ordered by the Convention, she slept, happy in the knowledge that her own treasure was in safety, out of reach of peril, far from the scaffolds of the Revolution.	Later, when news came of the horrible executions ordered by the Convention, she slept, happy in the knowledge that her own treasure was in safety, out of reach of peril, far from the scaffolds of the Revolution.	true	493.04	506.29	25.68858
3851_9210_000018_000004	She loved to think that she had followed the best course, that she had saved her darling and her darling's fortunes; and to this secret thought she made such concessions as the misfortunes of the times demanded, without compromising her dignity or her aristocratic tenets, and enveloped her sorrows in reserve and mystery.	She loved to think that she had followed the best course, that she had saved her darling and her darling's fortunes; and to this secret thought she made such concessions as the misfortunes of the times demanded, without compromising her dignity or her aristocratic tenets, and enveloped her sorrows in reserve and mystery.	false	506.78	526.51	25.725779
3851_9210_000018_000005	She had foreseen the difficulties that would beset her at Carentan.	She had foreseen the difficulties that would beset her at Carentan.	true	526.88	530.41	26.238752
3851_9210_000018_000006	Did she not tempt the scaffold by the very fact of going thither to take a prominent place?	Did she not tempt the scaffold by the very fact of going thither to take a prominent place?	true	530.81	536.08	26.157879
3851_9210_000018_000007	Yet, sustained by a mother's courage, she succeeded in winning the affection of the poor, ministering without distinction to everyone in trouble; and made herself necessary to the well-to-do, by providing amusements for them.	Yet, sustained by a mother's courage, she succeeded in winning the affection of the poor, ministering without distinction to everyone in trouble; and made herself necessary to the well to do, by providing amusements for them.	true	536.36	550.03	24.233002
3851_9210_000019_000000	The procureur of the commune might be seen at her house, the mayor, the president of the "district," and the public prosecutor, and even the judges of the Revolutionary tribunals went there.	The procureur of the commune might be seen at her house, the mayor, the president of the "district," and the public prosecutor, and even the judges of the Revolutionary tribunals went there.	false	551.15	563.08	25.23605
3851_9210_000019_000001	The four first-named gentlemen were none of them married, and each paid court to her, in the hope that Mme. de Dey would take him for her husband, either from fear of making an enemy or from a desire to find a protector.	The four first named gentlemen were none of them married, and each paid court to her, in the hope that Mme. de Dey would take him for her husband, either from fear of making an enemy or from a desire to find a protector.	false	563.42	576.61	26.1925
3851_9210_000020_000000	The public prosecutor, once an attorney at Caen, and the Countess's man of business, did what he could to inspire love by a system of devotion and generosity, a dangerous game of cunning!	The public prosecutor, once an attorney at Caen, and the Countess's man of business, did what he could to inspire love by a system of devotion and generosity, a dangerous game of cunning!	false	577.31	589.57	24.051332
3851_9210_000020_000001	He was the most formidable of all her suitors.	He was the most formidable of all her suitors.	true	589.82	592.42	20.37568
3851_9210_000020_000002	He alone knew the amount of the large fortune of his sometime client, and his fervor was inevitably increased by the cupidity of greed, and by the consciousness that he wielded an enormous power, the power of life and death in the district.	He alone knew the amount of the large fortune of his sometime client, and his fervor was inevitably increased by the cupidity of greed, and by the consciousness that he wielded an enormous power, the power of life and death in the district.	true	592.58	607.24	24.605305
3851_9210_000020_000003	He was still a young man, and, owing to the generosity of his behavior, Mme. de Dey was unable as yet to estimate him truly.	He was still a young man, and, owing to the generosity of his behavior, Mme. de Dey was unable as yet to estimate him truly.	false	607.31	615.85	21.1032
3851_9210_000020_000004	But, in despite of the danger of matching herself against Norman cunning, she used all the craft and inventiveness that Nature has bestowed on women to play off the rival suitors one against another.	But, in despite of the danger of matching herself against Norman cunning, she used all the craft and inventiveness that Nature has bestowed on women to play off the rival suitors one against another.	true	616.13	628.18	23
3851_9210_000020_000005	She hoped, by gaining time, to emerge safe and sound from her difficulties at last; for at that time Royalists in the provinces flattered themselves with a hope, daily renewed, that the morrow would see the end of the Revolution--a conviction that proved fatal to many of them.	She hoped, by gaining time, to emerge safe and sound from her difficulties at last; for at that time Royalists in the provinces flattered themselves with a hope, daily renewed, that the morrow would see the end of the Revolution-a conviction that proved fatal to many of them.	true	628.55	645.46	23.860876
3851_9210_000021_000000	In spite of difficulties, the Countess had maintained her independence with considerable skill until the day when, by an inexplicable want of prudence, she took occasion to close her salon.	In spite of difficulties, the Countess had maintained her independence with considerable skill until the day when, by an inexplicable want of prudence, she took occasion to close her salon.	true	646.13	658.84	23.821869
3851_9210_000021_000001	So deep and sincere was the interest that she inspired, that those who usually filled her drawing-room felt a lively anxiety when the news was spread; then, with the frank curiosity characteristic of provincial manners, they went to inquire into the misfortune, grief, or illness that had befallen Mme. de Dey.	So deep and sincere was the interest that she inspired, that those who usually filled her drawing room felt a lively anxiety when the news was spread; then, with the frank curiosity characteristic of provincial manners, they went to inquire into the misfortune, grief, or illness that had befallen Mme. de Dey.	false	659.33	679.47	23.243204
3851_9210_000022_000000	To all these questions, Brigitte, the housekeeper, answered with the same formula: her mistress was keeping her room, and would see no one, not even her own servants.	To all these questions, Brigitte, the housekeeper, answered with the same formula: her mistress was keeping her room, and would see no one, not even her own servants.	true	679.47	689.47	23.220364
3851_9210_000022_000001	The almost claustral lives of dwellers in small towns fosters a habit of analysis and conjectural explanation of the business of everybody else; so strong is it, that when everyone had exclaimed over poor Mme. de Dey (without knowing whether the lady was overcome by joy or sorrow), each one began to inquire into the causes of her sudden seclusion.	The almost claustral lives of dwellers in small towns fosters a habit of analysis and conjectural explanation of the business of everybody else; so strong is it, that when everyone had exclaimed over poor Mme. de Dey (without knowing whether the lady was overcome by joy or sorrow), each one began to inquire into the causes of her sudden seclusion.	false	690.26	712.09	24.201601
3851_9210_000023_000000	"If she were ill, she would have sent for the doctor," said gossip number one; "now the doctor has been playing chess in my house all day. He said to me, laughing, that in these days there is only one disease, and that, unluckily, it is incurable."	"If she were ill, she would have sent for the doctor," said gossip number one; "now the doctor has been playing chess in my house all day. He said to me, laughing, that in these days there is only one disease, and that, unluckily, it is incurable."	true	712.64	727.9	24.771957
3851_9210_000024_000000	The joke was hazarded discreetly.	The joke was hazarded discreetly.	true	728.42	730.62	32.224514
3851_9210_000024_000001	Women and men, elderly folk and young girls, forthwith betook themselves to the vast fields of conjecture. Everyone imagined that there was some secret in it, and every head was busy with the secret.	Women and men, elderly folk and young girls, forthwith betook themselves to the vast fields of conjecture. Everyone imagined that there was some secret in it, and every head was busy with the secret.	true	730.62	743.38	22.877884
3851_9210_000024_000002	Next day the suspicions became malignant. Everyone lives in public in a small town, and the women-kind were the first to find out that Brigitte had laid in an extra stock of provisions.	Next day the suspicions became malignant. Everyone lives in public in a small town, and the women kind were the first to find out that Brigitte had laid in an extra stock of provisions.	true	743.6	755.2	23.862085
3851_9210_000024_000003	The thing could not be disputed.	The thing could not be disputed.	true	755.24	757.12	29.679405
3851_9210_000024_000004	Brigitte had been seen in the market-place betimes that morning, and, wonderful to relate, she had bought the one hare to be had.	Brigitte had been seen in the market place betimes that morning, and, wonderful to relate, she had bought the one hare to be had.	true	757.55	765.85	22.18423
3851_9210_000024_000005	The whole town knew that Mme. de Dey did not care for game.	The whole town knew that Mme. de Dey did not care for game.	false	766.1	769.78	23.899105
3851_9210_000024_000006	The hare became a starting point for endless conjectures.	The hare became a starting point for endless conjectures.	false	769.91	773.41	29
3851_9210_000025_000000	Elderly gentlemen, taking their constitutional, noticed a sort of suppressed bustle in the Countess's house; the symptoms were the more apparent because the servants were at evident pains to conceal them. The man-servant was beating a carpet in the garden.	Elderly gentlemen, taking their constitutional, noticed a sort of suppressed bustle in the Countess's house; the symptoms were the more apparent because the servants were at evident pains to conceal them. The man servant was beating a carpet in the garden.	true	774.38	790.45	26.58142
3851_9210_000025_000001	Only yesterday no one would have remarked the fact, but to-day everybody began to build romances upon that harmless piece of household stuff.	Only yesterday no one would have remarked the fact, but to day everybody began to build romances upon that harmless piece of household stuff.	true	790.88	799.54	22.115559
3851_9210_000025_000002	Everyone had a version.	Everyone had a version.	true	799.76	801.43	23.25849
3851_9210_000026_000000	On the following day, that on which Mme. de Dey gave out that she was not well, the magnates of Carentan went to spend the evening at the mayor's brother's house.	On the following day, that on which Mme. de Dey gave out that she was not well, the magnates of Carentan went to spend the evening at the mayor's brother's house.	false	802.13	812.5	23.567112
3851_9210_000026_000001	He was a retired merchant, a married man, a strictly honorable soul; everyone respected him, and the Countess held him in high regard.	He was a retired merchant, a married man, a strictly honorable soul; everyone respected him, and the Countess held him in high regard.	true	812.9	821.68	27.919998
3851_9210_000026_000002	There all the rich widows' suitors were fain to invent more or less probable fictions, each one thinking the while how to turn to his own advantage the secret that compelled her to compromise herself in such a manner.	There all the rich widows' suitors were fain to invent more or less probable fictions, each one thinking the while how to turn to his own advantage the secret that compelled her to compromise herself in such a manner.	true	822.08	835.09	24.230907
3851_9210_000027_000000	The public prosecutor spun out a whole drama to bring Mme. de Dey's son to her house of a night.	The public prosecutor spun out a whole drama to bring Mme. de Dey's son to her house of a night.	false	836	841.78	22.162024
3851_9210_000027_000001	The mayor had a belief in a priest who had refused the oath, a refugee from La Vendee; but this left him not a little embarrassed how to account for the purchase of a hare on a Friday.	The mayor had a belief in a priest who had refused the oath, a refugee from La Vendee; but this left him not a little embarrassed how to account for the purchase of a hare on a Friday.	true	842.03	853.09	22.356997
3851_9210_000027_000002	The president of the district had strong leanings toward a Chouan chief, or a Vendean leader hotly pursued.	The president of the district had strong leanings toward a Chouan chief, or a Vendean leader hotly pursued.	false	853.58	860.68	21.963339
3851_9210_000027_000003	Others voted for a noble escaped from the prisons of Paris.	Others voted for a noble escaped from the prisons of Paris.	true	860.99	864.61	23.098766
3851_9210_000027_000004	In short, one and all suspected that the Countess had been guilty of some piece of generosity that the law of those days defined as a crime, an offense that was like to bring her to the scaffold.	In short, one and all suspected that the Countess had been guilty of some piece of generosity that the law of those days defined as a crime, an offense that was like to bring her to the scaffold.	false	864.86	876.46	25.947948
3851_9210_000027_000005	The public prosecutor, moreover, said, in a low voice, that they must hush the matter up, and try to save the unfortunate lady from the abyss toward which she was hastening.	The public prosecutor, moreover, said, in a low voice, that they must hush the matter up, and try to save the unfortunate lady from the abyss toward which she was hastening.	true	876.71	887.98	27.813726
3851_9210_000028_000000	"If you spread reports about," he added, "I shall be obliged to take cognizance of the matter, and to search the house, and then!..."	"If you spread reports about," he added, "I shall be obliged to take cognizance of the matter, and to search the house, and then!..."	true	888.32	896.23	24.26567
3851_9210_000029_000000	He said no more, but everyone understood what was left unsaid.	He said no more, but everyone understood what was left unsaid.	true	896.96	900.76	23.560139
3851_9210_000030_000000	The Countess's real friends were so much alarmed for her, that on the morning of the third day the _Procureur Syndic_ of the commune made his wife write a few lines to persuade Mme. de Dey to hold her reception as usual that evening.	The Countess's real friends were so much alarmed for her, that on the morning of the third day the underscore Procureur Syndic underscore of the commune made his wife write a few lines to persuade Mme. de Dey to hold her reception as usual that evening.	false	901.61	914.98	22.89196
3851_9210_000030_000001	The old merchant took a bolder step.	The old merchant took a bolder step.	true	915.41	917.71	32.94568
3851_9210_000030_000002	He called that morning upon the lady.	He called that morning upon the lady.	true	917.81	920.26	24.40779
3851_9210_000030_000003	Strong in the thought of the service he meant to do her, he insisted that he must see Mme. de Dey, and was amazed beyond expression to find her out in the garden, busy gathering the last autumn flowers in her borders to fill the vases.	Strong in the thought of the service he meant to do her, he insisted that he must see Mme. de Dey, and was amazed beyond expression to find her out in the garden, busy gathering the last autumn flowers in her borders to fill the vases.	false	920.36	934.78	22.775166
3851_9210_000031_000000	"She has given refuge to her lover, no doubt," thought the old man, struck with pity for the charming woman before him.	"She has given refuge to her lover, no doubt," thought the old man, struck with pity for the charming woman before him.	true	935.66	942.13	22.922274
3851_9210_000032_000000	The Countess's face wore a strange look, that confirmed his suspicions. Deeply moved by the devotion so natural to women, but that always touches us, because all men are flattered by the sacrifices that any woman makes for any one of them, the merchant told the Countess of the gossip that was circulating in the town, and showed her the danger that she was running.	The Countess's face wore a strange look, that confirmed his suspicions. Deeply moved by the devotion so natural to women, but that always touches us, because all men are flattered by the sacrifices that any woman makes for any one of them, the merchant told the Countess of the gossip that was circulating in the town, and showed her the danger that she was running.	true	942.86	963.4	23.351933
3851_9210_000032_000001	He wound up at last with saying that "if there are some of our public functionaries who are sufficiently ready to pardon a piece of heroism on your part so long as it is a priest that you wish to save, no one will show you any mercy if it is discovered that you are sacrificing yourself to the dictates of your heart."	He wound up at last with saying that "if there are some of our public functionaries who are sufficiently ready to pardon a piece of heroism on your part so long as it is a priest that you wish to save, no one will show you any mercy if it is discovered that you are sacrificing yourself to the dictates of your heart."	true	963.8	982.51	23.89973
3851_9210_000033_000000	At these words Mme. de Dey gazed at her visitor with a wild excitement in her manner that made him tremble, old though he was.	At these words Mme. de Dey gazed at her visitor with a wild excitement in her manner that made him tremble, old though he was.	false	983.15	990.91	25.141808
3851_9210_000034_000000	"Come in," she said, taking him by the hand to bring him to her room, and as soon as she had assured herself that they were alone, she drew a soiled, torn letter from her bodice.--"Read it!" she cried, with a violent effort to pronounce the words.	"Come in," she said, taking him by the hand to bring him to her room, and as soon as she had assured herself that they were alone, she drew a soiled, torn letter from her bodice.--"Read it!" she cried, with a violent effort to pronounce the words.	true	991.46	1006.57	23.650414
3851_9210_000035_000000	She dropped as if exhausted into her armchair.	She dropped as if exhausted into her armchair.	true	1006.94	1009.84	27.962706
3851_9210_000035_000001	While the old merchant looked for his spectacles and wiped them, she raised her eyes, and for the first time looked at him with curiosity; then, in an uncertain voice, "I trust in you," she said softly.	While the old merchant looked for his spectacles and wiped them, she raised her eyes, and for the first time looked at him with curiosity; then, in an uncertain voice, "I trust in you," she said softly.	true	1010.12	1023.16	22.6164
3851_9210_000036_000000	"Why did I come but to share in your crime?" the old merchant said simply.	"Why did I come but to share in your crime?" the old merchant said simply.	true	1023.98	1027.9	27.509409
3851_9210_000037_000000	She trembled.	She trembled.	true	1028.18	1029.34	25.61006
3851_9210_000037_000001	For the first time since she had come to the little town her soul found sympathy in another soul.	For the first time since she had come to the little town her soul found sympathy in another soul.	true	1029.62	1034.89	22.863144
3851_9210_000037_000002	A sudden light dawned meantime on the old merchant; he understood the Countess's joy and her prostration.	A sudden light dawned meantime on the old merchant; he understood the Countess's joy and her prostration.	true	1035.2	1041.7	24.003286
3851_9210_000038_000000	Her son had taken part in the Granville expedition; he wrote to his mother from his prison, and the letter brought her a sad, sweet hope. Feeling no doubts as to his means of escape, he wrote that within three days he was sure to reach her, disguised.	Her son had taken part in the Granville expedition; he wrote to his mother from his prison, and the letter brought her a sad, sweet hope. Feeling no doubts as to his means of escape, he wrote that within three days he was sure to reach her, disguised.	true	1043.33	1059.82	25.106524
3851_9210_000038_000001	The same letter that brought these weighty tidings was full of heartrending farewells in case the writer should not be in Carentan by the evening of the third day, and he implored his mother to send a considerable sum of money by the bearer, who had gone through dangers innumerable to deliver it.	The same letter that brought these weighty tidings was full of heartrending farewells in case the writer should not be in Carentan by the evening of the third day, and he implored his mother to send a considerable sum of money by the bearer, who had gone through dangers innumerable to deliver it.	false	1060.19	1076.56	27
3851_9210_000038_000002	The paper shook in the old man's hands.	The paper shook in the old man's hands.	true	1076.81	1079.2	25.125841
3851_9210_000039_000000	"And to-day is the third day!" cried Mme. de Dey.	"And to day is the third day!" cried Mme. de Dey.	false	1079.81	1082.8	24.70151
