949_138545_000002_000000	THE PROCESS OF COLONIZATION	THE PROCESS OF COLONIZATION
949_138545_000007_000000	The story of this traffic in white servants is one of the most striking things in the history of labor.	The story of this traffic in white servants is one of the most striking things in the history of labor.
949_138545_000007_000001	Bondmen differed from the serfs of the feudal age in that they were not bound to the soil but to the master. They likewise differed from the negro slaves in that their servitude had a time limit.	Bondmen differed from the serfs of the feudal age in that they were not bound to the soil but to the master. They likewise differed from the negro slaves in that their servitude had a time limit.
949_138545_000007_000002	Still they were subject to many special disabilities.	Still they were subject to many special disabilities.
949_138545_000007_000004	A free citizen of Pennsylvania who indulged in horse racing and gambling was let off with a fine; a white servant guilty of the same unlawful conduct was whipped at the post and fined as well.	A free citizen of Pennsylvania who indulged in horse racing and gambling was let off with a fine; a white servant guilty of the same unlawful conduct was whipped at the post and fined as well.
949_138545_000008_000001	A bondman could not marry without his master's consent; nor engage in trade; nor refuse work assigned to him.	A bondman could not marry without his master's consent; nor engage in trade; nor refuse work assigned to him.
949_138545_000008_000002	For an attempt to escape or indeed for any infraction of the law, the term of service was extended. The condition of white bondmen in Virginia, according to Lodge, "was little better than that of slaves.	For an attempt to escape or indeed for any infraction of the law, the term of service was extended. The condition of white bondmen in Virginia, according to Lodge, "was little better than that of slaves.
949_138545_000008_000003	Loose indentures and harsh laws put them at the mercy of their masters." It would not be unfair to add that such was their lot in all other colonies.	Loose indentures and harsh laws put them at the mercy of their masters." It would not be unfair to add that such was their lot in all other colonies.
949_138545_000009_000001	When their weary years of servitude were over, if they survived, they might obtain land of their own or settle as free mechanics in the towns.	When their weary years of servitude were over, if they survived, they might obtain land of their own or settle as free mechanics in the towns.
949_138545_000009_000003	For thousands, on the contrary, bondage proved to be a real avenue to freedom and prosperity.	For thousands, on the contrary, bondage proved to be a real avenue to freedom and prosperity.
949_138545_000010_000002	Many of the victims of the practice were young children, for the traffic in them was highly profitable.	Many of the victims of the practice were young children, for the traffic in them was highly profitable.
949_138545_000011_000000	In this gruesome business there lurked many tragedies, and very few romances.	In this gruesome business there lurked many tragedies, and very few romances.
949_138545_000011_000001	Parents were separated from their children and husbands from their wives.	Parents were separated from their children and husbands from their wives.
949_138545_000011_000002	Hundreds of skilled artisans--carpenters, smiths, and weavers--utterly disappeared as if swallowed up by death.	Hundreds of skilled artisans-carpenters, smiths, and weavers-utterly disappeared as if swallowed up by death.
949_138545_000011_000004	In one case a young man who was forcibly carried over the sea lived to make his way back to England and establish his claim to a peerage.	In one case a young man who was forcibly carried over the sea lived to make his way back to England and establish his claim to a peerage.
949_138545_000012_000001	The Americans protested vigorously but ineffectually against this practice. Indeed, they exaggerated its evils, for many of the "criminals" were only mild offenders against unduly harsh and cruel laws.	The Americans protested vigorously but ineffectually against this practice. Indeed, they exaggerated its evils, for many of the "criminals" were only mild offenders against unduly harsh and cruel laws.
949_138545_000012_000003	Other transported offenders were "political criminals"; that is, persons who criticized or opposed the government.	Other transported offenders were "political criminals"; that is, persons who criticized or opposed the government.
949_138545_000012_000004	This class included now Irish who revolted against British rule in Ireland; now Cavaliers who championed the king against the Puritan revolutionists; Puritans, in turn, dispatched after the monarchy was restored; and Scotch and English subjects in general who joined in political uprisings against the king.	This class included now Irish who revolted against British rule in Ireland; now Cavaliers who championed the king against the Puritan revolutionists; Puritans, in turn, dispatched after the monarchy was restored; and Scotch and English subjects in general who joined in political uprisings against the king.
949_138545_000013_000001	When this form of bondage was first introduced into Virginia in 1619, it was looked upon as a temporary necessity to be discarded with the increase of the white population.	When this form of bondage was first introduced into Virginia in sixteen nineteen, it was looked upon as a temporary necessity to be discarded with the increase of the white population.
949_138545_000013_000002	Moreover it does not appear that those planters who first bought negroes at the auction block intended to establish a system of permanent bondage.	Moreover it does not appear that those planters who first bought negroes at the auction block intended to establish a system of permanent bondage.
949_138545_000013_000003	Only by a slow process did chattel slavery take firm root and become recognized as the leading source of the labor supply.	Only by a slow process did chattel slavery take firm root and become recognized as the leading source of the labor supply.
949_138545_000013_000004	In 1650, thirty years after the introduction of slavery, there were only three hundred Africans in Virginia.	In sixteen fifty, thirty years after the introduction of slavery, there were only three hundred Africans in Virginia.
949_138545_000014_000000	The great increase in later years was due in no small measure to the inordinate zeal for profits that seized slave traders both in Old and in New England.	The great increase in later years was due in no small measure to the inordinate zeal for profits that seized slave traders both in Old and in New England.
949_138545_000014_000001	Finding it relatively easy to secure negroes in Africa, they crowded the Southern ports with their vessels.	Finding it relatively easy to secure negroes in Africa, they crowded the Southern ports with their vessels.
949_138545_000014_000002	The English Royal African Company sent to America annually between 1713 and 1743 from five to ten thousand slaves.	The English Royal African Company sent to America annually between seventeen thirteen and seventeen forty three from five to ten thousand slaves.
949_138545_000014_000003	The ship owners of New England were not far behind their English brethren in pushing this extraordinary traffic.	The ship owners of New England were not far behind their English brethren in pushing this extraordinary traffic.
949_138545_000015_000002	This effort was futile, for the royal governor promptly vetoed it.	This effort was futile, for the royal governor promptly vetoed it.
949_138545_000015_000003	From time to time similar bills were passed, only to meet with royal disapproval.	From time to time similar bills were passed, only to meet with royal disapproval.
949_138545_000015_000004	South Carolina, in 1760, absolutely prohibited importation; but the measure was killed by the British crown.	South Carolina, in seventeen sixty, absolutely prohibited importation; but the measure was killed by the British crown.
949_138545_000015_000005	As late as 1772, Virginia, not daunted by a century of rebuffs, sent to George III a petition in this vein: "The importation of slaves into the colonies from the coast of Africa hath long been considered as a trade of great inhumanity and under its present encouragement, we have too much reason to fear, will endanger the very existence of Your Majesty's American dominions....	As late as seventeen seventy two, Virginia, not daunted by a century of rebuffs, sent to George the third a petition in this vein: "The importation of slaves into the colonies from the coast of Africa hath long been considered as a trade of great inhumanity and under its present encouragement, we have too much reason to fear, will endanger the very existence of Your Majesty's American dominions....
949_138545_000015_000006	Deeply impressed with these sentiments, we most humbly beseech Your Majesty to remove all those restraints on Your Majesty's governors of this colony which inhibit their assenting to such laws as might check so very pernicious a commerce."	Deeply impressed with these sentiments, we most humbly beseech Your Majesty to remove all those restraints on Your Majesty's governors of this colony which inhibit their assenting to such laws as might check so very pernicious a commerce."
949_138545_000016_000000	All such protests were without avail.	All such protests were without avail.
949_138545_000016_000001	The negro population grew by leaps and bounds, until on the eve of the Revolution it amounted to more than half a million.	The negro population grew by leaps and bounds, until on the eve of the Revolution it amounted to more than half a million.
949_138545_000016_000002	In five states--Maryland, Virginia, the two Carolinas, and Georgia--the slaves nearly equalled or actually exceeded the whites in number.	In five states-Maryland, Virginia, the two Carolinas, and Georgia-the slaves nearly equalled or actually exceeded the whites in number.
949_138545_000016_000003	In South Carolina they formed almost two-thirds of the population.	In South Carolina they formed almost two thirds of the population.
949_138545_000016_000005	To the North, the proportion of slaves steadily diminished although chattel servitude was on the same legal footing as in the South.	To the North, the proportion of slaves steadily diminished although chattel servitude was on the same legal footing as in the South.
949_138545_000017_000000	The climate, the soil, the commerce, and the industry of the North were all unfavorable to the growth of a servile population.	The climate, the soil, the commerce, and the industry of the North were all unfavorable to the growth of a servile population.
949_138545_000017_000001	Still, slavery, though sectional, was a part of the national system of economy.	Still, slavery, though sectional, was a part of the national system of economy.
949_138545_000017_000002	Northern ships carried slaves to the Southern colonies and the produce of the plantations to Europe.	Northern ships carried slaves to the Southern colonies and the produce of the plantations to Europe.
949_138545_000017_000003	"If the Northern states will consult their interest, they will not oppose the increase in slaves which will increase the commodities of which they will become the carriers," said John Rutledge, of South Carolina, in the convention which framed the Constitution of the United States.	"If the Northern states will consult their interest, they will not oppose the increase in slaves which will increase the commodities of which they will become the carriers," said john Rutledge, of South Carolina, in the convention which framed the Constitution of the United States.
