3977_185457_000004_000000	CHAPTER VI.	CHAPTER six.
3977_185457_000016_000000	It has been observed that a bee, in gathering pollen, always confines herself to the same kind of flower on which she begins, even when that is not so abundant as some others.	It has been observed that a bee, in gathering pollen, always confines herself to the same kind of flower on which she begins, even when that is not so abundant as some others.
3977_185457_000016_000001	Thus if you examine a ball of this substance taken from her thigh, it is found to be of one uniform color throughout: the load of one will be yellow, another red, and a third brown; the color varying according to that of the plant from which it was obtained.	Thus if you examine a ball of this substance taken from her thigh, it is found to be of one uniform color throughout: the load of one will be yellow, another red, and a third brown; the color varying according to that of the plant from which it was obtained.
3977_185457_000016_000002	It is probable that the pollen of different kinds of flowers would not pack so well together.	It is probable that the pollen of different kinds of flowers would not pack so well together.
3977_185457_000016_000003	It is certain that if they flew from one species to another, there would be a much greater mixture of different varieties than there now is, for they carry on their bodies the pollen or fertilizing principle, and thus aid most powerfully in the impregnation of plants.	It is certain that if they flew from one species to another, there would be a much greater mixture of different varieties than there now is, for they carry on their bodies the pollen or fertilizing principle, and thus aid most powerfully in the impregnation of plants.
3977_185457_000018_000000	He must be blind indeed, who will not see, at every step in the natural history of this insect, the plainest proofs of the wisdom of its Creator.	He must be blind indeed, who will not see, at every step in the natural history of this insect, the plainest proofs of the wisdom of its Creator.
3977_185457_000019_000001	At first the importance of its products, when honey was the only natural sweet, served most powerfully to attract his attention to its curious habits; and now since the cultivation of the sugar cane has diminished the relative value of its luscious sweets, the superior knowledge which has been obtained of its instincts, is awakening an increasing enthusiasm in its cultivation.	At first the importance of its products, when honey was the only natural sweet, served most powerfully to attract his attention to its curious habits; and now since the cultivation of the sugar cane has diminished the relative value of its luscious sweets, the superior knowledge which has been obtained of its instincts, is awakening an increasing enthusiasm in its cultivation.
3977_185457_000020_000000	Virgil in the fourth book of his Georgics, which is entirely devoted to bees, speaks of them as having received a direct emanation from the Divine Intelligence.	Virgil in the fourth book of his Georgics, which is entirely devoted to bees, speaks of them as having received a direct emanation from the Divine Intelligence.
3977_185457_000020_000001	And many modern Apiarians are almost disposed to rank the bee for sagacity, as next in the scale of creation to man.	And many modern Apiarians are almost disposed to rank the bee for sagacity, as next in the scale of creation to man.
3977_185457_000021_000007	The feeding is continued till the bees cease to carry away the meal; that is, until the natural supplies furnish them with a preferable article.	The feeding is continued till the bees cease to carry away the meal; that is, until the natural supplies furnish them with a preferable article.
3977_185457_000021_000008	The average consumption of each colony is about two pounds of meal!	The average consumption of each colony is about two pounds of meal!
3977_185457_000022_000000	At the last annual Apiarian Convention in Germany, a cultivator recommended wheat flour as an excellent substitute for pollen.	At the last annual Apiarian Convention in Germany, a cultivator recommended wheat flour as an excellent substitute for pollen.
3977_185457_000022_000001	He says that in February, 1852, he used it with the best results.	He says that in February, eighteen fifty two, he used it with the best results.
3977_185457_000023_000000	The construction of my hives, permits the flour to be placed, at once, where the bees can take it, without being compelled to waste their time in going out for it, or to suffer for the want of it, when the weather confines them at home.	The construction of my hives, permits the flour to be placed, at once, where the bees can take it, without being compelled to waste their time in going out for it, or to suffer for the want of it, when the weather confines them at home.
