8494_244443_000000_000000	"It does beat the Dutch how things come about!"	"It does beat the Dutch how things come about!"	false	0	2.04	23.423376
8494_244443_000011_000001	"I am proud that our house has sheltered you, but it is not for the last time.	"I am proud that our house has sheltered you, but it is not for the last time.	true	101.42	106	19
8494_244443_000011_000002	You will come again, and you will be thin and pale and in rags, and you will fall at the door.	You will come again, and you will be thin and pale and in rags, and you will fall at the door.	true	106.07	112.87	22.874159
8494_244443_000011_000003	I see you coming with these two eyes of mine."	I see you coming with these two eyes of mine."	true	113.09	116.05	17
8494_244443_000012_000000	"Hush, Aunt Suse," exclaimed Mrs. Simmons.	"Hush, Aunt Suse," exclaimed mrs Simmons.	true	116.18	119.2	20.574186
8494_244443_000012_000001	"It is not Governor Ware, it is his great-grandson, and you mustn't send him away tellin' of terrible things that will happen to him."	"It is not Governor Ware, it is his great grandson, and you mustn't send him away tellin' of terrible things that will happen to him."	true	119.48	126.7	20
8494_244443_000013_000000	"I'm not afraid," said Harry, "and I hope that I'll see Aunt Susan and all of you again."	"I'm not afraid," said Harry, "and I hope that I'll see Aunt Susan and all of you again."	true	127.43	132.25	20.951267
8494_244443_000014_000000	He lifted her hand and kissed it in the old-fashioned manner.	He lifted her hand and kissed it in the old-fashioned manner.	true	132.98	136.45	23.121876
8494_244443_000015_000000	She smiled and he heard her murmur:	She smiled and he heard her murmur:	true	136.49	138.78	21.440037
8494_244443_000016_000000	"It is the great governor's way.	"It is the great governor's way.	false	138.78	140.895	26.121824
8494_244443_000016_000001	He kissed my hand like that once before, when I went to Frankfort on the lumber raft."	He kissed my hand like that once before, when I went to Frankfort on the lumber raft."	true	140.895	145.54	24.75449
8494_244443_000017_000000	"Good-bye, Harry," repeated Jarvis.	"Good bye, Harry," repeated Jarvis.	true	145.73	148.06	21.949404
8494_244443_000017_000001	"If you're bound to fight I reckon that's jest what you're bound to do, an' it ain't no good for me to say anythin'.	"If you're bound to fight I reckon that's jest what you're bound to do, an' it ain't no good for me to say anythin'.	false	148.25	153.85	18
8494_244443_000017_000002	Be shore you follow the trail jest as I laid it out to you an' in two days you'll strike the Wilderness Road.	Be shore you follow the trail jest as I laid it out to you an' in two days you'll strike the Wilderness Road.	false	154.16	159.435	15
8494_244443_000017_000003	After that it's easy."	After that it's easy."	true	159.435	161.08	24.155209
8494_244443_000018_000000	When Harry rode away something rose in his throat and choked him for a moment.	When Harry rode away something rose in his throat and choked him for a moment.	true	161.6	165.76	20.980986
8494_244443_000018_000001	He knew that he would never again find more kindly people than these simple mountaineers.	He knew that he would never again find more kindly people than these simple mountaineers.	true	165.95	170.32	14
8494_244443_000018_000002	Then in vivid phrases he heard once more the old woman's prophecy: "You will come again, and you will be thin and pale and in rags, and you will fall at the door." For a moment it shadowed the sunlight.	Then in vivid phrases he heard once more the old woman's prophecy: "You will come again, and you will be thin and pale and in rags, and you will fall at the door." For a moment it shadowed the sunlight.	true	170.66	183.03	20.436989
8494_244443_000018_000003	Then he laughed at himself.	Then he laughed at himself.	false	183.03	184.75	21.318691
8494_244443_000018_000004	No one could see into the future.	No one could see into the future.	true	184.91	186.61	21.07258
8494_244443_000019_000000	He was now across the valley and his path led along the base of the mountain.	He was now across the valley and his path led along the base of the mountain.	true	187.01	191.29	23.888992
8494_244443_000019_000001	He looked back and saw the four standing on the porch, Jarvis, Ike, Mrs. Simmons, and old Aunt Suse.	He looked back and saw the four standing on the porch, Jarvis, Ike, mrs Simmons, and old Aunt Suse.	true	191.54	198.76	23.219296
8494_244443_000019_000002	He waved his hand to them and all four waved back.	He waved his hand to them and all four waved back.	false	199.13	202.3	22.079512
8494_244443_000019_000003	A singular thrill ran through him.	A singular thrill ran through him.	true	202.43	204.67	19.256384
8494_244443_000019_000004	Could it be possible that he would come again, and in the manner that the old woman had predicted?	Could it be possible that he would come again, and in the manner that the old woman had predicted?	true	204.71	210.37	22.269707
8494_244443_000020_000000	The path, in another minute, curved around the mountain, and the valley was shut from view.	The path, in another minute, curved around the mountain, and the valley was shut from view.	true	211.22	216.04	20.806162
8494_244443_000020_000001	Nor, as he rode on, did he catch another glimpse of it.	Nor, as he rode on, did he catch another glimpse of it.	true	216.08	219.04	18.616518
8494_244443_000020_000002	One might roam the mountains for months and never see the home of Samuel Jarvis.	One might roam the mountains for months and never see the home of Samuel Jarvis.	true	219.23	223.42	18
8494_244443_000021_000000	The two days passed without event.	The two days passed without event.	true	224.33	226.48	29.571169
8494_244443_000021_000001	The weather remained fair, and no one interfered with him.	The weather remained fair, and no one interfered with him.	true	226.64	229.81	21.62806
8494_244443_000021_000002	He slept the first night at a log cabin that Jarvis had named, having reached it in due time, and the second day he reached, also in due time, the old Wilderness Road.	He slept the first night at a log cabin that Jarvis had named, having reached it in due time, and the second day he reached, also in due time, the old Wilderness Road.	true	230	240.58	22.513172
8494_244443_000022_000000	Thence the boy advanced by easy stages into Virginia until he reached a railroad, where he sold his horse and took a train for Richmond, having come in a few days out of the cool, peaceful atmosphere of the mountains into another, which was surcharged everywhere with the fiery breath of war.	Thence the boy advanced by easy stages into Virginia until he reached a railroad, where he sold his horse and took a train for Richmond, having come in a few days out of the cool, peaceful atmosphere of the mountains into another, which was surcharged everywhere with the fiery breath of war.	false	241.61	258.61	21
8494_244443_000023_000000	Harry realized as he approached the capital the deep intensity of feeling in everybody.	Harry realized as he approached the capital the deep intensity of feeling in everybody.	true	259.46	264.28	19
8494_244443_000023_000001	The Virginians were less volatile than the South Carolinians, and they had long refused to go out, but now that they were out they were pouring into the Southern army, and they were animated by an extraordinary zeal.	The Virginians were less volatile than the South Carolinians, and they had long refused to go out, but now that they were out they were pouring into the Southern army, and they were animated by an extraordinary zeal.	true	264.53	276.25	20
8494_244443_000023_000002	He began to hear new or unfamiliar names, Early, and Ewell, and Jackson, and Lee, and Johnston, and Hill, and Stuart, and Ashby, names that he would never forget, but names that as yet meant little to him.	He began to hear new or unfamiliar names, Early, and Ewell, and Jackson, and Lee, and Johnston, and Hill, and Stuart, and Ashby, names that he would never forget, but names that as yet meant little to him.	true	276.47	290.11	22.506184
8494_244443_000024_000000	He had letters from his father and he expected to find his friends of Charleston in Richmond or at the front.	He had letters from his father and he expected to find his friends of Charleston in Richmond or at the front.	true	291.05	296.98	22.807747
8494_244443_000024_000001	General Beauregard, whom he knew, would be in command of the army threatening Washington, and he would not go into a camp of strangers.	General Beauregard, whom he knew, would be in command of the army threatening Washington, and he would not go into a camp of strangers.	true	297.23	304.3	16
8494_244443_000025_000000	It was now early in June, and the country was at its best.	It was now early in June, and the country was at its best.	true	304.7	308.32	21.190641
8494_244443_000025_000001	On both sides of the railway spread the fair Virginia fields, and the earth, save where the ploughed lands stretched, was in its deepest tints of green.	On both sides of the railway spread the fair Virginia fields, and the earth, save where the ploughed lands stretched, was in its deepest tints of green.	false	308.48	317.14	20.929657
8494_244443_000025_000002	Harry, thrusting his head from the window, looked eagerly ahead at the city rising on its hills.	Harry, thrusting his head from the window, looked eagerly ahead at the city rising on its hills.	false	317.57	322.81	19
8494_244443_000025_000003	Then a shade smaller than Charleston, it, too, was a famous place in the South, and it was full of great associations.	Then a shade smaller than Charleston, it, too, was a famous place in the South, and it was full of great associations.	true	323.18	330.25	22.585348
8494_244443_000025_000004	Harry, like all the educated boys of the South, honored and admired its public men.	Harry, like all the educated boys of the South, honored and admired its public men.	true	330.68	335.95	21.19154
8494_244443_000025_000005	They were mighty names to him.	They were mighty names to him.	true	336.32	337.96	22.118517
8494_244443_000025_000006	He was about to tread streets that had been trod by the famous Jefferson, by Madison, Monroe, Randolph of Roanoke, and many others.	He was about to tread streets that had been trod by the famous Jefferson, by Madison, Monroe, Randolph of Roanoke, and many others.	true	337.97	345.88	23.055454
8494_244443_000025_000007	The shades of the great Virginians rose in a host before him.	The shades of the great Virginians rose in a host before him.	true	346.22	349.66	20
8494_244443_000026_000000	He arrived about noon, and, as he carried no baggage except his saddle bags and weapons, he was quickly within the city, his papers being in perfect order.	He arrived about noon, and, as he carried no baggage except his saddle bags and weapons, he was quickly within the city, his papers being in perfect order.	true	350.12	359.92	20.88573
8494_244443_000026_000001	He ate dinner, as the noonday meal was then called, and decided to seek General Beauregard at once, having learned from an officer on the train that he was in the city.	He ate dinner, as the noonday meal was then called, and decided to seek General Beauregard at once, having learned from an officer on the train that he was in the city.	true	360.32	370.69	19.714634
8494_244443_000026_000002	It was said that he was at the residence of President Davis, called the White House, after that other and more famous one at Washington, in which the lank, awkward man, Abraham Lincoln, now lived.	It was said that he was at the residence of President Davis, called the White House, after that other and more famous one at Washington, in which the lank, awkward man, Abraham Lincoln, now lived.	true	371	382.72	23
8494_244443_000027_000000	But Harry paused frequently on the way, as there was nothing to hurry him, and there was much to be seen.	But Harry paused frequently on the way, as there was nothing to hurry him, and there was much to be seen.	true	383.75	389.23	23.08928
8494_244443_000027_000001	If Charleston had been crowded, Richmond was more so.	If Charleston had been crowded, Richmond was more so.	true	389.6	392.92	26.01371
8494_244443_000027_000002	Like all capitals on the verge of a great war, but as yet untouched by its destructive breath, it throbbed with life. The streets swarmed with people, young officers and soldiers in their uniforms, civilians of all kinds, and many pretty girls in white or light dresses, often with flowers in their hair or on their breasts. Light-heartedness and gaiety seemed predominant.	Like all capitals on the verge of a great war, but as yet untouched by its destructive breath, it throbbed with life. The streets swarmed with people, young officers and soldiers in their uniforms, civilians of all kinds, and many pretty girls in white or light dresses, often with flowers in their hair or on their breasts. Light heartedness and gaiety seemed predominant.	false	393.41	415.9	22.263645
8494_244443_000028_000000	Harry stopped a while to look at the ancient and noble state house, now the home also of the Confederate Congress, standing in Capitol Square, and the spire of the Bell Tower, on Shockoe Hill.	Harry stopped a while to look at the ancient and noble state house, now the home also of the Confederate Congress, standing in Capitol Square, and the spire of the Bell Tower, on Shockoe Hill.	true	416.54	427.57	20.78506
8494_244443_000028_000001	He saw important looking men coming in or going out of the square, but he did not linger long, intending to see the sights another time.	He saw important looking men coming in or going out of the square, but he did not linger long, intending to see the sights another time.	true	427.79	435.7	19
8494_244443_000029_000000	He was informed at the "White House" that General Beauregard was there, and sending in his card he was admitted promptly.	He was informed at the "White House" that General Beauregard was there, and sending in his card he was admitted promptly.	true	436.28	443.08	20
8494_244443_000029_000001	Beauregard was sitting with President Davis and Secretary Benjamin in a room furnished plainly, and the general in his quick, nervous manner rose and greeted him warmly.	Beauregard was sitting with President Davis and Secretary Benjamin in a room furnished plainly, and the general in his quick, nervous manner rose and greeted him warmly.	true	443.39	452.94	15
8494_244443_000030_000000	"You did good service with us at Charleston," he said, "and we welcome you here.	"You did good service with us at Charleston," he said, "and we welcome you here.	false	452.94	458.235	21.535007
8494_244443_000030_000001	We have already heard from your father, who was a comrade in war of both President Davis and myself."	We have already heard from your father, who was a comrade in war of both President Davis and myself."	true	458.235	463.48	18
8494_244443_000031_000000	"He wrote us that you were coming across the mountains from Frankfort," said Mr. Davis.	"He wrote us that you were coming across the mountains from Frankfort," said mr Davis.	false	463.61	467.77	22.05595
8494_244443_000032_000000	Harry thought that the President already looked worn and anxious.	Harry thought that the President already looked worn and anxious.	true	468.11	471.61	17
8494_244443_000033_000000	"Yes, sir," replied the boy, "I came chiefly by the river and the Wilderness Road."	"Yes, sir," replied the boy, "I came chiefly by the river and the Wilderness Road."	true	472.19	477.01	22.217905
8494_244443_000034_000000	"Your father writes that they worked hard at Frankfort, but that they failed to take Kentucky out," continued the head of the Confederacy.	"Your father writes that they worked hard at Frankfort, but that they failed to take Kentucky out," continued the head of the Confederacy.	false	478.22	484.33	22.127197
8494_244443_000035_000000	"The Southern leaders did their best, but they could not move the state."	"The Southern leaders did their best, but they could not move the state."	true	484.91	488.35	23.285645
8494_244443_000036_000000	"And you wish, then, to serve at the front?" continued the President.	"And you wish, then, to serve at the front?" continued the President.	false	489.11	492.58	21.419165
8494_244443_000037_000000	"If I may," returned Harry.	"If I may," returned Harry.	true	492.8	494.83	25.571653
8494_244443_000037_000001	"In South Carolina I was with Colonel Leonidas Talbot.	"In South Carolina I was with Colonel Leonidas Talbot.	true	495.02	498.46	23
8494_244443_000037_000002	I have had a letter from him here, and, if it is your pleasure and that of General Beauregard, I shall be glad to join his command."	I have had a letter from him here, and, if it is your pleasure and that of General Beauregard, I shall be glad to join his command."	true	498.56	506.02	21.759922
8494_244443_000038_000000	General Beauregard laughed a little.	General Beauregard laughed a little.	true	506.39	508.24	20.2264
8494_244443_000039_000000	"You do well," he said.	"You do well," he said.	true	508.88	510.64	22.15689
8494_244443_000039_000001	"I have known Colonel Talbot a long time, and, although he may be slow in choosing he is bound to be in the very thick of events when he does choose.	"I have known Colonel Talbot a long time, and, although he may be slow in choosing he is bound to be in the very thick of events when he does choose.	true	510.98	519.19	18
8494_244443_000039_000002	Colonel Talbot is at the front, and you'll probably find him closer than any other officer to the Yankee army.	Colonel Talbot is at the front, and you'll probably find him closer than any other officer to the Yankee army.	true	519.5	525.57	20
8494_244443_000039_000003	We need everybody whom we can get, especially lads of spirit and fire like you.	We need everybody whom we can get, especially lads of spirit and fire like you.	false	525.57	530.58	24
8494_244443_000039_000004	You shall be a second lieutenant in his command. A train will leave here in four hours.	You shall be a second lieutenant in his command. A train will leave here in four hours.	false	530.58	535.54	19.313313
8494_244443_000039_000005	Be ready.	Be ready.	true	535.61	536.5	28.276327
8494_244443_000039_000006	It will take you part of the way and you will march on for the rest."	It will take you part of the way and you will march on for the rest."	true	536.6	540.19	21.866447
8494_244443_000040_000000	Mr. Benjamin did not speak throughout the interview, but he watched Harry closely.	mr Benjamin did not speak throughout the interview, but he watched Harry closely.	true	541.4	545.68	23
8494_244443_000040_000001	Neither did he speak when he left, but he offered him a limp hand.	Neither did he speak when he left, but he offered him a limp hand.	false	545.9	549.75	23.297552
8494_244443_000040_000002	The boy's view of Richmond was in truth brief, as before night he saw its spires and roofs fading behind him.	The boy's view of Richmond was in truth brief, as before night he saw its spires and roofs fading behind him.	true	549.75	556.63	22.537203
8494_244443_000040_000003	The train was wholly military.	The train was wholly military.	true	557.06	558.9	19
8494_244443_000040_000004	There were four coaches filled with officers and troops, and two more coaches behind them loaded with ammunition.	There were four coaches filled with officers and troops, and two more coaches behind them loaded with ammunition.	true	558.9	564.46	18
8494_244443_000041_000000	Harry heard from some of the officers that the army was gathered at a place called Manassas Junction, where Beauregard had taken command on June 1st, and to which he would quickly return.	Harry heard from some of the officers that the army was gathered at a place called Manassas Junction, where Beauregard had taken command on june first, and to which he would quickly return.	true	565.61	576.34	20
8494_244443_000041_000001	But Harry did not know any of these officers and he felt a little lonely.	But Harry did not know any of these officers and he felt a little lonely.	true	576.59	580.51	20
8494_244443_000041_000002	He slept after a while in the car seat, awakened at times by the jolting or stopping of the train, and arrived some time the next day in a country of green hills and red clay roads, muddy from heavy rains.	He slept after a while in the car seat, awakened at times by the jolting or stopping of the train, and arrived some time the next day in a country of green hills and red clay roads, muddy from heavy rains.	true	580.61	593.29	19
8494_244443_000042_000000	They left the train, marched over the hills along one of the muddy roads, and presently saw a vast array of tents, fires, and earthworks, stretching to the horizon.	They left the train, marched over the hills along one of the muddy roads, and presently saw a vast array of tents, fires, and earthworks, stretching to the horizon.	true	594.08	603.25	17
8494_244443_000042_000001	Harry's heart leaped again.	Harry's heart leaped again.	true	603.83	605.71	25.76021
8494_244443_000042_000002	This was the great army of the South.	This was the great army of the South.	true	605.93	608.05	18.977652
8494_244443_000042_000003	Here were regiments and regiments, thousands and thousands of men and here he would find his friends, Colonel Talbot and Major St. Hilaire, and St. Clair and Langdon.	Here were regiments and regiments, thousands and thousands of men and here he would find his friends, Colonel Talbot and Major st Hilaire, and st Clair and Langdon.	false	608.27	618.73	23.119917
8494_244443_000043_000000	The whole scene was inspiring in the extreme to the heart of youth. Far to the right he saw cavalry galloping back and forth, and to the left he saw infantry drilling.	The whole scene was inspiring in the extreme to the heart of youth. Far to the right he saw cavalry galloping back and forth, and to the left he saw infantry drilling.	true	619.31	628.12	21
8494_244443_000043_000001	From somewhere in front came the strains of a regimental band playing:	From somewhere in front came the strains of a regimental band playing:	false	628.55	632.05	16
8494_244443_000044_000000	"The hour was sad, I left the maid, A lingering farewell taking, Her sighs and tears my steps delayed, I thought her heart was breaking. In hurried words her name I blessed, I breathed the vows that bind me And to my heart in anguish pressed The girl I left behind me."	"The hour was sad, I left the maid, A lingering farewell taking, Her sighs and tears my steps delayed, I thought her heart was breaking. In hurried words her name I blessed, I breathed the vows that bind me And to my heart in anguish pressed The girl I left behind me."	false	632.42	649.96	21.207773
8494_244443_000045_000000	It was a favorite air of the Southern bands, and, much as it stirred Harry now, he was destined to hear it again in moments far more thrilling.	It was a favorite air of the Southern bands, and, much as it stirred Harry now, he was destined to hear it again in moments far more thrilling.	true	650.81	658.9	19
8494_244443_000045_000001	He presented his order from General Beauregard to a sentinel, who passed him to an officer, who in turn told him to go about a quarter of a mile westward, where he would find the regiment of Colonel Talbot quartered.	He presented his order from General Beauregard to a sentinel, who passed him to an officer, who in turn told him to go about a quarter of a mile westward, where he would find the regiment of Colonel Talbot quartered.	false	659.3	670.09	18
8494_244443_000046_000000	"It's a mixed regiment," he said, "made up of Virginians, South Carolinians, North Carolinians, and a few Kentuckians and Tennesseeans, but it's already one of the best in the service.	"It's a mixed regiment," he said, "made up of Virginians, South Carolinians, North Carolinians, and a few Kentuckians and Tennesseeans, but it's already one of the best in the service.	true	670.97	681.94	21.109095
8494_244443_000046_000001	Colonel Talbot and his second in command, Lieutenant-Colonel St. Hilaire, have been thrashing it into shape in great fashion.	Colonel Talbot and his second in command, Lieutenant Colonel st Hilaire, have been thrashing it into shape in great fashion.	false	682.07	688.6	20
8494_244443_000046_000002	They're mostly boys and already they call themselves 'The Invincibles.' You can see the tents of their commanding officers over there by that little creek."	They're mostly boys and already they call themselves 'The Invincibles.' You can see the tents of their commanding officers over there by that little creek."	true	688.79	696.67	20.278639
8494_244443_000047_000000	Harry's eyes followed the pointing finger, and again his heart leaped. His friends were there, the two colonels for whom he had such a strong affection, and the two lads of his own age.	Harry's eyes followed the pointing finger, and again his heart leaped. His friends were there, the two colonels for whom he had such a strong affection, and the two lads of his own age.	true	696.92	706.81	21.027292
8494_244443_000047_000001	Theirs looked like a good camp, too.	Theirs looked like a good camp, too.	true	707.06	708.96	24
8494_244443_000047_000002	It was arranged neatly, and by its side flowed the clear, cool waters of Young's Branch, a tributary of the little Manassas River. He walked briskly, crossed the brook, stepping from stone to stone, and entered the grounds of the Invincibles.	It was arranged neatly, and by its side flowed the clear, cool waters of Young's Branch, a tributary of the little Manassas River. He walked briskly, crossed the brook, stepping from stone to stone, and entered the grounds of the Invincibles.	true	708.96	722.74	23.023685
8494_244443_000047_000003	A tall youth rushed forward, seized his hand and shook it violently, meanwhile uttering cries of welcome in an unbroken stream.	A tall youth rushed forward, seized his hand and shook it violently, meanwhile uttering cries of welcome in an unbroken stream.	true	723.11	730.72	23.469402
8494_244443_000048_000000	"By all the powers, it's our own Harry!" he exclaimed, "the new Harry of the West, whom we were afraid we should never see again.	"By all the powers, it's our own Harry!" he exclaimed, "the new Harry of the West, whom we were afraid we should never see again.	true	731.03	738.25	20.578575
8494_244443_000048_000001	Everything is for the best, but we hardly hoped for this!	Everything is for the best, but we hardly hoped for this!	true	738.44	741.49	21
8494_244443_000048_000002	How did you get here, Harry?	How did you get here, Harry?	true	741.8	743.26	24.93457
8494_244443_000048_000003	And you didn't bring Kentucky rushing to our side, after all! Well, I knew it wasn't your fault, old horse!	And you didn't bring Kentucky rushing to our side, after all! Well, I knew it wasn't your fault, old horse!	false	743.45	749.22	21.417114
8494_244443_000048_000004	Ho, St. Clair, come and see who's here!"	Ho, st Clair, come and see who's here!"	false	749.22	760.77	19.940765
