3224_167024_000002_000000	If You Read It in Stanley-Browne	If You Read It in Stanley Browne
3224_167024_000043_000000	"Stanley-Browne is one author you can depend on," O'Leary assured her. "If you read it in Stanley-Browne, it's wrong.	"Stanley Browne is one author you can depend on," O'Leary assured her. "If you read it in Stanley Browne, it's wrong.
3224_167024_000044_000000	Von Schlichten allowed himself to be smitten by an idea.	Von Schlichten allowed himself to be smitten by an idea.
3224_167024_000044_000004	That's four days from today."	That's four days from today."
3224_167024_000045_000000	"I'm sure I could.	"I'm sure I could.
3224_167024_000045_000001	Why?"	Why?"
3224_167024_000046_000003	That would give us about two to three hours.	That would give us about two to three hours.
3224_167024_000046_000004	If you think the Kragans are 'pathetic cultural mongrels,' what you'll see there will open your eyes.	If you think the Kragans are 'pathetic cultural mongrels,' what you'll see there will open your eyes.
3224_167024_000048_000002	They raided into Konkrook and Keegark territory, too.	They raided into Konkrook and Keegark territory, too.
3224_167024_000048_000003	Well, we had to break that up.	Well, we had to break that up.
3224_167024_000048_000007	We've taught them a lot--you'll see how much when you visit their town--but they aren't cultural mongrels.	We've taught them a lot-you'll see how much when you visit their town-but they aren't cultural mongrels.
3224_167024_000048_000008	You'll like them."	You'll like them."
3224_167024_000049_000000	"Well, general, I'll take you up," she said.	"Well, general, I'll take you up," she said.
3224_167024_000049_000001	"But I warn you; if this is some scheme to indoctrinate me with the Uller Company's side of the case and blind me to unjust exploitation of the natives here, I don't propagandize very easily."	"But I warn you; if this is some scheme to indoctrinate me with the Uller Company's side of the case and blind me to unjust exploitation of the natives here, I don't propagandize very easily."
3224_167024_000050_000001	Just stay scientific about it and I'll be satisfied.	Just stay scientific about it and I'll be satisfied.
