3357_28380_000001_000000	SPANISH WOMEN.	SPANISH WOMEN.
3357_28380_000014_000000	RUSSIAN WOMEN.	RUSSIAN WOMEN.
3357_28380_000016_000000	A late empress of Russia, as a punishment for some female frailties, ordered a most beautiful young lady of family to be publicly chastised, in a manner which was hardly less indelicate than severe.	A late empress of Russia, as a punishment for some female frailties, ordered a most beautiful young lady of family to be publicly chastised, in a manner which was hardly less indelicate than severe.
3357_28380_000018_000002	As soon as a young man is old enough to be married, his parents seek a wife for him, and all is settled before the young couple know any thing of the matter.	As soon as a young man is old enough to be married, his parents seek a wife for him, and all is settled before the young couple know any thing of the matter.
3357_28380_000019_000000	Their nuptial ceremonies are peculiar to themselves; and formerly consisted of many whimsical rites, some of which are now disused.	Their nuptial ceremonies are peculiar to themselves; and formerly consisted of many whimsical rites, some of which are now disused.
3357_28380_000019_000001	On her wedding day, the bride is crowned with a garland of wormwood; and, after the priest has tied the nuptial knot, his clerk or sexton throws a handful of hops upon the head of the bride, wishing that she might prove as fruitful as that plant.	On her wedding day, the bride is crowned with a garland of wormwood; and, after the priest has tied the nuptial knot, his clerk or sexton throws a handful of hops upon the head of the bride, wishing that she might prove as fruitful as that plant.
3357_28380_000019_000002	She is then led home, with abundance of coarse ceremonies, which are now wearing off even among the lowest ranks; and the barbarous treatment of wives by their husbands is either guarded against by the laws of the country, or by particular stipulations in the marriage contract.	She is then led home, with abundance of coarse ceremonies, which are now wearing off even among the lowest ranks; and the barbarous treatment of wives by their husbands is either guarded against by the laws of the country, or by particular stipulations in the marriage contract.
3357_28380_000020_000000	In the conversation and actions of the Russian ladies, there is hardly any thing of that softness and delicacy which distinguishes the sex in other parts of Europe.	In the conversation and actions of the Russian ladies, there is hardly any thing of that softness and delicacy which distinguishes the sex in other parts of Europe.
3357_28380_000020_000001	Even their exercises and diversions have more of the masculine than the feminine.	Even their exercises and diversions have more of the masculine than the feminine.
3357_28380_000020_000002	The present empress, with the ladies of her court, sometimes divert themselves by shooting at a mark. Drunkenness, the vice of almost every cold climate, they are so little ashamed of, that not many years ago, when a lady got drunk at the house of a friend, it was customary for her to return next day, and thank him for the pleasure he had done her.	The present empress, with the ladies of her court, sometimes divert themselves by shooting at a mark. Drunkenness, the vice of almost every cold climate, they are so little ashamed of, that not many years ago, when a lady got drunk at the house of a friend, it was customary for her to return next day, and thank him for the pleasure he had done her.
3357_28380_000021_000000	Females, however, in Russia, possess several advantages.	Females, however, in Russia, possess several advantages.
3357_28380_000021_000001	They share the rank and splendor of the families from which they are sprung, and are even allowed the supreme authority.	They share the rank and splendor of the families from which they are sprung, and are even allowed the supreme authority.
3357_28380_000021_000002	This a few years ago, was enjoyed by an empress, whose head did honor to her nation and to her sex; although, on some occasions, the virtues of her heart have been much suspected. The sex, in general, are protected from insult, by many salutary laws; and, except among the peasants, are exempted from every kind of toil and slavery.	This a few years ago, was enjoyed by an empress, whose head did honor to her nation and to her sex; although, on some occasions, the virtues of her heart have been much suspected. The sex, in general, are protected from insult, by many salutary laws; and, except among the peasants, are exempted from every kind of toil and slavery.
