7276_90847_000000_000000	After the wedding reception, the Prince and his bride went on a honeymoon to the Enchanted Islands.	After the wedding reception, the Prince and his bride went on a honeymoon to the Enchanted Islands.	false	0	7.89	21.94751
7276_90847_000013_000000	Now it came to pass that, as Marianna was one day walking through a village in the heart of the Adamant Mountains, a ragged old woman besought her with tears to come to a hamlet which stood at the head of a high and dangerous path.	Now it came to pass that, as Marianna was one day walking through a village in the heart of the Adamant Mountains, a ragged old woman besought her with tears to come to a hamlet which stood at the head of a high and dangerous path.	false	228.525	241.05	15
7276_90847_000013_000001	Touched by the old woman's supplication, Marianna followed her to the hamlet, and found in a wretched hut, lying on a wretched bed, a beautiful young peasant girl dying of a fever.	Touched by the old woman's supplication, Marianna followed her to the hamlet, and found in a wretched hut, lying on a wretched bed, a beautiful young peasant girl dying of a fever.	true	241.05	251.715	18
7276_90847_000013_000002	So Marianna touched the girl with the water of healing, and in an instant she became well and strong.	So Marianna touched the girl with the water of healing, and in an instant she became well and strong.	true	251.715	257.025	18
7276_90847_000014_000000	"Dear lady," said the peasant girl, pressing Marianna's hand to her lips, "how sweet and kind thou art!	"Dear lady," said the peasant girl, pressing Marianna's hand to her lips, "how sweet and kind thou art!	true	257.025	263.8	24.023903
7276_90847_000014_000001	Great is the debt I owe thee."	Great is the debt I owe thee."	true	264.05	266.29	24.596088
7276_90847_000015_000000	And as the girl poured out her thanks, Marianna heard a faint "chirp, chirp," and looking down, beheld a little yellow bird crouching on the hearthstone.	And as the girl poured out her thanks, Marianna heard a faint "chirp, chirp," and looking down, beheld a little yellow bird crouching on the hearthstone.	false	266.48	277.005	21.824917
7276_90847_000015_000001	Every now and then he hid his head under his wings and cried unhappily.	Every now and then he hid his head under his wings and cried unhappily.	true	277.005	281.19	18.459179
7276_90847_000015_000002	It was the yellow bird which had brought the message from the Emperor of the Elves.	It was the yellow bird which had brought the message from the Emperor of the Elves.	true	281.19	284.865	19
7276_90847_000016_000000	"Poor little bird," said Marianna, bending down and taking him up in her hands, "why criest thou so mournfully?	"Poor little bird," said Marianna, bending down and taking him up in her hands, "why criest thou so mournfully?	true	284.865	291.82	23.14037
7276_90847_000016_000001	Who hath done thee harm?"	Who hath done thee harm?"	false	292.04	293.325	28
7276_90847_000017_000000	But the bird uttered only a forlorn little cry, and hid his head again under his wings.	But the bird uttered only a forlorn little cry, and hid his head again under his wings.	true	293.325	300.135	23.138353
7276_90847_000018_000000	"I found him on the rocks at the mountaintop yesterday," said the mother.	"I found him on the rocks at the mountaintop yesterday," said the mother.	true	300.135	303.285	15
7276_90847_000018_000001	"Someone has wounded him.	"Someone has wounded him.	true	303.285	304.77	25
7276_90847_000018_000002	His wing is broken."	His wing is broken."	true	304.77	306.135	26.01074
7276_90847_000019_000000	And she put the bird on the floor of the house and bade Marianna watch how he fluttered trailing a wing in the dust.	And she put the bird on the floor of the house and bade Marianna watch how he fluttered trailing a wing in the dust.	false	306.135	312.225	14
7276_90847_000019_000001	Again Marianna stooped, and picking up the bird, touched the wounded wing with the water of healing.	Again Marianna stooped, and picking up the bird, touched the wounded wing with the water of healing.	true	312.225	316.9	19
7276_90847_000019_000002	Scarcely had she done so, when the yellow bird burst into a joyous and golden song, and flying to the window, beat madly against the panes.	Scarcely had she done so, when the yellow bird burst into a joyous and golden song, and flying to the window, beat madly against the panes.	true	317.45	327.46	21.186497
7276_90847_000019_000003	Then the peasant girl threw open the casement, and the yellow bird flew out into the streaming sun.	Then the peasant girl threw open the casement, and the yellow bird flew out into the streaming sun	true	327.95	333.045	22
7276_90847_000020_000000	"He is gone forever," said the peasant girl.	"He is gone forever," said the peasant girl.	true	333.045	335.415	24.533329
7276_90847_000021_000000	"Nay, he returns," said Marianna, gently, as the yellow bird flew back and perched in the sheltering bower of Marianna's arms.	"Nay, he returns," said Marianna, gently, as the yellow bird flew back and perched in the sheltering bower of Marianna's arms.	true	335.415	343.335	22.611801
7276_90847_000021_000001	Then, accompanied by the peasant girl and the yellow bird, who flew singing before her, Marianna went down the dangerous path to the high road in the valley.	Then, accompanied by the peasant girl and the yellow bird, who flew singing before her, Marianna went down the dangerous path to the high road in the valley.	false	343.335	353.62	23.087955
7276_90847_000021_000002	When they reached the foot of the path, the peasant girl cried:--	When they reached the foot of the path, the peasant girl cried:--	true	353.72	357.57	26.938456
7276_90847_000022_000000	"Farewell, dear Marianna; may it some day be mine to repay thee!"	"Farewell, dear Marianna; may it some day be mine to repay thee!"	true	357.57	362.175	14
7276_90847_000023_000000	Into the world again went Marianna, and with her went the yellow bird. Presently she came to the fairest land which she had ever seen, a land of rolling fields, little hills, and rivers bordered with pale willow trees.	Into the world again went Marianna, and with her went the yellow bird. Presently she came to the fairest land which she had ever seen, a land of rolling fields, little hills, and rivers bordered with pale willow trees.	true	362.175	376.185	19
7276_90847_000023_000001	This pleasant land, unknown to Marianna, was part of her father's kingdom, and she was really its queen because her father had been the last rightful king.	This pleasant land, unknown to Marianna, was part of her father's kingdom, and she was really its queen because her father had been the last rightful king.	true	376.185	387.375	21.627901
7276_90847_000024_000000	Now while Marianna had been in the forest, the wicked nobleman who had stolen the kingdom from Marianna's father had died, leaving his brother Garabin in charge of the kingdom and of the interests of his little son, Prince Desire.	Now while Marianna had been in the forest, the wicked nobleman who had stolen the kingdom from Marianna's father had died, leaving his brother Garabin in charge of the kingdom and of the interests of his little son, Prince Desire.	false	387.375	402.675	21.85883
7276_90847_000024_000001	This Garabin, however, taking advantage of the youth and helplessness of his nephew, had himself assumed the state and airs of king.	This Garabin, however, taking advantage of the youth and helplessness of his nephew, had himself assumed the state and airs of king.	false	402.675	410.46	21
7276_90847_000024_000002	For some time he had enjoyed undisturbed the possession of his stolen throne; but as Desire grew taller and stronger every year, Garabin began to fear the day when he would be compelled to resign in favor of his nephew.	For some time he had enjoyed undisturbed the possession of his stolen throne; but as Desire grew taller and stronger every year, Garabin began to fear the day when he would be compelled to resign in favor of his nephew.	true	410.46	424.14	20.80583
7276_90847_000025_000000	When the Prince reached his twentieth year, Garabin would certainly have killed him openly had he dared; but, fearing the people, he resolved to use secret methods, and bribed a cruel magician to afflict poor Desire with a deadly and mysterious malady.	When the Prince reached his twentieth year, Garabin would certainly have killed him openly had he dared; but, fearing the people, he resolved to use secret methods, and bribed a cruel magician to afflict poor Desire with a deadly and mysterious malady.	true	424.14	439.72	21.544258
7276_90847_000025_000001	Of this malady, Desire was slowly dying, for no medicine could cure him or even give him any relief from his constant pain.	Of this malady, Desire was slowly dying, for no medicine could cure him or even give him any relief from his constant pain.	true	440.18	448.965	22.531332
7276_90847_000025_000002	Every morning the cruel Garabin, in the hope of finding his nephew dead, would go to the sick room; and you may be sure that his wicked heart rejoiced when he found the Prince weaker and more feverish.	Every morning the cruel Garabin, in the hope of finding his nephew dead, would go to the sick room; and you may be sure that his wicked heart rejoiced when he found the Prince weaker and more feverish.	false	448.965	461.865	21.876575
7276_90847_000026_000000	Garabin had just returned from a visit to the Prince, who was rapidly failing, when the Captain of the Castle Guard came to him with the news that the wonderful Marianna had arrived in the kingdom.	Garabin had just returned from a visit to the Prince, who was rapidly failing, when the Captain of the Castle Guard came to him with the news that the wonderful Marianna had arrived in the kingdom.	true	461.865	473.025	20
7276_90847_000026_000001	The King gave orders that she be brought before him.	The King gave orders that she be brought before him.	true	473.025	475.845	21
7276_90847_000026_000002	So Marianna, walking between two halberdiers and followed across the courtyard by crowds of curious people, was led before the King.	So Marianna, walking between two halberdiers and followed across the courtyard by crowds of curious people, was led before the King.	true	475.845	486	21.479929
7276_90847_000026_000003	The little yellow bird sat on Marianna's shoulder, and never did maiden appear lovelier or more gentle.	The little yellow bird sat on Marianna's shoulder, and never did maiden appear lovelier or more gentle.	false	486	491.925	14
7276_90847_000027_000000	Scarcely had Garabin set eyes on Marianna, when he caught sight of the golden locket which she wore about her neck.	Scarcely had Garabin set eyes on Marianna, when he caught sight of the golden locket which she wore about her neck.	false	491.925	498.81	19
7276_90847_000027_000001	Had he not been very old and crafty, he would have started from his golden throne, for he knew that the little golden heart set with diamonds had been one of the crown jewels, and that therefore Marianna must be the missing Princess, and rightful queen of the kingdom.	Had he not been very old and crafty, he would have started from his golden throne, for he knew that the little golden heart set with diamonds had been one of the crown jewels, and that therefore Marianna must be the missing Princess, and rightful queen of the kingdom.	true	498.81	514.83	22
7276_90847_000028_000000	What was he to do?	What was he to do?	false	514.83	516	22.237637
7276_90847_000028_000001	If he refused to let Marianna help the Prince, the people might begin to suspect him, and start a revolution which would thrust him from his throne; if he allowed Marianna to cure the Prince, the Prince would certainly demand the kingdom on his twenty-first birthday.	If he refused to let Marianna help the Prince, the people might begin to suspect him, and start a revolution which would thrust him from his throne; if he allowed Marianna to cure the Prince, the Prince would certainly demand the kingdom on his twenty first birthday.	false	516	530.95	23.425053
7276_90847_000028_000002	What was he to do with Marianna, whose right to the throne was superior even to his nephew's?	What was he to do with Marianna, whose right to the throne was superior even to his nephew's?	true	530.96	535.92	21.988216
7276_90847_000028_000003	Perplexed, and with fear in his heart, the King sought the cruel magician who had cast the spell on Desire.	Perplexed, and with fear in his heart, the King sought the cruel magician who had cast the spell on Desire.	true	535.92	543.99	23.783024
7276_90847_000029_000000	The magician lived in a gloomy tower, and had an enchanted black dog that he fed with flaming coals.	The magician lived in a gloomy tower, and had an enchanted black dog that he fed with flaming coals.	true	543.99	550.455	20
7276_90847_000029_000001	He listened to Garabin's story, stirring a great cauldron all the while, and said, "Do not fear.	He listened to Garabin's story, stirring a great cauldron all the while, and said, "Do not fear.	true	550.455	557.74	22.942747
7276_90847_000029_000002	I will destroy both claimants to the throne at once."	I will destroy both claimants to the throne at once."	true	557.9	561.36	20.674013
7276_90847_000030_000000	Garabin rubbed his hands together with glee.	Garabin rubbed his hands together with glee.	true	561.36	563.74	22
7276_90847_000031_000000	"To-night I shall cast a spell of sleep on Marianna, steal the crystal flask, empty it of the water of healing, and refill it with a liquid which will cause death within a night and a day.	"To night I shall cast a spell of sleep on Marianna, steal the crystal flask, empty it of the water of healing, and refill it with a liquid which will cause death within a night and a day.	true	564.14	579.22	24.61072
7276_90847_000031_000001	I shall then replace the flask before Marianna wakes.	I shall then replace the flask before Marianna wakes.	true	579.65	583.605	22
7276_90847_000031_000002	You will allow Marianna to visit the Prince; she will touch him with the deadly water, and the Prince will die.	You will allow Marianna to visit the Prince; she will touch him with the deadly water, and the Prince will die.	false	583.605	592.23	23.220139
7276_90847_000031_000003	You can then try Marianna for having killed the Prince, and condemn her to be thrown from the precipice."	You can then try Marianna for having killed the Prince, and condemn her to be thrown from the precipice."	true	592.23	599.475	20
7276_90847_000032_000000	So pleased was Garabin with this horrid plot, that he could have danced for joy.	So pleased was Garabin with this horrid plot, that he could have danced for joy.	true	599.475	604.365	23.785328
7276_90847_000032_000001	That very night, the magician filled Marianna's flask with the poisonous water, and departed, thinking that nobody had noticed him.	That very night, the magician filled Marianna's flask with the poisonous water, and departed, thinking that nobody had noticed him.	true	604.365	611.94	23
7276_90847_000032_000002	The yellow bird, however, had seen everything, and followed the magician to note where he hid the real water of healing.	The yellow bird, however, had seen everything, and followed the magician to note where he hid the real water of healing.	false	611.94	618.46	19
7276_90847_000033_000000	The next morning Marianna was once more led before the King.	The next morning Marianna was once more led before the King.	true	618.5	622.47	18
7276_90847_000034_000000	"Welcome, thrice welcome, lovely maiden," said Garabin with the most dreadful hypocrisy.	"Welcome, thrice welcome, lovely maiden," said Garabin with the most dreadful hypocrisy.	true	622.47	628.575	23
7276_90847_000034_000001	"I have long hoped that you would turn your footsteps hither, for my poor dear nephew, Prince Desire, only son of the late King, has been ill for some months of a malady no physician can cure.	"I have long hoped that you would turn your footsteps hither, for my poor dear nephew, Prince Desire, only son of the late King, has been ill for some months of a malady no physician can cure.	false	628.575	640.695	23
7276_90847_000034_000002	Perhaps you can cure him with the water of healing."	Perhaps you can cure him with the water of healing."	true	640.695	643.365	16
7276_90847_000035_000000	Marianna replied that she would do her best to help the Prince; so the Court Chamberlain gave her his arm, and escorted her to the Prince's sick room.	Marianna replied that she would do her best to help the Prince; so the Court Chamberlain gave her his arm, and escorted her to the Prince's sick room.	true	643.365	650.95	23.259037
7276_90847_000035_000001	The King and many courtiers followed after him.	The King and many courtiers followed after him.	false	651.38	654.615	24.585594
7276_90847_000036_000000	Desire lay in a great old-fashioned bed, his face flushed with fever.	Desire lay in a great old-fashioned bed, his face flushed with fever.	true	654.615	659.595	24.666126
7276_90847_000036_000001	So weak was the poor Prince, that he could scarcely lift his head to look at his visitors.	So weak was the poor Prince, that he could scarcely lift his head to look at his visitors.	true	659.595	664.09	25.617836
7276_90847_000036_000002	A great pity swept over Marianna's heart the instant she saw him; as for Desire, he fell madly in love with Marianna at first sight.	A great pity swept over Marianna's heart the instant she saw him; as for Desire, he fell madly in love with Marianna at first sight.	false	664.64	673.455	21
7276_90847_000037_000000	Now just as Marianna bent over the Prince to touch his forehead with the water of healing, the yellow bird screamed and cried as madly as if he were caught in a net.	Now just as Marianna bent over the Prince to touch his forehead with the water of healing, the yellow bird screamed and cried as madly as if he were caught in a net.	true	673.455	684.37	21.326376
7276_90847_000037_000001	Marianna looked at the crystal flask.	Marianna looked at the crystal flask.	true	685.01	687.46	30.994137
7276_90847_000037_000002	Nothing seemed changed; the water within seemed as pure and diamond-like as ever.	Nothing seemed changed; the water within seemed as pure and diamond like as ever.	true	687.71	692.34	25.332956
7276_90847_000037_000003	She touched the Prince with the liquid.	She touched the Prince with the liquid.	false	692.34	694.36	24.917082
7276_90847_000037_000004	Alas, in a moment, so terrible was the magician's poison that the Prince turned white as the driven snow, and fell back on the pillows insensible.	Alas, in a moment, so terrible was the magician's poison that the Prince turned white as the driven snow, and fell back on the pillows insensible.	true	694.52	703.395	25.042952
7276_90847_000037_000005	The lookers-on, who had expected to see him spring up entirely cured, began to murmur, and Marianna herself, terrified at what had happened, let fall the flask, which broke into a thousand sparkling pieces.	The lookers on, who had expected to see him spring up entirely cured, began to murmur, and Marianna herself, terrified at what had happened, let fall the flask, which broke into a thousand sparkling pieces.	true	703.395	715.395	23.113424
7276_90847_000038_000000	Suddenly, Garabin cried at the top of his voice, "Seize the witch; she has killed the Prince!"	Suddenly, Garabin cried at the top of his voice, "Seize the witch; she has killed the Prince!"	true	715.395	721.48	22.203205
7276_90847_000039_000000	Presently there was a great confusion, rough hands seized Marianna, and somebody caught the yellow bird.	Presently there was a great confusion, rough hands seized Marianna, and somebody caught the yellow bird.	true	721.88	728.745	24.552599
7276_90847_000039_000001	The Prince remained insensible on the bed.	The Prince remained insensible on the bed.	true	728.745	731.11	18
7276_90847_000039_000002	At high noon, a trial was held, and since the doctors declared that the Prince was dying, Marianna was condemned to be thrown from the precipice.	At high noon, a trial was held, and since the doctors declared that the Prince was dying, Marianna was condemned to be thrown from the precipice.	true	731.33	740.22	23.919386
7276_90847_000039_000003	When somebody asked about the yellow bird, Garabin laughed, and gave orders that the cook should wring its neck, and toss it to the cat.	When somebody asked about the yellow bird, Garabin laughed, and gave orders that the cook should wring its neck, and toss it to the cat.	true	740.22	748.635	22.774641
7276_90847_000040_000000	So Marianna was hurried to a dark prison-room and loaded with chains, and the yellow bird was taken to the castle kitchen, and given to the cook.	So Marianna was hurried to a dark prison room and loaded with chains, and the yellow bird was taken to the castle kitchen, and given to the cook.	true	748.635	756.585	20.105091
7276_90847_000041_000000	"Here, you wring its neck," said the cook to one of her helpers, "while I go call the cat."	"Here, you wring its neck," said the cook to one of her helpers, "while I go call the cat."	false	756.585	761.74	25.407923
7276_90847_000042_000000	By great good fortune, the cook's helper was no other than the peasant girl whom Marianna had saved.	By great good fortune, the cook's helper was no other than the peasant girl whom Marianna had saved.	true	761.75	767.715	24.979357
7276_90847_000042_000001	This girl recognized the yellow bird, and instead of wringing its neck, let it fly out of the window.	This girl recognized the yellow bird, and instead of wringing its neck, let it fly out of the window.	true	767.715	773.205	21.424843
7276_90847_000042_000002	The yellow bird flew to the window of the magician's room.	The yellow bird flew to the window of the magician's room.	true	773.205	776.7	20.226711
7276_90847_000042_000003	The magician was in the chamber, stirring the giant cauldron.	The magician was in the chamber, stirring the giant cauldron.	true	776.7	779.955	21.114775
7276_90847_000042_000004	The bird flew to the window of Prince Desire's room, and saw that he was still insensible.	The bird flew to the window of Prince Desire's room, and saw that he was still insensible.	true	779.955	785.44	22.01121
7276_90847_000043_000000	An hour later the castle-bell began to toll, and a dismal procession was seen walking from the castle toward the frightful cliff from which condemned witches and sorcerers were thrown.	An hour later the castle bell began to toll, and a dismal procession was seen walking from the castle toward the frightful cliff from which condemned witches and sorcerers were thrown.	true	785.45	796.605	18
7276_90847_000043_000001	First came a troop of soldiers, then Marianna, weighted down with chains, and last of all, a little group in which were Garabin, the magician, and some of Garabin's favorites.	First came a troop of soldiers, then Marianna, weighted down with chains, and last of all, a little group in which were Garabin, the magician, and some of Garabin's favorites.	true	796.605	807.255	21.852674
7276_90847_000044_000000	The bell kept on sadly tolling and tolling.	The bell kept on sadly tolling and tolling.	true	807.255	810.1	20
7276_90847_000044_000001	It roused the Prince from his swoon, and with his last measure of strength, poor Desire dragged himself to the window.	It roused the Prince from his swoon, and with his last measure of strength, poor Desire dragged himself to the window.	true	810.41	818.175	21.425608
7276_90847_000044_000002	The procession was then passing directly underneath the window, and Desire's eyes met the eyes of Marianna.	The procession was then passing directly underneath the window, and Desire's eyes met the eyes of Marianna.	true	818.175	825.255	21
7276_90847_000045_000000	"Stop!	"Stop!	true	825.255	826.3	35.982265
7276_90847_000045_000001	Stop!" cried the poor Prince, wildly; "I forbid--"	Stop!" cried the poor Prince, wildly; "I forbid-"	true	826.31	829.965	24.963789
7276_90847_000046_000000	An instant later he sank fainting to the floor.	An instant later he sank fainting to the floor.	true	829.965	832.89	20
7276_90847_000046_000001	The procession went on.	The procession went on.	true	832.89	834.39	24
7276_90847_000047_000000	Meanwhile the yellow bird had returned to the magician's chamber.	Meanwhile the yellow bird had returned to the magician's chamber.	true	834.39	838.18	16
7276_90847_000047_000001	It was empty.	It was empty.	true	838.19	839.23	25.304497
7276_90847_000047_000002	With a joyous cry, the bird fluttered through the window-bars, and discovered the phial into which the magician had poured the water of healing.	With a joyous cry, the bird fluttered through the window bars, and discovered the phial into which the magician had poured the water of healing.	true	839.24	847.27	19
7276_90847_000047_000003	Clutching it in his claws, the bird flew once more to the Prince's room.	Clutching it in his claws, the bird flew once more to the Prince's room.	false	847.37	851.475	21
7276_90847_000047_000004	Desire still lay in a heap by the window, and over him the yellow bird poured the contents of the phial.	Desire still lay in a heap by the window, and over him the yellow bird poured the contents of the phial.	true	851.475	858.18	22.654606
7276_90847_000048_000000	The Prince sprang up, strong as a lion, seized his sword, and rushed down to save Marianna.	The Prince sprang up, strong as a lion, seized his sword, and rushed down to save Marianna.	false	858.18	863.86	19.447046
7276_90847_000048_000001	He arrived at the cliff just as the poor maiden was about to be pushed off into space, and standing by her side, dared anyone to lay hands upon her.	He arrived at the cliff just as the poor maiden was about to be pushed off into space, and standing by her side, dared anyone to lay hands upon her.	true	864.2	872.07	22.49307
7276_90847_000049_000000	Garabin, seeing his precious plot miscarry, grew mad with rage.	Garabin, seeing his precious plot miscarry, grew mad with rage.	true	872.07	876.37	21.835861
7276_90847_000050_000000	"Seize them," cried he, "and toss them both over the precipice!"	"Seize them," cried he, "and toss them both over the precipice!"	true	876.71	880.14	22.372513
7276_90847_000051_000000	So the soldiers rushed at Marianna and the Prince, intending to carry out their wicked master's orders.	So the soldiers rushed at Marianna and the Prince, intending to carry out their wicked master's orders.	true	880.14	886.14	21
7276_90847_000051_000001	But even as they did so, there came a flash of flame and the little dwarf, Marianna's foster-father, took his place beside the lovers.	But even as they did so, there came a flash of flame and the little dwarf, Marianna's foster father, took his place beside the lovers.	false	886.14	894.51	22.913088
7276_90847_000052_000000	"Cruel King!" cried the dwarf sternly, "and thou, wicked and perfidious magician, the hour of thy punishment is at hand."	"Cruel King!" cried the dwarf sternly, "and thou, wicked and perfidious magician, the hour of thy punishment is at hand."	true	894.51	902.98	23.060362
7276_90847_000053_000000	Immediately the sky grew black, the lightning crashed, and there arose a terrible, howling wind.	Immediately the sky grew black, the lightning crashed, and there arose a terrible, howling wind.	true	903.5	909.885	21.14127
7276_90847_000053_000001	Three giant gusts drove fiercely by, the first one blowing the King and the magician head-over-heels over the precipice, the second carrying away the soldiers, and the third the rascally favorites.	Three giant gusts drove fiercely by, the first one blowing the King and the magician head over heels over the precipice, the second carrying away the soldiers, and the third the rascally favorites.	true	909.885	922.27	20.56747
7276_90847_000053_000002	When the sky cleared, only the dwarf, Marianna, and Desire were left of the company.	When the sky cleared, only the dwarf, Marianna, and Desire were left of the company.	true	922.67	927.57	22.57867
