7688_109656_000000_000000	"Me?" said Pearson.	"Me?" said Pearson.	false	0	1.29	19.758915
7688_109656_000016_000002	Mexico was anxious to redeem the situation, twisting with alacrity along the tortuous labyrinths of the jungle.	Mexico was anxious to redeem the situation, twisting with alacrity along the tortuous labyrinths of the jungle.	true	337.55	344.77	19
7688_109656_000016_000003	At the moment his master's sureness of the route had failed his horse had divined the fact.	At the moment his master's sureness of the route had failed his horse had divined the fact.	true	345.14	350.595	20.731594
7688_109656_000016_000004	There were no hills now that they could climb to obtain a view of the country.	There were no hills now that they could climb to obtain a view of the country.	true	350.595	354.64	20
7688_109656_000016_000005	They came upon a few, but so dense and interlaced was the brush that scarcely could a rabbit penetrate the mass.	They came upon a few, but so dense and interlaced was the brush that scarcely could a rabbit penetrate the mass.	true	355.01	362.2	20.372103
7688_109656_000016_000006	They were in the great, lonely thicket of the Frio bottoms.	They were in the great, lonely thicket of the Frio bottoms.	true	362.6	366.255	19.826286
7688_109656_000017_000000	It was a mere nothing for a cattleman or a sheepman to be lost for a day or a night.	It was a mere nothing for a cattleman or a sheepman to be lost for a day or a night.	false	366.255	371.1	19
7688_109656_000017_000001	The thing often happened.	The thing often happened.	true	371.1	372.58	21.299706
7688_109656_000017_000002	It was merely a matter of missing a meal or two and sleeping comfortably on your saddle blankets on a soft mattress of mesquite grass.	It was merely a matter of missing a meal or two and sleeping comfortably on your saddle blankets on a soft mattress of mesquite grass.	false	373.1	381.82	20
7688_109656_000017_000003	But in Sam's case it was different.	But in Sam's case it was different.	true	382.34	384.73	25.658068
7688_109656_000017_000004	He had never been away from his ranch at night.	He had never been away from his ranch at night.	true	385.28	388.03	17.801289
7688_109656_000017_000005	Marthy was afraid of the country--afraid of Mexicans, of snakes, of panthers, even of sheep.	Marthy was afraid of the country-afraid of Mexicans, of snakes, of panthers, even of sheep.	true	388.49	396.49	21.69331
7688_109656_000017_000006	So he had never left her alone.	So he had never left her alone.	true	396.86	399.22	18.626099
7688_109656_000018_000000	It must have been about four in the afternoon when Sam's conscience awoke.	It must have been about four in the afternoon when Sam's conscience awoke.	true	400.76	404.83	18
7688_109656_000018_000001	He was limp and drenched, rather from anxiety than the heat or fatigue.	He was limp and drenched, rather from anxiety than the heat or fatigue.	false	405.38	410.47	19.761724
7688_109656_000018_000002	Until now he had been hoping to strike the trail that led to the Frio crossing and the Chapman ranch.	Until now he had been hoping to strike the trail that led to the Frio crossing and the Chapman ranch.	false	410.66	417.135	19
7688_109656_000018_000003	He must have crossed it at some dim part of it and ridden beyond.	He must have crossed it at some dim part of it and ridden beyond.	true	417.135	420.91	16
7688_109656_000018_000004	If so he was now something like fifty miles from home.	If so he was now something like fifty miles from home.	true	421.13	425.32	20.727192
7688_109656_000018_000005	If he could strike a ranch--a camp--any place where he could get a fresh horse and inquire the road, he would ride all night to get back to Marthy and the kid.	If he could strike a ranch-a camp-any place where he could get a fresh horse and inquire the road, he would ride all night to get back to Marthy and the kid.	false	425.6	435.46	22.929247
7688_109656_000019_000000	So, I have hinted, Sam was seized by remorse.	So, I have hinted, Sam was seized by remorse.	true	435.62	438.97	18
7688_109656_000019_000001	There was a big lump in his throat as he thought of the cross words he had spoken to his wife. Surely it was hard enough for her to live in that horrible country without having to bear the burden of his abuse.	There was a big lump in his throat as he thought of the cross words he had spoken to his wife. Surely it was hard enough for her to live in that horrible country without having to bear the burden of his abuse.	false	439.13	450.85	20.341509
7688_109656_000019_000002	He cursed himself grimly, and felt a sudden flush of shame that over-glowed the summer heat as he remembered the many times he had flouted and railed at her because she had a liking for reading fiction.	He cursed himself grimly, and felt a sudden flush of shame that over glowed the summer heat as he remembered the many times he had flouted and railed at her because she had a liking for reading fiction.	false	451.22	463.78	19
7688_109656_000020_000000	"Ther only so'ce ov amusement ther po' gal's got," said Sam aloud, with a sob, which unaccustomed sound caused Mexico to shy a bit.	"Ther only so'ce o v amusement ther po' gal's got," said Sam aloud, with a sob, which unaccustomed sound caused Mexico to shy a bit.	false	464.06	473.14	20.370003
7688_109656_000020_000001	"A-livin' with a sore-headed kiote like me--a low-down skunk that ought to be licked to death with a saddle cinch--a-cookin' and a-washin' and a-livin' on mutton and beans and me abusin' her fur takin' a squint or two in a little book!"	"A livin' with a sore headed kiote like me-a low down skunk that ought to be licked to death with a saddle cinch-a cookin' and a washin' and a livin' on mutton and beans and me abusin' her fur takin' a squint or two in a little book!"	false	473.69	488.89	20.90324
7688_109656_000021_000000	He thought of Marthy as she had been when he first met her in Dogtown--smart, pretty, and saucy--before the sun had turned the roses in her cheeks brown and the silence of the chaparral had tamed her ambitions.	He thought of Marthy as she had been when he first met her in Dogtown-smart, pretty, and saucy-before the sun had turned the roses in her cheeks brown and the silence of the chaparral had tamed her ambitions.	false	489.89	502.23	16
7688_109656_000022_000000	"Ef I ever speaks another hard word to ther little gal," muttered Sam, "or fails in the love and affection that's coming to her in the deal, I hopes a wildcat'll t'ar me to pieces."	"e f I ever speaks another hard word to ther little gal," muttered Sam, "or fails in the love and affection that's coming to her in the deal, I hopes a wildcat'll t'ar me to pieces."	false	502.23	514.09	20.890408
7688_109656_000023_000000	He knew what he would do.	He knew what he would do.	true	514.97	516.61	18.995161
7688_109656_000023_000001	He would write to Garcia & Jones, his San Antonio merchants where he bought his supplies and sold his wool, and have them send down a big box of novels and reading matter for Marthy. Things were going to be different.	He would write to Garcia and Jones, his San Antonio merchants where he bought his supplies and sold his wool, and have them send down a big box of novels and reading matter for Marthy. Things were going to be different.	true	516.83	531.01	19.450232
7688_109656_000023_000002	He wondered whether a little piano could be placed in one of the rooms of the ranch house without the family having to move out of doors.	He wondered whether a little piano could be placed in one of the rooms of the ranch house without the family having to move out of doors.	true	531.35	538.69	18
7688_109656_000024_000000	In nowise calculated to allay his self-reproach was the thought that Marthy and Randy would have to pass the night alone.	In nowise calculated to allay his self reproach was the thought that Marthy and Randy would have to pass the night alone.	false	539.69	547.03	18
7688_109656_000024_000001	In spite of their bickerings, when night came Marthy was wont to dismiss her fears of the country, and rest her head upon Sam's strong arm with a sigh of peaceful content and dependence.	In spite of their bickerings, when night came Marthy was wont to dismiss her fears of the country, and rest her head upon Sam's strong arm with a sigh of peaceful content and dependence.	false	547.7	559.6	20.535177
7688_109656_000024_000002	And were her fears so groundless?	And were her fears so groundless?	true	560.27	562.39	16
7688_109656_000024_000003	Sam thought of roving, marauding Mexicans, of stealthy cougars that sometimes invaded the ranches, of rattlesnakes, centipedes, and a dozen possible dangers.	Sam thought of roving, marauding Mexicans, of stealthy cougars that sometimes invaded the ranches, of rattlesnakes, centipedes, and a dozen possible dangers.	true	562.55	574.18	21.613676
7688_109656_000024_000004	Marthy would be frantic with fear.	Marthy would be frantic with fear.	true	574.79	577	18.864346
7688_109656_000024_000005	Randy would cry, and call for dada to come.	Randy would cry, and call for dada to come.	false	577.07	579.94	26.430344
7688_109656_000025_000000	Still the interminable succession of stretches of brush, cactus, and mesquite.	Still the interminable succession of stretches of brush, cactus, and mesquite.	true	580.28	585.63	22
7688_109656_000025_000001	Hollow after hollow, slope after slope--all exactly alike--all familiar by constant repetition, and yet all strange and new.	Hollow after hollow, slope after slope-all exactly alike-all familiar by constant repetition, and yet all strange and new.	false	585.63	596.32	21.587818
7688_109656_000025_000002	If he could only arrive _somewhere_.	If he could only arrive underscore somewhere underscore.	false	596.51	599.55	18.649885
7688_109656_000026_000000	The straight line is Art.	The straight line is Art.	true	599.55	601.36	20.192057
7688_109656_000026_000001	Nature moves in circles.	Nature moves in circles.	true	601.88	604.03	21
7688_109656_000026_000002	A straightforward man is more an artificial product than a diplomatist is.	A straightforward man is more an artificial product than a diplomatist is.	true	604.25	609.82	22.956024
7688_109656_000026_000003	Men lost in the snow travel in exact circles until they sink, exhausted, as their footprints have attested.	Men lost in the snow travel in exact circles until they sink, exhausted, as their footprints have attested.	true	610.34	618	20
7688_109656_000026_000004	Also, travellers in philosophy and other mental processes frequently wind up at their starting-point.	Also, travellers in philosophy and other mental processes frequently wind up at their starting point.	false	618	625.69	20.197134
7688_109656_000027_000000	It was when Sam Webber was fullest of contrition and good resolves that Mexico, with a heavy sigh, subsided from his regular, brisk trot into a slow complacent walk.	It was when Sam Webber was fullest of contrition and good resolves that Mexico, with a heavy sigh, subsided from his regular, brisk trot into a slow complacent walk.	true	626.42	638.92	20.375921
7688_109656_000027_000001	They were winding up an easy slope covered with brush ten or twelve feet high.	They were winding up an easy slope covered with brush ten or twelve feet high.	true	639.59	644.47	18
7688_109656_000028_000000	"I say now, Mex," demurred Sam, "this here won't do.	"I say now, Mex," demurred Sam, "this here won't do.	true	645.14	649.3	19.75078
7688_109656_000028_000001	I know you're plumb tired out, but we got ter git along.	I know you're plumb tired out, but we got ter git along.	false	649.58	653.7	23.333185
7688_109656_000028_000002	Oh, Lordy, ain't there no mo' houses in the world!" He gave Mexico a smart kick with his heels.	Oh, Lordy, ain't there no mo' houses in the world!" He gave Mexico a smart kick with his heels.	false	653.7	660.94	21.214323
7688_109656_000029_000000	Mexico gave a protesting grunt as if to say: "What's the use of that, now we're so near?" He quickened his gait into a languid trot. Rounding a great clump of black chaparral he stopped short.	Mexico gave a protesting grunt as if to say: "What's the use of that, now we're so near?" He quickened his gait into a languid trot. Rounding a great clump of black chaparral he stopped short.	true	661.19	675.67	23.347916
7688_109656_000029_000001	Sam dropped the bridle reins and sat, looking into the back door of his own house, not ten yards away.	Sam dropped the bridle reins and sat, looking into the back door of his own house, not ten yards away.	false	676.73	685.03	21.75015
7688_109656_000030_000000	Marthy, serene and comfortable, sat in her rocking-chair before the door in the shade of the house, with her feet resting luxuriously upon the steps.	Marthy, serene and comfortable, sat in her rocking chair before the door in the shade of the house, with her feet resting luxuriously upon the steps.	true	685.97	695.74	20
7688_109656_000030_000001	Randy, who was playing with a pair of spurs on the ground, looked up for a moment at his father and went on spinning the rowels and singing a little song.	Randy, who was playing with a pair of spurs on the ground, looked up for a moment at his father and went on spinning the rowels and singing a little song.	true	696.2	705.58	20.664797
7688_109656_000030_000002	Marthy turned her head lazily against the back of the chair and considered the arrivals with emotionless eyes. She held a book in her lap with her finger holding the place.	Marthy turned her head lazily against the back of the chair and considered the arrivals with emotionless eyes. She held a book in her lap with her finger holding the place.	false	706.07	717.97	20.238337
7688_109656_000031_000000	Sam shook himself queerly, like a man coming out of a dream, and slowly dismounted.	Sam shook himself queerly, like a man coming out of a dream, and slowly dismounted.	true	718.91	725.47	22.053328
7688_109656_000031_000001	He moistened his dry lips.	He moistened his dry lips.	true	725.6	727.66	25
7688_109656_000032_000000	"I see you are still a-settin'," he said, "a-readin' of them billy-by-dam yaller-back novils."	"I see you are still a settin'," he said, "a readin' of them billy by dam yaller back novils."	false	729.23	736.08	19.821726
7688_109656_000033_000000	Sam had traveled round the circle and was himself again.	Sam had traveled round the circle and was himself again.	true	736.08	740.19	20.912018
7688_109656_000034_000000	THE RUBBER PLANT'S STORY	THE RUBBER PLANT'S STORY	false	740.19	740.91	-1
7688_109656_000035_000000	We rubber plants form the connecting link between the vegetable kingdom and the decorations of a Waldorf-Astoria scene in a Third Avenue theatre.	We rubber plants form the connecting link between the vegetable kingdom and the decorations of a Waldorf Astoria scene in a Third Avenue theatre.	false	740.91	743.37	22.158508
7688_109656_000035_000001	I haven't looked up our family tree, but I believe we were raised by grafting a gum overshoe on to a 30-cent table d'hote stalk of asparagus.	I haven't looked up our family tree, but I believe we were raised by grafting a gum overshoe on to a thirty-cent table d'hote stalk of asparagus.	false	743.37	743.52	21
7688_109656_000035_000002	You take a white bulldog with a Bourke Cockran air of independence about him and a rubber plant and there you have the fauna and flora of a flat.	You take a white bulldog with a Bourke Cockran air of independence about him and a rubber plant and there you have the fauna and flora of a flat.	false	743.52	743.64	24.403366
7688_109656_000035_000003	What the shamrock is to Ireland the rubber plant is to the dweller in flats and furnished rooms.	What the shamrock is to Ireland the rubber plant is to the dweller in flats and furnished rooms.	false	743.64	743.73	16
7688_109656_000035_000004	We get moved from one place to another so quickly that the only way we can get our picture taken is with a kinetoscope.	We get moved from one place to another so quickly that the only way we can get our picture taken is with a kinetoscope.	false	743.73	747.93	26.922081
7688_109656_000035_000005	We are the vagrant vine and the flitting fig tree.	We are the vagrant vine and the flitting fig tree.	false	747.93	749.01	12
7688_109656_000035_000006	You know the proverb: "Where the rubber plant sits in the window the moving van draws up to the door."	You know the proverb: "Where the rubber plant sits in the window the moving van draws up to the door."	false	749.01	752.94	-3
