3215_5764_000000_000000	On this information he conversed a long time with the stranger from Cressingham's detachment.	On this information he conversed a long time with the stranger from Cressingham's detachment.	false	0	4.08	12.86083
3215_5764_000010_000001	She looked up: "Merciful Heaven!" cried she, in a voice of deep horror; "send down thy bolt on me!" At that moment Soulis, mounted on his steed, approached, and ordered her to be put into the litter.	She looked up: "Merciful Heaven!" cried she, in a voice of deep horror; "send down thy bolt on me!" At that moment Soulis, mounted on his steed, approached, and ordered her to be put into the litter.	false	191.66	206.56	18.901386
3215_5764_000010_000002	Incapable of contending with the numbers which surrounded her, she allowed them to execute their master's commands.	Incapable of contending with the numbers which surrounded her, she allowed them to execute their master's commands.	true	207.11	213.76	16
3215_5764_000010_000003	Macgregor's wife was set on a pillion behind him; and Soulis giving the word, they all marched on at a rapid pace.	Macgregor's wife was set on a pillion behind him; and Soulis giving the word, they all marched on at a rapid pace.	true	214.37	222.07	16
3215_5764_000010_000004	In a few hours, having cleared the shady valleys of the Clyde, they entered the long and barren tracts of the Leadhill Moors.	In a few hours, having cleared the shady valleys of the Clyde, they entered the long and barren tracts of the Leadhill Moors.	true	222.56	229.9	13
3215_5764_000011_000000	A dismal hue overspread the country; the thunder yet roared in distant peals, and the lightning came down in such vast sheets that the carriers were often obliged to set down their burden, and cover their eyes to regain their sight.	A dismal hue overspread the country; the thunder yet roared in distant peals, and the lightning came down in such vast sheets that the carriers were often obliged to set down their burden, and cover their eyes to regain their sight.	true	230.3	244.75	18
3215_5764_000011_000001	A shrill wind pierced the slight covering of the litter, and blowing it aside, discovered the mist; or the gleaming of some wandering water, as it glided away over the cheerless waste.	A shrill wind pierced the slight covering of the litter, and blowing it aside, discovered the mist; or the gleaming of some wandering water, as it glided away over the cheerless waste.	true	245.15	256.87	18
3215_5764_000012_000000	"All is desolation, like myself!" thought Helen; but neither the cold wind, nor the rain, now drifting into her vehicle, occasioned her any sensation.	"All is desolation, like myself!" thought Helen; but neither the cold wind, nor the rain, now drifting into her vehicle, occasioned her any sensation.	false	257.75	267.34	16
3215_5764_000012_000001	It is only when the mind is at ease, that the body is delicate; all within her was too expectant of mental horrors to notice the casual inconveniences of season or situation.	It is only when the mind is at ease, that the body is delicate; all within her was too expectant of mental horrors to notice the casual inconveniences of season or situation.	false	267.8	279.25	15
3215_5764_000012_000002	The cavalcade with difficulty mounted the steps of a mountainous hill, where the storm raged so turbulently that the men who carried the litter stopped, and told their lord it would be impossible to proceed in the approaching darkness; they conjured him to look at the perpendicular rocks, rendered indistinct by the gathering mist; to observe the overwhelming gusts of the tempest; and then judge whether they dare venture with the litter on so dangerous a pathway, made slippery by descending rain!	The cavalcade with difficulty mounted the steps of a mountainous hill, where the storm raged so turbulently that the men who carried the litter stopped, and told their lord it would be impossible to proceed in the approaching darkness; they conjured him to look at the perpendicular rocks, rendered indistinct by the gathering mist; to observe the overwhelming gusts of the tempest; and then judge whether they dare venture with the litter on so dangerous a pathway, made slippery by descending rain!	false	279.86	309.34	16
3215_5764_000013_000000	To halt in such a spot seemed to Soulis as unsafe as to proceed.	To halt in such a spot seemed to Soulis as unsafe as to proceed.	true	310.28	314.92	14
3215_5764_000013_000001	"We shall not be better off," answered he, "should we attempt to return: precipices lie on either side: and to stand still would be equally perilous: the torrents from the heights increase so rapidly, there is every chance of our being swept away, should we remain exposed to the stream."	"We shall not be better off," answered he, "should we attempt to return: precipices lie on either side: and to stand still would be equally perilous: the torrents from the heights increase so rapidly, there is every chance of our being swept away, should we remain exposed to the stream."	true	315.71	333.28	17
3215_5764_000014_000000	Helen looked at these sublime cascades with a calm welcome, as they poured from the hills, and flung their spray upon the roof of her vehicle.	Helen looked at these sublime cascades with a calm welcome, as they poured from the hills, and flung their spray upon the roof of her vehicle.	true	334.19	341.74	15
3215_5764_000014_000001	She hailed her release in the death they menaced; and far from being intimidated at the prospect, cast a resigned, and even wistful glance, into the swelling lake beneath, under whose waves she expected soon to sleep.	She hailed her release in the death they menaced; and far from being intimidated at the prospect, cast a resigned, and even wistful glance, into the swelling lake beneath, under whose waves she expected soon to sleep.	true	342.05	355.39	16
3215_5764_000015_000000	On the remonstrance of their master, the men resumed their pace; and after a hard contention with the storm, they gained the summit of the west side of the mountain, and were descending its eastern brow, when the shades of night closed in upon them.	On the remonstrance of their master, the men resumed their pace; and after a hard contention with the storm, they gained the summit of the west side of the mountain, and were descending its eastern brow, when the shades of night closed in upon them.	true	356.03	369.25	14
3215_5764_000015_000001	Looking down into the black chaos, on the brink of which they must pass along, they once more protested they could not advance a foot, until the dawn should give them some security.	Looking down into the black chaos, on the brink of which they must pass along, they once more protested they could not advance a foot, until the dawn should give them some security.	true	369.8	380.2	14
3215_5764_000016_000000	At this declaration, which Soulis saw could not now be disputed, he ordered the troop to halt under the shelter of a projecting rock.	At this declaration, which Soulis saw could not now be disputed, he ordered the troop to halt under the shelter of a projecting rock.	true	380.69	389.02	15
3215_5764_000016_000001	Its huge arch overhung the ledge that formed the road, while the deep gulf at his feet, by the roaring of its waters, proclaimed itself the receptacle of those cataracts which rush tremendous from the ever-streaming Pentland hills.	Its huge arch overhung the ledge that formed the road, while the deep gulf at his feet, by the roaring of its waters, proclaimed itself the receptacle of those cataracts which rush tremendous from the ever streaming Pentland hills.	false	389.06	403.03	14
3215_5764_000017_000000	Soulis dismounted.	Soulis dismounted.	true	403.91	405.52	15.569834
3215_5764_000017_000001	The men set down the litter, and removed to a distance as he approached.	The men set down the litter, and removed to a distance as he approached.	false	405.74	410.02	17
3215_5764_000017_000002	He opened one of the curtains, and throwing himself beside the exhausted, but watchful Helen, clasped his arms roughly about her, and exclaimed, "Sweet minion, I must pillow on your bosom till the morn awakes!" His brutal lips were again riveted to her cheek.	He opened one of the curtains, and throwing himself beside the exhausted, but watchful Helen, clasped his arms roughly about her, and exclaimed, "Sweet minion, I must pillow on your bosom till the morn awakes!" His brutal lips were again riveted to her cheek.	true	410.66	428.37	18.769043
3215_5764_000017_000003	Ten thousand strengths seemed then to heave him from her heart; and struggling with a power that amazed even herself, she threw him from her; and holding him off with her shackled arms, her shrieks again pierced the heavens.	Ten thousand strengths seemed then to heave him from her heart; and struggling with a power that amazed even herself, she threw him from her; and holding him off with her shackled arms, her shrieks again pierced the heavens.	true	428.37	442.06	18
3215_5764_000018_000000	"Scream thy soul away, poor foul!" exclaimed Soulis, seizing her fiercely in his arms; "for thou art now so surely mine, that Heaven itself cannot deprive me!"	"Scream thy soul away, poor foul!" exclaimed Soulis, seizing her fiercely in his arms; "for thou art now so surely mine, that Heaven itself cannot deprive me!"	false	442.61	452.92	16
3215_5764_000019_000000	At that moment her couch was shaken by a sudden shock, and in the next she was covered with the blood of Soulis.	At that moment her couch was shaken by a sudden shock, and in the next she was covered with the blood of Soulis.	true	453.47	459.79	17
3215_5764_000019_000001	A stroke from an unseen arm had reached him, and starting on his feet, a fearful battle of swords took place over the prostrate Helen.	A stroke from an unseen arm had reached him, and starting on his feet, a fearful battle of swords took place over the prostrate Helen.	true	460.37	468.94	17
3215_5764_000020_000000	One of the men, out of the numbers who hastened to the assistance of their master, fell dead on her body; while the chief himself, sorely wounded, and breathing revenge and blasphemy, was forced off by the survivors.	One of the men, out of the numbers who hastened to the assistance of their master, fell dead on her body; while the chief himself, sorely wounded, and breathing revenge and blasphemy, was forced off by the survivors.	false	469.67	482.62	15
3215_5764_000020_000001	"Where do you carry me, villians?" cried he.	"Where do you carry me, villians?" cried he.	true	483.44	486.07	14
3215_5764_000020_000002	"Separate me not from the vengeance I will yet hurl on that demon who has robbed me of my victim, or ye shall die a death more horrible than hell can inflict!"	"Separate me not from the vengeance I will yet hurl on that demon who has robbed me of my victim, or ye shall die a death more horrible than hell can inflict!"	true	486.23	496.18	15
3215_5764_000020_000003	He raved; but more unheeded than the tempest.	He raved; but more unheeded than the tempest.	true	496.82	500.29	17.843441
3215_5764_000020_000004	Terrified that the spirits of darkness were indeed their pursuers, in spite of his reiterated threats, the men carried him to a distant hollow in the rock, and laid him down, now insensible from loss of blood.	Terrified that the spirits of darkness were indeed their pursuers, in spite of his reiterated threats, the men carried him to a distant hollow in the rock, and laid him down, now insensible from loss of blood.	true	501.11	513.7	16
3215_5764_000020_000005	One or two of the most desperate returned to see what was become of Lady Helen; well aware that if they could regain her, their master would be satisfied; but, on the reverse, should she be lost, the whole troop knew their fate would be some merciless punishment.	One or two of the most desperate returned to see what was become of Lady Helen; well aware that if they could regain her, their master would be satisfied; but, on the reverse, should she be lost, the whole troop knew their fate would be some merciless punishment.	true	514.28	529.9	18
3215_5764_000021_000000	Macgregor, and the deserter of Cressingham, were the first who reached the spot where the lady had been left; with horror they found the litter, but not herself.	Macgregor, and the deserter of Cressingham, were the first who reached the spot where the lady had been left; with horror they found the litter, but not herself.	false	530.24	539.145	17
3215_5764_000021_000001	She was gone.	She was gone.	true	539.145	540.34	18
3215_5764_000021_000002	But whether carried off by the mysterious arm which had felled their lord, or she had thrown herself into the foaming gulf beneath, they could not determine.	But whether carried off by the mysterious arm which had felled their lord, or she had thrown herself into the foaming gulf beneath, they could not determine.	true	540.65	549.13	16
3215_5764_000021_000003	They decided, however, the latter should be their report to Soulis; knowing that he would rather believe the object of his passions had perished, than that she had escaped his toils.	They decided, however, the latter should be their report to Soulis; knowing that he would rather believe the object of his passions had perished, than that she had escaped his toils.	false	549.77	560.59	17.863722
3215_5764_000022_000000	Almost stupefied with consternation, they returned to repeat this tale to their furious lord; who, on having his wounds staunched, had recovered from his swoon.	Almost stupefied with consternation, they returned to repeat this tale to their furious lord; who, on having his wounds staunched, had recovered from his swoon.	true	561.35	571.36	18
3215_5764_000022_000001	On hearing that the beautiful creature he had so lately believed his own beyond the power of fate; that his property, as he called her, the devoted slave of his will, the mistress of his destiny, was lost to him forever! swallowed up in the whelming wave! he became frantic.	On hearing that the beautiful creature he had so lately believed his own beyond the power of fate; that his property, as he called her, the devoted slave of his will, the mistress of his destiny, was lost to him forever! swallowed up in the whelming wave! he became frantic.	true	571.64	589.81	18.679216
3215_5764_000022_000002	There was desperation in every word.	There was desperation in every word.	true	590.06	592.14	14
3215_5764_000022_000003	He raved; tore up the earth like a wild beast; and, foaming at the mouth, dashed the wife of Macgregor from him, as she approached with a fresh balsam for his wounds.	He raved; tore up the earth like a wild beast; and, foaming at the mouth, dashed the wife of Macgregor from him, as she approached with a fresh balsam for his wounds.	true	592.14	601.42	18
3215_5764_000022_000004	"Off, scum of a damned sex!" cried he.	"Off, scum of a damned sex!" cried he.	false	601.85	604.78	15
3215_5764_000022_000005	"Where is she, whom I intrusted to thy care?"	"Where is she, whom I intrusted to thy care?"	false	605.03	607.78	22.66821
3215_5764_000023_000000	"My lord," answered the affrighted woman, "you know best.	"My lord," answered the affrighted woman, "you know best.	true	608.63	612.15	20
3215_5764_000023_000001	You terrified the poor young creature.	You terrified the poor young creature.	true	612.15	614.47	20.332012
3215_5764_000023_000002	You forced yourself into a litter, and can you wonder-"	You forced yourself into a litter, and can you wonder "	true	614.66	618.67	19.228926
3215_5764_000024_000000	"That I should force you to perdition! execrable witch," cried he, "that knew no better how to prepare a slave to receive her lord!" As he spoke, he struck her again; but it was with his gauntlet hand, and the eyes of the unfortunate woman opened no more.	"That I should force you to perdition! execrable witch," cried he, "that knew no better how to prepare a slave to receive her lord!" As he spoke, he struck her again; but it was with his gauntlet hand, and the eyes of the unfortunate woman opened no more.	false	619.34	635.71	19.88021
3215_5764_000024_000001	The blow fell on her temple, and a motionless corpse lay before him.	The blow fell on her temple, and a motionless corpse lay before him.	true	636.11	640.72	19.073984
3215_5764_000025_000000	"My wife!" cried the poor Macgregor, putting his trembling arms about her neck: "Oh, my lord, how have I deserved this?	"My wife!" cried the poor Macgregor, putting his trembling arms about her neck: "Oh, my lord, how have I deserved this?	false	641.72	649.93	16
3215_5764_000025_000001	You have slain her!"	You have slain her!"	true	650.12	651.61	21.261225
3215_5764_000026_000000	"Suppose I have!" returned the chief with a cold scorn; "she was old and ugly; and could you recover Helen, you should cull Hermitage, for a substitute for this prating bedlam."	"Suppose I have!" returned the chief with a cold scorn; "she was old and ugly; and could you recover Helen, you should cull Hermitage, for a substitute for this prating bedlam."	true	652.07	663.25	19.86394
3215_5764_000027_000000	Macgregor made no reply, but feeling in his heart that he "who sows the wind, must reap the whirlwind;" that such were the rewards from villainy, to its vile instruments; he could not but say to himself, "I have deserved it of my God, but not of thee!" and sobbing over the remains of his equally criminal wife, by the assistance of his comrades he removed her from the now hated presence of his lord.	Macgregor made no reply, but feeling in his heart that he "who sows the wind, must reap the whirlwind;" that such were the rewards from villainy, to its vile instruments; he could not but say to himself, "I have deserved it of my God, but not of thee!" and sobbing over the remains of his equally criminal wife, by the assistance of his comrades he removed her from the now hated presence of his lord.	false	663.74	698.94	17.242653
