3584_178748_000000_000000	CHAPTER XV.	CHAPTER fifteen.
3584_178748_000008_000007	I'm too sharp for that.	I'm too sharp for that.
3584_178748_000008_000008	I didn't grow up in Rag Alley, New York, for nothing."	I didn't grow up in Rag Alley, New York, for nothing."
3584_178748_000009_000000	So, half in jest and half in earnest, Capitola soliloquized upon her change of fortune.	So, half in jest and half in earnest, Capitola soliloquized upon her change of fortune.
3584_178748_000010_000000	Her education was commenced, but progressed rather irregularly.	Her education was commenced, but progressed rather irregularly.
3584_178748_000010_000001	Old Hurricane bought her books and maps, slates and copy-books, set her lessons in grammar, geography and history, and made her write copies, do sums and read and recite lessons to him.	Old Hurricane bought her books and maps, slates and copy books, set her lessons in grammar, geography and history, and made her write copies, do sums and read and recite lessons to him.
3584_178748_000010_000002	Mrs. Condiment taught her the mysteries of cutting and basting, back-stitching and felling, hemming and seaming.	mrs Condiment taught her the mysteries of cutting and basting, back stitching and felling, hemming and seaming.
3584_178748_000010_000003	A pupil as sharp as Capitola soon mastered her tasks, and found herself each day with many hours of leisure with which she did not know what to do.	A pupil as sharp as Capitola soon mastered her tasks, and found herself each day with many hours of leisure with which she did not know what to do.
3584_178748_000011_000000	These hours were at first occupied with exploring the old house, with all its attics, cuddies, cock-lofts and cellars; then in wandering through the old ornamental grounds, that were, even in winter and in total neglect, beautiful with their wild growth of evergreens; thence she extended her researches into the wild and picturesque country around.	These hours were at first occupied with exploring the old house, with all its attics, cuddies, cock lofts and cellars; then in wandering through the old ornamental grounds, that were, even in winter and in total neglect, beautiful with their wild growth of evergreens; thence she extended her researches into the wild and picturesque country around.
3584_178748_000012_000000	She was never weary of admiring the great forest that climbed the heights of the mountains behind their house; the great bleak precipices of gray rock seen through the leafless branches of the trees; the rugged falling ground that lay before the house and between it and the river; and the river itself, with its rushing stream and raging rapids.	She was never weary of admiring the great forest that climbed the heights of the mountains behind their house; the great bleak precipices of gray rock seen through the leafless branches of the trees; the rugged falling ground that lay before the house and between it and the river; and the river itself, with its rushing stream and raging rapids.
3584_178748_000013_000000	Capitola had become a skilful as she had first been a fearless rider. But her rides were confined to the domain between the mountain range and the river; she was forbidden to ford the one or climb the other.	Capitola had become a skilful as she had first been a fearless rider. But her rides were confined to the domain between the mountain range and the river; she was forbidden to ford the one or climb the other.
3584_178748_000013_000001	Perhaps if such a prohibition had never been made Capitola would never have thought of doing the one or the other; but we all know the diabolical fascination there is in forbidden pleasures for young human nature.	Perhaps if such a prohibition had never been made Capitola would never have thought of doing the one or the other; but we all know the diabolical fascination there is in forbidden pleasures for young human nature.
3584_178748_000013_000002	And no sooner had Cap been commanded, if she valued her safety, not to cross the water or climb the precipice than, as a natural consequence, she began to wonder what was in the valley behind the mountain and what might be in the woods across the river.	And no sooner had Cap been commanded, if she valued her safety, not to cross the water or climb the precipice than, as a natural consequence, she began to wonder what was in the valley behind the mountain and what might be in the woods across the river.
3584_178748_000013_000003	And she longed, above all things, to explore and find out for herself.	And she longed, above all things, to explore and find out for herself.
3584_178748_000013_000005	If she could only get rid of Wool, she resolved to go upon a limited exploring expedition.	If she could only get rid of Wool, she resolved to go upon a limited exploring expedition.
3584_178748_000014_000000	One day a golden opportunity occurred.	One day a golden opportunity occurred.
3584_178748_000014_000001	It was a day of unusual beauty, when autumn seemed to be smiling upon the earth with her brightest smiles before passing away.	It was a day of unusual beauty, when autumn seemed to be smiling upon the earth with her brightest smiles before passing away.
3584_178748_000014_000002	In a word, it was Indian summer.	In a word, it was Indian summer.
3584_178748_000014_000003	The beauty of the weather had tempted Old Hurricane to ride to the county seat on particular business connected with his ward herself.	The beauty of the weather had tempted Old Hurricane to ride to the county seat on particular business connected with his ward herself.
3584_178748_000015_000000	Capitola, left alone, amused herself with her tasks until the afternoon; then, calling a boy, she ordered him to saddle her horse and bring him around.	Capitola, left alone, amused herself with her tasks until the afternoon; then, calling a boy, she ordered him to saddle her horse and bring him around.
3584_178748_000016_000000	"My dear, what do you want with your horse?	"My dear, what do you want with your horse?
3584_178748_000016_000001	There is no one to attend you; Wool has gone with his master," said Mrs. Condiment, as she met Capitola in the hall, habited for her ride.	There is no one to attend you; Wool has gone with his master," said mrs Condiment, as she met Capitola in the hall, habited for her ride.
3584_178748_000017_000000	"I know that; but I cannot be mewed up here in the old house and deprived of my afternoon ride," exclaimed Capitola decidedly.	"I know that; but I cannot be mewed up here in the old house and deprived of my afternoon ride," exclaimed Capitola decidedly.
3584_178748_000018_000000	"But, my dear, you must never think of riding out alone," exclaimed the dismayed Mrs. Condiment.	"But, my dear, you must never think of riding out alone," exclaimed the dismayed mrs Condiment.
3584_178748_000019_000000	"Indeed I shall, though--and glad of the opportunity," added Cap, mentally.	"Indeed I shall, though-and glad of the opportunity," added Cap, mentally.
3584_178748_000020_000000	"But, my dear love, it is improper, imprudent, dangerous."	"But, my dear love, it is improper, imprudent, dangerous."
3584_178748_000021_000000	"Why so?" asked Cap.	"Why so?" asked Cap.
3584_178748_000022_000000	"Good gracious, upon every account!	"Good gracious, upon every account!
3584_178748_000022_000001	Suppose you were to meet with ruffians; suppose--oh, heaven!--suppose you were to meet with--Black Donald!"	Suppose you were to meet with ruffians; suppose-oh, heaven!--suppose you were to meet with-Black Donald!"
3584_178748_000023_000000	"Mrs. Condiment, once for all do tell me who this terrible Black Donald is?	"mrs Condiment, once for all do tell me who this terrible Black Donald is?
3584_178748_000023_000001	Is he the Evil One himself, or the Man in the Iron Mask, or the individual that struck Billy Patterson, or--who is he?"	Is he the Evil One himself, or the Man in the Iron Mask, or the individual that struck Billy Patterson, or-who is he?"
3584_178748_000024_000000	"Who is Black Donald?	"Who is Black Donald?
3584_178748_000024_000001	Good gracious, child, you ask me who is Black Donald!"	Good gracious, child, you ask me who is Black Donald!"
3584_178748_000025_000001	where is he?	where is he?
3584_178748_000025_000002	what is he?	what is he?
3584_178748_000026_000000	"Black Donald!	"Black Donald!
3584_178748_000026_000001	Oh, my child, may you never know more of Black Donald than I can tell you.	Oh, my child, may you never know more of Black Donald than I can tell you.
3584_178748_000026_000002	Black Donald is the chief of a band of ruthless desperadoes that infest these mountain roads, robbing mail coaches, stealing negroes, breaking into houses and committing every sort of depredation.	Black Donald is the chief of a band of ruthless desperadoes that infest these mountain roads, robbing mail coaches, stealing negroes, breaking into houses and committing every sort of depredation.
3584_178748_000026_000003	Their hands are red with murder and their souls black with darker crimes."	Their hands are red with murder and their souls black with darker crimes."
3584_178748_000027_000000	"Darker crimes than murder!" ejaculated Capitola.	"Darker crimes than murder!" ejaculated Capitola.
3584_178748_000028_000000	"Yes, child, yes; there are darker crimes.	"Yes, child, yes; there are darker crimes.
3584_178748_000028_000001	Only last winter he and three of his gang broke into a solitary house where there was a lone woman and her daughter, and--it is not a story for you to hear; but if the people had caught Black Donald then they would have burned him at the stake! His life is forfeit by a hundred crimes.	Only last winter he and three of his gang broke into a solitary house where there was a lone woman and her daughter, and-it is not a story for you to hear; but if the people had caught Black Donald then they would have burned him at the stake! His life is forfeit by a hundred crimes.
3584_178748_000028_000002	He is an outlaw, and a heavy price is set upon his head."	He is an outlaw, and a heavy price is set upon his head."
3584_178748_000030_000000	"No, my dear; at least, no one has been able to do so yet.	"No, my dear; at least, no one has been able to do so yet.
3584_178748_000030_000001	His very haunts are unknown, but are supposed to be in concealed mountain caverns."	His very haunts are unknown, but are supposed to be in concealed mountain caverns."
3584_178748_000031_000000	"How I would like the glory of capturing Black Donald!" said Capitola.	"How I would like the glory of capturing Black Donald!" said Capitola.
3584_178748_000032_000000	"You, child!	"You, child!
3584_178748_000032_000001	You capture Black Donald!	You capture Black Donald!
3584_178748_000032_000002	You are crazy!"	You are crazy!"
3584_178748_000033_000000	"Oh, by stratagem, I mean, not by force.	"Oh, by stratagem, I mean, not by force.
3584_178748_000033_000001	Oh, how I should like to capture Black Donald!--There's my horse; good-by!" and before Mrs. Condiment could raise another objection Capitola ran out, sprang into her saddle and was seen careering down the hill toward the river as fast as her horse could fly.	Oh, how I should like to capture Black Donald!--There's my horse; good by!" and before mrs Condiment could raise another objection Capitola ran out, sprang into her saddle and was seen careering down the hill toward the river as fast as her horse could fly.
3584_178748_000034_000000	"My Lord, but the major will be hopping if he finds it out!" was good Mrs. Condiment's dismayed exclamation.	"My Lord, but the major will be hopping if he finds it out!" was good mrs Condiment's dismayed exclamation.
3584_178748_000035_000001	Then, gathering up her riding skirt and throwing it over the neck of her horse she plunged boldly into the stream, and, with the water splashing and foaming all around her, urged him onward till they crossed the river and climbed up the opposite bank. A bridle-path lay before her, leading from the fording place through a deep wood.	Then, gathering up her riding skirt and throwing it over the neck of her horse she plunged boldly into the stream, and, with the water splashing and foaming all around her, urged him onward till they crossed the river and climbed up the opposite bank. A bridle path lay before her, leading from the fording place through a deep wood.
3584_178748_000035_000002	That path attracted her; she followed it, charmed alike by the solitude of the wood, the novelty of the scene and her own sense of freedom.	That path attracted her; she followed it, charmed alike by the solitude of the wood, the novelty of the scene and her own sense of freedom.
3584_178748_000035_000003	But one thought was given to the story of Black Donald, and that was a reassuring one:	But one thought was given to the story of Black Donald, and that was a reassuring one:
3584_178748_000036_000000	"If Black Donald is a mail robber, then this little bridle-path is far enough off his beat."	"If Black Donald is a mail robber, then this little bridle path is far enough off his beat."
3584_178748_000037_000000	And, so saying, she gayly galloped along, singing as she went, following the narrow path up hill and down dale through the wintry woods.	And, so saying, she gayly galloped along, singing as she went, following the narrow path up hill and down dale through the wintry woods.
3584_178748_000038_000001	On her left hand the sun was sinking like a ball of fire below the horizon; all around her everywhere were the wintry woods; far away, in the direction whence she had come, she saw the tops of the mountains behind Hurricane Hall, looking like blue clouds against the southern horizon; the Hall itself and the river below were out of sight.	On her left hand the sun was sinking like a ball of fire below the horizon; all around her everywhere were the wintry woods; far away, in the direction whence she had come, she saw the tops of the mountains behind Hurricane Hall, looking like blue clouds against the southern horizon; the Hall itself and the river below were out of sight.
3584_178748_000039_000000	"I wonder how far I am from home?" said Capitola, uneasily; "somewhere between six and seven miles, I reckon.	"I wonder how far I am from home?" said Capitola, uneasily; "somewhere between six and seven miles, I reckon.
3584_178748_000039_000001	Dear me, I didn't mean to ride so far.	Dear me, I didn't mean to ride so far.
3584_178748_000039_000002	I've got over a great deal of ground in these two hours.	I've got over a great deal of ground in these two hours.
3584_178748_000039_000003	I shall not get back so soon; my horse is tired to death; it will take me three hours to reach Hurricane Hall.	I shall not get back so soon; my horse is tired to death; it will take me three hours to reach Hurricane Hall.
3584_178748_000039_000004	Good gracious! it will be pitch dark before I get there.	Good gracious! it will be pitch dark before I get there.
3584_178748_000039_000005	No, thank heaven, there will be a moon.	No, thank heaven, there will be a moon.
3584_178748_000039_000006	But won't there be a row though?	But won't there be a row though?
3584_178748_000039_000008	Well, I must turn about and lose no time. Come, Gyp, get up, Gyp, good horse; we're going home."	Well, I must turn about and lose no time. Come, Gyp, get up, Gyp, good horse; we're going home."
3584_178748_000041_000000	She had gone on for about a mile, and it was growing dark, and her horse was again slackening his pace, when she thought she heard the sound of another horse's hoofs behind her.	She had gone on for about a mile, and it was growing dark, and her horse was again slackening his pace, when she thought she heard the sound of another horse's hoofs behind her.
3584_178748_000041_000001	She drew rein and listened, and was sure of it.	She drew rein and listened, and was sure of it.
3584_178748_000042_000000	Now, without being the least of a coward, Capitola thought of the loneliness of the woods, the lateness of the hour, her own helplessness, and--Black Donald!	Now, without being the least of a coward, Capitola thought of the loneliness of the woods, the lateness of the hour, her own helplessness, and-Black Donald!
3584_178748_000042_000001	And thinking "discretion the better part of valor," she urged her horse once more into a gallop for a few hundred yards; but the jaded beast soon broke into a trot and subsided into a walk that threatened soon to come to a standstill.	And thinking "discretion the better part of valor," she urged her horse once more into a gallop for a few hundred yards; but the jaded beast soon broke into a trot and subsided into a walk that threatened soon to come to a standstill.
3584_178748_000043_000000	The invisible pursuer gained on her.	The invisible pursuer gained on her.
3584_178748_000045_000000	The thundering footfalls of the pursuing horse were close in the rear.	The thundering footfalls of the pursuing horse were close in the rear.
3584_178748_000046_000000	"Oh, Gyp, is it possible that, instead of my capturing Black Donald, you are going to let Black Donald or somebody else catch me?" exclaimed Capitola, in mock despair, as she urged her wearied steed.	"Oh, Gyp, is it possible that, instead of my capturing Black Donald, you are going to let Black Donald or somebody else catch me?" exclaimed Capitola, in mock despair, as she urged her wearied steed.
3584_178748_000047_000000	In vain!	In vain!
3584_178748_000048_000000	"Whither away so fast, pretty one?"	"Whither away so fast, pretty one?"
