2272_152262_000000_000000	Harun now vowed that he would kill the emperor if he should ever lay hands upon him.	Harun now vowed that he would kill the emperor if he should ever lay hands upon him.	false	0	6.12	21.560106
2272_152262_000012_000000	The British king and his knights fought with desperate heroism. But they could not drive back the Saxons and their companions and were obliged to seek refuge in the western mountainous parts of the island, just as their forefathers had done when the Romans invaded Britain.	The British king and his knights fought with desperate heroism. But they could not drive back the Saxons and their companions and were obliged to seek refuge in the western mountainous parts of the island, just as their forefathers had done when the romans invaded Britain.	true	142.19	155.8	14
2272_152262_000012_000001	Thus nearly all England came into the possession of the three invading tribes.	Thus nearly all England came into the possession of the three invading tribes.	true	155.96	160.17	12
2272_152262_000013_000000	II	two	false	160.17	162.48	19.897017
2272_152262_000014_000000	Arthur and his knights were devoted Christians.	Arthur and his knights were devoted Christians.	false	162.48	164.79	15
2272_152262_000014_000001	For the Romans had not only made good roads and built strong walls and forts in Britain, but they had also brought the Christian religion into the island.	For the romans had not only made good roads and built strong walls and forts in Britain, but they had also brought the Christian religion into the island.	true	164.79	172.245	14
2272_152262_000014_000002	And at about the time of the Saxon invasion St. Patrick was founding churches and monasteries in Ireland, and was baptizing whole clans of the Irish at a time.	And at about the time of the Saxon invasion saint Patrick was founding churches and monasteries in Ireland, and was baptizing whole clans of the Irish at a time.	true	172.245	180.97	11
2272_152262_000014_000003	It is said that he baptized 12,000 persons with his own hand.	It is said that he baptized twelve thousand persons with his own hand.	true	181.01	184.63	15
2272_152262_000014_000004	Missionaries were sent out by the Irish Church to convert the wild Picts of Scotland and at a later day the distant barbarians of Germany and Switzerland.	Missionaries were sent out by the Irish Church to convert the wild Picts of Scotland and at a later day the distant barbarians of Germany and Switzerland.	true	184.85	192.88	13
2272_152262_000015_000000	The Saxons, Angles, and Jutes believed in the old Norse gods, and Tiew and Woden, Thor and Friga, or Frija, were worshiped on the soil of Britain for more than a hundred years.	The Saxons, Angles, and Jutes believed in the old Norse gods, and Tiew and Woden, Thor and Friga, or Frija, were worshiped on the soil of Britain for more than a hundred years.	false	193.25	203.53	15
2272_152262_000016_000000	The Britons tried to convert their conquerors, but the invaders did not care to be taught religion by those whom they had conquered; so the British missionaries found the work unusually hard.	The Britons tried to convert their conquerors, but the invaders did not care to be taught religion by those whom they had conquered; so the British missionaries found the work unusually hard.	true	203.78	213.13	15
2272_152262_000016_000001	Aid came to them in a singular way.	Aid came to them in a singular way.	true	213.2	215.44	21
2272_152262_000016_000002	At some time near the year 575 A.D., the Saxons quarreled and fought with their friends, the Angles. They took some Angles prisoners and carried them to Rome to be sold in the great slave-market there.	At some time near the year five seventy five a d, the Saxons quarreled and fought with their friends, the Angles. They took some Angles prisoners and carried them to Rome to be sold in the great slave market there.	false	215.45	227.11	15
2272_152262_000016_000003	A monk named Gregory passed one day through the market and saw these captives.	A monk named Gregory passed one day through the market and saw these captives.	false	227.18	231.4	18
2272_152262_000016_000004	He asked the dealer who they were.	He asked the dealer who they were.	true	231.53	233.505	22
2272_152262_000016_000005	"Angles," was the answer.	"Angles," was the answer.	true	233.505	235.09	21
2272_152262_000017_000000	"Oh," said the monk, "they would be _angels_ instead of _Angles_ if they were only Christians; for they certainly have the faces of angels."	"Oh," said the monk, "they would be underscore angels underscore instead of underscore Angles underscore if they were only Christians; for they certainly have the faces of angels."	false	235.19	242.16	17
2272_152262_000018_000000	[Illustration: ST.	[Illustration: st	false	242.16	242.28	-20
2272_152262_000018_000001	PATRICK BAPTIZING IRISH PRINCESSES]	PATRICK BAPTIZING IRISH PRINCESSES]	false	242.28	242.52	-20
2272_152262_000019_000000	Years after, when that monk was the Pope of Rome, he remembered this conversation and sent the monk Au-gus'tine to England to teach the Christian religion to the savage but angel-faced Angles.	Years after, when that monk was the Pope of Rome, he remembered this conversation and sent the monk Au gus'tine to England to teach the Christian religion to the savage but angel faced Angles.	false	242.52	252.55	15
2272_152262_000019_000001	Augustine and the British missionaries converted the Anglo-Saxons two hundred years before the German Saxons were converted.	Augustine and the British missionaries converted the Anglo Saxons two hundred years before the German Saxons were converted.	true	252.77	259.08	15
2272_152262_000020_000000	Still, though both Angles and Saxons called themselves Christians, they were seldom at peace; and for more than two hundred years they frequently fought.	Still, though both Angles and Saxons called themselves Christians, they were seldom at peace; and for more than two hundred years they frequently fought.	true	259.08	267.16	22
2272_152262_000020_000001	Various chiefs tried to make themselves kings; and at length there came to be no less than seven small kingdoms in South Britain.	Various chiefs tried to make themselves kings; and at length there came to be no less than seven small kingdoms in South Britain.	true	267.23	273.76	15
2272_152262_000021_000000	In 784 Egbert claimed to be heir of the kingdom called Wessex; but the people elected another man and Egbert had to flee for his life.	In seven hundred eighty four Egbert claimed to be heir of the kingdom called Wessex; but the people elected another man and Egbert had to flee for his life.	false	274.1	282.31	19
2272_152262_000021_000001	He went to the court of Charlemagne, and was with the great king of the Franks in Rome on Christmas Day, 800, when the Pope placed the crown on Charles' head and proclaimed him emperor.	He went to the court of Charlemagne, and was with the great king of the Franks in Rome on Christmas Day, eight hundred, when the Pope placed the crown on Charles' head and proclaimed him emperor.	true	282.35	291.31	16
2272_152262_000022_000000	Soon after this a welcome message came to Egbert.	Soon after this a welcome message came to Egbert.	true	291.47	294.21	21
2272_152262_000022_000001	The mind of the people in Wessex had changed and they had elected him king.	The mind of the people in Wessex had changed and they had elected him king.	true	294.21	298.02	20
2272_152262_000022_000002	So bidding farewell to Charlemagne, he hurried to England.	So bidding farewell to Charlemagne, he hurried to England.	true	298.02	301.42	18
2272_152262_000023_000000	Egbert had seen how Charlemagne had compelled the different quarreling tribes of Germany to yield allegiance to him and how after uniting his empire he had ruled it well.	Egbert had seen how Charlemagne had compelled the different quarreling tribes of Germany to yield allegiance to him and how after uniting his empire he had ruled it well.	true	301.61	310.03	14
2272_152262_000024_000000	Egbert did in England what Charlemagne had done in Germany.	Egbert did in England what Charlemagne had done in Germany.	true	310.13	313.425	18
2272_152262_000024_000001	He either persuaded the various petty kingdoms of the Angles, the Saxons and the Jutes to recognize him as their ruler, or forced them to do so; and thus under him all England became one united kingdom.	He either persuaded the various petty kingdoms of the Angles, the Saxons and the Jutes to recognize him as their ruler, or forced them to do so; and thus under him all England became one united kingdom.	true	313.425	324.97	16
2272_152262_000025_000000	But Egbert did even better than this.	But Egbert did even better than this.	true	325.1	327.03	15
2272_152262_000025_000001	He did much to harmonize the different tribes by his wise conciliation.	He did much to harmonize the different tribes by his wise conciliation.	true	327.03	330.94	13
2272_152262_000025_000002	The name "England" is a memorial of this; for though Egbert himself was a Saxon, he advised that to please the Angles the country should be called An'gli-a, that is, Angleland or England, the land of the Angles, instead of Sax-on-i'a, or Saxonland.	The name "England" is a memorial of this; for though Egbert himself was a Saxon, he advised that to please the Angles the country should be called An'gli a, that is, Angleland or England, the land of the Angles, instead of Sax on i'a, or Saxonland.	false	330.98	352.89	21.889883
