7460_92002_000019_000000	CHAPTER XV.	CHAPTER fifteen.
7460_92002_000031_000008	When pressed to do so by her uncle, she declared that she had eaten lately and was not hungry.	When pressed to do so by her uncle, she declared that she had eaten lately and was not hungry.
7460_92002_000031_000009	It was seldom that she would sit down to dinner, and this therefore gave rise to no special remark.	It was seldom that she would sit down to dinner, and this therefore gave rise to no special remark.
7460_92002_000033_000000	'If you will come, I will show you.'	'If you will come, I will show you.'
7460_92002_000034_000000	'Show me!	'Show me!
7460_92002_000034_000001	What will you show me?'	What will you show me?'
7460_92002_000035_000003	It went this morning, and you must see it.'	It went this morning, and you must see it.'
7460_92002_000036_000000	'A letter to Urmand,' he said, as he took the paper suspiciously into his hands.	'A letter to Urmand,' he said, as he took the paper suspiciously into his hands.
7460_92002_000037_000000	'Yes, Uncle Michel.	'Yes, Uncle Michel.
7460_92002_000037_000001	I was obliged to write it.	I was obliged to write it.
7460_92002_000037_000003	I am afraid you will be angry with me, and--turn me away; but I cannot help it.'	I am afraid you will be angry with me, and-turn me away; but I cannot help it.'
7460_92002_000038_000000	The letter was as follows:	The letter was as follows:
7460_92002_000041_000001	I have promised to be your wife, but it cannot be.	I have promised to be your wife, but it cannot be.
7460_92002_000042_000001	I did not mean to be bad.	I did not mean to be bad.
7460_92002_000042_000002	I hope that you will forget me, and try to forgive me.	I hope that you will forget me, and try to forgive me.
7460_92002_000042_000003	No one knows better than I do how bad I have been.	No one knows better than I do how bad I have been.
7460_92002_000043_000000	'Your most humble servant, 'With the greatest respect, 'MARIE BROMAR.'	'Your most humble servant, 'With the greatest respect, 'MARIE BROMAR.'
7460_92002_000044_000000	The letter had taken her long to write, and it took her uncle long to read, before he came to the end of it.	The letter had taken her long to write, and it took her uncle long to read, before he came to the end of it.
7460_92002_000044_000002	He is not deceived at all.' 'Trash--you are not fond of another man.	He is not deceived at all.' 'Trash-you are not fond of another man.
7460_92002_000044_000003	It is all nonsense.' 'You must do what your uncle wishes.	It is all nonsense.' 'You must do what your uncle wishes.
7460_92002_000044_000004	You must, now!	You must, now!
7460_92002_000044_000005	you must!	you must!
7460_92002_000044_000006	Of course, you will love him.	Of course, you will love him.
7460_92002_000044_000007	Why can't you let all that come as it does with others?' 'Letter gone;--yes indeed, and now I must go after it.' 'Trouble!--yes!	Why can't you let all that come as it does with others?' 'Letter gone;--yes indeed, and now I must go after it.' 'Trouble!--yes!
7460_92002_000044_000008	Why could you not tell me before you sent it?	Why could you not tell me before you sent it?
7460_92002_000044_000010	You have been very good.	You have been very good.
7460_92002_000044_000012	Of course he won't.	Of course he won't.
7460_92002_000044_000013	How should he? Are you not betrothed to him?	How should he? Are you not betrothed to him?
7460_92002_000044_000016	'Of course, it means nothing.'	'Of course, it means nothing.'
7460_92002_000046_000000	'I say it means nothing.	'I say it means nothing.
7460_92002_000046_000003	'If I cannot do that, I shall at any rate see him before he gets it.	'If I cannot do that, I shall at any rate see him before he gets it.
7460_92002_000047_000000	'But I don't repent it, Uncle Michel; I don't, indeed.	'But I don't repent it, Uncle Michel; I don't, indeed.
7460_92002_000047_000001	I can't repent it.	I can't repent it.
7460_92002_000047_000002	How can I repent it when I really mean it?	How can I repent it when I really mean it?
7460_92002_000047_000003	I shall never become his wife;--indeed I shall not.	I shall never become his wife;--indeed I shall not.
7460_92002_000048_000002	There was an hour during which he could continue to exercise his eloquence upon his niece, and endeavour to induce her to authorise him to contradict her own letter.	There was an hour during which he could continue to exercise his eloquence upon his niece, and endeavour to induce her to authorise him to contradict her own letter.
7460_92002_000048_000003	He appealed first to her affection, and then to her duty; and after that, having failed in these appeals, he poured forth the full vials of his wrath upon her head.	He appealed first to her affection, and then to her duty; and after that, having failed in these appeals, he poured forth the full vials of his wrath upon her head.
7460_92002_000048_000004	She was ungrateful, obstinate, false, unwomanly, disobedient, irreligious, sacrilegious, and an idiot.	She was ungrateful, obstinate, false, unwomanly, disobedient, irreligious, sacrilegious, and an idiot.
7460_92002_000048_000006	Though she had deserved all these bad things which he had spoken of her, yet she should be regarded as having deserved none of them, should again be accepted as having in all points done her duty, if she would only, even now, be obedient. But she was not to be shaken.	Though she had deserved all these bad things which he had spoken of her, yet she should be regarded as having deserved none of them, should again be accepted as having in all points done her duty, if she would only, even now, be obedient. But she was not to be shaken.
7460_92002_000048_000007	She had at last formed a resolution, and her uncle's words had no effect towards turning her from it. 'Uncle Michel,' she said at last, speaking with much seriousness of purpose, and a dignity of person that was by no means thrown away upon him, 'if I am what you say, I had better go away from your house.	She had at last formed a resolution, and her uncle's words had no effect towards turning her from it. 'Uncle Michel,' she said at last, speaking with much seriousness of purpose, and a dignity of person that was by no means thrown away upon him, 'if I am what you say, I had better go away from your house.
7460_92002_000048_000008	I know I have been bad.	I know I have been bad.
7460_92002_000048_000010	I will not defend myself.	I will not defend myself.
7460_92002_000048_000011	But nothing on earth shall make me marry him.	But nothing on earth shall make me marry him.
7460_92002_000048_000012	You had better let me go away, and get a place as a servant among our friends at Epinal.' But Michel Voss, though he was heaping abuse upon her with the hope that he might thus achieve his purpose, had not the remotest idea of severing the connection which bound him and her together.	You had better let me go away, and get a place as a servant among our friends at Epinal.' But Michel Voss, though he was heaping abuse upon her with the hope that he might thus achieve his purpose, had not the remotest idea of severing the connection which bound him and her together.
7460_92002_000048_000013	He wanted to do her good, not evil.	He wanted to do her good, not evil.
7460_92002_000048_000014	She was exquisitely dear to him.	She was exquisitely dear to him.
7460_92002_000048_000015	If she would only let him have his way and provide for her welfare as he saw, in his wisdom, would be best, he would at once take her in his arms again and tell her that she was the apple of his eye.	If she would only let him have his way and provide for her welfare as he saw, in his wisdom, would be best, he would at once take her in his arms again and tell her that she was the apple of his eye.
