598_127704_000000_000000	The Upper Tuolumne Excursion	The Upper Tuolumne Excursion	false	5.19	25.24	20.894447
598_127704_000007_000000	There are five main capital excursions to be made from here--to the summits of Mounts Dana, Lyell and Conness, and through the Bloody Canyon Pass to Mono Lake and the volcanoes, and down the Tuolumne Canyon, at least as far as the foot of the wonderful series of river cataracts. All of these excursions are sure to be made memorable with joyful health-giving experiences; but perhaps none of them will be remembered with keener delight than the days spent in sauntering on the broad velvet lawns by the river, sharing the sky with the mountains and trees, gaining something of their strength and peace.	There are five main capital excursions to be made from here-to the summits of Mounts Dana, Lyell and Conness, and through the Bloody Canyon Pass to Mono Lake and the volcanoes, and down the Tuolumne Canyon, at least as far as the foot of the wonderful series of river cataracts. All of these excursions are sure to be made memorable with joyful health giving experiences; but perhaps none of them will be remembered with keener delight than the days spent in sauntering on the broad velvet lawns by the river, sharing the sky with the mountains and trees, gaining something of their strength and peace.	false	471.71	512.71	20
598_127704_000008_000000	The excursion to the top of Mount Dana is a very easy one; for though the mountain is 13,000 feet high, the ascent from the west side is so gentle and smooth that one may ride a mule to the very summit.	The excursion to the top of Mount Dana is a very easy one; for though the mountain is thirteen thousand feet high, the ascent from the west side is so gentle and smooth that one may ride a mule to the very summit.	true	513.74	529.69	20
598_127704_000008_000001	Across many a busy stream, from meadow to meadow, lies your flowery way; mountains all about you, few of them hidden by irregular foregrounds. Gradually ascending, other mountains come in sight, peak rising above peak with their snow and ice in endless variety of grouping and sculpture.	Across many a busy stream, from meadow to meadow, lies your flowery way; mountains all about you, few of them hidden by irregular foregrounds. Gradually ascending, other mountains come in sight, peak rising above peak with their snow and ice in endless variety of grouping and sculpture.	false	530.12	551.68	20.86509
598_127704_000008_000002	Now your attention is turned to the moraines, sweeping in beautiful curves from the hollows and canyons, now to the granite waves and pavements rising here and there above the heathy sod, polished a thousand years ago and still shining.	Now your attention is turned to the moraines, sweeping in beautiful curves from the hollows and canyons, now to the granite waves and pavements rising here and there above the heathy sod, polished a thousand years ago and still shining.	false	552.44	570.04	19.694715
598_127704_000008_000003	Towards the base of the mountain you note the dwarfing of the trees, until at a height of about 11,000 feet you find patches of the tough, white-barked pine, pressed so flat by the ten or twenty feet of snow piled upon them every winter for centuries that you may walk over them as if walking on a shaggy rug. And, if curious about such things, you may discover specimens of this hardy tree-mountaineer not more than four feet high and about as many inches in diameter at the ground, that are from two hundred to four hundred years old, still holding bravely to life, making the most of their slender summers, shaking their tasseled needles in the breeze right cheerily, drinking the thin sunshine and maturing their fine purple cones as if they meant to live forever.	Towards the base of the mountain you note the dwarfing of the trees, until at a height of about eleven thousand feet you find patches of the tough, white barked pine, pressed so flat by the ten or twenty feet of snow piled upon them every winter for centuries that you may walk over them as if walking on a shaggy rug. And, if curious about such things, you may discover specimens of this hardy tree mountaineer not more than four feet high and about as many inches in diameter at the ground, that are from two hundred to four hundred years old, still holding bravely to life, making the most of their slender summers, shaking their tasseled needles in the breeze right cheerily, drinking the thin sunshine and maturing their fine purple cones as if they meant to live forever.	true	571.37	623.92	20.614748
598_127704_000008_000004	The general view from the summit is one of the most extensive and sublime to be found in all the Range.	The general view from the summit is one of the most extensive and sublime to be found in all the Range.	true	624.77	631.57	16
598_127704_000008_000005	To the eastward you gaze far out over the desert plains and mountains of the "Great Basin," range beyond range extending with soft outlines, blue and purple in the distance.	To the eastward you gaze far out over the desert plains and mountains of the "Great Basin," range beyond range extending with soft outlines, blue and purple in the distance.	true	631.97	643.6	20
598_127704_000008_000006	More than six thousand feet below you lies Lake Mono, ten miles in diameter from north to south, and fourteen from west to east, lying bare in the treeless desert like a disk of burnished metal, though at times it is swept by mountain storm winds and streaked with foam.	More than six thousand feet below you lies Lake Mono, ten miles in diameter from north to south, and fourteen from west to east, lying bare in the treeless desert like a disk of burnished metal, though at times it is swept by mountain storm winds and streaked with foam.	true	643.88	662.26	19.800558
598_127704_000008_000007	To the southward there is a well defined range of pale-gray extinct volcanoes, and though the highest of them rises nearly two thousand feet above the lake, you can look down from here into their circular, cup-like craters, from which a comparatively short time ago ashes and cinders were showered over the surrounding sage plains and glacier-laden mountains.	To the southward there is a well defined range of pale gray extinct volcanoes, and though the highest of them rises nearly two thousand feet above the lake, you can look down from here into their circular, cup like craters, from which a comparatively short time ago ashes and cinders were showered over the surrounding sage plains and glacier laden mountains.	true	662.81	686.95	20
598_127704_000009_000000	To the westward the landscape is made up of exceedingly strong, gray, glaciated domes and ridge waves, most of them comparatively low, but the largest high enough to be called mountains; separated by canyons and darkened with lines and fields of forest, Cathedral Peak and Mount Hoffman in the distance; small lakes and innumerable meadows in the foreground.	To the westward the landscape is made up of exceedingly strong, gray, glaciated domes and ridge waves, most of them comparatively low, but the largest high enough to be called mountains; separated by canyons and darkened with lines and fields of forest, Cathedral Peak and Mount Hoffman in the distance; small lakes and innumerable meadows in the foreground.	true	687.98	714.22	21
598_127704_000009_000001	Northward and southward the great snowy mountains, marshaled along the axis of the Range, are seen in all their glory, crowded together in some places like trees in groves, making landscapes of wild, extravagant, bewildering magnificence, yet calm and silent as the sky.	Northward and southward the great snowy mountains, marshaled along the axis of the Range, are seen in all their glory, crowded together in some places like trees in groves, making landscapes of wild, extravagant, bewildering magnificence, yet calm and silent as the sky.	true	714.89	735.07	21
598_127704_000010_000000	Some eight glaciers are in sight.	Some eight glaciers are in sight.	true	735.95	738.4	20
598_127704_000010_000001	One of these is the Dana Glacier on the north side of the mountain, lying at the foot of a precipice about a thousand feet high, with a lovely pale-green lake a little below it. This is one of the many, small, shrunken remnants of the vast glacial system of the Sierra that once filled the hollows and valleys of the mountains and covered all the lower ridges below the immediate summit-fountains, flowing to right and left away from the axis of the Range, lavishly fed by the snows of the glacial period.	One of these is the Dana Glacier on the north side of the mountain, lying at the foot of a precipice about a thousand feet high, with a lovely pale green lake a little below it. This is one of the many, small, shrunken remnants of the vast glacial system of the Sierra that once filled the hollows and valleys of the mountains and covered all the lower ridges below the immediate summit fountains, flowing to right and left away from the axis of the Range, lavishly fed by the snows of the glacial period.	true	738.62	771.58	21.22648
598_127704_000011_000000	In the excursion to Mount Lyell the immediate base of the mountain is easily reached on meadow walks along the river.	In the excursion to Mount Lyell the immediate base of the mountain is easily reached on meadow walks along the river.	true	772.61	779.47	18
598_127704_000011_000001	Turning to the southward above the forks of the river, you enter the narrow Lyell branch of the Valley, narrow enough and deep enough to be called a canyon.	Turning to the southward above the forks of the river, you enter the narrow Lyell branch of the Valley, narrow enough and deep enough to be called a canyon.	false	779.96	789.19	19
598_127704_000011_000002	It is about eight miles long and from 2000 to 3000 feet deep.	It is about eight miles long and from two thousand to three thousand feet deep.	true	789.98	795.16	21.120749
598_127704_000011_000003	The flat meadow bottom is from about three hundred to two hundred yards wide, with gently curved margins about fifty yards wide from which rise the simple massive walls of gray granite at an angle of about thirty-three degrees, mostly timbered with a light growth of pine and streaked in many places with avalanche channels.	The flat meadow bottom is from about three hundred to two hundred yards wide, with gently curved margins about fifty yards wide from which rise the simple massive walls of gray granite at an angle of about thirty three degrees, mostly timbered with a light growth of pine and streaked in many places with avalanche channels.	true	795.59	817.69	18
598_127704_000011_000004	Towards the upper end of the canyon the Sierra crown comes in sight, forming a finely balanced picture framed by the massive canyon walls.	Towards the upper end of the canyon the Sierra crown comes in sight, forming a finely balanced picture framed by the massive canyon walls.	true	818.72	828.61	19
598_127704_000011_000005	In the foreground, when the grass is in flower, you have the purple meadow willow-thickets on the river banks; in the middle distance huge swelling bosses of granite that form the base of the general mass of the mountain, with fringing lines of dark woods marking the lower curves, smoothly snow-clad except in the autumn.	In the foreground, when the grass is in flower, you have the purple meadow willow thickets on the river banks; in the middle distance huge swelling bosses of granite that form the base of the general mass of the mountain, with fringing lines of dark woods marking the lower curves, smoothly snow clad except in the autumn.	true	829.22	850.72	19
598_127704_000012_000000	If you wish to spend two days on the Lyell trip you will find a good camp-ground on the east side of the river, about a mile above a fine cascade that comes down over the canyon wall in telling style and makes good camp music.	If you wish to spend two days on the Lyell trip you will find a good camp ground on the east side of the river, about a mile above a fine cascade that comes down over the canyon wall in telling style and makes good camp music.	false	851.72	869.65	20
598_127704_000012_000001	From here to the top of the mountains is usually an easy day's work.	From here to the top of the mountains is usually an easy day's work.	true	870.17	874.42	19
598_127704_000012_000002	At one place near the summit careful climbing is necessary, but it is not so dangerous or difficult as to deter any one of ordinary skill, while the views are glorious.	At one place near the summit careful climbing is necessary, but it is not so dangerous or difficult as to deter any one of ordinary skill, while the views are glorious.	true	874.79	886.12	21.620134
598_127704_000012_000003	To the northward are Mammoth Mountain, Mounts Gibbs, Dana, Warren, Conness and others, unnumbered and unnamed; to the southeast the indescribably wild and jagged range of Mount Ritter and the Minarets; southwestward stretches the dividing ridge between the north fork of the San Joaquin and the Merced, uniting with the Obelisk or Merced group of peaks that form the main fountains of the Illilouette branch of the Merced; and to the north-westward extends the Cathedral spur.	To the northward are Mammoth Mountain, Mounts Gibbs, Dana, Warren, Conness and others, unnumbered and unnamed; to the southeast the indescribably wild and jagged range of Mount Ritter and the Minarets; southwestward stretches the dividing ridge between the north fork of the San Joaquin and the Merced, uniting with the Obelisk or Merced group of peaks that form the main fountains of the Illilouette branch of the Merced; and to the north westward extends the Cathedral spur.	false	886.85	921.46	21.002392
598_127704_000012_000004	These spurs like distinct ranges meet at your feet; therefore you look at them mostly in the direction of their extension, and their peaks seem to be massed and crowded against one another, while immense amphitheaters, canyons and subordinate ridges with their wealth of lakes, glaciers, and snow-fields, maze and cluster between them.	These spurs like distinct ranges meet at your feet; therefore you look at them mostly in the direction of their extension, and their peaks seem to be massed and crowded against one another, while immense amphitheaters, canyons and subordinate ridges with their wealth of lakes, glaciers, and snow fields, maze and cluster between them.	true	922.22	945.16	20.837103
598_127704_000012_000005	In making the ascent in June or October the glacier is easily crossed, for then its snow mantle is smooth or mostly melted off.	In making the ascent in June or October the glacier is easily crossed, for then its snow mantle is smooth or mostly melted off.	true	946.28	955.27	18
598_127704_000012_000006	But in midsummer the climbing is exceedingly tedious because the snow is then weathered into curious and beautiful blades, sharp and slender, and set on edge in a leaning position.	But in midsummer the climbing is exceedingly tedious because the snow is then weathered into curious and beautiful blades, sharp and slender, and set on edge in a leaning position.	true	955.91	968.59	18
598_127704_000012_000007	They lean towards the head of the glacier and extend across from side to side in regular order in a direction at right angles to the direction of greatest declivity, the distance between the crests being about two or three feet, and the depth of the troughs between them about three feet.	They lean towards the head of the glacier and extend across from side to side in regular order in a direction at right angles to the direction of greatest declivity, the distance between the crests being about two or three feet, and the depth of the troughs between them about three feet.	false	969.02	989.65	21.870136
598_127704_000012_000008	A more interesting problem than a walk over a glacier thus sculptured and adorned is seldom presented to the mountaineer.	A more interesting problem than a walk over a glacier thus sculptured and adorned is seldom presented to the mountaineer.	true	989.96	998.29	20
598_127704_000013_000000	The Lyell Glacier is about a mile wide and less than a mile long, but presents, nevertheless, all the essential characters of large, river-like glaciers--moraines, earth-bands, blue veins, crevasses, etc., while the streams that issue from it are, of course, turbid with rock-mud, showing its grinding action on its bed.	The Lyell Glacier is about a mile wide and less than a mile long, but presents, nevertheless, all the essential characters of large, river like glaciers-moraines, earth bands, blue veins, crevasses, etc, while the streams that issue from it are, of course, turbid with rock mud, showing its grinding action on its bed.	true	999.26	1021.09	18
598_127704_000013_000001	And it is all the more interesting since it is the highest and most enduring remnant of the great Tuolumne Glacier, whose traces are still distinct fifty miles away, and whose influence on the landscape was so profound.	And it is all the more interesting since it is the highest and most enduring remnant of the great Tuolumne Glacier, whose traces are still distinct fifty miles away, and whose influence on the landscape was so profound.	true	1021.7	1036.39	20
598_127704_000013_000002	The McClure Glacier, once a tributary of the Lyell, is smaller.	The McClure Glacier, once a tributary of the Lyell, is smaller.	true	1037.57	1042.06	22.945684
598_127704_000013_000003	Thirty-eight years ago I set a series of stakes in it to determine its rate of motion. Towards the end of summer in the middle of the glacier it was only a little over an inch in twenty-four hours.	Thirty eight years ago I set a series of stakes in it to determine its rate of motion. Towards the end of summer in the middle of the glacier it was only a little over an inch in twenty four hours.	true	1042.49	1055.71	18
598_127704_000014_000000	The trip to Mono from the Soda Springs can be made in a day, but many days may profitably be spent near the shores of the lake, out on its islands and about the volcanoes.	The trip to Mono from the Soda Springs can be made in a day, but many days may profitably be spent near the shores of the lake, out on its islands and about the volcanoes.	false	1056.44	1067.16	20
598_127704_000015_000000	In making the trip down the Big Tuolumne Canyon, animals may be led as far as a small, grassy, forested lake-basin that lies below the crossing of the Virginia Creek trail.	In making the trip down the Big Tuolumne Canyon, animals may be led as far as a small, grassy, forested lake basin that lies below the crossing of the Virginia Creek trail.	false	1067.16	1079.56	20.808834
598_127704_000015_000001	And from this point any one accustomed to walking on earthquake boulders, carpeted with canyon chaparral, can easily go down as far as the big cascades and return to camp in one day. Many, however, are not able to do his, and it is better to go leisurely, prepared to camp anywhere, and enjoy the marvelous grandeur of the place.	And from this point any one accustomed to walking on earthquake boulders, carpeted with canyon chaparral, can easily go down as far as the big cascades and return to camp in one day. Many, however, are not able to do his, and it is better to go leisurely, prepared to camp anywhere, and enjoy the marvelous grandeur of the place.	false	1080.08	1101.82	21
598_127704_000016_000000	The canyon begins near the lower end of the meadows and extends to the Hetch Hetchy Valley, a distance of about eighteen miles, though it will seem much longer to any one who scrambles through it.	The canyon begins near the lower end of the meadows and extends to the Hetch Hetchy Valley, a distance of about eighteen miles, though it will seem much longer to any one who scrambles through it.	true	1102.97	1115.53	20.626764
598_127704_000016_000001	It is from twelve hundred to about five thousand feet deep, and is comparatively narrow, but there are several roomy, park-like openings in it, and throughout its whole extent Yosemite natures are displayed on a grand scale--domes, El Capitan rocks, gables, Sentinels, Royal Arches, Glacier Points, Cathedral Spires, etc.	It is from twelve hundred to about five thousand feet deep, and is comparatively narrow, but there are several roomy, park like openings in it, and throughout its whole extent Yosemite natures are displayed on a grand scale-domes, El Capitan rocks, gables, Sentinels, Royal Arches, Glacier Points, Cathedral Spires, etc	true	1116.2	1140.94	22.72739
598_127704_000016_000002	There is even a Half Dome among its wealth of rock forms, though far less sublime than the Yosemite Half Dome.	There is even a Half Dome among its wealth of rock forms, though far less sublime than the Yosemite Half Dome.	false	1141.49	1148.74	19
598_127704_000016_000003	Its falls and cascades are innumerable.	Its falls and cascades are innumerable.	true	1149.11	1151.8	20.936287
598_127704_000016_000004	The sheer falls, except when the snow is melting in early spring, are quite small in volume as compared with those of Yosemite and Hetch Hetchy; though in any other country many of them would be regarded as wonders.	The sheer falls, except when the snow is melting in early spring, are quite small in volume as compared with those of Yosemite and Hetch Hetchy; though in any other country many of them would be regarded as wonders.	true	1152.29	1165.9	20.230597
598_127704_000016_000005	But it is the cascades or sloping falls on the main river that are the crowning glory of the canyon, and these in volume, extent and variety surpass those of any other canyon in the Sierra.	But it is the cascades or sloping falls on the main river that are the crowning glory of the canyon, and these in volume, extent and variety surpass those of any other canyon in the Sierra.	true	1166.51	1178.92	19
598_127704_000016_000006	The most showy and interesting of them are mostly in the upper part of the canyon, above the point of entrance of Cathedral Creek and Hoffman Creek.	The most showy and interesting of them are mostly in the upper part of the canyon, above the point of entrance of Cathedral Creek and Hoffman Creek.	true	1179.26	1188.7	20.417404
598_127704_000016_000007	For miles the river is one wild, exulting, on-rushing mass of snowy purple bloom, spreading over glacial waves of granite without any definite channel, gliding in magnificent silver plumes, dashing and foaming through huge boulder-dams, leaping high into the air in wheel-like whirls, displaying glorious enthusiasm, tossing from side to side, doubling, glinting, singing in exuberance of mountain energy.	For miles the river is one wild, exulting, on rushing mass of snowy purple bloom, spreading over glacial waves of granite without any definite channel, gliding in magnificent silver plumes, dashing and foaming through huge boulder dams, leaping high into the air in wheel like whirls, displaying glorious enthusiasm, tossing from side to side, doubling, glinting, singing in exuberance of mountain energy.	true	1189.1	1219.72	20.099022
598_127704_000017_000000	Every one who is anything of a mountaineer should go on through the entire length of the canyon, coming out by Hetch Hetchy.	Every one who is anything of a mountaineer should go on through the entire length of the canyon, coming out by Hetch Hetchy.	true	1220.69	1228.42	18
598_127704_000017_000001	There is not a dull step all the way.	There is not a dull step all the way.	true	1228.58	1231.45	24.64578
598_127704_000017_000002	With wide variations, it is a Yosemite Valley from end to end.	With wide variations, it is a Yosemite Valley from end to end.	true	1231.79	1236.37	18
598_127704_000018_000000	Besides these main, far-reaching, much-seeing excursions from the main central camp, there are numberless, lovely little saunters and scrambles and a dozen or so not so very little.	Besides these main, far reaching, much seeing excursions from the main central camp, there are numberless, lovely little saunters and scrambles and a dozen or so not so very little.	true	1237.46	1249.27	17
598_127704_000018_000001	Among the best of these are to Lambert and Fair View Domes; to the topmost spires of Cathedral Peak, and to those of the North Church, around the base of which you pass on your way to Mount Conness; to one of the very loveliest of the glacier-meadows imbedded in the pine woods about three miles north of the Soda Springs, where forty-two years ago I spent six weeks.	Among the best of these are to Lambert and Fair View Domes; to the topmost spires of Cathedral Peak, and to those of the North Church, around the base of which you pass on your way to Mount Conness; to one of the very loveliest of the glacier meadows imbedded in the pine woods about three miles north of the Soda Springs, where forty two years ago I spent six weeks.	true	1249.76	1273.27	19
598_127704_000018_000002	It trends east and west, and you can find it easily by going past the base of Lambert's Dome to Dog Lake and thence up northward through the woods about a mile or so; to the shining rock-waves full of ice-burnished, feldspar crystals at the foot of the meadows; to Lake Tenaya; and, last but not least, a rather long and very hearty scramble down by the end of the meadow along the Tioga road toward Lake Tenaya to the crossing of Cathedral Creek, where you turn off and trace the creek down to its confluence with the Tuolumne.	It trends east and west, and you can find it easily by going past the base of Lambert's Dome to Dog Lake and thence up northward through the woods about a mile or so; to the shining rock waves full of ice burnished, feldspar crystals at the foot of the meadows; to Lake Tenaya; and, last but not least, a rather long and very hearty scramble down by the end of the meadow along the Tioga road toward Lake Tenaya to the crossing of Cathedral Creek, where you turn off and trace the creek down to its confluence with the Tuolumne.	true	1273.97	1308.58	20
598_127704_000018_000003	This is a genuine scramble much of the way but one of the most wonderfully telling in its glacial rock-forms and inscriptions.	This is a genuine scramble much of the way but one of the most wonderfully telling in its glacial rock forms and inscriptions.	true	1309.22	1316.17	17
