2004_147981_000000_000000	IX	IX	false	17.22	17.64	-7
2004_147981_000004_000000	The daughters of Black Hawk merchants had a confident, uninquiring belief that they were "refined," and that the country girls, who "worked out," were not.	The daughters of Black Hawk merchants had a confident, uninquiring belief that they were "refined," and that the country girls, who "worked out," were not.	true	145.91	155.32	23.38804
2004_147981_000004_000001	The American farmers in our county were quite as hard-pressed as their neighbors from other countries.	The American farmers in our county were quite as hard pressed as their neighbors from other countries.	true	155.66	161.65	22
2004_147981_000004_000002	All alike had come to Nebraska with little capital and no knowledge of the soil they must subdue.	All alike had come to Nebraska with little capital and no knowledge of the soil they must subdue.	true	162.2	168.43	27
2004_147981_000004_000003	All had borrowed money on their land.	All had borrowed money on their land.	true	168.86	171.1	20.614563
2004_147981_000004_000004	But no matter in what straits the Pennsylvanian or Virginian found himself, he would not let his daughters go out into service.	But no matter in what straits the Pennsylvanian or Virginian found himself, he would not let his daughters go out into service.	true	171.41	179.5	21.486628
2004_147981_000004_000005	Unless his girls could teach a country school, they sat at home in poverty.	Unless his girls could teach a country school, they sat at home in poverty.	true	180.17	184.96	21.494621
2004_147981_000004_000006	The Bohemian and Scandinavian girls could not get positions as teachers, because they had had no opportunity to learn the language.	The Bohemian and Scandinavian girls could not get positions as teachers, because they had had no opportunity to learn the language.	true	186.11	193.63	16
2004_147981_000004_000007	Determined to help in the struggle to clear the homestead from debt, they had no alternative but to go into service.	Determined to help in the struggle to clear the homestead from debt, they had no alternative but to go into service.	true	194.36	201.7	21.021427
2004_147981_000004_000008	Some of them, after they came to town, remained as serious and as discreet in behavior as they had been when they ploughed and herded on their father's farm.	Some of them, after they came to town, remained as serious and as discreet in behavior as they had been when they ploughed and herded on their father's farm.	false	202.37	212.08	21
2004_147981_000004_000009	Others, like the three Bohemian Marys, tried to make up for the years of youth they had lost.	Others, like the three Bohemian Marys, tried to make up for the years of youth they had lost.	true	212.69	218.98	21.945171
2004_147981_000004_000010	But every one of them did what she had set out to do, and sent home those hard-earned dollars.	But every one of them did what she had set out to do, and sent home those hard earned dollars.	true	219.35	224.92	21
2004_147981_000004_000011	The girls I knew were always helping to pay for ploughs and reapers, brood-sows, or steers to fatten.	The girls I knew were always helping to pay for ploughs and reapers, brood sows, or steers to fatten.	true	225.35	232.45	19.750044
2004_147981_000005_000000	One result of this family solidarity was that the foreign farmers in our county were the first to become prosperous.	One result of this family solidarity was that the foreign farmers in our county were the first to become prosperous.	true	233	239.92	20
2004_147981_000005_000001	After the fathers were out of debt, the daughters married the sons of neighbors,--usually of like nationality,--and the girls who once worked in Black Hawk kitchens are to-day managing big farms and fine families of their own; their children are better off than the children of the town women they used to serve.	After the fathers were out of debt, the daughters married the sons of neighbors,--usually of like nationality,--and the girls who once worked in Black Hawk kitchens are to day managing big farms and fine families of their own; their children are better off than the children of the town women they used to serve.	true	240.59	258.88	21.37891
2004_147981_000006_000000	I thought the attitude of the town people toward these girls very stupid. If I told my schoolmates that Lena Lingard's grandfather was a clergyman, and much respected in Norway, they looked at me blankly.	I thought the attitude of the town people toward these girls very stupid. If I told my schoolmates that Lena Lingard's grandfather was a clergyman, and much respected in Norway, they looked at me blankly.	false	260.6	273.64	25.652758
2004_147981_000006_000001	What did it matter?	What did it matter?	true	274.46	275.71	25.026697
2004_147981_000006_000002	All foreigners were ignorant people who could n't speak English. There was not a man in Black Hawk who had the intelligence or cultivation, much less the personal distinction, of Antonia's father.	All foreigners were ignorant people who could n't speak English. There was not a man in Black Hawk who had the intelligence or cultivation, much less the personal distinction, of Antonia's father.	true	276.17	288.31	22.435465
2004_147981_000006_000003	Yet people saw no difference between her and the three Marys; they were all Bohemians, all "hired girls."	Yet people saw no difference between her and the three Marys; they were all Bohemians, all "hired girls."	true	288.71	295.78	18.201208
2004_147981_000007_000000	I always knew I should live long enough to see my country girls come into their own, and I have.	I always knew I should live long enough to see my country girls come into their own, and I have.	true	296.3	303.58	21.37919
2004_147981_000007_000001	To-day the best that a harassed Black Hawk merchant can hope for is to sell provisions and farm machinery and automobiles to the rich farms where that first crop of stalwart Bohemian and Scandinavian girls are now the mistresses.	To day the best that a harassed Black Hawk merchant can hope for is to sell provisions and farm machinery and automobiles to the rich farms where that first crop of stalwart Bohemian and Scandinavian girls are now the mistresses.	true	304.58	318.85	21
2004_147981_000008_000000	The Black Hawk boys looked forward to marrying Black Hawk girls, and living in a brand-new little house with best chairs that must not be sat upon, and hand-painted china that must not be used.	The Black Hawk boys looked forward to marrying Black Hawk girls, and living in a brand new little house with best chairs that must not be sat upon, and hand painted china that must not be used.	true	319.91	331.99	24.626595
2004_147981_000008_000001	But sometimes a young fellow would look up from his ledger, or out through the grating of his father's bank, and let his eyes follow Lena Lingard, as she passed the window with her slow, undulating walk, or Tiny Soderball, tripping by in her short skirt and striped stockings.	But sometimes a young fellow would look up from his ledger, or out through the grating of his father's bank, and let his eyes follow Lena Lingard, as she passed the window with her slow, undulating walk, or Tiny Soderball, tripping by in her short skirt and striped stockings.	true	332.78	351.01	21.10025
2004_147981_000009_000000	The country girls were considered a menace to the social order.	The country girls were considered a menace to the social order.	true	351.41	355.06	20.467466
2004_147981_000009_000001	Their beauty shone out too boldly against a conventional background.	Their beauty shone out too boldly against a conventional background.	true	355.19	359.35	24
2004_147981_000009_000002	But anxious mothers need have felt no alarm.	But anxious mothers need have felt no alarm.	true	359.54	362.53	21.471878
2004_147981_000009_000003	They mistook the mettle of their sons. The respect for respectability was stronger than any desire in Black Hawk youth.	They mistook the mettle of their sons. The respect for respectability was stronger than any desire in Black Hawk youth.	true	362.54	370.21	22.833088
2004_147981_000010_000000	Our young man of position was like the son of a royal house; the boy who swept out his office or drove his delivery wagon might frolic with the jolly country girls, but he himself must sit all evening in a plush parlor where conversation dragged so perceptibly that the father often came in and made blundering efforts to warm up the atmosphere.	Our young man of position was like the son of a royal house; the boy who swept out his office or drove his delivery wagon might frolic with the jolly country girls, but he himself must sit all evening in a plush parlor where conversation dragged so perceptibly that the father often came in and made blundering efforts to warm up the atmosphere.	true	371.21	391.99	21
2004_147981_000010_000001	On his way home from his dull call, he would perhaps meet Tony and Lena, coming along the sidewalk whispering to each other, or the three Bohemian Marys in their long plush coats and caps, comporting themselves with a dignity that only made their eventful histories the more piquant.	On his way home from his dull call, he would perhaps meet Tony and Lena, coming along the sidewalk whispering to each other, or the three Bohemian Marys in their long plush coats and caps, comporting themselves with a dignity that only made their eventful histories the more piquant.	true	392.57	409.24	19.63417
2004_147981_000010_000002	If he went to the hotel to see a traveling man on business, there was Tiny, arching her shoulders at him like a kitten.	If he went to the hotel to see a traveling man on business, there was Tiny, arching her shoulders at him like a kitten.	true	410	416.77	22
2004_147981_000010_000003	If he went into the laundry to get his collars, there were the four Danish girls, smiling up from their ironing-boards, with their white throats and their pink cheeks.	If he went into the laundry to get his collars, there were the four Danish girls, smiling up from their ironing boards, with their white throats and their pink cheeks.	true	417.26	427.57	23.775194
2004_147981_000011_000000	The three Marys were the heroines of a cycle of scandalous stories, which the old men were fond of relating as they sat about the cigar-stand in the drug-store.	The three Marys were the heroines of a cycle of scandalous stories, which the old men were fond of relating as they sat about the cigar stand in the drug store.	false	428.6	438.04	17
2004_147981_000011_000001	Mary Dusak had been housekeeper for a bachelor rancher from Boston, and after several years in his service she was forced to retire from the world for a short time.	Mary Dusak had been housekeeper for a bachelor rancher from Boston, and after several years in his service she was forced to retire from the world for a short time.	true	438.95	449.05	21.94961
2004_147981_000011_000002	Later she came back to town to take the place of her friend, Mary Svoboda, who was similarly embarrassed.	Later she came back to town to take the place of her friend, Mary Svoboda, who was similarly embarrassed.	true	449.6	456.07	21.710398
2004_147981_000011_000003	The three Marys were considered as dangerous as high explosives to have about the kitchen, yet they were such good cooks and such admirable housekeepers that they never had to look for a place.	The three Marys were considered as dangerous as high explosives to have about the kitchen, yet they were such good cooks and such admirable housekeepers that they never had to look for a place.	true	456.5	467.83	23.943548
2004_147981_000012_000000	The Vannis' tent brought the town boys and the country girls together on neutral ground.	The Vannis' tent brought the town boys and the country girls together on neutral ground.	true	468.41	473.29	24
2004_147981_000012_000001	Sylvester Lovett, who was cashier in his father's bank, always found his way to the tent on Saturday night.	Sylvester Lovett, who was cashier in his father's bank, always found his way to the tent on Saturday night.	true	473.87	480.58	24.407753
2004_147981_000012_000002	He took all the dances Lena Lingard would give him, and even grew bold enough to walk home with her.	He took all the dances Lena Lingard would give him, and even grew bold enough to walk home with her.	true	480.86	486.49	20.167763
2004_147981_000012_000003	If his sisters or their friends happened to be among the onlookers on "popular nights," Sylvester stood back in the shadow under the cottonwood trees, smoking and watching Lena with a harassed expression.	If his sisters or their friends happened to be among the onlookers on "popular nights," Sylvester stood back in the shadow under the cottonwood trees, smoking and watching Lena with a harassed expression.	true	487.13	499.09	21
2004_147981_000012_000004	Several times I stumbled upon him there in the dark, and I felt rather sorry for him.	Several times I stumbled upon him there in the dark, and I felt rather sorry for him.	true	499.73	505.39	22.8058
2004_147981_000012_000005	He reminded me of Ole Benson, who used to sit on the draw-side and watch Lena herd her cattle.	He reminded me of Ole Benson, who used to sit on the draw side and watch Lena herd her cattle.	false	505.58	512.05	20.118507
2004_147981_000012_000006	Later in the summer, when Lena went home for a week to visit her mother, I heard from Antonia that young Lovett drove all the way out there to see her, and took her buggy-riding.	Later in the summer, when Lena went home for a week to visit her mother, I heard from Antonia that young Lovett drove all the way out there to see her, and took her buggy riding.	true	512.45	522.91	19.128866
2004_147981_000012_000007	In my ingenuousness I hoped that Sylvester would marry Lena, and thus give all the country girls a better position in the town.	In my ingenuousness I hoped that Sylvester would marry Lena, and thus give all the country girls a better position in the town.	true	523.52	531.67	20.583075
2004_147981_000013_000000	Sylvester dallied about Lena until he began to make mistakes in his work; had to stay at the bank until after dark to make his books balance.	Sylvester dallied about Lena until he began to make mistakes in his work; had to stay at the bank until after dark to make his books balance.	true	532.79	541.42	25.323866
2004_147981_000013_000001	He was daft about her, and every one knew it.	He was daft about her, and every one knew it.	true	541.73	544.57	21.349705
2004_147981_000013_000002	To escape from his predicament he ran away with a widow six years older than himself, who owned a half-section.	To escape from his predicament he ran away with a widow six years older than himself, who owned a half section.	true	545.03	551.68	19.726131
2004_147981_000013_000003	This remedy worked, apparently.	This remedy worked, apparently.	true	552.26	554.05	24.12722
2004_147981_000013_000004	He never looked at Lena again, nor lifted his eyes as he ceremoniously tipped his hat when he happened to meet her on the sidewalk.	He never looked at Lena again, nor lifted his eyes as he ceremoniously tipped his hat when he happened to meet her on the sidewalk.	true	554.09	561.64	19.147436
2004_147981_000014_000000	So that was what they were like, I thought, these white-handed, high-collared clerks and bookkeepers!	So that was what they were like, I thought, these white handed, high collared clerks and bookkeepers!	true	562.28	567.7	23.222914
2004_147981_000014_000001	I used to glare at young Lovett from a distance and only wished I had some way of showing my contempt for him.	I used to glare at young Lovett from a distance and only wished I had some way of showing my contempt for him.	true	568.13	574.11	22
2004_147981_000015_000000	X	X	false	574.11	574.14	-20
2004_147981_000016_000000	IT was at the Vannis' tent that Antonia was discovered.	i t was at the Vannis' tent that Antonia was discovered.	false	574.14	574.74	-2
2004_147981_000016_000001	Hitherto she had been looked upon more as a ward of the Harlings than as one of the "hired girls." She had lived in their house and yard and garden; her thoughts never seemed to stray outside that little kingdom.	Hitherto she had been looked upon more as a ward of the Harlings than as one of the "hired girls." She had lived in their house and yard and garden; her thoughts never seemed to stray outside that little kingdom.	false	574.74	576.36	100
2004_147981_000016_000002	But after the tent came to town she began to go about with Tiny and Lena and their friends.	But after the tent came to town she began to go about with Tiny and Lena and their friends.	false	576.36	576.36	
2004_147981_000016_000003	The Vannis often said that Antonia was the best dancer of them all.	The Vannis often said that Antonia was the best dancer of them all.	false	576.36	576.48	10
2004_147981_000016_000004	I sometimes heard murmurs in the crowd outside the pavilion that Mrs. Harling would soon have her hands full with that girl.	I sometimes heard murmurs in the crowd outside the pavilion that mrs Harling would soon have her hands full with that girl.	false	576.48	576.87	16
2004_147981_000016_000005	The young men began to joke with each other about "the Harlings' Tony" as they did about "the Marshalls' Anna" or "the Gardeners' Tiny."	The young men began to joke with each other about "the Harlings' Tony" as they did about "the Marshalls' Anna" or "the Gardeners' Tiny."	false	576.87	577.29	12
