2004_147981_000001_000000	THERE was a curious social situation in Black Hawk.	THERE was a curious social situation in Black Hawk.
2004_147981_000008_000001	But sometimes a young fellow would look up from his ledger, or out through the grating of his father's bank, and let his eyes follow Lena Lingard, as she passed the window with her slow, undulating walk, or Tiny Soderball, tripping by in her short skirt and striped stockings.	But sometimes a young fellow would look up from his ledger, or out through the grating of his father's bank, and let his eyes follow Lena Lingard, as she passed the window with her slow, undulating walk, or Tiny Soderball, tripping by in her short skirt and striped stockings.
2004_147981_000009_000000	The country girls were considered a menace to the social order.	The country girls were considered a menace to the social order.
2004_147981_000009_000001	Their beauty shone out too boldly against a conventional background.	Their beauty shone out too boldly against a conventional background.
2004_147981_000009_000002	But anxious mothers need have felt no alarm.	But anxious mothers need have felt no alarm.
2004_147981_000009_000003	They mistook the mettle of their sons. The respect for respectability was stronger than any desire in Black Hawk youth.	They mistook the mettle of their sons. The respect for respectability was stronger than any desire in Black Hawk youth.
2004_147981_000010_000000	Our young man of position was like the son of a royal house; the boy who swept out his office or drove his delivery wagon might frolic with the jolly country girls, but he himself must sit all evening in a plush parlor where conversation dragged so perceptibly that the father often came in and made blundering efforts to warm up the atmosphere.	Our young man of position was like the son of a royal house; the boy who swept out his office or drove his delivery wagon might frolic with the jolly country girls, but he himself must sit all evening in a plush parlor where conversation dragged so perceptibly that the father often came in and made blundering efforts to warm up the atmosphere.
2004_147981_000010_000002	If he went to the hotel to see a traveling man on business, there was Tiny, arching her shoulders at him like a kitten.	If he went to the hotel to see a traveling man on business, there was Tiny, arching her shoulders at him like a kitten.
2004_147981_000010_000003	If he went into the laundry to get his collars, there were the four Danish girls, smiling up from their ironing-boards, with their white throats and their pink cheeks.	If he went into the laundry to get his collars, there were the four Danish girls, smiling up from their ironing boards, with their white throats and their pink cheeks.
2004_147981_000011_000001	Mary Dusak had been housekeeper for a bachelor rancher from Boston, and after several years in his service she was forced to retire from the world for a short time.	Mary Dusak had been housekeeper for a bachelor rancher from Boston, and after several years in his service she was forced to retire from the world for a short time.
2004_147981_000011_000002	Later she came back to town to take the place of her friend, Mary Svoboda, who was similarly embarrassed.	Later she came back to town to take the place of her friend, Mary Svoboda, who was similarly embarrassed.
2004_147981_000011_000003	The three Marys were considered as dangerous as high explosives to have about the kitchen, yet they were such good cooks and such admirable housekeepers that they never had to look for a place.	The three Marys were considered as dangerous as high explosives to have about the kitchen, yet they were such good cooks and such admirable housekeepers that they never had to look for a place.
2004_147981_000012_000000	The Vannis' tent brought the town boys and the country girls together on neutral ground.	The Vannis' tent brought the town boys and the country girls together on neutral ground.
2004_147981_000012_000001	Sylvester Lovett, who was cashier in his father's bank, always found his way to the tent on Saturday night.	Sylvester Lovett, who was cashier in his father's bank, always found his way to the tent on Saturday night.
2004_147981_000012_000002	He took all the dances Lena Lingard would give him, and even grew bold enough to walk home with her.	He took all the dances Lena Lingard would give him, and even grew bold enough to walk home with her.
2004_147981_000012_000003	If his sisters or their friends happened to be among the onlookers on "popular nights," Sylvester stood back in the shadow under the cottonwood trees, smoking and watching Lena with a harassed expression.	If his sisters or their friends happened to be among the onlookers on "popular nights," Sylvester stood back in the shadow under the cottonwood trees, smoking and watching Lena with a harassed expression.
2004_147981_000012_000004	Several times I stumbled upon him there in the dark, and I felt rather sorry for him.	Several times I stumbled upon him there in the dark, and I felt rather sorry for him.
2004_147981_000012_000007	In my ingenuousness I hoped that Sylvester would marry Lena, and thus give all the country girls a better position in the town.	In my ingenuousness I hoped that Sylvester would marry Lena, and thus give all the country girls a better position in the town.
2004_147981_000013_000000	Sylvester dallied about Lena until he began to make mistakes in his work; had to stay at the bank until after dark to make his books balance.	Sylvester dallied about Lena until he began to make mistakes in his work; had to stay at the bank until after dark to make his books balance.
2004_147981_000013_000001	He was daft about her, and every one knew it.	He was daft about her, and every one knew it.
2004_147981_000013_000003	This remedy worked, apparently.	This remedy worked, apparently.
2004_147981_000014_000000	So that was what they were like, I thought, these white-handed, high-collared clerks and bookkeepers!	So that was what they were like, I thought, these white handed, high collared clerks and bookkeepers!
2004_147981_000014_000001	I used to glare at young Lovett from a distance and only wished I had some way of showing my contempt for him.	I used to glare at young Lovett from a distance and only wished I had some way of showing my contempt for him.
