7833_102239_000001_000000	COLLAPSE OF THE SYSTEM	COLLAPSE OF THE SYSTEM
7833_102239_000012_000016	Nine millions of dollars were thought to be a mere trifle in view of the colossal sum expected to be realized from the sale of canal lands, three hundred thousand acres of which had been given by the general Government.	Nine millions of dollars were thought to be a mere trifle in view of the colossal sum expected to be realized from the sale of canal lands, three hundred thousand acres of which had been given by the general Government.
7833_102239_000012_000017	There were rumors of coming trouble, and of an unhealthy condition of the banks; but it was considered disloyal to look too curiously into such matters.	There were rumors of coming trouble, and of an unhealthy condition of the banks; but it was considered disloyal to look too curiously into such matters.
7833_102239_000014_000000	But a year of baleful experience destroyed a great many illusions, and in the election of 1838 the subject of internal improvements was treated with much more reserve by candidates.	But a year of baleful experience destroyed a great many illusions, and in the election of eighteen thirty eight the subject of internal improvements was treated with much more reserve by candidates.
7833_102239_000014_000001	The debt of the State, issued at a continually increasing discount, had already attained enormous proportions; the delirium of the last few years was ending, and sensible people began to be greatly disquieted.	The debt of the State, issued at a continually increasing discount, had already attained enormous proportions; the delirium of the last few years was ending, and sensible people began to be greatly disquieted.
7833_102239_000014_000002	Nevertheless, Mr. Cyrus Edwards boldly made his canvass for Governor as a supporter of the system of internal improvements, and his opponent, Thomas Carlin, was careful not to commit himself strongly on the other side.	Nevertheless, mr Cyrus Edwards boldly made his canvass for Governor as a supporter of the system of internal improvements, and his opponent, Thomas Carlin, was careful not to commit himself strongly on the other side.
7833_102239_000014_000004	Lincoln was a member of this body, and, being by that time the unquestioned leader of the Whig minority, was nominated for Speaker, and came within one vote of an election.	Lincoln was a member of this body, and, being by that time the unquestioned leader of the Whig minority, was nominated for Speaker, and came within one vote of an election.
7833_102239_000014_000005	The Legislature was still stiff-necked and perverse in regard to the system.	The Legislature was still stiff necked and perverse in regard to the system.
7833_102239_000014_000006	It refused to modify it in the least, and voted, as if in bravado, another eight hundred thousand dollars to extend it.	It refused to modify it in the least, and voted, as if in bravado, another eight hundred thousand dollars to extend it.
7833_102239_000015_000000	But this was the last paroxysm of a fever that was burnt out.	But this was the last paroxysm of a fever that was burnt out.
7833_102239_000015_000001	The market was glutted with Illinois bonds; one banker and one broker after another, to whose hands they had been recklessly confided in New York and London, failed, or made away with the proceeds of sales.	The market was glutted with Illinois bonds; one banker and one broker after another, to whose hands they had been recklessly confided in New York and London, failed, or made away with the proceeds of sales.
7833_102239_000015_000003	This work taxed the energies of the Legislature in 1839, and for some years after.	This work taxed the energies of the Legislature in eighteen thirty nine, and for some years after.
7833_102239_000015_000004	It was a dismal and disheartening task.	It was a dismal and disheartening task.
7833_102239_000017_000000	Many were the schemes devised for meeting these oppressive obligations without unduly taxing the voters; one of them, not especially wiser than the rest, was contributed by Mr. Lincoln.	Many were the schemes devised for meeting these oppressive obligations without unduly taxing the voters; one of them, not especially wiser than the rest, was contributed by mr Lincoln.
7833_102239_000017_000001	It provided for the issue of bonds for the payment of the interest due by the State, and for the appropriation of a special portion of State taxes to meet the obligations thus incurred.	It provided for the issue of bonds for the payment of the interest due by the State, and for the appropriation of a special portion of State taxes to meet the obligations thus incurred.
7833_102239_000017_000002	He supported his bill in a perfectly characteristic speech, making no effort to evade his share of the responsibility for the crisis, and submitting his views with diffidence to the approval of the Assembly.	He supported his bill in a perfectly characteristic speech, making no effort to evade his share of the responsibility for the crisis, and submitting his views with diffidence to the approval of the Assembly.
7833_102239_000017_000004	There was even an undercurrent of sentiment in favor of repudiation.	There was even an undercurrent of sentiment in favor of repudiation.
7833_102239_000017_000006	Bonds were sold for this purpose at a heavy loss.	Bonds were sold for this purpose at a heavy loss.
7833_102239_000018_000000	This session of the Legislature was enlivened by a singular contest between the Whigs and Democrats in relation to the State banks.	This session of the Legislature was enlivened by a singular contest between the Whigs and Democrats in relation to the State banks.
7833_102239_000018_000002	The Whigs, who were defending the banks, wished to prevent the adjournment of the special session until the regular session should begin, during the course of which they expected to renew the lease of life now held under sufferance by the banks--in which, it may be here said, they were finally successful.	The Whigs, who were defending the banks, wished to prevent the adjournment of the special session until the regular session should begin, during the course of which they expected to renew the lease of life now held under sufferance by the banks-in which, it may be here said, they were finally successful.
7833_102239_000018_000004	"I think," says Mr. Joseph Gillespie, who was one of those who performed this feat of acrobatic politics, "Mr. Lincoln always regretted it, as he deprecated everything that savored of the revolutionary."	"I think," says mr Joseph Gillespie, who was one of those who performed this feat of acrobatic politics, "mr Lincoln always regretted it, as he deprecated everything that savored of the revolutionary."
7833_102239_000019_000001	Nothing was left of the brilliant schemes of the historic Legislature of 1836 but a load of debt which crippled for many years the energies of the people, a few miles of embankments which the grass hastened to cover, and a few abutments which stood for years by the sides of leafy rivers, waiting for their long delaying bridges and trains.	Nothing was left of the brilliant schemes of the historic Legislature of eighteen thirty six but a load of debt which crippled for many years the energies of the people, a few miles of embankments which the grass hastened to cover, and a few abutments which stood for years by the sides of leafy rivers, waiting for their long delaying bridges and trains.
7833_102239_000020_000001	There are those who can see only envy and jealousy in that strong dislike and disapproval with which Mr. Lincoln always regarded his famous rival.	There are those who can see only envy and jealousy in that strong dislike and disapproval with which mr Lincoln always regarded his famous rival.
7833_102239_000020_000004	He held it only long enough to secure a nomination to the Legislature in 1836.	He held it only long enough to secure a nomination to the Legislature in eighteen thirty six.
7833_102239_000020_000006	He held this place as a means of being nominated for Congress the next year; he was nominated and defeated.	He held this place as a means of being nominated for Congress the next year; he was nominated and defeated.
7833_102239_000020_000007	In 1840 he was engaged in another scheme to which we will give a moment's attention, as it resulted in giving him a seat on the Supreme Bench of the State, which he used merely as a perch from which to get into Congress.	In eighteen forty he was engaged in another scheme to which we will give a moment's attention, as it resulted in giving him a seat on the Supreme Bench of the State, which he used merely as a perch from which to get into Congress.
7833_102239_000021_000001	As the aliens were nearly all Democrats, that party insisted on their voting, and the Whigs objected.	As the aliens were nearly all Democrats, that party insisted on their voting, and the Whigs objected.
7833_102239_000021_000002	The best lawyers in the State were Whigs, and so it happened that most of the judges were of that complexion.	The best lawyers in the State were Whigs, and so it happened that most of the judges were of that complexion.
7833_102239_000021_000004	This case was to come on at the June term in 1840, and the Democratic counsel, chief among whom was Mr. Douglas, were in some anxiety, as an unfavorable decision would lose them about ten thousand alien votes in the Presidential election in November.	This case was to come on at the June term in eighteen forty, and the Democratic counsel, chief among whom was mr Douglas, were in some anxiety, as an unfavorable decision would lose them about ten thousand alien votes in the Presidential election in November.
7833_102239_000021_000007	The circuit judges were turned out of office, and five new judges were added to the Supreme Court, who were to perform circuit duty also.	The circuit judges were turned out of office, and five new judges were added to the Supreme Court, who were to perform circuit duty also.
7833_102239_000022_000000	It was useless for the Whigs to try to prevent this degradation of the bench.	It was useless for the Whigs to try to prevent this degradation of the bench.
7833_102239_000022_000001	There was no resource but a protest, and here again Lincoln uttered the voice of the conscience of the party.	There was no resource but a protest, and here again Lincoln uttered the voice of the conscience of the party.
7833_102239_000022_000002	He was joined on this occasion by Edward D. Baker [Footnote: Afterwards senator from Oregon, and as colonel of the 71st Pennsylvania (called the 1st California) killed at Ball's Bluff.] and some others, who protested against the act because	He was joined on this occasion by Edward d Baker [Footnote: Afterwards senator from Oregon, and as colonel of the seventy first Pennsylvania (called the first California) killed at Ball's Bluff.] and some others, who protested against the act because
7833_102239_000023_000000	1st.	first.
7833_102239_000023_000001	It violates the principles of free government by subjecting the Judiciary to the Legislature.	It violates the principles of free government by subjecting the Judiciary to the Legislature.
7833_102239_000024_000001	It is a fatal blow at the independence of the judges and the constitutional term of their offices.	It is a fatal blow at the independence of the judges and the constitutional term of their offices.
7833_102239_000025_000001	It is a measure not asked for or wished for by the people.	It is a measure not asked for or wished for by the people.
7833_102239_000026_000000	4th.	fourth.
7833_102239_000026_000001	It will greatly increase the expense of our courts or else greatly diminish their utility.	It will greatly increase the expense of our courts or else greatly diminish their utility.
7833_102239_000027_000000	5th.	fifth.
7833_102239_000027_000001	It will give our courts a political and partisan character, thereby impairing public confidence in their decisions.	It will give our courts a political and partisan character, thereby impairing public confidence in their decisions.
7833_102239_000028_000000	6th.	sixth.
7833_102239_000028_000001	It will impair our standing with other States and the world.	It will impair our standing with other States and the world.
7833_102239_000029_000000	7th.	seventh.
7833_102239_000029_000001	It is a party measure for party purposes from which no practical good to the people can possibly arise, but which may be the source of immeasurable evils.	It is a party measure for party purposes from which no practical good to the people can possibly arise, but which may be the source of immeasurable evils.
7833_102239_000030_000000	The undersigned are well aware that this protest will be altogether unavailing with the majority of this body.	The undersigned are well aware that this protest will be altogether unavailing with the majority of this body.
7833_102239_000032_000002	Many and most of the judges have had great personal popularity--so much so as to create complaint of so many of them being elected or appointed to other offices.	Many and most of the judges have had great personal popularity-so much so as to create complaint of so many of them being elected or appointed to other offices.
