3328_168638_000000_000000	When darkness came on, he descended and carefully scrutinized both sides of the boulevard.	When darkness came on, he descended and carefully scrutinized both sides of the boulevard.	false	2.73	11.94	21.37832
3328_168638_000013_000002	Moreover,--and this is a remark to which we shall frequently have occasion to recur,--she had grown used, without being herself aware of it, to the peculiarities of this good man and to the freaks of destiny.	Moreover,--and this is a remark to which we shall frequently have occasion to recur,--she had grown used, without being herself aware of it, to the peculiarities of this good man and to the freaks of destiny.	true	301.31	316.21	20
3328_168638_000013_000003	And then she was with him, and she felt safe.	And then she was with him, and she felt safe.	true	316.67	320.26	20.018335
3328_168638_000014_000000	Jean Valjean knew no more where he was going than did Cosette.	Jean Valjean knew no more where he was going than did Cosette.	true	321.29	325.15	12
3328_168638_000014_000001	He trusted in God, as she trusted in him.	He trusted in God, as she trusted in him.	true	325.37	328.66	14
3328_168638_000014_000002	It seemed as though he also were clinging to the hand of some one greater than himself; he thought he felt a being leading him, though invisible.	It seemed as though he also were clinging to the hand of some one greater than himself; he thought he felt a being leading him, though invisible.	true	329.03	339.1	14
3328_168638_000014_000003	However, he had no settled idea, no plan, no project.	However, he had no settled idea, no plan, no project.	true	339.62	343.57	17.707752
3328_168638_000014_000004	He was not even absolutely sure that it was Javert, and then it might have been Javert, without Javert knowing that he was Jean Valjean.	He was not even absolutely sure that it was Javert, and then it might have been Javert, without Javert knowing that he was Jean Valjean.	true	344.18	353.53	13
3328_168638_000014_000005	Was not he disguised?	Was not he disguised?	true	354.59	356.26	23.675455
3328_168638_000014_000006	Was not he believed to be dead?	Was not he believed to be dead?	true	356.33	358.9	19.923277
3328_168638_000014_000007	Still, queer things had been going on for several days.	Still, queer things had been going on for several days.	true	359.36	363.34	17.910635
3328_168638_000014_000008	He wanted no more of them.	He wanted no more of them.	true	364.01	365.76	16.877718
3328_168638_000014_000009	He was determined not to return to the Gorbeau house. Like the wild animal chased from its lair, he was seeking a hole in which he might hide until he could find one where he might dwell.	He was determined not to return to the Gorbeau house. Like the wild animal chased from its lair, he was seeking a hole in which he might hide until he could find one where he might dwell.	true	365.76	379.12	19
3328_168638_000015_000000	Jean Valjean described many and varied labyrinths in the Mouffetard quarter, which was already asleep, as though the discipline of the Middle Ages and the yoke of the curfew still existed; he combined in various manners, with cunning strategy, the Rue Censier and the Rue Copeau, the Rue du Battoir-Saint-Victor and the Rue du Puits l'Ermite. There are lodging houses in this locality, but he did not even enter one, finding nothing which suited him.	Jean Valjean described many and varied labyrinths in the Mouffetard quarter, which was already asleep, as though the discipline of the Middle Ages and the yoke of the curfew still existed; he combined in various manners, with cunning strategy, the Rue Censier and the Rue Copeau, the Rue du Battoir Saint Victor and the Rue du Puits l'Ermite. There are lodging houses in this locality, but he did not even enter one, finding nothing which suited him.	false	379.97	412.21	19.951597
3328_168638_000015_000001	He had no doubt that if any one had chanced to be upon his track, they would have lost it.	He had no doubt that if any one had chanced to be upon his track, they would have lost it.	true	412.25	417.37	19
3328_168638_000016_000000	As eleven o'clock struck from Saint-Etienne-du-Mont, he was traversing the Rue de Pontoise, in front of the office of the commissary of police, situated at No. 14.	As eleven o'clock struck from Saint Etienne du Mont, he was traversing the Rue de Pontoise, in front of the office of the commissary of police, situated at no fourteen.	false	418.22	430.48	16
3328_168638_000016_000001	A few moments later, the instinct of which we have spoken above made him turn round.	A few moments later, the instinct of which we have spoken above made him turn round.	true	430.88	436.75	19
3328_168638_000016_000002	At that moment he saw distinctly, thanks to the commissary's lantern, which betrayed them, three men who were following him closely, pass, one after the other, under that lantern, on the dark side of the street.	At that moment he saw distinctly, thanks to the commissary's lantern, which betrayed them, three men who were following him closely, pass, one after the other, under that lantern, on the dark side of the street.	true	437.36	449.53	14
3328_168638_000016_000003	One of the three entered the alley leading to the commissary's house.	One of the three entered the alley leading to the commissary's house.	true	450.29	454.36	11
3328_168638_000016_000004	The one who marched at their head struck him as decidedly suspicious.	The one who marched at their head struck him as decidedly suspicious.	true	454.82	459.28	13
3328_168638_000017_000000	"Come, child," he said to Cosette; and he made haste to quit the Rue Pontoise.	"Come, child," he said to Cosette; and he made haste to quit the Rue Pontoise.	false	460.82	469.32	21.365786
3328_168638_000018_000000	He took a circuit, turned into the Passage des Patriarches, which was closed on account of the hour, strode along the Rue de l'Epee-de-Bois and the Rue de l'Arbalete, and plunged into the Rue des Postes.	He took a circuit, turned into the Passage des Patriarches, which was closed on account of the hour, strode along the Rue de l'Epee de Bois and the Rue de l'Arbalete, and plunged into the Rue des Postes.	false	469.32	485.08	18
3328_168638_000019_000000	At that time there was a square formed by the intersection of streets, where the College Rollin stands to-day, and where the Rue Neuve-Sainte-Genevieve turns off.	At that time there was a square formed by the intersection of streets, where the College Rollin stands to day, and where the Rue Neuve Sainte Genevieve turns off.	false	486.26	500.65	18.414469
3328_168638_000020_000000	It is understood, of course, that the Rue Neuve-Sainte-Genevieve is an old street, and that a posting-chaise does not pass through the Rue des Postes once in ten years.	It is understood, of course, that the Rue Neuve Sainte Genevieve is an old street, and that a posting chaise does not pass through the Rue des Postes once in ten years.	false	501.68	512.95	14
3328_168638_000020_000001	In the thirteenth century this Rue des Postes was inhabited by potters, and its real name is Rue des Pots.	In the thirteenth century this Rue des Postes was inhabited by potters, and its real name is Rue des Pots.	false	513.86	524.04	19.224062
3328_168638_000021_000000	The moon cast a livid light into this open space.	The moon cast a livid light into this open space.	true	524.04	527.65	13
3328_168638_000021_000001	Jean Valjean went into ambush in a doorway, calculating that if the men were still following him, he could not fail to get a good look at them, as they traversed this illuminated space.	Jean Valjean went into ambush in a doorway, calculating that if the men were still following him, he could not fail to get a good look at them, as they traversed this illuminated space.	false	528.08	540.43	18
3328_168638_000022_000000	In point of fact, three minutes had not elapsed when the men made their appearance.	In point of fact, three minutes had not elapsed when the men made their appearance.	true	541.49	546.54	16
3328_168638_000022_000001	There were four of them now.	There were four of them now.	false	546.54	548.41	14.342883
3328_168638_000022_000002	All were tall, dressed in long, brown coats, with round hats, and huge cudgels in their hands.	All were tall, dressed in long, brown coats, with round hats, and huge cudgels in their hands.	true	548.93	555.64	12
3328_168638_000022_000003	Their great stature and their vast fists rendered them no less alarming than did their sinister stride through the darkness.	Their great stature and their vast fists rendered them no less alarming than did their sinister stride through the darkness.	true	555.71	563.53	13
3328_168638_000022_000004	One would have pronounced them four spectres disguised as bourgeois.	One would have pronounced them four spectres disguised as bourgeois.	true	563.81	568.96	19
3328_168638_000023_000000	They halted in the middle of the space and formed a group, like men in consultation.	They halted in the middle of the space and formed a group, like men in consultation.	true	569.96	575.47	17
3328_168638_000023_000001	They had an air of indecision.	They had an air of indecision.	true	575.84	577.72	13.498533
3328_168638_000023_000002	The one who appeared to be their leader turned round and pointed hastily with his right hand in the direction which Jean Valjean had taken; another seemed to indicate the contrary direction with considerable obstinacy.	The one who appeared to be their leader turned round and pointed hastily with his right hand in the direction which Jean Valjean had taken; another seemed to indicate the contrary direction with considerable obstinacy.	true	578.33	591.37	13
3328_168638_000023_000003	At the moment when the first man wheeled round, the moon fell full in his face.	At the moment when the first man wheeled round, the moon fell full in his face.	true	592.13	597.19	13
3328_168638_000023_000004	Jean Valjean recognized Javert perfectly.	Jean Valjean recognized Javert perfectly.	false	597.5	608.91	21.15507
