6538_81858_000002_000000	CHAPTER XVI.	CHAPTER sixteen.
6538_81858_000031_000003	Continual reinforcements came to the North throughout the night, not a soldier came to the South.	Continual reinforcements came to the North throughout the night, not a soldier came to the South.
6538_81858_000031_000004	Beauregard, at dawn, would have to face twice his numbers, at least half of whom were fresh troops.	Beauregard, at dawn, would have to face twice his numbers, at least half of whom were fresh troops.
6538_81858_000032_000001	The others, however, summoned their courage anew, and passed the whole night arranging their forces, cheering the men, and preparing for the morn. Their scouts and skirmishers kept watch on the Northern camp, and the Southerners believed that while they had whipped only one army the day before, they could whip two on the morrow.	The others, however, summoned their courage anew, and passed the whole night arranging their forces, cheering the men, and preparing for the morn. Their scouts and skirmishers kept watch on the Northern camp, and the Southerners believed that while they had whipped only one army the day before, they could whip two on the morrow.
6538_81858_000033_000001	The nerves, drawn so tightly by the day's work, were not yet relaxed wholly.	The nerves, drawn so tightly by the day's work, were not yet relaxed wholly.
6538_81858_000033_000005	The deep river, although it was on their flank, seemed to flow as a barrier against the foe, and it was, in fact, a barrier more and more, as without its command the second Union army could never have come to the relief of the first.	The deep river, although it was on their flank, seemed to flow as a barrier against the foe, and it was, in fact, a barrier more and more, as without its command the second Union army could never have come to the relief of the first.
6538_81858_000034_000000	Dick, after a while, saw Colonel Winchester, and other officers near him.	Dick, after a while, saw Colonel Winchester, and other officers near him.
6538_81858_000034_000001	They were talking of their losses.	They were talking of their losses.
6538_81858_000036_000002	Their pulses became stronger, and the blood flowed in a quickened torrent through their veins.	Their pulses became stronger, and the blood flowed in a quickened torrent through their veins.
6538_81858_000038_000001	Grant, his face an expressionless mask, presided, and said but little.	Grant, his face an expressionless mask, presided, and said but little.
6538_81858_000038_000003	The three men upon whom most rested were very taciturn that night, but it is likely that extraordinary thoughts were passing in the minds of every one of the three.	The three men upon whom most rested were very taciturn that night, but it is likely that extraordinary thoughts were passing in the minds of every one of the three.
6538_81858_000039_000000	Grant, after a day in which any one of a dozen chances would have wrecked him, must have concluded that in very deed and truth he was the favorite child of Fortune.	Grant, after a day in which any one of a dozen chances would have wrecked him, must have concluded that in very deed and truth he was the favorite child of Fortune.
6538_81858_000041_000000	Dick, not having slept any the night before, and having passed through a day of fierce battle, was overcome after midnight, and sank into a sleep that was mere lethargy.	Dick, not having slept any the night before, and having passed through a day of fierce battle, was overcome after midnight, and sank into a sleep that was mere lethargy.
6538_81858_000041_000001	He awoke once before dawn and remembered, but vaguely, all that had happened.	He awoke once before dawn and remembered, but vaguely, all that had happened.
6538_81858_000041_000002	Yet he was conscious that there was much movement in the forest.	Yet he was conscious that there was much movement in the forest.
6538_81858_000042_000000	He was awakened by the call of a trumpet, and, as he rose, he saw the whole regiment or rather, what was left of it, rising with him.	He was awakened by the call of a trumpet, and, as he rose, he saw the whole regiment or rather, what was left of it, rising with him.
6538_81858_000043_000000	Colonel Winchester beckoned to him.	Colonel Winchester beckoned to him.
6538_81858_000044_000000	"All right this morning, Dick?" he said.	"All right this morning, Dick?" he said.
6538_81858_000046_000000	"And you, too, Warner and Pennington?"	"And you, too, Warner and Pennington?"
6538_81858_000048_000000	"Then keep close beside me.	"Then keep close beside me.
