6538_81858_000000_000000	Bragg was preparing to hurl his entire force upon Sherman and the battery.	Bragg was preparing to hurl his entire force upon Sherman and the battery.	false	0	2.7	19.586401
6538_81858_000010_000000	"No, Dick, my boy, none for the present," replied the colonel, a little sadly.	"No, Dick, my boy, none for the present," replied the colonel, a little sadly.	true	173.27	176.95	19.548609
6538_81858_000010_000001	"Half of my poor regiment is killed or wounded, and the rest are so exhausted that they are barely able to move.	"Half of my poor regiment is killed or wounded, and the rest are so exhausted that they are barely able to move.	true	177.47	183.34	18.510645
6538_81858_000010_000002	But they fought magnificently, Dick!	But they fought magnificently, Dick!	true	184.34	186.61	21.390953
6538_81858_000010_000003	They had to, or be crushed!	They had to, or be crushed!	true	186.83	188.56	28.67285
6538_81858_000010_000004	It is only here that we have withstood the rush of the Southern army, and it is probable that we, too, would have gone had not night come to our help."	It is only here that we have withstood the rush of the Southern army, and it is probable that we, too, would have gone had not night come to our help."	true	188.63	195.19	20.886818
6538_81858_000011_000000	"Then we have been beaten?"	"Then we have been beaten?"	true	195.83	196.99	17.73992
6538_81858_000012_000000	"Yes, Dick, we have been beaten, and beaten badly.	"Yes, Dick, we have been beaten, and beaten badly.	true	197.81	200.62	20.246534
6538_81858_000012_000001	It was the surprise that did it.	It was the surprise that did it.	true	200.72	202.3	24.346796
6538_81858_000012_000002	How on earth we could have let the Southern army creep upon us and strike unaware I don't understand.	How on earth we could have let the Southern army creep upon us and strike unaware I don't understand.	true	202.67	207.46	18
6538_81858_000012_000003	But Dick, my boy, there will be another battle tomorrow, and it may tell a different tale.	But Dick, my boy, there will be another battle tomorrow, and it may tell a different tale.	true	207.92	212.2	19
6538_81858_000012_000004	Some prisoners whom we have taken say that Johnston has been killed, and Beauregard is no such leader as he."	Some prisoners whom we have taken say that Johnston has been killed, and Beauregard is no such leader as he."	true	212.54	217.68	16
6538_81858_000013_000000	"Will the army of General Buell reach us tonight?"	"Will the army of General Buell reach us tonight?"	false	217.68	221.05	18.693045
6538_81858_000014_000000	"Buell, himself, is here.	"Buell, himself, is here.	true	221.69	223.48	18.192627
6538_81858_000014_000001	He has been with Grant for some time, and all his brigades are marching at the double quick.	He has been with Grant for some time, and all his brigades are marching at the double quick.	true	223.67	227.62	19.093416
6538_81858_000014_000002	Lew Wallace arrived less than half an hour ago with seven thousand men fresh and eager for battle.	Lew Wallace arrived less than half an hour ago with seven thousand men fresh and eager for battle.	true	227.96	232.81	17
6538_81858_000014_000003	Dick!	Dick!	true	233.09	233.775	39.57638
6538_81858_000014_000004	Dick, my boy, we'll have forty thousand new troops on the field at the next dawn, and before God we'll wipe out the disgrace of today!	Dick, my boy, we'll have forty thousand new troops on the field at the next dawn, and before God we'll wipe out the disgrace of today!	true	233.775	240.25	21
6538_81858_000014_000005	Listen to the big guns from the boats as they speak at intervals! Why, I can understand the very words they speak!	Listen to the big guns from the boats as they speak at intervals! Why, I can understand the very words they speak!	true	240.89	246.67	21.803602
6538_81858_000014_000006	They are saying to the Southern army: 'Look out!	They are saying to the Southern army: 'Look out!	true	246.77	249.315	22.929586
6538_81858_000014_000007	Look out!	Look out!	true	249.315	250.38	31.19344
6538_81858_000014_000008	We're coming in the morning, and it's we who'll attack now!'"	We're coming in the morning, and it's we who'll attack now!'"	true	250.38	253.24	16
6538_81858_000015_000000	Dick saw that Colonel Winchester himself was excited.	Dick saw that Colonel Winchester himself was excited.	false	254.39	257.35	23.644817
6538_81858_000015_000001	The pupils of his eyes were dilated, and a red spot glowed in either cheek.	The pupils of his eyes were dilated, and a red spot glowed in either cheek.	false	257.54	261.31	19.262142
6538_81858_000015_000002	Like all the other officers he was stung by the surprise and defeat, and he could barely wait for the morning and revenge.	Like all the other officers he was stung by the surprise and defeat, and he could barely wait for the morning and revenge.	false	261.59	267.28	15
6538_81858_000016_000000	Colonel Winchester walked away to a council that had been called, and Dick turned to Pennington and Warner, who were not hurt, save for slight wounds.	Colonel Winchester walked away to a council that had been called, and Dick turned to Pennington and Warner, who were not hurt, save for slight wounds.	true	268.28	275.5	22.916515
6538_81858_000016_000001	Warner had recovered his poise, and was soon as calm and dry as ever.	Warner had recovered his poise, and was soon as calm and dry as ever.	true	276.02	279.7	19.759348
6538_81858_000017_000000	"Dick," he said, "we're some distance from where we started this morning.	"Dick," he said, "we're some distance from where we started this morning.	true	280.37	284.02	24.880342
6538_81858_000017_000001	There's nothing like being shoved along when you don't want to go.	There's nothing like being shoved along when you don't want to go.	true	284.24	286.98	20
6538_81858_000017_000002	The next time they tell me there's nothing in a thicket I expect to search it and find a rebel army at least a hundred thousand strong right in the middle of it."	The next time they tell me there's nothing in a thicket I expect to search it and find a rebel army at least a hundred thousand strong right in the middle of it."	false	286.98	293.77	23.65923
6538_81858_000018_000000	"How large do you suppose the Southern army was?" asked Pennington.	"How large do you suppose the Southern army was?" asked Pennington.	true	295.1	298.3	20.642647
6538_81858_000019_000000	"I had a number of looks at it," replied Warner, "and I should say from the way it acted that it numbered at least three million men.	"I had a number of looks at it," replied Warner, "and I should say from the way it acted that it numbered at least three million men.	true	298.85	304.6	19
6538_81858_000019_000001	I know that at times not less than ten thousand were aiming their rifles at my own poor and unworthy person.	I know that at times not less than ten thousand were aiming their rifles at my own poor and unworthy person.	true	305.12	310.36	17
6538_81858_000019_000002	What a waste of energy for so many men to shoot at me all at once.	What a waste of energy for so many men to shoot at me all at once.	true	310.88	314.2	19.491806
6538_81858_000019_000003	I wish the Johnnies would go away and let us alone!"	I wish the Johnnies would go away and let us alone!"	true	314.93	317.86	16.067492
6538_81858_000020_000000	The last words were high-pitched and excited.	The last words were high pitched and excited.	true	318.47	320.89	23.30645
6538_81858_000020_000001	His habitual self-control broke down for a moment, and the tremendous excitement and nervous tension of the day found vent in his voice.	His habitual self control broke down for a moment, and the tremendous excitement and nervous tension of the day found vent in his voice.	true	320.99	327.07	16
6538_81858_000020_000002	But in a few seconds he recovered himself and looked rather ashamed.	But in a few seconds he recovered himself and looked rather ashamed.	true	327.71	330.79	20.889704
6538_81858_000021_000000	"Boys," he said, "I apologize."	"Boys," he said, "I apologize."	true	331.55	334.06	22.165632
6538_81858_000022_000000	"You needn't," said Pennington.	"You needn't," said Pennington.	false	335.09	336.73	23.027205
6538_81858_000022_000001	"There have been times today when I felt brave as a lion, and lots of other times I was scared most to death. It would have helped me a lot then, if I could have opened my mouth and yelled at the top of my voice."	"There have been times today when I felt brave as a lion, and lots of other times I was scared most to death. It would have helped me a lot then, if I could have opened my mouth and yelled at the top of my voice."	true	337.1	345.94	22.381357
6538_81858_000023_000000	Sergeant Daniel Whitley was leaning against a stump, and while he was calmly lighting a pipe he regarded the three boys with a benevolent gaze.	Sergeant Daniel Whitley was leaning against a stump, and while he was calmly lighting a pipe he regarded the three boys with a benevolent gaze.	true	346.7	353.26	16.92153
6538_81858_000024_000000	"None of you need be ashamed of bein' scared," he said.	"None of you need be ashamed of bein' scared," he said.	true	354.17	357.19	18.974716
6538_81858_000024_000001	"I've been in a lot of fights myself, though all of them were mere skirmishes when put alongside of this, an' I've been scared a heap today.	"I've been in a lot of fights myself, though all of them were mere skirmishes when put alongside of this, an' I've been scared a heap today.	false	358.01	364.93	20.160479
6538_81858_000024_000002	I've been scared for myself, an' I've been scared for the regiment, an' I've been scared for the whole army, an' I've been scared on general principles, but here we are, alive an' kickin', an' we ought to feel powerful thankful for that."	I've been scared for myself, an' I've been scared for the regiment, an' I've been scared for the whole army, an' I've been scared on general principles, but here we are, alive an' kickin', an' we ought to feel powerful thankful for that."	true	365.33	376.21	20.518612
6538_81858_000025_000000	"We are," said Dick.	"We are," said Dick.	true	377.03	378.43	17.45031
6538_81858_000025_000001	Then he rubbed his head as if some sudden thought had occurred to him.	Then he rubbed his head as if some sudden thought had occurred to him.	false	378.53	381.67	20.417538
6538_81858_000026_000000	"What is it, Dick?" asked Warner.	"What is it, Dick?" asked Warner.	true	382.16	384.1	23.120552
6538_81858_000027_000000	"I've realized all at once that I'm tremendously hungry.	"I've realized all at once that I'm tremendously hungry.	false	384.68	387.61	16
6538_81858_000027_000001	The Confederates broke up our breakfast.	The Confederates broke up our breakfast.	true	388.01	390.01	24.094923
6538_81858_000027_000002	We never had time to think of dinner, and now its nothing to eat."	We never had time to think of dinner, and now its nothing to eat."	true	390.17	393.22	25.173422
6538_81858_000028_000000	"Me, too," said Pennington.	"Me, too," said Pennington.	true	393.92	395.44	22.667656
6538_81858_000028_000001	"If you were to hit me in the stomach I'd give back a hollow sound like a drum.	"If you were to hit me in the stomach I'd give back a hollow sound like a drum.	true	395.54	399.01	20
6538_81858_000028_000002	Why don't somebody ring the supper bell?"	Why don't somebody ring the supper bell?"	true	399.38	401.41	20.912436
6538_81858_000029_000000	But fires were soon lighted along their whole front, and provisions were brought up from the rear and from the steamers.	But fires were soon lighted along their whole front, and provisions were brought up from the rear and from the steamers.	true	402.53	407.29	18
6538_81858_000029_000001	The soldiers, feeling their strength returning, ate ravenously.	The soldiers, feeling their strength returning, ate ravenously.	true	407.78	410.77	19.613737
6538_81858_000029_000002	They also talked much of the battle.	They also talked much of the battle.	true	411.2	413.05	28.12216
6538_81858_000029_000003	Many of them were yet under the influence of hysterical excitement.	Many of them were yet under the influence of hysterical excitement.	true	413.36	416.44	19.965027
6538_81858_000029_000004	They told extraordinary stories of the things they had seen and done, and they believed all they told were true.	They told extraordinary stories of the things they had seen and done, and they believed all they told were true.	true	416.6	421.45	19
6538_81858_000029_000005	They ate fiercely, at first almost like wolves, but after a while they resolved into their true state as amiable young human beings and were ashamed of themselves.	They ate fiercely, at first almost like wolves, but after a while they resolved into their true state as amiable young human beings and were ashamed of themselves.	true	421.88	429.97	13
6538_81858_000030_000000	All the while Buell's army of the Ohio was passing over the river and joining Grant's army of the Tennessee.	All the while Buell's army of the Ohio was passing over the river and joining Grant's army of the Tennessee.	true	431.09	436.24	14
6538_81858_000030_000001	Regiment after regiment and brigade after brigade crossed.	Regiment after regiment and brigade after brigade crossed.	true	436.58	439.6	22.076193
6538_81858_000030_000002	The guns that Nelson had been forced to leave behind were also brought up and were taken over with the other batteries.	The guns that Nelson had been forced to leave behind were also brought up and were taken over with the other batteries.	true	439.88	444.82	17
6538_81858_000030_000003	While the shattered remnants of the army of the Tennessee were resting, the fresh army of the Ohio was marching by it in the late hours of the night in order to face the Southern foe in the morning.	While the shattered remnants of the army of the Tennessee were resting, the fresh army of the Ohio was marching by it in the late hours of the night in order to face the Southern foe in the morning.	true	445.28	453.31	13
6538_81858_000031_000000	The Southern army itself lay deep in the woods from which it had driven its enemy.	The Southern army itself lay deep in the woods from which it had driven its enemy.	true	454.4	457.93	19
6538_81858_000031_000001	Always the assailant through the day, its losses had been immense.	Always the assailant through the day, its losses had been immense.	true	458.45	461.77	19
6538_81858_000031_000002	Many thousands had fallen, and no new troops were coming to take their place.	Many thousands had fallen, and no new troops were coming to take their place.	true	462.08	465.85	20
6538_81858_000031_000003	Continual reinforcements came to the North throughout the night, not a soldier came to the South.	Continual reinforcements came to the North throughout the night, not a soldier came to the South.	true	466.52	471.97	23.261978
6538_81858_000031_000004	Beauregard, at dawn, would have to face twice his numbers, at least half of whom were fresh troops.	Beauregard, at dawn, would have to face twice his numbers, at least half of whom were fresh troops.	true	472.52	477.64	20
6538_81858_000032_000000	Another conference was held by the Southern generals in the forest, but now the central figure, the great Johnston, was gone.	Another conference was held by the Southern generals in the forest, but now the central figure, the great Johnston, was gone.	true	478.49	484.57	17
6538_81858_000032_000001	The others, however, summoned their courage anew, and passed the whole night arranging their forces, cheering the men, and preparing for the morn. Their scouts and skirmishers kept watch on the Northern camp, and the Southerners believed that while they had whipped only one army the day before, they could whip two on the morrow.	The others, however, summoned their courage anew, and passed the whole night arranging their forces, cheering the men, and preparing for the morn. Their scouts and skirmishers kept watch on the Northern camp, and the Southerners believed that while they had whipped only one army the day before, they could whip two on the morrow.	true	485.39	500.26	20.749025
6538_81858_000033_000000	Dick and his friends meanwhile were lying on the earth, resting, but not able to sleep.	Dick and his friends meanwhile were lying on the earth, resting, but not able to sleep.	true	501.83	505.99	17.856047
6538_81858_000033_000001	The nerves, drawn so tightly by the day's work, were not yet relaxed wholly.	The nerves, drawn so tightly by the day's work, were not yet relaxed wholly.	true	506.21	510.22	21
6538_81858_000033_000002	A deep apathy seized them all.	A deep apathy seized them all.	true	510.74	512.8	19.696012
6538_81858_000033_000003	Dick, from a high point on which he lay, saw the dark surface of the Tennessee, and the lights on the puffing steamers as they crossed, bearing the Army of the Ohio.	Dick, from a high point on which he lay, saw the dark surface of the Tennessee, and the lights on the puffing steamers as they crossed, bearing the Army of the Ohio.	true	513.44	521.44	19
6538_81858_000033_000004	His mind did not work actively now, but he felt that they were saved.	His mind did not work actively now, but he felt that they were saved.	false	522.14	525.61	20.839167
6538_81858_000033_000005	The deep river, although it was on their flank, seemed to flow as a barrier against the foe, and it was, in fact, a barrier more and more, as without its command the second Union army could never have come to the relief of the first.	The deep river, although it was on their flank, seemed to flow as a barrier against the foe, and it was, in fact, a barrier more and more, as without its command the second Union army could never have come to the relief of the first.	true	526.01	537.19	21.517761
6538_81858_000034_000000	Dick, after a while, saw Colonel Winchester, and other officers near him.	Dick, after a while, saw Colonel Winchester, and other officers near him.	true	538.25	541.9	20
6538_81858_000034_000001	They were talking of their losses.	They were talking of their losses.	true	542.18	543.88	21.050524
6538_81858_000034_000002	They gave the names of many generals and colonels who had been killed.	They gave the names of many generals and colonels who had been killed.	true	544.22	547.3	16.474361
6538_81858_000034_000003	Presently they moved away, and he fell into an uneasy sleep, or rather doze, from which he was awakened after a while by a heavy rumbling sound of a distant cannonade.	Presently they moved away, and he fell into an uneasy sleep, or rather doze, from which he was awakened after a while by a heavy rumbling sound of a distant cannonade.	true	547.67	555.52	14
6538_81858_000035_000000	The boy sprang up, wondering why any one should wish to renew the battle in the middle of the night, and then he saw that it was no battle.	The boy sprang up, wondering why any one should wish to renew the battle in the middle of the night, and then he saw that it was no battle.	true	555.53	562.09	19.939981
6538_81858_000035_000001	The sound was thunder rolling heavily on the southern horizon, and the night had become very dark.	The sound was thunder rolling heavily on the southern horizon, and the night had become very dark.	true	562.4	567.34	18.767153
6538_81858_000035_000002	Vivid flashes of lightning cut the sky, and a strong wind rushed among the trees.	Vivid flashes of lightning cut the sky, and a strong wind rushed among the trees.	true	567.68	571.96	18
6538_81858_000035_000003	Heavy drops of water struck him in the face and then the rain swept down.	Heavy drops of water struck him in the face and then the rain swept down.	true	572.33	576.06	18
6538_81858_000036_000000	Dick did not seek protection from the storm, nor did any of those near him.	Dick did not seek protection from the storm, nor did any of those near him.	false	576.06	580.69	17.941542
6538_81858_000036_000001	The cool drops were grateful to their faces after the heat and strife of the day.	The cool drops were grateful to their faces after the heat and strife of the day.	true	580.97	584.71	19
6538_81858_000036_000002	Their pulses became stronger, and the blood flowed in a quickened torrent through their veins.	Their pulses became stronger, and the blood flowed in a quickened torrent through their veins.	true	585.08	589.42	21
6538_81858_000036_000003	They let it pour upon them, merely seeking to keep their ammunition dry.	They let it pour upon them, merely seeking to keep their ammunition dry.	true	589.94	593.74	19
6538_81858_000037_000000	Ten thousand wounded were yet lying untouched in the forest, but the rain was grateful to them, too.	Ten thousand wounded were yet lying untouched in the forest, but the rain was grateful to them, too.	true	594.95	599.77	17
6538_81858_000037_000001	When they could they turned their fevered faces up to it that it might beat upon them and bring grateful coolness.	When they could they turned their fevered faces up to it that it might beat upon them and bring grateful coolness.	true	600.32	605.26	19
6538_81858_000038_000000	Deep in the night a council like that of the Southern generals was held in the Northern camp, also.	Deep in the night a council like that of the Southern generals was held in the Northern camp, also.	true	606.26	610.63	16
6538_81858_000038_000001	Grant, his face an expressionless mask, presided, and said but little.	Grant, his face an expressionless mask, presided, and said but little.	true	611.3	615.31	21
6538_81858_000038_000002	Buell, Sherman, McClernand, Nelson, Wallace and others, were there, and Buell and Sherman, like their chief, spoke little.	Buell, Sherman, McClernand, Nelson, Wallace and others, were there, and Buell and Sherman, like their chief, spoke little.	false	615.83	622.18	18.885382
6538_81858_000038_000003	The three men upon whom most rested were very taciturn that night, but it is likely that extraordinary thoughts were passing in the minds of every one of the three.	The three men upon whom most rested were very taciturn that night, but it is likely that extraordinary thoughts were passing in the minds of every one of the three.	true	622.67	630.28	21
6538_81858_000039_000000	Grant, after a day in which any one of a dozen chances would have wrecked him, must have concluded that in very deed and truth he was the favorite child of Fortune.	Grant, after a day in which any one of a dozen chances would have wrecked him, must have concluded that in very deed and truth he was the favorite child of Fortune.	true	630.98	639.04	20
6538_81858_000039_000001	When one is saved again and again from the very verge he begins to believe that failure is impossible, and in that very belief lies the greatest guard against failure.	When one is saved again and again from the very verge he begins to believe that failure is impossible, and in that very belief lies the greatest guard against failure.	true	639.62	648.07	19.976158
6538_81858_000040_000000	It is said of Grant that in the night after his great defeat around the church of Shiloh, he was still confident, that he told his generals they would certainly win on the morrow, and he reminded them that if the Union army had suffered terribly, the Southern army must have suffered almost equally so, and would face them at dawn with numbers far less than their own.	It is said of Grant that in the night after his great defeat around the church of Shiloh, he was still confident, that he told his generals they would certainly win on the morrow, and he reminded them that if the Union army had suffered terribly, the Southern army must have suffered almost equally so, and would face them at dawn with numbers far less than their own.	false	649.01	664.93	19
6538_81858_000040_000001	He had not displayed the greatest skill, but he had shown the greatest moral courage, and now on the night between battles it was that quality that was needed most.	He had not displayed the greatest skill, but he had shown the greatest moral courage, and now on the night between battles it was that quality that was needed most.	false	665.54	673.33	19.734907
6538_81858_000041_000000	Dick, not having slept any the night before, and having passed through a day of fierce battle, was overcome after midnight, and sank into a sleep that was mere lethargy.	Dick, not having slept any the night before, and having passed through a day of fierce battle, was overcome after midnight, and sank into a sleep that was mere lethargy.	true	674.21	682.36	20
6538_81858_000041_000001	He awoke once before dawn and remembered, but vaguely, all that had happened.	He awoke once before dawn and remembered, but vaguely, all that had happened.	true	683	686.8	21
6538_81858_000041_000002	Yet he was conscious that there was much movement in the forest.	Yet he was conscious that there was much movement in the forest.	true	687.5	690.28	24.539112
6538_81858_000041_000003	He heard the tread of many feet, the sound of commands, the neigh of horses and the rumbling of cannon wheels.	He heard the tread of many feet, the sound of commands, the neigh of horses and the rumbling of cannon wheels.	true	690.56	695.41	16
6538_81858_000041_000004	The Army of the Ohio was passing to the exposed flank of the Army of the Tennessee and at dawn it would all be in line.	The Army of the Ohio was passing to the exposed flank of the Army of the Tennessee and at dawn it would all be in line.	false	695.78	701.41	16
6538_81858_000041_000005	He also caught flitting glimpses of the Tennessee, and of the steamers loaded with troops still crossing, and he heard the boom of the heavy cannon on the gunboats which still, at regular and short intervals, sent huge shells curving into the forest toward the camp of the Southern army.	He also caught flitting glimpses of the Tennessee, and of the steamers loaded with troops still crossing, and he heard the boom of the heavy cannon on the gunboats which still, at regular and short intervals, sent huge shells curving into the forest toward the camp of the Southern army.	false	702.14	715.44	18
6538_81858_000041_000006	He also saw near him Warner and Pennington sound asleep on the ground, and then he sank back into his own lethargic slumber.	He also saw near him Warner and Pennington sound asleep on the ground, and then he sank back into his own lethargic slumber.	false	715.44	722.71	23.013823
6538_81858_000042_000000	He was awakened by the call of a trumpet, and, as he rose, he saw the whole regiment or rather, what was left of it, rising with him.	He was awakened by the call of a trumpet, and, as he rose, he saw the whole regiment or rather, what was left of it, rising with him.	true	724.4	730.6	20
6538_81858_000042_000001	It was not yet dawn, and a light rain was falling, but smoldering fires disclosed the ground for some distance, and also the river on which the gunboats and transports were now gathered in a fleet.	It was not yet dawn, and a light rain was falling, but smoldering fires disclosed the ground for some distance, and also the river on which the gunboats and transports were now gathered in a fleet.	true	731.3	740.59	19.220686
6538_81858_000043_000000	Colonel Winchester beckoned to him.	Colonel Winchester beckoned to him.	true	741.32	743.11	22.766317
6538_81858_000044_000000	"All right this morning, Dick?" he said.	"All right this morning, Dick?" he said.	true	743.6	745.78	26.392044
6538_81858_000045_000000	"Yes, sir; I'm ready for my duty."	"Yes, sir; I'm ready for my duty."	true	746.39	748.54	19.095922
6538_81858_000046_000000	"And you, too, Warner and Pennington?"	"And you, too, Warner and Pennington?"	true	749.48	751.6	23.61559
6538_81858_000047_000000	"We are, sir," they replied together.	"We are, sir," they replied together.	false	752.33	755.85	19.027878
6538_81858_000048_000000	"Then keep close beside me.	"Then keep close beside me.	true	755.85	757.33	26.067654
6538_81858_000048_000001	I don't know when I may want you for a message.	I don't know when I may want you for a message.	false	757.46	759.49	19.037457
6538_81858_000048_000002	Daybreak will be here in a half hour.	Daybreak will be here in a half hour.	false	759.71	761.56	23.978674
6538_81858_000048_000003	The entire Army of the Ohio, led by General Buell in person will be in position then or very shortly afterward, and a new, and, we hope, a very different battle will begin."	The entire Army of the Ohio, led by General Buell in person will be in position then or very shortly afterward, and a new, and, we hope, a very different battle will begin."	true	761.87	770.71	18
6538_81858_000049_000000	Food and coffee were served to the men, and while the rain was still falling they formed in line and awaited the dawn.	Food and coffee were served to the men, and while the rain was still falling they formed in line and awaited the dawn.	true	771.8	776.74	15
6538_81858_000049_000001	The desire to retrieve their fortunes was as strong among the farmer lads as it was among the officers who took care to spread among them the statement that Buell's army alone was as numerous as the Southern force, and probably more numerous since their enemy must have sustained terrible losses.	The desire to retrieve their fortunes was as strong among the farmer lads as it was among the officers who took care to spread among them the statement that Buell's army alone was as numerous as the Southern force, and probably more numerous since their enemy must have sustained terrible losses.	true	777.5	791.5	16
6538_81858_000049_000002	Thus they stood patiently, while the rain thinned and the sun at last showed a red edge through floating clouds.	Thus they stood patiently, while the rain thinned and the sun at last showed a red edge through floating clouds.	false	792.11	806.34	17.972744
