5246_30101_000004_000000	PEGGY PRESENTS HIS BILL.	PEGGY PRESENTS HIS BILL.
5246_30101_000008_000006	When the bill was made out and figured up it left him a magnificent surplus for his private account; but at the last his heart failed him, and he made out another bill more modest in its extortions. He had brought them both along, though, one in each pocket, vacillating between them as he thought first of the Merrick millions and then of the righteous anger he might incur.	When the bill was made out and figured up it left him a magnificent surplus for his private account; but at the last his heart failed him, and he made out another bill more modest in its extortions. He had brought them both along, though, one in each pocket, vacillating between them as he thought first of the Merrick millions and then of the righteous anger he might incur.
5246_30101_000008_000007	By the time Uncle John came out to him, smiling and cordial, he had not thoroughly made up his mind which account to present.	By the time Uncle john came out to him, smiling and cordial, he had not thoroughly made up his mind which account to present.
5246_30101_000010_000000	McNutt was reassured.	McNutt was reassured.
5246_30101_000011_000000	"I tried fer to do my best, sir," he said.	"I tried fer to do my best, sir," he said.
5246_30101_000012_000001	"I hope you kept your expenditures well within bounds?"	"I hope you kept your expenditures well within bounds?"
5246_30101_000013_000001	Even millionaires do not allow themselves to be swindled, if they can help it.	Even millionaires do not allow themselves to be swindled, if they can help it.
5246_30101_000014_000000	"Most things is high in Millville," he faltered, "an' wages has gone up jest terr'ble.	"Most things is high in Millville," he faltered, "an' wages has gone up jest terr'ble.
5246_30101_000014_000001	The boys don't seem to wanter do nuthin' without big pay."	The boys don't seem to wanter do nuthin' without big pay."
5246_30101_000015_000000	"That is the case everywhere," responded Mr. Merrick, thoughtfully; "and between us, McNutt, I'm glad wages are better in these prosperous times. The man who works by the day should be well paid, for he has to pay well for his living.	"That is the case everywhere," responded mr Merrick, thoughtfully; "and between us, McNutt, I'm glad wages are better in these prosperous times. The man who works by the day should be well paid, for he has to pay well for his living.
5246_30101_000015_000001	Adequately paid labor is the foundation of all prosperity."	Adequately paid labor is the foundation of all prosperity."
5246_30101_000016_000000	Peggy smiled cheerfully.	Peggy smiled cheerfully.
5246_30101_000018_000000	"I suppose they overcharged you because a city man wanted the animals. But of course you would not allow me to be robbed."	"I suppose they overcharged you because a city man wanted the animals. But of course you would not allow me to be robbed."
5246_30101_000021_000002	As it was now too late to add it to the bill he replied, grudgingly:	As it was now too late to add it to the bill he replied, grudgingly:
5246_30101_000024_000001	She carried a book, but did not open it.	She carried a book, but did not open it.
5246_30101_000025_000000	"Ain't much to tell, sir, 'bout them folks," replied the agent.	"Ain't much to tell, sir, 'bout them folks," replied the agent.
5246_30101_000032_000000	"Nice boy?" asked Uncle John.	"Nice boy?" asked Uncle john.
5246_30101_000034_000000	Uncle John seemed thoughtful, but asked no more questions, and McNutt appeared to be relieved that he refrained.	Uncle john seemed thoughtful, but asked no more questions, and McNutt appeared to be relieved that he refrained.
5246_30101_000036_000000	This was said so sternly that it sent McNutt into an ague of terror.	This was said so sternly that it sent McNutt into an ague of terror.
5246_30101_000037_000000	"It's--it's--a--'count of what I spent out," he stammered.	"It's-it's-a-'count of what I spent out," he stammered.
5246_30101_000039_000000	"What are Plymouth Rocks?" he demanded.	"What are Plymouth Rocks?" he demanded.
5246_30101_000041_000000	"Hens at a dollar apiece?"	"Hens at a dollar apiece?"
5246_30101_000042_000000	"Thoroughbreds, sir.	"Thoroughbreds, sir.
5246_30101_000042_000001	Extry fine stock.	Extry fine stock.
5246_30101_000042_000002	I raised 'em myself."	I raised 'em myself."
5246_30101_000043_000001	You've charged them twice."	You've charged them twice."
5246_30101_000045_000000	"Here's an item: 'Twelve Plymouth Rocks, twelve dollars;' and farther down: 'Twelve Plymouth Rocks, eighteen dollars.'"	"Here's an item: 'Twelve Plymouth Rocks, twelve dollars;' and farther down: 'Twelve Plymouth Rocks, eighteen dollars.'"
5246_30101_000047_000000	"Are they here?"	"Are they here?"
5246_30101_000049_000000	"Very good.	"Very good.
5246_30101_000049_000001	I'm glad to have them.	I'm glad to have them.
5246_30101_000049_000002	The cow seems reasonably priced, for a Jersey."	The cow seems reasonably priced, for a Jersey."
5246_30101_000050_000000	"It is.	"It is.
5246_30101_000051_000001	I am very much pleased.	I am very much pleased.
5246_30101_000051_000002	There seems to be a hundred and forty dollars my due, remaining from the five hundred I sent you."	There seems to be a hundred and forty dollars my due, remaining from the five hundred I sent you."
5246_30101_000052_000000	"Here it is, sir," responded McNutt, taking the money from his pocket-book.	"Here it is, sir," responded McNutt, taking the money from his pocket book.
5246_30101_000053_000000	Uncle John took the money.	Uncle john took the money.
5246_30101_000054_000000	"You are an honest fellow, McNutt," said he.	"You are an honest fellow, McNutt," said he.
5246_30101_000054_000001	"I hadn't expected a dollar back, for folks usually take advantage of a stranger if he gives them half a chance.	"I hadn't expected a dollar back, for folks usually take advantage of a stranger if he gives them half a chance.
5246_30101_000054_000002	So I thank you for your honesty as well as for your services.	So I thank you for your honesty as well as for your services.
5246_30101_000055_000000	The agent was thoroughly ashamed of himself.	The agent was thoroughly ashamed of himself.
5246_30101_000055_000002	A hundred and forty dollars; When would he have a chance to get such a windfall again?	A hundred and forty dollars; When would he have a chance to get such a windfall again?
5246_30101_000057_000000	"Didn't the man rob you, Uncle?" asked Louise, when the agent had disappeared.	"Didn't the man rob you, Uncle?" asked Louise, when the agent had disappeared.
5246_30101_000058_000000	"Yes, dear; but I wouldn't give him the satisfaction of knowing I realized it."	"Yes, dear; but I wouldn't give him the satisfaction of knowing I realized it."
5246_30101_000059_000000	"That was what I thought.	"That was what I thought.
5246_30101_000060_000000	"Mystery!" cried Uncle John.	"Mystery!" cried Uncle john.
5246_30101_000060_000002	You've been readin' too many novels.	You've been readin' too many novels.
5246_30101_000060_000003	Romances don't grow in parts like these."	Romances don't grow in parts like these."
5246_30101_000061_000000	"But I think this is where they are most likely to grow, Uncle," persisted the girl, "just consider.	"But I think this is where they are most likely to grow, Uncle," persisted the girl, "just consider.
5246_30101_000061_000001	A retired sea captain hides inland, with no companions but a grinning sailor and his blind housekeeper --except his pale wife, of course; and she is described as sad and unhappy.	A retired sea captain hides inland, with no companions but a grinning sailor and his blind housekeeper --except his pale wife, of course; and she is described as sad and unhappy.
5246_30101_000062_000000	"I don't think," said Uncle John, smiling and patting the fair check of his niece.	"I don't think," said Uncle john, smiling and patting the fair check of his niece.
5246_30101_000063_000000	"I'm sure it does.	"I'm sure it does.
5246_30101_000063_000001	It is the key to the whole mystery.	It is the key to the whole mystery.
5246_30101_000063_000003	Even the fine house the Captain built failed to interest her.	Even the fine house the Captain built failed to interest her.
5246_30101_000064_000000	"And that finished the romance, Louise."	"And that finished the romance, Louise."
5246_30101_000065_000001	The boy grew up in this dismal place and brooded on his mother's wrongs.	The boy grew up in this dismal place and brooded on his mother's wrongs.
5246_30101_000065_000002	His stern, sulky old father died suddenly.	His stern, sulky old father died suddenly.
5246_30101_000066_000000	"Figglepiff, Louise!	"Figglepiff, Louise!
5246_30101_000066_000001	You're getting theatric--and so early in the morning, too!	You're getting theatric-and so early in the morning, too!
5246_30101_000066_000002	Want to saddle my new farm with a murder, do you?	Want to saddle my new farm with a murder, do you?
5246_30101_000066_000004	Joe Wegg ran away from here to get busy in the world. Major Doyle helped him with my money, in exchange for this farm, which the boy was sensible to get rid of--although I'm glad it's now mine.	Joe Wegg ran away from here to get busy in the world. Major Doyle helped him with my money, in exchange for this farm, which the boy was sensible to get rid of-although I'm glad it's now mine.
5246_30101_000066_000005	The Major liked Joe Wegg, and says he's a clean-cut, fine young feller.	The Major liked Joe Wegg, and says he's a clean cut, fine young feller.
5246_30101_000066_000006	He's an inventor, too, even if an unlucky one, and I've no doubt he'll make his way in the world and become a good citizen."	He's an inventor, too, even if an unlucky one, and I've no doubt he'll make his way in the world and become a good citizen."
5246_30101_000067_000000	With these words Uncle John arose and sauntered around to the barn, to look at the litter of new pigs that just then served to interest and amuse him.	With these words Uncle john arose and sauntered around to the barn, to look at the litter of new pigs that just then served to interest and amuse him.
