3717_21498_000002_000000	Once upon a time there lived a man with one daughter and he made her work hard all the day.	Once upon a time there lived a man with one daughter and he made her work hard all the day.
3717_21498_000014_000000	Then the bride told him the whole story. and did not hide her own ill-doing.	Then the bride told him the whole story. and did not hide her own ill doing.
3717_21498_000014_000001	And the Sun listened, and was sorry for her; and though he could not tell her where to go, he gave her a nut, and bid her open it in a time of great distress.	And the Sun listened, and was sorry for her; and though he could not tell her where to go, he gave her a nut, and bid her open it in a time of great distress.
3717_21498_000014_000002	The damsel thanked him with all her heart, and departed, and walked and walked and walked, till she came to another castle, and knocked at the door which was opened by an old woman.	The damsel thanked him with all her heart, and departed, and walked and walked and walked, till she came to another castle, and knocked at the door which was opened by an old woman.
3717_21498_000015_000000	'All hail!' said the girl.	'All hail!' said the girl.
3717_21498_000015_000001	'I have come, of your charity, to ask your help!'	'I have come, of your charity, to ask your help!'
3717_21498_000016_000000	'It is my mistress, the Moon, you seek.	'It is my mistress, the Moon, you seek.
3717_21498_000016_000001	I will tell her of your prayer.'	I will tell her of your prayer.'
3717_21498_000017_000000	So the Moon came out, and when she saw the maiden she knew her again, for she had watched her sleeping both in the cottage and in the palace. And she spake to her and said:	So the Moon came out, and when she saw the maiden she knew her again, for she had watched her sleeping both in the cottage and in the palace. And she spake to her and said:
3717_21498_000018_000000	'Do you, rich as you are, need help?'	'Do you, rich as you are, need help?'
3717_21498_000019_000001	So the damsel thanked her, and departed, and walked and walked and walked till she came to another castle.	So the damsel thanked her, and departed, and walked and walked and walked till she came to another castle.
3717_21498_000019_000002	And she knocked at the door, and said:	And she knocked at the door, and said:
3717_21498_000020_000001	I have come to ask if, of your charity, you will help me in my need.'	I have come to ask if, of your charity, you will help me in my need.'
3717_21498_000021_000000	'It is my lord, the Wind, that you want,' answered the old woman who opened it.	'It is my lord, the Wind, that you want,' answered the old woman who opened it.
3717_21498_000022_000000	And the Wind looked on her and knew her again, for he had seen her in the cottage and in the palace, and he spake to her and said:	And the Wind looked on her and knew her again, for he had seen her in the cottage and in the palace, and he spake to her and said:
3717_21498_000024_000001	And the Wind listened, and was sorry for her, and he gave her a walnut that she was to eat in time of need. But the girl did not go as the Wind expected.	And the Wind listened, and was sorry for her, and he gave her a walnut that she was to eat in time of need. But the girl did not go as the Wind expected.
3717_21498_000024_000002	She was tired and sad, and knew not where to turn, so she began to weep bitterly.	She was tired and sad, and knew not where to turn, so she began to weep bitterly.
3717_21498_000024_000003	The Wind wept too for company, and said:	The Wind wept too for company, and said:
3717_21498_000025_000000	'Don't be frightened; I will go and see if I can find out something.'	'Don't be frightened; I will go and see if I can find out something.'
3717_21498_000026_000000	And the Wind departed with a great noise and fuss, and in the twinkling of an eye he was back again, beaming with delight.	And the Wind departed with a great noise and fuss, and in the twinkling of an eye he was back again, beaming with delight.
3717_21498_000027_000000	'From what one person and another have let fall,' he exclaimed, 'I have contrived to learn that he is in the palace of the king, who keeps him hidden lest anyone should see him; and that to-morrow he is to marry the princess, who, ugly creature that she is, has not been able to find any man to wed her.'	'From what one person and another have let fall,' he exclaimed, 'I have contrived to learn that he is in the palace of the king, who keeps him hidden lest anyone should see him; and that to morrow he is to marry the princess, who, ugly creature that she is, has not been able to find any man to wed her.'
3717_21498_000028_000000	Who can tell the despair which seized the poor maiden when she heard this news!	Who can tell the despair which seized the poor maiden when she heard this news!
3717_21498_000028_000001	As soon as she could speak she implored the Wind to do all he could to get the wedding put off for two or three days, for it would take her all that time to reach the palace of the king.	As soon as she could speak she implored the Wind to do all he could to get the wedding put off for two or three days, for it would take her all that time to reach the palace of the king.
3717_21498_000029_000000	The Wind gladly promised to do what he could, and as he travelled much faster than the maiden he soon arrived at the palace, where he found five tailors working night and day at the wedding clothes of the princess.	The Wind gladly promised to do what he could, and as he travelled much faster than the maiden he soon arrived at the palace, where he found five tailors working night and day at the wedding clothes of the princess.
3717_21498_000030_000002	After them ran the tailors, catching, jumping, climbing, but all to no purpose!	After them ran the tailors, catching, jumping, climbing, but all to no purpose!
3717_21498_000030_000003	The lace was torn, the satin stained, the pearls knocked off!	The lace was torn, the satin stained, the pearls knocked off!
3717_21498_000030_000005	It was plainly quite impossible that the wedding clothes could be ready next day.	It was plainly quite impossible that the wedding clothes could be ready next day.
3717_21498_000031_000000	However, the king was much too anxious to see his daughter married to listen to any excuses, and he declared that a dress must be put together somehow for the bride to wear.	However, the king was much too anxious to see his daughter married to listen to any excuses, and he declared that a dress must be put together somehow for the bride to wear.
3717_21498_000031_000001	But when he went to look at the princess, she was such a figure that he agreed that it would be unfitting for her position to be seen in such a gown, and he ordered the ceremony and the banquet to be postponed for a few hours, so that the tailors might take the dress to pieces and make it fit.	But when he went to look at the princess, she was such a figure that he agreed that it would be unfitting for her position to be seen in such a gown, and he ordered the ceremony and the banquet to be postponed for a few hours, so that the tailors might take the dress to pieces and make it fit.
3717_21498_000032_000000	But by this time the maiden had arrived footsore and weary at the castle, and as soon as she reached the door she cracked her nut and drew out of it the most beautiful mantle in the world.	But by this time the maiden had arrived footsore and weary at the castle, and as soon as she reached the door she cracked her nut and drew out of it the most beautiful mantle in the world.
3717_21498_000032_000001	Then she rang the bell, and asked:	Then she rang the bell, and asked:
3717_21498_000033_000000	'Is not the princess to be married to-day?'	'Is not the princess to be married to day?'
3717_21498_000034_000000	'Yes, she is.'	'Yes, she is.'
3717_21498_000035_000000	'Ask her if she would like to buy this mantle.'	'Ask her if she would like to buy this mantle.'
3717_21498_000036_000000	And when the princess saw the mantle she was delighted, for her wedding mantle had been spoilt with all the other things, and it was too late to make another.	And when the princess saw the mantle she was delighted, for her wedding mantle had been spoilt with all the other things, and it was too late to make another.
3717_21498_000037_000000	The maiden fixed a large sum, many pieces of gold, but the princess had set her heart on the mantle, and gave it readily.	The maiden fixed a large sum, many pieces of gold, but the princess had set her heart on the mantle, and gave it readily.
3717_21498_000038_000000	Now the maiden hid her gold in the pocket of her dress, and turned away from the castle.	Now the maiden hid her gold in the pocket of her dress, and turned away from the castle.
3717_21498_000038_000001	The moment she was out of sight she broke her almond, and drew from it the most magnificent petticoats that ever were seen. Then she went back to the castle, and asked if the princess wished to buy any petticoats.	The moment she was out of sight she broke her almond, and drew from it the most magnificent petticoats that ever were seen. Then she went back to the castle, and asked if the princess wished to buy any petticoats.
3717_21498_000038_000003	And the maiden named many pieces of gold, which the princess paid her gladly, so pleased was she with her new possessions.	And the maiden named many pieces of gold, which the princess paid her gladly, so pleased was she with her new possessions.
3717_21498_000039_000000	Then the girl went down the steps where none could watch her and cracked her walnut, and out came the most splendid court dress that any dressmaker had ever invented; and, carrying it carefully in her arms, she knocked at the door, and asked if the princess wished to buy a court dress.	Then the girl went down the steps where none could watch her and cracked her walnut, and out came the most splendid court dress that any dressmaker had ever invented; and, carrying it carefully in her arms, she knocked at the door, and asked if the princess wished to buy a court dress.
3717_21498_000040_000000	When the message was delivered the princess sprang to her feet with delight, for she had been thinking that after all it was not much use to have a lovely mantle and elegant petticoats if she had no dress, and she knew the tailors would never be ready in time.	When the message was delivered the princess sprang to her feet with delight, for she had been thinking that after all it was not much use to have a lovely mantle and elegant petticoats if she had no dress, and she knew the tailors would never be ready in time.
3717_21498_000040_000001	So she sent at once to say she would buy the dress, and what sum did the maiden want for it.	So she sent at once to say she would buy the dress, and what sum did the maiden want for it.
3717_21498_000041_000000	This time the maiden answered that the price of the dress was the permission to see the bridegroom.	This time the maiden answered that the price of the dress was the permission to see the bridegroom.
3717_21498_000042_000000	The princess was not at all pleased when she heard the maiden's reply, but, as she could not do without the dress, she was forced to give in, and contented herself with thinking that after all it did not matter much.	The princess was not at all pleased when she heard the maiden's reply, but, as she could not do without the dress, she was forced to give in, and contented herself with thinking that after all it did not matter much.
