3008_164328_000000_000000	"The deuce!" exclaimed Rouletabille.	"The deuce!" exclaimed Rouletabille.	false	0	0.27	100
3008_164328_000011_000000	"That's a fine fire for roasting a chicken," said Rouletabille.	"That's a fine fire for roasting a chicken," said Rouletabille.	false	158.87	163.44	21.804132
3008_164328_000011_000001	"We have no chicken--not even a wretched rabbit," said the landlord.	"We have no chicken-not even a wretched rabbit," said the landlord.	true	163.44	168.25	22.242653
3008_164328_000012_000000	"I know," said my friend slowly; "I know--We shall have to eat red meat--now."	"I know," said my friend slowly; "I know-We shall have to eat red meat-now."	true	168.56	177.16	20.366982
3008_164328_000013_000000	I confess I did not in the least understand what Rouletabille meant by what he had said; but the landlord, as soon as he heard the words, uttered an oath, which he at once stifled, and placed himself at our orders as obediently as Monsieur Robert Darzac had done, when he heard Rouletabille's prophetic sentence--"The presbytery has lost nothing of its charm, nor the garden its brightness." Certainly my friend knew how to make people understand him by the use of wholly incomprehensible phrases.	I confess I did not in the least understand what Rouletabille meant by what he had said; but the landlord, as soon as he heard the words, uttered an oath, which he at once stifled, and placed himself at our orders as obediently as Monsieur Robert Darzac had done, when he heard Rouletabille's prophetic sentence-"The presbytery has lost nothing of its charm, nor the garden its brightness." Certainly my friend knew how to make people understand him by the use of wholly incomprehensible phrases.	false	178.34	208.84	20.31997
3008_164328_000013_000001	I observed as much to him, but he merely smiled.	I observed as much to him, but he merely smiled.	true	209.48	212.74	17
3008_164328_000013_000002	I should have proposed that he give me some explanation; but he put a finger to his lips, which evidently signified that he had not only determined not to speak, but also enjoined silence on my part.	I should have proposed that he give me some explanation; but he put a finger to his lips, which evidently signified that he had not only determined not to speak, but also enjoined silence on my part.	true	213.59	225.25	19.537802
3008_164328_000014_000000	Meantime the man had pushed open a little side door and called to somebody to bring him half a dozen eggs and a piece of beefsteak.	Meantime the man had pushed open a little side door and called to somebody to bring him half a dozen eggs and a piece of beefsteak.	true	226.67	234.52	20
3008_164328_000014_000001	The commission was quickly executed by a strongly-built young woman with beautiful blonde hair and large, handsome eyes, who regarded us with curiosity.	The commission was quickly executed by a strongly built young woman with beautiful blonde hair and large, handsome eyes, who regarded us with curiosity.	true	235.04	243.94	18
3008_164328_000015_000000	The innkeeper said to her roughly:	The innkeeper said to her roughly:	true	244.91	246.91	22
3008_164328_000016_000000	"Get out!--and if the Green Man comes, don't let me see him."	"Get out!--and if the Green Man comes, don't let me see him."	false	247.22	252.9	22.989578
3008_164328_000017_000000	She disappeared.	She disappeared.	true	252.9	254.02	21.204962
3008_164328_000017_000001	Rouletabille took the eggs, which had been brought to him in a bowl, and the meat which was on a dish, placed all carefully beside him in the chimney, unhooked a frying-pan and a gridiron, and began to beat up our omelette before proceeding to grill our beefsteak. He then ordered two bottles of cider, and seemed to take as little notice of our host as our host did of him.	Rouletabille took the eggs, which had been brought to him in a bowl, and the meat which was on a dish, placed all carefully beside him in the chimney, unhooked a frying pan and a gridiron, and began to beat up our omelette before proceeding to grill our beefsteak. He then ordered two bottles of cider, and seemed to take as little notice of our host as our host did of him.	true	254.33	276.13	21.29387
3008_164328_000017_000002	The landlord let us do our own cooking and set our table near one of the windows.	The landlord let us do our own cooking and set our table near one of the windows.	true	276.68	281.62	22.359028
3008_164328_000018_000000	Suddenly I heard him mutter:	Suddenly I heard him mutter:	true	282.2	284.05	18
3008_164328_000019_000000	"Ah!--there he is."	"Ah!--there he is."	true	284.3	286.9	19.229511
3008_164328_000020_000000	His face had changed, expressing fierce hatred.	His face had changed, expressing fierce hatred.	true	287.57	291.01	19.268549
3008_164328_000020_000001	He went and glued himself to one of the windows, watching the road.	He went and glued himself to one of the windows, watching the road.	true	291.32	294.91	18
3008_164328_000020_000002	There was no need for me to draw Rouletabille's attention; he had already left our omelette and had joined the landlord at the window.	There was no need for me to draw Rouletabille's attention; he had already left our omelette and had joined the landlord at the window.	true	295.19	301.6	20
3008_164328_000020_000003	I went with him.	I went with him.	true	301.91	303.01	16.867908
3008_164328_000021_000000	A man dressed entirely in green velvet, his head covered with a huntsman's cap of the same colour, was advancing leisurely, lighting a pipe as he walked.	A man dressed entirely in green velvet, his head covered with a huntsman's cap of the same colour, was advancing leisurely, lighting a pipe as he walked.	true	304.46	313.69	18.896723
3008_164328_000021_000001	He carried a fowling-piece slung at his back.	He carried a fowling piece slung at his back.	true	314.27	316.78	23.28873
3008_164328_000021_000002	His movements displayed an almost aristocratic ease.	His movements displayed an almost aristocratic ease.	true	317.99	321.16	17
3008_164328_000021_000003	He wore eye-glasses and appeared to be about five and forty years of age.	He wore eye glasses and appeared to be about five and forty years of age.	true	321.5	325.75	20
3008_164328_000021_000004	His hair as well as his moustache were salt grey.	His hair as well as his moustache were salt grey.	true	326	329.23	18
3008_164328_000021_000005	He was remarkably handsome.	He was remarkably handsome.	true	329.69	331.33	19.484224
3008_164328_000021_000006	As he passed near the inn, he hesitated, as if asking himself whether or no he should enter it; gave a glance towards us, took a few whiffs at his pipe, and then resumed his walk at the same nonchalant pace.	As he passed near the inn, he hesitated, as if asking himself whether or no he should enter it; gave a glance towards us, took a few whiffs at his pipe, and then resumed his walk at the same nonchalant pace.	false	332.18	345.21	20.050028
3008_164328_000022_000000	Rouletabille and I looked at our host.	Rouletabille and I looked at our host.	false	345.21	347.92	16.869822
3008_164328_000022_000001	His flashing eyes, his clenched hands, his trembling lips, told us of the tumultuous feelings by which he was being agitated.	His flashing eyes, his clenched hands, his trembling lips, told us of the tumultuous feelings by which he was being agitated.	true	348.02	355.6	16
3008_164328_000023_000000	"He has done well not to come in here to-day!" he hissed.	"He has done well not to come in here to day!" he hissed.	true	356.84	360.85	23.962585
3008_164328_000024_000000	"Who is that man?" asked Rouletabille, returning to his omelette.	"Who is that man?" asked Rouletabille, returning to his omelette.	false	361.22	364.69	21.440119
3008_164328_000025_000000	"The Green Man," growled the innkeeper.	"The Green Man," growled the innkeeper.	true	365.15	367.57	19.858322
3008_164328_000025_000001	"Don't you know him?	"Don't you know him?	true	367.73	368.98	21.626123
3008_164328_000025_000002	Then all the better for you.	Then all the better for you.	true	369.47	370.96	21.787924
3008_164328_000025_000003	He is not an acquaintance to make.--Well, he is Monsieur Stangerson's forest-keeper."	He is not an acquaintance to make.--Well, he is Monsieur Stangerson's forest keeper."	true	371.3	376.81	21.544212
3008_164328_000026_000000	"You don't appear to like him very much?" asked the reporter, pouring his omelette into the frying-pan.	"You don't appear to like him very much?" asked the reporter, pouring his omelette into the frying pan.	false	377.93	382.69	19.926395
3008_164328_000027_000000	"Nobody likes him, monsieur.	"Nobody likes him, monsieur.	true	383.72	385.3	17
3008_164328_000027_000001	He's an upstart who must once have had a fortune of his own; and he forgives nobody because, in order to live, he has been compelled to become a servant.	He's an upstart who must once have had a fortune of his own; and he forgives nobody because, in order to live, he has been compelled to become a servant.	true	385.85	394.23	21.951288
3008_164328_000027_000002	A keeper is as much a servant as any other, isn't he?	A keeper is as much a servant as any other, isn't he?	false	394.23	397.36	19.26699
3008_164328_000027_000003	Upon my word, one would say that he is the master of the Glandier, and that all the land and woods belong to him.	Upon my word, one would say that he is the master of the Glandier, and that all the land and woods belong to him.	false	397.61	403.84	20.419634
3008_164328_000027_000004	He'll not let a poor creature eat a morsel of bread on the grass his grass!"	He'll not let a poor creature eat a morsel of bread on the grass his grass!"	true	403.88	408.46	22.769884
3008_164328_000028_000000	"Does he often come here?"	"Does he often come here?"	true	409.04	410.41	23.29417
3008_164328_000029_000000	"Too often.	"Too often.	true	410.78	411.82	25.917229
3008_164328_000029_000001	But I've made him understand that his face doesn't please me, and, for a month past, he hasn't been here.	But I've made him understand that his face doesn't please me, and, for a month past, he hasn't been here.	true	412.25	417.76	21.110535
3008_164328_000029_000002	The Donjon Inn has never existed for him!--he hasn't had time!--been too much engaged in paying court to the landlady of the Three Lilies at Saint-Michel.	The Donjon Inn has never existed for him!--he hasn't had time!--been too much engaged in paying court to the landlady of the Three Lilies at Saint Michel.	false	418.1	427.24	21.256067
3008_164328_000029_000003	A bad fellow!--There isn't an honest man who can bear him.	A bad fellow!--There isn't an honest man who can bear him.	true	427.55	431.38	19.332497
3008_164328_000029_000004	Why, the concierges of the chateau would turn their eyes away from a picture of him!"	Why, the concierges of the chateau would turn their eyes away from a picture of him!"	true	431.51	435.4	23.435295
3008_164328_000030_000000	"The concierges of the chateau are honest people, then?"	"The concierges of the chateau are honest people, then?"	true	436.04	438.67	24
3008_164328_000031_000000	"Yes, they are, as true as my name's Mathieu, monsieur.	"Yes, they are, as true as my name's Mathieu, monsieur.	true	438.98	442.42	22.406929
3008_164328_000031_000001	I believe them to be honest."	I believe them to be honest."	true	442.64	444.37	18.70767
3008_164328_000032_000000	"Yet they've been arrested?"	"Yet they've been arrested?"	true	444.68	446.05	21.418287
3008_164328_000033_000000	"What does that prove?--But I don't want to mix myself up in other people's affairs."	"What does that prove?--But I don't want to mix myself up in other people's affairs."	true	446.48	451.06	24.955395
3008_164328_000034_000000	"And what do you think of the murder?"	"And what do you think of the murder?"	true	451.76	453.34	19.2303
3008_164328_000035_000000	"Of the murder of poor Mademoiselle Stangerson?--A good girl much loved everywhere in the country.	"Of the murder of poor Mademoiselle Stangerson?--A good girl much loved everywhere in the country.	true	454.22	460	23.940361
3008_164328_000035_000001	That's what I think of it--and many things besides; but that's nobody's business."	That's what I think of it-and many things besides; but that's nobody's business."	false	460.25	465.07	21.444105
3008_164328_000036_000000	"Not even mine?" insisted Rouletabille.	"Not even mine?" insisted Rouletabille.	false	465.62	469.29	20.23946
3008_164328_000037_000000	The innkeeper looked at him sideways and said gruffly:	The innkeeper looked at him sideways and said gruffly:	true	469.29	471.97	20
3008_164328_000038_000000	"Not even yours."	"Not even yours."	true	472.13	474.07	20
3008_164328_000039_000000	The omelette ready, we sat down at table and were silently eating, when the door was pushed open and an old woman, dressed in rags, leaning on a stick, her head doddering, her white hair hanging loosely over her wrinkled forehead, appeared on the threshold.	The omelette ready, we sat down at table and were silently eating, when the door was pushed open and an old woman, dressed in rags, leaning on a stick, her head doddering, her white hair hanging loosely over her wrinkled forehead, appeared on the threshold.	false	475.31	489.6	20.361565
3008_164328_000040_000000	"Ah!--there you are, Mother Angenoux!--It's long since we saw you last," said our host.	"Ah!--there you are, Mother Angenoux!--It's long since we saw you last," said our host.	false	489.6	495.85	18.976051
3008_164328_000041_000000	"I have been very ill, very nearly dying," said the old woman.	"I have been very ill, very nearly dying," said the old woman.	false	496.73	501.94	18.523338
3008_164328_000041_000001	"If ever you should have any scraps for the Bete du Bon Dieu--?"	"If ever you should have any scraps for the Bete du Bon Dieu-?"	true	502.64	505.99	19
3008_164328_000042_000000	And she entered, followed by a cat, larger than any I had ever believed could exist.	And she entered, followed by a cat, larger than any I had ever believed could exist.	true	506.72	513.27	23.19838
3008_164328_000042_000001	The beast looked at us and gave so hopeless a miau that I shuddered.	The beast looked at us and gave so hopeless a miau that I shuddered.	true	513.27	517.54	20.67405
3008_164328_000042_000002	I had never heard so lugubrious a cry.	I had never heard so lugubrious a cry.	true	517.94	520.42	19
3008_164328_000043_000000	As if drawn by the cat's cry a man followed the old woman in.	As if drawn by the cat's cry a man followed the old woman in.	true	521.42	525.31	17
3008_164328_000043_000001	It was the Green Man.	It was the Green Man.	true	525.86	527.35	16.47001
3008_164328_000043_000002	He saluted by raising his hand to his cap and seated himself at a table near to ours.	He saluted by raising his hand to his cap and seated himself at a table near to ours.	true	527.96	533.02	18
3008_164328_000044_000000	"A glass of cider, Daddy Mathieu," he said.	"A glass of cider, Daddy Mathieu," he said.	true	533.51	536.14	18.099655
3008_164328_000045_000000	As the Green Man entered, Daddy Mathieu had started violently; but visibly mastering himself he said:	As the Green Man entered, Daddy Mathieu had started violently; but visibly mastering himself he said:	true	536.69	543.43	21.16676
3008_164328_000046_000000	"I've no more cider; I served the last bottles to these gentlemen."	"I've no more cider; I served the last bottles to these gentlemen."	true	543.83	547.54	20.00492
3008_164328_000047_000000	"Then give me a glass of white wine," said the Green Man, without showing the least surprise.	"Then give me a glass of white wine," said the Green Man, without showing the least surprise.	true	548.45	553.66	18.421654
3008_164328_000048_000000	"I've no more white wine--no more anything," said Daddy Mathieu, surlily.	"I've no more white wine-no more anything," said Daddy Mathieu, surlily.	false	554.3	560.25	20.876835
3008_164328_000049_000000	"How is Madame Mathieu?"	"How is Madame Mathieu?"	true	560.25	561.58	16
3008_164328_000050_000000	"Quite well, thank you."	"Quite well, thank you."	true	562.1	563.5	22.60806
3008_164328_000051_000000	So the young Woman with the large, tender eyes, whom we had just seen, was the wife of this repugnant and brutal rustic, whose jealousy seemed to emphasise his physical ugliness.	So the young Woman with the large, tender eyes, whom we had just seen, was the wife of this repugnant and brutal rustic, whose jealousy seemed to emphasise his physical ugliness.	false	564.77	574.96	19
3008_164328_000052_000000	Slamming the door behind him, the innkeeper left the room.	Slamming the door behind him, the innkeeper left the room.	true	575.96	579.07	17.282955
3008_164328_000052_000001	Mother Angenoux was still standing, leaning on her stick, the cat at her feet.	Mother Angenoux was still standing, leaning on her stick, the cat at her feet.	true	579.23	583.72	22.435755
3008_164328_000053_000000	"You've been ill, Mother Angenoux?--Is that why we have not seen you for the last week?" asked the Green Man.	"You've been ill, Mother Angenoux?--Is that why we have not seen you for the last week?" asked the Green Man.	false	584.6	590.26	20.210373
3008_164328_000054_000000	"Yes, Monsieur keeper.	"Yes, Monsieur keeper.	true	591.29	592.96	20.776724
3008_164328_000054_000001	I have been able to get up but three times, to go to pray to Sainte-Genevieve, our good patroness, and the rest of the time I have been lying on my bed.	I have been able to get up but three times, to go to pray to Sainte Genevieve, our good patroness, and the rest of the time I have been lying on my bed.	false	593.45	604.6	19.355265
3008_164328_000054_000002	There was no one to care for me but the Bete du bon Dieu!"	There was no one to care for me but the Bete du bon Dieu!"	true	604.91	608.47	22.818047
3008_164328_000055_000000	"Did she not leave you?"	"Did she not leave you?"	true	609.2	610.48	20.117693
3008_164328_000056_000000	"Neither by day nor by night."	"Neither by day nor by night."	true	611.09	613.63	19
3008_164328_000057_000000	"Are you sure of that?"	"Are you sure of that?"	true	614.06	615.4	21.53963
3008_164328_000058_000000	"As I am of Paradise."	"As I am of Paradise."	true	615.95	618.04	19
3008_164328_000059_000000	"Then how was it, Madame Angenoux, that all through the night of the murder nothing but the cry of the Bete du bon Dieu was heard?"	"Then how was it, Madame Angenoux, that all through the night of the murder nothing but the cry of the Bete du bon Dieu was heard?"	false	618.92	626.29	19.393621
3008_164328_000060_000000	Mother Angenoux planted herself in front of the forest-keeper and struck the floor with her stick.	Mother Angenoux planted herself in front of the forest keeper and struck the floor with her stick.	true	627.11	631.9	21.789001
3008_164328_000061_000000	"I don't know anything about it," she said.	"I don't know anything about it," she said.	true	632.42	635.65	23.22423
3008_164328_000061_000001	"But shall I tell you something?	"But shall I tell you something?	true	636.11	637.84	21
3008_164328_000061_000002	There are no two cats in the world that cry like that.	There are no two cats in the world that cry like that.	true	638	642.01	21
3008_164328_000061_000003	Well, on the night of the murder I also heard the cry of the Bete du bon Dieu outside; and yet she was on my knees, and did not mew once, I swear.	Well, on the night of the murder I also heard the cry of the Bete du bon Dieu outside; and yet she was on my knees, and did not mew once, I swear.	false	642.56	651.97	19
3008_164328_000061_000004	I crossed myself when I heard that, as if I had heard the devil."	I crossed myself when I heard that, as if I had heard the devil."	true	652.34	656.11	21.833399
3008_164328_000062_000000	I looked at the keeper when he put the last question, and I am much mistaken if I did not detect an evil smile on his lips.	I looked at the keeper when he put the last question, and I am much mistaken if I did not detect an evil smile on his lips.	true	657.47	665.44	20
3008_164328_000062_000001	At that moment, the noise of loud quarrelling reached us.	At that moment, the noise of loud quarrelling reached us.	true	666.08	669.25	16.986897
3008_164328_000062_000002	We even thought we heard a dull sound of blows, as if some one was being beaten.	We even thought we heard a dull sound of blows, as if some one was being beaten.	true	669.38	673.42	16
3008_164328_000062_000003	The Green Man quickly rose and hurried to the door by the side of the fireplace; but it was opened by the landlord who appeared, and said to the keeper:	The Green Man quickly rose and hurried to the door by the side of the fireplace; but it was opened by the landlord who appeared, and said to the keeper:	true	673.97	681.52	20
3008_164328_000063_000000	"Don't alarm yourself, Monsieur--it is my wife; she has the toothache." And he laughed.	"Don't alarm yourself, Monsieur-it is my wife; she has the toothache." And he laughed.	false	681.8	686.98	20.12779
3008_164328_000063_000001	"Here, Mother Angenoux, here are some scraps for your cat."	"Here, Mother Angenoux, here are some scraps for your cat."	false	687.41	690.31	18.107677
3008_164328_000064_000000	He held out a packet to the old woman, who took it eagerly and went out by the door, closely followed by her cat.	He held out a packet to the old woman, who took it eagerly and went out by the door, closely followed by her cat.	true	690.95	697.33	23
3008_164328_000065_000000	"Then you won't serve me?" asked the Green Man.	"Then you won't serve me?" asked the Green Man.	true	698.54	701.38	19.64996
3008_164328_000066_000000	Daddy Mathieu's face was placid and no longer retained its expression of hatred.	Daddy Mathieu's face was placid and no longer retained its expression of hatred.	true	701.9	706.42	19
3008_164328_000067_000000	"I've nothing for you--nothing for you.	"I've nothing for you-nothing for you.	true	706.91	709.78	19.598625
3008_164328_000067_000001	Take yourself off."	Take yourself off."	true	710	711.28	20.935658
3008_164328_000068_000000	The Green Man quietly refilled his pipe, lit it, bowed to us, and went out.	The Green Man quietly refilled his pipe, lit it, bowed to us, and went out.	true	712.34	718.15	22.139156
3008_164328_000068_000001	No sooner was he over the threshold than Daddy Mathieu slammed the door after him and, turning towards us, with eyes bloodshot, and frothing at the mouth, he hissed to us, shaking his clenched fist at the door he had just shut on the man he evidently hated:	No sooner was he over the threshold than Daddy Mathieu slammed the door after him and, turning towards us, with eyes bloodshot, and frothing at the mouth, he hissed to us, shaking his clenched fist at the door he had just shut on the man he evidently hated:	true	719.06	732.85	19
3008_164328_000069_000000	"I don't know who you are who tell me 'We shall have to eat red meat--now'; but if it will interest you to know it--that man is the murderer!"	"I don't know who you are who tell me 'We shall have to eat red meat-now'; but if it will interest you to know it-that man is the murderer!"	true	733.13	743.38	23.80201
3008_164328_000070_000000	With which words Daddy Mathieu immediately left us.	With which words Daddy Mathieu immediately left us.	true	744.59	747.57	19.614304
3008_164328_000070_000001	Rouletabille returned towards the fireplace and said:	Rouletabille returned towards the fireplace and said:	false	747.57	750.97	19.57876
3008_164328_000071_000000	"Now we'll grill our steak.	"Now we'll grill our steak.	true	751.37	752.98	20.851734
3008_164328_000071_000001	How do you like the cider?--It's a little tart, but I like it."	How do you like the cider?--It's a little tart, but I like it."	true	753.26	756.34	23.87973
3008_164328_000072_000000	We saw no more of Daddy Mathieu that day, and absolute silence reigned in the inn when we left it, after placing five francs on the table in payment for our feast.	We saw no more of Daddy Mathieu that day, and absolute silence reigned in the inn when we left it, after placing five francs on the table in payment for our feast.	true	758.03	767.59	20.717022
3008_164328_000073_000000	Rouletabille at once set off on a three mile walk round Professor Stangerson's estate.	Rouletabille at once set off on a three mile walk round Professor Stangerson's estate.	true	768.56	773.11	20
3008_164328_000073_000001	He halted for some ten minutes at the corner of a narrow road black with soot, near to some charcoal-burners' huts in the forest of Sainte-Genevieve, which touches on the road from Epinay to Corbeil, to tell me that the murderer had certainly passed that way, before entering the grounds and concealing himself in the little clump of trees.	He halted for some ten minutes at the corner of a narrow road black with soot, near to some charcoal burners' huts in the forest of Sainte Genevieve, which touches on the road from Epinay to Corbeil, to tell me that the murderer had certainly passed that way, before entering the grounds and concealing himself in the little clump of trees.	false	773.6	793	21.697886
3008_164328_000074_000000	"You don't think, then, that the keeper knows anything of it?" I asked.	"You don't think, then, that the keeper knows anything of it?" I asked.	true	793.97	797.59	21.88821
3008_164328_000075_000000	"We shall see that, later," he replied.	"We shall see that, later," he replied.	true	798.2	800.62	22.42941
3008_164328_000075_000001	"For the present I'm not interested in what the landlord said about the man.	"For the present I'm not interested in what the landlord said about the man.	true	800.99	804.55	18
3008_164328_000075_000002	The landlord hates him.	The landlord hates him.	true	804.86	806.35	20.008217
3008_164328_000075_000003	I didn't take you to breakfast at the Donjon Inn for the sake of the Green Man."	I didn't take you to breakfast at the Donjon Inn for the sake of the Green Man."	true	806.81	810.46	18
3008_164328_000076_000000	Then Rouletabille, with great precaution glided, followed by me, towards the little building which, standing near the park gate, served for the home of the concierges, who had been arrested that morning.	Then Rouletabille, with great precaution glided, followed by me, towards the little building which, standing near the park gate, served for the home of the concierges, who had been arrested that morning.	false	811.58	822.82	21.498663
3008_164328_000076_000001	With the skill of an acrobat, he got into the lodge by an upper window which had been left open, and returned ten minutes later.	With the skill of an acrobat, he got into the lodge by an upper window which had been left open, and returned ten minutes later.	true	823.4	830.56	21.06783
3008_164328_000076_000002	He said only, "Ah!"--a word which, in his mouth, signified many things.	He said only, "Ah!"--a word which, in his mouth, signified many things.	true	830.72	837.19	21.042976
3008_164328_000077_000000	We were about to take the road leading to the chateau, when a considerable stir at the park gate attracted our attention.	We were about to take the road leading to the chateau, when a considerable stir at the park gate attracted our attention.	true	838.97	845.62	22.210714
3008_164328_000077_000001	A carriage had arrived and some people had come from the chateau to meet it. Rouletabille pointed out to me a gentleman who descended from it.	A carriage had arrived and some people had come from the chateau to meet it. Rouletabille pointed out to me a gentleman who descended from it.	false	846.62	854.47	20.931087
3008_164328_000078_000000	"That's the Chief of the Surete" he said.	"That's the Chief of the Surete" he said.	false	855.2	857.56	22.090206
3008_164328_000078_000001	"Now we shall see what Frederic Larsan has up his sleeve, and whether he is so much cleverer than anybody else."	"Now we shall see what Frederic Larsan has up his sleeve, and whether he is so much cleverer than anybody else."	true	857.72	863.47	18
3008_164328_000079_000000	The carriage of the Chief of the Surete was followed by three other vehicles containing reporters, who were also desirous of entering the park.	The carriage of the Chief of the Surete was followed by three other vehicles containing reporters, who were also desirous of entering the park.	false	864.2	871.69	19.394135
3008_164328_000079_000001	But two gendarmes stationed at the gate had evidently received orders to refuse admission to anybody.	But two gendarmes stationed at the gate had evidently received orders to refuse admission to anybody.	true	871.94	877.27	17
3008_164328_000079_000002	The Chief of the Surete calmed their impatience by undertaking to furnish to the press, that evening, all the information he could give that would not interfere with the judicial inquiry.	The Chief of the Surete calmed their impatience by undertaking to furnish to the press, that evening, all the information he could give that would not interfere with the judicial inquiry.	false	877.91	895.44	21.400566
