3972_185074_000004_000000	Few mothers, perhaps, have had less trouble with their children during their minority than myself.	Few mothers, perhaps, have had less trouble with their children during their minority than myself.
3972_185074_000010_000001	Shanks set out on his errand immediately,--and John, fearing that he should be apprehended and punished for the crime he had committed, at the same time went off towards Caneadea.	Shanks set out on his errand immediately,--and john, fearing that he should be apprehended and punished for the crime he had committed, at the same time went off towards Caneadea.
3972_185074_000014_000002	He was manly in his deportment, courageous and, active; and commanded respect.	He was manly in his deportment, courageous and, active; and commanded respect.
3972_185074_000014_000003	Though he appeared well pleased with peace, he was cunning in Indian warfare, and succeeded to admiration in the execution of his plans.	Though he appeared well pleased with peace, he was cunning in Indian warfare, and succeeded to admiration in the execution of his plans.
3972_185074_000015_000000	At the age of fourteen or fifteen years, he went into the war with manly fortitude, armed with a tomahawk and scalping knife; and when he returned, brought one white man a prisoner, whom he had taken with his own hands, on the west branch of the Susquehannah river.	At the age of fourteen or fifteen years, he went into the war with manly fortitude, armed with a tomahawk and scalping knife; and when he returned, brought one white man a prisoner, whom he had taken with his own hands, on the west branch of the Susquehannah river.
3972_185074_000015_000001	It so happened, that as he was looking out for his enemies, he discovered two men boiling sap in the woods.	It so happened, that as he was looking out for his enemies, he discovered two men boiling sap in the woods.
3972_185074_000015_000002	He watched them unperceived, till dark when he advanced with a noiseless step to where they were standing, caught one of them before they were apprized of danger, and conducted him to the camp.	He watched them unperceived, till dark when he advanced with a noiseless step to where they were standing, caught one of them before they were apprized of danger, and conducted him to the camp.
3972_185074_000015_000003	He was well treated while a prisoner, and redeemed at the close of the war.	He was well treated while a prisoner, and redeemed at the close of the war.
3972_185074_000016_000001	He was a great Counsellor and a Chief when quite young; and in the last capacity, went two or three times to Philadelphia to assist in making treaties with the people of the states.	He was a great Counsellor and a Chief when quite young; and in the last capacity, went two or three times to Philadelphia to assist in making treaties with the people of the states.
3972_185074_000017_000000	Thomas had four wives, by whom he had eight children.	Thomas had four wives, by whom he had eight children.
3972_185074_000017_000001	Jacob Jemison, his second son by his last wife, who is at this time twenty-seven or twenty-eight years of age, went to Dartmouth college, in the spring of 1816, for the purpose of receiving a good education, where it was said that he was an industrious scholar, and made great proficiency in the study of the different branches to which he attended.	Jacob Jemison, his second son by his last wife, who is at this time twenty seven or twenty eight years of age, went to Dartmouth college, in the spring of eighteen sixteen, for the purpose of receiving a good education, where it was said that he was an industrious scholar, and made great proficiency in the study of the different branches to which he attended.
3972_185074_000017_000002	Having spent two years at that Institution, he returned in the winter of 1818, and is now at Buffalo; where I have understood that he contemplates commencing the study of medicine, as a profession.	Having spent two years at that Institution, he returned in the winter of eighteen eighteen, and is now at Buffalo; where I have understood that he contemplates commencing the study of medicine, as a profession.
3972_185074_000018_000000	Thomas, at the time he was killed, was a few moons over fifty-two years old, and John was forty-eight.	Thomas, at the time he was killed, was a few moons over fifty two years old, and john was forty eight.
3972_185074_000018_000002	He fell a victim to the use of ardent spirits--a poison that will soon exterminate the Indian tribes in this part of the country, and leave their names without a root or branch.	He fell a victim to the use of ardent spirits-a poison that will soon exterminate the Indian tribes in this part of the country, and leave their names without a root or branch.
