122_129752_000000_000000	~BALTIMORE CAKE~--Beat one cupful of butter to a cream, using a wood cake spoon.	~ BALTIMORE CAKE ~--Beat one cupful of butter to a cream, using a wood cake spoon.	false	107.79	114.01	19.123404
122_129752_000003_000000	~BRIDE'S CAKE--~One and one-half cupfuls of sugar, one-half cupful of butter, one-half cupful of sweet milk, two cupfuls of flour, one-quarter cupful cornstarch, six egg whites, one and one-half teaspoonfuls baking powder, one teaspoonful vanilla.	~ BRIDE'S CAKE-~ One and one half cupfuls of sugar, one half cupful of butter, one half cupful of sweet milk, two cupfuls of flour, one quarter cupful cornstarch, six egg whites, one and one half teaspoonfuls baking powder, one teaspoonful vanilla.	false	259.08	280.96	19.514334
122_129752_000003_000001	Cream the sugar and butter, add milk, flour and cornstarch into which the baking powder has been thoroughly sifted, stir in the whites of eggs quickly with the flavoring.	Cream the sugar and butter, add milk, flour and cornstarch into which the baking powder has been thoroughly sifted, stir in the whites of eggs quickly with the flavoring.	true	281.12	292.41	18
122_129752_000004_000000	~BUTTERMILK CAKE--~Cream three tablespoons of butter with one cup of sugar, add one cup of buttermilk, one well beaten egg, two cups of flour sifted with four teaspoons of baking powder and one-half cup of seeded raisins cut in pieces and rolled in flour.	~ BUTTERMILK CAKE-~ Cream three tablespoons of butter with one cup of sugar, add one cup of buttermilk, one well beaten egg, two cups of flour sifted with four teaspoons of baking powder and one half cup of seeded raisins cut in pieces and rolled in flour.	false	292.41	313.02	19.417696
122_129752_000005_000000	~CHOCOLATE CAKE--~Beat one cup of butter to a cream with two cups of sugar, add the yolks of five eggs, beaten until light-colored, and one cup of milk.	~ CHOCOLATE CAKE-~ Beat one cup of butter to a cream with two cups of sugar, add the yolks of five eggs, beaten until light colored, and one cup of milk.	false	313.02	324.76	20.085688
122_129752_000005_000001	Sift three and one-half cups of flour with five level teaspoons of baking powder and add to the first mixture.	Sift three and one half cups of flour with five level teaspoons of baking powder and add to the first mixture.	true	324.86	332.29	18
122_129752_000005_000002	Stir well and fold in the beaten whites of two eggs.	Stir well and fold in the beaten whites of two eggs.	true	332.51	336.34	15
122_129752_000005_000003	Beat in layer cake tins and spread the following mixture between when the cakes are nearly cold. Beat one and one-half cups of powdered sugar, three level tablespoons of cocoa, one teaspoon of vanilla, and the whites of three eggs together until a smooth mixture is made that will spread easily.	Beat in layer cake tins and spread the following mixture between when the cakes are nearly cold. Beat one and one half cups of powdered sugar, three level tablespoons of cocoa, one teaspoon of vanilla, and the whites of three eggs together until a smooth mixture is made that will spread easily.	false	336.77	356.32	15
122_129752_000005_000004	The exact amount of sugar varies a little on account of size of eggs.	The exact amount of sugar varies a little on account of size of eggs.	false	356.66	361.17	10
122_129752_000006_000000	~CHOCOLATE CAKE~--Cook one cup of sugar, one-half cup of milk, one-half cup of grated chocolate and the beaten yolk of one egg together until smooth.	~ CHOCOLATE CAKE ~--Cook one cup of sugar, one half cup of milk, one half cup of grated chocolate and the beaten yolk of one egg together until smooth.	false	361.17	373.93	19.539642
122_129752_000006_000001	When done add a teaspoon of vanilla and cool.	When done add a teaspoon of vanilla and cool.	true	374.21	377.13	13
122_129752_000006_000002	Beat one-half cup of butter to a cream, add one cup of sugar slowly, and beat smooth.	Beat one half cup of butter to a cream, add one cup of sugar slowly, and beat smooth.	false	377.13	383.5	21
122_129752_000006_000003	Add two beaten eggs, one-half cup of milk, two cups of flour in which two-thirds teaspoon of soda has been sifted and when well beaten add the cool chocolate mixture.	Add two beaten eggs, one half cup of milk, two cups of flour in which two thirds teaspoon of soda has been sifted and when well beaten add the cool chocolate mixture.	true	383.84	395.65	19
122_129752_000006_000004	Bake in four layers and put together with a white boiled icing.	Bake in four layers and put together with a white boiled icing.	true	395.93	401.13	17
122_129752_000007_000000	~CHOCOLATE CAKE~--Cook one cup of sugar, one-half cup of milk, one cup of grated chocolate and the beaten yolk of one egg together until smooth.	~ CHOCOLATE CAKE ~--Cook one cup of sugar, one half cup of milk, one cup of grated chocolate and the beaten yolk of one egg together until smooth.	false	401.13	401.94	12
122_129752_000007_000001	When done add a teaspoon of vanilla and cool.	When done add a teaspoon of vanilla and cool.	false	401.94	401.94	
122_129752_000007_000002	Beat one-half cup of butter to a cream, add one cup of sugar slowly and beat smooth.	Beat one half cup of butter to a cream, add one cup of sugar slowly and beat smooth.	false	401.94	401.94	
122_129752_000007_000003	Add two beaten eggs, one-half cup of milk, two cups of flour in which two-thirds teaspoon of soda has been sifted, and when well beaten add the cool chocolate mixture.	Add two beaten eggs, one half cup of milk, two cups of flour in which two thirds teaspoon of soda has been sifted, and when well beaten add the cool chocolate mixture.	false	401.94	401.94	
122_129752_000007_000004	Bake in four layers and put together with a white boiled icing.	Bake in four layers and put together with a white boiled icing.	false	401.94	401.94	
122_129752_000008_000000	~CHOCOLATE LAYER CAKE~--Beat a half cupful butter to a cream, adding gradually one cupful sugar.	~ CHOCOLATE LAYER CAKE ~--Beat a half cupful butter to a cream, adding gradually one cupful sugar.	false	401.94	408.19	17
122_129752_000008_000001	When light beat in a little at a time, a half cupful milk and a teaspoonful vanilla.	When light beat in a little at a time, a half cupful milk and a teaspoonful vanilla.	true	408.59	415.66	20
122_129752_000008_000002	Beat the whites of six eggs to a stiff froth and sift a teaspoonful and a half with two cupfuls flour.	Beat the whites of six eggs to a stiff froth and sift a teaspoonful and a half with two cupfuls flour.	false	416.21	423.55	19
122_129752_000008_000003	Add the sifted flour to the mixture.	Add the sifted flour to the mixture.	true	423.74	425.83	19
122_129752_000008_000004	Then fold in the whipped whites.	Then fold in the whipped whites.	true	426.14	428.29	14
122_129752_000008_000005	Have three buttered layer cake tins ready and put two-thirds of the mixture into two of them, into the third tin put the remainder of the batter, having first added to it two tablespoons melted chocolate. Bake the cakes in a rather quick oven for twenty minutes.	Have three buttered layer cake tins ready and put two thirds of the mixture into two of them, into the third tin put the remainder of the batter, having first added to it two tablespoons melted chocolate. Bake the cakes in a rather quick oven for twenty minutes.	true	428.81	446.32	16
122_129752_000008_000006	Put a layer of the white cake on a large plate and cover with white icing, on this lay a dark layer and cover with more of the white icing.	Put a layer of the white cake on a large plate and cover with white icing, on this lay a dark layer and cover with more of the white icing.	false	446.96	455.23	16
122_129752_000008_000007	On this put the third cake and cover with the chocolate icing.	On this put the third cake and cover with the chocolate icing.	true	455.63	458.94	16
122_129752_000008_000008	Put into a graniteware pan one cupful and a half cupful water and cook gently until bubbles begin to rise from bottom.	Put into a graniteware pan one cupful and a half cupful water and cook gently until bubbles begin to rise from bottom.	true	458.94	466.15	11
122_129752_000008_000009	Do not stir or shake while cooking.	Do not stir or shake while cooking.	true	466.4	468.55	18
122_129752_000008_000010	Take at once from the stove and pour in a thin stream over the stiffly whipped whites of two eggs.	Take at once from the stove and pour in a thin stream over the stiffly whipped whites of two eggs.	false	468.98	474.58	13
122_129752_000008_000011	Beat it until thick, flavor with vanilla, and use two-thirds of this for the white icing.	Beat it until thick, flavor with vanilla, and use two thirds of this for the white icing.	true	475.01	480.61	15
122_129752_000008_000012	Into the remainder put a tablespoon and a half melted chocolate and a suspicion of cinnamon extract, and frost the top and sides of the cake.	Into the remainder put a tablespoon and a half melted chocolate and a suspicion of cinnamon extract, and frost the top and sides of the cake.	true	480.89	489.81	19.92227
122_129752_000009_000000	~CHOCOLATE LOAF CAKES~--Cream one cup of butter, add two and one-half cups of sugar and beat to a cream.	~ CHOCOLATE LOAF CAKES ~--Cream one cup of butter, add two and one half cups of sugar and beat to a cream.	false	489.81	497.955	20
122_129752_000009_000001	Beat the yolks of five eggs light, add to the butter and sugar, with one cup of milk and three cups of flour in which four level teaspoons of baking powder have been sifted, the stiffly beaten whites of five eggs and two teaspoons of vanilla flavoring and two squares of chocolate melted.	Beat the yolks of five eggs light, add to the butter and sugar, with one cup of milk and three cups of flour in which four level teaspoons of baking powder have been sifted, the stiffly beaten whites of five eggs and two teaspoons of vanilla flavoring and two squares of chocolate melted.	true	497.955	515.71	15
122_129752_000009_000002	Bake in a moderate oven.	Bake in a moderate oven.	true	515.93	517.62	19
122_129752_000010_000000	~COCOA CAKE~--Cream one-half cup of butter, add one cup of sugar, and beat again.	~ COCOA CAKE ~--Cream one half cup of butter, add one cup of sugar, and beat again.	false	517.62	524.8	19.774284
122_129752_000010_000001	Add the beaten yolks of three eggs and a teaspoon of vanilla.	Add the beaten yolks of three eggs and a teaspoon of vanilla.	true	525.26	529.42	15
122_129752_000010_000002	Sift two cups of pastry flour twice with one-quarter cup of cocoa and four level teaspoons of baking powder.	Sift two cups of pastry flour twice with one quarter cup of cocoa and four level teaspoons of baking powder.	true	529.61	536.35	13
122_129752_000010_000003	Add to the first mixture alternately with three-quarters cup of milk, beat hard, and fold in the stiffly beaten whites of three eggs.	Add to the first mixture alternately with three quarters cup of milk, beat hard, and fold in the stiffly beaten whites of three eggs.	true	536.69	545.29	18
122_129752_000010_000004	Bake in a loaf and cover with white icing.	Bake in a loaf and cover with white icing.	true	545.45	548.28	17
122_129752_000011_000000	~CREAM CAKE OR PIE~--This recipe makes a simple layer cake to be filled in various ways.	~ CREAM CAKE o r PIE ~--This recipe makes a simple layer cake to be filled in various ways.	false	548.28	554.95	19.478443
122_129752_000011_000001	Cream one-quarter cup of butter with one cup of sugar, add the beaten yolks of two eggs and one teaspoon of vanilla.	Cream one quarter cup of butter with one cup of sugar, add the beaten yolks of two eggs and one teaspoon of vanilla.	true	555.38	562.6	14
122_129752_000011_000002	Now beat hard, then mix in one-half cup of milk alternately with one and one-half cups of flour sifted twice with two level teaspoons of baking powder. Beat just enough to make smooth, then fold in lightly the stiffly beaten whites of two eggs and pour into an oblong shallow pan that is buttered, floured and rapped to shake out all that is superfluous.	Now beat hard, then mix in one half cup of milk alternately with one and one half cups of flour sifted twice with two level teaspoons of baking powder. Beat just enough to make smooth, then fold in lightly the stiffly beaten whites of two eggs and pour into an oblong shallow pan that is buttered, floured and rapped to shake out all that is superfluous.	false	562.79	587.65	16
122_129752_000011_000003	Bake about twenty minutes, take from pan and cool.	Bake about twenty minutes, take from pan and cool.	true	588.26	591.69	20
122_129752_000011_000004	Just before serving split the cake and fill with a cooked cream filling or with sweet thick cream beaten, sweetened with powdered sugar and flavored to the taste.	Just before serving split the cake and fill with a cooked cream filling or with sweet thick cream beaten, sweetened with powdered sugar and flavored to the taste.	false	591.69	603.57	21.49907
122_129752_000012_000000	~CREAM LAYER CAKE~--Cream one-quarter cup of butter well with one cup of sugar, add the yolks of three eggs beaten light, one-half cup of milk, then one and one-half cups of flour sifted twice with three level teaspoons of baking powder.	~ CREAM LAYER CAKE ~--Cream one quarter cup of butter well with one cup of sugar, add the yolks of three eggs beaten light, one half cup of milk, then one and one half cups of flour sifted twice with three level teaspoons of baking powder.	false	603.57	620.62	16
122_129752_000012_000001	Stir in lightly last of all the whites of three eggs beaten stiff.	Stir in lightly last of all the whites of three eggs beaten stiff.	true	620.99	625.75	15
122_129752_000012_000002	Bake in a pan large enough to make one thin cake and bake.	Bake in a pan large enough to make one thin cake and bake.	true	626.09	630.13	18
122_129752_000012_000003	Cool and split, then spread on one-half pint of cream beaten light, sweetened, and flavored with a few drops of vanilla.	Cool and split, then spread on one half pint of cream beaten light, sweetened, and flavored with a few drops of vanilla.	false	630.47	638.74	17
122_129752_000012_000004	Put on the top cake and dust with powdered sugar.	Put on the top cake and dust with powdered sugar.	true	639.11	641.82	14
122_129752_000013_000000	~DATE CAKE~--Sift two cups of flour with four level teaspoons of baking powder, one-half level teaspoon of salt and one-quarter cup of butter. Beat one egg, add three-quarters cup of milk and mix into the ingredients.	~ DATE CAKE ~--Sift two cups of flour with four level teaspoons of baking powder, one half level teaspoon of salt and one quarter cup of butter. Beat one egg, add three quarters cup of milk and mix into the ingredients.	false	641.82	657.49	19.635231
122_129752_000013_000001	Add last one and one-half cups of dates stoned and cut into small pieces and rolled in flour.	Add last one and one half cups of dates stoned and cut into small pieces and rolled in flour.	true	657.59	663.58	12
122_129752_000013_000002	Bake in a sheet in a moderate oven and serve warm or with a liquid sauce as a pudding.	Bake in a sheet in a moderate oven and serve warm or with a liquid sauce as a pudding.	true	663.86	669.45	11
122_129752_000014_000000	~EGGLESS CAKE~--One and one-half cups sugar, one cup sour milk, three cups sifted flour, one-half cup shortening, one teaspoon soda, one-half teaspoon cinnamon, one-half teaspoon nutmeg, one cup chopped raisins, salt.	~ EGGLESS CAKE ~--One and one half cups sugar, one cup sour milk, three cups sifted flour, one half cup shortening, one teaspoon soda, one half teaspoon cinnamon, one half teaspoon nutmeg, one cup chopped raisins, salt.	false	669.45	686.88	18
122_129752_000015_000000	~FEATHER CAKE~--Sift one cup of sugar, two cups of sifted flour, three level teaspoons of baking powder and a few grains of salt.	~ FEATHER CAKE ~--Sift one cup of sugar, two cups of sifted flour, three level teaspoons of baking powder and a few grains of salt.	false	686.88	696.67	22.88863
122_129752_000015_000001	Add one cup of milk, one well beaten egg, three tablespoons of melted butter and a teaspoon of vanilla or lemon flavoring or a level teaspoon of mixed spices.	Add one cup of milk, one well beaten egg, three tablespoons of melted butter and a teaspoon of vanilla or lemon flavoring or a level teaspoon of mixed spices.	true	697.01	706.36	23.31482
122_129752_000015_000002	Beat hard and bake in a loaf in a moderate oven about half an hour.	Beat hard and bake in a loaf in a moderate oven about half an hour.	true	706.49	710.4	20
122_129752_000016_000000	~FIG CAKE~--Two cupfuls of sugar, two-thirds of a cup of butter, one cupful of milk, four even cupfuls of flour, five eggs, two teaspoonfuls of cream of tartar, one of soda, sifted with the flour, mix the butter and sugar until creamed, add the unbeaten yolks of the eggs, add the milk and the flour slowly, beating all the time, lastly the whites of the eggs.	~ FIG CAKE ~--Two cupfuls of sugar, two thirds of a cup of butter, one cupful of milk, four even cupfuls of flour, five eggs, two teaspoonfuls of cream of tartar, one of soda, sifted with the flour, mix the butter and sugar until creamed, add the unbeaten yolks of the eggs, add the milk and the flour slowly, beating all the time, lastly the whites of the eggs.	false	710.4	738.01	19.094995
122_129752_000016_000001	Flavor two cupfuls of chopped figs and mix in.	Flavor two cupfuls of chopped figs and mix in.	true	738.68	742.54	17
122_129752_000016_000002	Bake quickly.	Bake quickly.	true	742.7	743.73	19
122_129752_000017_000000	~FIG LAYER CAKE~--Cream one-quarter cup of butter with one cup of sugar, add one beaten egg, one cup of milk, two cups of flour sifted twice with four teaspoons of baking powder.	~ FIG LAYER CAKE ~--Cream one quarter cup of butter with one cup of sugar, add one beaten egg, one cup of milk, two cups of flour sifted twice with four teaspoons of baking powder.	false	743.73	756.61	18
122_129752_000017_000001	Bake in layer tins.	Bake in layer tins.	true	756.95	758.74	17
122_129752_000018_000000	For the filling-chop one-half pound of figs fine, add one-half cup of sugar and one-quarter cup of cold water.	For the filling chop one half pound of figs fine, add one half cup of sugar and one quarter cup of cold water.	true	759.35	766.84	16
122_129752_000018_000001	Cook in a double boiler until soft, let cool, and spread between the cakes.	Cook in a double boiler until soft, let cool, and spread between the cakes.	true	767	772.26	18
122_129752_000019_000000	~FRUIT CAKE~--One cup dark sugar, one-half cup butter, one cup molasses, one cup coffee (cold liquid), three eggs, three tablespoons mixed spices, one pound currants, two pounds raisins, three cups flour, three teaspoons baking powder, one-fourth pound citron.	~ FRUIT CAKE ~--One cup dark sugar, one half cup butter, one cup molasses, one cup coffee (cold liquid), three eggs, three tablespoons mixed spices, one pound currants, two pounds raisins, three cups flour, three teaspoons baking powder, one fourth pound citron.	false	772.26	795.3	18.937092
122_129752_000020_000000	~GOLD CAKE~--Mix the yolks of four eggs, one cup of sugar, one-half cup of sweet milk, one-half cup of butter, three cups of flour sifted three times, one teaspoonful of cream of tartar and one-half teaspoon of soda. Beat very thoroughly.	~ GOLD CAKE ~--Mix the yolks of four eggs, one cup of sugar, one half cup of sweet milk, one half cup of butter, three cups of flour sifted three times, one teaspoonful of cream of tartar and one half teaspoon of soda. Beat very thoroughly.	false	795.3	815.055	19.549583
122_129752_000020_000001	Use a moderate cake oven.	Use a moderate cake oven.	true	815.055	816.69	14
122_129752_000021_000000	~HICKORY NUT CAKE~--Cream one cup of butter with two cups of sugar, add the well beaten yolks of four eggs, and one-half cup of milk.	~ HICKORY NUT CAKE ~--Cream one cup of butter with two cups of sugar, add the well beaten yolks of four eggs, and one half cup of milk.	false	816.69	825.21	19.478376
122_129752_000021_000001	Sift three level teaspoons of baking powder twice with two and one-half cups of pastry flour.	Sift three level teaspoons of baking powder twice with two and one half cups of pastry flour.	true	825.21	831.04	16
122_129752_000021_000002	Reserve one-half cup of the flour and add the remainder to the first mixture.	Reserve one half cup of the flour and add the remainder to the first mixture.	true	831.23	835.87	16
122_129752_000021_000003	Now fold in the whites of four eggs beaten stiff, one teaspoon of lemon juice, half a dozen gratings of the yellow rind of lemon and one cup each of seeded and chopped raisins and of chopped hickory nuts mixed with the reserved half cup of flour.	Now fold in the whites of four eggs beaten stiff, one teaspoon of lemon juice, half a dozen gratings of the yellow rind of lemon and one cup each of seeded and chopped raisins and of chopped hickory nuts mixed with the reserved half cup of flour.	true	836.3	852.04	16
122_129752_000021_000004	Bake in a moderate oven, cover with a white icing and garnish without meats.	Bake in a moderate oven, cover with a white icing and garnish without meats.	true	852.29	857.43	18
122_129752_000022_000000	~HUCKLEBERRY CAKES~--Mix together one quart of flour, one teaspoon salt, four teaspoons baking powder and one-half cup of sugar.	~ HUCKLEBERRY CAKES ~--Mix together one quart of flour, one teaspoon salt, four teaspoons baking powder and one half cup of sugar.	false	857.43	869.14	19.918123
122_129752_000022_000001	Mix one-third cup butter, melted with one cup of milk.	Mix one third cup butter, melted with one cup of milk.	true	869.54	873.67	19
122_129752_000022_000002	Add it to the flour and then add enough more milk to make a dough stiff enough to keep in shape when dropped from a spoon.	Add it to the flour and then add enough more milk to make a dough stiff enough to keep in shape when dropped from a spoon.	true	873.95	880.89	13
122_129752_000022_000003	Flour one pint of berries, stir in quickly, and drop by the large spoonful on a buttered pan or in muffin rings.	Flour one pint of berries, stir in quickly, and drop by the large spoonful on a buttered pan or in muffin rings.	false	880.89	885.58	13
122_129752_000022_000004	Bake twenty minutes.	Bake twenty minutes.	true	885.83	887.4	17
122_129752_000023_000000	~ICE CREAM CAKE~--Cream three-quarters cup of butter with two cups of fine granulated sugar.	~ ICE CREAM CAKE ~--Cream three quarters cup of butter with two cups of fine granulated sugar.	false	887.4	894.94	17
122_129752_000023_000001	Add one cup of milk with two cups of flour and three-quarters cup of cornstarch sifted twice with five level teaspoons of baking powder.	Add one cup of milk with two cups of flour and three quarters cup of cornstarch sifted twice with five level teaspoons of baking powder.	true	895.31	904.06	16
122_129752_000023_000002	Fold in slowly the whites of seven eggs and bake in layers.	Fold in slowly the whites of seven eggs and bake in layers.	true	904.4	909.06	11
122_129752_000024_000000	~LAYER CAKE~--One and one-half cups of sugar, two-thirds of a cup of butter, the whites of six eggs, one cup of sweet milk, two and one-half cups of pastry flour, two teaspoonfuls of baking powder, flavor with lemon, put two-thirds of the mixture into jelly tins.	~ LAYER CAKE ~--One and one half cups of sugar, two thirds of a cup of butter, the whites of six eggs, one cup of sweet milk, two and one half cups of pastry flour, two teaspoonfuls of baking powder, flavor with lemon, put two thirds of the mixture into jelly tins.	false	909.06	929.68	20.204529
122_129752_000024_000001	To the rest add two tablespoonfuls of molasses, one-half cup of raisins (seeded), three figs (chopped), one teaspoonful cinnamon, one-half teaspoonful allspice, two tablespoonfuls of flour.	To the rest add two tablespoonfuls of molasses, one half cup of raisins (seeded), three figs (chopped), one teaspoonful cinnamon, one half teaspoonful allspice, two tablespoonfuls of flour.	false	929.78	945.22	20
122_129752_000024_000002	Bake, when cool, together with jelly, having the dark layer in the center.	Bake, when cool, together with jelly, having the dark layer in the center.	true	945.77	951.03	21.242912
122_129752_000025_000000	~MARGARETTES~--One-half pound of peanuts, one pound of dates chopped fine.	~ m a r g a r e t t e s ~--One half pound of peanuts, one pound of dates chopped fine.	false	951.03	958.65	19.2288
122_129752_000025_000001	One cup of milk in the dates, and boil, add peanuts.	One cup of milk in the dates, and boil, add peanuts.	true	958.65	963.19	17
122_129752_000025_000002	Make a boiled icing.	Make a boiled icing.	true	964.16	965.86	21
122_129752_000025_000003	Take the long branch crackers, spread the filling between the crackers, put on the icing, and put in the oven to brown.	Take the long branch crackers, spread the filling between the crackers, put on the icing, and put in the oven to brown.	true	966.47	974.73	17
122_129752_000026_000000	~PLAIN CAKE~--Beat together one-half cup of butter and two cups of sugar until light and creamy, add the well beaten yolks of three eggs, one-half cup of milk, three cups of flour in which three teaspoons of baking powder have been sifted, and last the stiffly beaten whites of three eggs.	~ PLAIN CAKE ~--Beat together one half cup of butter and two cups of sugar until light and creamy, add the well beaten yolks of three eggs, one half cup of milk, three cups of flour in which three teaspoons of baking powder have been sifted, and last the stiffly beaten whites of three eggs.	false	974.73	995.89	18.720798
122_129752_000026_000001	Add any flavoring preferred and bake in a moderate oven.	Add any flavoring preferred and bake in a moderate oven.	true	996.11	999.21	12
122_129752_000027_000000	~PLAIN TEA CAKE~--Cream two level tablespoons of butter and one cup of sugar together, add one beaten egg, one cup of milk and two cups of flour in which three level teaspoons of baking powder have been sifted. Bake in a sheet, and serve while fresh.	~ PLAIN TEA CAKE ~--Cream two level tablespoons of butter and one cup of sugar together, add one beaten egg, one cup of milk and two cups of flour in which three level teaspoons of baking powder have been sifted. Bake in a sheet, and serve while fresh.	false	999.21	1015.56	19
122_129752_000028_000000	~RAISIN CAKE~--One cup butter, three eggs, one and one-half cups sugar, one cup sour milk, one teaspoon soda, one cup raisins, little nutmeg, three cups flour.	~ RAISIN CAKE ~--One cup butter, three eggs, one and one half cups sugar, one cup sour milk, one teaspoon soda, one cup raisins, little nutmeg, three cups flour.	false	1015.56	1031.84	19.191809
122_129752_000028_000001	One can use two eggs and one-half cup butter; then bake as usual.	One can use two eggs and one half cup butter; then bake as usual.	true	1031.84	1036.26	14
122_129752_000029_000000	~ROCKLAND CAKE~--Two cups sugar, one cup butter beaten to a cream, five eggs, one cup milk, four cups flour, two teaspoonfuls baking powder, one teaspoonful essence of lemon.	~ ROCKLAND CAKE ~--Two cups sugar, one cup butter beaten to a cream, five eggs, one cup milk, four cups flour, two teaspoonfuls baking powder, one teaspoonful essence of lemon.	false	1036.26	1050.54	19
122_129752_000030_000000	~SNIPPODOODLES~--One cup of sugar, one tablespoon of butter, one-half cup of milk, one egg, one cup of flour, one teaspoon of cinnamon.	~ s n i p p o d o o d l e s ~--One cup of sugar, one tablespoon of butter, one half cup of milk, one egg, one cup of flour, one teaspoon of cinnamon.	false	1050.54	1060.78	19.160114
122_129752_000030_000001	Cream the butter, add the sugar, then the eggs well beaten, then the flour, baking powder and cinnamon, sifted together, and the milk.	Cream the butter, add the sugar, then the eggs well beaten, then the flour, baking powder and cinnamon, sifted together, and the milk.	true	1061.03	1069.57	19.135815
122_129752_000030_000002	Spread very thin on the tin sheet and bake.	Spread very thin on the tin sheet and bake.	true	1070.03	1072.72	18
122_129752_000030_000003	When nearly done sprinkle with sugar; when brown remove from the oven, cut into squares and remove quickly with a knife.	When nearly done sprinkle with sugar; when brown remove from the oven, cut into squares and remove quickly with a knife.	true	1072.88	1079.5	15
122_129752_000030_000004	They should be thin and crispy.	They should be thin and crispy.	true	1079.63	1081.35	17
122_129752_000031_000000	~SNOW CAKE~--Beat the white of four eggs stiff.	~ SNOW CAKE ~--Beat the white of four eggs stiff.	false	1081.35	1086.53	21.81911
122_129752_000031_000001	Cream one-half cup of milk and one cup of butter and one cup of sugar, add one-half cup of milk and two cups of flour sifted twice with three level teaspoons of baking-powder.	Cream one half cup of milk and one cup of butter and one cup of sugar, add one half cup of milk and two cups of flour sifted twice with three level teaspoons of baking powder.	true	1086.53	1096.93	13
