2827_170438_000000_000000	THE DEATH OF STONEWALL JACKSON	THE DEATH OF STONEWALL JACKSON	false	1.38	31.725	22.05253
2827_170438_000003_000001	Both were Virginians, and both were strongly opposed to disunion.	Both were Virginians, and both were strongly opposed to disunion.	true	152.115	156.4	22.413881
2827_170438_000003_000002	Lee went so far as to deny the right of secession, while Jackson insisted that the South ought to try to get its rights inside the Union, and not outside.	Lee went so far as to deny the right of secession, while Jackson insisted that the South ought to try to get its rights inside the Union, and not outside.	true	156.68	166.21	22
2827_170438_000003_000003	But when Virginia joined the Southern Confederacy, and the war had actually begun, both men cast their lot with the South.	But when Virginia joined the Southern Confederacy, and the war had actually begun, both men cast their lot with the South.	true	166.43	174.19	21.845858
2827_170438_000004_000000	It is often said that the Civil War was in one sense a repetition of the old struggle between the Puritan and the Cavalier; but Puritan and Cavalier types were common to the two armies.	It is often said that the Civil War was in one sense a repetition of the old struggle between the Puritan and the Cavalier; but Puritan and Cavalier types were common to the two armies.	true	174.77	185.56	21
2827_170438_000004_000001	In dash and light-hearted daring, Custer and Kearney stood as conspicuous as Stuart and Morgan; and, on the other hand, no Northern general approached the Roundhead type--the type of the stern, religious warriors who fought under Cromwell--so closely as Stonewall Jackson.	In dash and light-hearted daring, Custer and Kearney stood as conspicuous as Stuart and Morgan; and, on the other hand, no Northern general approached the Roundhead type-the type of the stern, religious warriors who fought under Cromwell-so closely as Stonewall Jackson.	true	185.57	201.88	22.329943
2827_170438_000004_000002	He was a man of intense religious conviction, who carried into every thought and deed of his daily life the precepts of the faith he cherished.	He was a man of intense religious conviction, who carried into every thought and deed of his daily life the precepts of the faith he cherished.	true	202.1	210.645	23.645864
2827_170438_000004_000003	He was a tender and loving husband and father, kindhearted and gentle to all with whom he was brought in contact; yet in the times that tried men's souls, he proved not only a commander of genius, but a fighter of iron will and temper, who joyed in the battle, and always showed at his best when the danger was greatest.	He was a tender and loving husband and father, kindhearted and gentle to all with whom he was brought in contact; yet in the times that tried men's souls, he proved not only a commander of genius, but a fighter of iron will and temper, who joyed in the battle, and always showed at his best when the danger was greatest.	false	210.645	230.29	22.396383
2827_170438_000004_000004	The vein of fanaticism that ran through his character helped to render him a terrible opponent.	The vein of fanaticism that ran through his character helped to render him a terrible opponent.	true	230.45	236.02	23.590187
2827_170438_000004_000005	He knew no such word as falter, and when he had once put his hand to a piece of work, he did it thoroughly and with all his heart.	He knew no such word as falter, and when he had once put his hand to a piece of work, he did it thoroughly and with all his heart.	true	236.09	244.54	21.333578
2827_170438_000004_000006	It was quite in keeping with his character that this gentle, high-minded, and religious man should, early in the contest, have proposed to hoist the black flag, neither take nor give quarter, and make the war one of extermination.	It was quite in keeping with his character that this gentle, high minded, and religious man should, early in the contest, have proposed to hoist the black flag, neither take nor give quarter, and make the war one of extermination.	true	244.82	258.85	23.678308
2827_170438_000004_000007	No such policy was practical in the nineteenth century and in the American Republic; but it would have seemed quite natural and proper to Jackson's ancestors, the grim Scotch-Irish, who defended Londonderry against the forces of the Stuart king, or to their forefathers, the Covenanters of Scotland, and the Puritans who in England rejoiced at the beheading of King Charles I.	No such policy was practical in the nineteenth century and in the American Republic; but it would have seemed quite natural and proper to Jackson's ancestors, the grim Scotch Irish, who defended Londonderry against the forces of the Stuart king, or to their forefathers, the Covenanters of Scotland, and the Puritans who in England rejoiced at the beheading of King Charles the first	false	258.92	281.89	22.966816
2827_170438_000005_000000	In the first battle in which Jackson took part, the confused struggle at Bull Run, he gained his name of Stonewall from the firmness with which he kept his men to their work and repulsed the attack of the Union troops.	In the first battle in which Jackson took part, the confused struggle at Bull Run, he gained his name of Stonewall from the firmness with which he kept his men to their work and repulsed the attack of the Union troops.	true	282.86	295.75	22.267498
2827_170438_000005_000001	From that time until his death, less than two years afterward, his career was one of brilliant and almost uninterrupted success; whether serving with an independent command in the Valley, or acting under Lee as his right arm in the pitched battles with McClellan, Pope, and Burnside.	From that time until his death, less than two years afterward, his career was one of brilliant and almost uninterrupted success; whether serving with an independent command in the Valley, or acting under Lee as his right arm in the pitched battles with McClellan, Pope, and Burnside.	true	296.21	313.24	23
2827_170438_000005_000002	Few generals as great as Lee have ever had as great a lieutenant as Jackson.	Few generals as great as Lee have ever had as great a lieutenant as Jackson.	true	313.31	318.16	22
2827_170438_000005_000003	He was a master of strategy and tactics, fearless of responsibility, able to instil into his men his own intense ardor in battle, and so quick in his movements, so ready to march as well as fight, that his troops were known to the rest of the army as the "foot cavalry."	He was a master of strategy and tactics, fearless of responsibility, able to instil into his men his own intense ardor in battle, and so quick in his movements, so ready to march as well as fight, that his troops were known to the rest of the army as the "foot cavalry."	true	318.38	335.68	22.842684
2827_170438_000006_000000	In the spring of 1863 Hooker had command of the Army of the Potomac. Like McClellan, he was able to perfect the discipline of his forces and to organize them, and as a division commander he was better than McClellan, but he failed even more signally when given a great independent command.	In the spring of eighteen sixty three Hooker had command of the Army of the Potomac. Like McClellan, he was able to perfect the discipline of his forces and to organize them, and as a division commander he was better than McClellan, but he failed even more signally when given a great independent command.	true	336.68	354.82	22.370646
2827_170438_000006_000001	He had under him 120,000 men when, toward the end of April, he prepared to attack Lee's army, which was but half as strong.	He had under him one hundred twenty thousand men when, toward the end of April, he prepared to attack Lee's army, which was but half as strong.	true	354.95	364.24	22.366571
2827_170438_000007_000000	The Union army lay opposite Fredericksburg, looking at the fortified heights where they had received so bloody a repulse at the beginning of the winter.	The Union army lay opposite Fredericksburg, looking at the fortified heights where they had received so bloody a repulse at the beginning of the winter.	true	365	373.36	22.162859
2827_170438_000007_000001	Hooker decided to distract the attention of the Confederates by letting a small portion of his force, under General Sedgwick, attack Fredericksburg, while he himself took the bulk of the army across the river to the right hand so as to crush Lee by an assault on his flank. All went well at the beginning, and on the first of May Hooker found himself at Chancellorsville, face-to-face with the bulk of Lee's forces; and Sedgwick, crossing the river and charging with the utmost determination, had driven out of Fredericksburg the Confederate division of Early; but when Hooker found himself in front of Lee he hesitated, faltered instead of pushing on, and allowed the consummate general to whom he was opposed to take the initiative.	Hooker decided to distract the attention of the Confederates by letting a small portion of his force, under General Sedgwick, attack Fredericksburg, while he himself took the bulk of the army across the river to the right hand so as to crush Lee by an assault on his flank. All went well at the beginning, and on the first of May Hooker found himself at Chancellorsville, face to face with the bulk of Lee's forces; and Sedgwick, crossing the river and charging with the utmost determination, had driven out of Fredericksburg the Confederate division of Early; but when Hooker found himself in front of Lee he hesitated, faltered instead of pushing on, and allowed the consummate general to whom he was opposed to take the initiative.	true	373.67	417.1	22.897686
2827_170438_000008_000000	Lee fully realized his danger, and saw that his only chance was, first to beat back Hooker, and then to turn and overwhelm Sedgwick, who was in his rear.	Lee fully realized his danger, and saw that his only chance was, first to beat back Hooker, and then to turn and overwhelm Sedgwick, who was in his rear.	true	418.04	427.69	22
2827_170438_000008_000001	He consulted with Jackson, and Jackson begged to be allowed to make one of his favorite flank attacks upon the Union army; attacks which could have been successfully delivered only by a skilled and resolute general, and by troops equally able to march and to fight.	He consulted with Jackson, and Jackson begged to be allowed to make one of his favorite flank attacks upon the Union army; attacks which could have been successfully delivered only by a skilled and resolute general, and by troops equally able to march and to fight.	true	427.88	443.145	23.474669
2827_170438_000008_000002	Lee consented, and Jackson at once made off.	Lee consented, and Jackson at once made off.	true	443.145	446.43	23.782238
2827_170438_000008_000003	The country was thickly covered with a forest of rather small growth, for it was a wild region, in which there was still plenty of game.	The country was thickly covered with a forest of rather small growth, for it was a wild region, in which there was still plenty of game.	true	446.43	454.72	23.293232
2827_170438_000008_000004	Shielded by the forest, Jackson marched his gray columns rapidly to the left along the narrow country roads until he was square on the flank of the Union right wing, which was held by the Eleventh Corps, under Howard.	Shielded by the forest, Jackson marched his gray columns rapidly to the left along the narrow country roads until he was square on the flank of the Union right wing, which was held by the Eleventh Corps, under Howard.	true	454.76	467.77	22.572361
2827_170438_000008_000005	The Union scouts got track of the movement and reported it at headquarters, but the Union generals thought the Confederates were retreating; and when finally the scouts brought word to Howard that he was menaced by a flank attack he paid no heed to the information, and actually let his whole corps be surprised in broad daylight.	The Union scouts got track of the movement and reported it at headquarters, but the Union generals thought the Confederates were retreating; and when finally the scouts brought word to Howard that he was menaced by a flank attack he paid no heed to the information, and actually let his whole corps be surprised in broad daylight.	true	468.02	487.3	23.267004
2827_170438_000008_000006	Yet all the while the battle was going on elsewhere, and Berdan's sharpshooters had surrounded and captured a Georgia regiment, from which information was received showing definitely that Jackson was not retreating, and must be preparing to strike a heavy blow.	Yet all the while the battle was going on elsewhere, and Berdan's sharpshooters had surrounded and captured a Georgia regiment, from which information was received showing definitely that Jackson was not retreating, and must be preparing to strike a heavy blow.	true	487.55	502.54	21
2827_170438_000009_000000	The Eleventh Corps had not the slightest idea that it was about to be assailed.	The Eleventh Corps had not the slightest idea that it was about to be assailed.	true	504.02	508.66	20.49385
2827_170438_000009_000001	The men were not even in line.	The men were not even in line.	true	508.67	510.525	19.592598
2827_170438_000009_000002	Many of them had stacked their muskets and were lounging about, some playing cards, others cooking supper, intermingled with the pack-mules and beef cattle.	Many of them had stacked their muskets and were lounging about, some playing cards, others cooking supper, intermingled with the pack mules and beef cattle.	true	510.525	519.25	22.847492
2827_170438_000009_000003	While they were thus utterly unprepared Jackson's gray-clad veterans pushed straight through the forest and rushed fiercely to the attack.	While they were thus utterly unprepared Jackson's gray clad veterans pushed straight through the forest and rushed fiercely to the attack.	true	519.53	527.26	23.225218
2827_170438_000009_000004	The first notice the troops of the Eleventh Corps received did not come from the pickets, but from the deer, rabbits and foxes which, fleeing from their coverts at the approach of the Confederates, suddenly came running over and into the Union lines.	The first notice the troops of the Eleventh Corps received did not come from the pickets, but from the deer, rabbits and foxes which, fleeing from their coverts at the approach of the Confederates, suddenly came running over and into the Union lines.	true	527.39	542.01	23.227283
2827_170438_000009_000005	In another minute the frightened pickets came tumbling back, and right behind them came the long files of charging, yelling Confederates; With one fierce rush Jackson's men swept over the Union lines, and at a blow the Eleventh Corps became a horde of panicstruck fugitives.	In another minute the frightened pickets came tumbling back, and right behind them came the long files of charging, yelling Confederates; With one fierce rush Jackson's men swept over the Union lines, and at a blow the Eleventh Corps became a horde of panicstruck fugitives.	true	542.01	558.37	22.138676
2827_170438_000009_000006	Some of the regiments resisted for a few moments, and then they too were carried away in the flight.	Some of the regiments resisted for a few moments, and then they too were carried away in the flight.	true	558.5	563.89	20.21755
2827_170438_000010_000000	For a while it seemed as if the whole army would be swept off; but Hooker and his subordinates exerted every effort to restore order.	For a while it seemed as if the whole army would be swept off; but Hooker and his subordinates exerted every effort to restore order.	true	564.71	572.95	23.953882
2827_170438_000010_000001	It was imperative to gain time so that the untouched portions of the army could form across the line of the Confederate advance.	It was imperative to gain time so that the untouched portions of the army could form across the line of the Confederate advance.	true	573.08	580.63	22.999575
2827_170438_000011_000000	Keenan's regiment of Pennsylvania cavalry, but four hundred sabers strong, was accordingly sent full against the front of the ten thousand victorious Confederates.	Keenan's regiment of Pennsylvania cavalry, but four hundred sabers strong, was accordingly sent full against the front of the ten thousand victorious Confederates.	true	580.91	590.92	23.647324
2827_170438_000012_000000	Keenan himself fell, pierced by bayonets, and the charge was repulsed at once; but a few priceless moments had been saved, and Pleasanton had been given time to post twenty-two guns, loaded with double canister, where they would bear upon the enemy.	Keenan himself fell, pierced by bayonets, and the charge was repulsed at once; but a few priceless moments had been saved, and Pleasanton had been given time to post twenty two guns, loaded with double canister, where they would bear upon the enemy.	true	591.35	607.06	22.727303
2827_170438_000013_000000	The Confederates advanced in a dense mass, yelling and cheering, and the discharge of the guns fairly blew them back across the work's they had just taken.	The Confederates advanced in a dense mass, yelling and cheering, and the discharge of the guns fairly blew them back across the work's they had just taken.	true	607.79	616.6	22.880972
2827_170438_000013_000001	Again they charged, and again were driven back; and when the battle once more began the Union reinforcements had arrived.	Again they charged, and again were driven back; and when the battle once more began the Union reinforcements had arrived.	true	616.79	624.13	22.080105
2827_170438_000014_000000	It was about this time that Jackson himself was mortally wounded.	It was about this time that Jackson himself was mortally wounded.	true	625.01	629.31	21.339994
2827_170438_000014_000001	He had been leading and urging on the advance of his men, cheering them with voice and gesture, his pale face flushed with joy and excitement, while from time to time as he sat on his horse he took off his hat and, looking upward, thanked heaven for the victory it had vouchsafed him. As darkness drew near he was in the front, where friend and foe were mingled in almost inextricable confusion.	He had been leading and urging on the advance of his men, cheering them with voice and gesture, his pale face flushed with joy and excitement, while from time to time as he sat on his horse he took off his hat and, looking upward, thanked heaven for the victory it had vouchsafed him. As darkness drew near he was in the front, where friend and foe were mingled in almost inextricable confusion.	true	629.31	653.11	22.4248
2827_170438_000014_000002	He and his staff were fired at, at close range, by the Union troops, and, as they turned, were fired at again, through a mistake, by the Confederates behind them.	He and his staff were fired at, at close range, by the Union troops, and, as they turned, were fired at again, through a mistake, by the Confederates behind them.	true	653.15	663.46	23.465092
2827_170438_000014_000003	Jackson fell, struck in several places.	Jackson fell, struck in several places.	true	663.68	666.88	23.85265
2827_170438_000014_000004	He was put in a litter and carried back; but he never lost consciousness, and when one of his generals complained of the terrible effect of the Union cannonade he answered:	He was put in a litter and carried back; but he never lost consciousness, and when one of his generals complained of the terrible effect of the Union cannonade he answered:	true	667.01	677.38	22.850716
2827_170438_000015_000000	"You must hold your ground."	"You must hold your ground."	true	677.51	679.45	20.431278
2827_170438_000016_000000	For several days he lingered, hearing how Lee beat Hooker, in detail, and forced him back across the river.	For several days he lingered, hearing how Lee beat Hooker, in detail, and forced him back across the river.	true	680.18	687.16	21.782864
2827_170438_000016_000001	Then the old Puritan died.	Then the old Puritan died.	true	687.38	689.53	22.918745
2827_170438_000016_000002	At the end his mind wandered, and he thought he was again commanding in battle, and his last words were.	At the end his mind wandered, and he thought he was again commanding in battle, and his last words were.	true	689.75	696.22	22.818563
2827_170438_000017_000000	"Let us cross over the river and rest in the shade."	"Let us cross over the river and rest in the shade."	true	696.29	699.76	21.18578
2827_170438_000018_000000	Thus perished Stonewall Jackson, one of the ablest of soldiers and one of the most upright of men, in the last of his many triumphs.	Thus perished Stonewall Jackson, one of the ablest of soldiers and one of the most upright of men, in the last of his many triumphs.	true	700.46	709.14	22.324036
2827_170438_000019_000000	THE CHARGE AT GETTYSBURG	THE CHARGE AT GETTYSBURG	false	709.14	709.35	-10
2827_170438_000020_000000	For the Lord On the whirlwind is abroad; In the earthquake he has spoken; He has smitten with his thunder The iron walls asunder, And the gates of brass are broken! --Whittier	For the Lord On the whirlwind is abroad; In the earthquake he has spoken; He has smitten with his thunder The iron walls asunder, And the gates of brass are broken! --Whittier	false	709.35	711.24	18.708803
2827_170438_000021_000000	With bray of the trumpet, And roll of the drum, And keen ring of bugle The cavalry come: Sharp clank the steel scabbards, The bridle-chains ring, And foam from red nostrils The wild chargers fling!	With bray of the trumpet, And roll of the drum, And keen ring of bugle The cavalry come: Sharp clank the steel scabbards, The bridle chains ring, And foam from red nostrils The wild chargers fling!	false	711.24	722.01	17.043997
