7647_102250_000001_000000	CHAPTER XX	CHAPTER twenty
7647_102250_000006_000000	[Illustration: HISTORICAL MAP OF THE UNITED STATES IN 1854 SHOWING THE VARIOUS ACCESSIONS OF TERRITORY ETC.	[Illustration: HISTORICAL MAP OF THE UNITED STATES IN eighteen fifty four SHOWING THE VARIOUS ACCESSIONS OF TERRITORY etc
7647_102250_000008_000000	For the present, party disintegration was slow; men were reluctant to abandon their old-time principles and associations.	For the present, party disintegration was slow; men were reluctant to abandon their old time principles and associations.
7647_102250_000008_000001	The united efforts of Douglas and the Administration held the body of the Northern Democrats to his fatal policy, though protests and defections became alarmingly frequent.	The united efforts of Douglas and the Administration held the body of the Northern Democrats to his fatal policy, though protests and defections became alarmingly frequent.
7647_102250_000008_000002	On the other hand, the great mass of Northern Whigs promptly opposed the repeal, and formed the bulk of the opposition, nevertheless losing perhaps as many pro-slavery Whigs as they gained antislavery Democrats.	On the other hand, the great mass of Northern Whigs promptly opposed the repeal, and formed the bulk of the opposition, nevertheless losing perhaps as many pro slavery Whigs as they gained antislavery Democrats.
7647_102250_000008_000003	The real and effective gain, therefore, was the more or less thorough alliance of the Whig party and the Free-soil party of the Northern States: wherever that was successful it gave immediate and available majorities to the opposition, which made their influence felt even in the very opening of the popular contest following the Congressional repeal.	The real and effective gain, therefore, was the more or less thorough alliance of the Whig party and the Free soil party of the Northern States: wherever that was successful it gave immediate and available majorities to the opposition, which made their influence felt even in the very opening of the popular contest following the Congressional repeal.
7647_102250_000009_000000	It happened that this was a year for electing Congressmen.	It happened that this was a year for electing Congressmen.
7647_102250_000009_000001	The Nebraska bill did not pass till the end of May, and the political excitement was at once transferred from Washington to every district of the whole country.	The Nebraska bill did not pass till the end of May, and the political excitement was at once transferred from Washington to every district of the whole country.
7647_102250_000009_000002	It may be said with truth that the year 1854 formed one continuous and solid political campaign from January to November, rising in interest and earnestness from first to last, and engaging in the discussion more fully than had ever occurred in previous American history all the constituent elements of our population.	It may be said with truth that the year eighteen fifty four formed one continuous and solid political campaign from January to November, rising in interest and earnestness from first to last, and engaging in the discussion more fully than had ever occurred in previous American history all the constituent elements of our population.
7647_102250_000010_000002	The Whig party, however, having carried two slave States for Scott in 1852, and holding a strong minority in the remainder, was not so unanimous.	The Whig party, however, having carried two slave States for Scott in eighteen fifty two, and holding a strong minority in the remainder, was not so unanimous.
7647_102250_000010_000003	Seven Southern Representatives and two Southern Senators had voted against the Nebraska bill, and many individual voters condemned it as an act of bad faith--as the abandonment of the accepted "finality," and as the provocation of a dangerous antislavery reaction.	Seven Southern Representatives and two Southern Senators had voted against the Nebraska bill, and many individual voters condemned it as an act of bad faith-as the abandonment of the accepted "finality," and as the provocation of a dangerous antislavery reaction.
7647_102250_000010_000004	But public opinion in that part of the Union was fearfully tyrannical and intolerant; and opposition dared only to manifest itself to Democratic party organization--not to these Democratic party measures.	But public opinion in that part of the Union was fearfully tyrannical and intolerant; and opposition dared only to manifest itself to Democratic party organization-not to these Democratic party measures.
7647_102250_000010_000005	The Whigs of the South were therefore driven precipitately to division.	The Whigs of the South were therefore driven precipitately to division.
7647_102250_000010_000006	Those of extreme pro-slavery views, like Dixon, of Kentucky,--who, when he introduced his amendment, declared, "Upon the question of slavery I know no Whiggery and no Democracy,"--went boldly and at once over into the Democratic camp, while those who retained their traditional party name and flag were sundered from their ancient allies in the Northern States by the impossibility of taking up the latter's antislavery war-cry.	Those of extreme pro slavery views, like Dixon, of Kentucky,--who, when he introduced his amendment, declared, "Upon the question of slavery I know no Whiggery and no Democracy,"--went boldly and at once over into the Democratic camp, while those who retained their traditional party name and flag were sundered from their ancient allies in the Northern States by the impossibility of taking up the latter's antislavery war cry.
7647_102250_000011_000002	Operating in entire secrecy, the country was startled by the sudden appearance in one locality after another, on election day, of a potent and unsuspected political power, which in many instances pushed both the old organizations not only to disastrous but even to ridiculous defeat.	Operating in entire secrecy, the country was startled by the sudden appearance in one locality after another, on election day, of a potent and unsuspected political power, which in many instances pushed both the old organizations not only to disastrous but even to ridiculous defeat.
7647_102250_000012_000000	When, in the opening of the anti-Nebraska contest, the Free-soil leaders undertook the formation of a new party to supersede the old, they had, because of their generally democratic antecedents, with great unanimity proposed that it be called the "Republican" party, thus reviving the distinctive appellation by which the followers of Jefferson were known in the early days of the republic.	When, in the opening of the anti Nebraska contest, the Free soil leaders undertook the formation of a new party to supersede the old, they had, because of their generally democratic antecedents, with great unanimity proposed that it be called the "Republican" party, thus reviving the distinctive appellation by which the followers of Jefferson were known in the early days of the republic.
7647_102250_000012_000001	Considering the fact that Jefferson had originated the policy of slavery restriction in his draft of the ordinance of 1784, the name became singularly appropriate, and wherever the Free-soilers succeeded in forming a coalition it was adopted without question.	Considering the fact that Jefferson had originated the policy of slavery restriction in his draft of the ordinance of seventeen eighty four, the name became singularly appropriate, and wherever the Free soilers succeeded in forming a coalition it was adopted without question.
7647_102250_000012_000002	But the refusal of the Whigs in many States to surrender their name and organization, and more especially the abrupt appearance of the Know-Nothings on the field of parties, retarded the general coalition between the Whigs and the Free-soilers which so many influences favored.	But the refusal of the Whigs in many States to surrender their name and organization, and more especially the abrupt appearance of the Know Nothings on the field of parties, retarded the general coalition between the Whigs and the Free soilers which so many influences favored.
7647_102250_000012_000003	As it turned out, a great variety of party names were retained or adopted in the Congressional and State campaigns of 1854, the designation of "anti- Nebraska" being perhaps the most common, and certainly for the moment the most serviceable, since denunciation of the Nebraska bill was the one all-pervading bond of sympathy and agreement among men who differed very widely on almost all other political topics.	As it turned out, a great variety of party names were retained or adopted in the Congressional and State campaigns of eighteen fifty four, the designation of "anti Nebraska" being perhaps the most common, and certainly for the moment the most serviceable, since denunciation of the Nebraska bill was the one all pervading bond of sympathy and agreement among men who differed very widely on almost all other political topics.
7647_102250_000012_000004	This affiliation, however, was confined exclusively to the free States.	This affiliation, however, was confined exclusively to the free States.
7647_102250_000013_000000	Thus confronted, the Nebraska and anti-Nebraska factions, or, more philosophically speaking, the pro-slavery and antislavery sentiment of the several American States, battled for political supremacy with a zeal and determination only manifested on occasions of deep and vital concern to the welfare of the republic.	Thus confronted, the Nebraska and anti Nebraska factions, or, more philosophically speaking, the pro slavery and antislavery sentiment of the several American States, battled for political supremacy with a zeal and determination only manifested on occasions of deep and vital concern to the welfare of the republic.
7647_102250_000013_000001	However languidly certain elements of American society may perform what they deem the drudgery of politics, they do not shrink from it when they hear warning of real danger.	However languidly certain elements of American society may perform what they deem the drudgery of politics, they do not shrink from it when they hear warning of real danger.
7647_102250_000013_000002	The alarm of the nation on the repeal of the Missouri Compromise was serious and startling.	The alarm of the nation on the repeal of the Missouri Compromise was serious and startling.
7647_102250_000013_000003	All ranks and occupations therefore joined with a new energy in the contest it provoked. Particularly was the religious sentiment of the North profoundly moved by the moral question involved.	All ranks and occupations therefore joined with a new energy in the contest it provoked. Particularly was the religious sentiment of the North profoundly moved by the moral question involved.
7647_102250_000013_000004	Perhaps for the first time in our modern politics, the pulpit vied with the press, and the Church with the campaign club, in the work of debate and propagandism.	Perhaps for the first time in our modern politics, the pulpit vied with the press, and the Church with the campaign club, in the work of debate and propagandism.
7647_102250_000014_000000	The very inception of the struggle had provoked bitter words.	The very inception of the struggle had provoked bitter words.
7647_102250_000014_000002	Douglas, seizing only too gladly the pretext to use denunciation instead of argument, replied in his opening speech, in turn stigmatizing them as "abolition confederates"	Douglas, seizing only too gladly the pretext to use denunciation instead of argument, replied in his opening speech, in turn stigmatizing them as "abolition confederates"
7647_102250_000014_000003	"assembled in secret conclave"	"assembled in secret conclave"
7647_102250_000017_000001	The gradual disruption of parties, and the new and radical attitudes assumed by men of independent thought, gave ample occasion to indulge in such epithets as "apostates," "renegades," and "traitors." Unusual acrimony grew out of the zeal of the Church and its ministers.	The gradual disruption of parties, and the new and radical attitudes assumed by men of independent thought, gave ample occasion to indulge in such epithets as "apostates," "renegades," and "traitors." Unusual acrimony grew out of the zeal of the Church and its ministers.
7647_102250_000017_000005	But they, on the other hand, persisted all the more earnestly in justifying their interference in moral questions wherever they appeared, and were clearly sustained by the public opinion of the North.	But they, on the other hand, persisted all the more earnestly in justifying their interference in moral questions wherever they appeared, and were clearly sustained by the public opinion of the North.
7647_102250_000018_000001	While the measure was yet under discussion in the House in March, New Hampshire led off by an election completely obliterating the eighty-nine Democratic majority in her Legislature.	While the measure was yet under discussion in the House in March, New Hampshire led off by an election completely obliterating the eighty nine Democratic majority in her Legislature.
7647_102250_000018_000002	Connecticut followed in her footsteps early in April. Long before November it was evident that the political revolution among the people of the North was thorough, and that election day was anxiously awaited merely to record the popular verdict already decided.	Connecticut followed in her footsteps early in April. Long before November it was evident that the political revolution among the people of the North was thorough, and that election day was anxiously awaited merely to record the popular verdict already decided.
7647_102250_000019_000000	The influence of this result upon parties, old and new, is perhaps best illustrated in the organization of the Thirty-fourth Congress, chosen at these elections during the year 1854, which witnessed the repeal of the Missouri Compromise.	The influence of this result upon parties, old and new, is perhaps best illustrated in the organization of the Thirty fourth Congress, chosen at these elections during the year eighteen fifty four, which witnessed the repeal of the Missouri Compromise.
7647_102250_000019_000001	Each Congress, in ordinary course, meets for the first time about one year after its members are elected by the people, and the influence of politics during the interim needs always to be taken into account.	Each Congress, in ordinary course, meets for the first time about one year after its members are elected by the people, and the influence of politics during the interim needs always to be taken into account.
7647_102250_000020_000001	In the new Congress there were in the House, as nearly as the classification could be made, about 108 anti-Nebraska members, nearly 40 Know-Nothings, and about 75 Democrats; the remaining members were undecided.	In the new Congress there were in the House, as nearly as the classification could be made, about one hundred eight anti Nebraska members, nearly forty Know Nothings, and about seventy five Democrats; the remaining members were undecided.
7647_102250_000021_000000	But as yet the new party was merely inchoate, its elements distrustful, jealous, and discordant; the feuds and battles of a quarter of a century were not easily forgotten or buried.	But as yet the new party was merely inchoate, its elements distrustful, jealous, and discordant; the feuds and battles of a quarter of a century were not easily forgotten or buried.
