1392_128240_000003_000000	XVII.	seventeen.
1392_128240_000015_000001	Canst thou be judge for thyself, and avenger of thy law?	Canst thou be judge for thyself, and avenger of thy law?
1392_128240_000016_000000	Terrible is aloneness with the judge and avenger of one's own law. Thus is a star projected into desert space, and into the icy breath of aloneness.	Terrible is aloneness with the judge and avenger of one's own law. Thus is a star projected into desert space, and into the icy breath of aloneness.
1392_128240_000020_000000	There are feelings which seek to slay the lonesome one; if they do not succeed, then must they themselves die!	There are feelings which seek to slay the lonesome one; if they do not succeed, then must they themselves die!
1392_128240_000020_000001	But art thou capable of it--to be a murderer?	But art thou capable of it-to be a murderer?
1392_128240_000021_000000	Hast thou ever known, my brother, the word "disdain"?	Hast thou ever known, my brother, the word "disdain"?
1392_128240_000021_000001	And the anguish of thy justice in being just to those that disdain thee?	And the anguish of thy justice in being just to those that disdain thee?
1392_128240_000022_000000	Thou forcest many to think differently about thee; that, charge they heavily to thine account.	Thou forcest many to think differently about thee; that, charge they heavily to thine account.
1392_128240_000022_000001	Thou camest nigh unto them, and yet wentest past: for that they never forgive thee.	Thou camest nigh unto them, and yet wentest past: for that they never forgive thee.
1392_128240_000023_000000	Thou goest beyond them: but the higher thou risest, the smaller doth the eye of envy see thee.	Thou goest beyond them: but the higher thou risest, the smaller doth the eye of envy see thee.
1392_128240_000023_000001	Most of all, however, is the flying one hated.	Most of all, however, is the flying one hated.
1392_128240_000024_000000	"How could ye be just unto me!"--must thou say--"I choose your injustice as my allotted portion."	"How could ye be just unto me!"--must thou say-"I choose your injustice as my allotted portion."
1392_128240_000025_000000	Injustice and filth cast they at the lonesome one: but, my brother, if thou wouldst be a star, thou must shine for them none the less on that account!	Injustice and filth cast they at the lonesome one: but, my brother, if thou wouldst be a star, thou must shine for them none the less on that account!
1392_128240_000026_000000	And be on thy guard against the good and just!	And be on thy guard against the good and just!
1392_128240_000026_000001	They would fain crucify those who devise their own virtue--they hate the lonesome ones.	They would fain crucify those who devise their own virtue-they hate the lonesome ones.
1392_128240_000027_000000	Be on thy guard, also, against holy simplicity!	Be on thy guard, also, against holy simplicity!
1392_128240_000027_000001	All is unholy to it that is not simple; fain, likewise, would it play with the fire--of the fagot and stake.	All is unholy to it that is not simple; fain, likewise, would it play with the fire-of the fagot and stake.
1392_128240_000028_000000	And be on thy guard, also, against the assaults of thy love!	And be on thy guard, also, against the assaults of thy love!
1392_128240_000028_000001	Too readily doth the recluse reach his hand to any one who meeteth him.	Too readily doth the recluse reach his hand to any one who meeteth him.
1392_128240_000029_000000	To many a one mayest thou not give thy hand, but only thy paw; and I wish thy paw also to have claws.	To many a one mayest thou not give thy hand, but only thy paw; and I wish thy paw also to have claws.
1392_128240_000030_000000	But the worst enemy thou canst meet, wilt thou thyself always be; thou waylayest thyself in caverns and forests.	But the worst enemy thou canst meet, wilt thou thyself always be; thou waylayest thyself in caverns and forests.
1392_128240_000031_000000	Thou lonesome one, thou goest the way to thyself!	Thou lonesome one, thou goest the way to thyself!
1392_128240_000031_000001	And past thyself and thy seven devils leadeth thy way!	And past thyself and thy seven devils leadeth thy way!
1392_128240_000032_000000	A heretic wilt thou be to thyself, and a wizard and a sooth-sayer, and a fool, and a doubter, and a reprobate, and a villain.	A heretic wilt thou be to thyself, and a wizard and a sooth sayer, and a fool, and a doubter, and a reprobate, and a villain.
1392_128240_000034_000000	Thou lonesome one, thou goest the way of the creating one: a God wilt thou create for thyself out of thy seven devils!	Thou lonesome one, thou goest the way of the creating one: a God wilt thou create for thyself out of thy seven devils!
1392_128240_000036_000000	To create, desireth the loving one, because he despiseth!	To create, desireth the loving one, because he despiseth!
1392_128240_000036_000001	What knoweth he of love who hath not been obliged to despise just what he loved!	What knoweth he of love who hath not been obliged to despise just what he loved!
1392_128240_000038_000000	With my tears, go into thine isolation, my brother.	With my tears, go into thine isolation, my brother.
1392_128240_000038_000001	I love him who seeketh to create beyond himself, and thus succumbeth.--	I love him who seeketh to create beyond himself, and thus succumbeth.--
1392_128240_000039_000000	Thus spake Zarathustra.	Thus spake Zarathustra.
