5115_26950_000000_000000	The one cord vibrated to its utmost.	The one cord vibrated to its utmost.	false	5.46	7.29	19
5115_26950_000018_000001	A fine contrast to my bland and smiling Messer Greco-- my _Bacco trionfante_, who has married the fair Antigone in contradiction to all history and fitness.	A fine contrast to my bland and smiling Messer Greco- my underscore Bacco trionfante underscore, who has married the fair Antigone in contradiction to all history and fitness.	false	161.48	170.83	22
5115_26950_000018_000002	Aha! his scholar's blood curdled uncomfortably at the old fellow's clutch!" When Piero re-entered the Piazza del Duomo the multitude who had been listening to Fra Girolamo were pouring out from all the doors, and the haste they made to go on their several ways was a proof how important they held the preaching which had detained them from the other occupations of the day. The artist leaned against an angle of the Baptistery and watched the departing crowd, delighting in the variety of the garb and of the keen characteristic faces--faces such as Masaccio had painted more than fifty years before: such as Domenico Ghirlandajo had not yet quite left off painting.	Aha! his scholar's blood curdled uncomfortably at the old fellow's clutch!" When Piero re-entered the Piazza del Duomo the multitude who had been listening to Fra Girolamo were pouring out from all the doors, and the haste they made to go on their several ways was a proof how important they held the preaching which had detained them from the other occupations of the day. The artist leaned against an angle of the Baptistery and watched the departing crowd, delighting in the variety of the garb and of the keen characteristic faces-faces such as Masaccio had painted more than fifty years before: such as Domenico Ghirlandajo had not yet quite left off painting.	false	171.2	207.165	21
5115_26950_000019_000000	This morning was a peculiar occasion, and the Frate's audience, always multifarious, had represented even more completely than usual the various classes and political parties of Florence.	This morning was a peculiar occasion, and the Frate's audience, always multifarious, had represented even more completely than usual the various classes and political parties of Florence.	false	207.165	216.945	16
5115_26950_000019_000001	There were men of high birth, accustomed to public charges at home and abroad, who had become newly conspicuous not only as enemies of the Medici and friends of popular government, but as thorough Piagnoni, espousing to the utmost the doctrines and practical teaching of the Frate, and frequenting San Marco as the seat of another Samuel: some of them men of authoritative and handsome presence, like Francesco Valori, and perhaps also of a hot and arrogant temper, very much gratified by an immediate divine authority for bringing about freedom in their own way; others, like Soderini, with less of the ardent Piagnone, and more of the wise politician.	There were men of high birth, accustomed to public charges at home and abroad, who had become newly conspicuous not only as enemies of the Medici and friends of popular government, but as thorough Piagnoni, espousing to the utmost the doctrines and practical teaching of the Frate, and frequenting San Marco as the seat of another Samuel: some of them men of authoritative and handsome presence, like Francesco Valori, and perhaps also of a hot and arrogant temper, very much gratified by an immediate divine authority for bringing about freedom in their own way; others, like Soderini, with less of the ardent Piagnone, and more of the wise politician.	false	216.945	252.88	19
5115_26950_000019_000002	There were men, also of family, like Piero Capponi, simply brave undoctrinal lovers of a sober republican liberty, who preferred fighting to arguing, and had no particular reasons for thinking any ideas false that kept out the Medici and made room for public spirit. At their elbows were doctors of law whose studies of Accursius and his brethren had not so entirely consumed their ardour as to prevent them from becoming enthusiastic Piagnoni: Messer Luca Corsini himself, for example, who on a memorable occasion yet to come was to raise his learned arms in street stone-throwing for the cause of religion, freedom, and the Frate.	There were men, also of family, like Piero Capponi, simply brave undoctrinal lovers of a sober republican liberty, who preferred fighting to arguing, and had no particular reasons for thinking any ideas false that kept out the Medici and made room for public spirit. At their elbows were doctors of law whose studies of Accursius and his brethren had not so entirely consumed their ardour as to prevent them from becoming enthusiastic Piagnoni: Messer Luca Corsini himself, for example, who on a memorable occasion yet to come was to raise his learned arms in street stone throwing for the cause of religion, freedom, and the Frate.	false	253.13	289.45	19
5115_26950_000019_000003	And among the dignities who carried their black lucco or furred mantle with an air of habitual authority, there was an abundant sprinkling of men with more contemplative and sensitive faces: scholars inheriting such high names as Strozzi and Acciajoli, who were already minded to take the cowl and join the community of San Marco; artists, wrought to a new and higher ambition by the teaching of Savonarola, like that young painter who had lately surpassed himself in his fresco of the divine child on the wall of the Frate's bare cell-- unconscious yet that he would one day himself wear the tonsure and the cowl, and be called Fra Bartolommeo.	And among the dignities who carried their black lucco or furred mantle with an air of habitual authority, there was an abundant sprinkling of men with more contemplative and sensitive faces: scholars inheriting such high names as Strozzi and Acciajoli, who were already minded to take the cowl and join the community of San Marco; artists, wrought to a new and higher ambition by the teaching of Savonarola, like that young painter who had lately surpassed himself in his fresco of the divine child on the wall of the Frate's bare cell- unconscious yet that he would one day himself wear the tonsure and the cowl, and be called Fra Bartolommeo.	false	289.55	325.15	18
5115_26950_000019_000004	There was the mystic poet Girolamo Benevieni hastening, perhaps, to carry tidings of the beloved Frate's speedy coming to his friend Pico della Mirandola, who was never to see the light of another morning.	There was the mystic poet Girolamo Benevieni hastening, perhaps, to carry tidings of the beloved Frate's speedy coming to his friend Pico della Mirandola, who was never to see the light of another morning.	false	325.52	338.31	21.415827
5115_26950_000019_000005	There were well-born women attired with such scrupulous plainness that their more refined grace was the chief distinction between them and their less aristocratic sisters.	There were well born women attired with such scrupulous plainness that their more refined grace was the chief distinction between them and their less aristocratic sisters.	false	338.31	346.66	16
5115_26950_000019_000006	There was a predominant proportion of the genuine _popolani_ or middle class, belonging both to the Major and Minor Arts, conscious of purses threatened by war-taxes.	There was a predominant proportion of the genuine underscore popolani underscore or middle class, belonging both to the Major and Minor Arts, conscious of purses threatened by war taxes.	false	346.85	356.56	19
5115_26950_000019_000007	And more striking and various, perhaps, than all the other classes of the Frate's disciples, there was the long stream of poorer tradesmen and artisans, whose faith and hope in his Divine message varied from the rude and undiscriminating trust in him as the friend of the poor and the enemy of the luxurious oppressive rich, to that eager tasting of all the subtleties of biblical interpretation which takes a peculiarly strong hold on the sedentary artisan, illuminating the long dim spaces beyond the board where he stitches, with a pale flame that seems to him the light of Divine science.	And more striking and various, perhaps, than all the other classes of the Frate's disciples, there was the long stream of poorer tradesmen and artisans, whose faith and hope in his Divine message varied from the rude and undiscriminating trust in him as the friend of the poor and the enemy of the luxurious oppressive rich, to that eager tasting of all the subtleties of biblical interpretation which takes a peculiarly strong hold on the sedentary artisan, illuminating the long dim spaces beyond the board where he stitches, with a pale flame that seems to him the light of Divine science.	false	356.9	388.81	18
5115_26950_000020_000000	But among these various disciples of the Frate were scattered many who were not in the least his disciples.	But among these various disciples of the Frate were scattered many who were not in the least his disciples.	true	389.93	395.2	17
5115_26950_000020_000001	Some were Mediceans who had already, from motives of fear and policy, begun to show the presiding spirit of the popular party a feigned deference.	Some were Mediceans who had already, from motives of fear and policy, begun to show the presiding spirit of the popular party a feigned deference.	false	395.3	403.08	16
5115_26950_000020_000002	Others were sincere advocates of a free government, but regarded Savonarola simply as an ambitious monk--half sagacious, half fanatical--who had made himself a powerful instrument with the people, and must be accepted as an important social fact.	Others were sincere advocates of a free government, but regarded Savonarola simply as an ambitious monk-half sagacious, half fanatical-who had made himself a powerful instrument with the people, and must be accepted as an important social fact.	false	403.08	417.31	20
5115_26950_000020_000003	There were even some of his bitter enemies: members of the old aristocratic anti-Medicean party--determined to try and get the reins once more tight in the hands of certain chief families; or else licentious young men, who detested him as the killjoy of Florence.	There were even some of his bitter enemies: members of the old aristocratic anti Medicean party-determined to try and get the reins once more tight in the hands of certain chief families; or else licentious young men, who detested him as the killjoy of Florence.	false	417.32	431.41	17
5115_26950_000020_000004	For the sermons in the Duomo had already become political incidents, attracting the ears of curiosity and malice, as well as of faith.	For the sermons in the Duomo had already become political incidents, attracting the ears of curiosity and malice, as well as of faith.	true	431.69	439.17	15
5115_26950_000020_000005	The men of ideas, like young Niccolo Macchiavelli, went to observe and write reports to friends away in country villas; the men of appetites, like Dolfo Spini, bent on hunting down the Frate, as a public nuisance who made game scarce, went to feed their hatred and lie in wait for grounds of accusation.	The men of ideas, like young Niccolo Macchiavelli, went to observe and write reports to friends away in country villas; the men of appetites, like Dolfo Spini, bent on hunting down the Frate, as a public nuisance who made game scarce, went to feed their hatred and lie in wait for grounds of accusation.	true	439.17	456.01	20
5115_26950_000021_000000	Perhaps, while no preacher ever had a more massive influence than Savonarola, no preacher ever had more heterogeneous materials to work upon.	Perhaps, while no preacher ever had a more massive influence than Savonarola, no preacher ever had more heterogeneous materials to work upon.	true	456.68	465.01	18
5115_26950_000021_000001	And one secret of the massive influence lay in the highly mixed character of his preaching.	And one secret of the massive influence lay in the highly mixed character of his preaching.	true	465.11	469.75	18
5115_26950_000021_000002	Baldassarre, wrought into an ecstasy of self-martyring revenge, was only an extreme case among the partial and narrow sympathies of that audience.	Baldassarre, wrought into an ecstasy of self martyring revenge, was only an extreme case among the partial and narrow sympathies of that audience.	true	469.85	477.91	17
5115_26950_000021_000003	In Savonarola's preaching there were strains that appealed to the very finest susceptibilities of men's natures, and there were elements that gratified low egoism, tickled gossiping curiosity, and fascinated timorous superstition.	In Savonarola's preaching there were strains that appealed to the very finest susceptibilities of men's natures, and there were elements that gratified low egoism, tickled gossiping curiosity, and fascinated timorous superstition.	true	478.28	490.93	17
5115_26950_000021_000004	His need of personal predominance, his labyrinthine allegorical interpretations of the Scriptures, his enigmatic visions, and his false certitude about the Divine intentions, never ceased, in his own large soul, to be ennobled by that fervid piety, that passionate sense of the infinite, that active sympathy, that clear-sighted demand for the subjection of selfish interests to the general good, which he had in common with the greatest of mankind.	His need of personal predominance, his labyrinthine allegorical interpretations of the Scriptures, his enigmatic visions, and his false certitude about the Divine intentions, never ceased, in his own large soul, to be ennobled by that fervid piety, that passionate sense of the infinite, that active sympathy, that clear sighted demand for the subjection of selfish interests to the general good, which he had in common with the greatest of mankind.	true	491.09	516.01	19
5115_26950_000021_000005	But for the mass of his audience all the pregnancy of his preaching lay in his strong assertion of supernatural claims, in his denunciatory visions, in the false certitude which gave his sermons the interest of a political bulletin; and having once held that audience in his mastery, it was necessary to his nature--it was necessary for their welfare--that he should _keep_ the mastery.	But for the mass of his audience all the pregnancy of his preaching lay in his strong assertion of supernatural claims, in his denunciatory visions, in the false certitude which gave his sermons the interest of a political bulletin; and having once held that audience in his mastery, it was necessary to his nature-it was necessary for their welfare-that he should underscore keep underscore the mastery.	false	516.2	536.5	17
5115_26950_000021_000006	The effect was inevitable. No man ever struggled to retain power over a mixed multitude without suffering vitiation; his standard must be their lower needs and not his own best insight.	The effect was inevitable. No man ever struggled to retain power over a mixed multitude without suffering vitiation; his standard must be their lower needs and not his own best insight.	true	536.6	547.21	20
5115_26950_000022_000000	The mysteries of human character have seldom been presented in a way more fitted to check the judgments of facile knowingness than in Girolamo Savonarola; but we can give him a reverence that needs no shutting of the eyes to fact, if we regard his life as a drama in which there were great inward modifications accompanying the outward changes. And up to this period, when his more direct action on political affairs had only just begun, it is probable that his imperious need of ascendancy had burned undiscernibly in the strong flame of his zeal for God and man.	The mysteries of human character have seldom been presented in a way more fitted to check the judgments of facile knowingness than in Girolamo Savonarola; but we can give him a reverence that needs no shutting of the eyes to fact, if we regard his life as a drama in which there were great inward modifications accompanying the outward changes. And up to this period, when his more direct action on political affairs had only just begun, it is probable that his imperious need of ascendancy had burned undiscernibly in the strong flame of his zeal for God and man.	false	547.67	578.83	17
5115_26950_000023_000000	It was the fashion of old, when an ox was led out for sacrifice to Jupiter, to chalk the dark spots, and give the offering a false show of unblemished whiteness.	It was the fashion of old, when an ox was led out for sacrifice to Jupiter, to chalk the dark spots, and give the offering a false show of unblemished whiteness.	true	579.05	587.89	21
5115_26950_000023_000001	Let us fling away the chalk, and boldly say,-- the victim is spotted, but it is not therefore in vain that his mighty heart is laid on the altar of men's highest hopes.	Let us fling away the chalk, and boldly say,-- the victim is spotted, but it is not therefore in vain that his mighty heart is laid on the altar of men's highest hopes.	true	587.96	596.67	17
5115_26950_000024_000000	CHAPTER TWENTY SIX.	CHAPTER TWENTY SIX.	false	596.67	596.7	-20
5115_26950_000025_000000	THE GARMENT OF FEAR.	THE GARMENT OF FEAR.	false	596.7	596.76	12
5115_26950_000026_000000	At six o'clock that evening most people in Florence were glad the entrance of the new Charlemagne was fairly over.	At six o'clock that evening most people in Florence were glad the entrance of the new Charlemagne was fairly over.	false	596.76	597.03	7
5115_26950_000026_000001	Doubtless when the roll of drums, the blast of trumpets, and the tramp of horses along the Pisan road began to mingle with the pealing of the excited bells, it was a grand moment for those who were stationed on turreted roofs, and could see the long-winding terrible pomp on the background of the green hills and valley.	Doubtless when the roll of drums, the blast of trumpets, and the tramp of horses along the Pisan road began to mingle with the pealing of the excited bells, it was a grand moment for those who were stationed on turreted roofs, and could see the long winding terrible pomp on the background of the green hills and valley.	false	597.03	598.5	22.136654
5115_26950_000026_000002	There was no sunshine to light up the splendour of banners, and spears, and plumes, and silken surcoats, but there was no thick cloud of dust to hide it, and as the picked troops advanced into close view, they could be seen all the more distinctly for the absence of dancing glitter.	There was no sunshine to light up the splendour of banners, and spears, and plumes, and silken surcoats, but there was no thick cloud of dust to hide it, and as the picked troops advanced into close view, they could be seen all the more distinctly for the absence of dancing glitter.	false	598.5	599.67	11.547447
5115_26950_000026_000003	Tall and tough Scotch archers, Swiss halberdiers fierce and ponderous, nimble Gascons ready to wheel and climb, cavalry in which each man looked like a knight-errant with his indomitable spear and charger--it was satisfactory to be assured that they would injure nobody but the enemies of God!	Tall and tough Scotch archers, Swiss halberdiers fierce and ponderous, nimble Gascons ready to wheel and climb, cavalry in which each man looked like a knight errant with his indomitable spear and charger-it was satisfactory to be assured that they would injure nobody but the enemies of God!	false	599.67	600.75	-20
5115_26950_000026_000004	With that confidence at heart it was a less dubious pleasure to look at the array of strength and splendour in nobles and knights, and youthful pages of choice lineage--at the bossed and jewelled sword-hilts, at the satin scarfs embroidered with strange symbolical devices of pious or gallant meaning, at the gold chains and jewelled aigrettes, at the gorgeous horse-trappings and brocaded mantles, and at the transcendent canopy carried by select youths above the head of the Most Christian King.	With that confidence at heart it was a less dubious pleasure to look at the array of strength and splendour in nobles and knights, and youthful pages of choice lineage-at the bossed and jewelled sword hilts, at the satin scarfs embroidered with strange symbolical devices of pious or gallant meaning, at the gold chains and jewelled aigrettes, at the gorgeous horse trappings and brocaded mantles, and at the transcendent canopy carried by select youths above the head of the Most Christian King.	false	600.75	602.61	-20
5115_26950_000026_000005	To sum up with an old diarist, whose spelling and diction halted a little behind the wonders of this royal visit,--"_fu gran magnificenza_."	To sum up with an old diarist, whose spelling and diction halted a little behind the wonders of this royal visit,--"underscore fu gran magnificenza underscore."	false	602.61	603.18	37.873066
