8791_291101_000000_000000	'I forgot to tell you,' she said slowly.	'I forgot to tell you,' she said slowly.	false	0	2.01	20.74881
8791_291101_000010_000002	'Good-bye, dee-ar,' hummed the brakeman, and slammed down the swinging floor of the vestibule.	'Good bye, dee ar,' hummed the brakeman, and slammed down the swinging floor of the vestibule.	false	209.21	214.51	21.310118
8791_291101_000010_000003	Cargan was already balancing himself along the corridor of the club car.	Cargan was already balancing himself along the corridor of the club car.	true	215.03	218.65	19
8791_291101_000010_000004	A lurch of the train swung him heavily out among the chairs; to save himself he caught a shoulder and dropped into a seat.	A lurch of the train swung him heavily out among the chairs; to save himself he caught a shoulder and dropped into a seat.	true	218.84	226.03	21
8791_291101_000010_000005	His neighbor had but just sat down.	His neighbor had but just sat down.	false	226.1	228.1	18.600063
8791_291101_000010_000006	It was Waldron.	It was Waldron.	true	228.35	229.44	22.307093
8791_291101_000011_000000	They shook hands as if nothing were in the air, and then compared watches to see if the train were on time.	They shook hands as if nothing were in the air, and then compared watches to see if the train were on time.	false	229.44	235.54	21.31571
8791_291101_000011_000001	This done, Waldron took off his glasses, swung them on their black cord, and began to polish them nervously, blinking with short-sighted eyes into the space that hurried past the car windows.	This done, Waldron took off his glasses, swung them on their black cord, and began to polish them nervously, blinking with short sighted eyes into the space that hurried past the car windows.	true	236.09	246.7	18
8791_291101_000011_000002	Cargan offered him a cigar, but he put it aside quickly.	Cargan offered him a cigar, but he put it aside quickly.	true	247.37	250.51	21.95083
8791_291101_000012_000000	'No, thank you; no, thank you--Well--they cut the dividend.' He looked at Cargan with a wan smile.	'No, thank you; no, thank you-Well-they cut the dividend.' He looked at Cargan with a wan smile.	true	250.85	257.8	20.746428
8791_291101_000012_000001	'What'll I do, Cargan?	'What'll I do, Cargan?	true	258.68	260.02	26.252663
8791_291101_000012_000002	They told me I'd find you on the train, and I thought I'd ask your advice.'	They told me I'd find you on the train, and I thought I'd ask your advice.'	true	260.21	264.16	21
8791_291101_000013_000000	Cargan was relieved.	Cargan was relieved.	true	264.77	266.26	19.24473
8791_291101_000013_000001	'Sell, Mr. Waldron,' he answered earnestly, 'sell right off.	'Sell, mr Waldron,' he answered earnestly, 'sell right off.	true	266.54	271.02	21.212036
8791_291101_000013_000002	That Brogan crowd's runnin' the company now, and they're no good, sell quick.'	That Brogan crowd's runnin' the company now, and they're no good, sell quick.'	true	271.02	275.86	21.174133
8791_291101_000014_000000	Waldron looked at him in doubt.	Waldron looked at him in doubt.	true	276.05	277.72	23.92071
8791_291101_000014_000001	'How much do I lose?' he asked feebly.	'How much do I lose?' he asked feebly.	true	278.36	281.07	21.548996
8791_291101_000015_000000	''Bout six thousand'--against his will Cargan made the tone apologetic. 'Say, put up only five thousand more collateral and we'll carry you till better luck.'	''bout six thousand'--against his will Cargan made the tone apologetic. 'Say, put up only five thousand more collateral and we'll carry you till better luck.'	false	281.07	292.35	19.085354
8791_291101_000016_000000	The old man blinked rapidly, then conquered his pride.	The old man blinked rapidly, then conquered his pride.	true	292.35	295.48	21.273378
8791_291101_000016_000001	With punctilious care he unbuttoned his gray cutaway, took out a wallet from under the button of the Society of Colonial Wars, drew forth a sheet of note paper, and with a pencil inscribed a broad O. 'There's my collateral, Mr. Cargan,' he said whimsically.	With punctilious care he unbuttoned his gray cutaway, took out a wallet from under the button of the Society of Colonial Wars, drew forth a sheet of note paper, and with a pencil inscribed a broad o 'There's my collateral, mr Cargan,' he said whimsically.	true	295.67	312.46	21.700918
8791_291101_000017_000000	He was so helpless, and so elegant in his helplessness, that the bully awoke in Cargan.	He was so helpless, and so elegant in his helplessness, that the bully awoke in Cargan.	true	312.92	317.8	17
8791_291101_000017_000001	With an effort he broke through the nervous deference with which Waldron always inspired him and spoke roughly:--	With an effort he broke through the nervous deference with which Waldron always inspired him and spoke roughly:--	true	318.14	324.31	18
8791_291101_000018_000000	'We don't do business without either collateral or cash, Waldron.'	'We don't do business without either collateral or cash, Waldron.'	true	324.98	328.42	15
8791_291101_000019_000000	The gentleman put his wallet back hurriedly as if some one had laughed at it, and cast a quick, hurt look at his broker.	The gentleman put his wallet back hurriedly as if some one had laughed at it, and cast a quick, hurt look at his broker.	true	329.18	335.68	21
8791_291101_000020_000000	'You haven't been thinking of selling me out--after all the business I've given you?'	'You haven't been thinking of selling me out-after all the business I've given you?'	true	336.44	340.6	21.502338
8791_291101_000021_000000	Cargan nodded.	Cargan nodded.	true	341.27	342.58	20.176083
8791_291101_000022_000000	Incredulity, horror, resolve, passed over Waldron's face.	Incredulity, horror, resolve, passed over Waldron's face.	true	343.94	348.7	22.423069
8791_291101_000022_000001	'You cannot! It's impossible!' he said firmly.	'You cannot! It's impossible!' he said firmly.	true	349.34	352.75	21.706009
8791_291101_000023_000000	The assertion in his tone was irritating.	The assertion in his tone was irritating.	true	353.39	355.72	18
8791_291101_000023_000001	'What's goin' to stop us?' Cargan asked coolly; shoved his hands into his pockets, and puffed clouds from his cigar.	'What's goin' to stop us?' Cargan asked coolly; shoved his hands into his pockets, and puffed clouds from his cigar.	false	355.97	363.07	21.287043
8791_291101_000024_000000	Different worlds of imagination revolved in the two men's minds. Theophilus Waldron thought of the children, and of his father the governor, and of the family pride.	Different worlds of imagination revolved in the two men's minds. Theophilus Waldron thought of the children, and of his father the governor, and of the family pride.	true	364.31	374.23	20.44045
8791_291101_000024_000001	Sudden poverty was as bad as disgrace.	Sudden poverty was as bad as disgrace.	true	374.69	377.17	17
8791_291101_000024_000002	'I didn't mean it that way,' he answered hurriedly.	'I didn't mean it that way,' he answered hurriedly.	true	378.17	380.89	22
8791_291101_000024_000003	'I'm in temporary difficulties.	'I'm in temporary difficulties.	true	381.17	383.08	18.941349
8791_291101_000024_000004	My house is mortgaged.	My house is mortgaged.	true	383.09	384.495	16.362045
8791_291101_000024_000005	I've borrowed money from my wife--and other places.'--He was too proud to add, 'This is confidential.'--'My boy's just entered college, my girl's just come out. It isn't just the money--' a gush of emotion reddened his face--'You've got to pull me through, Cargan.	I've borrowed money from my wife-and other places.'--He was too proud to add, 'This is confidential.'--'My boy's just entered college, my girl's just come out. It isn't just the money-' a gush of emotion reddened his face-'You've got to pull me through, Cargan.	true	384.495	401.11	20.900505
8791_291101_000024_000006	It's impossible; it's out of the question for me to break now!'	It's impossible; it's out of the question for me to break now!'	true	401.27	404.71	20.928144
8791_291101_000025_000000	But Cargan was remembering how he lost his job in the department store and couldn't pay the rent.	But Cargan was remembering how he lost his job in the department store and couldn't pay the rent.	true	405.47	410.53	12
8791_291101_000025_000001	When he was kicked out, nobody said it was impossible!	When he was kicked out, nobody said it was impossible!	true	410.93	413.83	19
8791_291101_000025_000002	Nobody said it was impossible when they went into the top of a tenement!	Nobody said it was impossible when they went into the top of a tenement!	false	414.02	417.88	15
8791_291101_000025_000003	The contrast made him bitter; but it was the thought that he had never felt it to be impossible, the inescapable inferiority always forced upon him in the presence of Waldron, which roused his temper.	The contrast made him bitter; but it was the thought that he had never felt it to be impossible, the inescapable inferiority always forced upon him in the presence of Waldron, which roused his temper.	true	418.13	429.88	18
8791_291101_000026_000000	'Business is business, Mr. Waldron,' he said curtly.	'Business is business, mr Waldron,' he said curtly.	true	430.58	433.81	21.314112
8791_291101_000026_000001	'Ab-so-lute-ly, we won't take the risk.'	'Ab so lute ly, we won't take the risk.'	true	433.82	436.81	20.002949
8791_291101_000027_000000	They were rattling through coal-sheds and grain-elevators at the edge of a town.	They were rattling through coal sheds and grain elevators at the edge of a town.	true	437.48	441.4	15
8791_291101_000027_000001	Waldron got up stiffly and carefully brushed the cinders from his coat.	Waldron got up stiffly and carefully brushed the cinders from his coat.	true	441.89	445.72	22
8791_291101_000028_000000	'This is Bloomfield, I think,' he said coldly.	'This is Bloomfield, I think,' he said coldly.	true	446.39	449.53	21.522816
8791_291101_000028_000001	'I'm meeting my family here.	'I'm meeting my family here.	true	449.6	451.21	19.843534
8791_291101_000028_000002	Mr. Cargan, there are considerations above business.' His voice failed a little.	mr Cargan, there are considerations above business.' His voice failed a little.	true	451.88	456.79	22.021702
8791_291101_000028_000003	'This is a matter of life and death.'	'This is a matter of life and death.'	true	457.4	459.37	18.755157
8791_291101_000029_000000	Cargan had heard that bluff before.	Cargan had heard that bluff before.	true	460.97	462.97	22.16514
8791_291101_000029_000001	'What d' you mean?' he grunted.	'What d' you mean?' he grunted.	false	463.73	465.91	26.299036
8791_291101_000030_000000	Mr. Waldron was staring fixedly out of the window.	mr Waldron was staring fixedly out of the window.	false	466.04	469	21.718573
8791_291101_000030_000001	'I mean,' he faltered, 'that I may not be able to stand up under it.' And then his voice resumed its desperate certainty.	'I mean,' he faltered, 'that I may not be able to stand up under it.' And then his voice resumed its desperate certainty.	true	469.61	477.85	21.119791
8791_291101_000030_000002	'I mean, sir, that what you propose is impossible.	'I mean, sir, that what you propose is impossible.	true	478.58	481.78	20
8791_291101_000030_000003	I mean that ab-so-lute-ly you cannot sell me out.'	I mean that ab so lute ly you cannot sell me out.'	true	481.94	485.44	21
8791_291101_000031_000000	He bowed and felt his way down the corridor.	He bowed and felt his way down the corridor.	true	486.59	489.28	23.585505
8791_291101_000032_000000	'I can't, can't I!' Cargan flung after him; then jerked a sheet from the telegraph pad in the rack beside him and wrote: 'Sell out Waldron at noon to-morrow unless 5000 collateral.' 'Something'll drop for you, old boy,' he growled, addressed the telegram to his partner, and gave it to the porter.	'I can't, can't I!' Cargan flung after him; then jerked a sheet from the telegraph pad in the rack beside him and wrote: 'Sell out Waldron at noon to morrow unless five thousand collateral.' 'Something'll drop for you, old boy,' he growled, addressed the telegram to his partner, and gave it to the porter.	false	490.1	508.63	22.129204
8791_291101_000033_000000	Outside, Cargan heard a burst of merry voices and saw Waldron hurried away by two laughing girls to an automobile waiting with a trunk strapped behind it.	Outside, Cargan heard a burst of merry voices and saw Waldron hurried away by two laughing girls to an automobile waiting with a trunk strapped behind it.	false	509.36	518.14	15
8791_291101_000033_000001	Mrs. Waldron followed.	mrs Waldron followed.	true	518.3	520.09	22.535538
8791_291101_000033_000002	She was a stiff woman, a little faded, quietly dressed.	She was a stiff woman, a little faded, quietly dressed.	true	520.13	523.84	23.551973
8791_291101_000033_000003	Her face was troubled, and when they reached the motor, she caught her husband's elbow gently as if to ask him something, but he merely nodded and turned her glance toward Cargan's window.	Her face was troubled, and when they reached the motor, she caught her husband's elbow gently as if to ask him something, but he merely nodded and turned her glance toward Cargan's window.	true	523.94	534.46	20.479744
8791_291101_000033_000004	She bowed and smiled very sweetly in his direction, and Cargan smiled sourly in return.	She bowed and smiled very sweetly in his direction, and Cargan smiled sourly in return.	true	534.83	540.22	18
8791_291101_000033_000005	Then the children hustled the old folks into the tonneau and they were off, just as the train started.	Then the children hustled the old folks into the tonneau and they were off, just as the train started.	true	540.65	546.22	21
8791_291101_000034_000000	Cargan felt hardly used.	Cargan felt hardly used.	true	546.71	548.56	17.788507
8791_291101_000034_000001	'A man's got to look out for himself,' he thought angrily.	'A man's got to look out for himself,' he thought angrily.	false	548.57	551.53	19
8791_291101_000034_000002	'Business is business--that's the thing for him to remember.	'Business is business-that's the thing for him to remember.	true	551.66	554.685	19
8791_291101_000034_000003	"It's impossible!" Nevertheless, in self-defense he began to calculate what it might have cost to carry the account, until the appalling magnitude of the risk shut off the discussion.	"It's impossible!" Nevertheless, in self defense he began to calculate what it might have cost to carry the account, until the appalling magnitude of the risk shut off the discussion.	true	554.685	565.44	20.804026
8791_291101_000034_000004	'The darned old self-confident aristocrat!' he murmured, working himself up into a fury. 'Thinks he can bluff me, but he'll find out what's impossible, believe _me_!' Then he dispelled his irritation by a cocktail and hurried into the diner.	'The darned old self confident aristocrat!' he murmured, working himself up into a fury. 'Thinks he can bluff me, but he'll find out what's impossible, believe underscore me underscore!' Then he dispelled his irritation by a cocktail and hurried into the diner.	false	565.44	579.88	20.510408
8791_291101_000035_000000	He snored in his berth while the train ran out farther and farther upon the great Kansas plain; slept while signs of culture disappeared one by one, and arose in the midst of an endless, unfamiliar world of grass. When he sat down in the diner for his morning meal, the great wheel of the horizon rimmed round his little train without a notch on the perfect circle; over night the outer world had changed, but he was absorbed in fitting his choices into a sixty-cent breakfast.	He snored in his berth while the train ran out farther and farther upon the great Kansas plain; slept while signs of culture disappeared one by one, and arose in the midst of an endless, unfamiliar world of grass. When he sat down in the diner for his morning meal, the great wheel of the horizon rimmed round his little train without a notch on the perfect circle; over night the outer world had changed, but he was absorbed in fitting his choices into a sixty cent breakfast.	false	580.76	609.31	19
8791_291101_000036_000000	The train stopped quickly and firmly, and lay dead upon the prairie.	The train stopped quickly and firmly, and lay dead upon the prairie.	true	610.07	613.9	18
8791_291101_000037_000000	'Eccentrics or hot-box,' said the man who jumped off the step beside him.	'Eccentrics or hot box,' said the man who jumped off the step beside him.	true	614.36	618.46	20
8791_291101_000037_000001	'Nothing much else goes wrong with an engine nowadays.	'Nothing much else goes wrong with an engine nowadays.	true	618.56	621.4	16
8791_291101_000037_000002	What is it, Bill?'	What is it, Bill?'	true	621.74	622.77	23.880993
8791_291101_000038_000000	And the conductor, looking about him to see that no more passengers were within earshot, answered, 'Eccentrics--two hours anyway.'	And the conductor, looking about him to see that no more passengers were within earshot, answered, 'Eccentrics-two hours anyway.'	false	622.77	630.4	19.099848
8791_291101_000039_000000	Cargan flung his cigarette on the ground.	Cargan flung his cigarette on the ground.	true	631.13	633.31	19.130356
8791_291101_000039_000001	'I'll miss my connection at Hay Junction!' he protested.	'I'll miss my connection at Hay Junction!' he protested.	true	633.71	636.96	19.805677
8791_291101_000039_000002	'I've gotta be in Hamden this afternoon.'	'I've gotta be in Hamden this afternoon.'	true	636.96	639.49	19.427298
8791_291101_000040_000000	'Walk then,' said the conductor stolidly.	'Walk then,' said the conductor stolidly.	true	639.5	642.4	25.630493
8791_291101_000040_000001	'It's only ten miles from here straight across.'	'It's only ten miles from here straight across.'	true	642.56	644.8	19.973368
8791_291101_000041_000000	There was no house in sight, no road, nothing but the dead train, the new land of endless shimmering prairies, and, beyond the ditch, a single horseman looking curiously at the long cars and the faces strained against the glass of the windows.	There was no house in sight, no road, nothing but the dead train, the new land of endless shimmering prairies, and, beyond the ditch, a single horseman looking curiously at the long cars and the faces strained against the glass of the windows.	true	645.68	659.95	21.059395
8791_291101_000042_000000	'Say, you!' Cargan called, 'can you get an auto anywhere here?'	'Say, you!' Cargan called, 'can you get an auto anywhere here?'	true	660.38	664.54	25.231813
8791_291101_000043_000000	The figure looked at him impassively, then shook its dusty head.	The figure looked at him impassively, then shook its dusty head.	true	664.97	668.71	22.27641
8791_291101_000044_000000	'Or a team?'	'Or a team?'	true	668.99	670.21	23.567127
8791_291101_000045_000000	It shook its head again.	It shook its head again.	true	670.91	672.37	22.635029
8791_291101_000046_000000	'Or a--horse?' Cargan hesitated.	'Or a-horse?' Cargan hesitated.	true	672.98	676.185	20.690193
8791_291101_000046_000001	He had never ridden a horse.	He had never ridden a horse.	true	676.185	677.74	21
8791_291101_000047_000000	A sudden gleaming idea shot across the man's solemn features.	A sudden gleaming idea shot across the man's solemn features.	true	678.41	682.06	15
8791_291101_000047_000001	He slid off his pony and led him nearer the ditch.	He slid off his pony and led him nearer the ditch.	false	682.16	685.68	25.269249
8791_291101_000048_000000	'Say'--he suddenly became voluble,--'you said you wanted to get to Hamden.	'Say'--he suddenly became voluble,--'you said you wanted to get to Hamden.	false	685.68	690.19	19
8791_291101_000048_000001	Well, if you'll make it five plunks, and give me your ticket, you can take this horse, an' I'll go round by train.	Well, if you'll make it five plunks, and give me your ticket, you can take this horse, an' I'll go round by train.	false	690.53	697.99	22.440884
8791_291101_000048_000002	Say--do you want to?'	Say-do you want to?'	true	698	700.06	24.160357
8791_291101_000049_000000	Cargan was tempted.	Cargan was tempted.	true	700.61	702.13	26.151737
8791_291101_000049_000001	All you had to do was to stick on.	All you had to do was to stick on.	false	702.26	704.28	19
8791_291101_000050_000000	'What'll I do with my suit-case?'	'What'll I do with my suit case?'	true	704.28	706	20
8791_291101_000051_000000	'Gimme it to take for you.	'Gimme it to take for you.	true	706.16	707.8	22.594687
8791_291101_000051_000001	I guess it ain't worth more'n my horse.'	I guess it ain't worth more'n my horse.'	false	707.81	711.51	21.732615
8791_291101_000052_000000	II	two	false	711.51	713.01	1
8791_291101_000053_000000	They helped him on, and pointed out the dim line of telephone poles which marked a road a mile beyond.	They helped him on, and pointed out the dim line of telephone poles which marked a road a mile beyond.	true	713.01	718.48	13
8791_291101_000053_000001	He walked his horse onward, not daring to trot, struck the dusty highway, rode on over an imperceptible roll of the plains, and was alone on a vast bare earth, naked as when born from the womb of time.	He walked his horse onward, not daring to trot, struck the dusty highway, rode on over an imperceptible roll of the plains, and was alone on a vast bare earth, naked as when born from the womb of time.	true	719	732.37	20
8791_291101_000054_000000	Plover swung up before him with melancholy cries.	Plover swung up before him with melancholy cries.	true	733.01	736.33	17
8791_291101_000054_000001	A soft haze rose from the plains.	A soft haze rose from the plains.	true	736.67	739.09	18.272535
8791_291101_000054_000002	They grew more vast, more endless.	They grew more vast, more endless.	true	739.67	742.33	17.650564
8791_291101_000054_000003	In the north, a white cloud-mass piled itself up and up until it seemed as if it might topple over upon the flat world beneath.	In the north, a white cloud mass piled itself up and up until it seemed as if it might topple over upon the flat world beneath.	true	743	751.26	17
8791_291101_000054_000004	He had never before looked at the country except as real estate, never seen the plains, and a curious new sense of the bigness of the earth oppressed him.	He had never before looked at the country except as real estate, never seen the plains, and a curious new sense of the bigness of the earth oppressed him.	true	751.26	760.21	21.65372
8791_291101_000054_000005	He felt very small and very mean.	He felt very small and very mean.	true	760.37	763.15	23
8791_291101_000054_000006	The humiliation of his spirits was a novel feeling and an unpleasant one; he tried to hum it away:--	The humiliation of his spirits was a novel feeling and an unpleasant one; he tried to hum it away:--	true	763.79	769.99	19.104
8791_291101_000055_000000	'Just wait till I strike Broadway And watch me with the girls, For I'm the man that invented it-- The hair that always curls.'	'Just wait till I strike Broadway And watch me with the girls, For I'm the man that invented it- The hair that always curls.'	true	770.87	779.02	18
8791_291101_000056_000000	His harsh voice in the stillness was ridiculous,--even to him,--but when he stopped singing, the silence flowed over him as a stream that had been held back.	His harsh voice in the stillness was ridiculous,--even to him,--but when he stopped singing, the silence flowed over him as a stream that had been held back.	false	779.78	789.91	21
8791_291101_000056_000001	The sky was enormous; he was only a speck on the vast floor.	The sky was enormous; he was only a speck on the vast floor.	true	790.28	794.89	20.887365
8791_291101_000056_000002	As he plodded on and on and on through the dust, he began to grow dizzy from the glare and the heat.	As he plodded on and on and on through the dust, he began to grow dizzy from the glare and the heat.	true	795.23	801.39	15
8791_291101_000056_000003	He could not collect his thoughts for business.	He could not collect his thoughts for business.	true	801.39	803.65	18
8791_291101_000056_000004	A curious sense of weakened identity perplexed him, and his head was full of drifting pictures--Waldron's face among them.	A curious sense of weakened identity perplexed him, and his head was full of drifting pictures-Waldron's face among them.	true	803.81	811.93	19.256119
8791_291101_000056_000005	That face lingered.	That face lingered.	true	812.51	814.03	22.316553
8791_291101_000056_000006	He saw him looking vaguely out of the car window--saying that he couldn't stand up under it--that it was 'impossible.' He wondered if it was a bluff, after all.	He saw him looking vaguely out of the car window-saying that he couldn't stand up under it-that it was 'impossible.' He wondered if it was a bluff, after all.	true	814.25	824.23	21.206446
8791_291101_000056_000007	The face faded away leaving a dull pity behind it, a struggling remorse.	The face faded away leaving a dull pity behind it, a struggling remorse.	true	824.6	829.96	20
8791_291101_000056_000008	Cargan shifted uneasily in his saddle, and tried to think of business.	Cargan shifted uneasily in his saddle, and tried to think of business.	true	830.33	834.1	17
8791_291101_000056_000009	But instead of business queer childish ideas began floating in and out of his mind, accompanied by words remembered from Sundays in his boyhood.	But instead of business queer childish ideas began floating in and out of his mind, accompanied by words remembered from Sundays in his boyhood.	true	834.53	843.55	17
8791_291101_000056_000010	He was alone with God.	He was alone with God.	true	843.83	845.62	23.060602
8791_291101_000056_000011	God saw into his heart.	God saw into his heart.	true	845.72	847.63	21.04147
8791_291101_000056_000012	A little nervous shiver ran over him, and when he checked it with a laugh there followed a wave of superstitious emotion.	A little nervous shiver ran over him, and when he checked it with a laugh there followed a wave of superstitious emotion.	true	848	855.19	19
8791_291101_000057_000000	A low wave of the prairies had hidden from him a little house and barn standing crudely new against the sky in the distance.	A low wave of the prairies had hidden from him a little house and barn standing crudely new against the sky in the distance.	true	855.92	862.51	14
8791_291101_000057_000001	Tiny figures were moving behind the buildings, and a dust-cloud rose from the highway in front.	Tiny figures were moving behind the buildings, and a dust cloud rose from the highway in front.	true	862.94	868.15	19
8791_291101_000057_000002	Cargan suddenly became conscious of his appearance--his serge suit, his straw hat, his awkward seat in the saddle.	Cargan suddenly became conscious of his appearance-his serge suit, his straw hat, his awkward seat in the saddle.	true	868.52	875.44	23.246935
8791_291101_000057_000003	The loneliness of the plains had shaken his usual self-assurance.	The loneliness of the plains had shaken his usual self assurance.	false	875.81	879.55	18.765966
