497_129325_000000_000000	CHAPTER XLII	CHAPTER forty two	true	20.475	21.91	26.753473
497_129325_000016_000001	Not near; so don't think it.'	Not near; so don't think it.'	false	245.625	248.49	28.381208
497_129325_000017_000000	'Why not?'	'Why not?'	true	248.49	249.28	26.0307
497_129325_000018_000000	'When I tell yer that I don't mean to do a thing, that's enough, without any why or because either,' replied Mr. Claypole with dignity.	'When I tell yer that I don't mean to do a thing, that's enough, without any why or because either,' replied mr Claypole with dignity.	false	250.79	258.85	20.803173
497_129325_000019_000000	'Well, you needn't be so cross,' said his companion.	'Well, you needn't be so cross,' said his companion.	false	259.82	264.43	22.991571
497_129325_000020_000000	'A pretty thing it would be, wouldn't it to go and stop at the very first public-house outside the town, so that Sowerberry, if he come up after us, might poke in his old nose, and have us taken back in a cart with handcuffs on,' said Mr. Claypole in a jeering tone.	'A pretty thing it would be, wouldn't it to go and stop at the very first public house outside the town, so that Sowerberry, if he come up after us, might poke in his old nose, and have us taken back in a cart with handcuffs on,' said mr Claypole in a jeering tone.	true	266.51	280.86	23.517225
497_129325_000020_000001	'No!	'No!	false	280.86	282.21	25.821774
497_129325_000020_000002	I shall go and lose myself among the narrowest streets I can find, and not stop till we come to the very out-of-the-wayest house I can set eyes on. 'Cod, yer may thanks yer stars I've got a head; for if we hadn't gone, at first, the wrong road a purpose, and come back across country, yer'd have been locked up hard and fast a week ago, my lady.	I shall go and lose myself among the narrowest streets I can find, and not stop till we come to the very out of the wayest house I can set eyes on. 'Cod, yer may thanks yer stars I've got a head; for if we hadn't gone, at first, the wrong road a purpose, and come back across country, yer'd have been locked up hard and fast a week ago, my lady.	false	282.21	303.64	22.260866
497_129325_000020_000003	And serve yer right for being a fool.'	And serve yer right for being a fool.'	true	303.98	305.83	22.899868
497_129325_000021_000000	'I know I ain't as cunning as you are,' replied Charlotte; 'but don't put all the blame on me, and say I should have been locked up.	'I know I ain't as cunning as you are,' replied Charlotte; 'but don't put all the blame on me, and say I should have been locked up.	true	306.74	314.05	24.697426
497_129325_000021_000001	You would have been if I had been, any way.'	You would have been if I had been, any way.'	true	315.08	317.76	24.031605
497_129325_000022_000000	'Yer took the money from the till, yer know yer did,' said Mr. Claypole.	'Yer took the money from the till, yer know yer did,' said mr Claypole.	false	317.76	324.03	22.436403
497_129325_000023_000000	'I took it for you, Noah, dear,' rejoined Charlotte.	'I took it for you, Noah, dear,' rejoined Charlotte.	false	324.03	328.93	24.279764
497_129325_000024_000000	'Did I keep it?' asked Mr. Claypole.	'Did I keep it?' asked mr Claypole.	false	330.05	332.47	37.22736
497_129325_000025_000000	'No; you trusted in me, and let me carry it like a dear, and so you are,' said the lady, chucking him under the chin, and drawing her arm through his.	'No; you trusted in me, and let me carry it like a dear, and so you are,' said the lady, chucking him under the chin, and drawing her arm through his.	true	333.56	343.54	25.897762
497_129325_000026_000000	This was indeed the case; but as it was not Mr. Claypole's habit to repose a blind and foolish confidence in anybody, it should be observed, in justice to that gentleman, that he had trusted Charlotte to this extent, in order that, if they were pursued, the money might be found on her: which would leave him an opportunity of asserting his innocence of any theft, and would greatly facilitate his chances of escape.	This was indeed the case; but as it was not mr Claypole's habit to repose a blind and foolish confidence in anybody, it should be observed, in justice to that gentleman, that he had trusted Charlotte to this extent, in order that, if they were pursued, the money might be found on her: which would leave him an opportunity of asserting his innocence of any theft, and would greatly facilitate his chances of escape.	true	344.03	372.19	24.874266
497_129325_000026_000001	Of course, he entered at this juncture, into no explanation of his motives, and they walked on very lovingly together.	Of course, he entered at this juncture, into no explanation of his motives, and they walked on very lovingly together.	true	372.95	380.47	27.666922
497_129325_000027_000000	In pursuance of this cautious plan, Mr. Claypole went on, without halting, until he arrived at the Angel at Islington, where he wisely judged, from the crowd of passengers and numbers of vehicles, that London began in earnest.	In pursuance of this cautious plan, mr Claypole went on, without halting, until he arrived at the Angel at Islington, where he wisely judged, from the crowd of passengers and numbers of vehicles, that London began in earnest.	true	382.34	397.63	22.059183
497_129325_000027_000001	Just pausing to observe which appeared the most crowded streets, and consequently the most to be avoided, he crossed into Saint John's Road, and was soon deep in the obscurity of the intricate and dirty ways, which, lying between Gray's Inn Lane and Smithfield, render that part of the town one of the lowest and worst that improvement has left in the midst of London.	Just pausing to observe which appeared the most crowded streets, and consequently the most to be avoided, he crossed into Saint John's Road, and was soon deep in the obscurity of the intricate and dirty ways, which, lying between Gray's Inn Lane and Smithfield, render that part of the town one of the lowest and worst that improvement has left in the midst of London.	true	398.96	420.7	24.97213
497_129325_000028_000000	Through these streets, Noah Claypole walked, dragging Charlotte after him; now stepping into the kennel to embrace at a glance the whole external character of some small public-house; now jogging on again, as some fancied appearance induced him to believe it too public for his purpose.	Through these streets, Noah Claypole walked, dragging Charlotte after him; now stepping into the kennel to embrace at a glance the whole external character of some small public house; now jogging on again, as some fancied appearance induced him to believe it too public for his purpose.	true	421.61	439.92	27.372965
497_129325_000028_000001	At length, he stopped in front of one, more humble in appearance and more dirty than any he had yet seen; and, having crossed over and surveyed it from the opposite pavement, graciously announced his intention of putting up there, for the night.	At length, he stopped in front of one, more humble in appearance and more dirty than any he had yet seen; and, having crossed over and surveyed it from the opposite pavement, graciously announced his intention of putting up there, for the night.	false	439.92	455.86	22.372004
497_129325_000029_000000	'So give us the bundle,' said Noah, unstrapping it from the woman's shoulders, and slinging it over his own; 'and don't yer speak, except when yer spoke to.	'So give us the bundle,' said Noah, unstrapping it from the woman's shoulders, and slinging it over his own; 'and don't yer speak, except when yer spoke to.	false	456.32	468.66	24.211962
497_129325_000029_000001	What's the name of the house--t-h-r--three what?'	What's the name of the house-t h r-three what?'	false	468.66	476.16	28.784212
497_129325_000030_000000	'Cripples,' said Charlotte.	'Cripples,' said Charlotte.	true	476.16	477.7	25.77129
497_129325_000031_000000	'Three Cripples,' repeated Noah, 'and a very good sign too.	'Three Cripples,' repeated Noah, 'and a very good sign too.	false	478.94	483.88	28.209265
497_129325_000031_000001	Now, then! Keep close at my heels, and come along.' With these injunctions, he pushed the rattling door with his shoulder, and entered the house, followed by his companion.	Now, then! Keep close at my heels, and come along.' With these injunctions, he pushed the rattling door with his shoulder, and entered the house, followed by his companion.	true	484.31	495.64	23.73155
497_129325_000032_000000	There was nobody in the bar but a young Jew, who, with his two elbows on the counter, was reading a dirty newspaper.	There was nobody in the bar but a young Jew, who, with his two elbows on the counter, was reading a dirty newspaper.	true	497.06	503.83	24.477644
497_129325_000032_000001	He stared very hard at Noah, and Noah stared very hard at him.	He stared very hard at Noah, and Noah stared very hard at him.	true	504.14	508.54	24.06459
497_129325_000033_000000	If Noah had been attired in his charity-boy's dress, there might have been some reason for the Jew opening his eyes so wide; but as he had discarded the coat and badge, and wore a short smock-frock over his leathers, there seemed no particular reason for his appearance exciting so much attention in a public-house.	If Noah had been attired in his charity boy's dress, there might have been some reason for the Jew opening his eyes so wide; but as he had discarded the coat and badge, and wore a short smock frock over his leathers, there seemed no particular reason for his appearance exciting so much attention in a public house.	true	510.11	529.92	21.268682
497_129325_000034_000000	'Is this the Three Cripples?' asked Noah.	'Is this the Three Cripples?' asked Noah.	false	529.92	533.85	24.904623
497_129325_000035_000000	'That is the dabe of this 'ouse,' replied the Jew.	'That is the dabe of this 'ouse,' replied the Jew.	false	533.85	538.98	21.888735
497_129325_000036_000000	'A gentleman we met on the road, coming up from the country, recommended us here,' said Noah, nudging Charlotte, perhaps to call her attention to this most ingenious device for attracting respect, and perhaps to warn her to betray no surprise.	'A gentleman we met on the road, coming up from the country, recommended us here,' said Noah, nudging Charlotte, perhaps to call her attention to this most ingenious device for attracting respect, and perhaps to warn her to betray no surprise.	false	538.98	556.92	23.23213
497_129325_000036_000001	'We want to sleep here to-night.'	'We want to sleep here to night.'	false	556.92	558.33	28.438475
497_129325_000037_000000	'I'b dot certaid you cad,' said Barney, who was the attendant sprite; 'but I'll idquire.'	'I'b dot certaid you cad,' said Barney, who was the attendant sprite; 'but I'll idquire.'	false	558.33	569.88	23.811876
497_129325_000038_000000	'Show us the tap, and give us a bit of cold meat and a drop of beer while yer inquiring, will yer?' said Noah.	'Show us the tap, and give us a bit of cold meat and a drop of beer while yer inquiring, will yer?' said Noah.	false	569.88	575.86	26.03332
497_129325_000039_000000	Barney complied by ushering them into a small back-room, and setting the required viands before them; having done which, he informed the travellers that they could be lodged that night, and left the amiable couple to their refreshment.	Barney complied by ushering them into a small back room, and setting the required viands before them; having done which, he informed the travellers that they could be lodged that night, and left the amiable couple to their refreshment.	true	576.89	591.94	23.419104
497_129325_000040_000000	Now, this back-room was immediately behind the bar, and some steps lower, so that any person connected with the house, undrawing a small curtain which concealed a single pane of glass fixed in the wall of the last-named apartment, about five feet from its flooring, could not only look down upon any guests in the back-room without any great hazard of being observed (the glass being in a dark angle of the wall, between which and a large upright beam the observer had to thrust himself), but could, by applying his ear to the partition, ascertain with tolerable distinctness, their subject of conversation.	Now, this back room was immediately behind the bar, and some steps lower, so that any person connected with the house, undrawing a small curtain which concealed a single pane of glass fixed in the wall of the last named apartment, about five feet from its flooring, could not only look down upon any guests in the back room without any great hazard of being observed (the glass being in a dark angle of the wall, between which and a large upright beam the observer had to thrust himself), but could, by applying his ear to the partition, ascertain with tolerable distinctness, their subject of conversation.	false	592.07	631.12	25.289299
497_129325_000040_000001	The landlord of the house had not withdrawn his eye from this place of espial for five minutes, and Barney had only just returned from making the communication above related, when Fagin, in the course of his evening's business, came into the bar to inquire after some of his young pupils.	The landlord of the house had not withdrawn his eye from this place of espial for five minutes, and Barney had only just returned from making the communication above related, when Fagin, in the course of his evening's business, came into the bar to inquire after some of his young pupils.	false	632.63	651.63	21.8594
497_129325_000041_000000	'Hush!' said Barney: 'stradegers id the next roob.'	'Hush!' said Barney: 'stradegers id the next roob.'	false	651.63	656.17	26.468115
497_129325_000042_000000	'Strangers!' repeated the old man in a whisper.	'Strangers!' repeated the old man in a whisper.	true	657.2	660.51	24.161348
497_129325_000043_000000	'Ah!	'Ah!	false	660.51	660.84	-20
497_129325_000043_000001	Ad rub uds too,' added Barney. 'Frob the cuttry, but subthig in your way, or I'b bistaked.'	Ad rub u d s too,' added Barney. 'Frob the cuttry, but subthig in your way, or I'b bistaked.'	false	660.84	668.53	24.7106
497_129325_000044_000000	Fagin appeared to receive this communication with great interest.	Fagin appeared to receive this communication with great interest.	true	671.3	675.16	23.914139
497_129325_000045_000000	Mounting a stool, he cautiously applied his eye to the pane of glass, from which secret post he could see Mr. Claypole taking cold beef from the dish, and porter from the pot, and administering homeopathic doses of both to Charlotte, who sat patiently by, eating and drinking at his pleasure.	Mounting a stool, he cautiously applied his eye to the pane of glass, from which secret post he could see mr Claypole taking cold beef from the dish, and porter from the pot, and administering homeopathic doses of both to Charlotte, who sat patiently by, eating and drinking at his pleasure.	false	675.77	695.74	24.92504
497_129325_000046_000000	'Aha!' he whispered, looking round to Barney, 'I like that fellow's looks.	'Aha!' he whispered, looking round to Barney, 'I like that fellow's looks.	true	696.2	701.89	37.27451
497_129325_000046_000001	He'd be of use to us; he knows how to train the girl already. Don't make as much noise as a mouse, my dear, and let me hear 'em talk--let me hear 'em.'	He'd be of use to us; he knows how to train the girl already. Don't make as much noise as a mouse, my dear, and let me hear 'em talk-let me hear 'em.'	false	702.71	715.62	21.598618
497_129325_000047_000000	He again applied his eye to the glass, and turning his ear to the partition, listened attentively: with a subtle and eager look upon his face, that might have appertained to some old goblin.	He again applied his eye to the glass, and turning his ear to the partition, listened attentively: with a subtle and eager look upon his face, that might have appertained to some old goblin.	true	715.62	728.37	22.596016
497_129325_000048_000000	'So I mean to be a gentleman,' said Mr. Claypole, kicking out his legs, and continuing a conversation, the commencement of which Fagin had arrived too late to hear.	'So I mean to be a gentleman,' said mr Claypole, kicking out his legs, and continuing a conversation, the commencement of which Fagin had arrived too late to hear.	false	728.37	739.18	22.716896
497_129325_000048_000001	'No more jolly old coffins, Charlotte, but a gentleman's life for me: and, if yer like, yer shall be a lady.'	'No more jolly old coffins, Charlotte, but a gentleman's life for me: and, if yer like, yer shall be a lady.'	true	739.82	746.89	22.063856
497_129325_000049_000000	'I should like that well enough, dear,' replied Charlotte; 'but tills ain't to be emptied every day, and people to get clear off after it.'	'I should like that well enough, dear,' replied Charlotte; 'but tills ain't to be emptied every day, and people to get clear off after it.'	false	748.34	757.86	25.910963
497_129325_000050_000000	'Tills be blowed!' said Mr. Claypole; 'there's more things besides tills to be emptied.'	'Tills be blowed!' said mr Claypole; 'there's more things besides tills to be emptied.'	true	757.86	763.48	24.568195
497_129325_000051_000000	'What do you mean?' asked his companion.	'What do you mean?' asked his companion.	true	765.68	768.04	25.475645
497_129325_000052_000000	'Pockets, women's ridicules, houses, mail-coaches, banks!' said Mr. Claypole, rising with the porter.	'Pockets, women's ridicules, houses, mail coaches, banks!' said mr Claypole, rising with the porter.	true	768.59	777.61	29.257917
497_129325_000053_000000	'But you can't do all that, dear,' said Charlotte.	'But you can't do all that, dear,' said Charlotte.	true	778.34	781.24	30.13048
497_129325_000054_000000	'I shall look out to get into company with them as can,' replied Noah. 'They'll be able to make us useful some way or another.	'I shall look out to get into company with them as can,' replied Noah. 'They'll be able to make us useful some way or another.	true	782.51	790.27	24.975069
497_129325_000054_000001	Why, you yourself are worth fifty women; I never see such a precious sly and deceitful creetur as yer can be when I let yer.'	Why, you yourself are worth fifty women; I never see such a precious sly and deceitful creetur as yer can be when I let yer.'	false	790.28	798.33	22.470098
497_129325_000055_000000	'Lor, how nice it is to hear yer say so!' exclaimed Charlotte, imprinting a kiss upon his ugly face.	'Lor, how nice it is to hear yer say so!' exclaimed Charlotte, imprinting a kiss upon his ugly face.	false	798.33	806.83	21.148386
497_129325_000056_000000	'There, that'll do: don't yer be too affectionate, in case I'm cross with yer,' said Noah, disengaging himself with great gravity.	'There, that'll do: don't yer be too affectionate, in case I'm cross with yer,' said Noah, disengaging himself with great gravity.	true	807.56	816.1	23.446562
497_129325_000056_000001	'I should like to be the captain of some band, and have the whopping of 'em, and follering 'em about, unbeknown to themselves.	'I should like to be the captain of some band, and have the whopping of 'em, and follering 'em about, unbeknown to themselves.	false	816.47	823.78	24.59577
497_129325_000056_000002	That would suit me, if there was good profit; and if we could only get in with some gentleman of this sort, I say it would be cheap at that twenty-pound note you've got,--especially as we don't very well know how to get rid of it ourselves.'	That would suit me, if there was good profit; and if we could only get in with some gentleman of this sort, I say it would be cheap at that twenty pound note you've got,--especially as we don't very well know how to get rid of it ourselves.'	false	824.21	838.9	23.966457
497_129325_000057_000000	After expressing this opinion, Mr. Claypole looked into the porter-pot with an aspect of deep wisdom; and having well shaken its contents, nodded condescendingly to Charlotte, and took a draught, wherewith he appeared greatly refreshed.	After expressing this opinion, mr Claypole looked into the porter pot with an aspect of deep wisdom; and having well shaken its contents, nodded condescendingly to Charlotte, and took a draught, wherewith he appeared greatly refreshed.	false	840.23	856.72	27.263214
497_129325_000057_000001	He was meditating another, when the sudden opening of the door, and the appearance of a stranger, interrupted him.	He was meditating another, when the sudden opening of the door, and the appearance of a stranger, interrupted him.	true	857.06	864.01	24.291647
497_129325_000058_000000	The stranger was Mr. Fagin.	The stranger was mr Fagin.	true	864.35	865.89	23.66079
497_129325_000058_000001	And very amiable he looked, and a very low bow he made, as he advanced, and setting himself down at the nearest table, ordered something to drink of the grinning Barney.	And very amiable he looked, and a very low bow he made, as he advanced, and setting himself down at the nearest table, ordered something to drink of the grinning Barney.	false	865.89	877.57	21.768494
497_129325_000059_000000	'A pleasant night, sir, but cool for the time of year,' said Fagin, rubbing his hands.	'A pleasant night, sir, but cool for the time of year,' said Fagin, rubbing his hands.	false	879.5	885.4	20.89701
497_129325_000059_000001	'From the country, I see, sir?'	'From the country, I see, sir?'	true	885.86	887.92	20.050142
497_129325_000060_000000	'How do yer see that?' asked Noah Claypole.	'How do yer see that?' asked Noah Claypole.	false	889.37	892.845	36.31944
497_129325_000061_000000	'We have not so much dust as that in London,' replied Fagin, pointing from Noah's shoes to those of his companion, and from them to the two bundles.	'We have not so much dust as that in London,' replied Fagin, pointing from Noah's shoes to those of his companion, and from them to the two bundles.	true	892.845	901.95	22.563461
497_129325_000062_000000	'Yer a sharp feller,' said Noah.	'Yer a sharp feller,' said Noah.	false	901.95	906.19	26.931667
497_129325_000062_000001	'Ha! ha! only hear that, Charlotte!'	'Ha! ha! only hear that, Charlotte!'	true	906.32	908.89	31.788998
497_129325_000063_000000	'Why, one need be sharp in this town, my dear,' replied the Jew, sinking his voice to a confidential whisper; 'and that's the truth.'	'Why, one need be sharp in this town, my dear,' replied the Jew, sinking his voice to a confidential whisper; 'and that's the truth.'	false	909.86	920.53	23.43889
497_129325_000064_000000	Fagin followed up this remark by striking the side of his nose with his right forefinger,--a gesture which Noah attempted to imitate, though not with complete success, in consequence of his own nose not being large enough for the purpose.	Fagin followed up this remark by striking the side of his nose with his right forefinger,--a gesture which Noah attempted to imitate, though not with complete success, in consequence of his own nose not being large enough for the purpose.	true	921.74	934.93	23.564713
497_129325_000064_000001	However, Mr. Fagin seemed to interpret the endeavour as expressing a perfect coincidence with his opinion, and put about the liquor which Barney reappeared with, in a very friendly manner.	However, mr Fagin seemed to interpret the endeavour as expressing a perfect coincidence with his opinion, and put about the liquor which Barney reappeared with, in a very friendly manner.	true	935.48	947.625	25.539879
497_129325_000065_000000	'Good stuff that,' observed Mr. Claypole, smacking his lips.	'Good stuff that,' observed mr Claypole, smacking his lips.	false	947.625	951.04	29.692627
497_129325_000066_000000	'Dear!' said Fagin. 'A man need be always emptying a till, or a pocket, or a woman's reticule, or a house, or a mail-coach, or a bank, if he drinks it regularly.'	'Dear!' said Fagin. 'A man need be always emptying a till, or a pocket, or a woman's reticule, or a house, or a mail coach, or a bank, if he drinks it regularly.'	false	951.11	964.57	24.302755
497_129325_000067_000000	Mr. Claypole no sooner heard this extract from his own remarks than he fell back in his chair, and looked from the Jew to Charlotte with a countenance of ashy paleness and excessive terror.	mr Claypole no sooner heard this extract from his own remarks than he fell back in his chair, and looked from the Jew to Charlotte with a countenance of ashy paleness and excessive terror.	true	966.14	977.56	24.180948
497_129325_000068_000000	'Don't mind me, my dear,' said Fagin, drawing his chair closer.	'Don't mind me, my dear,' said Fagin, drawing his chair closer.	true	978.44	982.92	21.13937
497_129325_000068_000001	'Ha! ha! it was lucky it was only me that heard you by chance.	'Ha! ha! it was lucky it was only me that heard you by chance.	false	982.92	988.21	23.050274
497_129325_000068_000002	It was very lucky it was only me.'	It was very lucky it was only me.'	true	988.28	992.08	22.106691
497_129325_000069_000000	'I didn't take it,' stammered Noah, no longer stretching out his legs like an independent gentleman, but coiling them up as well as he could under his chair; 'it was all her doing; yer've got it now, Charlotte, yer know yer have.'	'I didn't take it,' stammered Noah, no longer stretching out his legs like an independent gentleman, but coiling them up as well as he could under his chair; 'it was all her doing; yer've got it now, Charlotte, yer know yer have.'	false	992.51	1008.73	22.979807
497_129325_000070_000000	'No matter who's got it, or who did it, my dear,' replied Fagin, glancing, nevertheless, with a hawk's eye at the girl and the two bundles.	'No matter who's got it, or who did it, my dear,' replied Fagin, glancing, nevertheless, with a hawk's eye at the girl and the two bundles.	true	1008.98	1018.12	23.77573
497_129325_000070_000001	'I'm in that way myself, and I like you for it.'	'I'm in that way myself, and I like you for it.'	true	1019.06	1022.61	23.372389
497_129325_000071_000000	'In what way?' asked Mr. Claypole, a little recovering.	'In what way?' asked mr Claypole, a little recovering.	false	1022.61	1027.36	23.35193
497_129325_000072_000000	'In that way of business,' rejoined Fagin; 'and so are the people of the house.	'In that way of business,' rejoined Fagin; 'and so are the people of the house.	true	1028.57	1034.11	25.443867
497_129325_000072_000001	You've hit the right nail upon the head, and are as safe here as you could be.	You've hit the right nail upon the head, and are as safe here as you could be.	true	1034.75	1039.18	22.385847
497_129325_000072_000002	There is not a safer place in all this town than is the Cripples; that is, when I like to make it so.	There is not a safer place in all this town than is the Cripples; that is, when I like to make it so.	true	1039.7	1045.71	25.01789
497_129325_000072_000003	And I have taken a fancy to you and the young woman; so I've said the word, and you may make your minds easy.'	And I have taken a fancy to you and the young woman; so I've said the word, and you may make your minds easy.'	false	1045.71	1053.03	18.601845
497_129325_000073_000000	Noah Claypole's mind might have been at ease after this assurance, but his body certainly was not; for he shuffled and writhed about, into various uncouth positions: eyeing his new friend meanwhile with mingled fear and suspicion.	Noah Claypole's mind might have been at ease after this assurance, but his body certainly was not; for he shuffled and writhed about, into various uncouth positions: eyeing his new friend meanwhile with mingled fear and suspicion.	false	1053.03	1069.39	23.403221
497_129325_000074_000000	'I'll tell you more,' said Fagin, after he had reassured the girl, by dint of friendly nods and muttered encouragements.	'I'll tell you more,' said Fagin, after he had reassured the girl, by dint of friendly nods and muttered encouragements.	true	1070.3	1077.82	25.487307
497_129325_000074_000001	'I have got a friend that I think can gratify your darling wish, and put you in the right way, where you can take whatever department of the business you think will suit you best at first, and be taught all the others.'	'I have got a friend that I think can gratify your darling wish, and put you in the right way, where you can take whatever department of the business you think will suit you best at first, and be taught all the others.'	true	1078.82	1092.76	24.98046
497_129325_000075_000000	'Yer speak as if yer were in earnest,' replied Noah.	'Yer speak as if yer were in earnest,' replied Noah.	false	1094	1098.06	21.761333
497_129325_000076_000000	'What advantage would it be to me to be anything else?' inquired Fagin, shrugging his shoulders.	'What advantage would it be to me to be anything else?' inquired Fagin, shrugging his shoulders.	true	1098.06	1103.89	24.820242
497_129325_000076_000001	'Here!	'Here!	true	1104.74	1105.42	26.919924
497_129325_000076_000002	Let me have a word with you outside.'	Let me have a word with you outside.'	true	1105.73	1108.21	23.215834
497_129325_000077_000000	'There's no occasion to trouble ourselves to move,' said Noah, getting his legs by gradual degrees abroad again.	'There's no occasion to trouble ourselves to move,' said Noah, getting his legs by gradual degrees abroad again.	true	1109.42	1116.04	23.088406
497_129325_000077_000001	'She'll take the luggage upstairs the while.	'She'll take the luggage upstairs the while.	true	1116.17	1118.2	28.023352
