497_129325_000000_000000	CHAPTER XLII	CHAPTER forty two
497_129325_000053_000000	'But you can't do all that, dear,' said Charlotte.	'But you can't do all that, dear,' said Charlotte.
497_129325_000054_000000	'I shall look out to get into company with them as can,' replied Noah. 'They'll be able to make us useful some way or another.	'I shall look out to get into company with them as can,' replied Noah. 'They'll be able to make us useful some way or another.
497_129325_000056_000000	'There, that'll do: don't yer be too affectionate, in case I'm cross with yer,' said Noah, disengaging himself with great gravity.	'There, that'll do: don't yer be too affectionate, in case I'm cross with yer,' said Noah, disengaging himself with great gravity.
497_129325_000057_000001	He was meditating another, when the sudden opening of the door, and the appearance of a stranger, interrupted him.	He was meditating another, when the sudden opening of the door, and the appearance of a stranger, interrupted him.
497_129325_000058_000000	The stranger was Mr. Fagin.	The stranger was mr Fagin.
497_129325_000059_000001	'From the country, I see, sir?'	'From the country, I see, sir?'
497_129325_000061_000000	'We have not so much dust as that in London,' replied Fagin, pointing from Noah's shoes to those of his companion, and from them to the two bundles.	'We have not so much dust as that in London,' replied Fagin, pointing from Noah's shoes to those of his companion, and from them to the two bundles.
497_129325_000062_000001	'Ha! ha! only hear that, Charlotte!'	'Ha! ha! only hear that, Charlotte!'
497_129325_000064_000000	Fagin followed up this remark by striking the side of his nose with his right forefinger,--a gesture which Noah attempted to imitate, though not with complete success, in consequence of his own nose not being large enough for the purpose.	Fagin followed up this remark by striking the side of his nose with his right forefinger,--a gesture which Noah attempted to imitate, though not with complete success, in consequence of his own nose not being large enough for the purpose.
497_129325_000064_000001	However, Mr. Fagin seemed to interpret the endeavour as expressing a perfect coincidence with his opinion, and put about the liquor which Barney reappeared with, in a very friendly manner.	However, mr Fagin seemed to interpret the endeavour as expressing a perfect coincidence with his opinion, and put about the liquor which Barney reappeared with, in a very friendly manner.
497_129325_000067_000000	Mr. Claypole no sooner heard this extract from his own remarks than he fell back in his chair, and looked from the Jew to Charlotte with a countenance of ashy paleness and excessive terror.	mr Claypole no sooner heard this extract from his own remarks than he fell back in his chair, and looked from the Jew to Charlotte with a countenance of ashy paleness and excessive terror.
497_129325_000068_000000	'Don't mind me, my dear,' said Fagin, drawing his chair closer.	'Don't mind me, my dear,' said Fagin, drawing his chair closer.
497_129325_000068_000002	It was very lucky it was only me.'	It was very lucky it was only me.'
497_129325_000070_000000	'No matter who's got it, or who did it, my dear,' replied Fagin, glancing, nevertheless, with a hawk's eye at the girl and the two bundles.	'No matter who's got it, or who did it, my dear,' replied Fagin, glancing, nevertheless, with a hawk's eye at the girl and the two bundles.
497_129325_000070_000001	'I'm in that way myself, and I like you for it.'	'I'm in that way myself, and I like you for it.'
497_129325_000072_000000	'In that way of business,' rejoined Fagin; 'and so are the people of the house.	'In that way of business,' rejoined Fagin; 'and so are the people of the house.
497_129325_000072_000001	You've hit the right nail upon the head, and are as safe here as you could be.	You've hit the right nail upon the head, and are as safe here as you could be.
497_129325_000072_000002	There is not a safer place in all this town than is the Cripples; that is, when I like to make it so.	There is not a safer place in all this town than is the Cripples; that is, when I like to make it so.
497_129325_000074_000000	'I'll tell you more,' said Fagin, after he had reassured the girl, by dint of friendly nods and muttered encouragements.	'I'll tell you more,' said Fagin, after he had reassured the girl, by dint of friendly nods and muttered encouragements.
497_129325_000074_000001	'I have got a friend that I think can gratify your darling wish, and put you in the right way, where you can take whatever department of the business you think will suit you best at first, and be taught all the others.'	'I have got a friend that I think can gratify your darling wish, and put you in the right way, where you can take whatever department of the business you think will suit you best at first, and be taught all the others.'
497_129325_000076_000000	'What advantage would it be to me to be anything else?' inquired Fagin, shrugging his shoulders.	'What advantage would it be to me to be anything else?' inquired Fagin, shrugging his shoulders.
497_129325_000076_000001	'Here!	'Here!
497_129325_000076_000002	Let me have a word with you outside.'	Let me have a word with you outside.'
497_129325_000077_000000	'There's no occasion to trouble ourselves to move,' said Noah, getting his legs by gradual degrees abroad again.	'There's no occasion to trouble ourselves to move,' said Noah, getting his legs by gradual degrees abroad again.
497_129325_000077_000001	'She'll take the luggage upstairs the while.	'She'll take the luggage upstairs the while.
497_129325_000077_000002	Charlotte, see to them bundles.'	Charlotte, see to them bundles.'
497_129325_000079_000000	'She's kept tolerably well under, ain't she?' he asked as he resumed his seat: in the tone of a keeper who had tamed some wild animal.	'She's kept tolerably well under, ain't she?' he asked as he resumed his seat: in the tone of a keeper who had tamed some wild animal.
497_129325_000080_000000	'Quite perfect,' rejoined Fagin, clapping him on the shoulder.	'Quite perfect,' rejoined Fagin, clapping him on the shoulder.
497_129325_000080_000001	'You're a genius, my dear.'	'You're a genius, my dear.'
497_129325_000085_000000	'Regular town-maders?' asked Mr. Claypole.	'Regular town maders?' asked mr Claypole.
497_129325_000088_000000	'It couldn't possibly be done without,' replied Fagin, in a most decided manner.	'It couldn't possibly be done without,' replied Fagin, in a most decided manner.
497_129325_000090_000001	Payment stopped at the Bank?	Payment stopped at the Bank?
497_129325_000090_000002	Ah!	Ah!
497_129325_000090_000003	It's not worth much to him.	It's not worth much to him.
497_129325_000090_000004	It'll have to go abroad, and he couldn't sell it for a great deal in the market.'	It'll have to go abroad, and he couldn't sell it for a great deal in the market.'
497_129325_000091_000000	'When could I see him?' asked Noah doubtfully.	'When could I see him?' asked Noah doubtfully.
497_129325_000092_000000	'To-morrow morning.'	'To morrow morning.'
497_129325_000094_000000	'Here.'	'Here.'
497_129325_000098_000000	'But, yer see,' observed Noah, 'as she will be able to do a good deal, I should like to take something very light.'	'But, yer see,' observed Noah, 'as she will be able to do a good deal, I should like to take something very light.'
497_129325_000099_000000	'A little fancy work?' suggested Fagin.	'A little fancy work?' suggested Fagin.
497_129325_000100_000000	'Ah! something of that sort,' replied Noah. 'What do you think would suit me now?	'Ah! something of that sort,' replied Noah. 'What do you think would suit me now?
497_129325_000100_000001	Something not too trying for the strength, and not very dangerous, you know.	Something not too trying for the strength, and not very dangerous, you know.
497_129325_000100_000002	That's the sort of thing!'	That's the sort of thing!'
497_129325_000103_000000	'That's true!' observed the Jew, ruminating or pretending to ruminate. 'No, it might not.'	'That's true!' observed the Jew, ruminating or pretending to ruminate. 'No, it might not.'
497_129325_000106_000001	'I don't think that would answer my purpose.	'I don't think that would answer my purpose.
497_129325_000106_000002	Ain't there any other line open?'	Ain't there any other line open?'
497_129325_000107_000001	'The kinchin lay.'	'The kinchin lay.'
497_129325_000109_000000	'The kinchins, my dear,' said Fagin, 'is the young children that's sent on errands by their mothers, with sixpences and shillings; and the lay is just to take their money away--they've always got it ready in their hands,--then knock 'em into the kennel, and walk off very slow, as if there were nothing else the matter but a child fallen down and hurt itself.	'The kinchins, my dear,' said Fagin, 'is the young children that's sent on errands by their mothers, with sixpences and shillings; and the lay is just to take their money away-they've always got it ready in their hands,--then knock 'em into the kennel, and walk off very slow, as if there were nothing else the matter but a child fallen down and hurt itself.
497_129325_000109_000001	Ha! ha!	Ha! ha!
