7384_84010_000000_000000	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, A.D. 1414.	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, a d fourteen fourteen.
7384_84010_000065_000000	It was a singular, and perhaps, to our modern ears, a most unladylike proposal; but it shows how, even in the heart of a sovereign countess and a girl general, warlike desires may give place to gentler thoughts.	It was a singular, and perhaps, to our modern ears, a most unladylike proposal; but it shows how, even in the heart of a sovereign countess and a girl general, warlike desires may give place to gentler thoughts.
7384_84010_000066_000000	To the Lord Arkell, however, this unexpected proposition came as an indication of weakness.	To the Lord Arkell, however, this unexpected proposition came as an indication of weakness.
7384_84010_000067_000001	In that is greater glory and more of power than being husband to the Lady of Holland."	In that is greater glory and more of power than being husband to the Lady of Holland."
7384_84010_000068_000000	And so he returned a most ungracious answer:	And so he returned a most ungracious answer:
7384_84010_000069_000000	"Tell the Countess Jacqueline," he said to the knight of Leyenburg, "that the honor of her hand I cannot accept.	"Tell the Countess Jacqueline," he said to the knight of Leyenburg, "that the honor of her hand I cannot accept.
7384_84010_000069_000001	I am her foe, and would rather die than marry her."	I am her foe, and would rather die than marry her."
7384_84010_000070_000000	All the hot blood of her ancestors flamed in wrath as young Jacqueline heard this reply of the rebel lord.	All the hot blood of her ancestors flamed in wrath as young Jacqueline heard this reply of the rebel lord.
7384_84010_000071_000000	"Crush we these rebel curs, von Brederode," she cried, pointing to the banner of Arkell; "for by my father's memory, they shall have neither mercy nor life from me."	"Crush we these rebel curs, von Brederode," she cried, pointing to the banner of Arkell; "for by my father's memory, they shall have neither mercy nor life from me."
7384_84010_000072_000000	Fast upon the curt refusal of the Lord of Arkell came his message of defiance.	Fast upon the curt refusal of the Lord of Arkell came his message of defiance.
7384_84010_000073_000000	"Hear ye, Countess of Holland," rang out the challenge of the herald of Arkell, as his trumpet-blast sounded before the gate of the citadel, "the free Lord of Arkell here giveth you word and warning that he will fight against you on the morrow!"	"Hear ye, Countess of Holland," rang out the challenge of the herald of Arkell, as his trumpet blast sounded before the gate of the citadel, "the free Lord of Arkell here giveth you word and warning that he will fight against you on the morrow!"
7384_84010_000074_000000	And from the citadel came back this ringing reply, as the knight of Leyenburg made answer for his sovereign lady:	And from the citadel came back this ringing reply, as the knight of Leyenburg made answer for his sovereign lady:
7384_84010_000075_000000	"Hear ye, sir Herald, and answer thus to the rebel Lord of Arkell: 'For the purpose of fighting him came we here, and fight him we will, until he and his rebels are beaten and dead.' Long live our Sovereign Lady of Holland!"	"Hear ye, sir Herald, and answer thus to the rebel Lord of Arkell: 'For the purpose of fighting him came we here, and fight him we will, until he and his rebels are beaten and dead.' Long live our Sovereign Lady of Holland!"
7384_84010_000076_000000	On the morrow, a murky December day, in the year 1417, the battle was joined, as announced.	On the morrow, a murky December day, in the year fourteen seventeen, the battle was joined, as announced.
7384_84010_000076_000001	On the low plain beyond the city, knights and men-at-arms, archers and spearmen, closed in the shock of battle, and a stubborn and bloody fight it was.	On the low plain beyond the city, knights and men at arms, archers and spearmen, closed in the shock of battle, and a stubborn and bloody fight it was.
7384_84010_000077_000001	The brave von Brederode fell pierced with wounds, and the day seemed lost, indeed, to the Lady of Holland.	The brave von Brederode fell pierced with wounds, and the day seemed lost, indeed, to the Lady of Holland.
7384_84010_000078_000000	Then Jacqueline the Countess, seeing her cause in danger--like another Joan of Arc, though she was indeed a younger and much more beautiful girl general,--seized the lion-banner of her house, and, at the head of her reserve troops, charged through the open gate straight into the ranks of her victorious foes.	Then Jacqueline the Countess, seeing her cause in danger-like another Joan of Arc, though she was indeed a younger and much more beautiful girl general,--seized the lion banner of her house, and, at the head of her reserve troops, charged through the open gate straight into the ranks of her victorious foes.
7384_84010_000078_000001	There was neither mercy nor gentleness in her heart then.	There was neither mercy nor gentleness in her heart then.
7384_84010_000078_000002	As when she had cowed with a look Ajax, the lion, so now, with defiance and wrath in her face, she dashed straight at the foe.	As when she had cowed with a look Ajax, the lion, so now, with defiance and wrath in her face, she dashed straight at the foe.
7384_84010_000079_000000	Her disheartened knights rallied around her, and, following the impetuous girl, they wielded axe and lance for the final struggle.	Her disheartened knights rallied around her, and, following the impetuous girl, they wielded axe and lance for the final struggle.
7384_84010_000079_000001	The result came quickly.	The result came quickly.
7384_84010_000079_000002	The ponderous battle-axe of the knight of Leyenburg crashed through the helmet of the Lord of Arkell, and as the brave young leader fell to the ground, his panic-stricken followers turned and fled. The troops of Jacqueline pursued them through the streets of Gorkum and out into the open country, and the vengeance of the countess was sharp and merciless.	The ponderous battle axe of the knight of Leyenburg crashed through the helmet of the Lord of Arkell, and as the brave young leader fell to the ground, his panic stricken followers turned and fled. The troops of Jacqueline pursued them through the streets of Gorkum and out into the open country, and the vengeance of the countess was sharp and merciless.
7384_84010_000080_000000	But in the flush of victory wrath gave way to pity again, and the young conqueror is reported to have said, sadly and in tears:	But in the flush of victory wrath gave way to pity again, and the young conqueror is reported to have said, sadly and in tears:
7384_84010_000082_000000	But the knights and nobles who followed her banner loudly praised her valor and her fearlessness, and their highest and most knightly vow thereafter was to swear "By the courage of our Princess."	But the knights and nobles who followed her banner loudly praised her valor and her fearlessness, and their highest and most knightly vow thereafter was to swear "By the courage of our Princess."
7384_84010_000083_000000	The brilliant victory of this girl of sixteen was not, however, to accomplish her desires.	The brilliant victory of this girl of sixteen was not, however, to accomplish her desires.
7384_84010_000083_000001	Peace never came to her.	Peace never came to her.
7384_84010_000083_000002	Harassed by rebellion at home, and persecuted by her relentless and perfidious uncles, Count John of Bavaria, rightly called "the Pitiless," and Duke Philip of Burgundy, falsely called "the Good," she, who had once been Crown Princess of France and Lady of Holland, died at the early age of thirty-six, stripped of all her titles and estates.	Harassed by rebellion at home, and persecuted by her relentless and perfidious uncles, Count john of Bavaria, rightly called "the Pitiless," and Duke Philip of Burgundy, falsely called "the Good," she, who had once been Crown Princess of France and Lady of Holland, died at the early age of thirty six, stripped of all her titles and estates.
7384_84010_000083_000003	It is, however, pleasant to think that she was happy in the love of her husband, the baron of the forests of the Duke of Burgundy, a plain Dutch gentleman, Francis von Borselen, the lad who, years before, had furnished the gray gabardine that had shielded Count William's daughter from her father's lions.	It is, however, pleasant to think that she was happy in the love of her husband, the baron of the forests of the Duke of Burgundy, a plain Dutch gentleman, Francis von Borselen, the lad who, years before, had furnished the gray gabardine that had shielded Count William's daughter from her father's lions.
7384_84010_000084_000000	The story of Jacqueline of Holland is one of the most romantic that has come down to us from those romantic days of the knights.	The story of Jacqueline of Holland is one of the most romantic that has come down to us from those romantic days of the knights.
7384_84010_000084_000001	Happy only in her earliest and latest years, she is, nevertheless, a bright and attractive figure against the dark background of feudal tyranny and crime.	Happy only in her earliest and latest years, she is, nevertheless, a bright and attractive figure against the dark background of feudal tyranny and crime.
7384_84010_000084_000002	The story of her womanhood should indeed be told, if we would study her life as a whole; but for us, who can in this paper deal only with her romantic girlhood, her young life is to be taken as a type of the stirring and extravagant days of chivalry.	The story of her womanhood should indeed be told, if we would study her life as a whole; but for us, who can in this paper deal only with her romantic girlhood, her young life is to be taken as a type of the stirring and extravagant days of chivalry.
7384_84010_000085_000000	And we cannot but think with sadness upon the power for good that she might have been in her land of fogs and floods if, instead of being made the tool of party hate and the ambitions of men, her frank and fearless girl nature had been trained to gentle ways and charitable deeds.	And we cannot but think with sadness upon the power for good that she might have been in her land of fogs and floods if, instead of being made the tool of party hate and the ambitions of men, her frank and fearless girl nature had been trained to gentle ways and charitable deeds.
7384_84010_000086_000000	To be "the most picturesque figure in the history of Holland," as she has been called, is distinction indeed; but higher still must surely be that gentleness of character and nobility of soul that, in these days of ours, may be acquired by every girl and boy who reads this romantic story of the Countess Jacqueline, the fair young Lady of Holland.	To be "the most picturesque figure in the history of Holland," as she has been called, is distinction indeed; but higher still must surely be that gentleness of character and nobility of soul that, in these days of ours, may be acquired by every girl and boy who reads this romantic story of the Countess Jacqueline, the fair young Lady of Holland.
