8534_216567_000000_000000	O God of liberty!	O God of liberty!	false	0	0.54	-20
8534_216567_000012_000000	To find the law of equality, no longer in charity and self-sacrifice (which are not binding in their nature), but in justice; to base equality of functions upon equality of persons; to determine the absolute principle of exchange; to neutralize the inequality of individual faculties by collective force; to establish an equation between property and robbery; to change the law of succession without destroying the principle; to maintain the human personality in a system of absolute association, and to save liberty from the chains of communism; to synthetize the monarchical and democratic forms of government; to reverse the division of powers; to give the executive power to the nation, and to make legislation a positive, fixed, and absolute science,--what a series of paradoxes! what a string of delusions! if I may not say, what a chain of truths!	To find the law of equality, no longer in charity and self sacrifice (which are not binding in their nature), but in justice; to base equality of functions upon equality of persons; to determine the absolute principle of exchange; to neutralize the inequality of individual faculties by collective force; to establish an equation between property and robbery; to change the law of succession without destroying the principle; to maintain the human personality in a system of absolute association, and to save liberty from the chains of communism; to synthetize the monarchical and democratic forms of government; to reverse the division of powers; to give the executive power to the nation, and to make legislation a positive, fixed, and absolute science,--what a series of paradoxes! what a string of delusions! if I may not say, what a chain of truths!	true	243.08	289.39	21.071342
8534_216567_000012_000001	But it is not my purpose here to pass upon the theory of the right of possession.	But it is not my purpose here to pass upon the theory of the right of possession.	true	290.09	293.71	21
8534_216567_000012_000002	I discuss no dogmas.	I discuss no dogmas.	true	294.08	295.45	19.298262
8534_216567_000012_000003	My only object is to justify my views, and to show that, in writing as I did, I not only exercised a right, but performed a duty.	My only object is to justify my views, and to show that, in writing as I did, I not only exercised a right, but performed a duty.	true	295.46	302.59	16
8534_216567_000013_000000	Yes, I have attacked property, and shall attack it again; but, sir, before demanding that I shall make the amende honorable for having obeyed my conscience and spoken the exact truth, condescend, I beg of you, to cast a glance at the events which are happening around us; look at our deputies, our magistrates, our philosophers, our ministers, our professors, and our publicists; examine their methods of dealing with the matter of property; count up with me the restrictions placed upon it every day in the name of the public welfare; measure the breaches already made; estimate those which society thinks of making hereafter; add the ideas concerning property held by all theories in common; interrogate history, and then tell me what will be left, half a century hence, of this old right of property; and, thus perceiving that I have so many accomplices, you will immediately declare me innocent.	Yes, I have attacked property, and shall attack it again; but, sir, before demanding that I shall make the amende honorable for having obeyed my conscience and spoken the exact truth, condescend, I beg of you, to cast a glance at the events which are happening around us; look at our deputies, our magistrates, our philosophers, our ministers, our professors, and our publicists; examine their methods of dealing with the matter of property; count up with me the restrictions placed upon it every day in the name of the public welfare; measure the breaches already made; estimate those which society thinks of making hereafter; add the ideas concerning property held by all theories in common; interrogate history, and then tell me what will be left, half a century hence, of this old right of property; and, thus perceiving that I have so many accomplices, you will immediately declare me innocent.	false	303.74	349.57	20
8534_216567_000014_000000	What is the law of expropriation on the ground of public utility, which everybody favors, and which is even thought too lenient?	What is the law of expropriation on the ground of public utility, which everybody favors, and which is even thought too lenient?	false	350.81	365.97	21.750027
8534_216567_000014_000001	[36]	[thirty six]	false	365.97	369.09	20.968275
8534_216567_000015_000000	A flagrant violation of the right of property.	A flagrant violation of the right of property.	true	369.09	371.62	20.143337
8534_216567_000015_000001	Society indemnifies, it is said, the dispossessed proprietor; but does it return to him the traditional associations, the poetic charm, and the family pride which accompany property?	Society indemnifies, it is said, the dispossessed proprietor; but does it return to him the traditional associations, the poetic charm, and the family pride which accompany property?	false	372.17	381.28	18
8534_216567_000015_000002	Naboth, and the miller of Sans-Souci, would have protested against French law, as they protested against the caprice of their kings.	Naboth, and the miller of Sans Souci, would have protested against French law, as they protested against the caprice of their kings.	true	382.04	388.72	21.6426
8534_216567_000015_000003	"It is the field of our fathers," they would have cried, "and we will not sell it!" Among the ancients, the refusal of the individual limited the powers of the State.	"It is the field of our fathers," they would have cried, "and we will not sell it!" Among the ancients, the refusal of the individual limited the powers of the State.	true	389.33	397.51	22.192526
8534_216567_000015_000004	The Roman law bowed to the will of the citizen, and an emperor--Commodus, if I remember rightly--abandoned the project of enlarging the forum out of respect for the rights of the occupants who refused to abdicate.	The Roman law bowed to the will of the citizen, and an emperor-Commodus, if I remember rightly-abandoned the project of enlarging the forum out of respect for the rights of the occupants who refused to abdicate.	false	397.82	408.22	21
8534_216567_000015_000005	Property is a real right, _jus_ _in re_,--a right inherent in the thing, and whose principle lies in the external manifestation of man's will.	Property is a real right, underscore jus underscore underscore in re underscore,--a right inherent in the thing, and whose principle lies in the external manifestation of man's will.	false	408.68	416.56	22
8534_216567_000015_000006	Man leaves his imprint, stamps his character, upon the objects of his handiwork. This plastic force of man, as the modern jurists say, is the seal which, set upon matter, makes it holy.	Man leaves his imprint, stamps his character, upon the objects of his handiwork. This plastic force of man, as the modern jurists say, is the seal which, set upon matter, makes it holy.	true	417.11	428.08	21.763834
8534_216567_000015_000007	Whoever lays hands upon it, against the proprietor's will, does violence to the latter's personality.	Whoever lays hands upon it, against the proprietor's will, does violence to the latter's personality.	true	428.21	433	19
8534_216567_000015_000008	And yet, when an administrative committee saw fit to declare that public utility required it, property had to give way to the general will.	And yet, when an administrative committee saw fit to declare that public utility required it, property had to give way to the general will.	false	433.16	440.23	23
8534_216567_000015_000009	Soon, in the name of public utility, methods of cultivation and conditions of enjoyment will be prescribed; inspectors of agriculture and manufactures will be appointed; property will be taken away from unskilful hands, and entrusted to laborers who are more deserving of it; and a general superintendence of production will be established.	Soon, in the name of public utility, methods of cultivation and conditions of enjoyment will be prescribed; inspectors of agriculture and manufactures will be appointed; property will be taken away from unskilful hands, and entrusted to laborers who are more deserving of it; and a general superintendence of production will be established.	true	440.66	457.69	20
8534_216567_000015_000010	It is not two years since I saw a proprietor destroy a forest more than five hundred acres in extent.	It is not two years since I saw a proprietor destroy a forest more than five hundred acres in extent.	true	458.18	463.15	22
8534_216567_000015_000011	If public utility had interfered, that forest--the only one for miles around--would still be standing.	If public utility had interfered, that forest-the only one for miles around-would still be standing.	true	463.58	468.55	21
8534_216567_000016_000000	But, it is said, expropriation on the ground of public utility is only an exception which confirms the principle, and bears testimony in favor of the right.	But, it is said, expropriation on the ground of public utility is only an exception which confirms the principle, and bears testimony in favor of the right.	true	469.43	477.07	23
8534_216567_000016_000001	Very well; but from this exception we will pass to another, from that to a third, and so on from exceptions to exceptions, until we have reduced the rule to a pure abstraction.	Very well; but from this exception we will pass to another, from that to a third, and so on from exceptions to exceptions, until we have reduced the rule to a pure abstraction.	true	477.65	486.28	21
8534_216567_000017_000000	How many supporters do you think, sir, can be claimed for the project of the conversion of the public funds?	How many supporters do you think, sir, can be claimed for the project of the conversion of the public funds?	true	486.62	491.65	21
8534_216567_000017_000001	I venture to say that everybody favors it, except the fund-holders.	I venture to say that everybody favors it, except the fund holders.	false	492.17	495.16	19.555424
8534_216567_000017_000002	Now, this so-called conversion is an extensive expropriation, and in this case with no indemnity whatever. The public funds are so much real estate, the income from which the proprietor counts upon with perfect safety, and which owes its value to the tacit promise of the government to pay interest upon it at the established rate, until the fund-holder applies for redemption.	Now, this so-called conversion is an extensive expropriation, and in this case with no indemnity whatever. The public funds are so much real estate, the income from which the proprietor counts upon with perfect safety, and which owes its value to the tacit promise of the government to pay interest upon it at the established rate, until the fund holder applies for redemption.	true	495.35	514.21	22
8534_216567_000017_000003	For, if the income is liable to diminution, it is less profitable than house-rent or farm-rent, whose rates may rise or fall according to the fluctuations in the market; and in that case, what inducement has the capitalist to invest his money in the State?	For, if the income is liable to diminution, it is less profitable than house rent or farm rent, whose rates may rise or fall according to the fluctuations in the market; and in that case, what inducement has the capitalist to invest his money in the State?	true	514.46	527.14	19
8534_216567_000017_000004	When, then, you force the fund-holder to submit to a diminution of interest, you make him bankrupt to the extent of the diminution; and since, in consequence of the conversion, an equally profitable investment becomes impossible, you depreciate his property.	When, then, you force the fund holder to submit to a diminution of interest, you make him bankrupt to the extent of the diminution; and since, in consequence of the conversion, an equally profitable investment becomes impossible, you depreciate his property.	false	527.48	540.16	20
8534_216567_000018_000000	That such a measure may be justly executed, it must be generalized; that is, the law which provides for it must decree also that interest on sums lent on deposit or on mortgage throughout the realm, as well as house and farm-rents, shall be reduced to three per cent.	That such a measure may be justly executed, it must be generalized; that is, the law which provides for it must decree also that interest on sums lent on deposit or on mortgage throughout the realm, as well as house and farm rents, shall be reduced to three per cent.	true	541.04	555.1	21
8534_216567_000018_000001	This simultaneous reduction of all kinds of income would be not a whit more difficult to accomplish than the proposed conversion; and, further, it would offer the advantage of forestalling at one blow all objections to it, at the same time that it would insure a just assessment of the land-tax.	This simultaneous reduction of all kinds of income would be not a whit more difficult to accomplish than the proposed conversion; and, further, it would offer the advantage of forestalling at one blow all objections to it, at the same time that it would insure a just assessment of the land tax.	false	555.77	570.4	20
8534_216567_000018_000002	See! If at the moment of conversion a piece of real estate yields an income of one thousand francs, after the new law takes effect it will yield only six hundred francs.	See! If at the moment of conversion a piece of real estate yields an income of one thousand francs, after the new law takes effect it will yield only six hundred francs.	true	571.19	579.58	22.840324
8534_216567_000018_000003	Now, allowing the tax to be an aliquot part--one-fourth for example--of the income derived from each piece of property, it is clear on the one hand that the proprietor would not, in order to lighten his share of the tax, underestimate the value of his property; since, house and farm-rents being fixed by the value of the capital, and the latter being measured by the tax, to depreciate his real estate would be to reduce his revenue.	Now, allowing the tax to be an aliquot part-one fourth for example-of the income derived from each piece of property, it is clear on the one hand that the proprietor would not, in order to lighten his share of the tax, underestimate the value of his property; since, house and farm rents being fixed by the value of the capital, and the latter being measured by the tax, to depreciate his real estate would be to reduce his revenue.	false	580.07	601.81	22.13667
8534_216567_000018_000004	On the other hand, it is equally evident that the same proprietors could not overestimate the value of their property, in order to increase their incomes beyond the limits of the law, since the tenants and farmers, with their old leases in their hands, would enter a protest.	On the other hand, it is equally evident that the same proprietors could not overestimate the value of their property, in order to increase their incomes beyond the limits of the law, since the tenants and farmers, with their old leases in their hands, would enter a protest.	false	602.57	615.13	20
8534_216567_000019_000000	Such, sir, must be the result sooner or later of the conversion which has been so long demanded; otherwise, the financial operation of which we are speaking would be a crying injustice, unless intended as a stepping-stone.	Such, sir, must be the result sooner or later of the conversion which has been so long demanded; otherwise, the financial operation of which we are speaking would be a crying injustice, unless intended as a stepping stone.	true	615.62	626.38	19
8534_216567_000019_000001	This last motive seems the most plausible one; for in spite of the clamors of interested parties, and the flagrant violation of certain rights, the public conscience is bound to fulfil its desire, and is no more affected when charged with attacking property, than when listening to the complaints of the bondholders.	This last motive seems the most plausible one; for in spite of the clamors of interested parties, and the flagrant violation of certain rights, the public conscience is bound to fulfil its desire, and is no more affected when charged with attacking property, than when listening to the complaints of the bondholders.	true	626.93	642.52	22
8534_216567_000019_000002	In this case, instinctive justice belies legal justice.	In this case, instinctive justice belies legal justice.	true	643.04	646.39	23
8534_216567_000020_000000	Who has not heard of the inextricable confusion into which the Chamber of Deputies was thrown last year, while discussing the question of colonial and native sugars?	Who has not heard of the inextricable confusion into which the Chamber of Deputies was thrown last year, while discussing the question of colonial and native sugars?	true	647.54	655.42	16
8534_216567_000020_000001	Did they leave these two industries to themselves?	Did they leave these two industries to themselves?	true	655.91	658.27	23.7093
8534_216567_000020_000002	The native manufacturer was ruined by the colonist.	The native manufacturer was ruined by the colonist.	true	658.52	661.21	21.923058
8534_216567_000020_000003	To maintain the beet-root, the cane had to be taxed.	To maintain the beet root, the cane had to be taxed.	true	661.4	663.94	20.879091
8534_216567_000020_000004	To protect the property of the one, it became necessary to violate the property of the other.	To protect the property of the one, it became necessary to violate the property of the other.	true	663.95	668.2	22
8534_216567_000020_000005	The most remarkable feature of this business was precisely that to which the least attention was paid; namely, that, in one way or another, property had to be violated.	The most remarkable feature of this business was precisely that to which the least attention was paid; namely, that, in one way or another, property had to be violated.	true	668.69	677.62	22
8534_216567_000020_000006	Did they impose on each industry a proportional tax, so as to preserve a balance in the market?	Did they impose on each industry a proportional tax, so as to preserve a balance in the market?	true	677.96	682.99	22
8534_216567_000020_000007	They created a maximum PRICE for each variety of sugar; and, as this maximum PRICE was not the same, they attacked property in two ways,--on the one hand, interfering with the liberty of trade; on the other, disregarding the equality of proprietors.	They created a maximum PRICE for each variety of sugar; and, as this maximum PRICE was not the same, they attacked property in two ways,--on the one hand, interfering with the liberty of trade; on the other, disregarding the equality of proprietors.	true	683.33	696.73	21
8534_216567_000020_000008	Did they suppress the beet-root by granting an indemnity to the manufacturer?	Did they suppress the beet root by granting an indemnity to the manufacturer?	true	697.19	700.9	22
8534_216567_000020_000009	They sacrificed the property of the tax-payer.	They sacrificed the property of the tax payer.	true	701.21	703.69	21.7986
8534_216567_000020_000010	Finally, did they prefer to cultivate the two varieties of sugar at the nation's expense, just as different varieties of tobacco are cultivated?	Finally, did they prefer to cultivate the two varieties of sugar at the nation's expense, just as different varieties of tobacco are cultivated?	true	704.12	711.16	20
8534_216567_000020_000011	They abolished, so far as the sugar industry was concerned, the right of property.	They abolished, so far as the sugar industry was concerned, the right of property.	true	711.62	715.84	23.042822
8534_216567_000020_000012	This last course, being the most social, would have been certainly the best; but, if property is the necessary basis of civilization, how is this deep-seated antagonism to be explained?	This last course, being the most social, would have been certainly the best; but, if property is the necessary basis of civilization, how is this deep seated antagonism to be explained?	false	716.42	728.58	20.901657
8534_216567_000020_000013	[37]	[thirty seven]	false	728.58	731.385	21.52325
8534_216567_000021_000000	Not satisfied with the power of dispossessing a citizen on the ground of public utility, they want also to dispossess him on the ground of PRIVATE UTILITY.	Not satisfied with the power of dispossessing a citizen on the ground of public utility, they want also to dispossess him on the ground of PRIVATE UTILITY.	false	731.385	738.94	16
8534_216567_000021_000001	For a long time, a revision of the law concerning mortgages was clamored for; a process was demanded, in behalf of all kinds of credit and in the interest of even the debtors themselves, which would render the expropriation of real estate as prompt, as easy, and as effective as that which follows a commercial protest.	For a long time, a revision of the law concerning mortgages was clamored for; a process was demanded, in behalf of all kinds of credit and in the interest of even the debtors themselves, which would render the expropriation of real estate as prompt, as easy, and as effective as that which follows a commercial protest.	true	739.37	754.54	21
8534_216567_000021_000002	The Chamber of Deputies, in the early part of this year, 1841, discussed this project, and the law was passed almost unanimously.	The Chamber of Deputies, in the early part of this year, eighteen forty one, discussed this project, and the law was passed almost unanimously.	true	755.51	762.31	22
8534_216567_000021_000003	There is nothing more just, nothing more reasonable, nothing more philosophical apparently, than the motives which gave rise to this reform.	There is nothing more just, nothing more reasonable, nothing more philosophical apparently, than the motives which gave rise to this reform.	true	762.92	769.74	21
8534_216567_000022_000000	I. Formerly, the small proprietor whose obligation had arrived at maturity, and who found himself unable to meet it, had to employ all that he had left, after being released from his debt, in defraying the legal costs.	I. Formerly, the small proprietor whose obligation had arrived at maturity, and who found himself unable to meet it, had to employ all that he had left, after being released from his debt, in defraying the legal costs.	false	769.74	781.6	21.58159
8534_216567_000022_000001	Henceforth, the promptness of expropriation will save him from total ruin.	Henceforth, the promptness of expropriation will save him from total ruin.	true	781.97	786.03	23.214264
8534_216567_000022_000002	2.	two.	false	786.03	787.59	15.489099
8534_216567_000022_000003	The difficulties in the way of payment arrested credit, and prevented the employment of capital in agricultural enterprises.	The difficulties in the way of payment arrested credit, and prevented the employment of capital in agricultural enterprises.	true	787.59	793.42	19
8534_216567_000022_000004	This cause of distrust no longer existing, capitalists will find new markets, agriculture will rapidly develop, and farmers will be the first to enjoy the benefit of the new law.	This cause of distrust no longer existing, capitalists will find new markets, agriculture will rapidly develop, and farmers will be the first to enjoy the benefit of the new law.	false	793.85	803.14	20
8534_216567_000022_000005	3.	three.	true	803.93	804.58	24.353281
8534_216567_000022_000006	Finally, it was iniquitous and absurd, that, on account of a protested note, a poor manufacturer should see in twenty-four hours his business arrested, his labor suspended, his merchandise seized, his machinery sold at auction, and finally himself led off to prison, while two years were sometimes necessary to expropriate the most miserable piece of real estate.	Finally, it was iniquitous and absurd, that, on account of a protested note, a poor manufacturer should see in twenty four hours his business arrested, his labor suspended, his merchandise seized, his machinery sold at auction, and finally himself led off to prison, while two years were sometimes necessary to expropriate the most miserable piece of real estate.	true	804.62	822.91	18
8534_216567_000023_000000	These arguments, and others besides, you clearly stated, sir, in your first lectures of this academic year.	These arguments, and others besides, you clearly stated, sir, in your first lectures of this academic year.	true	823.97	829.48	20
8534_216567_000024_000000	But, when stating these excellent arguments, did you ask yourself, sir, whither would tend such a transformation of our system of mortgages?... To monetize, if I may say so, landed property; to accumulate it within portfolios; to separate the laborer from the soil, man from Nature; to make him a wanderer over the face of the earth; to eradicate from his heart every trace of family feeling, national pride, and love of country; to isolate him more and more; to render him indifferent to all around him; to concentrate his love upon one object,--money; and, finally, by the dishonest practices of usury, to monopolize the land to the profit of a financial aristocracy,--a worthy auxiliary of that industrial feudality whose pernicious influence we begin to feel so bitterly.	But, when stating these excellent arguments, did you ask yourself, sir, whither would tend such a transformation of our system of mortgages?... To monetize, if I may say so, landed property; to accumulate it within portfolios; to separate the laborer from the soil, man from Nature; to make him a wanderer over the face of the earth; to eradicate from his heart every trace of family feeling, national pride, and love of country; to isolate him more and more; to render him indifferent to all around him; to concentrate his love upon one object,--money; and, finally, by the dishonest practices of usury, to monopolize the land to the profit of a financial aristocracy,--a worthy auxiliary of that industrial feudality whose pernicious influence we begin to feel so bitterly.	true	830.09	871.78	21
8534_216567_000024_000001	Thus, little by little, the subordination of the laborer to the idler, the restoration of abolished castes, and the distinction between patrician and plebeian, would be effected; thus, thanks to the new privileges granted to the property of the capitalists, that of the small and intermediate proprietors would gradually disappear, and with it the whole class of free and honest laborers.	Thus, little by little, the subordination of the laborer to the idler, the restoration of abolished castes, and the distinction between patrician and plebeian, would be effected; thus, thanks to the new privileges granted to the property of the capitalists, that of the small and intermediate proprietors would gradually disappear, and with it the whole class of free and honest laborers.	true	872.42	891.49	19
8534_216567_000024_000002	This certainly is not my plan for the abolition of property.	This certainly is not my plan for the abolition of property.	true	892.31	895.27	20
8534_216567_000024_000003	Far from mobilizing the soil, I would, if possible, immobilize even the functions of pure intelligence, so that society might be the fulfilment of the intentions of Nature, who gave us our first possession, the land.	Far from mobilizing the soil, I would, if possible, immobilize even the functions of pure intelligence, so that society might be the fulfilment of the intentions of Nature, who gave us our first possession, the land.	true	895.46	906.91	21.030598
8534_216567_000024_000004	For, if the instrument or capital of production is the mark of the laborer, it is also his pedestal, his support, his country, and, as the Psalmist says, THE PLACE OF HIS ACTIVITY AND HIS REST. [38]	For, if the instrument or capital of production is the mark of the laborer, it is also his pedestal, his support, his country, and, as the Psalmist says, THE PLACE OF HIS ACTIVITY AND HIS REST. [thirty eight]	false	907.73	960.945	23.363113
8534_216567_000025_000000	Let us examine more closely still the inevitable and approaching result of the last law concerning judicial sales and mortgages.	Let us examine more closely still the inevitable and approaching result of the last law concerning judicial sales and mortgages.	true	960.945	967.12	14
