4848_28247_000002_000000	CHAPTER XVI.	CHAPTER sixteen.
4848_28247_000027_000003	Of the vegetable kingdom, there was not a single representative; the most meager of Arctic plants, the most insignificant of lichens, could obtain no hold upon that stony waste.	Of the vegetable kingdom, there was not a single representative; the most meager of Arctic plants, the most insignificant of lichens, could obtain no hold upon that stony waste.
4848_28247_000027_000005	The mineral kingdom reigned supreme.	The mineral kingdom reigned supreme.
4848_28247_000028_000001	Silent and tearful, he stood upon an ice-bound rock, straining his eyes across the boundless vista of the mysterious territory.	Silent and tearful, he stood upon an ice bound rock, straining his eyes across the boundless vista of the mysterious territory.
4848_28247_000028_000002	"It cannot be!" he exclaimed.	"It cannot be!" he exclaimed.
4848_28247_000028_000005	By all that's pitiful, I entreat you, come and explore the farthest verge of the ice-bound track!"	By all that's pitiful, I entreat you, come and explore the farthest verge of the ice bound track!"
4848_28247_000029_000002	It proved to be a fragment of dis-colored marble, on which several letters were inscribed, of which the only part at all decipherable was the syllable "Vil."	It proved to be a fragment of dis colored marble, on which several letters were inscribed, of which the only part at all decipherable was the syllable "Vil."
4848_28247_000030_000000	"Vil--Villa!" he cried out, in his excitement dropping the marble, which was broken into atoms by the fall.	"Vil-Villa!" he cried out, in his excitement dropping the marble, which was broken into atoms by the fall.
4848_28247_000031_000000	What else could this fragment be but the sole surviving remnant of some sumptuous mansion that once had stood on this unrivaled site?	What else could this fragment be but the sole surviving remnant of some sumptuous mansion that once had stood on this unrivaled site?
4848_28247_000031_000002	And did it not give in its sad and too convincing testimony that Antibes itself had been involved in the great destruction?	And did it not give in its sad and too convincing testimony that Antibes itself had been involved in the great destruction?
4848_28247_000031_000003	Servadac gazed upon the shattered marble, pensive and disheartened.	Servadac gazed upon the shattered marble, pensive and disheartened.
4848_28247_000033_000000	He shook his head mournfully.	He shook his head mournfully.
4848_28247_000035_000000	Servadac smiled faintly, and replied that he felt rather compelled to take up the despairing cry of Dante, "All hope abandon, ye who enter here."	Servadac smiled faintly, and replied that he felt rather compelled to take up the despairing cry of Dante, "All hope abandon, ye who enter here."
