7478_98644_000000_000000	CHAPTER X.	CHAPTER ten	false	11.16	23.19	22.802221
7478_98644_000003_000001	But one's impression of the state of trade in Japan is, that it is still in a very primitive and undeveloped condition, and is surprisingly behind the other parts of Japanese civilization.	But one's impression of the state of trade in Japan is, that it is still in a very primitive and undeveloped condition, and is surprisingly behind the other parts of Japanese civilization.	true	181.07	190.03	19
7478_98644_000004_000000	The shopping of the ladies of the large _yashikis_ and of wealthy families is done mostly in the home; for all the stores are willing at any time, on receiving an order, to send up a clerk with a bale of crepes, silks, and cottons tied to his back, and frequently towering high above his head as he walks, making him look like the proverbial ant with a grain of wheat.	The shopping of the ladies of the large underscore yashikis underscore and of wealthy families is done mostly in the home; for all the stores are willing at any time, on receiving an order, to send up a clerk with a bale of crepes, silks, and cottons tied to his back, and frequently towering high above his head as he walks, making him look like the proverbial ant with a grain of wheat.	false	190.91	209.77	21.815475
7478_98644_000004_000001	He sets his great bundle carefully down on the floor, opens the enormous _furushiki_, or bundle handkerchief, in which it is enveloped, and takes out roll after roll of silk or chintz, neatly done up in paper or yellow cotton.	He sets his great bundle carefully down on the floor, opens the enormous underscore furushiki underscore, or bundle handkerchief, in which it is enveloped, and takes out roll after roll of silk or chintz, neatly done up in paper or yellow cotton.	false	209.93	222.43	26.035627
7478_98644_000004_000002	With infinite patience, he waits while the merits of each piece are examined and discussed, and if none of his stock proves satisfactory, he is willing to come again with a new set of wares, knowing that in the end purchases will be made sufficient to cover all his trouble.	With infinite patience, he waits while the merits of each piece are examined and discussed, and if none of his stock proves satisfactory, he is willing to come again with a new set of wares, knowing that in the end purchases will be made sufficient to cover all his trouble.	true	222.8	235.81	21.476757
7478_98644_000005_000000	The less aristocratic people are content to go to the stores themselves; and the business streets of a Japanese city, such as the Ginza in T[=o]ky[=o], are full of women, young and old, as well as merry children, who enjoy the life and bustle of the stores.	The less aristocratic people are content to go to the stores themselves; and the business streets of a Japanese city, such as the Ginza in T[equals o]kentucky[equals o], are full of women, young and old, as well as merry children, who enjoy the life and bustle of the stores.	false	236.21	248.92	22.78559
7478_98644_000005_000001	Like all things else in Japan, shopping takes plenty of time.	Like all things else in Japan, shopping takes plenty of time.	true	249.29	252.97	24.20644
7478_98644_000005_000002	At Mitsui's, the largest silk store in T[=o]ky[=o], one will see crowds of clerks sitting upon the matted floors, each with his _soroban_, or adding machine, by his side; and innumerable small boys, who rush to and fro, carrying armfuls of fabrics to the different clerks, or picking up the same fabrics after the customer who has called for them has departed.	At Mitsui's, the largest silk store in T[equals o]kentucky[equals o], one will see crowds of clerks sitting upon the matted floors, each with his underscore soroban underscore, or adding machine, by his side; and innumerable small boys, who rush to and fro, carrying armfuls of fabrics to the different clerks, or picking up the same fabrics after the customer who has called for them has departed.	false	253.64	272.23	22.745079
7478_98644_000005_000003	The store appears, to the foreign eye, to be simply a roofed and matted platform upon which both clerks and customers sit.	The store appears, to the foreign eye, to be simply a roofed and matted platform upon which both clerks and customers sit.	true	272.84	279.52	24.54497
7478_98644_000005_000004	This platform is screened from the street by dark blue cotton curtains or awnings hung from the low projecting eaves of the heavy roof.	This platform is screened from the street by dark blue cotton curtains or awnings hung from the low projecting eaves of the heavy roof.	true	279.86	286.66	24.348017
7478_98644_000005_000005	As the customers take their seats, either on the edge of the platform, or, if they have come on an extended shopping bout, upon the straw mat of the platform itself, a small boy appears with tea for the party; an obsequious clerk greets them with the customary salutations of welcome, pushes the charcoal brazier toward them, that they may smoke, or warm their hands, before proceeding to business, and then waits expectantly for the name of the goods that his customers desire to see.	As the customers take their seats, either on the edge of the platform, or, if they have come on an extended shopping bout, upon the straw mat of the platform itself, a small boy appears with tea for the party; an obsequious clerk greets them with the customary salutations of welcome, pushes the charcoal brazier toward them, that they may smoke, or warm their hands, before proceeding to business, and then waits expectantly for the name of the goods that his customers desire to see.	true	286.79	310.45	23.487402
7478_98644_000005_000006	When this is given, the work begins; the little boys are summoned, and are soon sent off to the great fire-proof warehouse, which stands with heavy doors thrown open, on the other side of the platform, away from the street.	When this is given, the work begins; the little boys are summoned, and are soon sent off to the great fire proof warehouse, which stands with heavy doors thrown open, on the other side of the platform, away from the street.	true	310.79	322.08	22.555973
7478_98644_000005_000007	Through the doorway one can see endless piles of costly stuffs stored safely away, and from these piles the boys select the required fabric, loading themselves down with them so that they can barely stagger under the weights that they carry.	Through the doorway one can see endless piles of costly stuffs stored safely away, and from these piles the boys select the required fabric, loading themselves down with them so that they can barely stagger under the weights that they carry.	true	322.08	334.24	22.035624
7478_98644_000005_000008	As the right goods are not always brought the first time, and as, moreover, there is an endless variety in the colors and patterns in even one kind of silk, there is always plenty of time for watching the busy scene,--for sipping tea, or smoking a few whiffs from the tiny pipes that so many Japanese, both men and women, carry always with them.	As the right goods are not always brought the first time, and as, moreover, there is an endless variety in the colors and patterns in even one kind of silk, there is always plenty of time for watching the busy scene,--for sipping tea, or smoking a few whiffs from the tiny pipes that so many Japanese, both men and women, carry always with them.	false	334.52	351.55	22
7478_98644_000005_000009	When the purchase is at last made, there is still some time to be spent by the customer in waiting until the clerk has made an abstruse calculation upon his _soroban_, the transaction has been entered in the books of the firm, and a long bill has been written and stamped, and handed to her with the bundle.	When the purchase is at last made, there is still some time to be spent by the customer in waiting until the clerk has made an abstruse calculation upon his underscore soroban underscore, the transaction has been entered in the books of the firm, and a long bill has been written and stamped, and handed to her with the bundle.	false	351.86	365.98	21.953728
7478_98644_000005_000010	During her stay in the store, the foreign customer, making her first visit to the place, is frequently startled by loud shouts from the whole staff of clerks and small boys,--outcries so sudden, so simultaneous, and so stentorian, that she cannot rid herself of the idea that something terrible is happening every time that they occur.	During her stay in the store, the foreign customer, making her first visit to the place, is frequently startled by loud shouts from the whole staff of clerks and small boys,--outcries so sudden, so simultaneous, and so stentorian, that she cannot rid herself of the idea that something terrible is happening every time that they occur.	true	366.29	382.3	22.182476
7478_98644_000005_000011	She soon learns, however, that these manifestations of energy are but the way in which the Japanese merchant speeds the departing purchaser, and that the apparently inarticulate shouts are but the formal phrase, "Thanks for your continued favors," which is repeated in a loud tone by every employee in the store whenever a customer departs. When she herself is at last ready to leave, a chorus of yells arises, this time for her benefit; and as she skips into the _jinrikisha_ and is whirled away, she hears continued the busy hum of voices, the clattering of _sorobans_, the thumping of the bare feet of the heavily laden boys, and the loud shouts of thanks with which departing guests are honored.	She soon learns, however, that these manifestations of energy are but the way in which the Japanese merchant speeds the departing purchaser, and that the apparently inarticulate shouts are but the formal phrase, "Thanks for your continued favors," which is repeated in a loud tone by every employee in the store whenever a customer departs. When she herself is at last ready to leave, a chorus of yells arises, this time for her benefit; and as she skips into the underscore jinrikisha underscore and is whirled away, she hears continued the busy hum of voices, the clattering of underscore sorobans underscore, the thumping of the bare feet of the heavily laden boys, and the loud shouts of thanks with which departing guests are honored.	false	382.73	417.55	22.609608
7478_98644_000006_000000	There is less pomp and circumstance about the smaller stores, for all the goods are within easy reach, and the shops for household utensils and chinaware seem to have nearly the whole stock in trade piled up in front, or even in the street itself.	There is less pomp and circumstance about the smaller stores, for all the goods are within easy reach, and the shops for household utensils and chinaware seem to have nearly the whole stock in trade piled up in front, or even in the street itself.	true	418.37	430.81	22.511206
7478_98644_000006_000001	Many such little places are the homes of the people who keep them.	Many such little places are the homes of the people who keep them.	true	431.63	434.89	22.40119
7478_98644_000006_000002	And at the back are rooms, which serve for dwelling rooms, opening upon well-kept gardens.	And at the back are rooms, which serve for dwelling rooms, opening upon well kept gardens.	true	434.96	439.81	25.012941
7478_98644_000006_000003	The whole work of the store is often attended to by the proprietor, assisted by his wife and family, and perhaps one or two apprentices.	The whole work of the store is often attended to by the proprietor, assisted by his wife and family, and perhaps one or two apprentices.	true	440	447.01	26.175608
7478_98644_000006_000004	Each of the workers, in turn, takes an occasional holiday, for there is no day in the Japanese calendar when the shops are all closed; and even New Year's Day, the great festival of the year, finds most of the stores open.	Each of the workers, in turn, takes an occasional holiday, for there is no day in the Japanese calendar when the shops are all closed; and even New Year's Day, the great festival of the year, finds most of the stores open.	true	447.26	458.23	20.906902
7478_98644_000006_000005	Yet the dwellers in these little homes, living almost in the street, and in the midst of the bustle and crowd and dust of T[=o]ky[=o], have still time to enjoy their holidays and their little gardens, and have more pleasure and less hard work than those under similar circumstances in our own country.	Yet the dwellers in these little homes, living almost in the street, and in the midst of the bustle and crowd and dust of T[equals o]kentucky[equals o], have still time to enjoy their holidays and their little gardens, and have more pleasure and less hard work than those under similar circumstances in our own country.	false	458.45	472.45	21.148973
7478_98644_000007_000000	The stranger visiting any of the great Japanese cities is surprised by the lack of large stores and manufactories, and often wonders where the beautiful lacquer work and porcelains are made, and where the gay silks and crepes are woven.	The stranger visiting any of the great Japanese cities is surprised by the lack of large stores and manufactories, and often wonders where the beautiful lacquer work and porcelains are made, and where the gay silks and crepes are woven.	true	473.15	485.05	21.506727
7478_98644_000007_000001	There are no large establishments where such things are turned out by wholesale.	There are no large establishments where such things are turned out by wholesale.	false	485.24	488.44	20.454952
7478_98644_000007_000002	The delicate vases, the bronzes, and the silks are often made in humblest homes, the work of one or two laborers with rudest tools.	The delicate vases, the bronzes, and the silks are often made in humblest homes, the work of one or two laborers with rudest tools.	true	488.57	496.36	23.130663
7478_98644_000007_000003	There are no great manufactories to be seen, and the bane of so many cities, the polluting factory smoke, never rises over the cities of Japan.	There are no great manufactories to be seen, and the bane of so many cities, the polluting factory smoke, never rises over the cities of Japan.	true	496.52	504.01	20.964682
7478_98644_000007_000004	The hard, confining factory life, with its never-ceasing roar of machinery, bewildering the minds and intellects of the men who come under its deadening influences, until they become scarcely more than machines themselves, is a thing as yet almost unknown in Japan.	The hard, confining factory life, with its never ceasing roar of machinery, bewildering the minds and intellects of the men who come under its deadening influences, until they become scarcely more than machines themselves, is a thing as yet almost unknown in Japan.	true	504.5	519.46	22
7478_98644_000007_000005	The life of the _jinrikisha_ man even, hard and comfortless as it may seem to run all day like a horse through the crowded city streets, is one that keeps him in the fresh air, under the open sky, and quickens his powers both of body and mind.	The life of the underscore jinrikisha underscore man even, hard and comfortless as it may seem to run all day like a horse through the crowded city streets, is one that keeps him in the fresh air, under the open sky, and quickens his powers both of body and mind.	false	519.77	533.98	23.031122
7478_98644_000007_000006	To the poor in Japanese cities is never denied the fresh air and sunshine, green trees and grass; and the beautiful parks and gardens are found everywhere, for the enjoyment of even the meanest and lowest.	To the poor in Japanese cities is never denied the fresh air and sunshine, green trees and grass; and the beautiful parks and gardens are found everywhere, for the enjoyment of even the meanest and lowest.	false	534.38	546.19	20.485544
7478_98644_000008_000000	On certain days in the month, in different sections of the city, are held night festivals near temples, and many shopkeepers take the opportunity to erect temporary booths, in which they so arrange their wares as to tempt the passers-by as they go to and fro.	On certain days in the month, in different sections of the city, are held night festivals near temples, and many shopkeepers take the opportunity to erect temporary booths, in which they so arrange their wares as to tempt the passers by as they go to and fro.	true	546.68	560.925	20.343071
7478_98644_000008_000001	Very often there is a magnificent display of young trees, potted plants, and flowers, brought in from the country and ranged on both sides of the street.	Very often there is a magnificent display of young trees, potted plants, and flowers, brought in from the country and ranged on both sides of the street.	true	560.925	568.99	24.940908
7478_98644_000008_000002	Here the gardeners make lively sales, as the displays are often fine in themselves, and show to a special advantage in the flaring torchlight. The eager venders, who do all they can to call the attention of the crowd to their wares, make many good bargains.	Here the gardeners make lively sales, as the displays are often fine in themselves, and show to a special advantage in the flaring torchlight. The eager venders, who do all they can to call the attention of the crowd to their wares, make many good bargains.	true	569.15	584.29	21.581924
7478_98644_000008_000003	The purchase requires skill on both sides, for flower men are proverbial in their high charges, asking often five and ten times the real value of a plant, but coming down in price almost immediately on remonstrance.	The purchase requires skill on both sides, for flower men are proverbial in their high charges, asking often five and ten times the real value of a plant, but coming down in price almost immediately on remonstrance.	false	584.69	596.56	21.366018
7478_98644_000008_000004	You ask the price of a dwarf wistaria growing in a pot.	You ask the price of a dwarf wistaria growing in a pot.	true	597.5	600.49	24.346819
7478_98644_000008_000005	The man answers at once, "Two dollars." "Two dollars!" you answer in surprise, "it is not worth more than thirty or forty cents." "Seventy-five, then," he will respond; and thus the buyer and seller approach nearer in price, until the bargain is struck somewhere near the first price offered.	The man answers at once, "Two dollars." "Two dollars!" you answer in surprise, "it is not worth more than thirty or forty cents." "Seventy five, then," he will respond; and thus the buyer and seller approach nearer in price, until the bargain is struck somewhere near the first price offered.	true	600.53	616.03	24.054304
7478_98644_000008_000006	Price another plant and there would be the same process to go over again; but as the evening passes, prices go lower and lower, for the distances that the plants have been brought are great, and the labor of loading up and carrying back the heavy pots is a weary one, and when the last customer has departed the merchants must work late into the night to get their wares safely home again.	Price another plant and there would be the same process to go over again; but as the evening passes, prices go lower and lower, for the distances that the plants have been brought are great, and the labor of loading up and carrying back the heavy pots is a weary one, and when the last customer has departed the merchants must work late into the night to get their wares safely home again.	false	616.79	635.23	22.625013
7478_98644_000009_000000	But beside the flower shows, there are long rows of booths, which, with the many visitors who throng the streets, make a gay and lively scene. So dense is the crowd that it is with difficulty one can push through on foot or in _jinrikisha_.	But beside the flower shows, there are long rows of booths, which, with the many visitors who throng the streets, make a gay and lively scene. So dense is the crowd that it is with difficulty one can push through on foot or in underscore jinrikisha underscore.	false	636.11	650.16	22.645887
7478_98644_000009_000001	The darkness is illuminated by torches, whose weird flames flare and smoke in the wind, and shine down upon the little sheds which line both sides of the road, and contain so tempting a display of cheap toys and trinkets that not only the children, but their elders, are attracted by them.	The darkness is illuminated by torches, whose weird flames flare and smoke in the wind, and shine down upon the little sheds which line both sides of the road, and contain so tempting a display of cheap toys and trinkets that not only the children, but their elders, are attracted by them.	true	650.16	664.75	22.548897
7478_98644_000009_000002	Some of the booths are devoted to dolls; others to toys of various kinds; still others to birds in cages, goldfish in globes, queer chirping insects in wicker baskets, pretty ornaments for the hair, fans, candies, and cakes of all sorts, roasted beans and peanuts, and other things too numerous to mention.	Some of the booths are devoted to dolls; others to toys of various kinds; still others to birds in cages, goldfish in globes, queer chirping insects in wicker baskets, pretty ornaments for the hair, fans, candies, and cakes of all sorts, roasted beans and peanuts, and other things too numerous to mention.	true	665.09	682.57	23.394936
7478_98644_000009_000003	The long line of stalls ends with booths, or tents, in which shows of dancing, jugglery, educated animals, and monstrosities, natural or artificial, may be seen for the moderate admission fee of two sen.	The long line of stalls ends with booths, or tents, in which shows of dancing, jugglery, educated animals, and monstrosities, natural or artificial, may be seen for the moderate admission fee of two sen	true	682.85	694.42	20.64885
7478_98644_000009_000004	Each of these shows is well advertised by the beating of drums, by the shouting of doorkeepers, by wonderful pictures on the outside to entice the passer-by, or even by an occasional brief lifting of the curtains which veil the scene from the crowd without, just long enough to afford a tantalizing glimpse of the wonders within.	Each of these shows is well advertised by the beating of drums, by the shouting of doorkeepers, by wonderful pictures on the outside to entice the passer by, or even by an occasional brief lifting of the curtains which veil the scene from the crowd without, just long enough to afford a tantalizing glimpse of the wonders within.	true	695.18	712.06	22.161774
7478_98644_000009_000005	Great is the fascination to the children in all these things, and the little feet are never weary until the last booth is passed, and the quiet of neighboring streets, lighted only by wandering lanterns, strikes the home-returning party by its contrast with the light and noise of the festival.	Great is the fascination to the children in all these things, and the little feet are never weary until the last booth is passed, and the quiet of neighboring streets, lighted only by wandering lanterns, strikes the home returning party by its contrast with the light and noise of the festival.	false	712.49	728.26	22.394485
7478_98644_000009_000006	The supposed object of the expedition, the visit to the temple, has occupied but a small share of time and attention, and the little hands are filled with the amusing toys and trifles bought, and the little minds with the merry sights seen.	The supposed object of the expedition, the visit to the temple, has occupied but a small share of time and attention, and the little hands are filled with the amusing toys and trifles bought, and the little minds with the merry sights seen.	true	728.42	740.74	23.111612
7478_98644_000009_000007	Nor are those who remain at home forgotten, but the pleasure-seekers who visit the fair carry away with them little gifts for each member of the family, and the _O miage_, or present given on the return, is a regular institution of Japanese home life.[42]	Nor are those who remain at home forgotten, but the pleasure seekers who visit the fair carry away with them little gifts for each member of the family, and the underscore O miage underscore, or present given on the return, is a regular institution of Japanese home life.[forty two]	false	741.14	755.55	23.669743
7478_98644_000010_000000	[42] _O miage_ must be given, not only on the return from an evening of pleasure, but also on the return from a journey or pleasure trip of any kind.	[forty two] underscore O miage underscore must be given, not only on the return from an evening of pleasure, but also on the return from a journey or pleasure trip of any kind.	false	755.55	764.29	25.837679
7478_98644_000010_000001	As a rule, the longer the absence, the finer and more costly must be the presents given on returning.	As a rule, the longer the absence, the finer and more costly must be the presents given on returning.	false	764.51	772.59	22.062613
7478_98644_000011_000000	By ten o'clock, when the crowds have dispersed and the purchasers have all gone home and gone to bed, the busy booth-keepers take down their stalls, pack up their wares, and disappear, leaving no trace of the night's gayeties to greet the morning sun.	By ten o'clock, when the crowds have dispersed and the purchasers have all gone home and gone to bed, the busy booth keepers take down their stalls, pack up their wares, and disappear, leaving no trace of the night's gayeties to greet the morning sun	true	772.59	784.3	22
7478_98644_000012_000000	Beside these evening shows, which occur monthly or oftener, there are also great festivals of the various gods, some celebrated annually, others at intervals of some years.	Beside these evening shows, which occur monthly or oftener, there are also great festivals of the various gods, some celebrated annually, others at intervals of some years.	false	785.21	794.35	20
7478_98644_000012_000001	These _matsuri_ last for several days, and during that time the quarter of the city in which they occur seems entirely given over to festivity.	These underscore matsuri underscore last for several days, and during that time the quarter of the city in which they occur seems entirely given over to festivity.	false	794.63	803.26	24.35978
7478_98644_000012_000002	The streets are gayly decorated with flags, and bright lanterns--all alike in design and color--are hung in rows from the low eaves of the houses.	The streets are gayly decorated with flags, and bright lanterns-all alike in design and color-are hung in rows from the low eaves of the houses.	true	803.84	810.55	23
7478_98644_000012_000003	Young bamboo-trees set along the street, and decorated with bits of bright-colored tissue paper, are a frequent and effective accompaniment of these festivals, and here and there throughout the district are set up high stands, on the tops of which musicians with squeaky flutes, and drums of varying calibre, keep up a din more festive than harmonious.	Young bamboo trees set along the street, and decorated with bits of bright colored tissue paper, are a frequent and effective accompaniment of these festivals, and here and there throughout the district are set up high stands, on the tops of which musicians with squeaky flutes, and drums of varying calibre, keep up a din more festive than harmonious.	false	810.86	829.48	24.6936
7478_98644_000012_000004	It takes a day or two for the rejoicings to get fully under way, but by the second or third day the fun is at its height, and the streets are thronged with merrymakers.	It takes a day or two for the rejoicings to get fully under way, but by the second or third day the fun is at its height, and the streets are thronged with merrymakers.	true	829.76	838.54	23.329718
7478_98644_000012_000005	A great deal of labor and strength, as well as ingenuity, is spent in the construction of enormous floats, or _dashi_, lofty platforms of two stories, either set on wheels and drawn by black bullocks or crowds of shouting men, or carried by poles on men's shoulders.	A great deal of labor and strength, as well as ingenuity, is spent in the construction of enormous floats, or underscore dashi underscore, lofty platforms of two stories, either set on wheels and drawn by black bullocks or crowds of shouting men, or carried by poles on men's shoulders.	false	838.76	855.04	20.590965
7478_98644_000012_000006	Upon the first floor of these great floats is usually a company of dancers, or mummers, who dance, attitudinize, or make faces for the amusement of the crowds that gather along their route; while up above, an effigy of some hero in Japanese history, or the figure of some animal or monster, looks down unmoved upon the absurdities below.	Upon the first floor of these great floats is usually a company of dancers, or mummers, who dance, attitudinize, or make faces for the amusement of the crowds that gather along their route; while up above, an effigy of some hero in Japanese history, or the figure of some animal or monster, looks down unmoved upon the absurdities below.	false	855.32	873.46	21.796751
7478_98644_000012_000007	Each _dashi_ is attended, not only by the men who draw it, but by companies of others in some uniform costume; and sometimes graceful professional dancing-girls are hired to march in the _matsuri_ procession, or to dance upon the lofty _dashi_. At the time of the festivities which accompanied the promulgation of the Constitution, three days of jollification were held in T[=o]ky[=o], days of such universal fun and frolic that it will be known among the common people, to all succeeding generations, as the "Emperor's big _matsuri_." Every quarter of the city vied with every other in the production of gorgeous _dashi_, and the streets were gay with every conceivable variety of decoration, from the little red-and-white paper lanterns, that even the poorest hung before their houses, to the great evergreen arches, set with electric lights, with which the great business streets were spanned thickly from end to end.	Each underscore dashi underscore is attended, not only by the men who draw it, but by companies of others in some uniform costume; and sometimes graceful professional dancing girls are hired to march in the underscore matsuri underscore procession, or to dance upon the lofty underscore dashi underscore. At the time of the festivities which accompanied the promulgation of the Constitution, three days of jollification were held in T[equals o]kentucky[equals o], days of such universal fun and frolic that it will be known among the common people, to all succeeding generations, as the "Emperor's big underscore matsuri underscore." Every quarter of the city vied with every other in the production of gorgeous underscore dashi underscore, and the streets were gay with every conceivable variety of decoration, from the little red and white paper lanterns, that even the poorest hung before their houses, to the great evergreen arches, set with electric lights, with which the great business streets were spanned thickly from end to end.	false	873.65	925.69	21.486883
7478_98644_000012_000008	An evening walk through one of these thoroughfares was a sight to be remembered for a lifetime.	An evening walk through one of these thoroughfares was a sight to be remembered for a lifetime.	true	926.03	930.76	22
7478_98644_000012_000009	The magnificent _dashi_ represented all manner of quaint conceits.	The magnificent underscore dashi underscore represented all manner of quaint conceits.	false	930.95	934.69	24.88874
7478_98644_000012_000010	A great bivalve drawn by yelling crowds--which halted occasionally--opened and displayed between its shells a group of beautifully dressed girls, who danced one of the pantomimic dances of the country, accompanied by the twanging melodies of the _samisen_.	A great bivalve drawn by yelling crowds-which halted occasionally-opened and displayed between its shells a group of beautifully dressed girls, who danced one of the pantomimic dances of the country, accompanied by the twanging melodies of the underscore samisen underscore.	false	934.85	950.7	21.935104
7478_98644_000012_000011	Then slowly the great shell closed, once more the shouting crowds seized hold of the straining ropes, and the great bivalve with its fair freight was drawn slowly along through the gayly illuminated streets.	Then slowly the great shell closed, once more the shouting crowds seized hold of the straining ropes, and the great bivalve with its fair freight was drawn slowly along through the gayly illuminated streets.	true	950.7	961.42	21.132881
7478_98644_000012_000012	Jimmu Tenno and other heroes of Japanese legend or history, each upon its lofty platform, a white elephant, and countless other subjects were represented in the festival cars sent forth by all the districts of the city to celebrate the great event.	Jimmu Tenno and other heroes of Japanese legend or history, each upon its lofty platform, a white elephant, and countless other subjects were represented in the festival cars sent forth by all the districts of the city to celebrate the great event.	true	961.97	975.67	23.409615
7478_98644_000013_000000	Upon such festival occasions the shopkeeper does not put up his shutters and leave his place of business, but the open shop-fronts add much to the gay appearance of the street.	Upon such festival occasions the shopkeeper does not put up his shutters and leave his place of business, but the open shop fronts add much to the gay appearance of the street.	true	977.21	986.05	23.793095
7478_98644_000013_000001	There are no signs of business about, but the floor of the shop is covered with bright-red blankets; magnificent gilded screens form an imposing background to the little room; and seated on the floor are the shopkeeper, his family, and guests, eating, drinking tea, and smoking, as cosily as if all the world and his wife were not gazing upon the gay and homelike interior. Sometimes companies of dancers, or other entertainments furnished by the wealthier shopkeepers, will attract gaping crowds, who watch and block the street until the advance guard of some approaching _dashi_ scatters them for a moment.	There are no signs of business about, but the floor of the shop is covered with bright red blankets; magnificent gilded screens form an imposing background to the little room; and seated on the floor are the shopkeeper, his family, and guests, eating, drinking tea, and smoking, as cosily as if all the world and his wife were not gazing upon the gay and homelike interior. Sometimes companies of dancers, or other entertainments furnished by the wealthier shopkeepers, will attract gaping crowds, who watch and block the street until the advance guard of some approaching underscore dashi underscore scatters them for a moment.	false	986.09	1018.51	22.773129
