954_130627_000000_000000	CHAPTER VI.	CHAPTER six.	true	25.92	27.01	16.794687
954_130627_000023_000004	He was full of weird and unnatural notions about being a credit to his parents and an honour to the school; and he yearned to win prizes, and grow up and be a clever man, and had all those sorts of weak-minded ideas.	He was full of weird and unnatural notions about being a credit to his parents and an honour to the school; and he yearned to win prizes, and grow up and be a clever man, and had all those sorts of weak minded ideas.	false	497.99	512.02	19.689707
954_130627_000023_000005	I never knew such a strange creature, yet harmless, mind you, as the babe unborn.	I never knew such a strange creature, yet harmless, mind you, as the babe unborn.	true	512.24	517.15	19.095549
954_130627_000024_000000	Well, that boy used to get ill about twice a week, so that he couldn't go to school.	Well, that boy used to get ill about twice a week, so that he couldn't go to school.	true	517.31	523.63	21.101824
954_130627_000024_000001	There never was such a boy to get ill as that Sandford and Merton.	There never was such a boy to get ill as that Sandford and Merton.	true	524.12	527.23	19.255613
954_130627_000024_000002	If there was any known disease going within ten miles of him, he had it, and had it badly.	If there was any known disease going within ten miles of him, he had it, and had it badly.	false	527.3	532.42	17.458298
954_130627_000024_000003	He would take bronchitis in the dog-days, and have hay-fever at Christmas.	He would take bronchitis in the dog days, and have hay fever at Christmas.	true	532.7	536.16	18.502863
954_130627_000024_000004	After a six weeks' period of drought, he would be stricken down with rheumatic fever; and he would go out in a November fog and come home with a sunstroke.	After a six weeks' period of drought, he would be stricken down with rheumatic fever; and he would go out in a November fog and come home with a sunstroke.	false	536.16	545.32	22
954_130627_000025_000000	They put him under laughing-gas one year, poor lad, and drew all his teeth, and gave him a false set, because he suffered so terribly with toothache; and then it turned to neuralgia and ear-ache.	They put him under laughing gas one year, poor lad, and drew all his teeth, and gave him a false set, because he suffered so terribly with toothache; and then it turned to neuralgia and ear ache.	true	545.54	556.03	21.072344
954_130627_000025_000001	He was never without a cold, except once for nine weeks while he had scarlet fever; and he always had chilblains.	He was never without a cold, except once for nine weeks while he had scarlet fever; and he always had chilblains.	true	556.16	561.91	18.307632
954_130627_000025_000002	During the great cholera scare of 1871, our neighbourhood was singularly free from it.	During the great cholera scare of eighteen seventy one, our neighbourhood was singularly free from it.	true	562.1	567.1	18.888872
954_130627_000025_000003	There was only one reputed case in the whole parish: that case was young Stivvings.	There was only one reputed case in the whole parish: that case was young Stivvings.	false	567.26	572.11	17.771725
954_130627_000026_000000	He had to stop in bed when he was ill, and eat chicken and custards and hot-house grapes; and he would lie there and sob, because they wouldn't let him do Latin exercises, and took his German grammar away from him.	He had to stop in bed when he was ill, and eat chicken and custards and hot house grapes; and he would lie there and sob, because they wouldn't let him do Latin exercises, and took his German grammar away from him.	false	572.81	585.04	19.245756
954_130627_000027_000000	And we other boys, who would have sacrificed ten terms of our school-life for the sake of being ill for a day, and had no desire whatever to give our parents any excuse for being stuck-up about us, couldn't catch so much as a stiff neck.	And we other boys, who would have sacrificed ten terms of our school life for the sake of being ill for a day, and had no desire whatever to give our parents any excuse for being stuck up about us, couldn't catch so much as a stiff neck.	false	585.14	602.29	18.235521
954_130627_000027_000001	We fooled about in draughts, and it did us good, and freshened us up; and we took things to make us sick, and they made us fat, and gave us an appetite.	We fooled about in draughts, and it did us good, and freshened us up; and we took things to make us sick, and they made us fat, and gave us an appetite.	false	602.3	611.26	19.550543
954_130627_000027_000002	Nothing we could think of seemed to make us ill until the holidays began.	Nothing we could think of seemed to make us ill until the holidays began.	true	611.33	615.52	16.583118
954_130627_000027_000003	Then, on the breaking-up day, we caught colds, and whooping cough, and all kinds of disorders, which lasted till the term recommenced; when, in spite of everything we could manoeuvre to the contrary, we would get suddenly well again, and be better than ever.	Then, on the breaking up day, we caught colds, and whooping cough, and all kinds of disorders, which lasted till the term recommenced; when, in spite of everything we could manoeuvre to the contrary, we would get suddenly well again, and be better than ever.	true	615.53	629.26	18.93053
954_130627_000028_000000	Such is life; and we are but as grass that is cut down, and put into the oven and baked.	Such is life; and we are but as grass that is cut down, and put into the oven and baked.	false	629.69	635.2	20.512774
954_130627_000029_000000	To go back to the carved-oak question, they must have had very fair notions of the artistic and the beautiful, our great-great-grandfathers. Why, all our art treasures of to-day are only the dug-up commonplaces of three or four hundred years ago.	To go back to the carved oak question, they must have had very fair notions of the artistic and the beautiful, our great great grandfathers. Why, all our art treasures of to day are only the dug up commonplaces of three or four hundred years ago.	false	635.93	649.36	21.50424
954_130627_000029_000001	I wonder if there is real intrinsic beauty in the old soup-plates, beer-mugs, and candle-snuffers that we prize so now, or if it is only the halo of age glowing around them that gives them their charms in our eyes.	I wonder if there is real intrinsic beauty in the old soup plates, beer mugs, and candle snuffers that we prize so now, or if it is only the halo of age glowing around them that gives them their charms in our eyes.	false	649.61	662.17	15.803635
954_130627_000029_000002	The "old blue" that we hang about our walls as ornaments were the common every-day household utensils of a few centuries ago; and the pink shepherds and the yellow shepherdesses that we hand round now for all our friends to gush over, and pretend they understand, were the unvalued mantel-ornaments that the mother of the eighteenth century would have given the baby to suck when he cried.	The "old blue" that we hang about our walls as ornaments were the common every day household utensils of a few centuries ago; and the pink shepherds and the yellow shepherdesses that we hand round now for all our friends to gush over, and pretend they understand, were the unvalued mantel ornaments that the mother of the eighteenth century would have given the baby to suck when he cried.	false	662.3	682.78	16.936869
954_130627_000030_000000	Will it be the same in the future?	Will it be the same in the future?	true	683.72	685.69	17.015585
954_130627_000030_000001	Will the prized treasures of to-day always be the cheap trifles of the day before?	Will the prized treasures of to day always be the cheap trifles of the day before?	true	686.15	690.34	22.210829
954_130627_000030_000002	Will rows of our willow-pattern dinner-plates be ranged above the chimneypieces of the great in the years 2000 and odd?	Will rows of our willow pattern dinner plates be ranged above the chimneypieces of the great in the years two thousand and odd?	false	690.56	698.97	17.44789
954_130627_000030_000003	Will the white cups with the gold rim and the beautiful gold flower inside (species unknown), that our Sarah Janes now break in sheer light-heartedness of spirit, be carefully mended, and stood upon a bracket, and dusted only by the lady of the house?	Will the white cups with the gold rim and the beautiful gold flower inside (species unknown), that our Sarah Janes now break in sheer light heartedness of spirit, be carefully mended, and stood upon a bracket, and dusted only by the lady of the house?	false	698.97	712.29	19.853872
954_130627_000031_000000	[Picture: China dog]	[Picture: China dog]	false	712.29	713.145	14
954_130627_000031_000001	That china dog that ornaments the bedroom of my furnished lodgings.	That china dog that ornaments the bedroom of my furnished lodgings.	true	713.145	716.35	19.7959
954_130627_000031_000002	It is a white dog.	It is a white dog.	true	716.84	718.36	26.927889
954_130627_000031_000003	Its eyes blue.	Its eyes blue.	true	718.37	719.5	20.846466
954_130627_000031_000004	Its nose is a delicate red, with spots.	Its nose is a delicate red, with spots.	true	719.81	722.2	19.978476
954_130627_000031_000005	Its head is painfully erect, its expression is amiability carried to verge of imbecility.	Its head is painfully erect, its expression is amiability carried to verge of imbecility.	false	722.51	728.41	18.901571
954_130627_000031_000006	I do not admire it myself. Considered as a work of art, I may say it irritates me.	I do not admire it myself. Considered as a work of art, I may say it irritates me.	false	729.11	734.65	17.752424
954_130627_000031_000007	Thoughtless friends jeer at it, and even my landlady herself has no admiration for it, and excuses its presence by the circumstance that her aunt gave it to her.	Thoughtless friends jeer at it, and even my landlady herself has no admiration for it, and excuses its presence by the circumstance that her aunt gave it to her.	true	734.75	743.41	20.139194
954_130627_000032_000000	But in 200 years' time it is more than probable that that dog will be dug up from somewhere or other, minus its legs, and with its tail broken, and will be sold for old china, and put in a glass cabinet.	But in two hundred years' time it is more than probable that that dog will be dug up from somewhere or other, minus its legs, and with its tail broken, and will be sold for old china, and put in a glass cabinet.	false	744.05	755.91	20.062984
954_130627_000032_000001	And people will pass it round, and admire it.	And people will pass it round, and admire it.	false	755.91	759.1	16.853453
954_130627_000032_000002	They will be struck by the wonderful depth of the colour on the nose, and speculate as to how beautiful the bit of the tail that is lost no doubt was.	They will be struck by the wonderful depth of the colour on the nose, and speculate as to how beautiful the bit of the tail that is lost no doubt was.	true	759.14	767.92	19.837238
954_130627_000033_000000	We, in this age, do not see the beauty of that dog.	We, in this age, do not see the beauty of that dog.	true	768.56	771.82	17.757616
954_130627_000033_000001	We are too familiar with it.	We are too familiar with it.	true	771.83	773.26	20.043606
954_130627_000033_000002	It is like the sunset and the stars: we are not awed by their loveliness because they are common to our eyes.	It is like the sunset and the stars: we are not awed by their loveliness because they are common to our eyes.	true	773.6	778.93	16.356016
954_130627_000033_000003	So it is with that china dog.	So it is with that china dog.	true	779.15	781.6	21.38029
954_130627_000033_000004	In 2288 people will gush over it.	In two thousand two hundred eighty eight people will gush over it.	true	781.7	785.04	18.144007
954_130627_000033_000005	The making of such dogs will have become a lost art.	The making of such dogs will have become a lost art.	true	785.04	787.89	19.758911
954_130627_000033_000006	Our descendants will wonder how we did it, and say how clever we were.	Our descendants will wonder how we did it, and say how clever we were.	true	787.89	792.79	17.987144
954_130627_000033_000007	We shall be referred to lovingly as "those grand old artists that flourished in the nineteenth century, and produced those china dogs."	We shall be referred to lovingly as "those grand old artists that flourished in the nineteenth century, and produced those china dogs."	true	792.86	801.43	19.928951
954_130627_000034_000000	The "sampler" that the eldest daughter did at school will be spoken of as "tapestry of the Victorian era," and be almost priceless.	The "sampler" that the eldest daughter did at school will be spoken of as "tapestry of the Victorian era," and be almost priceless.	false	802.13	810.24	21.22192
954_130627_000034_000001	The blue-and-white mugs of the present-day roadside inn will be hunted up, all cracked and chipped, and sold for their weight in gold, and rich people will use them for claret cups; and travellers from Japan will buy up all the "Presents from Ramsgate," and "Souvenirs of Margate," that may have escaped destruction, and take them back to Jedo as ancient English curios.	The blue and white mugs of the present day roadside inn will be hunted up, all cracked and chipped, and sold for their weight in gold, and rich people will use them for claret cups; and travellers from Japan will buy up all the "Presents from Ramsgate," and "Souvenirs of Margate," that may have escaped destruction, and take them back to Jedo as ancient English curios.	false	810.24	830.74	20.653284
954_130627_000035_000000	At this point Harris threw away the sculls, got up and left his seat, and sat on his back, and stuck his legs in the air.	At this point Harris threw away the sculls, got up and left his seat, and sat on his back, and stuck his legs in the air.	true	831.29	837.55	18.861332
954_130627_000035_000001	Montmorency howled, and turned a somersault, and the top hamper jumped up, and all the things came out.	Montmorency howled, and turned a somersault, and the top hamper jumped up, and all the things came out.	false	837.86	843.67	18.848919
954_130627_000036_000000	I was somewhat surprised, but I did not lose my temper.	I was somewhat surprised, but I did not lose my temper.	false	843.95	846.33	22.875008
954_130627_000036_000001	I said, pleasantly enough:	I said, pleasantly enough:	true	846.33	847.62	20.733664
954_130627_000037_000000	"Hulloa! what's that for?"	"Hulloa! what's that for?"	false	847.62	850.41	20.378149
954_130627_000038_000000	"What's that for?	"What's that for?	true	850.41	851.07	20
954_130627_000038_000001	Why--"	Why-"	true	851.07	851.37	24
954_130627_000039_000000	No, on second thoughts, I will not repeat what Harris said.	No, on second thoughts, I will not repeat what Harris said.	false	851.37	855.37	19.830027
954_130627_000039_000001	I may have been to blame, I admit it; but nothing excuses violence of language and coarseness of expression, especially in a man who has been carefully brought up, as I know Harris has been.	I may have been to blame, I admit it; but nothing excuses violence of language and coarseness of expression, especially in a man who has been carefully brought up, as I know Harris has been.	true	855.8	865.54	18.2277
954_130627_000039_000002	I was thinking of other things, and forgot, as any one might easily understand, that I was steering, and the consequence was that we had got mixed up a good deal with the tow-path.	I was thinking of other things, and forgot, as any one might easily understand, that I was steering, and the consequence was that we had got mixed up a good deal with the tow path.	false	866	877.32	17.648132
954_130627_000039_000003	It was difficult to say, for the moment, which was us and which was the Middlesex bank of the river; but we found out after a while, and separated ourselves.	It was difficult to say, for the moment, which was us and which was the Middlesex bank of the river; but we found out after a while, and separated ourselves.	false	877.32	885.49	20.964321
954_130627_000040_000000	Harris, however, said he had done enough for a bit, and proposed that I should take a turn; so, as we were in, I got out and took the tow-line, and ran the boat on past Hampton Court.	Harris, however, said he had done enough for a bit, and proposed that I should take a turn; so, as we were in, I got out and took the tow line, and ran the boat on past Hampton Court.	true	885.68	895.6	19.82837
954_130627_000040_000001	What a dear old wall that is that runs along by the river there!	What a dear old wall that is that runs along by the river there!	true	896	899.65	18
954_130627_000040_000002	I never pass it without feeling better for the sight of it.	I never pass it without feeling better for the sight of it.	true	899.69	902.52	18.566866
954_130627_000040_000003	Such a mellow, bright, sweet old wall; what a charming picture it would make, with the lichen creeping here, and the moss growing there, a shy young vine peeping over the top at this spot, to see what is going on upon the busy river, and the sober old ivy clustering a little farther down!	Such a mellow, bright, sweet old wall; what a charming picture it would make, with the lichen creeping here, and the moss growing there, a shy young vine peeping over the top at this spot, to see what is going on upon the busy river, and the sober old ivy clustering a little farther down!	false	902.52	919.45	19
954_130627_000040_000004	There are fifty shades and tints and hues in every ten yards of that old wall.	There are fifty shades and tints and hues in every ten yards of that old wall.	true	919.7	924.85	18.995512
954_130627_000040_000005	If I could only draw, and knew how to paint, I could make a lovely sketch of that old wall, I'm sure. I've often thought I should like to live at Hampton Court.	If I could only draw, and knew how to paint, I could make a lovely sketch of that old wall, I'm sure. I've often thought I should like to live at Hampton Court.	true	924.92	933.87	17.613941
954_130627_000040_000006	It looks so peaceful and so quiet, and it is such a dear old place to ramble round in the early morning before many people are about.	It looks so peaceful and so quiet, and it is such a dear old place to ramble round in the early morning before many people are about.	true	933.87	940.87	17
954_130627_000041_000000	But, there, I don't suppose I should really care for it when it came to actual practice.	But, there, I don't suppose I should really care for it when it came to actual practice.	true	941.57	946.23	20.662207
954_130627_000041_000001	It would be so ghastly dull and depressing in the evening, when your lamp cast uncanny shadows on the panelled walls, and the echo of distant feet rang through the cold stone corridors, and now drew nearer, and now died away, and all was death-like silence, save the beating of one's own heart.	It would be so ghastly dull and depressing in the evening, when your lamp cast uncanny shadows on the panelled walls, and the echo of distant feet rang through the cold stone corridors, and now drew nearer, and now died away, and all was death like silence, save the beating of one's own heart.	false	946.23	963.1	14.789415
954_130627_000042_000000	We are creatures of the sun, we men and women.	We are creatures of the sun, we men and women.	true	963.68	966.22	19.111462
954_130627_000042_000001	We love light and life. That is why we crowd into the towns and cities, and the country grows more and more deserted every year.	We love light and life. That is why we crowd into the towns and cities, and the country grows more and more deserted every year.	true	966.44	973.93	17.007595
954_130627_000042_000002	In the sunlight--in the daytime, when Nature is alive and busy all around us, we like the open hill-sides and the deep woods well enough: but in the night, when our Mother Earth has gone to sleep, and left us waking, oh! the world seems so lonesome, and we get frightened, like children in a silent house.	In the sunlight-in the daytime, when Nature is alive and busy all around us, we like the open hill sides and the deep woods well enough: but in the night, when our Mother Earth has gone to sleep, and left us waking, oh! the world seems so lonesome, and we get frightened, like children in a silent house.	true	974.3	991.45	19.626234
