5731_50776_000000_000000	Carol's joy knew no bounds.	Carol's joy knew no bounds.	false	0	1.44	27.520943
5731_50776_000008_000000	"Yes, we all thought it very funny, and I smiled at them from the window when I was well enough to be up again.	"Yes, we all thought it very funny, and I smiled at them from the window when I was well enough to be up again.	true	225.59	231.16	27.065264
5731_50776_000008_000001	Now, Sarah Maud comes to her door when the children come home from school, and if Mama nods her head, 'Yes,' that means 'Carol is very well,' and then you ought to hear the little Ruggleses yell--I believe they try to see how much noise they can make; but if Mama shakes her head, 'No,' they always play at quiet games.	Now, Sarah Maud comes to her door when the children come home from school, and if Mama nods her head, 'Yes,' that means 'Carol is very well,' and then you ought to hear the little Ruggleses yell-I believe they try to see how much noise they can make; but if Mama shakes her head, 'No,' they always play at quiet games.	false	231.38	250.15	25
5731_50776_000008_000002	Then, one day, 'Cary,' my pet canary, flew out of her cage, and Peter Ruggles caught her and brought her back, and I had him up here in my room to thank him."	Then, one day, 'Cary,' my pet canary, flew out of her cage, and peter Ruggles caught her and brought her back, and I had him up here in my room to thank him."	true	250.22	259.54	25.420715
5731_50776_000009_000000	"Is Peter the oldest?"	"Is peter the oldest?"	true	259.91	261.4	32.394634
5731_50776_000010_000000	"No; Sarah Maud is the oldest--she helps do the washing; and Peter is the next.	"No; Sarah Maud is the oldest-she helps do the washing; and peter is the next.	true	261.65	266.565	25.14653
5731_50776_000010_000001	He is a dressmaker's boy."	He is a dressmaker's boy."	true	266.565	268.3	30.249063
5731_50776_000011_000000	"And which is the pretty little red-haired girl?"	"And which is the pretty little red haired girl?"	true	268.43	270.87	28.861567
5731_50776_000012_000000	"That's Kitty."	"That's Kitty."	true	270.87	271.84	25.20119
5731_50776_000013_000000	"And the fat youngster?"	"And the fat youngster?"	true	272.15	273.55	31.186106
5731_50776_000014_000000	"Baby Larry."	"Baby Larry."	true	273.65	274.75	25.508781
5731_50776_000015_000000	"And that freckled one?"	"And that freckled one?"	true	275.03	276.31	23.928055
5731_50776_000016_000000	"Now, don't laugh--that's Peoria!"	"Now, don't laugh-that's Peoria!"	true	276.32	279.31	28.7247
5731_50776_000017_000000	"Carol, you are joking."	"Carol, you are joking."	true	279.47	281.05	26.002724
5731_50776_000018_000000	"No, really, Uncle dear.	"No, really, Uncle dear.	true	281.24	283.14	24.093878
5731_50776_000018_000001	She was born in Peoria; that's all."	She was born in Peoria; that's all."	true	283.14	285.64	26.224367
5731_50776_000019_000000	"And is the next boy Oshkosh?"	"And is the next boy Oshkosh?"	true	286.22	288.19	28.687685
5731_50776_000020_000000	"No," laughed Carol, "the others are Susan, and Clement, and Eily, and Cornelius."	"No," laughed Carol, "the others are Susan, and Clement, and Eily, and Cornelius."	true	288.38	294.07	25.525185
5731_50776_000021_000000	"How did you ever learn all their names?"	"How did you ever learn all their names?"	true	294.68	297.1	22.0147
5731_50776_000022_000000	"Well, I have what I call a 'window-school.' It is too cold now; but in warm weather I am wheeled out on my little balcony, and the Ruggleses climb up and walk along our garden fence, and sit down on the roof of our carriage-house.	"Well, I have what I call a 'window school.' It is too cold now; but in warm weather I am wheeled out on my little balcony, and the Ruggleses climb up and walk along our garden fence, and sit down on the roof of our carriage house.	true	297.32	310.77	25.097767
5731_50776_000022_000001	That brings them quite near, and I read to them and tell them stories; On Thanksgiving Day they came up for a few minutes, it was quite warm at eleven o'clock, and we told each other what we had to be thankful for; but they gave such queer answers that Papa had to run away for fear of laughing; and I couldn't understand them very well.	That brings them quite near, and I read to them and tell them stories; On Thanksgiving Day they came up for a few minutes, it was quite warm at eleven o'clock, and we told each other what we had to be thankful for; but they gave such queer answers that Papa had to run away for fear of laughing; and I couldn't understand them very well.	true	310.77	329.86	25.800486
5731_50776_000022_000002	Susan was thankful for 'TRUNKS,' of all things in the world; Cornelius, for 'horse cars;' Kitty, for 'pork steak;' while Clem, who is very quiet, brightened up when I came to him, and said he was thankful for 'HIS LAME PUPPY.' Wasn't that pretty?"	Susan was thankful for 'TRUNKS,' of all things in the world; Cornelius, for 'horse cars;' Kitty, for 'pork steak;' while Clem, who is very quiet, brightened up when I came to him, and said he was thankful for 'HIS LAME PUPPY.' Wasn't that pretty?"	true	330.65	346.12	25.650692
5731_50776_000023_000000	"It might teach some of us a lesson, mightn't it, little girl?"	"It might teach some of us a lesson, mightn't it, little girl?"	true	346.22	349.27	24.55751
5731_50776_000024_000000	"That's what Mama said.	"That's what Mama said.	true	349.52	351.01	30.209425
5731_50776_000024_000001	Now I'm going to give this whole Christmas to the Ruggleses; and, Uncle Jack, I earned part of the money myself."	Now I'm going to give this whole Christmas to the Ruggleses; and, Uncle Jack, I earned part of the money myself."	true	351.05	357.04	23.709572
5731_50776_000025_000000	"You, my bird; how?"	"You, my bird; how?"	false	357.68	359.5	25.752253
5731_50776_000026_000000	"Well, you see, it could not be my own, own Christmas if Papa gave me all the money, and I thought to really keep Christ's birthday I ought to do something of my very own; and so I talked with Mama.	"Well, you see, it could not be my own, own Christmas if Papa gave me all the money, and I thought to really keep Christ's birthday I ought to do something of my very own; and so I talked with Mama.	true	359.93	371.74	26.82122
5731_50776_000026_000001	Of course she thought of something lovely; she always does; Mama's head is just brimming over with lovely thoughts, and all I have to do is ask, and out pops the very one I want.	Of course she thought of something lovely; she always does; Mama's head is just brimming over with lovely thoughts, and all I have to do is ask, and out pops the very one I want.	true	372.23	382.54	26.267838
5731_50776_000026_000002	This thought was, to let her write down, just as I told her, a description of how a little girl lived in her own room three years, and what she did to amuse herself; and we sent it to a magazine and got twenty-five dollars for it.	This thought was, to let her write down, just as I told her, a description of how a little girl lived in her own room three years, and what she did to amuse herself; and we sent it to a magazine and got twenty five dollars for it.	true	382.85	396.495	25.811077
5731_50776_000026_000003	Just think!"	Just think!"	true	396.495	397.57	24.513678
5731_50776_000027_000000	"Well, well," cried Uncle Jack, "my little girl a real author!	"Well, well," cried Uncle Jack, "my little girl a real author!	true	398	402.67	25.533522
5731_50776_000027_000001	And what are you going to do with this wonderful 'own' money of yours?"	And what are you going to do with this wonderful 'own' money of yours?"	true	402.71	406.27	24.753773
5731_50776_000028_000000	"I shall give the nine Ruggleses a grand Christmas dinner here in this very room--that will be Papa's contribution, and afterwards a beautiful Christmas tree, fairly blooming with presents--that will be my part; for I have another way of adding to my twenty-five dollars, so that I can buy everything I like.	"I shall give the nine Ruggleses a grand Christmas dinner here in this very room-that will be Papa's contribution, and afterwards a beautiful Christmas tree, fairly blooming with presents-that will be my part; for I have another way of adding to my twenty five dollars, so that I can buy everything I like.	true	406.91	425.23	24.483469
5731_50776_000028_000001	I should like it very much if you would sit at the head of the table, Uncle Jack, for nobody could ever be frightened of you, you dearest, dearest, dearest thing that ever was! Mama is going to help us, but Papa and the boys are going to eat together down stairs for fear of making the little Ruggleses shy; and after we've had a merry time with the tree we can open my window and all listen together to the music at the evening church-service, if it comes before the children go.	I should like it very much if you would sit at the head of the table, Uncle Jack, for nobody could ever be frightened of you, you dearest, dearest, dearest thing that ever was! Mama is going to help us, but Papa and the boys are going to eat together down stairs for fear of making the little Ruggleses shy; and after we've had a merry time with the tree we can open my window and all listen together to the music at the evening church service, if it comes before the children go.	true	425.33	451.6	25.788404
5731_50776_000028_000002	I have written a letter to the organist, and asked him if I might have the two songs I like best.	I have written a letter to the organist, and asked him if I might have the two songs I like best.	true	451.88	457.21	24.62925
5731_50776_000028_000003	Will you see if it is all right?"	Will you see if it is all right?"	true	457.37	459.1	28.059423
5731_50776_000029_000000	"BIRDS NEST, Dec. 21st, 188-.	"BIRDS NEST, december twenty first one eighty eight-.	false	460.28	464.37	27.655283
5731_50776_000030_000000	DEAR MR.	DEAR mr	true	464.37	464.91	23.081572
5731_50776_000030_000001	WILKIE,--	WILKIE,--	true	464.91	465.67	29.938164
5731_50776_000031_000000	I am the little sick girl who lives next door to the church, and, as I seldom go out, the music on practice days and Sundays is one of my greatest pleasures.	I am the little sick girl who lives next door to the church, and, as I seldom go out, the music on practice days and Sundays is one of my greatest pleasures.	true	465.89	474.88	25.06447
5731_50776_000032_000000	I want to know if you can let the boys sing 'Carol, brothers, carol,' on Christmas night, and if the one who sings 'My ain countree' so beautifully may please sing that too.	I want to know if you can let the boys sing 'Carol, brothers, carol,' on Christmas night, and if the one who sings 'My ain countree' so beautifully may please sing that too.	true	475.22	484.12	23.162603
5731_50776_000032_000001	I think it is the loveliest song in the world, but it always makes me cry; doesn't it you?	I think it is the loveliest song in the world, but it always makes me cry; doesn't it you?	true	484.31	489.25	25.597576
5731_50776_000033_000000	If it isn't too much trouble, I hope they can sing them both quite early, as after ten o'clock I may be asleep.	If it isn't too much trouble, I hope they can sing them both quite early, as after ten o'clock I may be asleep.	true	489.71	495.97	27.51759
5731_50776_000034_000000	--Yours respectfully,	--Yours respectfully,	true	496.07	497.5	28.307344
5731_50776_000035_000000	CAROL BIRD.	CAROL BIRD.	true	497.6	498.82	32.06404
5731_50776_000036_000000	P.S.--The reason I like 'Carol, brothers, carol,' is because the choir-boys sang it eleven years ago, the morning I was born, and put it into Mama's head to call me Carol.	p s--The reason I like 'Carol, brothers, carol,' is because the choir boys sang it eleven years ago, the morning I was born, and put it into Mama's head to call me Carol.	true	499.19	509.23	26.769945
5731_50776_000036_000001	She didn't remember then that my other name would be Bird, because she was half asleep, and couldn't think of but one thing at a time.	She didn't remember then that my other name would be Bird, because she was half asleep, and couldn't think of but one thing at a time.	true	509.36	516.22	23.399174
5731_50776_000036_000002	Donald says if I had been born on the Fourth of July they would have named me 'Independence,' or if on the twenty-second of February, 'Georgina,' or even 'Cherry,' like Cherry in Martin Chuzzlewit; but I like my own name and birthday best.	Donald says if I had been born on the Fourth of July they would have named me 'Independence,' or if on the twenty second of February, 'Georgina,' or even 'Cherry,' like Cherry in Martin Chuzzlewit; but I like my own name and birthday best.	false	516.35	530.32	25.975666
5731_50776_000037_000000	--Yours truly,	--Yours truly,	true	530.57	531.67	30.354551
5731_50776_000038_000000	CAROL BIRD."	CAROL BIRD."	true	531.68	532.84	31.86216
5731_50776_000039_000000	Uncle Jack thought the letter quite right, and did not even smile at her telling the organist so many family items.	Uncle Jack thought the letter quite right, and did not even smile at her telling the organist so many family items.	true	534.62	540.82	23.467453
5731_50776_000039_000001	The days flew by, as they always fly in holiday time, and it was Christmas eve before anybody knew it.	The days flew by, as they always fly in holiday time, and it was Christmas eve before anybody knew it.	true	541.01	547.33	23.305563
5731_50776_000039_000002	The family festival was quiet and very pleasant, but quite swallowed up in the grander preparations for next day.	The family festival was quiet and very pleasant, but quite swallowed up in the grander preparations for next day.	false	547.67	554.35	25.03659
5731_50776_000039_000003	Carol and Elfrida, her pretty German nurse, had ransacked books, and introduced so many plans, and plays, and customs and merry-makings from Germany, and Holland, and England and a dozen other places, that you would scarcely have known how or where you were keeping Christmas.	Carol and Elfrida, her pretty German nurse, had ransacked books, and introduced so many plans, and plays, and customs and merry makings from Germany, and Holland, and England and a dozen other places, that you would scarcely have known how or where you were keeping Christmas.	true	554.99	571.78	25.050667
5731_50776_000039_000004	The dog and the cat had enjoyed their celebration under Carol's direction. Each had a tiny table with a lighted candle in the center, and a bit of Bologna sausage placed very near it, and everybody laughed till the tears stood in their eyes to see Villikins and Dinah struggle to nibble the sausages, and at the same time evade the candle flame.	The dog and the cat had enjoyed their celebration under Carol's direction. Each had a tiny table with a lighted candle in the center, and a bit of Bologna sausage placed very near it, and everybody laughed till the tears stood in their eyes to see Villikins and Dinah struggle to nibble the sausages, and at the same time evade the candle flame.	true	572.12	592.12	25.214851
5731_50776_000039_000005	Villikins barked, and sniffed, and howled in impatience, and after many vain attempts succeeded in dragging off the prize, though he singed his nose in doing it.	Villikins barked, and sniffed, and howled in impatience, and after many vain attempts succeeded in dragging off the prize, though he singed his nose in doing it.	true	592.28	602.35	25.224018
5731_50776_000039_000006	Dinah, meanwhile, watched him placidly, her delicate nostrils quivering with expectation, and, after all excitement had subsided, walked with dignity to the table, her beautiful gray satin tail sweeping behind her, and, calmly putting up one velvet paw, drew the sausage gently down, and walked out of the room without "turning a hair," so to speak.	Dinah, meanwhile, watched him placidly, her delicate nostrils quivering with expectation, and, after all excitement had subsided, walked with dignity to the table, her beautiful gray satin tail sweeping behind her, and, calmly putting up one velvet paw, drew the sausage gently down, and walked out of the room without "turning a hair," so to speak.	true	602.45	624.58	26.50736
5731_50776_000039_000007	Elfrida had scattered handfuls of seeds over the snow in the garden, that the wild birds might have a comfortable breakfast next morning, and had stuffed bundles of dried grasses in the fireplaces, so that the reindeer of Santa Claus could refresh themselves after their long gallops across country.	Elfrida had scattered handfuls of seeds over the snow in the garden, that the wild birds might have a comfortable breakfast next morning, and had stuffed bundles of dried grasses in the fireplaces, so that the reindeer of Santa Claus could refresh themselves after their long gallops across country.	true	624.83	641.23	26.24788
5731_50776_000039_000008	This was really only done for fun, but it pleased Carol.	This was really only done for fun, but it pleased Carol.	true	641.66	646.275	26.224161
5731_50776_000040_000000	And when, after dinner, the whole family had gone to church to see the Christmas decorations, Carol limped wearily out on her little crutches, and, with Elfrida's help, placed all the family boots in a row in the upper hall.	And when, after dinner, the whole family had gone to church to see the Christmas decorations, Carol limped wearily out on her little crutches, and, with Elfrida's help, placed all the family boots in a row in the upper hall.	false	646.275	659.11	23.90399
5731_50776_000040_000001	That was to keep the dear ones from quarreling all through the year.	That was to keep the dear ones from quarreling all through the year.	true	659.21	662.68	24.92011
5731_50776_000040_000002	There were Papa's stout top boots; Mama's pretty buttoned shoes next; then Uncle Jack's, Donald's, Paul's and Hugh's; and at the end of the line her own little white worsted slippers.	There were Papa's stout top boots; Mama's pretty buttoned shoes next; then Uncle Jack's, Donald's, Paul's and Hugh's; and at the end of the line her own little white worsted slippers.	true	662.96	675.1	27.677126
5731_50776_000040_000003	Last, and sweetest of all, like the little children in Austria, she put a lighted candle in her window to guide the dear Christ-child, lest he should stumble in the dark night as he passed up the deserted street.	Last, and sweetest of all, like the little children in Austria, she put a lighted candle in her window to guide the dear Christ child, lest he should stumble in the dark night as he passed up the deserted street.	true	675.32	688.81	25.613773
5731_50776_000040_000004	This done, she dropped into bed, a rather tired, but very happy Christmas fairy.	This done, she dropped into bed, a rather tired, but very happy Christmas fairy.	false	689	704.04	24.604147
