5731_50776_000002_000000	"BIRDS OF A FEATHER FLOCK TOGETHER."	"BIRDS OF A FEATHER FLOCK TOGETHER."
5731_50776_000022_000002	Susan was thankful for 'TRUNKS,' of all things in the world; Cornelius, for 'horse cars;' Kitty, for 'pork steak;' while Clem, who is very quiet, brightened up when I came to him, and said he was thankful for 'HIS LAME PUPPY.' Wasn't that pretty?"	Susan was thankful for 'TRUNKS,' of all things in the world; Cornelius, for 'horse cars;' Kitty, for 'pork steak;' while Clem, who is very quiet, brightened up when I came to him, and said he was thankful for 'HIS LAME PUPPY.' Wasn't that pretty?"
5731_50776_000023_000000	"It might teach some of us a lesson, mightn't it, little girl?"	"It might teach some of us a lesson, mightn't it, little girl?"
5731_50776_000024_000000	"That's what Mama said.	"That's what Mama said.
5731_50776_000024_000001	Now I'm going to give this whole Christmas to the Ruggleses; and, Uncle Jack, I earned part of the money myself."	Now I'm going to give this whole Christmas to the Ruggleses; and, Uncle Jack, I earned part of the money myself."
5731_50776_000026_000000	"Well, you see, it could not be my own, own Christmas if Papa gave me all the money, and I thought to really keep Christ's birthday I ought to do something of my very own; and so I talked with Mama.	"Well, you see, it could not be my own, own Christmas if Papa gave me all the money, and I thought to really keep Christ's birthday I ought to do something of my very own; and so I talked with Mama.
5731_50776_000026_000001	Of course she thought of something lovely; she always does; Mama's head is just brimming over with lovely thoughts, and all I have to do is ask, and out pops the very one I want.	Of course she thought of something lovely; she always does; Mama's head is just brimming over with lovely thoughts, and all I have to do is ask, and out pops the very one I want.
5731_50776_000026_000002	This thought was, to let her write down, just as I told her, a description of how a little girl lived in her own room three years, and what she did to amuse herself; and we sent it to a magazine and got twenty-five dollars for it.	This thought was, to let her write down, just as I told her, a description of how a little girl lived in her own room three years, and what she did to amuse herself; and we sent it to a magazine and got twenty five dollars for it.
5731_50776_000026_000003	Just think!"	Just think!"
5731_50776_000027_000000	"Well, well," cried Uncle Jack, "my little girl a real author!	"Well, well," cried Uncle Jack, "my little girl a real author!
5731_50776_000027_000001	And what are you going to do with this wonderful 'own' money of yours?"	And what are you going to do with this wonderful 'own' money of yours?"
5731_50776_000028_000000	"I shall give the nine Ruggleses a grand Christmas dinner here in this very room--that will be Papa's contribution, and afterwards a beautiful Christmas tree, fairly blooming with presents--that will be my part; for I have another way of adding to my twenty-five dollars, so that I can buy everything I like.	"I shall give the nine Ruggleses a grand Christmas dinner here in this very room-that will be Papa's contribution, and afterwards a beautiful Christmas tree, fairly blooming with presents-that will be my part; for I have another way of adding to my twenty five dollars, so that I can buy everything I like.
5731_50776_000028_000002	I have written a letter to the organist, and asked him if I might have the two songs I like best.	I have written a letter to the organist, and asked him if I might have the two songs I like best.
5731_50776_000028_000003	Will you see if it is all right?"	Will you see if it is all right?"
5731_50776_000030_000000	DEAR MR.	DEAR mr
5731_50776_000030_000001	WILKIE,--	WILKIE,--
5731_50776_000031_000000	I am the little sick girl who lives next door to the church, and, as I seldom go out, the music on practice days and Sundays is one of my greatest pleasures.	I am the little sick girl who lives next door to the church, and, as I seldom go out, the music on practice days and Sundays is one of my greatest pleasures.
5731_50776_000032_000000	I want to know if you can let the boys sing 'Carol, brothers, carol,' on Christmas night, and if the one who sings 'My ain countree' so beautifully may please sing that too.	I want to know if you can let the boys sing 'Carol, brothers, carol,' on Christmas night, and if the one who sings 'My ain countree' so beautifully may please sing that too.
5731_50776_000032_000001	I think it is the loveliest song in the world, but it always makes me cry; doesn't it you?	I think it is the loveliest song in the world, but it always makes me cry; doesn't it you?
5731_50776_000033_000000	If it isn't too much trouble, I hope they can sing them both quite early, as after ten o'clock I may be asleep.	If it isn't too much trouble, I hope they can sing them both quite early, as after ten o'clock I may be asleep.
5731_50776_000034_000000	--Yours respectfully,	--Yours respectfully,
5731_50776_000035_000000	CAROL BIRD.	CAROL BIRD.
5731_50776_000036_000000	P.S.--The reason I like 'Carol, brothers, carol,' is because the choir-boys sang it eleven years ago, the morning I was born, and put it into Mama's head to call me Carol.	p s--The reason I like 'Carol, brothers, carol,' is because the choir boys sang it eleven years ago, the morning I was born, and put it into Mama's head to call me Carol.
5731_50776_000036_000001	She didn't remember then that my other name would be Bird, because she was half asleep, and couldn't think of but one thing at a time.	She didn't remember then that my other name would be Bird, because she was half asleep, and couldn't think of but one thing at a time.
5731_50776_000037_000000	--Yours truly,	--Yours truly,
5731_50776_000038_000000	CAROL BIRD."	CAROL BIRD."
5731_50776_000039_000000	Uncle Jack thought the letter quite right, and did not even smile at her telling the organist so many family items.	Uncle Jack thought the letter quite right, and did not even smile at her telling the organist so many family items.
5731_50776_000039_000001	The days flew by, as they always fly in holiday time, and it was Christmas eve before anybody knew it.	The days flew by, as they always fly in holiday time, and it was Christmas eve before anybody knew it.
5731_50776_000039_000003	Carol and Elfrida, her pretty German nurse, had ransacked books, and introduced so many plans, and plays, and customs and merry-makings from Germany, and Holland, and England and a dozen other places, that you would scarcely have known how or where you were keeping Christmas.	Carol and Elfrida, her pretty German nurse, had ransacked books, and introduced so many plans, and plays, and customs and merry makings from Germany, and Holland, and England and a dozen other places, that you would scarcely have known how or where you were keeping Christmas.
5731_50776_000039_000004	The dog and the cat had enjoyed their celebration under Carol's direction. Each had a tiny table with a lighted candle in the center, and a bit of Bologna sausage placed very near it, and everybody laughed till the tears stood in their eyes to see Villikins and Dinah struggle to nibble the sausages, and at the same time evade the candle flame.	The dog and the cat had enjoyed their celebration under Carol's direction. Each had a tiny table with a lighted candle in the center, and a bit of Bologna sausage placed very near it, and everybody laughed till the tears stood in their eyes to see Villikins and Dinah struggle to nibble the sausages, and at the same time evade the candle flame.
5731_50776_000039_000005	Villikins barked, and sniffed, and howled in impatience, and after many vain attempts succeeded in dragging off the prize, though he singed his nose in doing it.	Villikins barked, and sniffed, and howled in impatience, and after many vain attempts succeeded in dragging off the prize, though he singed his nose in doing it.
5731_50776_000039_000006	Dinah, meanwhile, watched him placidly, her delicate nostrils quivering with expectation, and, after all excitement had subsided, walked with dignity to the table, her beautiful gray satin tail sweeping behind her, and, calmly putting up one velvet paw, drew the sausage gently down, and walked out of the room without "turning a hair," so to speak.	Dinah, meanwhile, watched him placidly, her delicate nostrils quivering with expectation, and, after all excitement had subsided, walked with dignity to the table, her beautiful gray satin tail sweeping behind her, and, calmly putting up one velvet paw, drew the sausage gently down, and walked out of the room without "turning a hair," so to speak.
5731_50776_000039_000007	Elfrida had scattered handfuls of seeds over the snow in the garden, that the wild birds might have a comfortable breakfast next morning, and had stuffed bundles of dried grasses in the fireplaces, so that the reindeer of Santa Claus could refresh themselves after their long gallops across country.	Elfrida had scattered handfuls of seeds over the snow in the garden, that the wild birds might have a comfortable breakfast next morning, and had stuffed bundles of dried grasses in the fireplaces, so that the reindeer of Santa Claus could refresh themselves after their long gallops across country.
5731_50776_000039_000008	This was really only done for fun, but it pleased Carol.	This was really only done for fun, but it pleased Carol.
5731_50776_000040_000001	That was to keep the dear ones from quarreling all through the year.	That was to keep the dear ones from quarreling all through the year.
5731_50776_000040_000002	There were Papa's stout top boots; Mama's pretty buttoned shoes next; then Uncle Jack's, Donald's, Paul's and Hugh's; and at the end of the line her own little white worsted slippers.	There were Papa's stout top boots; Mama's pretty buttoned shoes next; then Uncle Jack's, Donald's, Paul's and Hugh's; and at the end of the line her own little white worsted slippers.
5731_50776_000040_000003	Last, and sweetest of all, like the little children in Austria, she put a lighted candle in her window to guide the dear Christ-child, lest he should stumble in the dark night as he passed up the deserted street.	Last, and sweetest of all, like the little children in Austria, she put a lighted candle in her window to guide the dear Christ child, lest he should stumble in the dark night as he passed up the deserted street.
