3686_171133_000000_000000	CHAPTER 18.	CHAPTER eighteen.	false	1.59	24.16	19.532454
3686_171133_000004_000002	These were afraid, therefore, lest they should make an assault upon the city in the night time, and, to their great misfortune, should thereby make an apology for themselves to their own people for their revolt from them.	These were afraid, therefore, lest they should make an assault upon the city in the night time, and, to their great misfortune, should thereby make an apology for themselves to their own people for their revolt from them.	true	244.01	255.85	18
3686_171133_000004_000003	So they commanded them, that in case they would confirm their agreement and demonstrate their fidelity to them, who were of a different nation, they should go out of the city, with their families to a neighboring grove; and when they had done as they were commanded, without suspecting any thing, the people of Scythopolis lay still for the interval of two days, to tempt them to be secure; but on the third night they watched their opportunity, and cut all their throats, some as they lay unguarded, and some as they lay asleep.	So they commanded them, that in case they would confirm their agreement and demonstrate their fidelity to them, who were of a different nation, they should go out of the city, with their families to a neighboring grove; and when they had done as they were commanded, without suspecting any thing, the people of Scythopolis lay still for the interval of two days, to tempt them to be secure; but on the third night they watched their opportunity, and cut all their throats, some as they lay unguarded, and some as they lay asleep.	true	256.67	285.7	19.311296
3686_171133_000004_000004	The number that was slain was above thirteen thousand, and then they plundered them of all that they had.	The number that was slain was above thirteen thousand, and then they plundered them of all that they had.	false	286.04	291.69	17
3686_171133_000005_000000	4.	four.	false	291.69	293.91	13.946562
3686_171133_000005_000001	It will deserve our relation what befell Simon; he was the son of one Saul, a man of reputation among the Jews.	It will deserve our relation what befell Simon; he was the son of one Saul, a man of reputation among the Jews.	true	293.91	300.82	16
3686_171133_000005_000002	This man was distinguished from the rest by the strength of his body, and the boldness of his conduct, although he abused them both to the mischieving of his countrymen; for he came every day and slew a great many of the Jews of Scythopolis, and he frequently put them to flight, and became himself alone the cause of his army's conquering.	This man was distinguished from the rest by the strength of his body, and the boldness of his conduct, although he abused them both to the mischieving of his countrymen; for he came every day and slew a great many of the Jews of Scythopolis, and he frequently put them to flight, and became himself alone the cause of his army's conquering.	true	301.22	320.14	18.699198
3686_171133_000005_000003	But a just punishment overtook him for the murders he had committed upon those of the same nation with him; for when the people of Scythopolis threw their darts at them in the grove, he drew his sword, but did not attack any of the enemy; for he saw that he could do nothing against such a multitude; but he cried out after a very moving manner, and said, "O you people of Scythopolis, I deservedly suffer for what I have done with relation to you, when I gave you such security of my fidelity to you, by slaying so many of those that were related to me.	But a just punishment overtook him for the murders he had committed upon those of the same nation with him; for when the people of Scythopolis threw their darts at them in the grove, he drew his sword, but did not attack any of the enemy; for he saw that he could do nothing against such a multitude; but he cried out after a very moving manner, and said, "O you people of Scythopolis, I deservedly suffer for what I have done with relation to you, when I gave you such security of my fidelity to you, by slaying so many of those that were related to me.	false	320.75	353.32	19
3686_171133_000005_000004	Wherefore we very justly experience the perfidiousness of foreigners, while we acted after a most wicked manner against our own nation.	Wherefore we very justly experience the perfidiousness of foreigners, while we acted after a most wicked manner against our own nation.	true	353.84	362.32	19
3686_171133_000005_000005	I will therefore die, polluted wretch as I am, by mine own hands; for it is not fit I should die by the hand of our enemies; and let the same action be to me both a punishment for my great crimes, and a testimony of my courage to my commendation, that so no one of our enemies may have it to brag of, that he it was that slew me, and no one may insult upon me as I fall." Now when he had said this, he looked round about him upon his family with eyes of commiseration and of rage [that family consisted of a wife and children, and his aged parents]; so, in the first place, he caught his father by his grey hairs, and ran his sword through him, and after him he did the same to his mother, who willingly received it; and after them he did the like to his wife and children, every one almost offering themselves to his sword, as desirous to prevent being slain by their enemies; so when he had gone over all his family, he stood upon their bodies to be seen by all, and stretching out his right hand, that his action might be observed by all, he sheathed his entire sword into his own bowels.	I will therefore die, polluted wretch as I am, by mine own hands; for it is not fit I should die by the hand of our enemies; and let the same action be to me both a punishment for my great crimes, and a testimony of my courage to my commendation, that so no one of our enemies may have it to brag of, that he it was that slew me, and no one may insult upon me as I fall." Now when he had said this, he looked round about him upon his family with eyes of commiseration and of rage [that family consisted of a wife and children, and his aged parents]; so, in the first place, he caught his father by his grey hairs, and ran his sword through him, and after him he did the same to his mother, who willingly received it; and after them he did the like to his wife and children, every one almost offering themselves to his sword, as desirous to prevent being slain by their enemies; so when he had gone over all his family, he stood upon their bodies to be seen by all, and stretching out his right hand, that his action might be observed by all, he sheathed his entire sword into his own bowels.	true	362.84	433.63	18.33964
3686_171133_000005_000006	This young man was to be pitied, on account of the strength of his body and the courage of his soul; but since he had assured foreigners of his fidelity [against his own countrymen], he suffered deservedly.	This young man was to be pitied, on account of the strength of his body and the courage of his soul; but since he had assured foreigners of his fidelity [against his own countrymen], he suffered deservedly.	true	434.81	446.53	18.745922
3686_171133_000006_000000	5.	five.	true	447.62	448.54	19.3526
3686_171133_000006_000001	Besides this murder at Scythopolis, the other cities rose up against the Jews that were among them; those of Askelon slew two thousand five hundred, and those of Ptolemais two thousand, and put not a few into bonds; those of Tyre also put a great number to death, but kept a greater number in prison; moreover, those of Hippos, and those of Gadara, did the like while they put to death the boldest of the Jews, but kept those of whom they were afraid in custody; as did the rest of the cities of Syria, according as they every one either hated them or were afraid of them; only the Antiochtans the Sidontans, and Apamians spared those that dwelt with them, and would not endure either to kill any of the Jews, or to put them in bonds.	Besides this murder at Scythopolis, the other cities rose up against the Jews that were among them; those of Askelon slew two thousand five hundred, and those of Ptolemais two thousand, and put not a few into bonds; those of Tyre also put a great number to death, but kept a greater number in prison; moreover, those of Hippos, and those of Gadara, did the like while they put to death the boldest of the Jews, but kept those of whom they were afraid in custody; as did the rest of the cities of Syria, according as they every one either hated them or were afraid of them; only the Antiochtans the Sidontans, and Apamians spared those that dwelt with them, and would not endure either to kill any of the Jews, or to put them in bonds.	false	449.03	495.55	19.575006
3686_171133_000006_000002	And perhaps they spared them, because their own number was so great that they despised their attempts.	And perhaps they spared them, because their own number was so great that they despised their attempts.	false	496.19	501.64	18
3686_171133_000006_000003	But I think the greatest part of this favor was owing to their commiseration of those whom they saw to make no innovations.	But I think the greatest part of this favor was owing to their commiseration of those whom they saw to make no innovations.	true	502.31	509.11	18
3686_171133_000006_000004	As for the Gerasans, they did no harm to those that abode with them; and for those who had a mind to go away, they conducted them as far as their borders reached.	As for the Gerasans, they did no harm to those that abode with them; and for those who had a mind to go away, they conducted them as far as their borders reached.	false	509.3	518.92	19.172112
3686_171133_000007_000000	6.	six.	true	520.1	520.9	20.284681
3686_171133_000007_000001	There was also a plot laid against the Jews in Agrippa's kingdom; for he was himself gone to Cestius Gallus, to Antioch, but had left one of his companions, whose name was Noarus, to take care of the public affairs; which Noarus was of kin to king Sohemus. 26 Now there came certain men seventy in number, out of Batanea, who were the most considerable for their families and prudence of the rest of the people; these desired to have an army put into their hands, that if any tumult should happen, they might have about them a guard sufficient to restrain such as might rise up against them.	There was also a plot laid against the Jews in Agrippa's kingdom; for he was himself gone to Cestius Gallus, to Antioch, but had left one of his companions, whose name was Noarus, to take care of the public affairs; which Noarus was of kin to king Sohemus. twenty six Now there came certain men seventy in number, out of Batanea, who were the most considerable for their families and prudence of the rest of the people; these desired to have an army put into their hands, that if any tumult should happen, they might have about them a guard sufficient to restrain such as might rise up against them.	false	521.18	578.11	18.823753
3686_171133_000007_000002	This Noarus sent out some of the king's armed men by night, and slew all those [seventy] men; which bold action he ventured upon without the consent of Agrippa, and was such a lover of money, that he chose to be so wicked to his own countrymen, though he brought ruin on the kingdom thereby; and thus cruelly did he treat that nation, and this contrary to the laws also, until Agrippa was informed of it, who did not indeed dare to put him to death, out of regard to Sohemus; but still he put an end to his procuratorship immediately.	This Noarus sent out some of the king's armed men by night, and slew all those [seventy] men; which bold action he ventured upon without the consent of Agrippa, and was such a lover of money, that he chose to be so wicked to his own countrymen, though he brought ruin on the kingdom thereby; and thus cruelly did he treat that nation, and this contrary to the laws also, until Agrippa was informed of it, who did not indeed dare to put him to death, out of regard to Sohemus; but still he put an end to his procuratorship immediately.	false	578.75	612.37	19.355122
3686_171133_000007_000003	But as to the seditious, they took the citadel which was called Cypros, and was above Jericho, and cut the throats of the garrison, and utterly demolished the fortifications.	But as to the seditious, they took the citadel which was called Cypros, and was above Jericho, and cut the throats of the garrison, and utterly demolished the fortifications.	false	612.86	623.08	19
3686_171133_000007_000004	This was about the same time that the multitude of the Jews that were at Machaerus persuaded the Romans who were in garrison to leave the place, and deliver it up to them.	This was about the same time that the multitude of the Jews that were at Machaerus persuaded the romans who were in garrison to leave the place, and deliver it up to them.	true	624.41	634.18	18.959448
3686_171133_000007_000005	These Romans being in great fear, lest the place should be taken by force, made an agreement with them to depart upon certain conditions; and when they had obtained the security they desired, they delivered up the citadel, into which the people of Machaerus put a garrison for their own security, and held it in their own power.	These romans being in great fear, lest the place should be taken by force, made an agreement with them to depart upon certain conditions; and when they had obtained the security they desired, they delivered up the citadel, into which the people of Machaerus put a garrison for their own security, and held it in their own power.	true	634.49	654.49	20.10751
3686_171133_000008_000000	7.	seven.	true	655.76	656.56	18.899214
3686_171133_000008_000001	But for Alexandria, the sedition of the people of the place against the Jews was perpetual, and this from that very time when Alexander [the Great], upon finding the readiness of the Jews in assisting him against the Egyptians, and as a reward for such their assistance, gave them equal privileges in this city with the Grecians themselves; which honorary reward Continued among them under his successors, who also set apart for them a particular place, that they might live without being polluted [by the Gentiles], and were thereby not so much intermixed with foreigners as before; they also gave them this further privilege, that they should be called Macedonians.	But for Alexandria, the sedition of the people of the place against the Jews was perpetual, and this from that very time when Alexander [the Great], upon finding the readiness of the Jews in assisting him against the Egyptians, and as a reward for such their assistance, gave them equal privileges in this city with the Grecians themselves; which honorary reward Continued among them under his successors, who also set apart for them a particular place, that they might live without being polluted [by the Gentiles], and were thereby not so much intermixed with foreigners as before; they also gave them this further privilege, that they should be called Macedonians.	false	657.14	697.87	18.625252
3686_171133_000008_000002	Nay, when the Romans got possession of Egypt, neither the first Caesar, nor any one that came after him, thought of diminishing the honors which Alexander had bestowed on the Jews.	Nay, when the romans got possession of Egypt, neither the first Caesar, nor any one that came after him, thought of diminishing the honors which Alexander had bestowed on the Jews.	true	698.42	710.05	19.476273
3686_171133_000008_000003	But still conflicts perpetually arose with the Grecians; and although the governors did every day punish many of them, yet did the sedition grow worse; but at this time especially, when there were tumults in other places also, the disorders among them were put into a greater flame; for when the Alexandrians had once a public assembly, to deliberate about an embassage they were sending to Nero, a great number of Jews came flocking to the theater; but when their adversaries saw them, they immediately cried out, and called them their enemies, and said they came as spies upon them; upon which they rushed out, and laid violent hands upon them; and as for the rest, they were slain as they ran away; but there were three men whom they caught, and hauled them along, in order to have them burnt alive; but all the Jews came in a body to defend them, who at first threw stones at the Grecians, but after that they took lamps, and rushed with violence into the theater, and threatened that they would burn the people to a man; and this they had soon done, unless Tiberius Alexander, the governor of the city, had restrained their passions.	But still conflicts perpetually arose with the Grecians; and although the governors did every day punish many of them, yet did the sedition grow worse; but at this time especially, when there were tumults in other places also, the disorders among them were put into a greater flame; for when the Alexandrians had once a public assembly, to deliberate about an embassage they were sending to Nero, a great number of Jews came flocking to the theater; but when their adversaries saw them, they immediately cried out, and called them their enemies, and said they came as spies upon them; upon which they rushed out, and laid violent hands upon them; and as for the rest, they were slain as they ran away; but there were three men whom they caught, and hauled them along, in order to have them burnt alive; but all the Jews came in a body to defend them, who at first threw stones at the Grecians, but after that they took lamps, and rushed with violence into the theater, and threatened that they would burn the people to a man; and this they had soon done, unless Tiberius Alexander, the governor of the city, had restrained their passions.	false	710.36	781.21	18.56885
3686_171133_000008_000004	However, this man did not begin to teach them wisdom by arms, but sent among them privately some of the principal men, and thereby entreated them to be quiet, and not provoke the Roman army against them; but the seditious made a jest of the entreaties of Tiberius, and reproached him for so doing.	However, this man did not begin to teach them wisdom by arms, but sent among them privately some of the principal men, and thereby entreated them to be quiet, and not provoke the Roman army against them; but the seditious made a jest of the entreaties of Tiberius, and reproached him for so doing.	false	782.18	800.11	20
3686_171133_000009_000000	8.	eight.	true	800.3	800.98	17.526741
3686_171133_000009_000001	Now when he perceived that those who were for innovations would not be pacified till some great calamity should overtake them, he sent out upon them those two Roman legions that were in the city, and together with them five thousand other soldiers, who, by chance, were come together out of Libya, to the ruin of the Jews.	Now when he perceived that those who were for innovations would not be pacified till some great calamity should overtake them, he sent out upon them those two Roman legions that were in the city, and together with them five thousand other soldiers, who, by chance, were come together out of Libya, to the ruin of the Jews.	true	801.35	821.26	18.832455
3686_171133_000009_000002	They were also permitted not only to kill them, but to plunder them of what they had, and to set fire to their houses.	They were also permitted not only to kill them, but to plunder them of what they had, and to set fire to their houses.	true	822.29	828.55	18.99607
3686_171133_000009_000003	These soldiers rushed violently into that part of the city that was called Delta, where the Jewish people lived together, and did as they were bidden, though not without bloodshed on their own side also; for the Jews got together, and set those that were the best armed among them in the forefront, and made a resistance for a great while; but when once they gave back, they were destroyed unmercifully; and this their destruction was complete, some being caught in the open field, and others forced into their houses, which houses were first plundered of what was in them, and then set on fire by the Romans; wherein no mercy was shown to the infants, and no regard had to the aged; but they went on in the slaughter of persons of every age, till all the place was overflowed with blood, and fifty thousand of them lay dead upon heaps; nor had the remainder been preserved, had they not be-taken themselves to supplication.	These soldiers rushed violently into that part of the city that was called Delta, where the Jewish people lived together, and did as they were bidden, though not without bloodshed on their own side also; for the Jews got together, and set those that were the best armed among them in the forefront, and made a resistance for a great while; but when once they gave back, they were destroyed unmercifully; and this their destruction was complete, some being caught in the open field, and others forced into their houses, which houses were first plundered of what was in them, and then set on fire by the romans; wherein no mercy was shown to the infants, and no regard had to the aged; but they went on in the slaughter of persons of every age, till all the place was overflowed with blood, and fifty thousand of them lay dead upon heaps; nor had the remainder been preserved, had they not be taken themselves to supplication.	false	829.07	883.75	18.79918
3686_171133_000009_000004	So Alexander commiserated their condition, and gave orders to the Romans to retire; accordingly, these being accustomed to obey orders, left off killing at the first intimation; but the populace of Alexandria bare so very great hatred to the Jews, that it was difficult to recall them, and it was a hard thing to make them leave their dead bodies.	So Alexander commiserated their condition, and gave orders to the romans to retire; accordingly, these being accustomed to obey orders, left off killing at the first intimation; but the populace of Alexandria bare so very great hatred to the Jews, that it was difficult to recall them, and it was a hard thing to make them leave their dead bodies.	true	884.81	905.98	19.273932
3686_171133_000010_000000	9.	nine.	true	907.25	908.08	15.579782
3686_171133_000010_000001	And this was the miserable calamity which at this time befell the Jews at Alexandria.	And this was the miserable calamity which at this time befell the Jews at Alexandria.	true	909.47	914.29	13
3686_171133_000010_000002	Hereupon Cestius thought fit no longer to lie still, while the Jews were everywhere up in arms; so he took out of Antioch the twelfth legion entire, and out of each of the rest he selected two thousand, with six cohorts of footmen, and four troops of horsemen, besides those auxiliaries which were sent by the kings; of which Antiochus sent two thousand horsemen, and three thousand footmen, with as many archers; and Agrippa sent the same number of footmen, and one thousand horsemen; Sohemus also followed with four thousand, a third part whereof were horsemen, but most part were archers, and thus did he march to Ptolemais.	Hereupon Cestius thought fit no longer to lie still, while the Jews were everywhere up in arms; so he took out of Antioch the twelfth legion entire, and out of each of the rest he selected two thousand, with six cohorts of footmen, and four troops of horsemen, besides those auxiliaries which were sent by the kings; of which Antiochus sent two thousand horsemen, and three thousand footmen, with as many archers; and Agrippa sent the same number of footmen, and one thousand horsemen; Sohemus also followed with four thousand, a third part whereof were horsemen, but most part were archers, and thus did he march to Ptolemais.	false	914.9	957.42	19.299072
3686_171133_000010_000003	There were also great numbers of auxiliaries gathered together from the [free] cities, who indeed had not the same skill in martial affairs, but made up in their alacrity and in their hatred to the Jews what they wanted in skill.	There were also great numbers of auxiliaries gathered together from the [free] cities, who indeed had not the same skill in martial affairs, but made up in their alacrity and in their hatred to the Jews what they wanted in skill.	false	957.42	970.12	17
3686_171133_000010_000004	There came also along with Cestius Agrippa himself, both as a guide in his march over the country, and a director what was fit to be done; so Cestius took part of his forces, and marched hastily to Zabulon, a strong city of Galilee, which was called the City of Men, and divides the country of Ptolemais from our nation; this he found deserted by its men, the multitude having fled to the mountains, but full of all sorts of good things; those he gave leave to the soldiers to plunder, and set fire to the city, although it was of admirable beauty, and had its houses built like those in Tyre, and Sidon, and Berytus.	There came also along with Cestius Agrippa himself, both as a guide in his march over the country, and a director what was fit to be done; so Cestius took part of his forces, and marched hastily to Zabulon, a strong city of Galilee, which was called the City of Men, and divides the country of Ptolemais from our nation; this he found deserted by its men, the multitude having fled to the mountains, but full of all sorts of good things; those he gave leave to the soldiers to plunder, and set fire to the city, although it was of admirable beauty, and had its houses built like those in Tyre, and Sidon, and Berytus.	false	970.46	1012.78	18.371313
3686_171133_000010_000005	After this he overran all the country, and seized upon whatsoever came in his way, and set fire to the villages that were round about them, and then returned to Ptolemais.	After this he overran all the country, and seized upon whatsoever came in his way, and set fire to the villages that were round about them, and then returned to Ptolemais.	false	1012.78	1024.53	18.70051
3686_171133_000010_000006	But when the Syrians, and especially those of Berytus, were busy in plundering, the Jews pulled up their courage again, for they knew that Cestius was retired, and fell upon those that were left behind unexpectedly, and destroyed about two thousand of them.	But when the Syrians, and especially those of Berytus, were busy in plundering, the Jews pulled up their courage again, for they knew that Cestius was retired, and fell upon those that were left behind unexpectedly, and destroyed about two thousand of them.	false	1024.53	1050.6	19.11251
3686_171133_000010_000007	27	twenty seven	false	1050.6	1054.05	15.982937
3686_171133_000011_000000	10.	ten.	true	1054.05	1054.63	18.763655
3686_171133_000011_000001	And now Cestius himself marched from Ptolemais, and came to Cesarea; but he sent part of his army before him to Joppa, and gave order, that if they could take that city [by surprise] they should keep it; but that in case the citizens should perceive they were coming to attack them, that they then should stay for him, and for the rest of the army.	And now Cestius himself marched from Ptolemais, and came to Cesarea; but he sent part of his army before him to Joppa, and gave order, that if they could take that city [by surprise] they should keep it; but that in case the citizens should perceive they were coming to attack them, that they then should stay for him, and for the rest of the army.	false	1055.21	1085.5	19.09344
3686_171133_000011_000002	So some of them made a brisk march by the sea-side, and some by land, and so coming upon them on both sides, they took the city with ease; and as the inhabitants had made no provision beforehand for a flight, nor had gotten any thing ready for fighting, the soldiers fell upon them, and slew them all, with their families, and then plundered and burnt the city.	So some of them made a brisk march by the sea side, and some by land, and so coming upon them on both sides, they took the city with ease; and as the inhabitants had made no provision beforehand for a flight, nor had gotten any thing ready for fighting, the soldiers fell upon them, and slew them all, with their families, and then plundered and burnt the city.	false	1085.81	1106.86	18.850967
3686_171133_000011_000003	The number of the slain was eight thousand four hundred.	The number of the slain was eight thousand four hundred.	true	1108.31	1111.42	18.1923
3686_171133_000011_000004	In like manner, Cestius sent also a considerable body of horsemen to the toparchy of Narbatene, that adjoined to Cesarea, who destroyed the country, and slew a great multitude of its people; they also plundered what they had, and burnt their villages.	In like manner, Cestius sent also a considerable body of horsemen to the toparchy of Narbatene, that adjoined to Cesarea, who destroyed the country, and slew a great multitude of its people; they also plundered what they had, and burnt their villages.	false	1112.48	1128.3	19.17473
3686_171133_000012_000000	11.	eleven.	false	1128.3	1129.17	-20
3686_171133_000012_000001	But Cestius sent Gallus, the commander of the twelfth legion, into Galilee, and delivered to him as many of his forces as he supposed sufficient to subdue that nation.	But Cestius sent Gallus, the commander of the twelfth legion, into Galilee, and delivered to him as many of his forces as he supposed sufficient to subdue that nation.	false	1129.17	1140.28	19
3686_171133_000012_000002	He was received by the strongest city of Galilee, which was Sepphoris, with acclamations of joy; which wise conduct of that city occasioned the rest of the cities to be in quiet; while the seditious part and the robbers ran away to that mountain which lies in the very middle of Galilee, and is situated over against Sepphoris; it is called Asamon.	He was received by the strongest city of Galilee, which was Sepphoris, with acclamations of joy; which wise conduct of that city occasioned the rest of the cities to be in quiet; while the seditious part and the robbers ran away to that mountain which lies in the very middle of Galilee, and is situated over against Sepphoris; it is called Asamon.	false	1141.1	1164	19.417555
3686_171133_000012_000003	So Gallus brought his forces against them; but while those men were in the superior parts above the Romans, they easily threw their darts upon the Romans, as they made their approaches, and slew about two hundred of them.	So Gallus brought his forces against them; but while those men were in the superior parts above the romans, they easily threw their darts upon the romans, as they made their approaches, and slew about two hundred of them.	true	1164	1176.85	19.475403
3686_171133_000012_000004	But when the Romans had gone round the mountains, and were gotten into the parts above their enemies, the others were soon beaten; nor could they who had only light armor on sustain the force of them that fought them armed all over; nor when they were beaten could they escape the enemies' horsemen; insomuch that only some few concealed themselves in certain places hard to be come at, among the mountains, while the rest, above two thousand in number, were slain.	But when the romans had gone round the mountains, and were gotten into the parts above their enemies, the others were soon beaten; nor could they who had only light armor on sustain the force of them that fought them armed all over; nor when they were beaten could they escape the enemies' horsemen; insomuch that only some few concealed themselves in certain places hard to be come at, among the mountains, while the rest, above two thousand in number, were slain.	false	1177.52	1205.52	17.820278
3686_171133_000013_000000	CHAPTER 19.	CHAPTER nineteen.	false	1205.52	1205.7	-20
3686_171133_000014_000000	What Cestius Did Against The Jews; And How, Upon His Besieging Jerusalem, He Retreated From The City Without Any Just Occasion In The World.	What Cestius Did Against The Jews; And How, Upon His Besieging Jerusalem, He Retreated From The City Without Any Just Occasion In The World.	false	1205.7	1206.54	36
3686_171133_000014_000001	As Also What Severe Calamities He Under Went From The Jews In His Retreat.	As Also What Severe Calamities He Under Went From The Jews In His Retreat.	false	1206.54	1206.54	
3686_171133_000015_000000	1.	one.	false	1206.54	1206.54	
3686_171133_000015_000001	And now Gallus, seeing nothing more that looked towards an innovation in Galilee, returned with his army to Cesarea: but Cestius removed with his whole army, and marched to Antipatris; and when he was informed that there was a great body of Jewish forces gotten together in a certain tower called Aphek, he sent a party before to fight them; but this party dispersed the Jews by affrighting them before it came to a battle: so they came, and finding their camp deserted, they burnt it, as well as the villages that lay about it.	And now Gallus, seeing nothing more that looked towards an innovation in Galilee, returned with his army to Cesarea: but Cestius removed with his whole army, and marched to Antipatris; and when he was informed that there was a great body of Jewish forces gotten together in a certain tower called Aphek, he sent a party before to fight them; but this party dispersed the Jews by affrighting them before it came to a battle: so they came, and finding their camp deserted, they burnt it, as well as the villages that lay about it.	false	1206.54	1210.47	18.9853
3686_171133_000015_000002	But when Cestius had marched from Antipatris to Lydda, he found the city empty of its men, for the whole multitude 28 were gone up to Jerusalem to the feast of tabernacles; yet did he destroy fifty of those that showed themselves, and burnt the city, and so marched forwards; and ascending by Betboron, he pitched his camp at a certain place called Gabao, fifty furlongs distant from Jerusalem.	But when Cestius had marched from Antipatris to Lydda, he found the city empty of its men, for the whole multitude twenty eight were gone up to Jerusalem to the feast of tabernacles; yet did he destroy fifty of those that showed themselves, and burnt the city, and so marched forwards; and ascending by Betboron, he pitched his camp at a certain place called Gabao, fifty furlongs distant from Jerusalem.	false	1210.47	1215.09	4
