3185_163505_000000_000000	THE BLUE BELT	THE BLUE BELT	true	25.38	26.47	21.47324
3185_163505_000005_000000	'We must get on, mother; we are near a house, for I see a bright light shining quite close to us in the north.' Then she rose and shouldered her bag, and set off to see; but they hadn't gone far, before there stood a steep spur of the hill, right across their path.	'We must get on, mother; we are near a house, for I see a bright light shining quite close to us in the north.' Then she rose and shouldered her bag, and set off to see; but they hadn't gone far, before there stood a steep spur of the hill, right across their path.	true	111.23	126.33	22.81455
3185_163505_000006_000000	'Just as I thought!' said the old dame; 'now we can't go a step farther; a pretty bed we shall have here!'	'Just as I thought!' said the old dame; 'now we can't go a step farther; a pretty bed we shall have here!'	true	126.33	132.85	23.903482
3185_163505_000007_000000	But the lad took the bag under one arm, and his mother under the other, and ran straight up the steep crag with them.	But the lad took the bag under one arm, and his mother under the other, and ran straight up the steep crag with them.	true	133.52	139.54	22.738647
3185_163505_000008_000000	'Now, don't you see!	'Now, don't you see!	true	139.97	141.075	29.657139
3185_163505_000008_000001	don't you see that we are close to a house! don't you see the bright light?'	don't you see that we are close to a house! don't you see the bright light?'	true	141.075	144.52	23.059343
3185_163505_000009_000000	But the old dame said those were no Christian folk, but Trolls, for she was at home in all that forest far and near, and knew there was not a living soul in it, until you were well over the ridge, and had come down on the other side.	But the old dame said those were no Christian folk, but Trolls, for she was at home in all that forest far and near, and knew there was not a living soul in it, until you were well over the ridge, and had come down on the other side.	true	145.13	157.57	21.214746
3185_163505_000009_000001	But they went on, and in a little while they came to a great house which was all painted red.	But they went on, and in a little while they came to a great house which was all painted red.	true	157.67	163.21	21.951138
3185_163505_000010_000000	'What's the good?' said the old dame, 'we daren't go in, for here the Trolls live.'	'What's the good?' said the old dame, 'we daren't go in, for here the Trolls live.'	true	163.52	168.76	25.318558
3185_163505_000011_000000	'Don't say so; we must go in.	'Don't say so; we must go in.	true	169.04	171.045	29.603321
3185_163505_000011_000001	There must be men where the lights shine so', said the lad.	There must be men where the lights shine so', said the lad.	true	171.045	174.28	26.787
3185_163505_000011_000002	So in he went, and his mother after him, but he had scarce opened the door before she swooned away, for there she saw a great stout man, at least twenty feet high, sitting on the bench.	So in he went, and his mother after him, but he had scarce opened the door before she swooned away, for there she saw a great stout man, at least twenty feet high, sitting on the bench.	false	174.5	185.26	23.097765
3185_163505_000012_000000	'Good evening, grandfather!' said the lad.	'Good evening, grandfather!' said the lad.	true	185.84	188.32	24.969255
3185_163505_000013_000000	'Well, here I've sat three hundred years', said the man who sat on the bench, 'and no one has ever come and called me grandfather before.' Then the lad sat down by the man's side, and began to talk to him as if they had been old friends.	'Well, here I've sat three hundred years', said the man who sat on the bench, 'and no one has ever come and called me grandfather before.' Then the lad sat down by the man's side, and began to talk to him as if they had been old friends.	false	188.69	203.14	19.589605
3185_163505_000014_000000	'But what's come over your mother?' said the man, after they had chattered a while.	'But what's come over your mother?' said the man, after they had chattered a while.	true	203.48	207.76	23.952572
3185_163505_000014_000001	'I think she swooned away; you had better look after her.'	'I think she swooned away; you had better look after her.'	true	208.16	211.36	23.76767
3185_163505_000015_000000	So the lad went and took hold of the old dame; and dragged her up the hall along the floor.	So the lad went and took hold of the old dame; and dragged her up the hall along the floor.	true	211.46	215.95	24.74375
3185_163505_000015_000001	That brought her to herself, and she kicked, and scratched, and flung herself about, and at last sat down upon a heap of firewood in the corner; but she was so frightened that she scarce dared to look one in the face.	That brought her to herself, and she kicked, and scratched, and flung herself about, and at last sat down upon a heap of firewood in the corner; but she was so frightened that she scarce dared to look one in the face.	true	216.08	227.5	25
3185_163505_000016_000000	After a while, the lad asked if they could spend the night there.	After a while, the lad asked if they could spend the night there.	true	227.6	231.1	27.289656
3185_163505_000017_000000	'Yes, to be sure', said the man.	'Yes, to be sure', said the man.	true	231.14	233.5	24.027382
3185_163505_000018_000000	So they went on talking again, but the lad soon got hungry, and wanted to know if they could get food as well as lodging.	So they went on talking again, but the lad soon got hungry, and wanted to know if they could get food as well as lodging.	true	233.63	239.68	18
3185_163505_000019_000000	'Of course', said the man, 'that might be got too.' And after he had sat a while longer, he rose up and threw six loads of dry pitch-pine on the fire.	'Of course', said the man, 'that might be got too.' And after he had sat a while longer, he rose up and threw six loads of dry pitch pine on the fire.	true	239.81	248.77	24.59458
3185_163505_000019_000001	This made the old hag still more afraid.	This made the old hag still more afraid.	true	248.87	251.295	22.20869
3185_163505_000020_000000	'Oh! now he's going to roast us alive', she said, in the corner where she sat.	'Oh! now he's going to roast us alive', she said, in the corner where she sat	true	251.295	255.7	22
3185_163505_000021_000000	And when the wood had burned down to glowing embers, up got the man and strode out of his house.	And when the wood had burned down to glowing embers, up got the man and strode out of his house.	true	255.8	261.01	23.207369
3185_163505_000022_000000	'Heaven bless and help us! what a stout heart you have got', said the old dame; 'don't you see we have got amongst Trolls?'	'Heaven bless and help us! what a stout heart you have got', said the old dame; 'don't you see we have got amongst Trolls?'	true	261.29	267.91	23.529806
3185_163505_000023_000000	'Stuff and nonsense!' said the lad; 'no harm if we have.'	'Stuff and nonsense!' said the lad; 'no harm if we have.'	true	268.04	271.72	24.183146
3185_163505_000024_000000	In a little while back came the man with an ox so fat and big, the lad had never seen its like, and he gave it one blow with his fist under the ear, and down it fell dead on the floor.	In a little while back came the man with an ox so fat and big, the lad had never seen its like, and he gave it one blow with his fist under the ear, and down it fell dead on the floor.	true	272.27	283.3	22.365404
3185_163505_000024_000001	When that was done, he took it up by all the four legs, and laid it on the glowing embers, and turned it and twisted it about till it was burnt brown outside.	When that was done, he took it up by all the four legs, and laid it on the glowing embers, and turned it and twisted it about till it was burnt brown outside.	true	283.61	292.33	23.475454
3185_163505_000024_000002	After that, he went to a cupboard and took out a great silver dish, and laid the ox on it; and the dish was so big that none of the ox hung over on any side.	After that, he went to a cupboard and took out a great silver dish, and laid the ox on it; and the dish was so big that none of the ox hung over on any side.	true	292.52	302.2	22.356367
3185_163505_000024_000003	This he put on the table, and then he went down into the cellar, and fetched a cask of wine, knocked out the head, and put the cask on the table, together with two knives, which were each six feet long.	This he put on the table, and then he went down into the cellar, and fetched a cask of wine, knocked out the head, and put the cask on the table, together with two knives, which were each six feet long.	true	302.3	313.03	23.541405
3185_163505_000024_000004	When this was done, he bade them go and sit down to supper and eat.	When this was done, he bade them go and sit down to supper and eat.	true	313.37	317.26	21.003834
3185_163505_000024_000005	So they went, the lad first and the old dame after, but she began to whimper and wail, and to wonder how she should ever use such knives.	So they went, the lad first and the old dame after, but she began to whimper and wail, and to wonder how she should ever use such knives.	true	317.27	324.43	20.123526
3185_163505_000024_000006	But her son seized one, and began to cut slices out of the thigh of the ox, which he placed before his mother.	But her son seized one, and began to cut slices out of the thigh of the ox, which he placed before his mother.	true	324.92	331.09	21.852692
3185_163505_000024_000007	And when they had eaten a bit, he took up the cask with both hands, and lifted it down to the floor; then he told his mother to come and drink, but it was still so high she couldn't reach up to it; so he caught her up, and held her up to the edge of the cask while she drank; as for himself, he clambered up and hung down like a cat inside the cask while he drank.	And when they had eaten a bit, he took up the cask with both hands, and lifted it down to the floor; then he told his mother to come and drink, but it was still so high she couldn't reach up to it; so he caught her up, and held her up to the edge of the cask while she drank; as for himself, he clambered up and hung down like a cat inside the cask while he drank.	true	331.46	351.04	24.88149
3185_163505_000024_000008	So when he had quenched his thirst, he took up the cask and put it back on the table, and thanked the man for the good meal, and told his mother to come and thank him too, and a-feared though she was, she dared do nothing else but thank the man. Then the lad sat down again alongside the man and began to gossip, and after they had sat a while, the man said,	So when he had quenched his thirst, he took up the cask and put it back on the table, and thanked the man for the good meal, and told his mother to come and thank him too, and a feared though she was, she dared do nothing else but thank the man. Then the lad sat down again alongside the man and began to gossip, and after they had sat a while, the man said,	true	351.14	369.795	22.438314
3185_163505_000025_000000	'Well!	'Well!	true	369.795	370.425	21.31584
3185_163505_000025_000001	I must just go and get a bit of supper too'; and so he went to the table and ate up the whole ox--hoofs, and horns, and all--and drained the cask to the last drop, and then went back and sat on the bench.	I must just go and get a bit of supper too'; and so he went to the table and ate up the whole ox-hoofs, and horns, and all-and drained the cask to the last drop, and then went back and sat on the bench.	false	370.425	382.75	22.782684
3185_163505_000026_000000	As for beds', he said, 'I don't know what's to be done.	As for beds', he said, 'I don't know what's to be done.	true	382.82	385.965	22.48287
3185_163505_000026_000001	I've only got one bed and a cradle; but we could get on pretty well if you would sleep in the cradle, and then your mother might lie in the bed yonder.'	I've only got one bed and a cradle; but we could get on pretty well if you would sleep in the cradle, and then your mother might lie in the bed yonder.'	false	385.965	393.16	18
3185_163505_000027_000000	'Thank you kindly, that'll do nicely', said the lad; and with that he pulled off his clothes and lay down in the cradle; but, to tell you the truth; it was quite as big as a four-poster.	'Thank you kindly, that'll do nicely', said the lad; and with that he pulled off his clothes and lay down in the cradle; but, to tell you the truth; it was quite as big as a four poster.	true	393.59	403.3	23.822853
3185_163505_000027_000001	As for the old dame, she had to follow the man who showed her to bed, though she was out of her wits for fear.	As for the old dame, she had to follow the man who showed her to bed, though she was out of her wits for fear.	true	403.85	409.27	19.807407
3185_163505_000028_000000	'Well!' thought the lad to himself, ''twill never do to go to sleep yet.	'Well!' thought the lad to himself, ''twill never do to go to sleep yet.	true	409.61	413.775	22.347418
3185_163505_000028_000001	I'd best lie awake and listen how things go as the night wears on.'	I'd best lie awake and listen how things go as the night wears on.'	true	413.775	416.92	21
3185_163505_000029_000000	So after a while the man began to talk to the old dame, and at last he said:	So after a while the man began to talk to the old dame, and at last he said:	true	417.65	421.87	22.541235
3185_163505_000030_000000	'We two might live here so happily together, could we only be rid of this son of yours.'	'We two might live here so happily together, could we only be rid of this son of yours.'	true	422.03	427.09	15
3185_163505_000031_000000	'But do you know how to settle him?	'But do you know how to settle him?	true	427.52	429.28	32
3185_163505_000031_000001	Is that what you're thinking of?' said she.	Is that what you're thinking of?' said she.	true	429.32	431.68	23.984716
3185_163505_000032_000000	'Nothing easier', said he; at any rate he would try.	'Nothing easier', said he; at any rate he would try.	true	432.05	435.58	21.570969
3185_163505_000032_000001	He would just say he wished the old dame would stay and keep house for him a day or two, and then he would take the lad out with him up the hill to quarry corner-stones, and roll down a great rock on him.	He would just say he wished the old dame would stay and keep house for him a day or two, and then he would take the lad out with him up the hill to quarry corner stones, and roll down a great rock on him.	false	435.68	446.5	23.63428
3185_163505_000032_000002	All this the lad lay and listened to.	All this the lad lay and listened to.	true	446.51	449.02	22.098372
3185_163505_000033_000000	Next day the Troll--for it was a Troll as clear as day--asked if the old dame would stay and keep house for him a few days; and as the day went on he took a great iron crowbar, and asked the lad if he had a mind to go with him up the hill and quarry a few corner-stones.	Next day the Troll-for it was a Troll as clear as day-asked if the old dame would stay and keep house for him a few days; and as the day went on he took a great iron crowbar, and asked the lad if he had a mind to go with him up the hill and quarry a few corner stones.	true	449.21	464.86	23.709604
3185_163505_000033_000001	With all his heart, he said, and went with him; and so, after they had split a few stones, the Troll wanted him to go down below and look after cracks in the rock; and while he was doing this, the Troll worked away, and wearied himself with his crowbar till he moved a whole crag out of its bed, which came rolling right down on the place where the lad was; but he held it up till he could get on one side, and then let it roll on.	With all his heart, he said, and went with him; and so, after they had split a few stones, the Troll wanted him to go down below and look after cracks in the rock; and while he was doing this, the Troll worked away, and wearied himself with his crowbar till he moved a whole crag out of its bed, which came rolling right down on the place where the lad was; but he held it up till he could get on one side, and then let it roll on.	false	464.96	488.46	21.866253
3185_163505_000034_000000	'Oh!' said the lad to the Troll, 'now I see what you mean to do with me.	'Oh!' said the lad to the Troll, 'now I see what you mean to do with me.	true	488.46	493.48	25
3185_163505_000034_000001	You want to crush me to death; so just go down yourself and look after the cracks and refts in the rock, and I'll stand up above.'	You want to crush me to death; so just go down yourself and look after the cracks and refts in the rock, and I'll stand up above.'	true	493.49	501.37	25.131
3185_163505_000035_000000	The Troll did not dare to do otherwise than the lad bade him, and the end of it was that the lad rolled down a great rock, which fell upon the Troll, and broke one of his thighs.	The Troll did not dare to do otherwise than the lad bade him, and the end of it was that the lad rolled down a great rock, which fell upon the Troll, and broke one of his thighs.	true	501.47	510.28	20.698843
3185_163505_000036_000000	'Well! you are in a sad plight', said the lad, as he strode down, lifted up the rock, and set the man free.	'Well! you are in a sad plight', said the lad, as he strode down, lifted up the rock, and set the man free.	true	510.53	516.07	25.083637
3185_163505_000036_000001	After that he had to put him on his back and carry him home; so he ran with him as fast as a horse, and shook him so that the Troll screamed and screeched as if a knife were run into him.	After that he had to put him on his back and carry him home; so he ran with him as fast as a horse, and shook him so that the Troll screamed and screeched as if a knife were run into him.	true	516.56	526.3	22.937885
3185_163505_000036_000002	And when he got home, they had to put the Troll to bed, and there he lay in a sad pickle.	And when he got home, they had to put the Troll to bed, and there he lay in a sad pickle.	false	526.43	531.42	21.825373
3185_163505_000037_000000	When the night wore on the Troll began to talk to the old dame again, and to wonder how ever they could be rid of the lad.	When the night wore on the Troll began to talk to the old dame again, and to wonder how ever they could be rid of the lad.	false	531.42	532.005	21
3185_163505_000038_000000	'Well', said the old dame, 'if you can't hit on a plan to get rid of him, I'm sure I can't.'	'Well', said the old dame, 'if you can't hit on a plan to get rid of him, I'm sure I can't.'	true	532.005	537.4	23.785603
3185_163505_000039_000000	'Let me see', said the Troll; 'I've got twelve lions in a garden; if they could only get hold of the lad they'd soon tear him to pieces.'	'Let me see', said the Troll; 'I've got twelve lions in a garden; if they could only get hold of the lad they'd soon tear him to pieces.'	true	537.71	546.28	20.656921
3185_163505_000040_000000	So the old dame said it would be easy enough to get him there.	So the old dame said it would be easy enough to get him there.	true	546.77	549.67	18
3185_163505_000040_000001	She would sham sick, and say she felt so poorly, nothing would do her any good but lion's milk.	She would sham sick, and say she felt so poorly, nothing would do her any good but lion's milk.	true	549.71	555.46	22.648214
3185_163505_000040_000002	All that the lad lay and listened to; and when he got up in the morning his mother said she was worse than she looked, and she thought she should never be right again unless she could get some lion's milk.	All that the lad lay and listened to; and when he got up in the morning his mother said she was worse than she looked, and she thought she should never be right again unless she could get some lion's milk.	true	555.68	567.16	21.16965
3185_163505_000041_000000	'Then I'm afraid you'll be poorly a long time, mother', said the lad, 'for I'm sure I don't know where any is to be got.'	'Then I'm afraid you'll be poorly a long time, mother', said the lad, 'for I'm sure I don't know where any is to be got.'	true	567.38	573.67	21.377657
3185_163505_000042_000000	'Oh! if that be all', said the Troll, 'there's no lack of lion's milk, if we only had the man to fetch it'; and then he went on to say how his brother had a garden with twelve lions in it, and how the lad might have the key if he had a mind to milk the lions.	'Oh! if that be all', said the Troll, 'there's no lack of lion's milk, if we only had the man to fetch it'; and then he went on to say how his brother had a garden with twelve lions in it, and how the lad might have the key if he had a mind to milk the lions.	true	573.71	589.27	21.806767
3185_163505_000042_000001	So the lad took the key and a milking pail, and strode off; and when he unlocked the gate and got into the garden, there stood all the twelve lions on their hind-paws, rampant and roaring at him.	So the lad took the key and a milking pail, and strode off; and when he unlocked the gate and got into the garden, there stood all the twelve lions on their hind paws, rampant and roaring at him.	true	589.31	600.87	22.458761
3185_163505_000042_000002	But the lad laid hold of the biggest, and led him about by the fore-paws, and dashed him against stocks and stones, till there wasn't a bit of him left but the two paws.	But the lad laid hold of the biggest, and led him about by the fore paws, and dashed him against stocks and stones, till there wasn't a bit of him left but the two paws.	true	600.87	610.155	19.936853
3185_163505_000042_000003	So when the rest saw that, they were so afraid that they crept up and lay at his feet like so many curs.	So when the rest saw that, they were so afraid that they crept up and lay at his feet like so many curs.	true	610.155	616.3	24.294472
3185_163505_000042_000004	After that they followed him about wherever he went, and when he got home, they lay down outside the house, with their fore-paws on the door sill.	After that they followed him about wherever he went, and when he got home, they lay down outside the house, with their fore paws on the door sill.	true	616.58	623.59	20
3185_163505_000043_000000	'Now, mother, you'll soon be well', said the lad, when he went in, 'for here is the lion's milk.'	'Now, mother, you'll soon be well', said the lad, when he went in, 'for here is the lion's milk.'	true	623.93	628.96	20.179285
3185_163505_000044_000000	He had just milked a drop in the pail.	He had just milked a drop in the pail.	true	629.51	631.72	29.257553
3185_163505_000045_000000	But the Troll, as he lay in bed, swore it was all a lie.	But the Troll, as he lay in bed, swore it was all a lie.	false	632.21	635.64	20.973167
3185_163505_000045_000001	He was sure the lad was not the man to milk lions.	He was sure the lad was not the man to milk lions.	true	635.64	638.65	20
3185_163505_000046_000000	When the lad heard that, he forced the Troll to get out of bed, threw open the door, and all the lions rose up and seized the Troll, and at last the lad had to make them leave their hold.	When the lad heard that, he forced the Troll to get out of bed, threw open the door, and all the lions rose up and seized the Troll, and at last the lad had to make them leave their hold.	true	638.96	649.15	22.666262
3185_163505_000047_000000	That night the Troll began to talk to the old dame again.	That night the Troll began to talk to the old dame again.	true	649.55	652.36	20.94696
3185_163505_000048_000000	'I'm sure I can't tell how to put this lad out of the way--he is so awfully strong; can't you think of some way?	'I'm sure I can't tell how to put this lad out of the way-he is so awfully strong; can't you think of some way?	false	653.06	659.82	22
3185_163505_000049_000000	'No,' said the old dame, 'if you can't tell, I'm sure I can't.'	'No,' said the old dame, 'if you can't tell, I'm sure I can't.'	false	659.82	664.39	26.714722
3185_163505_000050_000000	'Well!' said the Troll, 'I have two brothers in a castle; they are twelve times as strong as I am, and that's why I was turned out and had to put up with this farm.	'Well!' said the Troll, 'I have two brothers in a castle; they are twelve times as strong as I am, and that's why I was turned out and had to put up with this farm.	true	664.46	674.44	27.262732
3185_163505_000050_000001	They hold that castle, and round it there is an orchard with apples in it, and whoever eats those apples sleeps for three days and three nights.	They hold that castle, and round it there is an orchard with apples in it, and whoever eats those apples sleeps for three days and three nights.	true	674.48	682.44	20
3185_163505_000050_000002	If we could only get the lad to go for the fruit, he wouldn't be able to keep from tasting the apples, and as soon as ever he fell asleep my brothers would tear him in pieces.'	If we could only get the lad to go for the fruit, he wouldn't be able to keep from tasting the apples, and as soon as ever he fell asleep my brothers would tear him in pieces.'	true	682.44	692.11	21
3185_163505_000051_000000	The old dame said she would sham sick, and say she could never be herself again unless she tasted those apples; for she had set her heart on them.	The old dame said she would sham sick, and say she could never be herself again unless she tasted those apples; for she had set her heart on them.	true	692.75	700.81	20.627954
3185_163505_000052_000000	All this the lad lay and listened to.	All this the lad lay and listened to.	true	701.18	703.54	21.375181
3185_163505_000053_000000	When the morning came the old dame was so poorly that she couldn't utter a word but groans and sighs.	When the morning came the old dame was so poorly that she couldn't utter a word but groans and sighs.	true	704.3	709.605	15
3185_163505_000053_000001	She was sure she should never be well again, unless she had some of those apples that grew in the orchard near the castle where the man's brothers lived; only she had no one to send for them.	She was sure she should never be well again, unless she had some of those apples that grew in the orchard near the castle where the man's brothers lived; only she had no one to send for them.	true	709.605	720.1	19.227642
3185_163505_000054_000000	Oh! the lad was ready to go that instant; but the eleven lions went with him.	Oh! the lad was ready to go that instant; but the eleven lions went with him.	true	720.38	725.01	20.596039
3185_163505_000054_000001	So when he came to the orchard, he climbed up into the apple tree and ate as many apples as he could, and he had scarce got down before he fell into a deep sleep; but the lions all lay round him in a ring.	So when he came to the orchard, he climbed up into the apple tree and ate as many apples as he could, and he had scarce got down before he fell into a deep sleep; but the lions all lay round him in a ring.	true	725.01	736.75	22.078026
3185_163505_000054_000002	The third day came the Troll's brothers, but they did not come in man's shape.	The third day came the Troll's brothers, but they did not come in man's shape.	true	737.06	741.58	22.926342
3185_163505_000054_000003	They came snorting like man-eating steeds, and wondered who it was that dared to be there, and said they would tear him to pieces, so small that there should not be a bit of him left.	They came snorting like man eating steeds, and wondered who it was that dared to be there, and said they would tear him to pieces, so small that there should not be a bit of him left.	true	741.59	752.41	21
3185_163505_000054_000004	But up rose the lions and tore the Trolls into small pieces, so that the place looked as if a dung heap had been tossed about it; and when they had finished the Trolls they lay down again.	But up rose the lions and tore the Trolls into small pieces, so that the place looked as if a dung heap had been tossed about it; and when they had finished the Trolls they lay down again.	true	752.51	762.85	23.93607
3185_163505_000054_000005	The lad did not wake till late in the afternoon, and when he got on his knees and rubbed the sleep out of his eyes, he began to wonder what had been going on, when he saw the marks of hoofs.	The lad did not wake till late in the afternoon, and when he got on his knees and rubbed the sleep out of his eyes, he began to wonder what had been going on, when he saw the marks of hoofs.	true	763.01	772.87	20
3185_163505_000054_000006	But when he went towards the castle, a maiden looked out of a window who had seen all that had happened, and she said:	But when he went towards the castle, a maiden looked out of a window who had seen all that had happened, and she said:	true	773.18	779.59	23.943047
3185_163505_000055_000000	'You may thank your stars you weren't in that tussle, else you must have lost your life.'	'You may thank your stars you weren't in that tussle, else you must have lost your life.'	true	779.81	784.6	23.319729
3185_163505_000056_000000	'What!	'What!	true	784.67	785.355	33.699127
3185_163505_000056_000001	I lose my life!	I lose my life!	true	785.355	786.48	19
3185_163505_000056_000002	No fear of that, I think,' said the lad.	No fear of that, I think,' said the lad.	true	786.48	788.89	25.03223
3185_163505_000057_000000	So she begged him to come in, that she might talk with him, for she hadn't seen a Christian soul ever since she came there.	So she begged him to come in, that she might talk with him, for she hadn't seen a Christian soul ever since she came there.	true	789.14	795.22	24.193624
3185_163505_000057_000001	But when she opened the door the lions wanted to go in too, but she got so frightened that she began to scream, and so the lad let them lie outside.	But when she opened the door the lions wanted to go in too, but she got so frightened that she began to scream, and so the lad let them lie outside.	true	795.35	803.5	19.045406
3185_163505_000057_000002	Then the two talked and talked, and the lad asked how it came that she, who was so lovely, could put up with those ugly Trolls.	Then the two talked and talked, and the lad asked how it came that she, who was so lovely, could put up with those ugly Trolls.	false	803.75	811.2	24.38492
3185_163505_000057_000003	She never wished it, she said; 'twas quite against her will. They had seized her by force, and she was the King of Arabia's daughter.	She never wished it, she said; 'twas quite against her will. They had seized her by force, and she was the King of Arabia's daughter.	true	811.2	818.95	22.091612
3185_163505_000057_000004	So they talked on, and at last she asked him what he would do; whether she should go back home, or whether he would have her to wife.	So they talked on, and at last she asked him what he would do; whether she should go back home, or whether he would have her to wife.	true	819.02	826.665	21.723063
3185_163505_000057_000005	Of course he would have her, and she shouldn't go home.	Of course he would have her, and she shouldn't go home.	true	826.665	829.72	20.838806
3185_163505_000058_000000	After that they went round the castle, and at last they came to a great hall, where the Trolls' two great swords hung high up on the wall.	After that they went round the castle, and at last they came to a great hall, where the Trolls' two great swords hung high up on the wall.	true	830.03	837.82	23.048313
3185_163505_000059_000000	'I wonder if you are man enough to wield one of these,' said the Princess.	'I wonder if you are man enough to wield one of these,' said the Princess.	true	838.01	842.26	19.697906
3185_163505_000060_000000	'Who?--I?' said the lad.	'Who?--I?' said the lad.	true	842.48	844.63	30.23397
3185_163505_000060_000001	''Twould be a pretty thing if I couldn't wield one of these.'	''Twould be a pretty thing if I couldn't wield one of these.'	true	844.76	847.63	22.3636
3185_163505_000061_000000	With that he put two or three chairs one a-top of the other, jumped up, and touched the biggest sword with his finger tips, tossed it up in the air, and caught it again by the hilt; leapt down, and at the same time dealt such a blow with it on the floor that the whole hall shook.	With that he put two or three chairs one a top of the other, jumped up, and touched the biggest sword with his finger tips, tossed it up in the air, and caught it again by the hilt; leapt down, and at the same time dealt such a blow with it on the floor that the whole hall shook.	false	848.12	864.04	24.745693
3185_163505_000061_000001	After he had thus got down, he thrust the sword under his arm and carried it about with him.	After he had thus got down, he thrust the sword under his arm and carried it about with him.	true	864.23	869.11	24.796095
3185_163505_000062_000000	So, when they had lived a little while in the castle, the Princess thought she ought to go home to her parents, and let them know what had become of her; so they loaded a ship, and she set sail from the castle.	So, when they had lived a little while in the castle, the Princess thought she ought to go home to her parents, and let them know what had become of her; so they loaded a ship, and she set sail from the castle.	true	869.27	880.42	25.227976
3185_163505_000063_000000	After she had gone, and the lad had wandered about a little, he called to mind that he had been sent on an errand thither, and had come to fetch something for his mother's health; and though he said to himself, 'After all, the old dame was not so bad but she's all right by this time'--still he thought he ought to go and just see how she was.	After she had gone, and the lad had wandered about a little, he called to mind that he had been sent on an errand thither, and had come to fetch something for his mother's health; and though he said to himself, 'After all, the old dame was not so bad but she's all right by this time'--still he thought he ought to go and just see how she was.	true	880.55	898.57	20.115448
3185_163505_000063_000001	So he went and found both the man and his mother quite fresh and hearty.	So he went and found both the man and his mother quite fresh and hearty.	true	898.67	902.56	22
3185_163505_000064_000000	'What wretches you are to live in this beggarly hut', said the lad. 'Come with me up to my castle, and you shall see what a fine fellow I am.'	'What wretches you are to live in this beggarly hut', said the lad. 'Come with me up to my castle, and you shall see what a fine fellow I am.'	true	903.05	911.95	23.017849
3185_163505_000065_000000	Well! they were both ready to go, and on the way his mother talked to him, and asked, 'How it was he had got so strong?'	Well! they were both ready to go, and on the way his mother talked to him, and asked, 'How it was he had got so strong?'	true	912.41	919.45	23.47663
3185_163505_000066_000000	'If you must know, it came of that blue belt which lay on the hill- side that time when you and I were out begging', said the lad.	'If you must know, it came of that blue belt which lay on the hill side that time when you and I were out begging', said the lad.	false	920.24	927.07	19
3185_163505_000067_000000	'Have you got it still?' asked she.	'Have you got it still?' asked she.	true	927.38	930.13	29.012997
3185_163505_000068_000000	'Yes'--he had.	'Yes'--he had.	true	930.35	931.51	24.187168
3185_163505_000068_000001	It was tied round his waist.	It was tied round his waist.	true	931.64	933.15	22.443377
3185_163505_000069_000000	'Might she see it?'	'Might she see it?'	false	933.15	934.75	33.73113
