3185_163505_000000_000000	THE BLUE BELT	THE BLUE BELT
3185_163505_000031_000000	'But do you know how to settle him?	'But do you know how to settle him?
3185_163505_000031_000001	Is that what you're thinking of?' said she.	Is that what you're thinking of?' said she.
3185_163505_000032_000000	'Nothing easier', said he; at any rate he would try.	'Nothing easier', said he; at any rate he would try.
3185_163505_000032_000002	All this the lad lay and listened to.	All this the lad lay and listened to.
3185_163505_000033_000000	Next day the Troll--for it was a Troll as clear as day--asked if the old dame would stay and keep house for him a few days; and as the day went on he took a great iron crowbar, and asked the lad if he had a mind to go with him up the hill and quarry a few corner-stones.	Next day the Troll-for it was a Troll as clear as day-asked if the old dame would stay and keep house for him a few days; and as the day went on he took a great iron crowbar, and asked the lad if he had a mind to go with him up the hill and quarry a few corner stones.
3185_163505_000034_000000	'Oh!' said the lad to the Troll, 'now I see what you mean to do with me.	'Oh!' said the lad to the Troll, 'now I see what you mean to do with me.
3185_163505_000034_000001	You want to crush me to death; so just go down yourself and look after the cracks and refts in the rock, and I'll stand up above.'	You want to crush me to death; so just go down yourself and look after the cracks and refts in the rock, and I'll stand up above.'
3185_163505_000035_000000	The Troll did not dare to do otherwise than the lad bade him, and the end of it was that the lad rolled down a great rock, which fell upon the Troll, and broke one of his thighs.	The Troll did not dare to do otherwise than the lad bade him, and the end of it was that the lad rolled down a great rock, which fell upon the Troll, and broke one of his thighs.
3185_163505_000036_000000	'Well! you are in a sad plight', said the lad, as he strode down, lifted up the rock, and set the man free.	'Well! you are in a sad plight', said the lad, as he strode down, lifted up the rock, and set the man free.
3185_163505_000036_000001	After that he had to put him on his back and carry him home; so he ran with him as fast as a horse, and shook him so that the Troll screamed and screeched as if a knife were run into him.	After that he had to put him on his back and carry him home; so he ran with him as fast as a horse, and shook him so that the Troll screamed and screeched as if a knife were run into him.
3185_163505_000038_000000	'Well', said the old dame, 'if you can't hit on a plan to get rid of him, I'm sure I can't.'	'Well', said the old dame, 'if you can't hit on a plan to get rid of him, I'm sure I can't.'
3185_163505_000039_000000	'Let me see', said the Troll; 'I've got twelve lions in a garden; if they could only get hold of the lad they'd soon tear him to pieces.'	'Let me see', said the Troll; 'I've got twelve lions in a garden; if they could only get hold of the lad they'd soon tear him to pieces.'
3185_163505_000040_000001	She would sham sick, and say she felt so poorly, nothing would do her any good but lion's milk.	She would sham sick, and say she felt so poorly, nothing would do her any good but lion's milk.
3185_163505_000040_000002	All that the lad lay and listened to; and when he got up in the morning his mother said she was worse than she looked, and she thought she should never be right again unless she could get some lion's milk.	All that the lad lay and listened to; and when he got up in the morning his mother said she was worse than she looked, and she thought she should never be right again unless she could get some lion's milk.
3185_163505_000041_000000	'Then I'm afraid you'll be poorly a long time, mother', said the lad, 'for I'm sure I don't know where any is to be got.'	'Then I'm afraid you'll be poorly a long time, mother', said the lad, 'for I'm sure I don't know where any is to be got.'
3185_163505_000042_000000	'Oh! if that be all', said the Troll, 'there's no lack of lion's milk, if we only had the man to fetch it'; and then he went on to say how his brother had a garden with twelve lions in it, and how the lad might have the key if he had a mind to milk the lions.	'Oh! if that be all', said the Troll, 'there's no lack of lion's milk, if we only had the man to fetch it'; and then he went on to say how his brother had a garden with twelve lions in it, and how the lad might have the key if he had a mind to milk the lions.
3185_163505_000042_000001	So the lad took the key and a milking pail, and strode off; and when he unlocked the gate and got into the garden, there stood all the twelve lions on their hind-paws, rampant and roaring at him.	So the lad took the key and a milking pail, and strode off; and when he unlocked the gate and got into the garden, there stood all the twelve lions on their hind paws, rampant and roaring at him.
3185_163505_000042_000003	So when the rest saw that, they were so afraid that they crept up and lay at his feet like so many curs.	So when the rest saw that, they were so afraid that they crept up and lay at his feet like so many curs.
3185_163505_000042_000004	After that they followed him about wherever he went, and when he got home, they lay down outside the house, with their fore-paws on the door sill.	After that they followed him about wherever he went, and when he got home, they lay down outside the house, with their fore paws on the door sill.
3185_163505_000043_000000	'Now, mother, you'll soon be well', said the lad, when he went in, 'for here is the lion's milk.'	'Now, mother, you'll soon be well', said the lad, when he went in, 'for here is the lion's milk.'
3185_163505_000044_000000	He had just milked a drop in the pail.	He had just milked a drop in the pail.
3185_163505_000045_000001	He was sure the lad was not the man to milk lions.	He was sure the lad was not the man to milk lions.
3185_163505_000046_000000	When the lad heard that, he forced the Troll to get out of bed, threw open the door, and all the lions rose up and seized the Troll, and at last the lad had to make them leave their hold.	When the lad heard that, he forced the Troll to get out of bed, threw open the door, and all the lions rose up and seized the Troll, and at last the lad had to make them leave their hold.
3185_163505_000047_000000	That night the Troll began to talk to the old dame again.	That night the Troll began to talk to the old dame again.
3185_163505_000050_000000	'Well!' said the Troll, 'I have two brothers in a castle; they are twelve times as strong as I am, and that's why I was turned out and had to put up with this farm.	'Well!' said the Troll, 'I have two brothers in a castle; they are twelve times as strong as I am, and that's why I was turned out and had to put up with this farm.
3185_163505_000050_000001	They hold that castle, and round it there is an orchard with apples in it, and whoever eats those apples sleeps for three days and three nights.	They hold that castle, and round it there is an orchard with apples in it, and whoever eats those apples sleeps for three days and three nights.
3185_163505_000050_000002	If we could only get the lad to go for the fruit, he wouldn't be able to keep from tasting the apples, and as soon as ever he fell asleep my brothers would tear him in pieces.'	If we could only get the lad to go for the fruit, he wouldn't be able to keep from tasting the apples, and as soon as ever he fell asleep my brothers would tear him in pieces.'
3185_163505_000051_000000	The old dame said she would sham sick, and say she could never be herself again unless she tasted those apples; for she had set her heart on them.	The old dame said she would sham sick, and say she could never be herself again unless she tasted those apples; for she had set her heart on them.
3185_163505_000052_000000	All this the lad lay and listened to.	All this the lad lay and listened to.
3185_163505_000054_000000	Oh! the lad was ready to go that instant; but the eleven lions went with him.	Oh! the lad was ready to go that instant; but the eleven lions went with him.
3185_163505_000054_000001	So when he came to the orchard, he climbed up into the apple tree and ate as many apples as he could, and he had scarce got down before he fell into a deep sleep; but the lions all lay round him in a ring.	So when he came to the orchard, he climbed up into the apple tree and ate as many apples as he could, and he had scarce got down before he fell into a deep sleep; but the lions all lay round him in a ring.
3185_163505_000054_000002	The third day came the Troll's brothers, but they did not come in man's shape.	The third day came the Troll's brothers, but they did not come in man's shape.
3185_163505_000054_000003	They came snorting like man-eating steeds, and wondered who it was that dared to be there, and said they would tear him to pieces, so small that there should not be a bit of him left.	They came snorting like man eating steeds, and wondered who it was that dared to be there, and said they would tear him to pieces, so small that there should not be a bit of him left.
3185_163505_000054_000004	But up rose the lions and tore the Trolls into small pieces, so that the place looked as if a dung heap had been tossed about it; and when they had finished the Trolls they lay down again.	But up rose the lions and tore the Trolls into small pieces, so that the place looked as if a dung heap had been tossed about it; and when they had finished the Trolls they lay down again.
3185_163505_000054_000005	The lad did not wake till late in the afternoon, and when he got on his knees and rubbed the sleep out of his eyes, he began to wonder what had been going on, when he saw the marks of hoofs.	The lad did not wake till late in the afternoon, and when he got on his knees and rubbed the sleep out of his eyes, he began to wonder what had been going on, when he saw the marks of hoofs.
3185_163505_000054_000006	But when he went towards the castle, a maiden looked out of a window who had seen all that had happened, and she said:	But when he went towards the castle, a maiden looked out of a window who had seen all that had happened, and she said:
3185_163505_000055_000000	'You may thank your stars you weren't in that tussle, else you must have lost your life.'	'You may thank your stars you weren't in that tussle, else you must have lost your life.'
3185_163505_000056_000000	'What!	'What!
3185_163505_000056_000002	No fear of that, I think,' said the lad.	No fear of that, I think,' said the lad.
3185_163505_000057_000000	So she begged him to come in, that she might talk with him, for she hadn't seen a Christian soul ever since she came there.	So she begged him to come in, that she might talk with him, for she hadn't seen a Christian soul ever since she came there.
3185_163505_000057_000003	She never wished it, she said; 'twas quite against her will. They had seized her by force, and she was the King of Arabia's daughter.	She never wished it, she said; 'twas quite against her will. They had seized her by force, and she was the King of Arabia's daughter.
3185_163505_000057_000004	So they talked on, and at last she asked him what he would do; whether she should go back home, or whether he would have her to wife.	So they talked on, and at last she asked him what he would do; whether she should go back home, or whether he would have her to wife.
3185_163505_000057_000005	Of course he would have her, and she shouldn't go home.	Of course he would have her, and she shouldn't go home.
3185_163505_000058_000000	After that they went round the castle, and at last they came to a great hall, where the Trolls' two great swords hung high up on the wall.	After that they went round the castle, and at last they came to a great hall, where the Trolls' two great swords hung high up on the wall.
3185_163505_000060_000000	'Who?--I?' said the lad.	'Who?--I?' said the lad.
3185_163505_000060_000001	''Twould be a pretty thing if I couldn't wield one of these.'	''Twould be a pretty thing if I couldn't wield one of these.'
3185_163505_000061_000001	After he had thus got down, he thrust the sword under his arm and carried it about with him.	After he had thus got down, he thrust the sword under his arm and carried it about with him.
3185_163505_000062_000000	So, when they had lived a little while in the castle, the Princess thought she ought to go home to her parents, and let them know what had become of her; so they loaded a ship, and she set sail from the castle.	So, when they had lived a little while in the castle, the Princess thought she ought to go home to her parents, and let them know what had become of her; so they loaded a ship, and she set sail from the castle.
3185_163505_000063_000000	After she had gone, and the lad had wandered about a little, he called to mind that he had been sent on an errand thither, and had come to fetch something for his mother's health; and though he said to himself, 'After all, the old dame was not so bad but she's all right by this time'--still he thought he ought to go and just see how she was.	After she had gone, and the lad had wandered about a little, he called to mind that he had been sent on an errand thither, and had come to fetch something for his mother's health; and though he said to himself, 'After all, the old dame was not so bad but she's all right by this time'--still he thought he ought to go and just see how she was.
3185_163505_000063_000001	So he went and found both the man and his mother quite fresh and hearty.	So he went and found both the man and his mother quite fresh and hearty.
3185_163505_000064_000000	'What wretches you are to live in this beggarly hut', said the lad. 'Come with me up to my castle, and you shall see what a fine fellow I am.'	'What wretches you are to live in this beggarly hut', said the lad. 'Come with me up to my castle, and you shall see what a fine fellow I am.'
3185_163505_000065_000000	Well! they were both ready to go, and on the way his mother talked to him, and asked, 'How it was he had got so strong?'	Well! they were both ready to go, and on the way his mother talked to him, and asked, 'How it was he had got so strong?'
3185_163505_000067_000000	'Have you got it still?' asked she.	'Have you got it still?' asked she.
3185_163505_000068_000000	'Yes'--he had.	'Yes'--he had.
3185_163505_000068_000001	It was tied round his waist.	It was tied round his waist.
3185_163505_000071_000000	Then she seized it with both hands, tore it off, and twisted it round her fist.	Then she seized it with both hands, tore it off, and twisted it round her fist.
3185_163505_000072_000000	'Now', she cried, 'what shall I do with such a wretch as you?	'Now', she cried, 'what shall I do with such a wretch as you?
3185_163505_000072_000001	I'll just give you one blow, and dash your brains out!'	I'll just give you one blow, and dash your brains out!'
3185_163505_000073_000001	'No! let's first burn out his eyes, and then turn him adrift in a little boat.'	'No! let's first burn out his eyes, and then turn him adrift in a little boat.'
3185_163505_000074_000000	So they burned out his eyes and turned him adrift, in spite of his prayers and tears; but, as the boat drifted, the lions swam after, and at last they laid hold of it and dragged it ashore on an island, and placed the lad under a fir tree.	So they burned out his eyes and turned him adrift, in spite of his prayers and tears; but, as the boat drifted, the lions swam after, and at last they laid hold of it and dragged it ashore on an island, and placed the lad under a fir tree.
3185_163505_000074_000001	They caught game for him, and they plucked the birds and made him a bed of down; but he was forced to eat his meat raw, and he was blind.	They caught game for him, and they plucked the birds and made him a bed of down; but he was forced to eat his meat raw, and he was blind.
3185_163505_000074_000002	At last, one day the biggest lion was chasing a hare which was blind, for it ran straight over stock and stone, and the end was, it ran right up against a fir-stump and tumbled head over heels across the field right into a spring; but lo! when it came out of the spring it saw its way quite plain, and so saved its life.	At last, one day the biggest lion was chasing a hare which was blind, for it ran straight over stock and stone, and the end was, it ran right up against a fir stump and tumbled head over heels across the field right into a spring; but lo! when it came out of the spring it saw its way quite plain, and so saved its life.
3185_163505_000075_000001	So, when he had got his sight again, he went down to the shore and made signs to the lions that they should all lie close together like a raft; then he stood upon their backs while they swam with him to the mainland.	So, when he had got his sight again, he went down to the shore and made signs to the lions that they should all lie close together like a raft; then he stood upon their backs while they swam with him to the mainland.
3185_163505_000075_000002	When he had reached the shore he went up into a birchen copse, and made the lions lie quiet.	When he had reached the shore he went up into a birchen copse, and made the lions lie quiet.
3185_163505_000075_000003	Then he stole up to the castle, like a thief, to see if he couldn't lay hands on his belt; and when he got to the door, he peeped through the keyhole, and there he saw his belt hanging up over a door in the kitchen.	Then he stole up to the castle, like a thief, to see if he couldn't lay hands on his belt; and when he got to the door, he peeped through the keyhole, and there he saw his belt hanging up over a door in the kitchen.
3185_163505_000077_000000	'Thank you kindly', said he.	'Thank you kindly', said he.
3185_163505_000077_000001	'Now you shall have the doom you passed on me', and he fulfilled it on the spot.	'Now you shall have the doom you passed on me', and he fulfilled it on the spot.
3185_163505_000078_000000	'Well, you may live', said the lad, 'but you shall undergo the same punishment you gave me'; and so he burned out the Troll's eyes, and turned him adrift on the sea in a little boat, but he had no lions to follow him.	'Well, you may live', said the lad, 'but you shall undergo the same punishment you gave me'; and so he burned out the Troll's eyes, and turned him adrift on the sea in a little boat, but he had no lions to follow him.
3185_163505_000079_000001	So he loaded four ships and set sail for Arabia.	So he loaded four ships and set sail for Arabia.
3185_163505_000079_000002	For some time they had fair wind and fine weather, but after that they lay wind-bound under a rocky island.	For some time they had fair wind and fine weather, but after that they lay wind bound under a rocky island.
3185_163505_000079_000003	So the sailors went ashore and strolled about to spend the time, and there they found a huge egg, almost as big as a little house.	So the sailors went ashore and strolled about to spend the time, and there they found a huge egg, almost as big as a little house.
3185_163505_000079_000004	So they began to knock it about with large stones, but, after all, they couldn't crack the shell.	So they began to knock it about with large stones, but, after all, they couldn't crack the shell.
3185_163505_000079_000005	Then the lad came up with his sword to see what all the noise was about, and when he saw the egg, he thought it a trifle to crack it; so he gave it one blow and the egg split, and out came a chicken as big as an elephant.	Then the lad came up with his sword to see what all the noise was about, and when he saw the egg, he thought it a trifle to crack it; so he gave it one blow and the egg split, and out came a chicken as big as an elephant.
3185_163505_000080_000001	Yes! they were good to do that, they said, so they set sail with a fine breeze, and got to Arabia in three-and-twenty hours.	Yes! they were good to do that, they said, so they set sail with a fine breeze, and got to Arabia in three and twenty hours.
3185_163505_000080_000002	As soon as they landed, the lad ordered all the sailors to go and bury themselves up to the eyes in a sandhill, so that they could barely see the ships. The lad and the captains climbed a high crag and sate down under a fir.	As soon as they landed, the lad ordered all the sailors to go and bury themselves up to the eyes in a sandhill, so that they could barely see the ships. The lad and the captains climbed a high crag and sate down under a fir.
3185_163505_000081_000000	In a little while came a great bird flying with an island in its claws, and let it fall down on the fleet, and sunk every ship.	In a little while came a great bird flying with an island in its claws, and let it fall down on the fleet, and sunk every ship.
3185_163505_000081_000001	After it had done that, it flew up to the sandhill and flapped its wings, so that the wind nearly took off the heads of the sailors, and it flew past the fir with such force that it turned the lad right about, but he was ready with his sword, and gave the bird one blow and brought it down dead.	After it had done that, it flew up to the sandhill and flapped its wings, so that the wind nearly took off the heads of the sailors, and it flew past the fir with such force that it turned the lad right about, but he was ready with his sword, and gave the bird one blow and brought it down dead.
3185_163505_000082_000000	After that he went to the town, where every one was glad because the king had got his daughter back; but now the king had hidden her away somewhere himself, and promised her hand as a reward to any one who could find her, and this though she was betrothed before.	After that he went to the town, where every one was glad because the king had got his daughter back; but now the king had hidden her away somewhere himself, and promised her hand as a reward to any one who could find her, and this though she was betrothed before.
3185_163505_000082_000002	At last the news came to the king's ears, that there never had been such fun in the town before, for here was a white bear that danced and cut capers just as it was bid.	At last the news came to the king's ears, that there never had been such fun in the town before, for here was a white bear that danced and cut capers just as it was bid.
3185_163505_000082_000003	So a messenger came to say the bear must come to the castle at once, for the king wanted to see its tricks.	So a messenger came to say the bear must come to the castle at once, for the king wanted to see its tricks.
3185_163505_000082_000004	So when it got to the castle every one was afraid, for such a beast they had never seen before; but the captain said there was no danger unless they laughed at it.	So when it got to the castle every one was afraid, for such a beast they had never seen before; but the captain said there was no danger unless they laughed at it.
3185_163505_000082_000005	They mustn't do that, else it would tear them to pieces.	They mustn't do that, else it would tear them to pieces.
3185_163505_000082_000006	When the king heard that, he warned all the court not to laugh.	When the king heard that, he warned all the court not to laugh.
3185_163505_000082_000007	But while the fun was going on, in came one of the king's maids, and began to laugh and make game of the bear, and the bear flew at her and tore her, so that there was scarce a rag of her left.	But while the fun was going on, in came one of the king's maids, and began to laugh and make game of the bear, and the bear flew at her and tore her, so that there was scarce a rag of her left.
3185_163505_000082_000008	Then all the court began to bewail, and the captain most of all.	Then all the court began to bewail, and the captain most of all.
3185_163505_000084_000001	'It's no good your going away, when it's so late', said the king.	'It's no good your going away, when it's so late', said the king.
3185_163505_000084_000002	'The bear had best sleep here.'	'The bear had best sleep here.'
3185_163505_000085_000000	'Perhaps it might sleep in the ingle by the kitchen fire', said the captain.	'Perhaps it might sleep in the ingle by the kitchen fire', said the captain.
3185_163505_000087_000000	But at midnight the king came with a lamp in his hand and a big bunch of keys, and carried off the white bear.	But at midnight the king came with a lamp in his hand and a big bunch of keys, and carried off the white bear.
3185_163505_000087_000001	He passed along gallery after gallery, through doors and rooms, up-stairs and down-stairs, till at last he came to a pier which ran out into the sea.	He passed along gallery after gallery, through doors and rooms, up stairs and down stairs, till at last he came to a pier which ran out into the sea.
3185_163505_000087_000002	Then the king began to pull and haul at posts and pins, this one up and that one down, till at last a little house floated up to the water's edge. There he kept his daughter, for she was so dear to him that he had hid her, so that no one could find her out.	Then the king began to pull and haul at posts and pins, this one up and that one down, till at last a little house floated up to the water's edge. There he kept his daughter, for she was so dear to him that he had hid her, so that no one could find her out.
3185_163505_000087_000003	He left the white bear outside while he went in and told her how it had danced and played its pranks.	He left the white bear outside while he went in and told her how it had danced and played its pranks.
3185_163505_000087_000005	So they brought the bear in, and locked the door, and it danced and played its tricks; but just when the fun was at its height, the Princess's maid began to laugh.	So they brought the bear in, and locked the door, and it danced and played its tricks; but just when the fun was at its height, the Princess's maid began to laugh.
3185_163505_000087_000006	Then the lad flew at her and tore her to bits, and the Princess began to cry and sob.	Then the lad flew at her and tore her to bits, and the Princess began to cry and sob.
3185_163505_000088_000000	'Stuff and nonsense', cried the king; 'all this fuss about a maid! I'll get you just as good a one again.	'Stuff and nonsense', cried the king; 'all this fuss about a maid! I'll get you just as good a one again.
3185_163505_000089_000000	'Well!' said the Princess, 'if it sleeps here, I'm sure I won't.'	'Well!' said the Princess, 'if it sleeps here, I'm sure I won't.'
3185_163505_000090_000000	But just then the bear curled himself up and lay down by the stove; and it was settled at last that the Princess should sleep there too, with a light burning.	But just then the bear curled himself up and lay down by the stove; and it was settled at last that the Princess should sleep there too, with a light burning.
3185_163505_000090_000001	But as soon as the king was well gone, the white bear came and begged her to undo his collar.	But as soon as the king was well gone, the white bear came and begged her to undo his collar.
3185_163505_000090_000002	The Princess was so scared she almost swooned away; but she felt about till she found the collar, and she had scarce undone it before the bear pulled his head off.	The Princess was so scared she almost swooned away; but she felt about till she found the collar, and she had scarce undone it before the bear pulled his head off.
3185_163505_000090_000005	So in the morning when they heard the king rattling at the posts outside, the lad drew on the hide, and lay down by the stove.	So in the morning when they heard the king rattling at the posts outside, the lad drew on the hide, and lay down by the stove.
3185_163505_000091_000000	'Well, has it lain still?' the king asked.	'Well, has it lain still?' the king asked.
3185_163505_000092_000000	'I should think so', said the Princess; 'it hasn't so much as turned or stretched itself once.'	'I should think so', said the Princess; 'it hasn't so much as turned or stretched itself once.'
3185_163505_000093_000000	When they got up to the castle again, the captain took the bear and led it away, and then the lad threw off the hide, and went to a tailor and ordered clothes fit for a prince; and when they were fitted on he went to the king, and said he wanted to find the Princess.	When they got up to the castle again, the captain took the bear and led it away, and then the lad threw off the hide, and went to a tailor and ordered clothes fit for a prince; and when they were fitted on he went to the king, and said he wanted to find the Princess.
3185_163505_000094_000000	'You're not the first who has wished the same thing', said the king, 'but they have all lost their lives; for if any one who tries can't find her in four-and-twenty hours his life is forfeited.'	'You're not the first who has wished the same thing', said the king, 'but they have all lost their lives; for if any one who tries can't find her in four and twenty hours his life is forfeited.'
3185_163505_000095_000000	Yes; the lad knew all that.	Yes; the lad knew all that.
3185_163505_000095_000001	Still he wished to try, and if he couldn't find her, 'twas his look-out.	Still he wished to try, and if he couldn't find her, 'twas his look out.
3185_163505_000095_000002	Now in the castle there was a band that played sweet tunes, and there were fair maids to dance with, and so the lad danced away.	Now in the castle there was a band that played sweet tunes, and there were fair maids to dance with, and so the lad danced away.
3185_163505_000095_000003	When twelve hours were gone, the king said:	When twelve hours were gone, the king said:
3185_163505_000096_000000	'I pity you with all my heart.	'I pity you with all my heart.
