6075_57156_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.18	3.03	11
6075_57156_000018_000002	To Brazil, or the West Indies, or some British Colony," said her ladyship showing her ignorance of the Foreign Office service.	To Brazil, or the West Indies, or some British Colony," said her ladyship showing her ignorance of the Foreign Office service.	true	193.79	201.31	14
6075_57156_000018_000003	"That might be very well.	"That might be very well.	true	201.8	203.13	13
6075_57156_000018_000004	You could stay at home.	You could stay at home.	true	203.13	204.52	18.636038
6075_57156_000018_000005	Only where would you live?	Only where would you live?	true	204.65	206.295	17.383354
6075_57156_000018_000006	He wouldn't keep a house in town for you.	He wouldn't keep a house in town for you.	true	206.295	208.69	14
6075_57156_000018_000007	Is this the sort of place you'd like?"	Is this the sort of place you'd like?"	true	208.76	211.18	19
6075_57156_000019_000000	"I don't think it makes any difference where one is," said Arabella disgusted.	"I don't think it makes any difference where one is," said Arabella disgusted.	true	212.24	216.94	18.276335
6075_57156_000020_000000	"But I do,--a very great difference.	"But I do,--a very great difference.	true	217.34	219.97	19.170383
6075_57156_000020_000001	It seems to me that he's altogether under the control of that hideous old termagant.	It seems to me that he's altogether under the control of that hideous old termagant.	true	220.16	224.71	18
6075_57156_000020_000002	Arabella, I think you'd better make up your mind that it won't do."	Arabella, I think you'd better make up your mind that it won't do."	true	224.96	229.33	19
6075_57156_000021_000000	"It must do," said Arabella.	"It must do," said Arabella.	true	229.58	231.61	19
6075_57156_000022_000000	"You're very fond of him it seems."	"You're very fond of him it seems."	true	232.43	234.46	16.311972
6075_57156_000023_000000	"Mamma, how you do delight to torture me;--as if my life weren't bad enough without your making it worse."	"Mamma, how you do delight to torture me;--as if my life weren't bad enough without your making it worse."	true	234.5	240.52	16
6075_57156_000024_000000	"I tell you, my dear, what I'm bound to tell you--as your mother.	"I tell you, my dear, what I'm bound to tell you-as your mother.	false	241.25	245.8	18.644104
6075_57156_000024_000001	I have my duty to do whether it's painful or not."	I have my duty to do whether it's painful or not."	true	245.81	248.95	18
6075_57156_000025_000000	"That's nonsense, mamma.	"That's nonsense, mamma.	true	249.41	250.755	15
6075_57156_000025_000001	You know it is.	You know it is.	true	250.755	251.71	13
6075_57156_000025_000002	That might have been all very well ten years ago."	That might have been all very well ten years ago."	true	251.78	255.07	15
6075_57156_000026_000000	"You were almost in your cradle, my dear."	"You were almost in your cradle, my dear."	true	255.56	257.73	13
6075_57156_000027_000000	"Psha! cradle!	"p s h a! cradle!	false	257.73	259.72	18.866627
6075_57156_000027_000001	I'll tell you what it is, mamma.	I'll tell you what it is, mamma.	true	259.85	261.585	19
6075_57156_000027_000002	I've been at it till I'm nearly broken down.	I've been at it till I'm nearly broken down.	true	261.585	264.25	15
6075_57156_000027_000003	I must settle somewhere;--or else die;--or else run away.	I must settle somewhere;--or else die;--or else run away.	true	264.26	268.81	18.757946
6075_57156_000027_000004	I can't stand this any longer and I won't.	I can't stand this any longer and I won't.	true	268.97	271.75	15
6075_57156_000027_000005	Talk of work,--men's work!	Talk of work,--men's work!	true	271.94	274.12	18.836342
6075_57156_000027_000006	What man ever has to work as I do?" I wonder which was the hardest part of that work, the hairdressing and painting and companionship of the lady's maid or the continual smiling upon unmarried men to whom she had nothing to say and for whom she did not in the least care!	What man ever has to work as I do?" I wonder which was the hardest part of that work, the hairdressing and painting and companionship of the lady's maid or the continual smiling upon unmarried men to whom she had nothing to say and for whom she did not in the least care!	true	274.19	290.83	16
6075_57156_000027_000007	"I can't do it any more, and I won't.	"I can't do it any more, and I won't.	true	290.87	293.11	17
6075_57156_000027_000008	As for Mr. Morton, I don't care that for him.	As for mr Morton, I don't care that for him.	true	293.66	296.925	18.71899
6075_57156_000027_000009	You know I don't.	You know I don't.	true	296.925	298.095	19.841108
6075_57156_000027_000010	I never cared much for anybody, and shall never again care at all."	I never cared much for anybody, and shall never again care at all."	false	298.095	302.5	18
6075_57156_000028_000000	"You'll find that will come all right after you are married."	"You'll find that will come all right after you are married."	true	303.05	305.8	15
6075_57156_000029_000000	"Like you and papa, I suppose."	"Like you and papa, I suppose."	true	306.08	307.96	18
6075_57156_000030_000000	"My dear, I had no mother to take care of me, or I shouldn't have married your father."	"My dear, I had no mother to take care of me, or I shouldn't have married your father."	true	308.33	313.18	16
6075_57156_000031_000000	"I wish you hadn't, because then I shouldn't be going to marry Mr. Morton.	"I wish you hadn't, because then I shouldn't be going to marry mr Morton.	true	313.67	318.1	15
6075_57156_000031_000001	But, as I have got so far, for heaven's sake let it go on. If you break with him I'll tell him everything and throw myself into his hands." Lady Augustus sighed deeply.	But, as I have got so far, for heaven's sake let it go on. If you break with him I'll tell him everything and throw myself into his hands." Lady Augustus sighed deeply.	true	318.41	329.86	17.537098
6075_57156_000031_000002	"I will, mamma.	"I will, mamma.	true	330.17	331.48	20.844187
6075_57156_000031_000003	It was you spotted this man, and when you said that you thought it would do, I gave way.	It was you spotted this man, and when you said that you thought it would do, I gave way.	true	331.88	337.03	13
6075_57156_000031_000004	He was the last man in the world I should have thought of myself."	He was the last man in the world I should have thought of myself."	true	337.19	340.84	16
6075_57156_000032_000000	"We had heard so much about Bragton!"	"We had heard so much about Bragton!"	true	341.48	343.84	17
6075_57156_000033_000000	"And Bragton is here.	"And Bragton is here.	true	344.09	345.58	21.028074
6075_57156_000033_000001	The estate is not out of elbows."	The estate is not out of elbows."	true	345.59	347.8	15
6075_57156_000034_000000	"My dear, my opinion is that we've made a mistake.	"My dear, my opinion is that we've made a mistake.	true	348.32	351.69	20
6075_57156_000034_000001	He's not the sort of man I took him to be.	He's not the sort of man I took him to be.	true	351.69	353.92	16
6075_57156_000034_000002	He's as hard as a file."	He's as hard as a file."	true	353.93	355.57	17.867842
6075_57156_000035_000000	"Leave that to me, mamma."	"Leave that to me, mamma."	true	355.91	357.55	17.967697
6075_57156_000036_000000	"You are determined then?"	"You are determined then?"	true	358.13	359.44	21.755838
6075_57156_000037_000000	"I think I am.	"I think I am.	true	359.96	361.21	21.401047
6075_57156_000037_000001	At any rate let me look about me.	At any rate let me look about me.	true	361.28	363.46	15
6075_57156_000037_000002	Don't give him an opportunity of breaking off till I have made up my mind.	Don't give him an opportunity of breaking off till I have made up my mind.	true	363.62	368.14	18
6075_57156_000037_000003	I can always break off if I like it.	I can always break off if I like it.	true	368.21	370.39	19.901392
6075_57156_000037_000004	No one in London has heard of the engagement yet.	No one in London has heard of the engagement yet.	true	370.46	372.94	13.239074
6075_57156_000037_000005	Just leave me alone for this week to see what I think about it." Then Lady Augustus threw herself back in her chair and went to sleep, or pretended to do so.	Just leave me alone for this week to see what I think about it." Then Lady Augustus threw herself back in her chair and went to sleep, or pretended to do so.	true	373.34	382.84	17.927242
6075_57156_000038_000000	A little after half-past seven she and her daughter, dressed for dinner, went down to the library together.	A little after half past seven she and her daughter, dressed for dinner, went down to the library together.	true	383.48	389.95	18.88254
6075_57156_000038_000001	The other guests were assembled there, and Mrs. Morton was already plainly expressing her anger at the tardiness of her son's guests.	The other guests were assembled there, and mrs Morton was already plainly expressing her anger at the tardiness of her son's guests.	true	390.11	397.69	13
6075_57156_000038_000002	The Senator had got hold of Mr. Mainwaring and was asking pressing questions as to church patronage,--a subject not very agreeable to the rector of St. John's, as his living had been bought for him with his wife's money during the incumbency of an old gentleman of seventy-eight.	The Senator had got hold of mr Mainwaring and was asking pressing questions as to church patronage,--a subject not very agreeable to the rector of saint John's, as his living had been bought for him with his wife's money during the incumbency of an old gentleman of seventy eight.	true	398.33	415.87	15
6075_57156_000038_000003	Mr. Cooper, who was himself nearly that age and who was vicar of Mallingham, a parish which ran into Dillsborough and comprehended a part of its population, was listening to these queries with awe,--and perhaps with some little gratification, as he had been presented to his living by the bishop after a curacy of many years.	mr Cooper, who was himself nearly that age and who was vicar of Mallingham, a parish which ran into Dillsborough and comprehended a part of its population, was listening to these queries with awe,--and perhaps with some little gratification, as he had been presented to his living by the bishop after a curacy of many years.	true	416.3	437.29	18
6075_57156_000038_000004	"This kind of things, I believe, can be bought and sold in the market," said the Senator, speaking every word with absolute distinctness.	"This kind of things, I believe, can be bought and sold in the market," said the Senator, speaking every word with absolute distinctness.	true	438.14	446.44	19.617908
6075_57156_000038_000005	But as he paused for an answer the two ladies came in and the conversation was changed.	But as he paused for an answer the two ladies came in and the conversation was changed.	true	446.93	452.08	18.73166
6075_57156_000038_000006	Both the clergymen were introduced to Lady Augustus and her daughter, and Mr. Mainwaring at once took refuge under the shadow of the ladies' title.	Both the clergymen were introduced to Lady Augustus and her daughter, and mr Mainwaring at once took refuge under the shadow of the ladies' title.	true	452.15	461.47	18
6075_57156_000039_000000	Arabella did not sit down, so that Morton had an opportunity of standing near to his love.	Arabella did not sit down, so that Morton had an opportunity of standing near to his love.	true	462.11	467.35	14
6075_57156_000039_000001	"I suppose you are very tired," he said.	"I suppose you are very tired," he said.	true	467.99	470.44	17.61323
6075_57156_000040_000000	"Not in the least." She smiled her sweetest as she answered him,--but yet it was not very sweet.	"Not in the least." She smiled her sweetest as she answered him,--but yet it was not very sweet.	true	471.08	477.58	17.951134
6075_57156_000040_000001	"Of course we were tired and cross when we got out of the train.	"Of course we were tired and cross when we got out of the train.	true	477.77	481.51	16
6075_57156_000040_000002	People always are; aren't they?"	People always are; aren't they?"	true	481.58	483.43	18
6075_57156_000041_000000	"Perhaps ladies are."	"Perhaps ladies are."	true	483.86	485.41	17
6075_57156_000042_000000	"We were.	"We were.	true	485.99	486.97	18.38056
6075_57156_000042_000001	But all that about the carriages, Mr. Morton, wasn't my doing.	But all that about the carriages, mr Morton, wasn't my doing.	true	487.07	491.11	16
6075_57156_000042_000002	Mamma had been talking to me so much that I didn't know whether I was on my head or my heels.	Mamma had been talking to me so much that I didn't know whether I was on my head or my heels.	false	491.3	496.51	12
6075_57156_000042_000003	It was very good of you to come and meet us, and I ought to have been more gracious." In this way she made her peace, and as she was quite in earnest,--doing a portion of the hard work of her life,--she continued to smile as sweetly as she could.	It was very good of you to come and meet us, and I ought to have been more gracious." In this way she made her peace, and as she was quite in earnest,--doing a portion of the hard work of her life,--she continued to smile as sweetly as she could.	true	496.76	511.33	18.377617
6075_57156_000042_000004	Perhaps he liked it;--but any man endowed with that power of appreciation which we call sympathy, would have felt it to be as cold as though it had come from a figure on a glass window.	Perhaps he liked it;--but any man endowed with that power of appreciation which we call sympathy, would have felt it to be as cold as though it had come from a figure on a glass window.	true	511.64	522.88	16
6075_57156_000043_000000	The dinner was announced.	The dinner was announced.	true	523.94	525.43	19.925756
6075_57156_000043_000001	Mr. Morton was honoured with the hand of Lady Augustus.	mr Morton was honoured with the hand of Lady Augustus.	true	525.56	529	10
6075_57156_000043_000002	The Senator handed the old lady into the dining-room and Mr. Mainwaring the younger lady,--so that Arabella was sitting next to her lover.	The Senator handed the old lady into the dining room and mr Mainwaring the younger lady,--so that Arabella was sitting next to her lover.	true	529.07	536.8	16.6018
6075_57156_000043_000003	It had all been planned by Morton and acceded to by his grandmother.	It had all been planned by Morton and acceded to by his grandmother.	true	537.38	541.48	16
6075_57156_000043_000004	Mr. Gotobed throughout the dinner had the best of the conversation, though Lady Augustus had power enough to snub him on more than one occasion.	mr Gotobed throughout the dinner had the best of the conversation, though Lady Augustus had power enough to snub him on more than one occasion.	true	541.85	550.27	16
6075_57156_000043_000005	"Suppose we were to allow at once," she said, "that everything is better in the United States than anywhere else, shouldn't we get along easier?"	"Suppose we were to allow at once," she said, "that everything is better in the United States than anywhere else, shouldn't we get along easier?"	true	551.03	559.12	14
6075_57156_000044_000000	"I don't know that getting along easy is what we have particularly got in view," said Mr. Gotobed, who was certainly in quest of information.	"I don't know that getting along easy is what we have particularly got in view," said mr Gotobed, who was certainly in quest of information.	true	560.24	567.85	16
6075_57156_000045_000000	"But it is what I have in view, Mr. Gotobed;--so if you please we'll take the pre-eminence of your country for granted." Then she turned to Mr. Mainwaring on the other side.	"But it is what I have in view, mr Gotobed;--so if you please we'll take the pre eminence of your country for granted." Then she turned to mr Mainwaring on the other side.	true	568.79	578.38	18
6075_57156_000045_000001	Upon this the Senator addressed himself for a while to the table at large and had soon forgotten altogether the expression of the lady's wishes.	Upon this the Senator addressed himself for a while to the table at large and had soon forgotten altogether the expression of the lady's wishes.	true	578.66	587.56	16
6075_57156_000046_000000	"I believe you have a good many churches about here," said Lady Augustus trying to make conversation to her neighbour.	"I believe you have a good many churches about here," said Lady Augustus trying to make conversation to her neighbour.	true	588.89	595.39	14
6075_57156_000047_000000	"One in every parish, I fancy," said Mr. Mainwaring, who preferred all subjects to clerical subjects.	"One in every parish, I fancy," said mr Mainwaring, who preferred all subjects to clerical subjects.	true	595.88	602.41	18
6075_57156_000047_000001	"I suppose London is quite empty now."	"I suppose London is quite empty now."	true	602.63	605.11	17.634888
6075_57156_000048_000000	"We came direct from the Duke's," said Lady Augustus,--"and did not even sleep in town;--but it is empty." The Duke was the brother of Lord Augustus, and a compromise had been made with Lady Augustus, by which she and her daughter should be allowed a fortnight every year at the Duke's place in the country, and a certain amount of entertainment in town.	"We came direct from the Duke's," said Lady Augustus,--"and did not even sleep in town;--but it is empty." The Duke was the brother of Lord Augustus, and a compromise had been made with Lady Augustus, by which she and her daughter should be allowed a fortnight every year at the Duke's place in the country, and a certain amount of entertainment in town.	true	605.9	627.31	18
6075_57156_000049_000000	"I remember the Duke at Christchurch," said the parson.	"I remember the Duke at Christchurch," said the parson.	true	628.46	631.69	19
6075_57156_000049_000001	"He and I were of the same par.	"He and I were of the same par.	true	631.79	634	17
6075_57156_000049_000002	He was Lord Mistletoe then.	He was Lord Mistletoe then.	true	634.16	636.13	17.194475
6075_57156_000049_000003	Dear me, that was a long time ago.	Dear me, that was a long time ago.	true	636.44	638.68	16.697702
6075_57156_000049_000004	I wonder whether he remembers being upset out of a trap with me one day after dinner.	I wonder whether he remembers being upset out of a trap with me one day after dinner.	true	638.84	643.96	13
6075_57156_000049_000005	I suppose we had dined in earnest. He has gone his way, and I have gone mine, and I've never seen him since.	I suppose we had dined in earnest. He has gone his way, and I have gone mine, and I've never seen him since.	true	644.15	651.19	17
6075_57156_000049_000006	Pray remember me to him." Lady Augustus said she would, and did entertain some little increased respect for the clergyman who could boast that he had been tipsy in company with her worthy brother-in-law.	Pray remember me to him." Lady Augustus said she would, and did entertain some little increased respect for the clergyman who could boast that he had been tipsy in company with her worthy brother in law.	true	651.32	664.21	18.859085
6075_57156_000050_000000	Poor Mr. Cooper did not get on very well with Mrs. Morton.	Poor mr Cooper did not get on very well with mrs Morton.	true	665.03	668.77	17
6075_57156_000050_000001	All his remembrances of the old squire were eulogistic and affectionate. Hers were just the reverse.	All his remembrances of the old squire were eulogistic and affectionate. Hers were just the reverse.	true	668.9	675.82	18
6075_57156_000050_000002	He had a good word to say for Reginald Morton,--to which she would not even listen.	He had a good word to say for Reginald Morton,--to which she would not even listen.	true	676.25	681.1	18
6075_57156_000050_000003	She was willing enough to ask questions about the Mallingham tenants;--but Mr. Cooper would revert back to the old days, and so conversation was at an end.	She was willing enough to ask questions about the Mallingham tenants;--but mr Cooper would revert back to the old days, and so conversation was at an end.	false	681.65	691.71	18.002739
6075_57156_000051_000000	Morton tried to make himself agreeable to his left-hand neighbour,--trying also very hard to make himself believe that he was happy in his immediate position.	Morton tried to make himself agreeable to his left hand neighbour,--trying also very hard to make himself believe that he was happy in his immediate position.	true	691.71	700.6	14
6075_57156_000051_000001	How often in the various amusements of the world is one tempted to pause a moment and ask oneself whether one really likes it!	How often in the various amusements of the world is one tempted to pause a moment and ask oneself whether one really likes it!	true	700.94	708.64	15
6075_57156_000051_000002	He was conscious that he was working hard, struggling to be happy, painfully anxious to be sure that he was enjoying the luxury of being in love.	He was conscious that he was working hard, struggling to be happy, painfully anxious to be sure that he was enjoying the luxury of being in love.	true	709.25	717.96	16
6075_57156_000051_000003	But he was not at all contented.	But he was not at all contented.	false	717.96	720.31	18.527216
6075_57156_000051_000004	There she was, and very beautiful she looked; and he thought that he could be proud of her if she sat at the end of his table;--and he knew that she was engaged to be his wife.	There she was, and very beautiful she looked; and he thought that he could be proud of her if she sat at the end of his table;--and he knew that she was engaged to be his wife.	true	720.47	730.72	18
6075_57156_000051_000005	But he doubted whether she was in love with him; and he almost doubted sometimes whether he was very much in love with her.	But he doubted whether she was in love with him; and he almost doubted sometimes whether he was very much in love with her.	true	730.88	737.77	16
6075_57156_000051_000006	He asked her in so many words what he should do to amuse her.	He asked her in so many words what he should do to amuse her.	true	738.14	742.36	17
6075_57156_000051_000007	Would she like to ride with him, as if so he would endeavour to get saddle-horses.	Would she like to ride with him, as if so he would endeavour to get saddle horses.	true	742.52	747.46	17
6075_57156_000051_000008	Would she like to go out hunting?	Would she like to go out hunting?	true	747.74	749.46	17
6075_57156_000051_000009	Would she be taken round to see the neighbouring towns, Rufford and Norrington?	Would she be taken round to see the neighbouring towns, Rufford and Norrington?	false	749.46	754	16
6075_57156_000051_000010	"Lord Rufford lives somewhere near Rufford?" she asked.	"Lord Rufford lives somewhere near Rufford?" she asked.	true	754.46	757.42	17.464474
6075_57156_000051_000011	Yes;--he lived at Rufford Hall, three or four miles from the town.	Yes;--he lived at Rufford Hall, three or four miles from the town.	true	757.55	762.22	18.677895
6075_57156_000051_000012	Did Lord Rufford hunt?	Did Lord Rufford hunt?	true	762.59	764.14	16.483746
6075_57156_000051_000013	Morton believed that he was greatly given to hunting.	Morton believed that he was greatly given to hunting.	true	764.36	767.44	14
6075_57156_000051_000014	Then he asked Arabella whether she knew the young lord.	Then he asked Arabella whether she knew the young lord.	true	767.72	770.83	13
6075_57156_000051_000015	She had just met him, she said, and had only asked the question because of the name.	She had just met him, she said, and had only asked the question because of the name.	true	771.02	775.69	18
6075_57156_000051_000016	"He is one of my neighbours down here," said Morton;--"but being always away of course I see nothing of him." After that Arabella consented to be taken out on horseback to see a meet of the hounds although she could not hunt.	"He is one of my neighbours down here," said Morton;--"but being always away of course I see nothing of him." After that Arabella consented to be taken out on horseback to see a meet of the hounds although she could not hunt.	true	775.82	789.37	17
6075_57156_000051_000017	"We must see what we can do about horses," he said.	"We must see what we can do about horses," he said.	true	790.01	792.79	17
6075_57156_000051_000018	She however professed her readiness to go in the carriage if a saddle-horse could not be found.	She however professed her readiness to go in the carriage if a saddle horse could not be found.	true	792.89	798.31	16
6075_57156_000052_000000	The dinner party I fear was very dull.	The dinner party I fear was very dull.	true	799.46	801.87	16
6075_57156_000052_000001	Mr. Mainwaring perhaps liked it because he was fond of dining anywhere away from home.	mr Mainwaring perhaps liked it because he was fond of dining anywhere away from home.	true	801.87	807.04	11
6075_57156_000052_000002	Mr. Cooper was glad once more to see his late old friend's old dining-room.	mr Cooper was glad once more to see his late old friend's old dining room.	true	807.26	812.38	15
6075_57156_000052_000003	Mr. Gotobed perhaps obtained some information.	mr Gotobed perhaps obtained some information.	true	812.63	815.74	16
6075_57156_000052_000004	But otherwise the affair was dull.	But otherwise the affair was dull.	true	816.23	818.2	18.622242
6075_57156_000052_000005	"Are we to have a week of this?" said Lady Augustus when she found herself up-stairs.	"Are we to have a week of this?" said Lady Augustus when she found herself up stairs.	true	818.63	823.09	12
6075_57156_000053_000000	"You must, mamma, if we are to stay till we go to the Gores.	"You must, mamma, if we are to stay till we go to the Gores.	true	823.88	827.5	15
6075_57156_000053_000001	Lord Rufford is here in the neighbourhood."	Lord Rufford is here in the neighbourhood."	true	827.54	829.81	15.664265
6075_57156_000054_000000	"But they don't know each other."	"But they don't know each other."	true	830.18	831.82	18.048433
6075_57156_000055_000000	"Yes they do;--slightly.	"Yes they do;--slightly.	true	832.04	833.655	17
6075_57156_000055_000001	I am to go to the meet some day and he'll be there."	I am to go to the meet some day and he'll be there."	true	833.655	836.95	14
6075_57156_000056_000000	"It might be dangerous."	"It might be dangerous."	true	837.32	838.75	16
6075_57156_000057_000000	"Nonsense, mamma!	"Nonsense, mamma!	true	838.85	840.28	20.087358
6075_57156_000057_000001	And after all you've been saying about dropping Mr. Morton!"	And after all you've been saying about dropping mr Morton!"	true	840.35	843.4	11
6075_57156_000058_000000	"But there is nothing so bad as a useless flirtation."	"But there is nothing so bad as a useless flirtation."	true	844.4	847.48	13
6075_57156_000059_000000	"Do I ever flirt?	"Do I ever flirt?	true	848.03	849.435	17.419134
6075_57156_000059_000001	Oh, mamma, that after so many years you shouldn't know me!	Oh, mamma, that after so many years you shouldn't know me!	true	849.435	852.7	11
6075_57156_000059_000002	Did you ever see me yet making myself happy in any way?	Did you ever see me yet making myself happy in any way?	true	852.92	856.69	11
6075_57156_000059_000003	What nonsense you talk!"	What nonsense you talk!"	true	856.91	858.67	18.0888
6075_57156_000059_000004	Then without waiting for, or making, any apology, she walked off to her own room.	Then without waiting for, or making, any apology, she walked off to her own room.	false	859.13	864.78	15
6075_57156_000060_000000	CHAPTER XIV.	CHAPTER fourteen.	false	864.78	864.81	-20
6075_57156_000061_000000	THE DILLSBOROUGH FEUD.	THE d i l l s b o r o u g h FEUD.	false	864.81	865.2	-20
6075_57156_000062_000000	"It's that nasty, beastly, drunken club," said Mrs. Masters to her unfortunate husband on the Wednesday morning.	"It's that nasty, beastly, drunken club," said mrs Masters to her unfortunate husband on the Wednesday morning.	false	865.2	865.65	-20
6075_57156_000062_000001	It may perhaps be remembered that the poisoned fox was found on the Saturday, and it may be imagined that Mr. Goarly had risen in importance since that day.	It may perhaps be remembered that the poisoned fox was found on the Saturday, and it may be imagined that mr Goarly had risen in importance since that day.	false	865.65	866.4	27
6075_57156_000062_000002	On the Saturday Bean with a couple of men employed by Lord Rufford, had searched the wood, and found four or five red herrings poisoned with strychnine.	On the Saturday Bean with a couple of men employed by Lord Rufford, had searched the wood, and found four or five red herrings poisoned with strychnine.	false	866.4	867.03	9
6075_57156_000062_000003	There had been no doubt about the magnitude of the offence.	There had been no doubt about the magnitude of the offence.	false	867.03	867.21	12
6075_57156_000062_000004	On the Monday a detective policeman, dressed of course in rustic disguise but not the less known to every one in the place, was wandering about between Dillsborough and Dillsborough Wood and making futile inquiries as to the purchase of strychnine,--and also as to the purchase of red herrings.	On the Monday a detective policeman, dressed of course in rustic disguise but not the less known to every one in the place, was wandering about between Dillsborough and Dillsborough Wood and making futile inquiries as to the purchase of strychnine,--and also as to the purchase of red herrings.	false	867.21	867.99	9
6075_57156_000062_000005	But every one knew, and such leading people as Runciman and Dr. Nupper were not slow to declare, that Dillsborough was the only place in England in which one might be sure that those articles had not been purchased.	But every one knew, and such leading people as Runciman and dr Nupper were not slow to declare, that Dillsborough was the only place in England in which one might be sure that those articles had not been purchased.	false	867.99	867.99	
