2294_169656_000000_000000	THE LAST OF THE SEA-ROVERS	THE LAST OF THE SEA ROVERS	true	22.77	24.67	21.26752
2294_169656_000006_000004	On August 14, 1897, the Italian three-masted schooner _Fiducia_ was off the coast of Morocco, in the Mediterranean, homeward bound from Pensacola to Marseilles.	On august fourteenth eighteen ninety seven, the Italian three masted schooner underscore Fiducia underscore was off the coast of Morocco, in the Mediterranean, homeward bound from Pensacola to Marseilles.	false	263.75	273.64	22.38897
2294_169656_000006_000005	Here she got becalmed, and while in that condition two boats approached her from the shore.	Here she got becalmed, and while in that condition two boats approached her from the shore.	true	274.04	278.62	24.848005
2294_169656_000006_000006	At first the crew of the _Fiducia_ thought they were native fishing boats.	At first the crew of the underscore Fiducia underscore thought they were native fishing boats.	false	279.23	282.61	23.166327
2294_169656_000006_000007	When, however, the latter got within a hundred yards or so of the helpless vessel, the suspicions of the crew were aroused.	When, however, the latter got within a hundred yards or so of the helpless vessel, the suspicions of the crew were aroused.	true	282.89	289.12	20.056
2294_169656_000006_000008	The captain warned the Moors not to approach any nearer; a volley of bullets was returned by way of reply, followed by a regular fusillade as the boats advanced.	The captain warned the Moors not to approach any nearer; a volley of bullets was returned by way of reply, followed by a regular fusillade as the boats advanced.	true	289.79	297.91	19.991776
2294_169656_000006_000009	There were only three revolvers on board the schooner, and with these the crew prepared to defend themselves.	There were only three revolvers on board the schooner, and with these the crew prepared to defend themselves.	true	298.37	303.4	21.520035
2294_169656_000006_000010	Soon, however, their supply of ammunition became exhausted, and the pirates boarded the schooner without further opposition.	Soon, however, their supply of ammunition became exhausted, and the pirates boarded the schooner without further opposition.	true	303.68	309.76	20.489216
2294_169656_000006_000011	The vessel was at once ransacked, even the clothes of the crew being taken.	The vessel was at once ransacked, even the clothes of the crew being taken.	true	310.34	314.29	19.044888
2294_169656_000006_000012	The ship's own boat was lowered, and into this the marauders put their booty, and took it ashore, also carrying the captain and one of the crew with them.	The ship's own boat was lowered, and into this the marauders put their booty, and took it ashore, also carrying the captain and one of the crew with them.	true	314.63	322.75	24.149206
2294_169656_000006_000013	About an hour later another boat, containing about twenty pirates, came off and fired on the ship.	About an hour later another boat, containing about twenty pirates, came off and fired on the ship.	true	323.21	328.51	21.883945
2294_169656_000006_000014	The crew, seeing that they could offer no effective resistance, hid themselves away in the hold.	The crew, seeing that they could offer no effective resistance, hid themselves away in the hold.	true	328.76	334.09	21.789557
2294_169656_000006_000015	The other pirates had left very little for the new arrivals to take, and this seemed to annoy them so much that they gave vent to their ill-feelings in several ways, not the least wanton being the pollution of the ship's fresh water.	The other pirates had left very little for the new arrivals to take, and this seemed to annoy them so much that they gave vent to their ill feelings in several ways, not the least wanton being the pollution of the ship's fresh water.	true	334.73	345.85	22.90622
2294_169656_000006_000016	They also smashed the vessel's compass, and tore up the charts. For the next two days the crew existed on a few biscuits, which the pirates had left behind.	They also smashed the vessel's compass, and tore up the charts. For the next two days the crew existed on a few biscuits, which the pirates had left behind.	true	346.52	355.18	22.33707
2294_169656_000006_000017	The following day the British steamship _Oanfa_, of London, hove in sight.	The following day the British steamship underscore Oanfa underscore, of London, hove in sight.	false	355.76	359.92	20.681486
2294_169656_000006_000018	The crew of the schooner hoisted a shirt as a signal, which was fortunately seen, and a boat sent off in response thereto.	The crew of the schooner hoisted a shirt as a signal, which was fortunately seen, and a boat sent off in response thereto.	true	360.11	366.61	20.782297
2294_169656_000006_000019	Assistance was promptly rendered, and the _Fiducia_ put in a position to resume her voyage.	Assistance was promptly rendered, and the underscore Fiducia underscore put in a position to resume her voyage.	false	367.22	371.92	22.009874
2294_169656_000006_000020	This was done until spoken by the Italian cruiser _Ercole_, which assisted the schooner to her destination.	This was done until spoken by the Italian cruiser underscore Ercole underscore, which assisted the schooner to her destination.	false	372.2	377.71	23.291792
2294_169656_000007_000000	In October, 1896, the French barque _Prosper Corue_ was lying becalmed off Alhucemas, a place fortified by the Spaniards to keep the pirates in check, when several boats full of armed Moors seized the vessel and made the crew prisoners.	In October, eighteen ninety six, the French barque underscore Prosper Corue underscore was lying becalmed off Alhucemas, a place fortified by the Spaniards to keep the pirates in check, when several boats full of armed Moors seized the vessel and made the crew prisoners.	false	378.56	391.87	22.861862
2294_169656_000007_000001	They then completely pillaged the ship, removing almost everything of any use or value.	They then completely pillaged the ship, removing almost everything of any use or value.	true	392.63	397.3	20.142633
2294_169656_000007_000002	While the miscreants were thus busily engaged a Spanish merchant steamship, named the _Sevilla_, happened to come along, and was in time to capture one boat and rescue several of the prisoners.	While the miscreants were thus busily engaged a Spanish merchant steamship, named the underscore Sevilla underscore, happened to come along, and was in time to capture one boat and rescue several of the prisoners.	false	397.67	407.71	20.86612
2294_169656_000007_000003	The _Sevilla_ then made towards the barque, but the pirates opened fire on the steamer, killing and wounding some of the crew.	The underscore Sevilla underscore then made towards the barque, but the pirates opened fire on the steamer, killing and wounding some of the crew.	false	408.35	414.28	22.47342
2294_169656_000007_000004	The Spaniard was compelled to retire, leaving the captain of the barque in the hands of the Moors.	The Spaniard was compelled to retire, leaving the captain of the barque in the hands of the Moors.	true	414.68	419.29	22.120775
2294_169656_000007_000005	Subsequently the barque was picked up in an abandoned condition by the British steamship _Oswin_, and towed into Almeria.	Subsequently the barque was picked up in an abandoned condition by the British steamship underscore Oswin underscore, and towed into Almeria.	false	419.99	426.01	22
2294_169656_000007_000006	An arrangement was afterwards made with the pirates to release the captains of the _Fiducia_ and the Portuguese barque _Rosita Faro_--a much earlier capture--and some members of both crews, in exchange for the Riffians captured by the Spanish steamer _Sevilla_ and a ransom of 3,000 dollars.	An arrangement was afterwards made with the pirates to release the captains of the underscore Fiducia underscore and the Portuguese barque underscore Rosita Faro underscore--a much earlier capture-and some members of both crews, in exchange for the Riffians captured by the Spanish steamer underscore Sevilla underscore and a ransom of three thousand dollars.	false	426.62	441.97	22.391716
2294_169656_000007_000007	It was only after prolonged negotiations and a large sum of money that a French warship succeeded in obtaining the freedom of the captain of the _Prosper Corue_ and a few other Frenchmen.	It was only after prolonged negotiations and a large sum of money that a French warship succeeded in obtaining the freedom of the captain of the underscore Prosper Corue underscore and a few other Frenchmen.	false	442.43	451	19
2294_169656_000007_000008	For some reason or other, the pirates seemed very much disinclined to part with these prisoners.	For some reason or other, the pirates seemed very much disinclined to part with these prisoners.	true	451.61	455.98	21.477734
2294_169656_000007_000009	Only a short time before the attack on the French barque took place, a notice was issued by the British Board of Trade, in which the attention of ship-owners and masters of vessels was called to the dangers attending navigation off the coast of Morocco.	Only a short time before the attack on the French barque took place, a notice was issued by the British Board of Trade, in which the attention of ship owners and masters of vessels was called to the dangers attending navigation off the coast of Morocco.	true	456.44	469.54	22.297737
2294_169656_000007_000010	The document then proceeded to detail the case of the British schooner _Mayer_, of Gibraltar, which was boarded about 10 miles from the Riff coast by twenty Moors armed with rifles and daggers. As usual, the pirates ransacked the vessel, destroyed the ensign and ship's papers, brutally assaulted the men on board, and then made off in their boat.	The document then proceeded to detail the case of the British schooner underscore Mayer underscore, of Gibraltar, which was boarded about ten miles from the Riff coast by twenty Moors armed with rifles and daggers. As usual, the pirates ransacked the vessel, destroyed the ensign and ship's papers, brutally assaulted the men on board, and then made off in their boat.	false	470.21	488.65	22.068388
2294_169656_000007_000011	Scarcely had the foregoing notice been generally circulated than another case of a similar character happened in connection with the Italian schooner _Scatuola_.	Scarcely had the foregoing notice been generally circulated than another case of a similar character happened in connection with the Italian schooner underscore Scatuola underscore.	false	489.14	497.49	21.736097
2294_169656_000007_000012	Again, there is the Spanish cutter _Jacob_.	Again, there is the Spanish cutter underscore Jacob underscore.	false	497.49	499.74	22.96382
2294_169656_000007_000013	She was running along the Moorish coast one fine summer's evening a few years since, when a boat full of pirates suddenly came alongside, and speedily upset the quietness which had previously reigned on board the _Jacob_.	She was running along the Moorish coast one fine summer's evening a few years since, when a boat full of pirates suddenly came alongside, and speedily upset the quietness which had previously reigned on board the underscore Jacob underscore.	false	499.74	511.05	21.48468
2294_169656_000007_000014	Five of the crew managed to escape in the cutter's boat and were picked up some days later by a passing vessel.	Five of the crew managed to escape in the cutter's boat and were picked up some days later by a passing vessel.	true	511.05	516.31	22.735672
2294_169656_000007_000015	Those who remained on board the cutter fared very badly.	Those who remained on board the cutter fared very badly.	true	516.89	519.67	20.642778
2294_169656_000007_000016	After the vessel had been pillaged, the rigging and sails destroyed, the men were all securely bound and left to their fate.	After the vessel had been pillaged, the rigging and sails destroyed, the men were all securely bound and left to their fate.	true	520.01	526.39	21.920172
2294_169656_000007_000017	Fortunately the weather continued fine, and the _Jacob_ drifted towards the Spanish coast, where she was seen and assistance promptly rendered.	Fortunately the weather continued fine, and the underscore Jacob underscore drifted towards the Spanish coast, where she was seen and assistance promptly rendered.	false	526.82	534.28	22.545591
2294_169656_000008_000000	The captain of another Spanish vessel had quite a "thrilling" adventure among these pirates in May, 1892.	The captain of another Spanish vessel had quite a "thrilling" adventure among these pirates in May, eighteen ninety two.	false	534.89	540.28	19
2294_169656_000008_000001	He left Gibraltar in command of the barque _San Antonio_ for Alhucemas, and when about six miles from Penon de la Gomera a boat manned by thirteen Moors was observed to be approaching the vessel.	He left Gibraltar in command of the barque underscore San Antonio underscore for Alhucemas, and when about six miles from Penon de la Gomera a boat manned by thirteen Moors was observed to be approaching the vessel.	false	540.92	550.69	21.942982
2294_169656_000008_000002	When near enough they opened fire, and ordered the captain to lower his sails, which was done, as the Spaniards were, practically speaking, without arms.	When near enough they opened fire, and ordered the captain to lower his sails, which was done, as the Spaniards were, practically speaking, without arms.	true	551.06	560.05	22.97564
2294_169656_000008_000003	The Moors then boarded the _San Antonio_ and took her in tow.	The Moors then boarded the underscore San Antonio underscore and took her in tow.	false	560.36	563.95	20.236012
2294_169656_000008_000004	When close to the land the captain was rowed ashore, and the pirates spent part of the night in unloading the cargo.	When close to the land the captain was rowed ashore, and the pirates spent part of the night in unloading the cargo.	true	564.74	570.13	22.160044
2294_169656_000008_000005	Next morning the _San Antonio_ was seen drifting out to sea, and the captain, who was afraid of being put to death, suggested that he should go on board and bring her back to the anchorage.	Next morning the underscore San Antonio underscore was seen drifting out to sea, and the captain, who was afraid of being put to death, suggested that he should go on board and bring her back to the anchorage.	false	570.74	579.91	21.396494
2294_169656_000008_000006	Probably thinking that some of their comrades were on the barque, but unable to set the necessary canvas to return, only two Moors were sent off with the captain, and these remained in the boat when the vessel was reached. Upon gaining the deck of the barque the captain was surprised to find himself alone.	Probably thinking that some of their comrades were on the barque, but unable to set the necessary canvas to return, only two Moors were sent off with the captain, and these remained in the boat when the vessel was reached. Upon gaining the deck of the barque the captain was surprised to find himself alone.	true	580.73	596.17	22.040491
2294_169656_000008_000007	Without hesitating for a moment he released the crew, who were confined below, hoisted sail and stood out to sea.	Without hesitating for a moment he released the crew, who were confined below, hoisted sail and stood out to sea.	true	596.66	603.34	22.894697
2294_169656_000008_000008	The Moors who had been left in the boat were speedily cut adrift, much to their amazement, for it so happened that none of the pirates had stayed on board.	The Moors who had been left in the boat were speedily cut adrift, much to their amazement, for it so happened that none of the pirates had stayed on board.	true	603.98	611.23	22.759108
2294_169656_000008_000009	No doubt they were eager to find a safe hiding-place for their plunder, and, thinking the barque quite secure till morning, took no further heed of the matter.	No doubt they were eager to find a safe hiding place for their plunder, and, thinking the barque quite secure till morning, took no further heed of the matter.	false	611.72	619.54	21.995375
2294_169656_000008_000010	A few days later the _San Antonio_ arrived at Gibraltar, where full particulars of the outrage were furnished to the authorities.	A few days later the underscore San Antonio underscore arrived at Gibraltar, where full particulars of the outrage were furnished to the authorities.	false	619.94	626.05	21.502329
2294_169656_000008_000011	Space will not admit of details being given of the attacks on the Spanish barque _Goleta_, the Portuguese barque _Rosita Faro_, the British felucca _Joven Enrique_, and other vessels.	Space will not admit of details being given of the attacks on the Spanish barque underscore Goleta underscore, the Portuguese barque underscore Rosita Faro underscore, the British felucca underscore Joven Enrique underscore, and other vessels.	false	626.78	637.36	22.209467
2294_169656_000008_000012	It should be mentioned, however, that several famous British and foreign sailing yachts upon various occasions have had remarkably narrow escapes from being captured by these sea ruffians.	It should be mentioned, however, that several famous British and foreign sailing yachts upon various occasions have had remarkably narrow escapes from being captured by these sea ruffians.	false	637.88	647.17	21.378529
2294_169656_000009_000000	It is sincerely to be hoped that the Sultan of Morocco is carrying out his task in such a manner as will induce the inhabitants of the Riff coast to follow some occupation in future which is more likely to be appreciated by those who have to navigate vessels in the Mediterranean. Previous to stern measures being taken by the Sultan, it was not at all uncommon for his envoys to the native tribes--for the purpose of obtaining the release of captives--to be received with derision.	It is sincerely to be hoped that the Sultan of Morocco is carrying out his task in such a manner as will induce the inhabitants of the Riff coast to follow some occupation in future which is more likely to be appreciated by those who have to navigate vessels in the Mediterranean. Previous to stern measures being taken by the Sultan, it was not at all uncommon for his envoys to the native tribes-for the purpose of obtaining the release of captives-to be received with derision.	true	647.87	672.58	21.191751
2294_169656_000009_000001	Often, too, they were maltreated to such an extent that they were glad to escape with their lives.	Often, too, they were maltreated to such an extent that they were glad to escape with their lives.	true	673.13	678.16	22.572481
2294_169656_000009_000002	Some of the neighboring tribes continually endeavored to purchase captives for the pleasure of killing them, but it is satisfactory to learn that no sales are recorded, as the anticipated ransom was always largely in excess of the sums offered by the bloodthirsty natives.	Some of the neighboring tribes continually endeavored to purchase captives for the pleasure of killing them, but it is satisfactory to learn that no sales are recorded, as the anticipated ransom was always largely in excess of the sums offered by the bloodthirsty natives.	true	678.65	693.15	21.875757
2294_169656_000010_000000	FOOTNOTES:	FOOTNOTES:	false	693.15	693.27	-20
2294_169656_000011_000000	[28] From the _Nautical Magazine_.	[twenty eight] From the underscore Nautical Magazine underscore.	false	693.27	694.35	-20
2294_169656_000012_000000	[29] About twenty years ago.	[twenty nine] About twenty years ago.	false	694.35	695.16	-20
2294_169656_000013_000000	End of the Project Gutenberg EBook of Great Pirate Stories, by Various	End of the Project Gutenberg EBook of Great Pirate Stories, by Various	false	695.16	715.35	20.562998
