2294_169656_000000_000000	THE LAST OF THE SEA-ROVERS	THE LAST OF THE SEA ROVERS
2294_169656_000006_000015	The other pirates had left very little for the new arrivals to take, and this seemed to annoy them so much that they gave vent to their ill-feelings in several ways, not the least wanton being the pollution of the ship's fresh water.	The other pirates had left very little for the new arrivals to take, and this seemed to annoy them so much that they gave vent to their ill feelings in several ways, not the least wanton being the pollution of the ship's fresh water.
2294_169656_000006_000016	They also smashed the vessel's compass, and tore up the charts. For the next two days the crew existed on a few biscuits, which the pirates had left behind.	They also smashed the vessel's compass, and tore up the charts. For the next two days the crew existed on a few biscuits, which the pirates had left behind.
2294_169656_000006_000018	The crew of the schooner hoisted a shirt as a signal, which was fortunately seen, and a boat sent off in response thereto.	The crew of the schooner hoisted a shirt as a signal, which was fortunately seen, and a boat sent off in response thereto.
2294_169656_000007_000001	They then completely pillaged the ship, removing almost everything of any use or value.	They then completely pillaged the ship, removing almost everything of any use or value.
2294_169656_000007_000004	The Spaniard was compelled to retire, leaving the captain of the barque in the hands of the Moors.	The Spaniard was compelled to retire, leaving the captain of the barque in the hands of the Moors.
2294_169656_000007_000008	For some reason or other, the pirates seemed very much disinclined to part with these prisoners.	For some reason or other, the pirates seemed very much disinclined to part with these prisoners.
2294_169656_000007_000009	Only a short time before the attack on the French barque took place, a notice was issued by the British Board of Trade, in which the attention of ship-owners and masters of vessels was called to the dangers attending navigation off the coast of Morocco.	Only a short time before the attack on the French barque took place, a notice was issued by the British Board of Trade, in which the attention of ship owners and masters of vessels was called to the dangers attending navigation off the coast of Morocco.
2294_169656_000007_000014	Five of the crew managed to escape in the cutter's boat and were picked up some days later by a passing vessel.	Five of the crew managed to escape in the cutter's boat and were picked up some days later by a passing vessel.
2294_169656_000007_000015	Those who remained on board the cutter fared very badly.	Those who remained on board the cutter fared very badly.
2294_169656_000007_000016	After the vessel had been pillaged, the rigging and sails destroyed, the men were all securely bound and left to their fate.	After the vessel had been pillaged, the rigging and sails destroyed, the men were all securely bound and left to their fate.
2294_169656_000008_000002	When near enough they opened fire, and ordered the captain to lower his sails, which was done, as the Spaniards were, practically speaking, without arms.	When near enough they opened fire, and ordered the captain to lower his sails, which was done, as the Spaniards were, practically speaking, without arms.
2294_169656_000008_000004	When close to the land the captain was rowed ashore, and the pirates spent part of the night in unloading the cargo.	When close to the land the captain was rowed ashore, and the pirates spent part of the night in unloading the cargo.
2294_169656_000008_000006	Probably thinking that some of their comrades were on the barque, but unable to set the necessary canvas to return, only two Moors were sent off with the captain, and these remained in the boat when the vessel was reached. Upon gaining the deck of the barque the captain was surprised to find himself alone.	Probably thinking that some of their comrades were on the barque, but unable to set the necessary canvas to return, only two Moors were sent off with the captain, and these remained in the boat when the vessel was reached. Upon gaining the deck of the barque the captain was surprised to find himself alone.
2294_169656_000008_000007	Without hesitating for a moment he released the crew, who were confined below, hoisted sail and stood out to sea.	Without hesitating for a moment he released the crew, who were confined below, hoisted sail and stood out to sea.
2294_169656_000008_000008	The Moors who had been left in the boat were speedily cut adrift, much to their amazement, for it so happened that none of the pirates had stayed on board.	The Moors who had been left in the boat were speedily cut adrift, much to their amazement, for it so happened that none of the pirates had stayed on board.
2294_169656_000009_000001	Often, too, they were maltreated to such an extent that they were glad to escape with their lives.	Often, too, they were maltreated to such an extent that they were glad to escape with their lives.
2294_169656_000009_000002	Some of the neighboring tribes continually endeavored to purchase captives for the pleasure of killing them, but it is satisfactory to learn that no sales are recorded, as the anticipated ransom was always largely in excess of the sums offered by the bloodthirsty natives.	Some of the neighboring tribes continually endeavored to purchase captives for the pleasure of killing them, but it is satisfactory to learn that no sales are recorded, as the anticipated ransom was always largely in excess of the sums offered by the bloodthirsty natives.
