2010_147045_000000_000000	He looked around for the "torture bottle," but it was not in sight.	He looked around for the "torture bottle," but it was not in sight.	false	0	9	24.560757
2010_147045_000011_000001	"It will be better for you if you do not make any trouble."	"It will be better for you if you do not make any trouble."	true	120.24	123.25	21.618414
2010_147045_000012_000000	"You are making a mistake."	"You are making a mistake."	true	123.59	125.26	26.26251
2010_147045_000013_000000	"If I am making a mistake," said Ling Chu calmly, "you have only to tell that policeman that I have mistaken you for Milburgh, who is wanted by the police on a charge of murder, and I shall get into very serious trouble."	"If I am making a mistake," said Ling Chu calmly, "you have only to tell that policeman that I have mistaken you for Milburgh, who is wanted by the police on a charge of murder, and I shall get into very serious trouble."	true	125.57	137.14	20
2010_147045_000014_000000	Milburgh's lips were quivering with fear and his face was a pasty grey.	Milburgh's lips were quivering with fear and his face was a pasty grey.	true	137.27	141.31	22
2010_147045_000015_000000	"I will come," he said.	"I will come," he said.	true	141.65	143.08	22.552765
2010_147045_000016_000000	Ling Chu walked by his side, and they passed out of Waterloo station.	Ling Chu walked by his side, and they passed out of Waterloo station.	false	143.78	147.67	20
2010_147045_000016_000001	The journey to Bond Street remained in Milburgh's memory like a horrible dream.	The journey to Bond Street remained in Milburgh's memory like a horrible dream.	true	147.71	151.84	18
2010_147045_000016_000002	He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort.	He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort.	true	152.06	159.13	22.090502
2010_147045_000016_000003	Ling Chu on the contrary had a penchant for buses and seemed to enjoy them.	Ling Chu on the contrary had a penchant for buses and seemed to enjoy them.	true	159.53	163.78	20
2010_147045_000017_000000	No word was spoken until they reached the sitting-room of Tarling's flat. Milburgh expected to see the detective.	No word was spoken until they reached the sitting room of Tarling's flat. Milburgh expected to see the detective.	true	164.18	170.59	22.52307
2010_147045_000017_000001	He had already arrived at the conclusion that Ling Chu was but a messenger who had been sent by the man from Shanghai to bring him to his presence.	He had already arrived at the conclusion that Ling Chu was but a messenger who had been sent by the man from Shanghai to bring him to his presence.	false	170.63	178.24	14
2010_147045_000017_000002	But there was no sign of Tarling.	But there was no sign of Tarling.	true	178.67	180.67	20.118326
2010_147045_000018_000000	"Now, my friend, what do you want?" he asked.	"Now, my friend, what do you want?" he asked.	true	181.01	183.42	21.49542
2010_147045_000018_000001	"It is true I am Mr. Milburgh, but when you say that I have committed murder you are telling a wicked lie."	"It is true I am mr Milburgh, but when you say that I have committed murder you are telling a wicked lie."	true	183.42	189.01	22
2010_147045_000019_000000	He had gained some courage, because he had expected in the first place to be taken immediately to Scotland Yard and placed in custody.	He had gained some courage, because he had expected in the first place to be taken immediately to Scotland Yard and placed in custody.	true	189.35	196.21	20
2010_147045_000019_000001	The fact that Tarling's flat lay at the end of the journey seemed to suggest that the situation was not as desperate as he had imagined.	The fact that Tarling's flat lay at the end of the journey seemed to suggest that the situation was not as desperate as he had imagined.	true	196.43	203.23	19
2010_147045_000020_000000	Ling Chu, turning suddenly upon Milburgh, gripped him by the wrist, half-turning as he did so.	Ling Chu, turning suddenly upon Milburgh, gripped him by the wrist, half turning as he did so.	false	204.35	209.92	20
2010_147045_000020_000001	Before Milburgh knew what was happening, he was lying on the floor, face downwards, with Ling Chu's knee in the small of his back.	Before Milburgh knew what was happening, he was lying on the floor, face downwards, with Ling Chu's knee in the small of his back.	true	210.23	216.945	17
2010_147045_000020_000002	He felt something like a wire loop slipped about his wrists, and suffered an excruciating pain as the Chinaman tightened the connecting link of the native handcuff.	He felt something like a wire loop slipped about his wrists, and suffered an excruciating pain as the Chinaman tightened the connecting link of the native handcuff.	true	216.945	226.24	20
2010_147045_000021_000000	"Get up," said Ling Chu sternly, and, exerting a surprising strength, lifted the man to his feet.	"Get up," said Ling Chu sternly, and, exerting a surprising strength, lifted the man to his feet.	true	226.52	231.915	22
2010_147045_000022_000000	"What are you going to do?" said Milburgh, his teeth chattering with fear.	"What are you going to do?" said Milburgh, his teeth chattering with fear.	true	231.915	235.27	18.819124
2010_147045_000023_000000	There was no answer.	There was no answer.	true	235.43	236.79	21.129227
2010_147045_000023_000001	Ling Chu gripped the man by one hand and opening the door with the other, pushed him into a room which was barely furnished. Against the wall there was an iron bed, and on to this the man was pushed, collapsing in a heap.	Ling Chu gripped the man by one hand and opening the door with the other, pushed him into a room which was barely furnished. Against the wall there was an iron bed, and on to this the man was pushed, collapsing in a heap.	true	236.79	248.92	22.987686
2010_147045_000024_000000	The Chinese thief-catcher went about his work in a scientific fashion. First he fastened and threaded a length of silk rope through one of the rails of the bed and into the slack of this he lifted Milburgh's head, so that he could not struggle except at the risk of being strangled.	The Chinese thief catcher went about his work in a scientific fashion. First he fastened and threaded a length of silk rope through one of the rails of the bed and into the slack of this he lifted Milburgh's head, so that he could not struggle except at the risk of being strangled.	true	249.92	263.44	22.2494
2010_147045_000025_000000	Ling Chu turned him over, unfastened the handcuffs, and methodically bound first one wrist and then the other to the side of the bed.	Ling Chu turned him over, unfastened the handcuffs, and methodically bound first one wrist and then the other to the side of the bed.	true	263.96	270.34	21
2010_147045_000026_000000	"What are you going to do?" repeated Milburgh, but the Chinaman made no reply.	"What are you going to do?" repeated Milburgh, but the Chinaman made no reply.	true	270.8	274.99	23.208261
2010_147045_000027_000000	He produced from a belt beneath his blouse a wicked-looking knife, and the manager opened his mouth to shout.	He produced from a belt beneath his blouse a wicked looking knife, and the manager opened his mouth to shout.	true	275.66	281.055	22
2010_147045_000027_000001	He was beside himself with terror, but any cause for fear had yet to come.	He was beside himself with terror, but any cause for fear had yet to come.	true	281.055	285.04	23.295725
2010_147045_000027_000002	The Chinaman stopped the cry by dropping a pillow on the man's face, and began deliberately to cut the clothing on the upper part of his body.	The Chinaman stopped the cry by dropping a pillow on the man's face, and began deliberately to cut the clothing on the upper part of his body.	false	285.35	292.09	24.508467
2010_147045_000028_000000	"If you cry out," he said calmly, "the people will think it is I who am singing!	"If you cry out," he said calmly, "the people will think it is I who am singing!	true	292.64	296.86	24
2010_147045_000028_000001	Chinamen have no music in their voices, and sometimes when I have sung my native songs, people have come up to discover who was suffering."	Chinamen have no music in their voices, and sometimes when I have sung my native songs, people have come up to discover who was suffering."	true	296.96	304.96	19.913252
2010_147045_000029_000000	"You are acting illegally," breathed Milburgh, in a last attempt to save the situation.	"You are acting illegally," breathed Milburgh, in a last attempt to save the situation.	true	305.42	310.09	23
2010_147045_000029_000001	"For your crime you will suffer imprisonment"	"For your crime you will suffer imprisonment"	true	310.28	312.64	18.922014
2010_147045_000030_000000	"I shall be fortunate," said Ling Chu; "for prison is life.	"I shall be fortunate," said Ling Chu; "for prison is life.	true	313.7	317.68	22.080395
2010_147045_000030_000001	But you will hang at the end of a long rope."	But you will hang at the end of a long rope."	true	317.78	320.47	19.250128
2010_147045_000031_000000	He had lifted the pillow from Milburgh's face, and now that pallid man was following every movement of the Chinaman with a fearful eye. Presently Milburgh was stripped to the waist, and Ling Chu regarded his handiwork complacently.	He had lifted the pillow from Milburgh's face, and now that pallid man was following every movement of the Chinaman with a fearful eye. Presently Milburgh was stripped to the waist, and Ling Chu regarded his handiwork complacently.	false	320.99	333.61	22.560715
2010_147045_000032_000000	He went to a cupboard in the wall, and took out a small brown bottle, which he placed on a table by the side of the bed.	He went to a cupboard in the wall, and took out a small brown bottle, which he placed on a table by the side of the bed.	true	334.19	340.27	23
2010_147045_000032_000001	Then he himself sat upon the edge of the bed and spoke.	Then he himself sat upon the edge of the bed and spoke.	true	340.82	344.14	23.306894
2010_147045_000032_000002	His English was almost perfect, though now and again he hesitated in the choice of a word, and there were moments when he was a little stilted in his speech, and more than a little pedantic.	His English was almost perfect, though now and again he hesitated in the choice of a word, and there were moments when he was a little stilted in his speech, and more than a little pedantic.	true	344.18	354.37	21
2010_147045_000032_000003	He spoke slowly and with great deliberation.	He spoke slowly and with great deliberation.	true	354.92	357.85	26.019142
2010_147045_000033_000000	"You do not know the Chinese people?	"You do not know the Chinese people?	true	358.94	361	25.346142
2010_147045_000033_000001	You have not been or lived in China? When I say lived I do not mean staying for a week at a good hotel in one of the coast towns.	You have not been or lived in China? When I say lived I do not mean staying for a week at a good hotel in one of the coast towns.	true	361.49	369.58	24.142073
2010_147045_000033_000002	Your Mr. Lyne lived in China in that way.	Your mr Lyne lived in China in that way.	true	369.65	372.58	22
2010_147045_000033_000003	It was not a successful residence."	It was not a successful residence."	true	372.86	375.22	27.929813
2010_147045_000034_000000	"I know nothing about Mr. Lyne," interrupted Milburgh, sensing that Ling Chu in some way associated him with Thornton Lyne's misadventures.	"I know nothing about mr Lyne," interrupted Milburgh, sensing that Ling Chu in some way associated him with Thornton Lyne's misadventures.	true	375.86	383.86	21
2010_147045_000035_000000	"Good!" said Ling Chu, tapping the flat blade of his knife upon his palm. "If you had lived in China--in the real China--you might have a dim idea of our people and their characteristics.	"Good!" said Ling Chu, tapping the flat blade of his knife upon his palm. "If you had lived in China-in the real China-you might have a dim idea of our people and their characteristics.	false	384.17	394.93	23.821968
2010_147045_000035_000001	It is said that the Chinaman does not fear death or pain, which is a slight exaggeration, because I have known criminals who feared both."	It is said that the Chinaman does not fear death or pain, which is a slight exaggeration, because I have known criminals who feared both."	true	395.42	403.09	24.459356
2010_147045_000036_000000	His thin lips curved for a second in the ghost of a smile, as though at some amusing recollection.	His thin lips curved for a second in the ghost of a smile, as though at some amusing recollection.	true	403.82	409.54	24
2010_147045_000036_000001	Then he grew serious again.	Then he grew serious again.	true	409.76	411.52	24.497465
2010_147045_000037_000000	"From the Western standpoint we are a primitive people.	"From the Western standpoint we are a primitive people.	true	412.79	415.78	29
2010_147045_000037_000001	From our own point of view we are rigidly honourable.	From our own point of view we are rigidly honourable.	true	416.06	418.99	21
2010_147045_000037_000002	Also--and this I would emphasise." He did, in fact, emphasise his words to the terror of Mr. Milburgh, with the point of his knife upon the other's broad chest, though so lightly was the knife held that Milburgh felt nothing but the slightest tingle.	Also-and this I would emphasise." He did, in fact, emphasise his words to the terror of mr Milburgh, with the point of his knife upon the other's broad chest, though so lightly was the knife held that Milburgh felt nothing but the slightest tingle.	true	419.42	432.85	23.070318
2010_147045_000038_000000	"We do not set the same value upon the rights of the individual as do you people in the West.	"We do not set the same value upon the rights of the individual as do you people in the West.	true	434.39	440.02	22
2010_147045_000038_000001	For example," he explained carefully, "we are not tender with our prisoners, if we think that by applying a little pressure to them we can assist the process of justice."	For example," he explained carefully, "we are not tender with our prisoners, if we think that by applying a little pressure to them we can assist the process of justice."	true	440.18	448.63	23
2010_147045_000039_000000	"What do you mean?" asked Milburgh, a grisly thought dawning upon his mind.	"What do you mean?" asked Milburgh, a grisly thought dawning upon his mind.	true	449.09	453.34	25.525753
2010_147045_000040_000000	"In Britain--and in America too, I understand--though the Americans are much more enlightened on this subject--when you arrest a member of a gang you are content with cross-examining him and giving him full scope for the exercise of his inventive power.	"In Britain-and in America too, I understand-though the Americans are much more enlightened on this subject-when you arrest a member of a gang you are content with cross examining him and giving him full scope for the exercise of his inventive power.	false	453.95	466.81	21
2010_147045_000040_000001	You ask him questions and go on asking and asking, and you do not know whether he is lying or telling the truth."	You ask him questions and go on asking and asking, and you do not know whether he is lying or telling the truth."	true	467.51	473.95	23
2010_147045_000041_000000	Mr. Milburgh began to breathe heavily.	mr Milburgh began to breathe heavily.	true	474.11	476.77	22.721184
2010_147045_000042_000000	"Has that idea sunk into your mind?" asked Ling Chu.	"Has that idea sunk into your mind?" asked Ling Chu.	true	476.99	480.46	22.600262
2010_147045_000043_000000	"I don't know what you mean," said Mr. Milburgh in a quavering voice. "All I know is that you are committing a most----"	"I don't know what you mean," said mr Milburgh in a quavering voice. "All I know is that you are committing a most----"	false	480.83	487.27	19.896275
2010_147045_000044_000000	Ling Chu stopped him with a gesture.	Ling Chu stopped him with a gesture.	true	487.4	489.64	23.461086
2010_147045_000045_000000	"I am perfectly well aware of what I am doing," he said.	"I am perfectly well aware of what I am doing," he said.	true	490.37	493.57	24
2010_147045_000045_000001	"Now listen to me.	"Now listen to me.	true	493.7	494.89	20.974943
2010_147045_000045_000002	A week or so ago, Mr. Thornton Lyne, your employer, was found dead in Hyde Park.	A week or so ago, mr Thornton Lyne, your employer, was found dead in Hyde Park.	true	495.2	499.81	23
2010_147045_000045_000003	He was dressed in his shirt and trousers, and about his body, in an endeavour to stanch the wound, somebody had wrapped a silk night-dress.	He was dressed in his shirt and trousers, and about his body, in an endeavour to stanch the wound, somebody had wrapped a silk night dress.	true	499.85	506.44	19
2010_147045_000045_000004	He was killed in the flat of a small lady, whose name I cannot pronounce, but you will know her."	He was killed in the flat of a small lady, whose name I cannot pronounce, but you will know her."	true	507.05	512.32	23.54526
2010_147045_000046_000000	Milburgh's eyes never left the Chinaman's, and he nodded.	Milburgh's eyes never left the Chinaman's, and he nodded.	true	512.96	515.95	25.799147
2010_147045_000047_000000	"He was killed by you," said Ling Chu slowly, "because he had discovered that you had been robbing him, and you were in fear that he would hand you over to the police."	"He was killed by you," said Ling Chu slowly, "because he had discovered that you had been robbing him, and you were in fear that he would hand you over to the police."	true	516.29	524.59	19
2010_147045_000048_000000	"That's a lie," roared Milburgh.	"That's a lie," roared Milburgh.	true	524.96	526.695	24.120853
2010_147045_000048_000001	"It's a lie--I tell you it's a lie!"	"It's a lie-I tell you it's a lie!"	true	526.695	528.79	23
2010_147045_000049_000000	"I shall discover whether it is a lie in a few moments," said Ling Chu.	"I shall discover whether it is a lie in a few moments," said Ling Chu.	true	529.61	533.5	21
2010_147045_000050_000000	He put his hand inside his blouse and Milburgh watched him fascinated, but he produced nothing more deadly than a silver cigarette-case, which he opened.	He put his hand inside his blouse and Milburgh watched him fascinated, but he produced nothing more deadly than a silver cigarette case, which he opened.	true	533.63	542.35	23.213518
2010_147045_000050_000001	He selected a cigarette and lit it, and for a few minutes puffed in silence, his thoughtful eyes fixed upon Milburgh.	He selected a cigarette and lit it, and for a few minutes puffed in silence, his thoughtful eyes fixed upon Milburgh.	true	542.93	549.765	28.101152
2010_147045_000050_000002	Then he rose and went to the cupboard and took out a larger bottle and placed it beside the other.	Then he rose and went to the cupboard and took out a larger bottle and placed it beside the other.	true	549.765	554.32	20.389574
2010_147045_000051_000000	Ling Chu pulled again at his cigarette and then threw it into the grate.	Ling Chu pulled again at his cigarette and then threw it into the grate.	false	554.93	558.73	22.425234
2010_147045_000052_000000	"It is in the interests of all parties," he said in his slow, halting way, "that the truth should be known, both for the sake of my honourable master, Lieh Jen, the Hunter, and his honourable Little Lady."	"It is in the interests of all parties," he said in his slow, halting way, "that the truth should be known, both for the sake of my honourable master, Lieh Jen, the Hunter, and his honourable Little Lady."	false	558.95	570.64	23.075642
2010_147045_000053_000000	He took up his knife and bent over the terror-stricken man.	He took up his knife and bent over the terror stricken man.	true	571.25	574.12	22
2010_147045_000054_000000	"For God's sake don't, don't," half screamed, half sobbed Milburgh.	"For God's sake don't, don't," half screamed, half sobbed Milburgh.	true	574.79	578.98	27.20223
2010_147045_000055_000000	"This will not hurt you," said Ling Chu, and drew four straight lines across the other's breast.	"This will not hurt you," said Ling Chu, and drew four straight lines across the other's breast.	true	579.11	584.14	22
2010_147045_000055_000001	The keen razor edge seemed scarcely to touch the flesh, yet where the knife had passed was a thin red mark like a scratch.	The keen razor edge seemed scarcely to touch the flesh, yet where the knife had passed was a thin red mark like a scratch.	true	584.51	591.52	26.141846
2010_147045_000056_000000	Milburgh scarcely felt a twinge of pain, only a mild irritating smarting and no more.	Milburgh scarcely felt a twinge of pain, only a mild irritating smarting and no more.	true	592.28	597.76	22
2010_147045_000056_000001	The Chinaman laid down the knife and took up the smaller bottle.	The Chinaman laid down the knife and took up the smaller bottle.	true	598.19	601.63	22.851448
2010_147045_000057_000000	"In this," he said, "is a vegetable extract.	"In this," he said, "is a vegetable extract.	true	602.54	605.47	23.880615
2010_147045_000057_000001	It is what you would call capsicum, but it is not quite like your pepper because it is distilled from a native root.	It is what you would call capsicum, but it is not quite like your pepper because it is distilled from a native root.	false	605.48	612.1	25.415344
2010_147045_000057_000002	In this bottle," he picked up the larger, "is a Chinese oil which immediately relieves the pain which capsicum causes."	In this bottle," he picked up the larger, "is a Chinese oil which immediately relieves the pain which capsicum causes."	true	613.25	619.84	24
2010_147045_000058_000000	"What are you going to do?" asked Milburgh, struggling.	"What are you going to do?" asked Milburgh, struggling.	false	620.96	623.07	26
2010_147045_000058_000001	"You dog!	"You dog!	true	623.07	623.79	22.900908
2010_147045_000058_000002	You fiend!"	You fiend!"	true	623.79	624.76	24.348932
2010_147045_000059_000000	"With a little brush I will paint capsicum on these places." He touched Milburgh's chest with his long white ringers.	"With a little brush I will paint capsicum on these places." He touched Milburgh's chest with his long white ringers.	true	625.91	632.47	25.794756
2010_147045_000059_000001	"Little by little, millimetre by millimetre my brush will move, and you will experience such pain as you have never experienced before.	"Little by little, millimetre by millimetre my brush will move, and you will experience such pain as you have never experienced before.	true	633.2	640.45	23
2010_147045_000059_000002	It is pain which will rack you from head to foot, and will remain with you all your life in memory. Sometimes," he said philosophically, "it drives me mad, but I do not think it will drive you mad."	It is pain which will rack you from head to foot, and will remain with you all your life in memory. Sometimes," he said philosophically, "it drives me mad, but I do not think it will drive you mad."	false	640.88	653.4	22.495037
2010_147045_000060_000000	He took out the cork and dipped a little camel-hair brush in the mixture, withdrawing it moist with fluid.	He took out the cork and dipped a little camel hair brush in the mixture, withdrawing it moist with fluid.	true	653.4	659.14	25.195269
2010_147045_000060_000001	He was watching Milburgh all the time, and when the stout man opened his mouth to yell he thrust a silk handkerchief, which he drew with lightning speed from his pocket, into the open mouth.	He was watching Milburgh all the time, and when the stout man opened his mouth to yell he thrust a silk handkerchief, which he drew with lightning speed from his pocket, into the open mouth.	true	659.3	668.385	20
2010_147045_000061_000000	"Wait, wait!" gasped the muffled voice of Milburgh.	"Wait, wait!" gasped the muffled voice of Milburgh.	true	668.385	671.865	24.653715
2010_147045_000061_000001	"I have something to tell you--something that your master should know."	"I have something to tell you-something that your master should know."	true	671.865	674.83	20
2010_147045_000062_000000	"That is very good," said Ling Chu coolly, and pulled out the handkerchief.	"That is very good," said Ling Chu coolly, and pulled out the handkerchief.	true	675.32	679.24	23.73565
2010_147045_000062_000001	"You shall tell me the truth."	"You shall tell me the truth."	true	679.37	681.01	28.012579
2010_147045_000063_000000	"What truth can I tell you?" asked the man, sweating with fear.	"What truth can I tell you?" asked the man, sweating with fear.	true	681.71	684.61	23
2010_147045_000063_000001	Great beads of sweat were lying on his face.	Great beads of sweat were lying on his face.	true	684.8	687.31	23
2010_147045_000064_000000	"You shall confess the truth that you killed Thornton Lyne," said Ling Chu.	"You shall confess the truth that you killed Thornton Lyne," said Ling Chu.	true	687.41	691.06	24
2010_147045_000064_000001	"That is the only truth I want to hear."	"That is the only truth I want to hear."	true	691.19	693.43	22.7132
2010_147045_000065_000000	"I swear I did not kill him!	"I swear I did not kill him!	true	693.92	695.535	26.345774
2010_147045_000065_000001	I swear it, I swear it!" raved the prisoner. "Wait, wait!" he whimpered as the other picked up the handkerchief.	I swear it, I swear it!" raved the prisoner. "Wait, wait!" he whimpered as the other picked up the handkerchief.	true	695.535	701.92	29.552858
2010_147045_000065_000002	"Do you know what has happened to Miss Rider?"	"Do you know what has happened to Miss Rider?"	true	701.93	704.02	19.92526
2010_147045_000066_000000	The Chinaman checked his movement.	The Chinaman checked his movement.	true	704.39	706.59	21.415972
2010_147045_000067_000000	"To Miss Rider?" he said quickly. (He pronounced the word "Lider.")	"To Miss Rider?" he said quickly. (He pronounced the word "Lider.")	false	706.59	710.14	24.464268
2010_147045_000068_000000	Brokenly, gaspingly, breathlessly, Milburgh told the story of his meeting with Sam Stay.	Brokenly, gaspingly, breathlessly, Milburgh told the story of his meeting with Sam Stay.	true	711.32	716.415	22
2010_147045_000068_000001	In his distress and mental anguish he reproduced faithfully not only every word, but every intonation, and the Chinaman listened with half-closed eyes.	In his distress and mental anguish he reproduced faithfully not only every word, but every intonation, and the Chinaman listened with half closed eyes.	true	716.415	725.44	21
2010_147045_000068_000002	Then, when Milburgh had finished, he put down his bottle and thrust in the cork.	Then, when Milburgh had finished, he put down his bottle and thrust in the cork.	true	726.08	730.06	22.170609
2010_147045_000069_000000	"My master would wish that the little woman should escape danger," he said.	"My master would wish that the little woman should escape danger," he said.	true	730.55	734.32	23
2010_147045_000069_000001	"To-night he does not return, so I must go myself to the hospital--you can wait."	"To night he does not return, so I must go myself to the hospital-you can wait."	true	734.42	738.94	24
2010_147045_000070_000000	"Let me go," said Milburgh.	"Let me go," said Milburgh.	true	739.46	740.73	19.896124
2010_147045_000070_000001	"I will help you."	"I will help you."	true	740.73	741.67	30
2010_147045_000071_000000	Ling Chu shook his head.	Ling Chu shook his head.	true	742.04	743.71	24.052816
2010_147045_000072_000000	"You can wait," he said with a sinister smile.	"You can wait," he said with a sinister smile.	true	743.96	746.5	22
2010_147045_000072_000001	"I will go first to the hospital and afterwards, if all is well, I will return for you."	"I will go first to the hospital and afterwards, if all is well, I will return for you."	true	746.75	751.78	23
2010_147045_000073_000000	He took a clean white towel from the dressing-table and laid it over his victim's face.	He took a clean white towel from the dressing table and laid it over his victim's face.	true	752.42	756.85	19
2010_147045_000073_000001	Upon the towel he sprinkled the contents of a third bottle which he took from the cupboard, and Milburgh remembered no more until he looked up into the puzzled face of Tarling an hour later.	Upon the towel he sprinkled the contents of a third bottle which he took from the cupboard, and Milburgh remembered no more until he looked up into the puzzled face of Tarling an hour later.	false	756.98	775.32	21.266705
