7229_80656_000001_000000	Chapter XVII.	Chapter seventeen.
7229_80656_000011_000000	Many people were more or less interested in the case and they came to the Sherwood home and talked excitedly about it in the big kitchen.	Many people were more or less interested in the case and they came to the Sherwood home and talked excitedly about it in the big kitchen.
7229_80656_000011_000001	Some advised an utter disregard of the law.	Some advised an utter disregard of the law.
7229_80656_000011_000002	Others were evidently minded to increase the trouble between Raffer and Uncle Henry by malicious tale-bearing.	Others were evidently minded to increase the trouble between Raffer and Uncle Henry by malicious tale bearing.
7229_80656_000013_000000	Toby was still a vigorous man save when that bane of the woodsman, rheumatism, laid him by the heels.	Toby was still a vigorous man save when that bane of the woodsman, rheumatism, laid him by the heels.
7229_80656_000013_000001	He had a bit of a farm in the tamarack swamp.	He had a bit of a farm in the tamarack swamp.
7229_80656_000013_000002	Once, being laid up by his arch enemy, with his joints stiffened and muscles throbbing with pain, Toby had seen the gaunt wolf of starvation, more terrible than any timber wolf, waiting at his doorstone.	Once, being laid up by his arch enemy, with his joints stiffened and muscles throbbing with pain, Toby had seen the gaunt wolf of starvation, more terrible than any timber wolf, waiting at his doorstone.
7229_80656_000013_000003	His old wife and a crippled grandson were dependent on Toby, too.	His old wife and a crippled grandson were dependent on Toby, too.
7229_80656_000014_000001	It was a pitifully small sum Raffer would advance upon the little farm; but it was sufficient to put Toby in the usurer's power.	It was a pitifully small sum Raffer would advance upon the little farm; but it was sufficient to put Toby in the usurer's power.
7229_80656_000014_000002	This was the story Nan learned regarding Toby.	This was the story Nan learned regarding Toby.
7229_80656_000014_000003	And Uncle Henry believed that Toby, with his old-time knowledge of land-boundaries, could tell, if he would, which was right in the present contention between Mr. Sherwood and Gedney Raffer.	And Uncle Henry believed that Toby, with his old time knowledge of land boundaries, could tell, if he would, which was right in the present contention between mr Sherwood and Gedney Raffer.
7229_80656_000015_000000	These, and many other subjects of thought, kept the mind of Nan Sherwood occupied during the first few weeks of her sojourn at Pine Camp.	These, and many other subjects of thought, kept the mind of Nan Sherwood occupied during the first few weeks of her sojourn at Pine Camp.
7229_80656_000015_000001	She had, too, to keep up her diary that she had begun for Bess Harley's particular benefit.	She had, too, to keep up her diary that she had begun for Bess Harley's particular benefit.
7229_80656_000015_000002	Every week she sent off to Tillbury a bulky section of this report of her life in the Big woods.	Every week she sent off to Tillbury a bulky section of this report of her life in the Big woods.
7229_80656_000015_000003	It was quite wonderful how much there proved to be to write about.	It was quite wonderful how much there proved to be to write about.
7229_80656_000015_000004	Bess wrote back, enviously, that never did anything interesting, by any possibility, happen, now that Nan was away from Tillbury.	Bess wrote back, enviously, that never did anything interesting, by any possibility, happen, now that Nan was away from Tillbury.
7229_80656_000015_000005	The town was "as dull as ditch water." She, Bess, lived only in hopes of meeting her chum at Lakeview Hall the next September.	The town was "as dull as ditch water." She, Bess, lived only in hopes of meeting her chum at Lakeview Hall the next September.
7229_80656_000016_000000	This hope Nan shared.	This hope Nan shared.
7229_80656_000016_000001	But it all lay with the result of Momsey's and Papa Sherwood's visit to Scotland and Emberon Castle.	But it all lay with the result of Momsey's and Papa Sherwood's visit to Scotland and Emberon Castle.
7229_80656_000016_000002	And, Nan thought, it seemed as though her parents never would even reach that far distant goal.	And, Nan thought, it seemed as though her parents never would even reach that far distant goal.
7229_80656_000017_000000	They had taken a slow ship for Momsey's benefit and the expected re-telegraphed cablegram was looked for at the Forks for a week before it possibly could come.	They had taken a slow ship for Momsey's benefit and the expected re telegraphed cablegram was looked for at the Forks for a week before it possibly could come.
7229_80656_000018_000000	It was a gala day marked on Nan's calendar when Uncle Henry, coming home from the railroad station behind the roan ponies, called to her to come out and get the message.	It was a gala day marked on Nan's calendar when Uncle Henry, coming home from the railroad station behind the roan ponies, called to her to come out and get the message.
7229_80656_000018_000001	Momsey and Papa Sherwood had sent it from Glasgow, and were on their way to Edinburgh before Nan received the word.	Momsey and Papa Sherwood had sent it from Glasgow, and were on their way to Edinburgh before Nan received the word.
7229_80656_000018_000002	Momsey had been very ill a part of the way across the ocean, but went ashore in improved health.	Momsey had been very ill a part of the way across the ocean, but went ashore in improved health.
7229_80656_000019_000000	Nan was indeed happy at this juncture.	Nan was indeed happy at this juncture.
7229_80656_000019_000001	Her parents were safely over their voyage on the wintry ocean, so a part of her worry of mind was lifted.	Her parents were safely over their voyage on the wintry ocean, so a part of her worry of mind was lifted.
7229_80656_000020_000000	Meanwhile spring was stealing upon Pine Camp without Nan's being really aware of the fact.	Meanwhile spring was stealing upon Pine Camp without Nan's being really aware of the fact.
7229_80656_000020_000001	Uncle Henry had said, back in Chicago, that "the back of winter was broken"; but the extreme cold weather and the deep snow she had found in the Big Woods made Nan forget that March was passing and timid April was treading on his heels.	Uncle Henry had said, back in Chicago, that "the back of winter was broken"; but the extreme cold weather and the deep snow she had found in the Big Woods made Nan forget that March was passing and timid April was treading on his heels.
7229_80656_000021_000000	A rain lasting two days and a night washed the roads of snow and turned the fast disappearing drifts to a dirty yellow hue.	A rain lasting two days and a night washed the roads of snow and turned the fast disappearing drifts to a dirty yellow hue.
7229_80656_000021_000001	In sheltered fence corners and nooks in the wood, the grass lifted new, green blades, and queer little Margaret Llewellen showed Nan where the first anemones and violets hid under last year's drifted leaves.	In sheltered fence corners and nooks in the wood, the grass lifted new, green blades, and queer little Margaret Llewellen showed Nan where the first anemones and violets hid under last year's drifted leaves.
7229_80656_000022_000000	The river ice went out with a rush after it had rained a few hours; after that the "drives" of logs were soon started.	The river ice went out with a rush after it had rained a few hours; after that the "drives" of logs were soon started.
7229_80656_000022_000001	Nan went down to the long, high bridge which spanned the river and watched the flood carry the logs through.	Nan went down to the long, high bridge which spanned the river and watched the flood carry the logs through.
7229_80656_000023_000000	At first they came scatteringly, riding the foaming waves end-on, and sometimes colliding with the stone piers of the bridge with sufficient force to split the unhewn timbers from end to end, some being laid open as neatly as though done with axe and wedge.	At first they came scatteringly, riding the foaming waves end on, and sometimes colliding with the stone piers of the bridge with sufficient force to split the unhewn timbers from end to end, some being laid open as neatly as though done with axe and wedge.
7229_80656_000024_000000	When the main body of the drive arrived, however, the logs were like herded cattle, milling in the eddies, stampeded by a cross-current, bunching under the bridge arches like frightened steers in a chute.	When the main body of the drive arrived, however, the logs were like herded cattle, milling in the eddies, stampeded by a cross current, bunching under the bridge arches like frightened steers in a chute.
7229_80656_000024_000001	And the drivers herded the logs with all the skill of cowboys on the range.	And the drivers herded the logs with all the skill of cowboys on the range.
7229_80656_000025_000000	Each drive was attended by its own crew, who guarded the logs on either bank, launching those that shoaled on the numerous sandbars or in the shallows, keeping them from piling up in coves and in the mouths of estuaries, or creeks, some going ahead at the bends to fend off and break up any formation of the drifting timbers that promised to become a jam.	Each drive was attended by its own crew, who guarded the logs on either bank, launching those that shoaled on the numerous sandbars or in the shallows, keeping them from piling up in coves and in the mouths of estuaries, or creeks, some going ahead at the bends to fend off and break up any formation of the drifting timbers that promised to become a jam.
7229_80656_000026_000000	Behind the drive floated the square bowed and square sterned chuck-boat, which carried cook and provisions for the men.	Behind the drive floated the square bowed and square sterned chuck boat, which carried cook and provisions for the men.
7229_80656_000026_000001	A "boom", logs chained together, end to end, was thrown out from one shore of the wide stream at night, and anchored at its outer end.	A "boom", logs chained together, end to end, was thrown out from one shore of the wide stream at night, and anchored at its outer end.
7229_80656_000026_000002	Behind this the logs were gathered in an orderly, compact mass and the men could generally get their sleep, save for the watchman; unless there came a sudden rise of water in the night.	Behind this the logs were gathered in an orderly, compact mass and the men could generally get their sleep, save for the watchman; unless there came a sudden rise of water in the night.
7229_80656_000027_000000	It was a sight long to be remembered, Nan thought, when the boom was broken in the morning.	It was a sight long to be remembered, Nan thought, when the boom was broken in the morning.
7229_80656_000027_000001	Sometimes an increasing current piled the logs up a good bit.	Sometimes an increasing current piled the logs up a good bit.
7229_80656_000027_000002	It was a fear-compelling view the girl had of the river on one day when she went with Uncle Henry to see the first drive from Blackton's camp.	It was a fear compelling view the girl had of the river on one day when she went with Uncle Henry to see the first drive from Blackton's camp.
7229_80656_000027_000003	Tom was coming home with his team and was not engaged in the drive.	Tom was coming home with his team and was not engaged in the drive.
7229_80656_000027_000004	But reckless Rafe was considered, for his age, a very smart hand on a log drive.	But reckless Rafe was considered, for his age, a very smart hand on a log drive.
7229_80656_000028_000000	The river had risen two feet at the Pine Camp bridge overnight.	The river had risen two feet at the Pine Camp bridge overnight.
7229_80656_000028_000001	It was a boiling brown flood, covered with drifting foam and debris.	It was a boiling brown flood, covered with drifting foam and debris.
7229_80656_000028_000002	The roar of the freshet awoke Nan in her bed before daybreak.	The roar of the freshet awoke Nan in her bed before daybreak.
7229_80656_000028_000003	So she was not surprised to see the river in such a turmoil when, after a hasty breakfast, she and Uncle Henry walked beside the flood.	So she was not surprised to see the river in such a turmoil when, after a hasty breakfast, she and Uncle Henry walked beside the flood.
7229_80656_000029_000000	"They started their drive last night," Uncle Henry said, "and boomed her just below the campsite.	"They started their drive last night," Uncle Henry said, "and boomed her just below the campsite.
7229_80656_000029_000001	We'll go up to Dead Man's Bend and watch her come down.	We'll go up to Dead Man's Bend and watch her come down.
7229_80656_000029_000002	There is no other drive betwixt us and Blackton's."	There is no other drive betwixt us and Blackton's."
7229_80656_000030_000000	"Why is it called by such a horrid name, Uncle?" asked Nan.	"Why is it called by such a horrid name, Uncle?" asked Nan.
7229_80656_000031_000000	"What, honey?" he responded.	"What, honey?" he responded.
7229_80656_000032_000000	"That bend in the river."	"That bend in the river."
7229_80656_000033_000001	She's just called that.	She's just called that.
7229_80656_000033_000002	Many a man's lost his life there since I came into this part of the country, that's a fact.	Many a man's lost his life there since I came into this part of the country, that's a fact.
