205_159056_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
205_159056_000021_000001	She was eighteen years younger than his father, and was very tall and handsome.	She was eighteen years younger than his father, and was very tall and handsome.
205_159056_000021_000002	Wolfe thought there was no one like her.	Wolfe thought there was no one like her.
205_159056_000021_000003	When he was a colonel, and had been through the wars and at court, he still believed she was 'a match for all the beauties.' He was not lucky enough to take after her in looks, except in her one weak feature, a cutaway chin.	When he was a colonel, and had been through the wars and at court, he still believed she was 'a match for all the beauties.' He was not lucky enough to take after her in looks, except in her one weak feature, a cutaway chin.
205_159056_000021_000004	His body, indeed, seems to have been made up of the bad points of both parents: he had his rheumatism from his father.	His body, indeed, seems to have been made up of the bad points of both parents: he had his rheumatism from his father.
205_159056_000021_000005	But his spirit was made up of all their good points; and no braver ever lived in any healthy body than in his own sickly, lanky six foot three.	But his spirit was made up of all their good points; and no braver ever lived in any healthy body than in his own sickly, lanky six foot three.
205_159056_000022_000001	Two other houses in the little country town of Westerham are full of memories of Wolfe.	Two other houses in the little country town of Westerham are full of memories of Wolfe.
205_159056_000022_000002	One of these was his father's, a house more than two hundred years old when he was born.	One of these was his father's, a house more than two hundred years old when he was born.
205_159056_000022_000003	It was built in the reign of Henry VII, and the loyal subject who built it had the king's coat of arms carved over the big stone fireplace.	It was built in the reign of Henry the seventh, and the loyal subject who built it had the king's coat of arms carved over the big stone fireplace.
205_159056_000022_000004	Here Wolfe and his younger brother Edward used to sit in the winter evenings with their mother, while their veteran father told them the story of his long campaigns.	Here Wolfe and his younger brother Edward used to sit in the winter evenings with their mother, while their veteran father told them the story of his long campaigns.
205_159056_000022_000005	So, curiously enough, it appears that Wolfe, the soldier who won Canada for England in 1759, sat under the arms of the king in whose service the sailor Cabot hoisted the flag of England over Canadian soil in 1497.	So, curiously enough, it appears that Wolfe, the soldier who won Canada for England in seventeen fifty nine, sat under the arms of the king in whose service the sailor Cabot hoisted the flag of England over Canadian soil in fourteen ninety seven.
205_159056_000022_000007	The other house is Squerryes Court, belonging then and now to the Warde family, the Wolfes' closest friends.	The other house is Squerryes Court, belonging then and now to the Warde family, the Wolfes' closest friends.
205_159056_000022_000008	Wolfe and George Warde were chums from the first day they met. Both wished to go into the Army; and both, of course, 'played soldiers,' like other virile boys.	Wolfe and George Warde were chums from the first day they met. Both wished to go into the Army; and both, of course, 'played soldiers,' like other virile boys.
205_159056_000022_000009	Warde lived to be an old man and actually did become a famous cavalry leader.	Warde lived to be an old man and actually did become a famous cavalry leader.
205_159056_000023_000001	Here he worked quietly enough till just before he entered on his 'teens.	Here he worked quietly enough till just before he entered on his 'teens.
205_159056_000023_000002	Then the long-pent rage of England suddenly burst in war with Spain.	Then the long pent rage of England suddenly burst in war with Spain.
205_159056_000023_000003	The people went wild when the British fleet took Porto Bello, a Spanish port in Central America.	The people went wild when the British fleet took Porto Bello, a Spanish port in Central America.
205_159056_000023_000004	The news was cried through the streets all night.	The news was cried through the streets all night.
205_159056_000023_000006	Ships were fitting out in English harbours.	Ships were fitting out in English harbours.
205_159056_000023_000007	Soldiers were marching into every English camp.	Soldiers were marching into every English camp.
205_159056_000023_000008	Crowds were singing and cheering. First one boy's father and then another's was under orders for the front.	Crowds were singing and cheering. First one boy's father and then another's was under orders for the front.
205_159056_000023_000009	Among them was Wolfe's father, who was made adjutant-general to the forces assembling in the Isle of Wight.	Among them was Wolfe's father, who was made adjutant general to the forces assembling in the Isle of Wight.
205_159056_000023_000011	That was an old tale by this time; but the flames of anger threw it into lurid relief once more.	That was an old tale by this time; but the flames of anger threw it into lurid relief once more.
205_159056_000024_000000	Wolfe was determined to go and fight.	Wolfe was determined to go and fight.
205_159056_000024_000001	Nothing could stop him.	Nothing could stop him.
205_159056_000024_000005	So, one hot day in July 1740, the lanky, red-haired boy of thirteen-and-a-half took his seat on the Portsmouth coach beside his father, the veteran soldier of fifty-five.	So, one hot day in july seventeen forty, the lanky, red haired boy of thirteen and a half took his seat on the Portsmouth coach beside his father, the veteran soldier of fifty five.
205_159056_000024_000006	His mother was a woman of much too fine a spirit to grudge anything for the service of her country; but she could not help being exceptionally anxious about the dangers of disease for a sickly boy in a far-off land of pestilence and fever.	His mother was a woman of much too fine a spirit to grudge anything for the service of her country; but she could not help being exceptionally anxious about the dangers of disease for a sickly boy in a far off land of pestilence and fever.
205_159056_000024_000007	She had written to him the very day he left.	She had written to him the very day he left.
205_159056_000024_000008	But he, full of the stir and excitement of a big camp, had carried the letter in his pocket for two or three days before answering it.	But he, full of the stir and excitement of a big camp, had carried the letter in his pocket for two or three days before answering it.
205_159056_000025_000000	Newport, Isle of Wight, August 6th, 1740.	Newport, Isle of Wight, august sixth seventeen forty.
205_159056_000026_000000	I received my dearest Mamma's letter on Monday last, but could not answer it then, by reason I was at camp to see the regiments off to go on board, and was too late for the post; but am very sorry, dear Mamma, that you doubt my love, which I'm sure is as sincere as ever any son's was to his mother.	I received my dearest Mamma's letter on Monday last, but could not answer it then, by reason I was at camp to see the regiments off to go on board, and was too late for the post; but am very sorry, dear Mamma, that you doubt my love, which I'm sure is as sincere as ever any son's was to his mother.
205_159056_000027_000000	Papa and I are just going on board, but I believe shall not sail this fortnight; in which time, if I can get ashore at Portsmouth or any other town, I will certainly write to you, and, when we are gone, by every ship we meet, because I know it is my duty. Besides, if it is not, I would do it out of love, with pleasure.	Papa and I are just going on board, but I believe shall not sail this fortnight; in which time, if I can get ashore at Portsmouth or any other town, I will certainly write to you, and, when we are gone, by every ship we meet, because I know it is my duty. Besides, if it is not, I would do it out of love, with pleasure.
205_159056_000028_000000	I am sorry to hear that your head is so bad, which I fear is caused by your being so melancholy; but pray, dear Mamma, if you love me, don't give yourself up to fears for us.	I am sorry to hear that your head is so bad, which I fear is caused by your being so melancholy; but pray, dear Mamma, if you love me, don't give yourself up to fears for us.
205_159056_000028_000002	I will, as sure as I live, if it is possible for me, let you know everything that has happened, by every ship; therefore pray, dearest Mamma, don't doubt about it.	I will, as sure as I live, if it is possible for me, let you know everything that has happened, by every ship; therefore pray, dearest Mamma, don't doubt about it.
205_159056_000028_000003	I am in a very good state of health, and am likely to continue so.	I am in a very good state of health, and am likely to continue so.
205_159056_000028_000004	Pray my love to my brother.	Pray my love to my brother.
205_159056_000028_000005	Pray my service to Mr Streton and his family, to Mr and Mrs Weston, and to George Warde when you see him; and pray believe me to be, my dearest Mamma, your most dutiful, loving and affectionate son,	Pray my service to Mr Streton and his family, to Mr and Mrs Weston, and to George Warde when you see him; and pray believe me to be, my dearest Mamma, your most dutiful, loving and affectionate son,
205_159056_000029_000000	J. Wolfe.	J. Wolfe.
205_159056_000030_000000	To Mrs. Wolfe, at her house in Greenwich, Kent.	To mrs Wolfe, at her house in Greenwich, Kent.
205_159056_000031_000001	A long peace had made the country indifferent to the welfare of the Army and Navy.	A long peace had made the country indifferent to the welfare of the Army and Navy.
205_159056_000031_000002	Now men were suddenly being massed together in camps and fleets as if on Purpose to breed disease.	Now men were suddenly being massed together in camps and fleets as if on Purpose to breed disease.
205_159056_000031_000004	The ship in which Wolfe was to sail had been lying idle for years; and her pestilential bilge-water soon began to make the sailors and soldiers sicken and die.	The ship in which Wolfe was to sail had been lying idle for years; and her pestilential bilge water soon began to make the sailors and soldiers sicken and die.
205_159056_000031_000005	Most fortunately, Wolfe was among the first to take ill; and so he was sent home in time to save him from the fevers of Spanish America.	Most fortunately, Wolfe was among the first to take ill; and so he was sent home in time to save him from the fevers of Spanish America.
205_159056_000032_000000	Wolfe was happy to see his mother again, to have his pony to ride and his dogs to play with.	Wolfe was happy to see his mother again, to have his pony to ride and his dogs to play with.
205_159056_000032_000001	But, though he tried his best to stick to his lessons, his heart was wild for the war.	But, though he tried his best to stick to his lessons, his heart was wild for the war.
205_159056_000032_000002	He and George Warde used to go every day during the Christmas holidays behind the pigeon-house at Squerryes Court and practise with their swords and pistols.	He and George Warde used to go every day during the Christmas holidays behind the pigeon house at Squerryes Court and practise with their swords and pistols.
205_159056_000032_000003	One day they stopped when they heard the post-horn blowing at the gate; and both of them became very much excited when George's father came out himself with a big official envelope marked 'On His Majesty's Service' and addressed to 'James Wolfe, Esquire.' Inside was a commission as second lieutenant in the Marines, signed by George II and dated at St James's Palace, November 3, 1741.	One day they stopped when they heard the post horn blowing at the gate; and both of them became very much excited when George's father came out himself with a big official envelope marked 'On His Majesty's Service' and addressed to 'james Wolfe, Esquire.' Inside was a commission as second lieutenant in the Marines, signed by George the second and dated at saint James's Palace, november third seventeen forty one.
205_159056_000032_000004	Eighteen years later, when the fame of the conquest of Canada was the talk of the kingdom, the Wardes had a stone monument built to mark the spot where Wolfe was standing when the squire handed him his first commission.	Eighteen years later, when the fame of the conquest of Canada was the talk of the kingdom, the Wardes had a stone monument built to mark the spot where Wolfe was standing when the squire handed him his first commission.
205_159056_000032_000005	And there it is to-day; and on it are the verses ending,	And there it is to day; and on it are the verses ending,
205_159056_000033_000000	This spot so sacred will forever claim A proud alliance with its hero's name.	This spot so sacred will forever claim A proud alliance with its hero's name.
205_159056_000034_000000	Wolfe was at last an officer.	Wolfe was at last an officer.
205_159056_000034_000001	But the Marines were not the corps for him.	But the Marines were not the corps for him.
205_159056_000034_000002	Their service companies were five thousand miles away, while war with France was breaking out much nearer home.	Their service companies were five thousand miles away, while war with France was breaking out much nearer home.
205_159056_000034_000003	So what was his delight at receiving another commission, on March 25, 1742, as an ensign in the 12th Regiment of Foot!	So what was his delight at receiving another commission, on march twenty fifth seventeen forty two, as an ensign in the twelfth Regiment of Foot!
205_159056_000034_000004	He was now fifteen, an officer, a soldier born and bred, eager to serve his country, and just appointed to a regiment ordered to the front!	He was now fifteen, an officer, a soldier born and bred, eager to serve his country, and just appointed to a regiment ordered to the front!
205_159056_000034_000005	Within a month an army such as no one had seen since the days of Marlborough had been assembled at Blackheath. Infantry, cavalry, artillery, and engineers, they were all there when King George II, the Prince of Wales, and the Duke of Cumberland came down to review them.	Within a month an army such as no one had seen since the days of Marlborough had been assembled at Blackheath. Infantry, cavalry, artillery, and engineers, they were all there when King George the second, the Prince of Wales, and the Duke of Cumberland came down to review them.
