596_139612_000000_000000	This is the congratulatory ending of the Happy Hunter and the Skillful Fisher.	This is the congratulatory ending of the Happy Hunter and the Skillful Fisher.	false	3.93	24.21	21.82671
596_139612_000008_000000	Shiro's master thought this a strange request, because he knew quite well that not only did his neighbor not love his pet dog, but that he never lost an opportunity of striking and tormenting him whenever the dog crossed his path.	Shiro's master thought this a strange request, because he knew quite well that not only did his neighbor not love his pet dog, but that he never lost an opportunity of striking and tormenting him whenever the dog crossed his path.	true	258.5	275.055	17
596_139612_000008_000001	But the good old man was too kind-hearted to refuse his neighbor, so he consented to lend the dog on condition that he should be taken great care of.	But the good old man was too kind hearted to refuse his neighbor, so he consented to lend the dog on condition that he should be taken great care of.	true	275.055	285.37	15
596_139612_000009_000000	The wicked old man returned to his home with an evil smile on his face, and told his wife how he had succeeded in his crafty intentions.	The wicked old man returned to his home with an evil smile on his face, and told his wife how he had succeeded in his crafty intentions.	true	285.68	295.3	13
596_139612_000009_000001	He then took his spade and hastened to his own field, forcing the unwilling Shiro to follow him.	He then took his spade and hastened to his own field, forcing the unwilling Shiro to follow him.	true	295.61	303.49	20
596_139612_000009_000002	As soon as he reached a yenoki tree, he said to the dog, threateningly:	As soon as he reached a yenoki tree, he said to the dog, threateningly:	true	303.53	308.29	18
596_139612_000010_000000	"If there were gold coins under your master's tree, there must also be gold coins under my tree.	"If there were gold coins under your master's tree, there must also be gold coins under my tree.	false	308.51	314.92	15
596_139612_000010_000001	You must find them for me!	You must find them for me!	true	315.08	316.87	21.891975
596_139612_000010_000002	Where are they? Where?	Where are they? Where?	true	317.09	318.7	22.062595
596_139612_000010_000003	Where?"	Where?"	true	318.83	319.54	24.622442
596_139612_000011_000000	And catching hold of Shiro's neck he held the dog's head to the ground, so that Shiro began to scratch and dig in order to free himself from the horrid old man's grasp.	And catching hold of Shiro's neck he held the dog's head to the ground, so that Shiro began to scratch and dig in order to free himself from the horrid old man's grasp.	true	319.73	330.48	15
596_139612_000012_000000	The old man was very pleased when he saw the dog begin to scratch and dig, for he at once supposed that some gold coins lay buried under his tree as well as under his neighbor's, and that the dog had scented them as before; so pushing Shiro away he began to dig himself, but there was nothing to be found.	The old man was very pleased when he saw the dog begin to scratch and dig, for he at once supposed that some gold coins lay buried under his tree as well as under his neighbor's, and that the dog had scented them as before; so pushing Shiro away he began to dig himself, but there was nothing to be found.	false	330.48	351.22	13
596_139612_000012_000001	As he went on digging a foul smell was noticeable, and he at last came upon a refuse heap.	As he went on digging a foul smell was noticeable, and he at last came upon a refuse heap.	true	351.41	359.04	19.176485
596_139612_000013_000000	The old man's disgust can be imagined.	The old man's disgust can be imagined.	false	359.04	361.87	17
596_139612_000013_000001	This soon gave way to anger.	This soon gave way to anger.	true	362.03	364.24	18.038204
596_139612_000013_000002	He had seen his neighbor's good fortune, and hoping for the same luck himself, he had borrowed the dog Shiro; and now, just as he seemed on the point of finding what he sought, only a horrid smelling refuse heap had rewarded him for a morning's digging.	He had seen his neighbor's good fortune, and hoping for the same luck himself, he had borrowed the dog Shiro; and now, just as he seemed on the point of finding what he sought, only a horrid smelling refuse heap had rewarded him for a morning's digging.	false	364.31	381.705	15
596_139612_000013_000003	Instead of blaming his own greed for his disappointment, he blamed the poor dog.	Instead of blaming his own greed for his disappointment, he blamed the poor dog.	true	381.705	387.18	19
596_139612_000013_000004	He seized his spade, and with all his strength struck Shiro and killed him on the spot.	He seized his spade, and with all his strength struck Shiro and killed him on the spot.	true	387.18	394.42	21
596_139612_000013_000005	He then threw the dog's body into the hole which he had dug in the hope of finding a treasure of gold coins, and covered it over with the earth.	He then threw the dog's body into the hole which he had dug in the hope of finding a treasure of gold coins, and covered it over with the earth.	true	394.7	402.94	15
596_139612_000013_000006	Then he returned to the house, telling no one, not even his wife, what he had done.	Then he returned to the house, telling no one, not even his wife, what he had done.	true	403.1	409.27	20.871218
596_139612_000014_000000	After waiting several days, as the dog Shiro did not return, his master began to grow anxious.	After waiting several days, as the dog Shiro did not return, his master began to grow anxious.	true	409.49	416.56	16
596_139612_000014_000001	Day after day went by and the good old man waited in vain.	Day after day went by and the good old man waited in vain.	true	416.78	421.54	16
596_139612_000014_000002	Then he went to his neighbor and asked him to give him back his dog.	Then he went to his neighbor and asked him to give him back his dog.	true	421.58	426.045	19
596_139612_000014_000003	Without any shame or hesitation, the wicked neighbor answered that he had killed Shiro because of his bad behavior.	Without any shame or hesitation, the wicked neighbor answered that he had killed Shiro because of his bad behavior.	true	426.045	433.9	16
596_139612_000014_000004	At this dreadful news Shiro's master wept many sad and bitter tears.	At this dreadful news Shiro's master wept many sad and bitter tears.	true	434	440.26	19
596_139612_000014_000005	Great indeed, was his woful surprise, but he was too good and gentle to reproach his bad neighbor.	Great indeed, was his woful surprise, but he was too good and gentle to reproach his bad neighbor.	false	440.39	447.76	18
596_139612_000014_000006	Learning that Shiro was buried under the yenoki tree in the field, he asked the old man to give him the tree, in remembrance of his poor dog Shiro.	Learning that Shiro was buried under the yenoki tree in the field, he asked the old man to give him the tree, in remembrance of his poor dog Shiro.	true	447.83	457.275	16
596_139612_000015_000000	Even the cross old neighbor could not refuse such a simple request, so he consented to give the old man the tree under which Shiro lay buried. Shiro's master then cut the tree down and carried it home.	Even the cross old neighbor could not refuse such a simple request, so he consented to give the old man the tree under which Shiro lay buried. Shiro's master then cut the tree down and carried it home.	true	457.275	470.65	18
596_139612_000015_000001	Out of the trunk he made a mortar.	Out of the trunk he made a mortar.	true	470.75	473.38	22
596_139612_000015_000002	In this his wife put some rice, and he began to pound it with the intention of making a festival to the memory of his dog Shiro.	In this his wife put some rice, and he began to pound it with the intention of making a festival to the memory of his dog Shiro.	true	473.63	482.2	17
596_139612_000016_000000	A strange thing happened!	A strange thing happened!	true	482.57	484.63	19
596_139612_000016_000001	His wife put the rice into the mortar, and no sooner had he begun to pound it to make the cakes, than it began to increase in quantity gradually till it was about five times the original amount, and the cakes were turned out of the mortar as if an invisible hand were at work.	His wife put the rice into the mortar, and no sooner had he begun to pound it to make the cakes, than it began to increase in quantity gradually till it was about five times the original amount, and the cakes were turned out of the mortar as if an invisible hand were at work.	false	484.76	504.19	19
596_139612_000017_000000	When the old man and his wife saw this, they understood that it was a reward to them from Shiro for their faithful love to him.	When the old man and his wife saw this, they understood that it was a reward to them from Shiro for their faithful love to him.	true	504.35	513.07	16
596_139612_000017_000001	They tasted the cakes and found them nicer than any other food.	They tasted the cakes and found them nicer than any other food.	true	513.14	517.665	20
596_139612_000017_000002	So from this time they never troubled about food, for they lived upon the cakes with which the mortar never ceased to supply them.	So from this time they never troubled about food, for they lived upon the cakes with which the mortar never ceased to supply them.	true	517.665	526.45	16
596_139612_000018_000000	The greedy neighbor, hearing of this new piece of good luck, was filled with envy as before, and called on the old man and asked leave to borrow the wonderful mortar for a short time, pretending that he, too, sorrowed for the death of Shiro, and wished to make cakes for a festival to the dog's memory.	The greedy neighbor, hearing of this new piece of good luck, was filled with envy as before, and called on the old man and asked leave to borrow the wonderful mortar for a short time, pretending that he, too, sorrowed for the death of Shiro, and wished to make cakes for a festival to the dog's memory.	true	526.73	546.58	17
596_139612_000019_000000	The old man did not in the least wish to lend it to his cruel neighbor, but he was too kind to refuse.	The old man did not in the least wish to lend it to his cruel neighbor, but he was too kind to refuse.	true	546.95	554.68	17
596_139612_000019_000001	So the envious man carried home the mortar, but he never brought it back.	So the envious man carried home the mortar, but he never brought it back.	true	554.9	560.47	19.792488
596_139612_000020_000000	Several days passed, and Shiro's master waited in vain for the mortar, so he went to call on the borrower, and asked him to be good enough to return the mortar if he had finished with it.	Several days passed, and Shiro's master waited in vain for the mortar, so he went to call on the borrower, and asked him to be good enough to return the mortar if he had finished with it.	true	560.69	573.22	19
596_139612_000020_000001	He found him sitting by a big fire made of pieces of wood.	He found him sitting by a big fire made of pieces of wood.	true	573.59	577.69	18
596_139612_000020_000002	On the ground lay what looked very much like pieces of a broken mortar.	On the ground lay what looked very much like pieces of a broken mortar.	true	577.97	583.6	15
596_139612_000020_000003	In answer to the old man's inquiry, the wicked neighbor answered haughtily:	In answer to the old man's inquiry, the wicked neighbor answered haughtily:	true	583.97	589.03	14
596_139612_000021_000000	"Have you come to ask me for your mortar?	"Have you come to ask me for your mortar?	true	589.19	592.08	11
596_139612_000021_000001	I broke it to pieces, and now I am making a fire of the wood, for when I tried to pound cakes in it only some horrid smelling stuff came out."	I broke it to pieces, and now I am making a fire of the wood, for when I tried to pound cakes in it only some horrid smelling stuff came out."	true	592.08	603.34	19
596_139612_000022_000000	The good old man said:	The good old man said:	true	603.65	605.265	16.432575
596_139612_000023_000000	"I am very sorry for that.	"I am very sorry for that.	true	605.265	607	16
596_139612_000023_000001	It is a great pity you did not ask me for the cakes if you wanted them.	It is a great pity you did not ask me for the cakes if you wanted them.	false	607.22	611.95	15
596_139612_000023_000002	I would have given you as many as ever you wanted.	I would have given you as many as ever you wanted.	true	612.26	615.58	13
596_139612_000023_000003	Now please give me the ashes of the mortar, as I wish to keep them in remembrance of my dog."	Now please give me the ashes of the mortar, as I wish to keep them in remembrance of my dog."	true	615.92	622.72	20
596_139612_000024_000000	The neighbor consented at once, and the old man carried home a basket full of ashes.	The neighbor consented at once, and the old man carried home a basket full of ashes.	true	622.79	629.08	18
596_139612_000025_000000	Not long after this the old man accidentally scattered some of the ashes made by the burning of the mortar on the trees of his garden.	Not long after this the old man accidentally scattered some of the ashes made by the burning of the mortar on the trees of his garden.	true	629.54	637.87	11
596_139612_000025_000001	A wonderful thing happened!	A wonderful thing happened!	true	638.27	640.54	18.956636
596_139612_000026_000000	It was late in autumn and all the trees had shed their leaves, but no sooner did the ashes touch their branches than the cherry trees, the plum trees, and all other blossoming shrubs burst into bloom, so that the old man's garden was suddenly transformed into a beautiful picture of spring.	It was late in autumn and all the trees had shed their leaves, but no sooner did the ashes touch their branches than the cherry trees, the plum trees, and all other blossoming shrubs burst into bloom, so that the old man's garden was suddenly transformed into a beautiful picture of spring.	true	640.76	663.58	16
596_139612_000026_000001	The old man's delight knew no bounds, and he carefully preserved the remaining ashes.	The old man's delight knew no bounds, and he carefully preserved the remaining ashes.	true	663.8	669.88	14
596_139612_000027_000000	The story of the old man's garden spread far and wide, and people from far and near came to see the wonderful sight.	The story of the old man's garden spread far and wide, and people from far and near came to see the wonderful sight.	true	670.4	678.55	12
596_139612_000028_000000	One day, soon after this, the old man heard some one knocking at his door, and going to the porch to see who it was he was surprised to see a Knight standing there.	One day, soon after this, the old man heard some one knocking at his door, and going to the porch to see who it was he was surprised to see a Knight standing there.	true	679.04	691.27	17
596_139612_000028_000001	This Knight told him that he was a retainer of a great Daimio (Earl); that one of the favorite cherry trees in this nobleman's garden had withered, and that though every one in his service had tried all manner of means to revive it, none took effect. The Knight was sore perplexed when he saw what great displeasure the loss of his favorite cherry tree caused the Daimio.	This Knight told him that he was a retainer of a great Daimio (Earl); that one of the favorite cherry trees in this nobleman's garden had withered, and that though every one in his service had tried all manner of means to revive it, none took effect. The Knight was sore perplexed when he saw what great displeasure the loss of his favorite cherry tree caused the Daimio.	true	691.58	718.84	20
596_139612_000028_000002	At this point, fortunately, they had heard that there was a wonderful old man who could make withered trees to blossom, and that his Lord had sent him to ask the old man to come to him.	At this point, fortunately, they had heard that there was a wonderful old man who could make withered trees to blossom, and that his Lord had sent him to ask the old man to come to him.	true	719.09	730.96	15
596_139612_000029_000000	"And," added the Knight, "I shall be very much obliged if you will come at once."	"And," added the Knight, "I shall be very much obliged if you will come at once."	true	731.42	737.32	23.043533
596_139612_000030_000000	The good old man was greatly surprised at what he heard, but respectfully followed the Knight to the nobleman's Palace.	The good old man was greatly surprised at what he heard, but respectfully followed the Knight to the nobleman's Palace.	true	737.87	745.09	14
596_139612_000031_000000	The Daimio, who had been impatiently awaiting the old man's coming, as soon as he saw him asked him at once:	The Daimio, who had been impatiently awaiting the old man's coming, as soon as he saw him asked him at once:	true	745.43	752.89	13
596_139612_000032_000000	"Are you the old man who can make withered trees flower even out of season?"	"Are you the old man who can make withered trees flower even out of season?"	true	753.14	757.99	13
596_139612_000033_000000	The old man made an obeisance, and replied:	The old man made an obeisance, and replied:	true	758.57	761.47	14
596_139612_000034_000000	"I am that old man!"	"I am that old man!"	true	761.87	763.69	18.380009
596_139612_000035_000000	Then the Daimio said:	Then the Daimio said:	true	764.27	766.03	18
596_139612_000036_000000	"You must make that dead cherry tree in my garden blossom again by means of your famous ashes.	"You must make that dead cherry tree in my garden blossom again by means of your famous ashes.	true	766.16	772.09	10
596_139612_000036_000001	I shall look on."	I shall look on."	true	772.31	773.74	27
596_139612_000037_000000	Then they all went into the garden--the Daimio and his retainers and the ladies-in waiting, who carried the Daimio's sword.	Then they all went into the garden-the Daimio and his retainers and the ladies in waiting, who carried the Daimio's sword.	true	774.17	782.44	17
596_139612_000038_000000	The old man now tucked up his kimono and made ready to climb the tree. Saying "Excuse me," he took the pot of ashes which he had brought with him, and began to climb the tree, every one watching his movements with great interest.	The old man now tucked up his kimono and made ready to climb the tree. Saying "Excuse me," he took the pot of ashes which he had brought with him, and began to climb the tree, every one watching his movements with great interest.	true	782.6	797.92	19
596_139612_000039_000000	At last he climbed to the spot where the tree divided into two great branches, and taking up his position here, the old man sat down and scattered the ashes right and left all over the branches and twigs.	At last he climbed to the spot where the tree divided into two great branches, and taking up his position here, the old man sat down and scattered the ashes right and left all over the branches and twigs.	true	798.02	812.89	19
596_139612_000040_000000	Wonderful, indeed, was the result!	Wonderful, indeed, was the result!	true	813.08	815.71	18.876055
596_139612_000040_000001	The withered tree at once burst into full bloom!	The withered tree at once burst into full bloom!	true	815.72	819.915	18
596_139612_000040_000002	The Daimio was so transported with joy that he looked as if he would go mad.	The Daimio was so transported with joy that he looked as if he would go mad.	true	819.915	825.34	17
596_139612_000040_000003	He rose to his feet and spread out his fan, calling the old man down from the tree.	He rose to his feet and spread out his fan, calling the old man down from the tree.	true	825.59	831.64	17
596_139612_000040_000004	He himself gave the old man a wine cup filled with the best SAKE, and rewarded him with much silver and gold and many other precious things.	He himself gave the old man a wine cup filled with the best SAKE, and rewarded him with much silver and gold and many other precious things.	true	831.95	842.59	17
596_139612_000040_000005	The Daimio ordered that henceforth the old man should call himself by the name of Hana-Saka-Jijii, or "The Old Man who makes the Trees to Blossom," and that henceforth all were to recognize him by this name, and he sent him home with great honor.	The Daimio ordered that henceforth the old man should call himself by the name of Hana Saka Jijii, or "The Old Man who makes the Trees to Blossom," and that henceforth all were to recognize him by this name, and he sent him home with great honor.	true	842.84	861.61	22
596_139612_000041_000000	The wicked neighbor, as before, heard of the good old man's fortune, and of all that had so auspiciously befallen him, and he could not suppress all the envy and jealousy that filled his heart.	The wicked neighbor, as before, heard of the good old man's fortune, and of all that had so auspiciously befallen him, and he could not suppress all the envy and jealousy that filled his heart.	true	862.04	875.32	14
596_139612_000041_000001	He called to mind how he had failed in his attempt to find the gold coins, and then in making the magic cakes; this time surely he must succeed if he imitated the old man, who made withered trees to flower simply by sprinkling ashes on them.	He called to mind how he had failed in his attempt to find the gold coins, and then in making the magic cakes; this time surely he must succeed if he imitated the old man, who made withered trees to flower simply by sprinkling ashes on them.	true	875.6	892.75	17
596_139612_000041_000002	This would be the simplest task of all.	This would be the simplest task of all.	true	892.91	895.84	16
596_139612_000042_000000	So he set to work and gathered together all the ashes which remained in the fire-place from the burning of the wonderful mortar.	So he set to work and gathered together all the ashes which remained in the fire place from the burning of the wonderful mortar.	true	896.15	903.97	14
596_139612_000042_000001	Then he set out in the hope of finding some great man to employ him, calling out loudly as he went along:	Then he set out in the hope of finding some great man to employ him, calling out loudly as he went along:	false	904.19	911.37	18.139526
596_139612_000043_000000	"Here comes the wonderful man who can make withered trees blossom!	"Here comes the wonderful man who can make withered trees blossom!	true	911.37	915.345	11
596_139612_000043_000001	Here comes the old man who can make dead trees blossom!"	Here comes the old man who can make dead trees blossom!"	true	915.345	919.39	18
596_139612_000044_000000	The Daimio in his Palace heard this cry, and said:	The Daimio in his Palace heard this cry, and said:	true	919.55	922.9	13
596_139612_000045_000000	"That must be the Hana-Saka-Jijii passing.	"That must be the Hana Saka Jijii passing.	true	923.21	925.9	19
596_139612_000045_000001	I have nothing to do to-day. Let him try his art again; it will amuse me to look on."	I have nothing to do to day. Let him try his art again; it will amuse me to look on."	true	926.12	933.19	19.6934
596_139612_000046_000000	So the retainers went out and brought in the impostor before their Lord.	So the retainers went out and brought in the impostor before their Lord.	true	933.44	937.66	12
596_139612_000046_000001	The satisfaction of false old man can now be imagined.	The satisfaction of false old man can now be imagined.	false	937.94	942.94	13
596_139612_000047_000000	But the Daimio looking at him, thought it strange that he was not at all like the old man he had seen before, so he asked him:	But the Daimio looking at him, thought it strange that he was not at all like the old man he had seen before, so he asked him:	true	942.95	951.91	19
596_139612_000048_000000	"Are you the man whom I named Hana-Saka-Jijii?"	"Are you the man whom I named Hana Saka Jijii?"	true	952.04	955.21	14
596_139612_000049_000000	And the envious neighbor answered with a lie:	And the envious neighbor answered with a lie:	true	955.52	958.27	13
596_139612_000050_000000	"Yes, my Lord!"	"Yes, my Lord!"	true	958.49	959.92	23.818707
596_139612_000051_000000	"That is strange!" said the Daimio.	"That is strange!" said the Daimio.	true	960.29	963.01	23.04716
596_139612_000051_000001	"I thought there was only one Hana-Saka-Jijii in the world!	"I thought there was only one Hana Saka Jijii in the world!	true	963.5	967.27	16
596_139612_000051_000002	Has he now some disciples?"	Has he now some disciples?"	true	967.4	969.7	17
596_139612_000052_000000	"I am the true Hana-Saka-Jijii.	"I am the true Hana Saka Jijii.	true	970.13	972.24	23
596_139612_000052_000001	The one who came to you before was only my disciple!" replied the old man again.	The one who came to you before was only my disciple!" replied the old man again.	false	972.24	977.43	17.439342
596_139612_000053_000000	"Then you must be more skillful than the other.	"Then you must be more skillful than the other.	true	977.43	980.2	15
596_139612_000053_000001	Try what you can do and let me see!"	Try what you can do and let me see!"	false	980.27	983.05	17
596_139612_000054_000000	The envious neighbor, with the Daimio and his Court following, then went into the garden, and approaching a dead tree, took out a handful of the ashes which he carried with him, and scattered them over the tree.	The envious neighbor, with the Daimio and his Court following, then went into the garden, and approaching a dead tree, took out a handful of the ashes which he carried with him, and scattered them over the tree.	false	983.36	997.12	19
596_139612_000055_000000	But not only did the tree not burst into flower, but not even a bud came forth.	But not only did the tree not burst into flower, but not even a bud came forth.	true	997.4	1004.08	21
596_139612_000055_000001	Thinking that he had not used enough ashes, the old man took handfuls and again sprinkled them over the withered tree.	Thinking that he had not used enough ashes, the old man took handfuls and again sprinkled them over the withered tree.	true	1004.18	1012.51	15
596_139612_000055_000002	But all to no effect.	But all to no effect.	true	1012.73	1014.76	23.784313
596_139612_000055_000003	After trying several times, the ashes were blown into the Daimio's eyes.	After trying several times, the ashes were blown into the Daimio's eyes.	true	1014.95	1020.04	10
596_139612_000055_000004	This made him very angry, and he ordered his retainers to arrest the false Hana-Saka-Jijii at once and put him in prison for an impostor.	This made him very angry, and he ordered his retainers to arrest the false Hana Saka Jijii at once and put him in prison for an impostor.	true	1020.23	1030.27	16
596_139612_000055_000005	From this imprisonment the wicked old man was never freed. Thus did he meet with punishment at last for all his evil doings.	From this imprisonment the wicked old man was never freed. Thus did he meet with punishment at last for all his evil doings.	true	1030.61	1041.49	20.472275
596_139612_000056_000000	The good old man, however, with the treasure of gold coins which Shiro had found for him, and with all the gold and the silver which the Daimio had showered on him, became a rich and prosperous man in his old age, and lived a long and happy life, beloved and respected by all.	The good old man, however, with the treasure of gold coins which Shiro had found for him, and with all the gold and the silver which the Daimio had showered on him, became a rich and prosperous man in his old age, and lived a long and happy life, beloved and respected by all.	false	1041.56	1061.82	17
596_139612_000057_000000	THE JELLY FISH AND THE MONKEY.	THE JELLY FISH AND THE MONKEY.	false	1061.82	1062.45	-20
596_139612_000058_000000	Long, long ago, in old Japan, the Kingdom of the Sea was governed by a wonderful King.	Long, long ago, in old Japan, the Kingdom of the Sea was governed by a wonderful King.	false	1062.45	1063.47	27.668272
596_139612_000058_000001	He was called Rin Jin, or the Dragon King of the Sea. His power was immense, for he was the ruler of all sea creatures both great and small, and in his keeping were the Jewels of the Ebb and Flow of the Tide.	He was called r i n Jin, or the Dragon King of the Sea. His power was immense, for he was the ruler of all sea creatures both great and small, and in his keeping were the Jewels of the Ebb and Flow of the Tide.	false	1063.47	1066.02	22
596_139612_000058_000002	The Jewel of the Ebbing Tide when thrown into the ocean caused the sea to recede from the land, and the Jewel of the Flowing Tide made the waves to rise mountains high and to flow in upon the shore like a tidal wave.	The Jewel of the Ebbing Tide when thrown into the ocean caused the sea to recede from the land, and the Jewel of the Flowing Tide made the waves to rise mountains high and to flow in upon the shore like a tidal wave.	false	1066.02	1075.92	22.911997
