64_73712_000005_000000	CHAPTER III.	CHAPTER three.
64_73712_000015_000019	Tell all these good people your name; your two names!	Tell all these good people your name; your two names!
64_73712_000015_000020	I like people with two names.	I like people with two names.
64_73712_000015_000021	Tell them, my dear, tell them; tell them your name, Mrs. Thingabob, or whatever it is, Mrs. Thingabob Twoshoes.'	Tell them, my dear, tell them; tell them your name, mrs Thingabob, or whatever it is, mrs Thingabob Twoshoes.'
64_73712_000016_000000	Mrs. Montgomery Floyd, though rather annoyed by this appeal, still contrived to comply with the request in the most dignified manner; and all the servants bowed to Mrs. Montgomery Floyd.	mrs Montgomery Floyd, though rather annoyed by this appeal, still contrived to comply with the request in the most dignified manner; and all the servants bowed to mrs Montgomery Floyd.
64_73712_000018_000000	'Man, there's something wanting.	'Man, there's something wanting.
64_73712_000018_000001	I had three things to take charge of. The parrot and my charming friend; that is only two.	I had three things to take charge of. The parrot and my charming friend; that is only two.
64_73712_000018_000002	There is a third. What is it?	There is a third. What is it?
64_73712_000018_000003	You don't know!	You don't know!
64_73712_000018_000004	Here, you man, who are you?	Here, you man, who are you?
64_73712_000018_000006	I knew your master when he was not as high as that cage.	I knew your master when he was not as high as that cage.
64_73712_000018_000007	What do you think of that?' continued her ladyship, with a triumphant smile. 'What do you laugh at, sir?	What do you think of that?' continued her ladyship, with a triumphant smile. 'What do you laugh at, sir?
64_73712_000018_000009	That I would wager you have not.	That I would wager you have not.
64_73712_000018_000010	What do I want?	What do I want?
64_73712_000018_000011	I want something.	I want something.
64_73712_000018_000013	Now, I knew a gentleman who made his fortune by once remembering what a very great man wanted.	Now, I knew a gentleman who made his fortune by once remembering what a very great man wanted.
64_73712_000018_000015	I dare say if I were a minister of state, instead of an old woman ninety years of age, you would contrive somehow or other to find out what I wanted. Never mind, never mind.	I dare say if I were a minister of state, instead of an old woman ninety years of age, you would contrive somehow or other to find out what I wanted. Never mind, never mind.
64_73712_000018_000016	Come, my charming friend, let me take your arm.	Come, my charming friend, let me take your arm.
64_73712_000018_000017	Now I will introduce you to the prettiest, the dearest, the most innocent and charming lady in the world.	Now I will introduce you to the prettiest, the dearest, the most innocent and charming lady in the world.
64_73712_000018_000018	She is my greatest favourite. She is always my favourite.	She is my greatest favourite. She is always my favourite.
64_73712_000018_000020	I always have two favourites: one for the moment, and one that I never change, and that is my sweet Henrietta Temple.	I always have two favourites: one for the moment, and one that I never change, and that is my sweet Henrietta Temple.
64_73712_000018_000025	Gregory! run, Gregory!	Gregory! run, Gregory!
64_73712_000018_000026	It is the page!	It is the page!
64_73712_000018_000027	There was no room for him behind, and I told him to lie under the seat.	There was no room for him behind, and I told him to lie under the seat.
64_73712_000018_000028	Poor dear boy!	Poor dear boy!
64_73712_000018_000029	He must be smothered.	He must be smothered.
64_73712_000018_000031	Has Miss Temple got a page?	Has Miss Temple got a page?
64_73712_000018_000032	Does her page wear a feather?	Does her page wear a feather?
64_73712_000018_000033	My page has not got a feather, but he shall have one, because he was not smothered.	My page has not got a feather, but he shall have one, because he was not smothered.
64_73712_000018_000034	Here! woman, who are you?	Here! woman, who are you?
64_73712_000018_000035	The housemaid.	The housemaid.
64_73712_000018_000036	I thought so.	I thought so.
64_73712_000018_000038	You shall take care of my page.	You shall take care of my page.
64_73712_000018_000039	Take him at once, and give him some milk and water; and, page, be very good, and never leave this good young woman, unless I send for you.	Take him at once, and give him some milk and water; and, page, be very good, and never leave this good young woman, unless I send for you.
64_73712_000018_000040	And, woman, good young woman, perhaps you may find an old feather of Miss Temple's page.	And, woman, good young woman, perhaps you may find an old feather of Miss Temple's page.
