6509_76574_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	11.34	12.91	21.879726
6509_76574_000006_000003	Moreover, laboring under the impression that I don't understand a word they are saying, I observe they are commenting in language smacking unmistakably of covetousness, as to the probable contents of my Whitehouse leather case; some think it is sure to contain chokh para (much money), while others suggest that I am a postaya (courier), and that it contains letters.	Moreover, laboring under the impression that I don't understand a word they are saying, I observe they are commenting in language smacking unmistakably of covetousness, as to the probable contents of my Whitehouse leather case; some think it is sure to contain chokh para (much money), while others suggest that I am a postaya (courier), and that it contains letters.	false	761.48	785.47	19.684082
6509_76574_000006_000004	Under these alarming circumstances there is only one way to manage these overgrown children; that is, to make them afraid of you forthwith; so, shoving the strap-unfastener roughly away, I imperatively order the whole covetous crew to "haidi." Without a moment's hesitation they betake themselves off to their work, it being an inborn trait of their character to mechanically obey an authoritative command.	Under these alarming circumstances there is only one way to manage these overgrown children; that is, to make them afraid of you forthwith; so, shoving the strap unfastener roughly away, I imperatively order the whole covetous crew to "haidi." Without a moment's hesitation they betake themselves off to their work, it being an inborn trait of their character to mechanically obey an authoritative command.	true	785.57	810.94	19.928082
6509_76574_000006_000005	Following them to their other arabas, I find that they have brought quilts along, intending, after loading up to sleep in the field until daylight.	Following them to their other arabas, I find that they have brought quilts along, intending, after loading up to sleep in the field until daylight.	false	811.25	820.48	20.049973
6509_76574_000006_000006	Selecting a good heavy quilt with as little ceremony as though it were my own property, I take it and the bicycle to another shock, and curl myself up warm and comfortable; once or twice the owner of the coverlet approaches quietly, just near enough to ascertain that I am not intending making off with his property, but there is not the slightest danger of being disturbed or molested in any way till morning; thus, in this curious round-about manner, does fortune provide me with the wherewithal to pass a comparatively comfortable night.	Selecting a good heavy quilt with as little ceremony as though it were my own property, I take it and the bicycle to another shock, and curl myself up warm and comfortable; once or twice the owner of the coverlet approaches quietly, just near enough to ascertain that I am not intending making off with his property, but there is not the slightest danger of being disturbed or molested in any way till morning; thus, in this curious round about manner, does fortune provide me with the wherewithal to pass a comparatively comfortable night.	false	820.79	852.58	20.431091
6509_76574_000006_000007	"Rather arbitrary proceedings to take a quilt without asking permission," some might think; but the owner thinks nothing of the kind; it is quite customary for travellers of their own nation to help themselves in this way, and the villagers have come to regard it as quite a natural occurrence.	"Rather arbitrary proceedings to take a quilt without asking permission," some might think; but the owner thinks nothing of the kind; it is quite customary for travellers of their own nation to help themselves in this way, and the villagers have come to regard it as quite a natural occurrence.	true	853.16	868.77	18
6509_76574_000006_000008	At daylight I am again on the move, and sunrise finds me busy making an outline sketch of the ruins of an ancient castle, that occupies, I should imagine, one of the most impregnable positions in all Asia Minor; a regular Gibraltar.	At daylight I am again on the move, and sunrise finds me busy making an outline sketch of the ruins of an ancient castle, that occupies, I should imagine, one of the most impregnable positions in all Asia Minor; a regular Gibraltar.	false	868.77	885.58	19.044302
6509_76574_000006_000009	It occupies the summit of a precipitous detached mountain peak, which is accessible only from one point, all the other sides presenting a sheer precipice of rock; it forms a conspicuous feature of the landscape for many miles around, and situated as it is amid a wilderness of rugged brush-covered heights, admirably suited for ambuscades, it was doubtless a very important position at one time.	It occupies the summit of a precipitous detached mountain peak, which is accessible only from one point, all the other sides presenting a sheer precipice of rock; it forms a conspicuous feature of the landscape for many miles around, and situated as it is amid a wilderness of rugged brush covered heights, admirably suited for ambuscades, it was doubtless a very important position at one time.	false	886.34	910.84	18.303915
6509_76574_000006_000010	It probably belongs to the Byzantine period, and if the number of old graves scattered among the hills indicate anything, it has in its day been the theatre of stirring tragedy.	It probably belongs to the Byzantine period, and if the number of old graves scattered among the hills indicate anything, it has in its day been the theatre of stirring tragedy.	true	911.87	922.54	18.27251
6509_76574_000006_000011	An hour after leaving the frowning battlements of the grim old relic behind, I arrive at a cluster of four rock houses, which are apparently occupied by a sort of a patriarchal family consisting of a turbaned old Turk and his two generations of descendants.	An hour after leaving the frowning battlements of the grim old relic behind, I arrive at a cluster of four rock houses, which are apparently occupied by a sort of a patriarchal family consisting of a turbaned old Turk and his two generations of descendants.	false	923.06	938.14	19
6509_76574_000006_000012	The old fellow is seated on a rock, smoking a cigarette and endeavoring to coax a little comfort from the slanting rays of the morning sun, and I straightway approach him and broach the all-important subject of refreshments.	The old fellow is seated on a rock, smoking a cigarette and endeavoring to coax a little comfort from the slanting rays of the morning sun, and I straightway approach him and broach the all important subject of refreshments.	true	938.84	950.95	13
6509_76574_000006_000013	He turns out to be a fanatical old gentleman, one of those old-school Mussulmans who have neither eye nor ear for anything but the Mohammedan religion; I have irreverently interrupted him in his morning meditations, it seems, and he administers a rebuke in the form of a sidewise glance, such as a Pharisee might be expected to bestow on a Cannibal Islander venturing to approach him, and delivers himself of two deep-fetched sighs of "Allah, Allah!"	He turns out to be a fanatical old gentleman, one of those old school Mussulmans who have neither eye nor ear for anything but the Mohammedan religion; I have irreverently interrupted him in his morning meditations, it seems, and he administers a rebuke in the form of a sidewise glance, such as a Pharisee might be expected to bestow on a Cannibal Islander venturing to approach him, and delivers himself of two deep fetched sighs of "Allah, Allah!"	false	951.41	978.64	19
6509_76574_000007_000000	Anybody would think from his actions that the sanctimonious old man-ikin (five feet three) had made the pilgrimage to Mecca a dozen times, whereas he has evidently not even earned the privilege of wearing a green turban; he has neither been to Mecca himself during his whole unprofitable life nor sent a substitute, and he now thinks of gaining a nice numerous harem, and a walled-in garden, with trees and fountains, cucumbers and carpooses, in the land of the hara fjhuz kiz, by cultivating the spirit of fanaticism at the eleventh hour.	Anybody would think from his actions that the sanctimonious old man ikin (five feet three) had made the pilgrimage to Mecca a dozen times, whereas he has evidently not even earned the privilege of wearing a green turban; he has neither been to Mecca himself during his whole unprofitable life nor sent a substitute, and he now thinks of gaining a nice numerous harem, and a walled in garden, with trees and fountains, cucumbers and carpooses, in the land of the hara f j h u z kiz, by cultivating the spirit of fanaticism at the eleventh hour.	false	980.36	1015.27	19.56988
6509_76574_000007_000001	I feel too independent this morning to sacrifice any of the wellnigh invisible remnant of dignity remaining from the respectable quantity with which I started into Asia, for I still have a couple of the wheaten " quoits"	I feel too independent this morning to sacrifice any of the wellnigh invisible remnant of dignity remaining from the respectable quantity with which I started into Asia, for I still have a couple of the wheaten " quoits"	true	1016.06	1029.16	18
6509_76574_000007_000002	I brought from Yuzgat; so, leaving the ancient Mussulman to his meditations, I push on over the hills, when, coming to a spring, I eat my frugal breakfast, soaking the unbiteable "quoits" in the water.	I brought from Yuzgat; so, leaving the ancient Mussulman to his meditations, I push on over the hills, when, coming to a spring, I eat my frugal breakfast, soaking the unbiteable "quoits" in the water.	false	1029.32	1043.32	20.54781
6509_76574_000007_000003	After getting beyond this hilly region, I emerge upon a level plateau of considerable extent, across which very fair wheeling is found; but before noon the inevitable mountains present themselves again, and some of the acclivities are trundleable only by repeating the stair-climbing process of the Kara Su Pass.	After getting beyond this hilly region, I emerge upon a level plateau of considerable extent, across which very fair wheeling is found; but before noon the inevitable mountains present themselves again, and some of the acclivities are trundleable only by repeating the stair climbing process of the Kara Su Pass.	true	1044.56	1064.41	18.195616
6509_76574_000007_000004	Necessity forces me to seek dinner at a village where abject poverty, beyond anything hitherto encountered, seems to exist.	Necessity forces me to seek dinner at a village where abject poverty, beyond anything hitherto encountered, seems to exist.	true	1065.17	1072.72	10
6509_76574_000007_000005	A decently large fig-leaf, without anything else, would be eminently preferable to the tattered remnants hanging about these people, and among the smaller children puris naturalis is the rule.	A decently large fig leaf, without anything else, would be eminently preferable to the tattered remnants hanging about these people, and among the smaller children puris naturalis is the rule.	false	1073.27	1085.56	17
6509_76574_000007_000006	It is also quite evident that few of them ever take a bath; as there is plenty of water about them, this doubtless comes of the pure contrariness of human nature in the absence of social obligations.	It is also quite evident that few of them ever take a bath; as there is plenty of water about them, this doubtless comes of the pure contrariness of human nature in the absence of social obligations.	true	1085.99	1097.5	18
6509_76574_000007_000007	Their religion teaches these people that they ought to bathe every day; consequently, they never bathe at all.	Their religion teaches these people that they ought to bathe every day; consequently, they never bathe at all.	true	1098.11	1104.78	18.644386
6509_76574_000007_000008	There is a small threshing-floor handy, and, taking pity on their wretched condition, I hesitate not to "drive dull care away" from them for a few minutes, by giving them an exhibition; not that there is any "dull care" among them, though, after all; for, in spite of desperate poverty, they know more contentment than the well-fed, respectably-dressed mechanic of the Western World.	There is a small threshing floor handy, and, taking pity on their wretched condition, I hesitate not to "drive dull care away" from them for a few minutes, by giving them an exhibition; not that there is any "dull care" among them, though, after all; for, in spite of desperate poverty, they know more contentment than the well fed, respectably dressed mechanic of the Western World.	true	1104.78	1126.9	19.694437
6509_76574_000007_000009	It is, however, the contentment born of not realizing their own condition, the bliss that comes of ignorance.	It is, however, the contentment born of not realizing their own condition, the bliss that comes of ignorance.	true	1127.45	1133.56	15
6509_76574_000007_000010	They search the entire village for eatables, but nothing is readily obtainable but bread. A few gaunt, angular fowls are scratching about, but they have a beruffled, disreputable appearance, as though their lives had been a continuous struggle against being caught and devoured; moreover, I don't care to wait around three hours on purpose to pass judgment on these people's cooking.	They search the entire village for eatables, but nothing is readily obtainable but bread. A few gaunt, angular fowls are scratching about, but they have a beruffled, disreputable appearance, as though their lives had been a continuous struggle against being caught and devoured; moreover, I don't care to wait around three hours on purpose to pass judgment on these people's cooking.	true	1134.32	1154.77	18.937634
6509_76574_000007_000011	Eggs there are none; they are devoured, I fancy, almost before they are laid.	Eggs there are none; they are devoured, I fancy, almost before they are laid.	true	1155.5	1160.57	20.673214
6509_76574_000007_000012	Finally, while making the best of bread and water, which is hardly made more palatable by the appearance of the people watching me feed - a woman in an airy, fairy costume, that is little better than no costume at all, comes forward, and contributes a small bowl of yaort; but, unfortuntaely, this is old yaort, yaort that is in the sere and yellow stage of its usefulness as human food; and although these people doubtless consume it thus, I prefer to wait until something more acceptable and less odoriferous turns up.	Finally, while making the best of bread and water, which is hardly made more palatable by the appearance of the people watching me feed — a woman in an airy, fairy costume, that is little better than no costume at all, comes forward, and contributes a small bowl of yaort; but, unfortuntaely, this is old yaort, yaort that is in the sere and yellow stage of its usefulness as human food; and although these people doubtless consume it thus, I prefer to wait until something more acceptable and less odoriferous turns up.	false	1160.57	1190.92	19
6509_76574_000007_000013	I miss the genial hospitality of the gentle Koords to-day.	I miss the genial hospitality of the gentle Koords to day.	true	1191.68	1195.66	17
6509_76574_000007_000014	Instead of heaping plates of pillau, and bowls of wholesome new yaort, fickle fortune brings me nothing but an exclusive diet of bread and water.	Instead of heaping plates of pillau, and bowls of wholesome new yaort, fickle fortune brings me nothing but an exclusive diet of bread and water.	false	1196.72	1205.41	17
6509_76574_000007_000015	My road, this afternoon, is a tortuous donkey-trail, intersecting ravines with well-nigh perpendicular sides, and rocky ridges, covered with a stunted growth of cedar and scrub-oak.	My road, this afternoon, is a tortuous donkey trail, intersecting ravines with well nigh perpendicular sides, and rocky ridges, covered with a stunted growth of cedar and scrub oak.	true	1206.41	1218.52	16
