7949_39970_000003_000000	Chapter Ten: Interest and Discipline	Chapter Ten: Interest and Discipline
7949_39970_000004_000020	While such words as affection, concern, and motive indicate an attitude of personal preference, they are always attitudes toward objects--toward what is foreseen.	While such words as affection, concern, and motive indicate an attitude of personal preference, they are always attitudes toward objects-toward what is foreseen.
7949_39970_000004_000021	We may call the phase of objective foresight intellectual, and the phase of personal concern emotional and volitional, but there is no separation in the facts of the situation.	We may call the phase of objective foresight intellectual, and the phase of personal concern emotional and volitional, but there is no separation in the facts of the situation.
7949_39970_000005_000000	Such a separation could exist only if the personal attitudes ran their course in a world by themselves.	Such a separation could exist only if the personal attitudes ran their course in a world by themselves.
7949_39970_000005_000001	But they are always responses to what is going on in the situation of which they are a part, and their successful or unsuccessful expression depends upon their interaction with other changes.	But they are always responses to what is going on in the situation of which they are a part, and their successful or unsuccessful expression depends upon their interaction with other changes.
7949_39970_000005_000003	They are literally bound up with these changes; our desires, emotions, and affections are but various ways in which our doings are tied up with the doings of things and persons about us.	They are literally bound up with these changes; our desires, emotions, and affections are but various ways in which our doings are tied up with the doings of things and persons about us.
7949_39970_000005_000004	Instead of marking a purely personal or subjective realm, separated from the objective and impersonal, they indicate the non-existence of such a separate world.	Instead of marking a purely personal or subjective realm, separated from the objective and impersonal, they indicate the non existence of such a separate world.
7949_39970_000005_000006	Interest, concern, mean that self and world are engaged with each other in a developing situation.	Interest, concern, mean that self and world are engaged with each other in a developing situation.
7949_39970_000008_000001	In some legal transactions a man has to prove "interest" in order to have a standing at court.	In some legal transactions a man has to prove "interest" in order to have a standing at court.
7949_39970_000008_000002	He has to show that some proposed step concerns his affairs. A silent partner has an interest in a business, although he takes no active part in its conduct because its prosperity or decline affects his profits and liabilities.	He has to show that some proposed step concerns his affairs. A silent partner has an interest in a business, although he takes no active part in its conduct because its prosperity or decline affects his profits and liabilities.
7949_39970_000009_000001	To be interested is to be absorbed in, wrapped up in, carried away by, some object.	To be interested is to be absorbed in, wrapped up in, carried away by, some object.
7949_39970_000009_000002	To take an interest is to be on the alert, to care about, to be attentive.	To take an interest is to be on the alert, to care about, to be attentive.
7949_39970_000009_000003	We say of an interested person both that he has lost himself in some affair and that he has found himself in it.	We say of an interested person both that he has lost himself in some affair and that he has found himself in it.
7949_39970_000009_000004	Both terms express the engrossment of the self in an object.	Both terms express the engrossment of the self in an object.
7949_39970_000010_000000	When the place of interest in education is spoken of in a depreciatory way, it will be found that the second of the meanings mentioned is first exaggerated and then isolated.	When the place of interest in education is spoken of in a depreciatory way, it will be found that the second of the meanings mentioned is first exaggerated and then isolated.
7949_39970_000010_000001	Interest is taken to mean merely the effect of an object upon personal advantage or disadvantage, success or failure.	Interest is taken to mean merely the effect of an object upon personal advantage or disadvantage, success or failure.
7949_39970_000010_000002	Separated from any objective development of affairs, these are reduced to mere personal states of pleasure or pain.	Separated from any objective development of affairs, these are reduced to mere personal states of pleasure or pain.
7949_39970_000010_000003	Educationally, it then follows that to attach importance to interest means to attach some feature of seductiveness to material otherwise indifferent; to secure attention and effort by offering a bribe of pleasure.	Educationally, it then follows that to attach importance to interest means to attach some feature of seductiveness to material otherwise indifferent; to secure attention and effort by offering a bribe of pleasure.
7949_39970_000010_000004	This procedure is properly stigmatized as "soft" pedagogy; as a "soup-kitchen" theory of education.	This procedure is properly stigmatized as "soft" pedagogy; as a "soup kitchen" theory of education.
7949_39970_000011_000000	But the objection is based upon the fact--or assumption--that the forms of skill to be acquired and the subject matter to be appropriated have no interest on their own account: in other words, they are supposed to be irrelevant to the normal activities of the pupils.	But the objection is based upon the fact-or assumption-that the forms of skill to be acquired and the subject matter to be appropriated have no interest on their own account: in other words, they are supposed to be irrelevant to the normal activities of the pupils.
7949_39970_000011_000003	If the material operates in this way, there is no call either to hunt for devices which will make it interesting or to appeal to arbitrary, semi-coerced effort.	If the material operates in this way, there is no call either to hunt for devices which will make it interesting or to appeal to arbitrary, semi coerced effort.
7949_39970_000012_000002	The fact that a process takes time to mature is so obvious a fact that we rarely make it explicit.	The fact that a process takes time to mature is so obvious a fact that we rarely make it explicit.
7949_39970_000012_000003	We overlook the fact that in growth there is ground to be covered between an initial stage of process and the completing period; that there is something intervening.	We overlook the fact that in growth there is ground to be covered between an initial stage of process and the completing period; that there is something intervening.
7949_39970_000012_000005	Only through them, in the literal time sense, will the initial activities reach a satisfactory consummation.	Only through them, in the literal time sense, will the initial activities reach a satisfactory consummation.
7949_39970_000014_000000	So much for the meaning of the term interest.	So much for the meaning of the term interest.
7949_39970_000014_000002	Where an activity takes time, where many means and obstacles lie between its initiation and completion, deliberation and persistence are required.	Where an activity takes time, where many means and obstacles lie between its initiation and completion, deliberation and persistence are required.
7949_39970_000014_000003	It is obvious that a very large part of the everyday meaning of will is precisely the deliberate or conscious disposition to persist and endure in a planned course of action in spite of difficulties and contrary solicitations.	It is obvious that a very large part of the everyday meaning of will is precisely the deliberate or conscious disposition to persist and endure in a planned course of action in spite of difficulties and contrary solicitations.
7949_39970_000014_000005	His ability is executive; that is, he persistently and energetically strives to execute or carry out his aims.	His ability is executive; that is, he persistently and energetically strives to execute or carry out his aims.
7949_39970_000014_000006	A weak will is unstable as water.	A weak will is unstable as water.
7949_39970_000015_000000	Clearly there are two factors in will.	Clearly there are two factors in will.
7949_39970_000015_000001	One has to do with the foresight of results, the other with the depth of hold the foreseen outcome has upon the person.	One has to do with the foresight of results, the other with the depth of hold the foreseen outcome has upon the person.
7949_39970_000016_000001	A man keeps on doing a thing just because he has got started, not because of any clearly thought-out purpose.	A man keeps on doing a thing just because he has got started, not because of any clearly thought out purpose.
7949_39970_000016_000002	In fact, the obstinate man generally declines (although he may not be quite aware of his refusal) to make clear to himself what his proposed end is; he has a feeling that if he allowed himself to get a clear and full idea of it, it might not be worth while.	In fact, the obstinate man generally declines (although he may not be quite aware of his refusal) to make clear to himself what his proposed end is; he has a feeling that if he allowed himself to get a clear and full idea of it, it might not be worth while.
7949_39970_000016_000003	Stubbornness shows itself even more in reluctance to criticize ends which present themselves than it does in persistence and energy in use of means to achieve the end.	Stubbornness shows itself even more in reluctance to criticize ends which present themselves than it does in persistence and energy in use of means to achieve the end.
7949_39970_000016_000005	The people we called weak-willed or self-indulgent always deceive themselves as to the consequences of their acts.	The people we called weak willed or self indulgent always deceive themselves as to the consequences of their acts.
7949_39970_000016_000006	They pick out some feature which is agreeable and neglect all attendant circumstances.	They pick out some feature which is agreeable and neglect all attendant circumstances.
7949_39970_000016_000009	That the primary difference between strong and feeble volition is intellectual, consisting in the degree of persistent firmness and fullness with which consequences are thought out, cannot be over-emphasized.	That the primary difference between strong and feeble volition is intellectual, consisting in the degree of persistent firmness and fullness with which consequences are thought out, cannot be over emphasized.
7949_39970_000017_000002	They are something to look at and for curiosity to play with rather than something to achieve.	They are something to look at and for curiosity to play with rather than something to achieve.
7949_39970_000017_000003	There is no such thing as over-intellectuality, but there is such a thing as a one-sided intellectuality.	There is no such thing as over intellectuality, but there is such a thing as a one sided intellectuality.
7949_39970_000017_000005	A certain flabbiness of fiber prevents the contemplated object from gripping him and engaging him in action.	A certain flabbiness of fiber prevents the contemplated object from gripping him and engaging him in action.
7949_39970_000017_000006	And most persons are naturally diverted from a proposed course of action by unusual, unforeseen obstacles, or by presentation of inducements to an action that is directly more agreeable.	And most persons are naturally diverted from a proposed course of action by unusual, unforeseen obstacles, or by presentation of inducements to an action that is directly more agreeable.
7949_39970_000018_000000	A person who is trained to consider his actions, to undertake them deliberately, is in so far forth disciplined.	A person who is trained to consider his actions, to undertake them deliberately, is in so far forth disciplined.
7949_39970_000018_000001	Add to this ability a power to endure in an intelligently chosen course in face of distraction, confusion, and difficulty, and you have the essence of discipline.	Add to this ability a power to endure in an intelligently chosen course in face of distraction, confusion, and difficulty, and you have the essence of discipline.
7949_39970_000018_000002	Discipline means power at command; mastery of the resources available for carrying through the action undertaken.	Discipline means power at command; mastery of the resources available for carrying through the action undertaken.
7949_39970_000018_000003	To know what one is to do and to move to do it promptly and by use of the requisite means is to be disciplined, whether we are thinking of an army or a mind. Discipline is positive.	To know what one is to do and to move to do it promptly and by use of the requisite means is to be disciplined, whether we are thinking of an army or a mind. Discipline is positive.
7949_39970_000019_000000	It is hardly necessary to press the point that interest and discipline are connected, not opposed.	It is hardly necessary to press the point that interest and discipline are connected, not opposed.
7949_39970_000020_000002	Parents and teachers often complain--and correctly--that children "do not want to hear, or want to understand." Their minds are not upon the subject precisely because it does not touch them; it does not enter into their concerns.	Parents and teachers often complain-and correctly-that children "do not want to hear, or want to understand." Their minds are not upon the subject precisely because it does not touch them; it does not enter into their concerns.
7949_39970_000020_000005	In the long run, its value is measured by whether it supplies a mere physical excitation to act in the way desired by the adult or whether it leads the child "to think"--that is, to reflect upon his acts and impregnate them with aims.	In the long run, its value is measured by whether it supplies a mere physical excitation to act in the way desired by the adult or whether it leads the child "to think"--that is, to reflect upon his acts and impregnate them with aims.
7949_39970_000022_000001	The Importance of the Idea of Interest in Education.	The Importance of the Idea of Interest in Education.
7949_39970_000022_000002	Interest represents the moving force of objects--whether perceived or presented in imagination--in any experience having a purpose.	Interest represents the moving force of objects-whether perceived or presented in imagination-in any experience having a purpose.
7949_39970_000022_000005	Attitudes and methods of approach and response vary with the specific appeal the same material makes, this appeal itself varying with difference of natural aptitude, of past experience, of plan of life, and so on.	Attitudes and methods of approach and response vary with the specific appeal the same material makes, this appeal itself varying with difference of natural aptitude, of past experience, of plan of life, and so on.
7949_39970_000022_000008	Too frequently mind is set over the world of things and facts to be known; it is regarded as something existing in isolation, with mental states and operations that exist independently.	Too frequently mind is set over the world of things and facts to be known; it is regarded as something existing in isolation, with mental states and operations that exist independently.
7949_39970_000023_000000	The facts of interest show that these conceptions are mythical.	The facts of interest show that these conceptions are mythical.
7949_39970_000023_000001	Mind appears in experience as ability to respond to present stimuli on the basis of anticipation of future possible consequences, and with a view to controlling the kind of consequences that are to take place.	Mind appears in experience as ability to respond to present stimuli on the basis of anticipation of future possible consequences, and with a view to controlling the kind of consequences that are to take place.
7949_39970_000023_000002	The things, the subject matter known, consist of whatever is recognized as having a bearing upon the anticipated course of events, whether assisting or retarding it.	The things, the subject matter known, consist of whatever is recognized as having a bearing upon the anticipated course of events, whether assisting or retarding it.
7949_39970_000023_000004	An illustration may clear up their significance.	An illustration may clear up their significance.
7949_39970_000023_000005	You are engaged in a certain occupation, say writing with a typewriter.	You are engaged in a certain occupation, say writing with a typewriter.
7949_39970_000023_000010	You attend to the keys, to what you have written, to your movements, to the ribbon or the mechanism of the machine.	You attend to the keys, to what you have written, to your movements, to the ribbon or the mechanism of the machine.
7949_39970_000023_000014	You have to find out what your resources are, what conditions are at command, and what the difficulties and obstacles are.	You have to find out what your resources are, what conditions are at command, and what the difficulties and obstacles are.
7949_39970_000023_000015	This foresight and this survey with reference to what is foreseen constitute mind.	This foresight and this survey with reference to what is foreseen constitute mind.
7949_39970_000023_000017	In neither case is it intelligent.	In neither case is it intelligent.
7949_39970_000024_000000	If we recur to the case where mind is not concerned with the physical manipulation of the instruments but with what one intends to write, the case is the same.	If we recur to the case where mind is not concerned with the physical manipulation of the instruments but with what one intends to write, the case is the same.
7949_39970_000024_000001	There is an activity in process; one is taken up with the development of a theme.	There is an activity in process; one is taken up with the development of a theme.
7949_39970_000024_000003	The whole attitude is one of concern with what is to be, and with what is so far as the latter enters into the movement toward the end.	The whole attitude is one of concern with what is to be, and with what is so far as the latter enters into the movement toward the end.
7949_39970_000024_000004	Leave out the direction which depends upon foresight of possible future results, and there is no intelligence in present behavior.	Leave out the direction which depends upon foresight of possible future results, and there is no intelligence in present behavior.
7949_39970_000025_000000	If this illustration is typical, mind is not a name for something complete by itself; it is a name for a course of action in so far as that is intelligently directed; in so far, that is to say, as aims, ends, enter into it, with selection of means to further the attainment of aims.	If this illustration is typical, mind is not a name for something complete by itself; it is a name for a course of action in so far as that is intelligently directed; in so far, that is to say, as aims, ends, enter into it, with selection of means to further the attainment of aims.
7949_39970_000025_000001	Intelligence is not a peculiar possession which a person owns; but a person is intelligent in so far as the activities in which he plays a part have the qualities mentioned.	Intelligence is not a peculiar possession which a person owns; but a person is intelligent in so far as the activities in which he plays a part have the qualities mentioned.
7949_39970_000025_000002	Nor are the activities in which a person engages, whether intelligently or not, exclusive properties of himself; they are something in which he engages and partakes.	Nor are the activities in which a person engages, whether intelligently or not, exclusive properties of himself; they are something in which he engages and partakes.
7949_39970_000025_000003	Other things, the independent changes of other things and persons, cooperate and hinder.	Other things, the independent changes of other things and persons, cooperate and hinder.
7949_39970_000026_000000	The problem of instruction is thus that of finding material which will engage a person in specific activities having an aim or purpose of moment or interest to him, and dealing with things not as gymnastic appliances but as conditions for the attainment of ends.	The problem of instruction is thus that of finding material which will engage a person in specific activities having an aim or purpose of moment or interest to him, and dealing with things not as gymnastic appliances but as conditions for the attainment of ends.
7949_39970_000027_000000	In historic practice the error has cut two ways.	In historic practice the error has cut two ways.
7949_39970_000027_000005	By its nature, the allegation could not be checked up.	By its nature, the allegation could not be checked up.
7949_39970_000027_000006	Even when discipline did not accrue as matter of fact, when the pupil even grew in laxity of application and lost power of intelligent self-direction, the fault lay with him, not with the study or the methods of teaching.	Even when discipline did not accrue as matter of fact, when the pupil even grew in laxity of application and lost power of intelligent self direction, the fault lay with him, not with the study or the methods of teaching.
7949_39970_000027_000007	His failure was but proof that he needed more discipline, and thus afforded a reason for retaining the old methods.	His failure was but proof that he needed more discipline, and thus afforded a reason for retaining the old methods.
7949_39970_000027_000008	The responsibility was transferred from the educator to the pupil because the material did not have to meet specific tests; it did not have to be shown that it fulfilled any particular need or served any specific end.	The responsibility was transferred from the educator to the pupil because the material did not have to meet specific tests; it did not have to be shown that it fulfilled any particular need or served any specific end.
7949_39970_000027_000011	Identification of will, or effort, with mere strain, results when a mind is set up, endowed with powers that are only to be applied to existing material.	Identification of will, or effort, with mere strain, results when a mind is set up, endowed with powers that are only to be applied to existing material.
7949_39970_000027_000013	To attend to material because there is something to be done in which the person is concerned is not disciplinary in this view; not even if it results in a desirable increase of constructive power.	To attend to material because there is something to be done in which the person is concerned is not disciplinary in this view; not even if it results in a desirable increase of constructive power.
7949_39970_000027_000015	This is more likely to occur if the subject matter presented is uncongenial, for then there is no motive (so it is supposed) except the acknowledgment of duty or the value of discipline.	This is more likely to occur if the subject matter presented is uncongenial, for then there is no motive (so it is supposed) except the acknowledgment of duty or the value of discipline.
7949_39970_000027_000016	The logical result is expressed with literal truth in the words of an American humorist: "It makes no difference what you teach a boy so long as he doesn't like it."	The logical result is expressed with literal truth in the words of an American humorist: "It makes no difference what you teach a boy so long as he doesn't like it."
7949_39970_000028_000002	Various branches of study represent so many independent branches, each having its principles of arrangement complete within itself.	Various branches of study represent so many independent branches, each having its principles of arrangement complete within itself.
7949_39970_000028_000003	History is one such group of facts; algebra another; geography another, and so on till we have run through the entire curriculum.	History is one such group of facts; algebra another; geography another, and so on till we have run through the entire curriculum.
7949_39970_000028_000004	Having a ready-made existence on their own account, their relation to mind is exhausted in what they furnish it to acquire. This idea corresponds to the conventional practice in which the program of school work, for the day, month, and successive years, consists of "studies" all marked off from one another, and each supposed to be complete by itself--for educational purposes at least.	Having a ready made existence on their own account, their relation to mind is exhausted in what they furnish it to acquire. This idea corresponds to the conventional practice in which the program of school work, for the day, month, and successive years, consists of "studies" all marked off from one another, and each supposed to be complete by itself-for educational purposes at least.
7949_39970_000029_000002	Just as one "studies" his typewriter as part of the operation of putting it to use to effect results, so with any fact or truth.	Just as one "studies" his typewriter as part of the operation of putting it to use to effect results, so with any fact or truth.
7949_39970_000029_000003	It becomes an object of study--that is, of inquiry and reflection--when it figures as a factor to be reckoned with in the completion of a course of events in which one is engaged and by whose outcome one is affected.	It becomes an object of study-that is, of inquiry and reflection-when it figures as a factor to be reckoned with in the completion of a course of events in which one is engaged and by whose outcome one is affected.
7949_39970_000029_000005	Stated thus broadly, the formula may appear abstract.	Stated thus broadly, the formula may appear abstract.
7949_39970_000029_000006	Translated into details, it means that the act of learning or studying is artificial and ineffective in the degree in which pupils are merely presented with a lesson to be learned.	Translated into details, it means that the act of learning or studying is artificial and ineffective in the degree in which pupils are merely presented with a lesson to be learned.
7949_39970_000030_000002	While the theoretical errors of which we have been speaking have their expressions in the conduct of schools, they are themselves the outcome of conditions of social life. A change confined to the theoretical conviction of educators will not remove the difficulties, though it should render more effective efforts to modify social conditions.	While the theoretical errors of which we have been speaking have their expressions in the conduct of schools, they are themselves the outcome of conditions of social life. A change confined to the theoretical conviction of educators will not remove the difficulties, though it should render more effective efforts to modify social conditions.
7949_39970_000030_000005	Art is neither merely internal nor merely external; merely mental nor merely physical.	Art is neither merely internal nor merely external; merely mental nor merely physical.
7949_39970_000030_000007	The changes made by some actions (those which by contrast may be called mechanical) are external; they are shifting things about.	The changes made by some actions (those which by contrast may be called mechanical) are external; they are shifting things about.
7949_39970_000030_000008	No ideal reward, no enrichment of emotion and intellect, accompanies them.	No ideal reward, no enrichment of emotion and intellect, accompanies them.
7949_39970_000030_000009	Others contribute to the maintenance of life, and to its external adornment and display.	Others contribute to the maintenance of life, and to its external adornment and display.
7949_39970_000030_000010	Many of our existing social activities, industrial and political, fall in these two classes.	Many of our existing social activities, industrial and political, fall in these two classes.
7949_39970_000030_000011	Neither the people who engage in them, nor those who are directly affected by them, are capable of full and free interest in their work.	Neither the people who engage in them, nor those who are directly affected by them, are capable of full and free interest in their work.
7949_39970_000030_000012	Because of the lack of any purpose in the work for the one doing it, or because of the restricted character of its aim, intelligence is not adequately engaged.	Because of the lack of any purpose in the work for the one doing it, or because of the restricted character of its aim, intelligence is not adequately engaged.
7949_39970_000030_000013	The same conditions force many people back upon themselves. They take refuge in an inner play of sentiment and fancies.	The same conditions force many people back upon themselves. They take refuge in an inner play of sentiment and fancies.
7949_39970_000030_000015	Their mental life is sentimental; an enjoyment of an inner landscape.	Their mental life is sentimental; an enjoyment of an inner landscape.
7949_39970_000030_000016	Even the pursuit of science may become an asylum of refuge from the hard conditions of life--not a temporary retreat for the sake of recuperation and clarification in future dealings with the world.	Even the pursuit of science may become an asylum of refuge from the hard conditions of life-not a temporary retreat for the sake of recuperation and clarification in future dealings with the world.
7949_39970_000030_000017	The very word art may become associated not with specific transformation of things, making them more significant for mind, but with stimulations of eccentric fancy and with emotional indulgences.	The very word art may become associated not with specific transformation of things, making them more significant for mind, but with stimulations of eccentric fancy and with emotional indulgences.
7949_39970_000030_000020	Compare what was said in an earlier chapter about the one-sided meanings which have come to attach to the ideas of efficiency and of culture.	Compare what was said in an earlier chapter about the one sided meanings which have come to attach to the ideas of efficiency and of culture.
7949_39970_000031_000000	This state of affairs must exist so far as society is organized on a basis of division between laboring classes and leisure classes.	This state of affairs must exist so far as society is organized on a basis of division between laboring classes and leisure classes.
7949_39970_000031_000003	Their pursuits are fixed by accident and necessity of circumstance; they are not the normal expression of their own powers interacting with the needs and resources of the environment.	Their pursuits are fixed by accident and necessity of circumstance; they are not the normal expression of their own powers interacting with the needs and resources of the environment.
7949_39970_000032_000000	This state of affairs explains many things in our historic educational traditions.	This state of affairs explains many things in our historic educational traditions.
7949_39970_000032_000001	It throws light upon the clash of aims manifested in different portions of the school system; the narrowly utilitarian character of most elementary education, and the narrowly disciplinary or cultural character of most higher education.	It throws light upon the clash of aims manifested in different portions of the school system; the narrowly utilitarian character of most elementary education, and the narrowly disciplinary or cultural character of most higher education.
7949_39970_000032_000002	It accounts for the tendency to isolate intellectual matters till knowledge is scholastic, academic, and professionally technical, and for the widespread conviction that liberal education is opposed to the requirements of an education which shall count in the vocations of life.	It accounts for the tendency to isolate intellectual matters till knowledge is scholastic, academic, and professionally technical, and for the widespread conviction that liberal education is opposed to the requirements of an education which shall count in the vocations of life.
7949_39970_000032_000005	But it should contribute through the type of intellectual and emotional disposition which it forms to the improvement of those conditions.	But it should contribute through the type of intellectual and emotional disposition which it forms to the improvement of those conditions.
7949_39970_000032_000006	And just here the true conceptions of interest and discipline are full of significance.	And just here the true conceptions of interest and discipline are full of significance.
7949_39970_000032_000007	Persons whose interests have been enlarged and intelligence trained by dealing with things and facts in active occupations having a purpose (whether in play or work) will be those most likely to escape the alternatives of an academic and aloof knowledge and a hard, narrow, and merely "practical" practice.	Persons whose interests have been enlarged and intelligence trained by dealing with things and facts in active occupations having a purpose (whether in play or work) will be those most likely to escape the alternatives of an academic and aloof knowledge and a hard, narrow, and merely "practical" practice.
7949_39970_000032_000009	To oscillate between drill exercises that strive to attain efficiency in outward doing without the use of intelligence, and an accumulation of knowledge that is supposed to be an ultimate end in itself, means that education accepts the present social conditions as final, and thereby takes upon itself the responsibility for perpetuating them.	To oscillate between drill exercises that strive to attain efficiency in outward doing without the use of intelligence, and an accumulation of knowledge that is supposed to be an ultimate end in itself, means that education accepts the present social conditions as final, and thereby takes upon itself the responsibility for perpetuating them.
7949_39970_000032_000010	A reorganization of education so that learning takes place in connection with the intelligent carrying forward of purposeful activities is a slow work.	A reorganization of education so that learning takes place in connection with the intelligent carrying forward of purposeful activities is a slow work.
7949_39970_000032_000011	It can only be accomplished piecemeal, a step at a time.	It can only be accomplished piecemeal, a step at a time.
7949_39970_000032_000013	It is a challenge to undertake the task of reorganization courageously and to keep at it persistently.	It is a challenge to undertake the task of reorganization courageously and to keep at it persistently.
7949_39970_000033_000002	Interest means that one is identified with the objects which define the activity and which furnish the means and obstacles to its realization.	Interest means that one is identified with the objects which define the activity and which furnish the means and obstacles to its realization.
7949_39970_000033_000003	Any activity with an aim implies a distinction between an earlier incomplete phase and later completing phase; it implies also intermediate steps.	Any activity with an aim implies a distinction between an earlier incomplete phase and later completing phase; it implies also intermediate steps.
7949_39970_000033_000007	Discipline or development of power of continuous attention is its fruit.	Discipline or development of power of continuous attention is its fruit.
7949_39970_000033_000010	It shows that mind and intelligent or purposeful engagement in a course of action into which things enter are identical.	It shows that mind and intelligent or purposeful engagement in a course of action into which things enter are identical.
7949_39970_000033_000011	Hence to develop and train mind is to provide an environment which induces such activity.	Hence to develop and train mind is to provide an environment which induces such activity.
7949_39970_000033_000012	On the other side, it protects us from the notion that subject matter on its side is something isolated and independent.	On the other side, it protects us from the notion that subject matter on its side is something isolated and independent.
