7949_39970_000000_000000	Summary.	Summary.	false	0	0.24	-20
7949_39970_000004_000017	But the difference is but one of emphasis; the meaning that is shaded in one set of words is illuminated in the other.	But the difference is but one of emphasis; the meaning that is shaded in one set of words is illuminated in the other.	true	199.46	207.25	21.144611
7949_39970_000004_000018	What is anticipated is objective and impersonal; to-morrow's rain; the possibility of being run over.	What is anticipated is objective and impersonal; to morrow's rain; the possibility of being run over.	true	208.61	215.86	19.918407
7949_39970_000004_000019	But for an active being, a being who partakes of the consequences instead of standing aloof from them, there is at the same time a personal response. The difference imaginatively foreseen makes a present difference, which finds expression in solicitude and effort.	But for an active being, a being who partakes of the consequences instead of standing aloof from them, there is at the same time a personal response. The difference imaginatively foreseen makes a present difference, which finds expression in solicitude and effort.	true	216.38	235.3	22.408852
7949_39970_000004_000020	While such words as affection, concern, and motive indicate an attitude of personal preference, they are always attitudes toward objects--toward what is foreseen.	While such words as affection, concern, and motive indicate an attitude of personal preference, they are always attitudes toward objects-toward what is foreseen.	true	235.94	249.7	21.882454
7949_39970_000004_000021	We may call the phase of objective foresight intellectual, and the phase of personal concern emotional and volitional, but there is no separation in the facts of the situation.	We may call the phase of objective foresight intellectual, and the phase of personal concern emotional and volitional, but there is no separation in the facts of the situation.	true	250.82	264.46	20.614468
7949_39970_000005_000000	Such a separation could exist only if the personal attitudes ran their course in a world by themselves.	Such a separation could exist only if the personal attitudes ran their course in a world by themselves.	true	264.8	271.96	21.446136
7949_39970_000005_000001	But they are always responses to what is going on in the situation of which they are a part, and their successful or unsuccessful expression depends upon their interaction with other changes.	But they are always responses to what is going on in the situation of which they are a part, and their successful or unsuccessful expression depends upon their interaction with other changes.	true	272.69	285.31	21.822817
7949_39970_000005_000002	Life activities flourish and fail only in connection with changes of the environment.	Life activities flourish and fail only in connection with changes of the environment.	true	286.94	292.095	18
7949_39970_000005_000003	They are literally bound up with these changes; our desires, emotions, and affections are but various ways in which our doings are tied up with the doings of things and persons about us.	They are literally bound up with these changes; our desires, emotions, and affections are but various ways in which our doings are tied up with the doings of things and persons about us.	true	292.095	304.3	20.342382
7949_39970_000005_000004	Instead of marking a purely personal or subjective realm, separated from the objective and impersonal, they indicate the non-existence of such a separate world.	Instead of marking a purely personal or subjective realm, separated from the objective and impersonal, they indicate the non existence of such a separate world.	true	305.18	316.69	22.268362
7949_39970_000005_000005	They afford convincing evidence that changes in things are not alien to the activities of a self, and that the career and welfare of the self are bound up with the movement of persons and things.	They afford convincing evidence that changes in things are not alien to the activities of a self, and that the career and welfare of the self are bound up with the movement of persons and things.	false	316.85	328.33	21
7949_39970_000005_000006	Interest, concern, mean that self and world are engaged with each other in a developing situation.	Interest, concern, mean that self and world are engaged with each other in a developing situation.	true	328.91	337.63	21.34691
7949_39970_000006_000000	The word interest, in its ordinary usage, expresses (i) the whole state of active development, (ii) the objective results that are foreseen and wanted, and (iii) the personal emotional inclination.	The word interest, in its ordinary usage, expresses (i) the whole state of active development, (ii) the objective results that are foreseen and wanted, and (iii) the personal emotional inclination.	false	341.15	361.08	20.784914
7949_39970_000007_000000	(I) An occupation, employment, pursuit, business is often referred to as an interest.	(I) An occupation, employment, pursuit, business is often referred to as an interest.	false	361.08	370.23	21.653988
7949_39970_000007_000001	Thus we say that a man's interest is politics, or journalism, or philanthropy, or archaeology, or collecting Japanese prints, or banking.	Thus we say that a man's interest is politics, or journalism, or philanthropy, or archaeology, or collecting Japanese prints, or banking.	false	370.23	381.51	23.781464
7949_39970_000008_000000	(ii) By an interest we also mean the point at which an object touches or engages a man; the point where it influences him.	(ii) By an interest we also mean the point at which an object touches or engages a man; the point where it influences him.	false	381.51	392.65	20.6836
7949_39970_000008_000001	In some legal transactions a man has to prove "interest" in order to have a standing at court.	In some legal transactions a man has to prove "interest" in order to have a standing at court.	true	393.26	399.46	20.48019
7949_39970_000008_000002	He has to show that some proposed step concerns his affairs. A silent partner has an interest in a business, although he takes no active part in its conduct because its prosperity or decline affects his profits and liabilities.	He has to show that some proposed step concerns his affairs. A silent partner has an interest in a business, although he takes no active part in its conduct because its prosperity or decline affects his profits and liabilities.	true	399.47	415.65	22.324263
7949_39970_000009_000000	(iii) When we speak of a man as interested in this or that the emphasis falls directly upon his personal attitude.	(iii) When we speak of a man as interested in this or that the emphasis falls directly upon his personal attitude.	false	415.65	425.61	23.045708
7949_39970_000009_000001	To be interested is to be absorbed in, wrapped up in, carried away by, some object.	To be interested is to be absorbed in, wrapped up in, carried away by, some object.	true	425.61	432.25	21.47409
7949_39970_000009_000002	To take an interest is to be on the alert, to care about, to be attentive.	To take an interest is to be on the alert, to care about, to be attentive.	true	432.62	437.65	23.440168
7949_39970_000009_000003	We say of an interested person both that he has lost himself in some affair and that he has found himself in it.	We say of an interested person both that he has lost himself in some affair and that he has found himself in it.	true	438.05	444.49	20.591942
7949_39970_000009_000004	Both terms express the engrossment of the self in an object.	Both terms express the engrossment of the self in an object.	true	444.65	449.2	22.546452
7949_39970_000010_000000	When the place of interest in education is spoken of in a depreciatory way, it will be found that the second of the meanings mentioned is first exaggerated and then isolated.	When the place of interest in education is spoken of in a depreciatory way, it will be found that the second of the meanings mentioned is first exaggerated and then isolated.	true	451.43	462.31	20
7949_39970_000010_000001	Interest is taken to mean merely the effect of an object upon personal advantage or disadvantage, success or failure.	Interest is taken to mean merely the effect of an object upon personal advantage or disadvantage, success or failure.	true	463.73	470.35	21
7949_39970_000010_000002	Separated from any objective development of affairs, these are reduced to mere personal states of pleasure or pain.	Separated from any objective development of affairs, these are reduced to mere personal states of pleasure or pain.	true	470.84	477.94	21.200434
7949_39970_000010_000003	Educationally, it then follows that to attach importance to interest means to attach some feature of seductiveness to material otherwise indifferent; to secure attention and effort by offering a bribe of pleasure.	Educationally, it then follows that to attach importance to interest means to attach some feature of seductiveness to material otherwise indifferent; to secure attention and effort by offering a bribe of pleasure.	true	478.76	494.86	21.314173
7949_39970_000010_000004	This procedure is properly stigmatized as "soft" pedagogy; as a "soup-kitchen" theory of education.	This procedure is properly stigmatized as "soft" pedagogy; as a "soup kitchen" theory of education.	true	495.44	502.96	24.649368
7949_39970_000011_000000	But the objection is based upon the fact--or assumption--that the forms of skill to be acquired and the subject matter to be appropriated have no interest on their own account: in other words, they are supposed to be irrelevant to the normal activities of the pupils.	But the objection is based upon the fact-or assumption-that the forms of skill to be acquired and the subject matter to be appropriated have no interest on their own account: in other words, they are supposed to be irrelevant to the normal activities of the pupils.	true	504.5	521.53	20.960144
7949_39970_000011_000001	The remedy is not in finding fault with the doctrine of interest, any more than it is to search for some pleasant bait that may be hitched to the alien material. It is to discover objects and modes of action, which are connected with present powers.	The remedy is not in finding fault with the doctrine of interest, any more than it is to search for some pleasant bait that may be hitched to the alien material. It is to discover objects and modes of action, which are connected with present powers.	false	522.86	538.63	22.542242
7949_39970_000011_000002	The function of this material in engaging activity and carrying it on consistently and continuously is its interest.	The function of this material in engaging activity and carrying it on consistently and continuously is its interest.	true	539.24	545.68	13
7949_39970_000011_000003	If the material operates in this way, there is no call either to hunt for devices which will make it interesting or to appeal to arbitrary, semi-coerced effort.	If the material operates in this way, there is no call either to hunt for devices which will make it interesting or to appeal to arbitrary, semi coerced effort.	true	546.02	555.25	25.170837
7949_39970_000012_000000	The word interest suggests, etymologically, what is between,--that which connects two things otherwise distant.	The word interest suggests, etymologically, what is between,--that which connects two things otherwise distant.	true	557.27	563.37	19
7949_39970_000012_000001	In education, the distance covered may be looked at as temporal.	In education, the distance covered may be looked at as temporal.	false	563.37	567.37	21.648027
7949_39970_000012_000002	The fact that a process takes time to mature is so obvious a fact that we rarely make it explicit.	The fact that a process takes time to mature is so obvious a fact that we rarely make it explicit.	true	567.68	573.04	21
7949_39970_000012_000003	We overlook the fact that in growth there is ground to be covered between an initial stage of process and the completing period; that there is something intervening.	We overlook the fact that in growth there is ground to be covered between an initial stage of process and the completing period; that there is something intervening.	true	573.53	584.1	24.262108
7949_39970_000012_000004	In learning, the present powers of the pupil are the initial stage; the aim of the teacher represents the remote limit. Between the two lie means--that is middle conditions:--acts to be performed; difficulties to be overcome; appliances to be used.	In learning, the present powers of the pupil are the initial stage; the aim of the teacher represents the remote limit. Between the two lie means-that is middle conditions:--acts to be performed; difficulties to be overcome; appliances to be used.	false	584.1	602.44	21.423485
7949_39970_000012_000005	Only through them, in the literal time sense, will the initial activities reach a satisfactory consummation.	Only through them, in the literal time sense, will the initial activities reach a satisfactory consummation.	true	602.93	611.32	22.301228
7949_39970_000013_000000	These intermediate conditions are of interest precisely because the development of existing activities into the foreseen and desired end depends upon them.	These intermediate conditions are of interest precisely because the development of existing activities into the foreseen and desired end depends upon them.	true	613.52	622.9	16
7949_39970_000013_000001	To be means for the achieving of present tendencies, to be "between" the agent and his end, to be of interest, are different names for the same thing.	To be means for the achieving of present tendencies, to be "between" the agent and his end, to be of interest, are different names for the same thing.	true	624.44	633.9	19
7949_39970_000013_000002	When material has to be made interesting, it signifies that as presented, it lacks connection with purposes and present power: or that if the connection be there, it is not perceived. To make it interesting by leading one to realize the connection that exists is simply good sense; to make it interesting by extraneous and artificial inducements deserves all the bad names which have been applied to the doctrine of interest in education.	When material has to be made interesting, it signifies that as presented, it lacks connection with purposes and present power: or that if the connection be there, it is not perceived. To make it interesting by leading one to realize the connection that exists is simply good sense; to make it interesting by extraneous and artificial inducements deserves all the bad names which have been applied to the doctrine of interest in education.	false	633.9	660.79	22.3499
7949_39970_000014_000000	So much for the meaning of the term interest.	So much for the meaning of the term interest.	true	662.15	665.17	21.887556
7949_39970_000014_000001	Now for that of discipline.	Now for that of discipline.	true	665.72	668.71	19.989048
7949_39970_000014_000002	Where an activity takes time, where many means and obstacles lie between its initiation and completion, deliberation and persistence are required.	Where an activity takes time, where many means and obstacles lie between its initiation and completion, deliberation and persistence are required.	true	670.37	680.58	22.58404
7949_39970_000014_000003	It is obvious that a very large part of the everyday meaning of will is precisely the deliberate or conscious disposition to persist and endure in a planned course of action in spite of difficulties and contrary solicitations.	It is obvious that a very large part of the everyday meaning of will is precisely the deliberate or conscious disposition to persist and endure in a planned course of action in spite of difficulties and contrary solicitations.	true	680.58	696.7	22
7949_39970_000014_000004	A man of strong will, in the popular usage of the words, is a man who is neither fickle nor half-hearted in achieving chosen ends.	A man of strong will, in the popular usage of the words, is a man who is neither fickle nor half hearted in achieving chosen ends.	true	698.42	706.78	16
7949_39970_000014_000005	His ability is executive; that is, he persistently and energetically strives to execute or carry out his aims.	His ability is executive; that is, he persistently and energetically strives to execute or carry out his aims.	true	706.97	715.84	22.218498
7949_39970_000014_000006	A weak will is unstable as water.	A weak will is unstable as water.	true	716.24	719.8	25.098394
7949_39970_000015_000000	Clearly there are two factors in will.	Clearly there are two factors in will.	true	721.94	724.66	24
7949_39970_000015_000001	One has to do with the foresight of results, the other with the depth of hold the foreseen outcome has upon the person.	One has to do with the foresight of results, the other with the depth of hold the foreseen outcome has upon the person.	true	725.09	732.69	24.301508
7949_39970_000016_000000	(I) Obstinacy is persistence but it is not strength of volition. Obstinacy may be mere animal inertia and insensitiveness.	(I) Obstinacy is persistence but it is not strength of volition. Obstinacy may be mere animal inertia and insensitiveness.	false	732.69	743.5	19.95297
7949_39970_000016_000001	A man keeps on doing a thing just because he has got started, not because of any clearly thought-out purpose.	A man keeps on doing a thing just because he has got started, not because of any clearly thought out purpose.	true	743.9	750.88	20
7949_39970_000016_000002	In fact, the obstinate man generally declines (although he may not be quite aware of his refusal) to make clear to himself what his proposed end is; he has a feeling that if he allowed himself to get a clear and full idea of it, it might not be worth while.	In fact, the obstinate man generally declines (although he may not be quite aware of his refusal) to make clear to himself what his proposed end is; he has a feeling that if he allowed himself to get a clear and full idea of it, it might not be worth while.	true	751.25	768.07	23.006989
7949_39970_000016_000003	Stubbornness shows itself even more in reluctance to criticize ends which present themselves than it does in persistence and energy in use of means to achieve the end.	Stubbornness shows itself even more in reluctance to criticize ends which present themselves than it does in persistence and energy in use of means to achieve the end.	true	771.02	785.14	20.353258
7949_39970_000016_000004	The really executive man is a man who ponders his ends, who makes his ideas of the results of his actions as clear and full as possible.	The really executive man is a man who ponders his ends, who makes his ideas of the results of his actions as clear and full as possible.	true	785.96	795.28	19
7949_39970_000016_000005	The people we called weak-willed or self-indulgent always deceive themselves as to the consequences of their acts.	The people we called weak willed or self indulgent always deceive themselves as to the consequences of their acts.	true	796.85	804.63	20.787104
7949_39970_000016_000006	They pick out some feature which is agreeable and neglect all attendant circumstances.	They pick out some feature which is agreeable and neglect all attendant circumstances.	true	804.63	810.61	21
7949_39970_000016_000007	When they begin to act, the disagreeable results they ignored begin to show themselves.	When they begin to act, the disagreeable results they ignored begin to show themselves.	true	811.37	815.95	18
7949_39970_000016_000008	They are discouraged, or complain of being thwarted in their good purpose by a hard fate, and shift to some other line of action.	They are discouraged, or complain of being thwarted in their good purpose by a hard fate, and shift to some other line of action.	false	816.14	824.74	21.818598
7949_39970_000016_000009	That the primary difference between strong and feeble volition is intellectual, consisting in the degree of persistent firmness and fullness with which consequences are thought out, cannot be over-emphasized.	That the primary difference between strong and feeble volition is intellectual, consisting in the degree of persistent firmness and fullness with which consequences are thought out, cannot be over emphasized.	true	825.32	842.07	21.424528
7949_39970_000017_000000	(ii) There is, of course, such a thing as a speculative tracing out of results.	(ii) There is, of course, such a thing as a speculative tracing out of results.	false	842.07	850.87	20.674927
7949_39970_000017_000001	Ends are then foreseen, but they do not lay deep hold of a person.	Ends are then foreseen, but they do not lay deep hold of a person.	true	851.27	855.22	17
7949_39970_000017_000002	They are something to look at and for curiosity to play with rather than something to achieve.	They are something to look at and for curiosity to play with rather than something to achieve.	true	855.32	860.23	21.773031
7949_39970_000017_000003	There is no such thing as over-intellectuality, but there is such a thing as a one-sided intellectuality.	There is no such thing as over intellectuality, but there is such a thing as a one sided intellectuality.	true	860.9	868.57	22
7949_39970_000017_000004	A person "takes it out" as we say in considering the consequences of proposed lines of action.	A person "takes it out" as we say in considering the consequences of proposed lines of action.	true	869.12	874.63	17
7949_39970_000017_000005	A certain flabbiness of fiber prevents the contemplated object from gripping him and engaging him in action.	A certain flabbiness of fiber prevents the contemplated object from gripping him and engaging him in action.	true	874.76	882.07	20.821278
7949_39970_000017_000006	And most persons are naturally diverted from a proposed course of action by unusual, unforeseen obstacles, or by presentation of inducements to an action that is directly more agreeable.	And most persons are naturally diverted from a proposed course of action by unusual, unforeseen obstacles, or by presentation of inducements to an action that is directly more agreeable.	true	882.56	896.445	21
7949_39970_000018_000000	A person who is trained to consider his actions, to undertake them deliberately, is in so far forth disciplined.	A person who is trained to consider his actions, to undertake them deliberately, is in so far forth disciplined.	true	896.445	903.13	24
7949_39970_000018_000001	Add to this ability a power to endure in an intelligently chosen course in face of distraction, confusion, and difficulty, and you have the essence of discipline.	Add to this ability a power to endure in an intelligently chosen course in face of distraction, confusion, and difficulty, and you have the essence of discipline.	true	903.38	915.91	22
7949_39970_000018_000002	Discipline means power at command; mastery of the resources available for carrying through the action undertaken.	Discipline means power at command; mastery of the resources available for carrying through the action undertaken.	true	916.01	926.26	20.830036
7949_39970_000018_000003	To know what one is to do and to move to do it promptly and by use of the requisite means is to be disciplined, whether we are thinking of an army or a mind. Discipline is positive.	To know what one is to do and to move to do it promptly and by use of the requisite means is to be disciplined, whether we are thinking of an army or a mind. Discipline is positive.	true	926.96	941.14	22.802011
7949_39970_000018_000004	To cow the spirit, to subdue inclination, to compel obedience, to mortify the flesh, to make a subordinate perform an uncongenial task--these things are or are not disciplinary according as they do or do not tend to the development of power to recognize what one is about and to persistence in accomplishment.	To cow the spirit, to subdue inclination, to compel obedience, to mortify the flesh, to make a subordinate perform an uncongenial task-these things are or are not disciplinary according as they do or do not tend to the development of power to recognize what one is about and to persistence in accomplishment.	false	941.63	965.53	22.076704
7949_39970_000019_000000	It is hardly necessary to press the point that interest and discipline are connected, not opposed.	It is hardly necessary to press the point that interest and discipline are connected, not opposed.	true	965.87	972.27	23.552376
7949_39970_000020_000000	(i) Even the more purely intellectual phase of trained power--apprehension of what one is doing as exhibited in consequences--is not possible without interest.	(i) Even the more purely intellectual phase of trained power-apprehension of what one is doing as exhibited in consequences-is not possible without interest.	false	972.27	987.13	20.184826
7949_39970_000020_000001	Deliberation will be perfunctory and superficial where there is no interest.	Deliberation will be perfunctory and superficial where there is no interest.	true	987.41	991.54	18.69408
7949_39970_000020_000002	Parents and teachers often complain--and correctly--that children "do not want to hear, or want to understand." Their minds are not upon the subject precisely because it does not touch them; it does not enter into their concerns.	Parents and teachers often complain-and correctly-that children "do not want to hear, or want to understand." Their minds are not upon the subject precisely because it does not touch them; it does not enter into their concerns.	true	991.82	1006.87	21.716553
7949_39970_000020_000003	This is a state of things that needs to be remedied, but the remedy is not in the use of methods which increase indifference and aversion.	This is a state of things that needs to be remedied, but the remedy is not in the use of methods which increase indifference and aversion.	true	1007.36	1015.15	16
7949_39970_000020_000004	Even punishing a child for inattention is one way of trying to make him realize that the matter is not a thing of complete unconcern; it is one way of arousing "interest," or bringing about a sense of connection.	Even punishing a child for inattention is one way of trying to make him realize that the matter is not a thing of complete unconcern; it is one way of arousing "interest," or bringing about a sense of connection.	true	1015.52	1027.36	15
7949_39970_000020_000005	In the long run, its value is measured by whether it supplies a mere physical excitation to act in the way desired by the adult or whether it leads the child "to think"--that is, to reflect upon his acts and impregnate them with aims.	In the long run, its value is measured by whether it supplies a mere physical excitation to act in the way desired by the adult or whether it leads the child "to think"--that is, to reflect upon his acts and impregnate them with aims.	true	1029.26	1042.83	22
7949_39970_000021_000000	(ii) That interest is requisite for executive persistence is even more obvious.	(ii) That interest is requisite for executive persistence is even more obvious.	false	1042.83	1049.98	20.483425
7949_39970_000021_000001	Employers do not advertise for workmen who are not interested in what they are doing.	Employers do not advertise for workmen who are not interested in what they are doing.	true	1050.02	1054.72	17
7949_39970_000021_000002	If one were engaging a lawyer or a doctor, it would never occur to one to reason that the person engaged would stick to his work more conscientiously if it was so uncongenial to him that he did it merely from a sense of obligation.	If one were engaging a lawyer or a doctor, it would never occur to one to reason that the person engaged would stick to his work more conscientiously if it was so uncongenial to him that he did it merely from a sense of obligation.	true	1054.88	1069.12	18
7949_39970_000021_000003	Interest measures--or rather is--the depth of the grip which the foreseen end has upon one, moving one to act for its realization.	Interest measures-or rather is-the depth of the grip which the foreseen end has upon one, moving one to act for its realization.	false	1069.7	1080.84	22.211102
7949_39970_000022_000000	2.	two.	false	1080.84	1086.09	20.217476
7949_39970_000022_000001	The Importance of the Idea of Interest in Education.	The Importance of the Idea of Interest in Education.	true	1086.09	1089.55	20
7949_39970_000022_000002	Interest represents the moving force of objects--whether perceived or presented in imagination--in any experience having a purpose.	Interest represents the moving force of objects-whether perceived or presented in imagination-in any experience having a purpose.	true	1091.09	1099.93	22
7949_39970_000022_000003	In the concrete, the value of recognizing the dynamic place of interest in an educative development is that it leads to considering individual children in their specific capabilities, needs, and preferences.	In the concrete, the value of recognizing the dynamic place of interest in an educative development is that it leads to considering individual children in their specific capabilities, needs, and preferences.	false	1100.84	1115.11	21.632845
7949_39970_000022_000004	One who recognizes the importance of interest will not assume that all minds work in the same way because they happen to have the same teacher and textbook.	One who recognizes the importance of interest will not assume that all minds work in the same way because they happen to have the same teacher and textbook.	true	1115.48	1123.78	17
7949_39970_000022_000005	Attitudes and methods of approach and response vary with the specific appeal the same material makes, this appeal itself varying with difference of natural aptitude, of past experience, of plan of life, and so on.	Attitudes and methods of approach and response vary with the specific appeal the same material makes, this appeal itself varying with difference of natural aptitude, of past experience, of plan of life, and so on.	true	1123.85	1138.09	23
7949_39970_000022_000006	But the facts of interest also supply considerations of general value to the philosophy of education.	But the facts of interest also supply considerations of general value to the philosophy of education.	true	1138.79	1144.45	17
7949_39970_000022_000007	Rightly understood, they put us on our guard against certain conceptions of mind and of subject matter which have had great vogue in philosophic thought in the past, and which exercise a serious hampering influence upon the conduct of instruction and discipline.	Rightly understood, they put us on our guard against certain conceptions of mind and of subject matter which have had great vogue in philosophic thought in the past, and which exercise a serious hampering influence upon the conduct of instruction and discipline.	false	1144.97	1160.74	18
7949_39970_000022_000008	Too frequently mind is set over the world of things and facts to be known; it is regarded as something existing in isolation, with mental states and operations that exist independently.	Too frequently mind is set over the world of things and facts to be known; it is regarded as something existing in isolation, with mental states and operations that exist independently.	true	1162.19	1175.5	20.373352
7949_39970_000022_000009	Knowledge is then regarded as an external application of purely mental existences to the things to be known, or else as a result of the impressions which this outside subject matter makes on mind, or as a combination of the two.	Knowledge is then regarded as an external application of purely mental existences to the things to be known, or else as a result of the impressions which this outside subject matter makes on mind, or as a combination of the two.	false	1177.79	1194.18	21.780527
7949_39970_000022_000010	Subject matter is then regarded as something complete in itself; it is just something to be learned or known, either by the voluntary application of mind to it or through the impressions it makes on mind.	Subject matter is then regarded as something complete in itself; it is just something to be learned or known, either by the voluntary application of mind to it or through the impressions it makes on mind.	true	1194.18	1205.32	18
7949_39970_000023_000000	The facts of interest show that these conceptions are mythical.	The facts of interest show that these conceptions are mythical.	true	1206.89	1210.69	21
