5740_97610_000005_000000	ANNE HOLLINGSWORTH WHARTON	ANNE HOLLINGSWORTH WHARTON
5740_97610_000015_000001	The days of that cold winter of 1776 wore on; so cold it was that the sufferings of the soldiers were great, their bleeding feet often leaving marks on the pure white snow over which they marched.	The days of that cold winter of seventeen seventy six wore on; so cold it was that the sufferings of the soldiers were great, their bleeding feet often leaving marks on the pure white snow over which they marched.
5740_97610_000016_000000	Mrs. Tracy looked anxiously each day for news of the husband and father only a few miles away, yet so separated by the river and the enemy's troops that they seemed like a hundred.	mrs Tracy looked anxiously each day for news of the husband and father only a few miles away, yet so separated by the river and the enemy's troops that they seemed like a hundred.
5740_97610_000016_000001	Christmas Eve came, but brought with it few rejoicings.	Christmas Eve came, but brought with it few rejoicings.
5740_97610_000018_000000	"Yes," said her mother, "Santa Claus won't forget you, I am sure, although he has been kept pretty busy looking after the soldiers this winter."	"Yes," said her mother, "Santa Claus won't forget you, I am sure, although he has been kept pretty busy looking after the soldiers this winter."
5740_97610_000019_000000	"Which side is he on?" asked Harry.	"Which side is he on?" asked Harry.
5740_97610_000020_000000	"The right side, of course," said Mrs. Tracy, which was the most sensible answer she could possibly have given.	"The right side, of course," said mrs Tracy, which was the most sensible answer she could possibly have given.
5740_97610_000021_000000	"The stockings were hung by the chimney with care, In hopes that St. Nicholas soon would be there."	"The stockings were hung by the chimney with care, In hopes that saint Nicholas soon would be there."
5740_97610_000022_000000	Two little rosy faces lay fast asleep upon the pillow when the good old soul came dashing over the roof about one o'clock, and after filling each stocking with red apples, and leaving a cornucopia of sugar-plums for each child, he turned for a moment to look at the sleeping faces, for St. Nicholas has a tender spot in his great big heart for a soldier's children.	Two little rosy faces lay fast asleep upon the pillow when the good old soul came dashing over the roof about one o'clock, and after filling each stocking with red apples, and leaving a cornucopia of sugar plums for each child, he turned for a moment to look at the sleeping faces, for saint Nicholas has a tender spot in his great big heart for a soldier's children.
5740_97610_000022_000001	Then, remembering many other small folks waiting for him all over the land, he sprang up the chimney and was away in a trice.	Then, remembering many other small folks waiting for him all over the land, he sprang up the chimney and was away in a trice.
5740_97610_000023_000000	Santa Claus, in the form of Mrs. Tracy's farmer brother, brought her a splendid turkey; but because the Hessians were uncommonly fond of turkey, it came hidden under a load of wood.	Santa Claus, in the form of mrs Tracy's farmer brother, brought her a splendid turkey; but because the Hessians were uncommonly fond of turkey, it came hidden under a load of wood.
5740_97610_000024_000000	The day passed and night came, cold with a steady fall of rain and sleet.	The day passed and night came, cold with a steady fall of rain and sleet.
5740_97610_000024_000001	Kitty prayed that her "dear papa might not be out in the storm, and that he might come home and wear his beautiful blue stockings"; "And eat his turkey," said Harry's sleepy voice; after which they were soon in the land of dreams.	Kitty prayed that her "dear papa might not be out in the storm, and that he might come home and wear his beautiful blue stockings"; "And eat his turkey," said Harry's sleepy voice; after which they were soon in the land of dreams.
5740_97610_000024_000002	Toward morning the good people in Bordentown were suddenly aroused by firing in the distance, which became more and more distinct as the day wore on.	Toward morning the good people in Bordentown were suddenly aroused by firing in the distance, which became more and more distinct as the day wore on.
5740_97610_000024_000003	There was great excitement in the town; men and women gathered together in little groups in the streets to wonder what it was all about, and neighbours came dropping into Mrs. Tracy's parlour, all day long, one after the other, to say what they thought of the firing.	There was great excitement in the town; men and women gathered together in little groups in the streets to wonder what it was all about, and neighbours came dropping into mrs Tracy's parlour, all day long, one after the other, to say what they thought of the firing.
5740_97610_000024_000004	In the evening there came a body of Hessians flying into the town, to say that General Washington had surprised the British at Trenton, early that morning, and completely routed them, which so frightened the Hessians in Bordentown that they left without the slightest ceremony.	In the evening there came a body of Hessians flying into the town, to say that General Washington had surprised the British at Trenton, early that morning, and completely routed them, which so frightened the Hessians in Bordentown that they left without the slightest ceremony.
5740_97610_000025_000000	It was a joyful hour to the good town people when the red-jackets turned their backs on them, thinking every moment that the patriot army would be after them.	It was a joyful hour to the good town people when the red jackets turned their backs on them, thinking every moment that the patriot army would be after them.
5740_97610_000025_000001	Indeed, it seemed as if wonders would never cease that day, for while rejoicings were still loud, over the departure of the enemy, there came a knock at Mrs. Tracy's door, and while she was wondering whether she dared open it, it was pushed ajar, and a tall soldier entered.	Indeed, it seemed as if wonders would never cease that day, for while rejoicings were still loud, over the departure of the enemy, there came a knock at mrs Tracy's door, and while she was wondering whether she dared open it, it was pushed ajar, and a tall soldier entered.
5740_97610_000026_000000	Cold and tired Captain Tracy was, after a night's march in the streets and a day's fighting; but he was not too weary to smile at the dear faces around him, or to pat Kitty's head when she brought his warm stockings and would put them on the tired feet, herself.	Cold and tired Captain Tracy was, after a night's march in the streets and a day's fighting; but he was not too weary to smile at the dear faces around him, or to pat Kitty's head when she brought his warm stockings and would put them on the tired feet, herself.
5740_97610_000027_000000	Suddenly there was a sharp, quick bark outside the door.	Suddenly there was a sharp, quick bark outside the door.
5740_97610_000027_000001	"What's that?" cried Harry.	"What's that?" cried Harry.
5740_97610_000028_000000	"Oh, I forgot.	"Oh, I forgot.
5740_97610_000028_000001	Open the door.	Open the door.
5740_97610_000028_000002	Here, Fido, Fido!"	Here, Fido, Fido!"
5740_97610_000029_000000	Into the room there sprang a beautiful little King Charles spaniel, white, with tan spots, and ears of the longest, softest, and silkiest.	Into the room there sprang a beautiful little King Charles spaniel, white, with tan spots, and ears of the longest, softest, and silkiest.
5740_97610_000031_000000	"From the battle of Trenton," said her father.	"From the battle of Trenton," said her father.
5740_97610_000031_000001	"His poor master was shot.	"His poor master was shot.
5740_97610_000031_000004	The gentleman--for he was a real gentleman--gasped out, 'Take care of my poor Fido; good-night,' and was gone.	The gentleman-for he was a real gentleman-gasped out, 'Take care of my poor Fido; good night,' and was gone.
5740_97610_000032_000000	"Pretty little Fido," said Kitty, taking the soft, curly creature in her arms; "I think it's the best present in the world, and to-morrow is to be real Christmas, because you are home, papa."	"Pretty little Fido," said Kitty, taking the soft, curly creature in her arms; "I think it's the best present in the world, and to morrow is to be real Christmas, because you are home, papa."
5740_97610_000033_000001	What a good time we'll have!	What a good time we'll have!
5740_97610_000034_000000	"What would become of our country if we should all do that, my little man?	"What would become of our country if we should all do that, my little man?
5740_97610_000034_000001	It was a good day's work that we did this Christmas, getting the army all across the river so quickly and quietly that we surprised the enemy, and gained a victory, with the loss of few men."	It was a good day's work that we did this Christmas, getting the army all across the river so quickly and quietly that we surprised the enemy, and gained a victory, with the loss of few men."
